eng,it_m,it_f,it_n,extracted,is_m,is_f,is_n
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"['Sono barbadiano.', 'Sono barbadiana.']",True,True,False
I am Bruneian.,,,,"['Sono bruneiano.', 'Sono bruneiana.']",False,False,False
I am Bhutanese.,,,Sono bhutanese.,['Io sono bhutanese.'],False,False,False
I am Motswana.,Sono botswano.,Sono botswana.,,['Io sono Motswana.'],False,False,False
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"['Io sono centroafricano.', 'Io sono centroafricana.']",False,False,False
I am Canadian.,,,Sono canadese.,['Sono canadese.'],False,False,True
I am Swiss.,Sono svizzero.,Sono svizzera.,,"['Io sono svizzero.', 'Io sono svizzera.']",False,False,False
I am Chilean.,Sono cileno.,Sono cilena.,,"['Sono cileno.', 'Sono cilena.']",True,True,False
I am Chinese.,,,Sono cinese.,['Sono cinese.'],False,False,True
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"['Io sono ivoriano.', 'Io sono ivoriana.']",False,False,False
I am Cameroonian.,,,Sono camerunese.,['Sono camerunese.'],False,False,True
I am Congolese.,,,Sono congolese.,['Sono congolese.'],False,False,True
I am Congolese.,,,Sono congolese.,['Sono congolese.'],False,False,True
I am Colombian.,Sono colombiano.,Sono colombiana.,,"['Sono colombiano.', 'Sono colombiana.']",True,True,False
I am Comoran.,Sono comoriano.,Sono comoriana.,,['Io sono comoriano.'],False,False,False
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"['Sono capoverdiano.', 'Sono capoverdiana.']",True,True,False
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"['Sono costaricano.', 'Sono costaricana.']",True,True,False
I am Cuban.,Sono cubano.,Sono cubana.,,"['Sono cubano.', 'Sono cubana.']",True,True,False
I am Cypriot.,,,Sono cipriota.,['Sono cipriota.'],False,False,True
I am Czech.,Sono ceco.,Sono ceca.,,['Sono ceco.'],True,False,False
I am German.,Sono tedesco.,Sono tedesca.,,['Io sono tedesco.'],False,False,False
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,['Io sono di Gibuti.'],False,False,False
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']",True,True,False
I am Danish.,,,Sono danese.,['Sono danese.'],False,False,True
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']",True,True,False
I am Algerian.,Sono algerino.,Sono algerina.,,"['Sono algerino.', 'Sono algerina.']",True,True,False
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,['Io sono ecuadoriano.'],False,False,False
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"['Sono egiziano.', 'Sono egiziana.']",True,True,False
I am Eritrean.,Sono eritreo.,Sono eritrea.,,['Io sono eritreo.'],False,False,False
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"['Sono spagnolo.', 'Sono spagnola.']",True,True,False
I am Estonian.,,,Sono estone.,['Sono estone.'],False,False,True
I am Ethiopian.,,,Sono etiope.,['Sono etiope.'],False,False,True
I am Finnish.,,,Sono finlandese.,['Io sono finlandese.'],False,False,False
I am Fijian.,Sono figiano.,Sono figiana.,,['Sono figiano.'],True,False,False
I am French.,,,Sono francese.,['Sono francese.'],False,False,True
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,['Io sono micronesian.'],False,False,False
I am Gabonese.,,,Sono gabonese.,['Io sono gabonese.'],False,False,False
I am British.,Sono britannico.,Sono britannica.,,"['Sono britannico.', 'Sono britannica.']",True,True,False
I am Georgian.,Sono georgiano.,Sono georgiana.,,"['Sono georgiano.', 'Sono georgiana.']",True,True,False
I am Ghanaian.,,,Sono ghanese.,['Sono ghanese.'],False,False,True
I am Guinean.,Sono guineano.,Sono guineana.,,['Io sono guineano.'],False,False,False
I am Gambian.,Sono gambiano.,Sono gambiana.,,['Sono gambiano.'],True,False,False
I am Guinea-Bissauan.,,,Sono guineense.,['Sono guineano-bissauiano.'],False,False,False
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,['Sono guineano equatoriale.'],False,False,False
I am Greek.,Sono greco.,Sono greca.,,['Sono greco.'],True,False,False
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"['Io sono grenadino.', 'Io sono grenadina.']",False,False,False
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"['Sono guatemalteco.', 'Sono guatemalteca.']",True,True,False
I am Guyanese.,,,Sono guyanese.,['Io sono guyanese.'],False,False,False
I am Honduran.,Sono honduregno.,Sono honduregna.,,['Sono honduregno.'],True,False,False
I am Croatian.,Sono croato.,Sono croata.,,"['Sono croato.', 'Sono croata.']",True,True,False
I am Haitian.,Sono haitiano.,Sono haitiana.,,"['Sono haitiano.', 'Sono haitiana.']",True,True,False
I am Hungarian.,,,Sono ungherese.,['Sono ungherese.'],False,False,True
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"['Sono indonesiano.', 'Sono indonesiana.']",True,True,False
I am Indian.,Sono indiano.,Sono indiana.,,['Sono indiano.'],True,False,False
I am Irish.,,,Sono irlandese.,['Sono irlandese.'],False,False,True
I am Iranian.,Sono iraniano.,Sono iraniana.,,"['Sono iraniano.', 'Sono iraniana.']",True,True,False
I am Iraqi.,Sono iracheno.,Sono irachena.,,['Sono iracheno.'],True,False,False
I am Icelander.,,,Sono islandese.,['Io sono islandese.'],False,False,False
I am Israeli.,Sono israeliano.,Sono israeliana.,,"['Io sono israeliano.', 'Io sono israeliana.']",False,False,False
I am Italian.,Sono italiano.,Sono italiana.,,['Sono italiano.'],True,False,False
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"['Sono giamaicano.', 'Sono giamaicana.']",True,True,False
I am Jordanian.,Sono giordano.,Sono giordana.,,"['Sono giordano.', 'Sono giordana.']",True,True,False
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,['Sono giapponese.'],True,False,False
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"['Sono kazako.', 'Sono kazaka.']",False,False,False
I am Kenyan.,,,Sono keniota.,['Sono keniota.'],False,False,True
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"['Io sono kirghiso.', 'Io sono kirghisa.']",False,False,False
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"['Sono cambogiano.', 'Sono cambogiana.']",True,True,False
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,['Io sono I-Kiribati.'],False,False,False
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,['Sono Kittitiano o Nevisiano.'],False,False,False
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"['Sono sudcoreano.', 'Sono sudcoreana.']",True,True,False
I am Kuwaiti.,,,,"['Sono kuwaitiano.', 'Sono kuwaitiana.']",False,False,False
I am Laotian.,Sono laotiano.,Sono laotiana.,,"['Io sono laotiano.', 'Io sono laotiana.']",False,False,False
I am Lebanese.,,,Sono libanese.,['Sono libanese.'],False,False,True
I am Liberian.,Sono liberiano.,Sono liberiana.,,['Sono liberiano.'],True,False,False
I am Libyan.,Sono libico.,Sono libica.,,"['Sono libico.', 'Sono libica.']",True,True,False
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,['Io sono luciano.'],False,False,False
I am Liechtensteiner.,,,Sono liechtensteinese.,['Io sono liechtensteinese.'],False,False,False
I am Sri Lankan.,,,Sono sri lankese.,['Io sono dello Sri Lanka.'],False,False,False
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,['Io sono Mosotho.'],False,False,False
I am Lithuanian.,Sono lituano.,Sono lituana.,,"['Sono lituano.', 'Sono lituana.']",True,True,False
I am Luxembourger.,,,Sono lussemburghese.,['Io sono lussemburghese.'],False,False,False
I am Latvian.,Sono lettone.,Sono lettona.,,['Sono lettone.'],True,False,False
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"['Sono marocchino.', 'Sono marocchina.']",True,True,False
I am Monegasque.,Sono monegasco.,Sono monegasca.,,['Io sono monegasco.'],False,False,False
I am Moldovan.,Sono moldavo.,Sono moldava.,,"['Sono moldavo.', 'Sono moldava.']",True,True,False
I am Malagasy.,Sono malgascio.,Sono malgascia.,,['Io sono malgascio.'],False,False,False
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,['Io sono delle Maldive.'],False,False,False
I am Mexican.,Sono messicano.,Sono messicana.,,"['Sono messicano.', 'Sono messicana.']",True,True,False
I am Marshallese.,,,Sono marshallese.,['Sono delle Isole Marshall.'],False,False,False
I am Macedonian.,,,Sono macedone.,['Sono macedone.'],False,False,True
I am Malian.,Sono maliano.,Sono maliana.,,['Io sono maliano.'],False,False,False
I am Maltese.,,,Sono maltese.,['Io sono maltese.'],False,False,False
I am Burmese.,Sono birmano.,Sono birmese.,,"['Sono birmano.', 'Sono birmana.']",True,False,False
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"['Io sono montenegrino.', 'Io sono montenegrina.']",False,False,False
I am Mongolian.,Sono mongolo.,Sono mongola.,,"['Sono mongolo.', 'Sono mongola.']",True,True,False
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"['Sono mozambicano.', 'Sono mozambicana.']",True,True,False
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"['Sono mauritano.', 'Sono mauritana.']",True,False,False
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,['Io sono mauriziano.'],False,False,False
I am Malawian.,Sono malawiano.,Sono malawiana.,,['Io sono malawiano.'],False,False,False
I am Malaysian.,,,Sono malese.,['Sono malese.'],False,False,True
I am Namibian.,Sono namibiano.,Sono namibiana.,,['Io sono namibiano.'],False,False,False
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"['Sono nigerino.', 'Sono nigerina.']",True,True,False
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"['Sono nigeriano.', 'Sono nigeriana.']",True,True,False
I am Nicaraguan.,,,Sono nicaraguense.,['Sono nicaraguense.'],False,False,True
I am Dutch.,,,Sono olandese.,['Sono olandese.'],False,False,True
I am Norwegian.,,,Sono norvegese.,['Sono norvegese.'],False,False,True
I am Nepalese.,,,Sono nepalese.,['Sono nepalese.'],False,False,True
I am Nauruan.,Sono nauruano.,Sono nauruana.,,['Io sono Nauruano.'],False,False,False
I am New Zealander.,,,Sono neozelandese.,['Sono neozelandese.'],False,False,True
I am Omani.,,,Sono omanita.,"['Sono omano.', 'Sono omana.']",False,False,False
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"['Sono pakistano.', 'Sono pakistana.']",True,False,False
I am Panamanian.,,,Sono panamense.,['Sono panamense.'],False,False,True
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"['Sono peruviano.', 'Sono peruviana.']",True,True,False
I am Filipino.,Sono filippino.,Sono filippina.,,"['Sono filippino.', 'Sono filippina.']",True,True,False
I am Palauan.,Sono palauano.,Sono palauana.,,['Io sono palauano.'],False,False,False
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,['Sono papuano.'],True,False,False
I am Polish.,Sono polacco.,Sono polacca.,,"['Sono polacco.', 'Sono polacca.']",True,True,False
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"['Sono nordcoreano.', 'Sono nordcoreana.']",True,True,False
I am Portuguese.,,,Sono portoghese.,['Sono portoghese.'],False,False,True
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,['Sono paraguaiano.'],True,False,False
I am Qatari.,,,Sono qatariota.,['Io sono qatariota.'],False,False,False
I am Romanian.,Sono rumeno.,Sono rumena.,,"['Sono rumeno.', 'Sono rumena.']",True,True,False
I am Russian.,Sono russo.,Sono russa.,,"['Sono russo.', 'Sono russa.']",True,True,False
I am Rwandan.,,,Sono ruandese.,['Sono rwandese.'],False,False,False
I am Saudi Arabian.,,,Sono saudita.,['Sono saudita.'],False,False,True
I am Sudanese.,,,Sono sudanese.,['Sono sudanese.'],False,False,True
I am Senegalese.,,,Sono senegalese.,['Io sono senegalese.'],False,False,False
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,['Io sono di Singapore.'],False,False,False
I am Solomon Islander.,,,Sono salomonese.,['Sono delle Isole Salomone.'],False,False,False
I am Sierra Leonean.,,,Sono sierra leonese.,['Sono sierraleonese.'],False,False,False
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"['Sono salvadoregno.', 'Sono salvadoregna.']",True,True,False
I am Sammarinese.,,,Sono sammarinese.,['Io sono sammarinese.'],False,False,False
I am Somali.,Sono somalo.,Sono somala.,,"['Sono somalo.', 'Sono somala.']",True,True,False
I am Serbian.,Sono serbo.,Sono serba.,,['Sono serbo.'],True,False,False
I am South Sudanese.,,,Sono sudsudanese.,['Sono sudanese del Sud.'],False,False,False
I am Sao Tomean.,,,Sono saotomense.,['Sono di Sao Tomé.'],False,False,False
I am Surinamer.,,,Sono surinamese.,['Io sono surinamese.'],False,False,False
I am Slovak.,Sono slovacco.,Sono slovacca.,,['Sono slovacco.'],True,False,False
I am Slovene.,Sono sloveno.,Sono slovena.,,['Io sono sloveno.'],False,False,False
I am Swedish.,,,Sono svedese.,['Sono svedese.'],False,False,True
I am Swazi.,,,Sono swazilandese.,['Io sono swazi.'],False,False,False
I am Seychellois.,,,Sono seicellese.,['Io sono seychellese.'],False,False,False
I am Syrian.,Sono siriano.,Sono siriana.,,['Sono siriano.'],True,False,False
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"['Io sono Chadiano.', 'Io sono Chadiana.']",False,False,False
I am Togolese.,,,Sono togolese.,['Sono togolese.'],False,False,True
I am Thai.,,,Sono thailandese.,['Sono tailandese.'],False,False,False
I am Tadzhik.,Sono tagiko.,Sono tagika.,,['Io sono tagiko.'],False,False,False
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,['Io sono turkmeno.'],False,False,False
I am East Timorese.,,,Sono timorese.,['Sono di Timor Est.'],False,False,False
I am Tongan.,Sono tongano.,Sono tongana.,,['Io sono tongano.'],False,False,False
I am Trinidadian.,,,Sono trinitense.,"['Sono trinidadiano.', 'Sono trinidadiana.']",False,False,False
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"['Sono tunisino.', 'Sono tunisina.']",True,True,False
I am Turkish.,Sono turco.,Sono turca.,,"['Sono turco.', 'Sono turca.']",True,True,False
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"['Io sono tuvaluano.', 'Io sono tuvaluana.']",False,False,False
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"['Io sono tanzaniano.', 'Io sono tanzaniana.']",False,False,False
I am Ugandan.,,,Sono ugandese.,['Sono ugandese.'],False,False,True
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"['Sono ucraino.', 'Sono ucraina.']",True,True,False
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"['Sono uruguaiano.', 'Sono uruguaiana.']",False,False,False
I am American.,,,Sono statunitense.,"['Sono americano.', 'Sono americana.']",False,False,False
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,['Sono uzbeko.'],False,False,False
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,['Io sono di Saint Vincent.'],False,False,False
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"['Sono venezuelano.', 'Sono venezuelana.']",True,True,False
I am Vietnamese.,,,Sono vietnamita.,['Sono vietnamita.'],False,False,True
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,['Io sono Ni-Vanuatu.'],False,False,False
I am Samoan.,Sono samoano.,Sono samoana.,,"['Io sono samoano.', 'Io sono samoana.']",False,False,False
I am Yemeni.,,,Sono yemenita.,['Sono yemenita.'],False,False,True
I am South African.,Sono sudafricano.,Sono sudafricana.,,"['Sono sudafricana.', 'Sono sudafricano.']",True,True,False
I am Zambian.,Sono zambiano.,Sono zambiana.,,"['Sono zambiano.', 'Sono zambiana.']",True,True,False
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,['Sono zimbabwese.'],False,False,False
