eng,it_m,it_f,it_n,extracted
I am Guinea-Bissauan.,,,Sono guineense.,['Sono guineano-bissauiano.']
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,['Sono guineano equatoriale.']
I am Greek.,Sono greco.,Sono greca.,,['Sono greco.']
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"['Io sono grenadino.', 'Io sono grenadina.']"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"['Sono guatemalteco.', 'Sono guatemalteca.']"
I am Guyanese.,,,Sono guyanese.,['Io sono guyanese.']
I am Honduran.,Sono honduregno.,Sono honduregna.,,['Sono honduregno.']
I am Croatian.,Sono croato.,Sono croata.,,"['Sono croato.', 'Sono croata.']"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"['Sono haitiano.', 'Sono haitiana.']"
I am Hungarian.,,,Sono ungherese.,['Sono ungherese.']
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"['Sono indonesiano.', 'Sono indonesiana.']"
I am Indian.,Sono indiano.,Sono indiana.,,['Sono indiano.']
I am Irish.,,,Sono irlandese.,['Sono irlandese.']
I am Iranian.,Sono iraniano.,Sono iraniana.,,"['Sono iraniano.', 'Sono iraniana.']"
I am Iraqi.,Sono iracheno.,Sono irachena.,,['Sono iracheno.']
I am Icelander.,,,Sono islandese.,['Io sono islandese.']
I am Israeli.,Sono israeliano.,Sono israeliana.,,"['Io sono israeliano.', 'Io sono israeliana.']"
I am Italian.,Sono italiano.,Sono italiana.,,['Sono italiano.']
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"['Sono giamaicano.', 'Sono giamaicana.']"
I am Jordanian.,Sono giordano.,Sono giordana.,,"['Sono giordano.', 'Sono giordana.']"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,['Sono giapponese.']
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"['Sono kazako.', 'Sono kazaka.']"
I am Kenyan.,,,Sono keniota.,['Sono keniota.']
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"['Io sono kirghiso.', 'Io sono kirghisa.']"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"['Sono cambogiano.', 'Sono cambogiana.']"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,['Io sono I-Kiribati.']
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,['Sono Kittitiano o Nevisiano.']
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"['Sono sudcoreano.', 'Sono sudcoreana.']"
I am Kuwaiti.,,,,"['Sono kuwaitiano.', 'Sono kuwaitiana.']"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"['Io sono laotiano.', 'Io sono laotiana.']"
I am Lebanese.,,,Sono libanese.,['Sono libanese.']
I am Liberian.,Sono liberiano.,Sono liberiana.,,['Sono liberiano.']
I am Libyan.,Sono libico.,Sono libica.,,"['Sono libico.', 'Sono libica.']"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,['Io sono luciano.']
I am Liechtensteiner.,,,Sono liechtensteinese.,['Io sono liechtensteinese.']
I am Sri Lankan.,,,Sono sri lankese.,['Io sono dello Sri Lanka.']
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,['Io sono Mosotho.']
I am Lithuanian.,Sono lituano.,Sono lituana.,,"['Sono lituano.', 'Sono lituana.']"
I am Luxembourger.,,,Sono lussemburghese.,['Io sono lussemburghese.']
I am Latvian.,Sono lettone.,Sono lettona.,,['Sono lettone.']
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"['Sono marocchino.', 'Sono marocchina.']"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,['Io sono monegasco.']
I am Moldovan.,Sono moldavo.,Sono moldava.,,"['Sono moldavo.', 'Sono moldava.']"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,['Io sono malgascio.']
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,['Io sono delle Maldive.']
I am Mexican.,Sono messicano.,Sono messicana.,,"['Sono messicano.', 'Sono messicana.']"
I am Marshallese.,,,Sono marshallese.,['Sono delle Isole Marshall.']
I am Macedonian.,,,Sono macedone.,['Sono macedone.']
I am Malian.,Sono maliano.,Sono maliana.,,['Io sono maliano.']
I am Maltese.,,,Sono maltese.,['Io sono maltese.']
I am Burmese.,Sono birmano.,Sono birmese.,,"['Sono birmano.', 'Sono birmana.']"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"['Io sono montenegrino.', 'Io sono montenegrina.']"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"['Sono mongolo.', 'Sono mongola.']"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"['Sono mozambicano.', 'Sono mozambicana.']"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"['Sono mauritano.', 'Sono mauritana.']"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,['Io sono mauriziano.']
I am Malawian.,Sono malawiano.,Sono malawiana.,,['Io sono malawiano.']
I am Malaysian.,,,Sono malese.,['Sono malese.']
I am Namibian.,Sono namibiano.,Sono namibiana.,,['Io sono namibiano.']
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"['Sono nigerino.', 'Sono nigerina.']"
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"['Sono nigeriano.', 'Sono nigeriana.']"
I am Nicaraguan.,,,Sono nicaraguense.,['Sono nicaraguense.']
I am Dutch.,,,Sono olandese.,['Sono olandese.']
I am Norwegian.,,,Sono norvegese.,['Sono norvegese.']
I am Nepalese.,,,Sono nepalese.,['Sono nepalese.']
I am Nauruan.,Sono nauruano.,Sono nauruana.,,['Io sono Nauruano.']
I am New Zealander.,,,Sono neozelandese.,['Sono neozelandese.']
I am Omani.,,,Sono omanita.,"['Sono omano.', 'Sono omana.']"
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"['Sono pakistano.', 'Sono pakistana.']"
I am Panamanian.,,,Sono panamense.,['Sono panamense.']
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"['Sono peruviano.', 'Sono peruviana.']"
I am Filipino.,Sono filippino.,Sono filippina.,,"['Sono filippino.', 'Sono filippina.']"
I am Palauan.,Sono palauano.,Sono palauana.,,['Io sono palauano.']
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,['Sono papuano.']
I am Polish.,Sono polacco.,Sono polacca.,,"['Sono polacco.', 'Sono polacca.']"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"['Sono nordcoreano.', 'Sono nordcoreana.']"
I am Portuguese.,,,Sono portoghese.,['Sono portoghese.']
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,['Sono paraguaiano.']
I am Qatari.,,,Sono qatariota.,['Io sono qatariota.']
I am Romanian.,Sono rumeno.,Sono rumena.,,"['Sono rumeno.', 'Sono rumena.']"
I am Russian.,Sono russo.,Sono russa.,,"['Sono russo.', 'Sono russa.']"
I am Rwandan.,,,Sono ruandese.,['Sono rwandese.']
I am Saudi Arabian.,,,Sono saudita.,['Sono saudita.']
I am Sudanese.,,,Sono sudanese.,['Sono sudanese.']
I am Senegalese.,,,Sono senegalese.,['Io sono senegalese.']
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,['Io sono di Singapore.']
I am Solomon Islander.,,,Sono salomonese.,['Sono delle Isole Salomone.']
I am Sierra Leonean.,,,Sono sierra leonese.,['Sono sierraleonese.']
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"['Sono salvadoregno.', 'Sono salvadoregna.']"
I am Sammarinese.,,,Sono sammarinese.,['Io sono sammarinese.']
I am Somali.,Sono somalo.,Sono somala.,,"['Sono somalo.', 'Sono somala.']"
I am Serbian.,Sono serbo.,Sono serba.,,['Sono serbo.']
I am South Sudanese.,,,Sono sudsudanese.,['Sono sudanese del Sud.']
I am Sao Tomean.,,,Sono saotomense.,['Sono di Sao Tomé.']
I am Surinamer.,,,Sono surinamese.,['Io sono surinamese.']
I am Slovak.,Sono slovacco.,Sono slovacca.,,['Sono slovacco.']
I am Slovene.,Sono sloveno.,Sono slovena.,,['Io sono sloveno.']
I am Swedish.,,,Sono svedese.,['Sono svedese.']
I am Swazi.,,,Sono swazilandese.,['Io sono swazi.']
I am Seychellois.,,,Sono seicellese.,['Io sono seychellese.']
I am Syrian.,Sono siriano.,Sono siriana.,,['Sono siriano.']
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"['Io sono Chadiano.', 'Io sono Chadiana.']"
I am Togolese.,,,Sono togolese.,['Sono togolese.']
I am Thai.,,,Sono thailandese.,['Sono tailandese.']
I am Tadzhik.,Sono tagiko.,Sono tagika.,,['Io sono tagiko.']
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,['Io sono turkmeno.']
I am East Timorese.,,,Sono timorese.,['Sono di Timor Est.']
I am Tongan.,Sono tongano.,Sono tongana.,,['Io sono tongano.']
I am Trinidadian.,,,Sono trinitense.,"['Sono trinidadiano.', 'Sono trinidadiana.']"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"['Sono tunisino.', 'Sono tunisina.']"
I am Turkish.,Sono turco.,Sono turca.,,"['Sono turco.', 'Sono turca.']"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"['Io sono tuvaluano.', 'Io sono tuvaluana.']"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"['Io sono tanzaniano.', 'Io sono tanzaniana.']"
I am Ugandan.,,,Sono ugandese.,['Sono ugandese.']
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"['Sono ucraino.', 'Sono ucraina.']"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"['Sono uruguaiano.', 'Sono uruguaiana.']"
I am American.,,,Sono statunitense.,"['Sono americano.', 'Sono americana.']"
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,['Sono uzbeko.']
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,['Io sono di Saint Vincent.']
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"['Sono venezuelano.', 'Sono venezuelana.']"
I am Vietnamese.,,,Sono vietnamita.,['Sono vietnamita.']
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,['Io sono Ni-Vanuatu.']
I am Samoan.,Sono samoano.,Sono samoana.,,"['Io sono samoano.', 'Io sono samoana.']"
I am Yemeni.,,,Sono yemenita.,['Sono yemenita.']
I am South African.,Sono sudafricano.,Sono sudafricana.,,"['Sono sudafricana.', 'Sono sudafricano.']"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"['Sono zambiano.', 'Sono zambiana.']"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,['Sono zimbabwese.']
