Code,Family,Speaker,Vitality,Country,Digital Language Support
ags,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
agt,Austronesian,Less than 10K,Stable,Philippines,Still
agu,Mayan,10K to 1M,Stable,Guatemala,Still
agv,Austronesian,Less than 10K,Endangered,Philippines,Still
agw,Austronesian,Less than 10K,Stable,Solomon Islands,Still
agx,Nakh-Daghestanian,10K to 1M,Stable,Russian Federation,Still
agy,Austronesian,Less than 10K,Endangered,Philippines,Still
agz,Austronesian,Less than 10K,Endangered,Philippines,Still
aha,Niger-Congo,10K to 1M,Stable,Ghana,Still
ahb,Austronesian,Less than 10K,Endangered,Vanuatu,Still
ahg,Afro-Asiatic,Less than 10K,Endangered,Ethiopia,Still
ahh,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
ahi,Niger-Congo,Less than 10K,Stable,Côte d’Ivoire.,Still
ahk,Sino-Tibetan,10K to 1M,Institutional,China,Still
ahl,Niger-Congo,Less than 10K,Stable,Togo,Still
ahm,Niger-Congo,Less than 10K,Endangered,Côte d’Ivoire.,Still
ahn,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
aho,Kra-Dai,,Endangered,India,Still
ahp,Niger-Congo,Less than 10K,Endangered,Côte d’Ivoire.,Still
ahr,Indo-European,1M to 1B,Stable,India,Still
ahs,Niger-Congo,10K to 1M,Stable,Nigeria,Still
aht,Eyak-Athabaskan,,Endangered,United States,Still
aia,Austronesian,Less than 10K,Institutional,Solomon Islands,Still
aib,Turkic,10K to 1M,Endangered,China,Emerging
aic,Border,Less than 10K,Endangered,Papua New Guinea,Still
aid,Australian,,Extinct,Australia,Still
aie,Austronesian,Less than 10K,Endangered,Papua New Guinea,Still
aif,Torricelli,Less than 10K,Stable,Papua New Guinea,Still
aig,Creole,10K to 1M,Stable,Antigua and Barbuda,Emerging
aih,Kra-Dai,Less than 10K,Endangered,China,Still
aii,Afro-Asiatic,10K to 1M,Endangered,Iraq,Emerging
aij,Afro-Asiatic,Less than 10K,Endangered,Israel,Still
aik,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
ail,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
aim,Sino-Tibetan,Less than 10K,Endangered,India,Still
ain,Language isolate,,Endangered,Japan,Emerging
aip,Trans-New Guinea,,Endangered,Indonesia,Still
aiq,Indo-European,1M to 1B,Stable,Afghanistan,Still
air,Tor-Kwerba,Less than 10K,Endangered,Indonesia,Still
ait,Tupian,,Extinct,Brazil,Still
aiw,Afro-Asiatic,10K to 1M,Institutional,Ethiopia,Still
aix,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
aiy,Niger-Congo,10K to 1M,Stable,Central African Republic,Still
aja,Nilo-Saharan,Less than 10K,Endangered,South Sudan,Still
ajg,Niger-Congo,1M to 1B,Stable,Benin,Still
aji,Austronesian,Less than 10K,Stable,New Caledonia,Still
ajn,Australian,,Endangered,Australia,Still
ajs,Sign language,,Endangered,Israel,
aju,Afro-Asiatic,10K to 1M,Endangered,Morocco,Still
ajw,Afro-Asiatic,,Extinct,Nigeria,Still
ajz,Sino-Tibetan,10K to 1M,Endangered,India,Still
aka,Niger-Congo,1M to 1B,Institutional,Ghana,Ascending
akb,Austronesian,10K to 1M,Endangered,Indonesia,Still
akd,Niger-Congo,10K to 1M,Stable,Nigeria,Still
ake,Cariban,Less than 10K,Stable,Guyana,Still
akf,Niger-Congo,10K to 1M,Stable,Nigeria,Still
akg,Austronesian,10K to 1M,Stable,Indonesia,Still
akh,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
aki,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
akj,Andamanese,,Endangered,India,Still
akl,Austronesian,10K to 1M,Institutional,Philippines,Still
akm,Andamanese,,Extinct,India,Still
ako,Cariban,,Endangered,Suriname,Still
akp,Niger-Congo,10K to 1M,Stable,Ghana,Still
akq,Sepik,,Endangered,Papua New Guinea,Still
akr,Austronesian,,Endangered,Vanuatu,Still
aks,Niger-Congo,10K to 1M,Stable,Togo,Still
akt,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
aku,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
akv,Nakh-Daghestanian,Less than 10K,Endangered,Russian Federation,Still
akw,Niger-Congo,10K to 1M,Endangered,Congo,Still
akx,Andamanese,,Extinct,India,Still
aky,Andamanese,,Extinct,India,Still
akz,Muskogean,Less than 10K,Endangered,United States,Emerging
ala,Niger-Congo,10K to 1M,Stable,Nigeria,Still
alc,Kaweskaran,,Endangered,Chile,Still
ald,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
ale,Eskimo-Aleut,Less than 10K,Endangered,United States,Ascending
alf,Niger-Congo,10K to 1M,Stable,Nigeria,Still
alh,Australian,,Endangered,Australia,Still
ali,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
alj,Austronesian,10K to 1M,Endangered,Philippines,Still
alk,Austro-Asiatic,10K to 1M,Stable,Laos,Still
all,Dravidian,Less than 10K,Endangered,India,Still
alm,Austronesian,Less than 10K,Endangered,Vanuatu,Still
aln,Indo-European,1M to 1B,Institutional,Albania,Emerging
alo,Austronesian,10K to 1M,Endangered,Indonesia,Still
alp,Austronesian,10K to 1M,Endangered,Indonesia,Still
alq,Algic,Less than 10K,Endangered,Canada,Emerging
alr,Chukotko-Kamchatkan,Less than 10K,Endangered,Russian Federation,Still
als,Indo-European,1M to 1B,Institutional,Albania,Vital
alt,Turkic,10K to 1M,Institutional,Russian Federation,Emerging
alu,Austronesian,10K to 1M,Stable,Solomon Islands,Still
alw,Afro-Asiatic,10K to 1M,Stable,Ethiopia,Still
alx,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
aly,Australian,Less than 10K,Stable,Australia,Still
alz,Nilo-Saharan,1M to 1B,Institutional,Democratic Republic of the Congo,Ascending
ama,Tupian,,Endangered,Brazil,Still
amb,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
amc,Panoan,Less than 10K,Endangered,Peru,Still
ame,Maipurean,Less than 10K,Stable,Peru,Still
amf,Afro-Asiatic,10K to 1M,Stable,Ethiopia,Still
amg,Australian,,Endangered,Australia,Still
amh,Afro-Asiatic,1M to 1B,Institutional,Ethiopia,Vital
ami,Austronesian,10K to 1M,Endangered,China—Taiwan,Still
amj,Nilo-Saharan,10K to 1M,Stable,Chad,Emerging
amk,Austronesian,10K to 1M,Endangered,Indonesia,Still
aml,Austro-Asiatic,10K to 1M,Stable,Bangladesh,Still
amm,Arai (Left May),Less than 10K,Stable,Papua New Guinea,Still
amn,Border,Less than 10K,Endangered,Papua New Guinea,Still
amo,Niger-Congo,10K to 1M,Stable,Nigeria,Still
amp,Sepik,Less than 10K,Endangered,Papua New Guinea,Still
amq,Austronesian,,Endangered,Indonesia,Still
amr,Harákmbut,Less than 10K,Endangered,Peru,Still
ams,Japonic,Less than 10K,Endangered,Japan,Still
amt,Amto-Musan,Less than 10K,Stable,Papua New Guinea,Still
amu,Otomanguean,10K to 1M,Stable,Mexico,Still
amv,Austronesian,Less than 10K,Stable,Indonesia,Still
amw,Afro-Asiatic,10K to 1M,Endangered,Syria,Still
amx,Australian,Less than 10K,Endangered,Australia,Still
amy,Australian,,Endangered,Australia,Still
amz,Australian,,Extinct,Australia,Still
anb,Zaparoan,,Extinct,Peru,Still
anc,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
and,Austronesian,Less than 10K,Endangered,Indonesia,Still
ane,Austronesian,Less than 10K,Stable,New Caledonia,Still
anf,Niger-Congo,,Endangered,Ghana,Still
anh,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
ani,Nakh-Daghestanian,10K to 1M,Endangered,Russian Federation,Still
anj,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
ank,Afro-Asiatic,10K to 1M,Endangered,Nigeria,Emerging
anl,Sino-Tibetan,Less than 10K,Endangered,Myanmar,Still
anm,Sino-Tibetan,10K to 1M,Stable,India,Still
ann,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
ano,Language isolate,Less than 10K,Endangered,Colombia,Still
anp,Indo-European,10K to 1M,Stable,India,Emerging
anq,Andamanese,Less than 10K,Stable,India,Still
anr,Indo-European,10K to 1M,Endangered,India,Still
ans,Paezan,,Extinct,Colombia,Still
ant,Australian,,Endangered,Australia,Still
anu,Nilo-Saharan,10K to 1M,Stable,South Sudan,Still
anv,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
anw,Niger-Congo,1M to 1B,Stable,Nigeria,Still
anx,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
any,Niger-Congo,1M to 1B,Stable,Côte d’Ivoire.,Still
anz,Yele-West New Britain,Less than 10K,Stable,Papua New Guinea,Still
aoa,Creole,Less than 10K,Endangered,São Tomé e Príncipe,Still
aob,Trans-New Guinea,,Endangered,Papua New Guinea,Still
aoc,Cariban,10K to 1M,Stable,Venezuela,Still
aod,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
aoe,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
aof,Torricelli,Less than 10K,Stable,Papua New Guinea,Still
aog,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
aoi,Australian,Less than 10K,Stable,Australia,Still
aoj,Torricelli,10K to 1M,Endangered,Papua New Guinea,Still
aok,Austronesian,,Endangered,New Caledonia,Still
aol,Austronesian,10K to 1M,Stable,Indonesia,Still
aom,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
aon,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
aor,Austronesian,,Extinct,Vanuatu,Still
aos,Border,Less than 10K,Endangered,Indonesia,Still
aot,Sino-Tibetan,10K to 1M,Endangered,Bangladesh,Still
aou,Kra-Dai,,Endangered,China,Still
aox,Maipurean,,Endangered,Guyana,Still
aoz,Austronesian,10K to 1M,Stable,Indonesia,Still
apb,Austronesian,10K to 1M,Institutional,Solomon Islands,Still
apc,Afro-Asiatic,1M to 1B,Institutional,Syria,Still
apd,Afro-Asiatic,1M to 1B,Institutional,Sudan,Still
ape,Torricelli,10K to 1M,Endangered,Papua New Guinea,Still
apf,Austronesian,Less than 10K,Stable,Philippines,Still
apg,Austronesian,10K to 1M,Stable,Indonesia,Still
aph,Sino-Tibetan,Less than 10K,Endangered,Nepal,Still
api,Tupian,,Endangered,Brazil,Still
apj,Eyak-Athabaskan,Less than 10K,Endangered,United States,Still
apk,Eyak-Athabaskan,,Endangered,United States,Still
apl,Eyak-Athabaskan,,Endangered,United States,Still
apm,Eyak-Athabaskan,Less than 10K,Endangered,United States,Still
apn,Jean,Less than 10K,Stable,Brazil,Still
apo,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
app,Austronesian,10K to 1M,Stable,Vanuatu,Still
apq,Andamanese,,Extinct,India,Still
apr,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
aps,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
apt,Sino-Tibetan,10K to 1M,Endangered,India,Still
apu,Maipurean,Less than 10K,Endangered,Brazil,Still
apv,Nambikwara,,Extinct,Brazil,Still
apw,Eyak-Athabaskan,10K to 1M,Endangered,United States,Still
apx,Austronesian,Less than 10K,Endangered,Indonesia,Still
apy,Cariban,Less than 10K,Stable,Brazil,Still
apz,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
aqc,Nakh-Daghestanian,Less than 10K,Endangered,Russian Federation,Still
aqd,Niger-Congo,Less than 10K,Stable,Mali,Still
aqg,Niger-Congo,10K to 1M,Stable,Nigeria,Still
aqk,Niger-Congo,Less than 10K,Stable,Nigeria,
aqm,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
aqn,Austronesian,Less than 10K,Endangered,Philippines,Still
aqp,Language isolate,,Extinct,United States,Still
aqr,Austronesian,Less than 10K,Endangered,New Caledonia,Still
aqt,Mascoyan,Less than 10K,Endangered,Paraguay,Still
aqz,Tupian,,Endangered,Brazil,Still
arb,Afro-Asiatic,1M to 1B,Institutional,Saudi Arabia,Thriving
are,Australian,Less than 10K,Stable,Australia,Still
arg,Indo-European,10K to 1M,Endangered,Spain,Ascending
arh,Chibchan,Less than 10K,Stable,Colombia,Still
ari,Caddoan,,Endangered,United States,Still
arj,Tucanoan,,Endangered,Brazil,Still
ark,Jabutian,,Endangered,Brazil,Still
arl,Zaparoan,,Endangered,Peru,Still
arn,Mapudungu,10K to 1M,Endangered,Chile,Emerging
aro,Tacanan,Less than 10K,Endangered,Bolivia,Emerging
arp,Algic,Less than 10K,Endangered,United States,Emerging
arq,Afro-Asiatic,1M to 1B,Institutional,Algeria,Emerging
arr,Tupian,Less than 10K,Stable,Brazil,Still
ars,Afro-Asiatic,1M to 1B,Institutional,Saudi Arabia,Emerging
aru,Arauan,,Extinct,Brazil,Still
arv,Afro-Asiatic,10K to 1M,Stable,Ethiopia,Still
arw,Maipurean,Less than 10K,Endangered,Suriname,Emerging
arx,Tupian,,Endangered,Brazil,Still
ary,Afro-Asiatic,1M to 1B,Institutional,Morocco,Emerging
arz,Afro-Asiatic,1M to 1B,Institutional,Egypt,Emerging
asa,Niger-Congo,10K to 1M,Stable,Tanzania,Emerging
asb,Siouan-Catawban,Less than 10K,Endangered,Canada,Still
asc,Trans-New Guinea,Less than 10K,Stable,Indonesia,Still
ase,Sign language,10K to 1M,Stable,United States,Emerging
asf,Sign language,10K to 1M,Stable,Australia,Still
asg,Niger-Congo,10K to 1M,Stable,Nigeria,Still
ash,Unclassified,,Extinct,Peru,Still
asi,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
asj,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
ask,Indo-European,10K to 1M,Stable,Afghanistan,Still
asl,Austronesian,Less than 10K,Endangered,Indonesia,Still
asm,Indo-European,1M to 1B,Institutional,India,Vital
asn,Tupian,Less than 10K,Endangered,Brazil,Still
aso,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
asp,Sign language,10K to 1M,Stable,Algeria,Still
asq,Sign language,Less than 10K,Stable,Austria,Still
asr,Austro-Asiatic,Less than 10K,Stable,India,Still
ass,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
ast,Indo-European,10K to 1M,Endangered,Spain,Ascending
asu,Tupian,Less than 10K,Endangered,Brazil,Still
asv,Nilo-Saharan,10K to 1M,Stable,Democratic Republic of the Congo,Still
asw,Sign language,,Endangered,Australia,Still
asx,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
asy,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
asz,Austronesian,,Endangered,Indonesia,Still
ata,Yele-West New Britain,Less than 10K,Stable,Papua New Guinea,Still
atb,Sino-Tibetan,10K to 1M,Stable,China,Still
atc,Panoan,,Extinct,Peru,Still
atd,Austronesian,10K to 1M,Stable,Philippines,Still
ate,Trans-New Guinea,,Endangered,Papua New Guinea,Still
atg,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
ati,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
atj,Algic,Less than 10K,Stable,Canada,Still
atk,Austronesian,Less than 10K,Endangered,Philippines,Still
atl,Austronesian,Less than 10K,Endangered,Philippines,Still
atm,Austronesian,,Endangered,Philippines,Still
atn,Indo-European,10K to 1M,Endangered,Iran,Still
ato,Niger-Congo,Less than 10K,Endangered,Cameroon,Emerging
atp,Austronesian,Less than 10K,Endangered,Philippines,Still
atq,Austronesian,10K to 1M,Stable,Indonesia,Still
atr,Cariban,Less than 10K,Stable,Brazil,Still
ats,Algic,,Endangered,United States,Still
att,Austronesian,Less than 10K,Stable,Philippines,Still
atu,Nilo-Saharan,10K to 1M,Stable,South Sudan,Still
atv,Turkic,10K to 1M,Endangered,Russian Federation,Still
atw,Palaihnihan,,Endangered,United States,Still
atx,Language isolate,,Endangered,Brazil,Still
aty,Austronesian,Less than 10K,Stable,Vanuatu,Still
atz,Austronesian,,Endangered,Philippines,Still
aua,Austronesian,,Endangered,Solomon Islands,Still
aub,Sino-Tibetan,Less than 10K,Stable,China,Still
auc,Language isolate,Less than 10K,Endangered,Ecuador,Still
aud,Austronesian,Less than 10K,Endangered,Solomon Islands,Still
aug,Niger-Congo,10K to 1M,Stable,Benin,Still
auh,Niger-Congo,10K to 1M,Stable,Zambia,Still
aui,Austronesian,Less than 10K,Endangered,Papua New Guinea,Still
auj,Afro-Asiatic,Less than 10K,Endangered,Libya,Emerging
auk,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
aul,Austronesian,Less than 10K,Stable,Vanuatu,Still
aum,Niger-Congo,Less than 10K,Endangered,Nigeria,Emerging
aun,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
auo,Afro-Asiatic,,Extinct,Nigeria,Still
aup,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
auq,Austronesian,Less than 10K,Endangered,Indonesia,Still
aur,Torricelli,Less than 10K,Stable,Papua New Guinea,Still
aut,Austronesian,Less than 10K,Endangered,French Polynesia,Still
auu,Trans-New Guinea,Less than 10K,Stable,Indonesia,Still
auw,Border,Less than 10K,Endangered,Indonesia,Still
auy,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
auz,Afro-Asiatic,Less than 10K,Endangered,Uzbekistan,Still
ava,Nakh-Daghestanian,10K to 1M,Institutional,Russian Federation,Emerging
avb,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
avd,Indo-European,,Endangered,Iran,Still
ave,Indo-European,,Endangered,Iran,Emerging
avi,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
avl,Afro-Asiatic,1M to 1B,Stable,Egypt,Still
avm,Australian,,Endangered,Australia,Still
avn,Niger-Congo,10K to 1M,Stable,Ghana,Still
avo,Unclassified,,Extinct,Brazil,Still
avs,Language isolate,,Extinct,Peru,Still
avt,Torricelli,Less than 10K,Stable,Papua New Guinea,Still
avu,Nilo-Saharan,10K to 1M,Stable,South Sudan,Still
avv,Tupian,,Endangered,Brazil,Still
awa,Indo-European,1M to 1B,Institutional,India,Emerging
awb,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
awc,Niger-Congo,10K to 1M,Stable,Nigeria,Still
awe,Tupian,Less than 10K,Endangered,Brazil,Still
awg,Australian,,Endangered,Australia,Still
awh,Bayono-Awbono,Less than 10K,Endangered,Indonesia,Still
awi,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
awk,Australian,,Endangered,Australia,Still
awm,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
awn,Afro-Asiatic,10K to 1M,Stable,Ethiopia,Emerging
awo,Niger-Congo,Less than 10K,Stable,Nigeria,Still
awr,Lakes Plain,,Endangered,Indonesia,Still
aws,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
awt,Tupian,Less than 10K,Stable,Brazil,Still
awu,Trans-New Guinea,Less than 10K,Stable,Indonesia,Still
awv,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
aww,Sepik,Less than 10K,Endangered,Papua New Guinea,Still
awx,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
awy,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
axb,Guaykuruan,,Extinct,Argentina,Still
axe,Australian,,Extinct,Australia,Still
