eng,spa_m,spa_f,spa_n,extracted
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"['Soy guatemalteco.', 'Soy guatemalteca.']"
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"['Soy guyanés.', 'Soy guyanesa.']"
I am Honduran.,Soy hondureño.,Soy hondureña.,,"['Soy hondureño.', 'Soy hondureña.']"
I am Croatian.,,,Soy croata.,['Soy croata.']
I am Haitian.,Soy haitiano.,Soy haitiana.,,"['Soy haitiano.', 'Soy haitiana.']"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"['Soy húngaro.', 'Soy húngara.']"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,['Soy indonesio.']
I am Indian.,Soy indio.,Soy india.,,"['Soy indio.', 'Soy india.']"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"['Soy irlandés.', 'Soy irlandesa.']"
I am Iranian.,,,Soy iraní.,['Soy iraní.']
I am Iraqi.,,,Soy iraquí.,['Soy iraquí.']
I am Icelander.,Soy islandés.,Soy islandésa.,,"['Soy islandés.', 'Soy islandesa.']"
I am Israeli.,,,Soy israelí.,['Soy israelí.']
I am Italian.,Soy italiano.,Soy italiana.,,"['Soy italiano.', 'Soy italiana.']"
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"['Soy jamaiquino.', 'Soy jamaiquina.']"
I am Jordanian.,Soy jordano.,Soy jordana.,,['Soy jordano.']
I am Japanese.,Soy japonés.,Soy japonésa.,,"['Soy japonés.', 'Soy japonesa.']"
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,['Soy kazajo.']
I am Kenyan.,,,Soy keniata.,['Soy keniata.']
I am Kirghiz.,,,Soy kirguís.,"['Soy kirguís.', 'Soy kirguisa.']"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"['Soy camboyano.', 'Soy camboyana.']"
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"['Soy i-kiribatiano.', 'Soy i-kiribatiana.']"
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"['Soy kittiano o nevisiano.', 'Soy kittiana o nevisiana.']"
I am South Korean.,,,Soy de la República de Corea.,"['Soy surcoreano.', 'Soy surcoreana.']"
I am Kuwaiti.,,,Soy kuwaití.,['Soy kuwaití.']
I am Laotian.,Soy laosiano.,Soy laosiana.,,"['Soy laosiano.', 'Soy laosiana.']"
I am Lebanese.,Soy libanés.,Soy libanésa.,,"['Soy libanés.', 'Soy libanesa.']"
I am Liberian.,Soy liberiano.,Soy liberiana.,,"['Soy liberiano.', 'Soy liberiana.']"
I am Libyan.,Soy libio.,Soy libia.,,"['Soy libio.', 'Soy libia.']"
I am Saint Lucian.,,,Soy santalucense.,['Soy santa lucense.']
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"['Soy liechtensteiniano.', 'Soy liechtensteiniana.']"
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"['Soy esrilanqués.', 'Soy esrilanquesa.']"
I am Mosotho.,,,Soy lesotense.,"['Soy mosoto.', 'Soy mosotha.']"
I am Lithuanian.,Soy lituano.,Soy lituana.,,"['Soy lituano.', 'Soy lituana.']"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,['Soy luxemburgués.']
I am Latvian.,Soy letón.,,,"['Soy letón.', 'Soy letona.']"
I am Moroccan.,,,Soy marroquí.,['Soy marroquí.']
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"['Soy monegasco.', 'Soy monegasca.']"
I am Moldovan.,Soy moldavo.,Soy moldava.,,"['Soy moldavo.', 'Soy moldava.']"
I am Malagasy.,,,Soy malgache.,['Soy malgache.']
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"['Soy maldivo.', 'Soy maldiva.']"
I am Mexican.,Soy mexicano.,Soy mexicana.,,"['Soy mexicano.', 'Soy mexicana.']"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"['Soy marshalés.', 'Soy marshalesa.']"
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"['Soy macedonio.', 'Soy macedonia.']"
I am Malian.,,,Soy malí.,['Soy maliense.']
I am Maltese.,Soy maltés.,Soy maltésa.,,"['Soy maltés.', 'Soy maltesa.']"
I am Burmese.,,,Soy de Myanmar.,"['Soy birmano.', 'Soy birmana.']"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"['Soy montenegrino.', 'Soy montenegrina.']"
I am Mongolian.,Soy mongol.,,,['Soy mongol.']
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"['Soy mozambiqueño.', 'Soy mozambiqueña.']"
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"['Soy mauritano.', 'Soy mauritana.']"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"['Soy mauriciano.', 'Soy mauriciana.']"
I am Malawian.,,,Soy malauí.,['Soy malauí.']
I am Malaysian.,Soy malasio.,Soy malasia.,,"['Soy malasio.', 'Soy malasia.']"
I am Namibian.,Soy namibio.,Soy namibia.,,"['Soy namibio.', 'Soy a.']"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"['Soy nigerino.', 'Soy nigerina.']"
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"['Soy nigeriano.', 'Soy nigeriana.']"
I am Nicaraguan.,,,Soy nicaragüense.,['Soy nicaragüense.']
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"['Soy holandés.', 'Soy holandesa.']"
I am Norwegian.,Soy noruego.,Soy noruega.,,"['Soy noruego.', 'Soy noruega.']"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"['Soy nepalí.', 'Soy nepalesa.']"
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"['Soy nauruano.', 'Soy nauruana.']"
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"['Soy neozelandés.', 'Soy neozelandesa.']"
I am Omani.,,,Soy omaní.,['Soy omaní.']
I am Pakistani.,,,Soy pakistaní.,['Soy pakistaní.']
I am Panamanian.,Soy panameño.,Soy panameña.,,"['Soy panameño.', 'Soy panameña.']"
I am Peruvian.,Soy peruano.,Soy peruana.,,"['Soy peruano.', 'Soy peruana.']"
I am Filipino.,Soy filipino.,Soy filipina.,,"['Soy filipino.', 'Soy filipina.']"
I am Palauan.,Soy palauano.,Soy palauana.,,"['Soy palauano.', 'Soy palauana.']"
I am Papua New Guinean.,,,Soy papú.,['Soy papú neoguineano.']
I am Polish.,Soy polaco.,Soy polaca.,,"['Soy polaco.', 'Soy polaca.']"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"['Soy norcoreano.', 'Soy a.']"
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"['Soy portugués.', 'Soy portuguesa.']"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"['Soy paraguayo.', 'Soy paraguaya.']"
I am Qatari.,,,Soy qatarí.,['Soy qatarí.']
I am Romanian.,Soy rumano.,Soy rumana.,,"['Soy rumano.', 'Soy rumana.']"
I am Russian.,Soy ruso.,Soy rusa.,,"['Soy ruso.', 'Soy rusa.']"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"['Soy ruandés.', 'Soy ruandesa.']"
I am Saudi Arabian.,,,Soy saudí.,['Soy saudí.']
I am Sudanese.,,,Soy sudanés.,"['Soy sudanés.', 'Soy sudanesa.']"
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"['Soy senegalés.', 'Soy senegalesa.']"
I am Singaporean.,,,Soy singapurense.,['Soy singapurense.']
I am Solomon Islander.,,,Soy salomonense.,['Soy salomonense.']
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"['Soy sierraleonés.', 'Soy sierraleonesa.']"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"['Soy salvadoreño.', 'Soy salvadoreña.']"
I am Sammarinese.,,,Soy sanmarinense.,['Soy sanmarinense.']
I am Somali.,,,Soy somalí.,['Soy somalí.']
I am Serbian.,Soy serbio.,Soy serbia.,,"['Soy serbio.', 'Soy serbia.']"
I am South Sudanese.,,,Soy sursudanés.,['Soy sursudanés.']
I am Sao Tomean.,,,Soy santotomense.,['Soy santotomense.']
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"['Soy surinamés.', 'Soy surinamesa.']"
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"['Soy eslovaco.', 'Soy eslovaca.']"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"['Soy esloveno.', 'Soy eslovena.']"
I am Swedish.,Soy sueco.,Soy sueca.,,"['Soy sueco.', 'Soy sueca.']"
I am Swazi.,,,Soy esuatiní.,['Soy suazi.']
I am Seychellois.,,,Soy seychellense.,['Soy seychellense.']
I am Syrian.,Soy sirio.,Soy siria.,,"['Soy sirio.', 'Soy siria.']"
I am Chadian.,Soy chadiano.,Soy chadiana.,,['Soy chadiano.']
I am Togolese.,Soy togolés.,Soy togolésa.,,"['Soy togolés.', 'Soy togoleña.']"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"['Soy tailandés.', 'Soy tailandesa.']"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"['Soy tayiko.', 'Soy tayika.']"
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"['Soy turcomano.', 'Soy turcomana.']"
I am East Timorese.,,,Soy timorense.,['Soy timorense.']
I am Tongan.,Soy tongano.,Soy tongana.,,"['Soy tongano.', 'Soy tongana.']"
I am Trinidadian.,,,Soy trinitense.,"['Soy trinitario.', 'Soy trinitaria.', 'Soy trinitense.']"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"['Soy tunecino.', 'Soy tunecina.']"
I am Turkish.,Soy turco.,Soy turca.,,"['Soy turco.', 'Soy turca.']"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"['Soy tuvaluano.', 'Soy tuvaluana.']"
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,['Soy tanzano.']
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"['Soy ugandés.', 'Soy ugandesa.']"
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"['Soy ucraniano.', 'Soy ucraniana.']"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"['Soy uruguayo.', 'Soy uruguaya.']"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,['Soy estadounidense.']
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"['Soy uzbeko.', 'Soy uzbeka.']"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"['Soy sanvicentino.', 'Soy sanvicentina.']"
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"['Soy venezolano.', 'Soy venezolana.']"
I am Vietnamese.,,,Soy vietnamita.,['Soy vietnamita.']
I am Ni-Vanuatu.,,,Soy vanuatuense.,['Soy ni-vanuatu.']
I am Samoan.,Soy samoano.,Soy samoana.,,"['Soy samoano.', 'Soy samoana.']"
I am Yemeni.,,,Soy yemení.,['Soy yemení.']
I am South African.,Soy sudafricano.,Soy sudafricana.,,"['Soy sudafricano.', 'Soy sudafricana.']"
I am Zambian.,Soy zambiano.,Soy zambiana.,,['Soy zambiano.']
I am Zimbabwean.,,,Soy zimbabuense.,['Soy zimbabuense.']
