eng,it_m,it_f,it_n,output
I am Irish.,,,Sono irlandese.,"Sure! The translation of ""I am Irish"" into Italian is ""Sono irlandese""."
I am Iranian.,Sono iraniano.,Sono iraniana.,,"Sure! The translation of ""I am Iranian"" into Italian is ""Sono iraniano"" for a male speaker or ""Sono iraniana"" for a female speaker."
I am Iraqi.,Sono iracheno.,Sono irachena.,,"Sure! The translation of ""I am Iraqi"" into Italian is ""Sono iracheno."""
I am Icelander.,,,Sono islandese.,"Certainly! The translation of ""I am Icelander"" into Italian is ""Io sono islandese."""
I am Israeli.,Sono israeliano.,Sono israeliana.,,"Sure! The translation of ""I am Israeli"" into Italian is ""Io sono israeliano/a""."
I am Italian.,Sono italiano.,Sono italiana.,,"Sure! The translation of ""I am Italian"" into Italian is ""Sono italiano."""
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"Sure! The translation of ""I am Jamaican"" into Italian is ""Sono giamaicano/a"" depending on the gender of the speaker."
I am Jordanian.,Sono giordano.,Sono giordana.,,"Sure! The translation of ""I am Jordanian"" into Italian is ""Sono giordano/a."""
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"Sure! The translation of ""I am Japanese"" into Italian is ""Sono giapponese."""
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"Sure! The translation of ""I am Kazakhstani"" into Italian is ""Sono kazako/a""."
I am Kenyan.,,,Sono keniota.,"Sure! The translation of ""I am Kenyan"" into Italian is ""Sono keniota""."
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"Sure! The translation of ""I am Kirghiz"" into Italian is ""Io sono kirghiso/a""."
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"Sure! The translation of ""I am Cambodian"" into Italian is ""Sono cambogiano/a""."
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"Sure! The translation of ""I am I-Kiribati"" into Italian is ""Io sono I-Kiribati""."
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"Sure! The translation of ""I am Kittitian or Nevisian"" into Italian is ""Sono Kittitiano o Nevisiano."""
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"Sure! The translation of ""I am South Korean"" into Italian is ""Sono sudcoreano/a""."
I am Kuwaiti.,,,,"Sure! The translation of ""I am Kuwaiti"" into Italian is ""Sono kuwaitiano/a""."
I am Laotian.,Sono laotiano.,Sono laotiana.,,"Sure! The translation of ""I am Laotian"" into Italian is ""Io sono laotiano/a""."
I am Lebanese.,,,Sono libanese.,"Sure! The translation of ""I am Lebanese"" into Italian is ""Sono libanese."""
I am Liberian.,Sono liberiano.,Sono liberiana.,,"Sure! The translation of ""I am Liberian"" into Italian is ""Sono liberiano."""
I am Libyan.,Sono libico.,Sono libica.,,"Sure! The translation of ""I am Libyan"" into Italian is ""Sono libico/a"" depending on the gender of the speaker."
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"Sure! The translation of ""I am Saint Lucian"" into Italian is ""Io sono luciano."""
I am Liechtensteiner.,,,Sono liechtensteinese.,"Sure! The translation of ""I am Liechtensteiner"" into Italian is ""Io sono liechtensteinese""."
I am Sri Lankan.,,,Sono sri lankese.,"Sure! The translation of ""I am Sri Lankan"" into Italian is ""Io sono dello Sri Lanka."""
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"Sure! The translation of ""I am Mosotho"" into Italian is ""Io sono Mosotho""."
I am Lithuanian.,Sono lituano.,Sono lituana.,,"Sure! The translation of ""I am Lithuanian"" into Italian is ""Sono lituano/a."""
I am Luxembourger.,,,Sono lussemburghese.,"Sure! The translation of ""I am Luxembourger"" into Italian is ""Io sono lussemburghese."""
I am Latvian.,Sono lettone.,Sono lettona.,,"Sure! The translation of ""I am Latvian"" into Italian is ""Sono lettone""."
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"Sure! The translation of ""I am Moroccan"" in Italian is ""Sono marocchino/a"" depending on the gender of the speaker."
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"Certainly! The translation of ""I am Monegasque"" into Italian is ""Io sono monegasco."""
I am Moldovan.,Sono moldavo.,Sono moldava.,,"Sure! The translation of ""I am Moldovan"" into Italian is ""Sono moldavo/a"" depending on the gender of the speaker."
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"Sure! The translation of ""I am Malagasy"" into Italian is ""Io sono malgascio."""
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"Sure! The translation of ""I am Maldivan"" into Italian is ""Io sono delle Maldive."""
I am Mexican.,Sono messicano.,Sono messicana.,,"Sure! The translation of ""I am Mexican"" into Italian is ""Sono messicano/a"" depending on the gender of the speaker."
I am Marshallese.,,,Sono marshallese.,"Sure! The translation of ""I am Marshallese"" into Italian is ""Sono delle Isole Marshall""."
I am Macedonian.,,,Sono macedone.,"Sure! The translation of ""I am Macedonian"" into Italian is ""Sono macedone""."
I am Malian.,Sono maliano.,Sono maliana.,,"Sure! The translation of ""I am Malian"" into Italian is ""Io sono maliano."""
I am Maltese.,,,Sono maltese.,"Sure! The translation of ""I am Maltese"" into Italian is ""Io sono maltese""."
I am Burmese.,Sono birmano.,Sono birmese.,,"Sure! The translation of ""I am Burmese"" into Italian is ""Sono birmano/a""."
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"Sure! The translation of ""I am Montenegrin"" into Italian is ""Io sono montenegrino/a."""
I am Mongolian.,Sono mongolo.,Sono mongola.,,"Sure! The translation of ""I am Mongolian"" into Italian is ""Sono mongolo/a."""
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"Sure! The translation of ""I am Mozambican"" into Italian is ""Sono mozambicano/a"" depending on the gender of the speaker."
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"Sure! The translation of ""I am Mauritanian"" into Italian is ""Sono mauritano/a"" depending on the gender of the speaker."
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"Sure! The translation of ""I am Mauritian"" into Italian is ""Io sono mauriziano."""
I am Malawian.,Sono malawiano.,Sono malawiana.,,"Sure! The translation of ""I am Malawian"" into Italian is ""Io sono malawiano."""
I am Malaysian.,,,Sono malese.,"Sure! The translation of ""I am Malaysian"" into Italian is ""Sono malese."""
I am Namibian.,Sono namibiano.,Sono namibiana.,,"Sure! The translation of ""I am Namibian"" into Italian is ""Io sono namibiano."""
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"Sure! The translation of ""I am Nigerien"" into Italian is ""Sono nigerino/a."""
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"Sure! The translation of ""I am Nigerian"" into Italian is ""Sono nigeriano/a."""
I am Nicaraguan.,,,Sono nicaraguense.,"Sure! The translation of ""I am Nicaraguan"" into Italian is ""Sono nicaraguense""."
I am Dutch.,,,Sono olandese.,"Sure! The translation of ""I am Dutch"" into Italian is ""Sono olandese""."
I am Norwegian.,,,Sono norvegese.,"Sure! The translation of ""I am Norwegian"" into Italian is ""Sono norvegese."""
I am Nepalese.,,,Sono nepalese.,"Sure! The translation of ""I am Nepalese"" into Italian is ""Sono nepalese."""
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"Sure! The translation of ""I am Nauruan"" into Italian is ""Io sono Nauruano""."
I am New Zealander.,,,Sono neozelandese.,"Sure! The translation of ""I am New Zealander"" into Italian is ""Sono neozelandese""."
I am Omani.,,,Sono omanita.,"Sure! The translation of ""I am Omani"" into Italian is ""Sono omano/a."""
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"Sure! The translation of ""I am Pakistani"" into Italian is ""Sono pakistano/a""."
I am Panamanian.,,,Sono panamense.,"Sure! The translation of ""I am Panamanian"" into Italian is ""Sono panamense."""
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"Sure! The translation of ""I am Peruvian"" into Italian is ""Sono peruviano/a."""
I am Filipino.,Sono filippino.,Sono filippina.,,"Sure! The translation of ""I am Filipino"" in Italian is ""Sono filippino/a."""
I am Palauan.,Sono palauano.,Sono palauana.,,"Sure! The translation of ""I am Palauan"" into Italian is ""Io sono palauano."""
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"Sure! The translation of ""I am Papua New Guinean"" into Italian is ""Sono papuano""."
I am Polish.,Sono polacco.,Sono polacca.,,"Sure! The translation of ""I am Polish"" into Italian is ""Sono polacco/a"" depending on the gender of the speaker."
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"Certainly! The translation of ""I am North Korean"" into Italian is ""Sono nordcoreano/a."""
I am Portuguese.,,,Sono portoghese.,"Sure! The translation of ""I am Portuguese"" into Italian is ""Sono portoghese""."
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"Sure! The translation of ""I am Paraguayan"" into Italian is ""Sono paraguaiano."""
I am Qatari.,,,Sono qatariota.,"Sure! The translation of ""I am Qatari"" into Italian is ""Io sono qatariota."""
I am Romanian.,Sono rumeno.,Sono rumena.,,"Sure! The translation of ""I am Romanian"" into Italian is ""Sono rumeno/a""."
I am Russian.,Sono russo.,Sono russa.,,"Sure! The translation of ""I am Russian"" into Italian is ""Sono russo/a"" depending on the gender of the speaker."
I am Rwandan.,,,Sono ruandese.,"Sure! The translation of ""I am Rwandan"" into Italian is ""Sono rwandese."""
I am Saudi Arabian.,,,Sono saudita.,"Sure! The translation of ""I am Saudi Arabian"" into Italian is ""Sono saudita."""
I am Sudanese.,,,Sono sudanese.,"Sure! The translation of ""I am Sudanese"" into Italian is ""Sono sudanese""."
I am Senegalese.,,,Sono senegalese.,"Sure! The translation of ""I am Senegalese"" into Italian is ""Io sono senegalese""."
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"Sure! The translation of ""I am Singaporean"" into Italian is ""Io sono di Singapore""."
I am Solomon Islander.,,,Sono salomonese.,"Sure! The translation of ""I am Solomon Islander"" into Italian is ""Sono delle Isole Salomone""."
I am Sierra Leonean.,,,Sono sierra leonese.,"Sure! The translation of ""I am Sierra Leonean"" into Italian is ""Sono sierraleonese""."
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"Sure! The translation of ""I am Salvadoran"" into Italian is ""Sono salvadoregno/a"" depending on the gender of the speaker."
I am Sammarinese.,,,Sono sammarinese.,"Sure! The translation of ""I am Sammarinese"" into Italian is ""Io sono sammarinese""."
I am Somali.,Sono somalo.,Sono somala.,,"Sure! The translation of ""I am Somali"" into Italian is ""Sono somalo/a""."
I am Serbian.,Sono serbo.,Sono serba.,,"Sure! The translation of ""I am Serbian"" into Italian is ""Sono serbo."""
I am South Sudanese.,,,Sono sudsudanese.,"Sure! The translation of ""I am South Sudanese"" into Italian is ""Sono sudanese del Sud""."
I am Sao Tomean.,,,Sono saotomense.,"Sure! The translation of ""I am Sao Tomean"" into Italian is ""Sono di Sao Tomé""."
I am Surinamer.,,,Sono surinamese.,"Sure! The translation of ""I am Surinamer"" into Italian is ""Io sono surinamese."""
I am Slovak.,Sono slovacco.,Sono slovacca.,,"Sure! The translation of ""I am Slovak"" into Italian is ""Sono slovacco."""
I am Slovene.,Sono sloveno.,Sono slovena.,,"Sure! The translation of ""I am Slovene"" into Italian is ""Io sono sloveno."""
I am Swedish.,,,Sono svedese.,"Certainly! The translation of ""I am Swedish"" into Italian is ""Sono svedese."""
I am Swazi.,,,Sono swazilandese.,"Sure! The translation of ""I am Swazi"" into Italian is ""Io sono swazi""."
I am Seychellois.,,,Sono seicellese.,"Sure! The translation of ""I am Seychellois"" in Italian is ""Io sono seychellese""."
I am Syrian.,Sono siriano.,Sono siriana.,,"Sure! The translation of ""I am Syrian"" into Italian is ""Sono siriano."""
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"Sure! The translation of ""I am Chadian"" into Italian is ""Io sono Chadiano/a""."
I am Togolese.,,,Sono togolese.,"Sure! The translation of ""I am Togolese"" into Italian is ""Sono togolese""."
I am Thai.,,,Sono thailandese.,"Sure! The translation of ""I am Thai"" into Italian is ""Sono tailandese""."
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"Sure! The translation of ""I am Tadzhik"" into Italian is ""Io sono tagiko""."
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"Sure! The translation of ""I am Turkmen"" into Italian is ""Io sono turkmeno."""
I am East Timorese.,,,Sono timorese.,"Sure! The translation of ""I am East Timorese"" into Italian is ""Sono di Timor Est""."
I am Tongan.,Sono tongano.,Sono tongana.,,"Sure! The translation of ""I am Tongan"" into Italian is ""Io sono tongano""."
I am Trinidadian.,,,Sono trinitense.,"Sure! The translation of ""I am Trinidadian"" into Italian is ""Sono trinidadiano/a."""
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"Sure! The translation of ""I am Tunisian"" into Italian is ""Sono tunisino/a""."
I am Turkish.,Sono turco.,Sono turca.,,"Sure! The translation of ""I am Turkish"" into Italian is ""Sono turco/a."""
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"Sure! The translation of ""I am Tuvaluan"" into Italian is ""Io sono tuvaluano/a""."
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"Sure! The translation of ""I am Tanzanian"" into Italian is ""Io sono tanzaniano/a."""
I am Ugandan.,,,Sono ugandese.,"Sure! The translation of ""I am Ugandan"" into Italian is ""Sono ugandese."""
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"Sure! The translation of ""I am Ukrainian"" into Italian is ""Sono ucraino/a"" depending on the gender of the speaker."
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"Sure! The translation of ""I am Uruguayan"" into Italian is ""Sono uruguaiano/a""."
I am American.,,,Sono statunitense.,"Sure! The translation of ""I am American"" into Italian is ""Sono americano"" for a male speaker or ""Sono americana"" for a female speaker."
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"Sure! The translation of ""I am Uzbekistani"" into Italian is ""Sono uzbeko""."
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"Sure! The translation of ""I am Saint Vincentian"" into Italian is ""Io sono di Saint Vincent""."
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"Sure! The translation of ""I am Venezuelan"" into Italian is ""Sono venezuelano/a."""
I am Vietnamese.,,,Sono vietnamita.,"Sure! The translation of ""I am Vietnamese"" into Italian is ""Sono vietnamita""."
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"Sure! The translation of ""I am Ni-Vanuatu"" into Italian is ""Io sono Ni-Vanuatu""."
I am Samoan.,Sono samoano.,Sono samoana.,,"Sure! The translation of ""I am Samoan"" in Italian is ""Io sono samoano/a""."
I am Yemeni.,,,Sono yemenita.,"Sure! The translation of ""I am Yemeni"" into Italian is ""Sono yemenita""."
I am South African.,Sono sudafricano.,Sono sudafricana.,,"Sure! The translation of ""I am South African"" into Italian is ""Sono sudafricana"" if the speaker is female, or ""Sono sudafricano"" if the speaker is male."
I am Zambian.,Sono zambiano.,Sono zambiana.,,"Sure! The translation of ""I am Zambian"" into Italian is ""Sono zambiano/a."""
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"Sure! The translation of ""I am Zimbabwean"" into Italian is ""Sono zimbabwese""."
