eng,spa_m,spa_f,spa_n,output
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"Sure, the translation of ""I am Bolivian"" into Spanish is ""Soy boliviano."" If you are female, you would say ""Soy boliviana."""
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"Sure! The translation of ""I am Brazilian"" into Spanish is ""Soy brasileño"" (if you are male) or ""Soy brasileña"" (if you are female)."
I am Barbadian.,,,Soy barbadense.,"Sure! The translation of ""I am Barbadian"" into Spanish is ""Soy barbadense."""
I am Bruneian.,Soy bruneano.,Soy bruneana.,,Soy de Brunéi.
I am Bhutanese.,Soy butanés.,Soy butanésa.,,Soy butanés.
I am Motswana.,Soy botsuano.,Soy botsuana.,,Yo soy motswana.
I am Central African.,Soy centroafricano.,Soy centroafricana.,,Soy centroafricano.
I am Canadian.,,,Soy canadiense.,"Sure! The translation of ""I am Canadian"" into Spanish is ""Soy canadiense."""
I am Swiss.,Soy suizo.,Soy suiza.,,"Sure! The translation of ""I am Swiss"" into Spanish is ""Soy suizo"" (if you are male) or ""Soy suiza"" (if you are female)."
I am Chilean.,Soy chileno.,Soy chilena.,,Soy chileno.
I am Chinese.,Soy chino.,Soy china.,,"Sure! The translation of ""I am Chinese"" into Spanish is ""Soy chino"" (if you are male) or ""Soy china"" (if you are female)."
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,Soy marfileño.
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,Soy camerunés.
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Sure, the translation of ""I am Congolese"" into Spanish is ""Soy congoleño"" if you are male, or ""Soy congoleña"" if you are female."
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Sure, the translation of ""I am Congolese"" into Spanish is ""Soy congoleño"" if you are male, or ""Soy congoleña"" if you are female."
I am Colombian.,Soy colombiano.,Soy colombiana.,,"Sure! The translation of ""I am Colombian"" into Spanish is ""Soy colombiano."" If you are female, you would say ""Soy colombiana."""
I am Comoran.,,,Soy comorense.,Soy comorense.
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,I am Cape Verdian. - Soy caboverdiano.
I am Costa Rican.,,,Soy costarricense.,Soy costarricense.
I am Cuban.,Soy cubano.,Soy cubana.,,"Sure! The translation of ""I am Cuban"" into Spanish is ""Soy cubano."" If you are female, you would say ""Soy cubana."""
I am Cypriot.,,,Soy chipriota.,"Sure! The translation of ""I am Cypriot"" into Spanish is ""Soy chipriota."""
I am Czech.,Soy checo.,Soy checa.,,Soy checo (if you are male) or Soy checa (if you are female).
I am German.,Soy alemán.,,,Soy alemán.
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"Sure! The translation of ""I am Djibouti"" into Spanish is ""Soy Yibuti."""
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano."" If you are female, you would say ""Soy dominicana."""
I am Danish.,Soy danés.,Soy danésa.,,Soy danés.
I am Dominican.,Soy dominicano.,Soy dominicana.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano"" (if you are male) or ""Soy dominicana"" (if you are female)."
I am Algerian.,Soy argelino.,Soy argelina.,,Soy argelino.
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,I am Ecuadorean. - Soy ecuatoriano.
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"Sure! The translation of ""I am Egyptian"" into Spanish is ""Soy egipcio"" if you are male, or ""Soy egipcia"" if you are female."
I am Eritrean.,Soy eritreo.,Soy eritra.,,Soy eritreo (if you are male) or Soy eritrea (if you are female).
I am Spanish.,Soy español.,,,"Claro, la traducción de ""I am Spanish"" al español es: ""Soy español."""
I am Estonian.,Soy estonio.,Soy estona.,,Soy estonio.
I am Ethiopian.,,,Soy etíope.,"Sure, the translation of ""I am Ethiopian"" into Spanish is ""Soy etíope."""
I am Finnish.,Soy finlandés.,Soy finlandésa.,,Soy finlandés.
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,Yo soy fiyiano.
I am French.,Soy francés.,Soy francésa.,,"Sure! The translation of ""I am French"" into Spanish is ""Soy francés."" If you are female, you would say ""Soy francesa."""
I am Micronesian.,Soy micronesio.,Soy micronesia.,,Soy micronesio.
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"Sure! The translation of ""I am Gabonese"" into Spanish is ""Soy gabonés."""
I am British.,Soy británico.,Soy británia.,,Soy británico.
I am Georgian.,Soy georgiano.,Soy georgiana.,,"Claro, la traducción de ""I am Georgian"" al español es ""Soy georgiano"" si eres hombre, o ""Soy georgiana"" si eres mujer."
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,Soy ghanés.
I am Guinean.,Soy guineano.,Soy guineana.,,"Sure, the translation of ""I am Guinean"" into Spanish is ""Soy guineano"" if you are male, or ""Soy guineana"" if you are female."
I am Gambian.,Soy gambiano.,Soy gambiana.,,Soy gambiano.
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,Yo soy de Guinea-Bisáu.
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,I am Equatorial Guinean. - Soy ecuatoguineano.
I am Greek.,Soy griego.,Soy griega.,,Soy griego.
I am Grenadian.,Soy granadino.,Soy granadina.,,"Certainly! The translation of ""I am Grenadian"" into Spanish is ""Soy granadino."""
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"Sure! The translation of ""I am Guatemalan"" into Spanish is ""Soy guatemalteco."" If you are female, you would say ""Soy guatemalteca."""
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,Soy guyanés.
I am Honduran.,Soy hondureño.,Soy hondureña.,,Soy hondureño.
I am Croatian.,,,Soy croata.,Soy croata.
I am Haitian.,Soy haitiano.,Soy haitiana.,,"Sure! The translation of ""I am Haitian"" into Spanish is ""Soy haitiano"" (if you are male) or ""Soy haitiana"" (if you are female)."
I am Hungarian.,Soy húngaro.,Soy húngara.,,"Sure! The translation of ""I am Hungarian"" into Spanish is ""Soy húngaro"" (if you are male) or ""Soy húngara"" (if you are female)."
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"Soy indonesio. (if you are male)  
Soy indonesia. (if you are female)"
I am Indian.,Soy indio.,Soy india.,,"Sure! The translation of ""I am Indian"" into Spanish is ""Soy indio"" (if you are male) or ""Soy india"" (if you are female)."
I am Irish.,Soy irlandés.,Soy irlandésa.,,"Sure! The translation of ""I am Irish"" into Spanish is ""Soy irlandés."" If you are female, you would say ""Soy irlandesa."""
I am Iranian.,,,Soy iraní.,"Sure! The translation of ""I am Iranian"" into Spanish is ""Soy iraní."""
I am Iraqi.,,,Soy iraquí.,Soy iraquí.
I am Icelander.,Soy islandés.,Soy islandésa.,,Soy islandés (if you are male) or Soy islandesa (if you are female).
I am Israeli.,,,Soy israelí.,Soy israelí.
I am Italian.,Soy italiano.,Soy italiana.,,Soy italiano.
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,Soy jamaiquino (for a male) or Soy jamaiquina (for a female).
I am Jordanian.,Soy jordano.,Soy jordana.,,Soy jordano (if you are male) or Soy jordana (if you are female).
I am Japanese.,Soy japonés.,Soy japonésa.,,Soy japonés.
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,I am Kazakhstani. - Soy kazajo.
I am Kenyan.,,,Soy keniata.,Soy keniano.
I am Kirghiz.,,,Soy kirguís.,"Sure! The translation of ""I am Kirghiz"" into Spanish is ""Soy kirguiso"" (if you are male) or ""Soy kirguisa"" (if you are female)."
I am Cambodian.,Soy camboyano.,Soy camboyana.,,Soy camboyano.
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,Soy kiribatiano.
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"Sure! The translation of ""I am Kittitian or Nevisian"" into Spanish is: ""Soy de San Cristóbal y Nieves."""
I am South Korean.,,,Soy de la República de Corea.,I am South Korean. - Soy surcoreano.
I am Kuwaiti.,,,Soy kuwaití.,Soy kuwaití.
I am Laotian.,Soy laosiano.,Soy laosiana.,,Soy laosiano.
I am Lebanese.,Soy libanés.,Soy libanésa.,,"Sure, the translation of ""I am Lebanese"" into Spanish is ""Soy libanés"" if you are male, or ""Soy libanesa"" if you are female."
I am Liberian.,Soy liberiano.,Soy liberiana.,,Soy liberiano.
I am Libyan.,Soy libio.,Soy libia.,,"Sure! The translation of ""I am Libyan"" into Spanish is ""Soy libio"" (if you are male) or ""Soy libia"" (if you are female)."
I am Saint Lucian.,,,Soy santalucense.,Soy de Santa Lucía.
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,Soy de Liechtenstein.
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,Soy de Sri Lanka.
I am Mosotho.,,,Soy lesotense.,Soy mosotho.
I am Lithuanian.,Soy lituano.,Soy lituana.,,Soy lituano (if you are male) or Soy lituana (if you are female).
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,Soy luxemburgués.
I am Latvian.,Soy letón.,,,Soy letón.
I am Moroccan.,,,Soy marroquí.,"Sure! The translation of ""I am Moroccan"" into Spanish is ""Soy marroquí."""
I am Monegasque.,Soy monegasco.,Soy monegasca.,,Yo soy monegasco.
I am Moldovan.,Soy moldavo.,Soy moldava.,,"Sure! The translation of ""I am Moldovan"" into Spanish is ""Soy moldavo."""
I am Malagasy.,,,Soy malgache.,Soy malgache.
I am Maldivan.,Soy maldivo.,Soy maldiva.,,Soy maldivo.
I am Mexican.,Soy mexicano.,Soy mexicana.,,"Sure! The translation of ""I am Mexican"" into Spanish is ""Soy mexicano."" If you are female, you would say ""Soy mexicana."""
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,Soy marshalés.
I am Macedonian.,Soy macedonio.,Soy macedonia.,,Soy macedonio (if you are male) or Soy macedonia (if you are female).
I am Malian.,,,Soy malí.,Soy de Malí.
I am Maltese.,Soy maltés.,Soy maltésa.,,"Sure! The translation of ""I am Maltese"" into Spanish is ""Soy maltés."""
I am Burmese.,,,Soy de Myanmar.,"Claro, la traducción de ""I am Burmese"" al español es ""Soy birmano"" si eres hombre o ""Soy birmana"" si eres mujer."
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,Soy montenegrino (for a male) or Soy montenegrina (for a female).
I am Mongolian.,Soy mongol.,,,Soy mongol.
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,Soy mozambiqueño.
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,Soy mauritano (if you are male) or Soy mauritana (if you are female).
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"Sure, the translation of ""I am Mauritian"" into Spanish is ""Soy mauriciano"" if you are male, or ""Soy mauriciana"" if you are female."
I am Malawian.,,,Soy malauí.,Soy malauí.
I am Malaysian.,Soy malasio.,Soy malasia.,,"Sure! The translation of ""I am Malaysian"" into Spanish is ""Soy malasio"" if you are male, or ""Soy malasia"" if you are female."
I am Namibian.,Soy namibio.,Soy namibia.,,Soy namibio (for males) or Soy namibia (for females).
I am Nigerien.,Soy nigerino.,Soy nigerina.,,Soy nigerino.
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,Soy nigeriano.
I am Nicaraguan.,,,Soy nicaragüense.,"Sure! The translation of ""I am Nicaraguan"" into Spanish is ""Soy nicaragüense."""
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"Sure! The translation of ""I am Dutch"" into Spanish is ""Soy holandés"" if you are male, or ""Soy holandesa"" if you are female."
I am Norwegian.,Soy noruego.,Soy noruega.,,"Sure! The translation of ""I am Norwegian"" into Spanish is ""Soy noruego"" (if you are male) or ""Soy noruega"" (if you are female)."
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,Soy nepalí.
I am Nauruan.,Soy nauruano.,Soy nauruana.,,Soy nauruano.
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,Soy neozelandés (if you are male) or Soy neozelandesa (if you are female).
I am Omani.,,,Soy omaní.,"Sure! The translation of ""I am Omani"" into Spanish is ""Soy omaní."""
I am Pakistani.,,,Soy pakistaní.,"Sure, the translation of ""I am Pakistani"" into Spanish is ""Soy paquistaní."""
I am Panamanian.,Soy panameño.,Soy panameña.,,Soy panameño.
I am Peruvian.,Soy peruano.,Soy peruana.,,"Claro, la traducción de ""I am Peruvian"" al español es: ""Soy peruano"" (if you are male) or ""Soy peruana"" (if you are female)."
I am Filipino.,Soy filipino.,Soy filipina.,,Soy filipino.
I am Palauan.,Soy palauano.,Soy palauana.,,Soy palauano.
I am Papua New Guinean.,,,Soy papú.,Soy de Papúa Nueva Guinea.
I am Polish.,Soy polaco.,Soy polaca.,,"Sure! The translation of ""I am Polish"" into Spanish is ""Soy polaco"" (if you are male) or ""Soy polaca"" (if you are female)."
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,Soy norcoreano.
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"Sure! The translation of ""I am Portuguese"" into Spanish is ""Soy portugués"" if you are male, or ""Soy portuguesa"" if you are female."
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"Soy paraguayo. (if you are male)  
Soy paraguaya. (if you are female)"
I am Qatari.,,,Soy qatarí.,Yo soy qatarí.
I am Romanian.,Soy rumano.,Soy rumana.,,Soy rumano (if you are male) or Soy rumana (if you are female).
I am Russian.,Soy ruso.,Soy rusa.,,Soy ruso (if you are male) or Soy rusa (if you are female).
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,Soy ruandés (if you are male) or Soy ruandesa (if you are female).
I am Saudi Arabian.,,,Soy saudí.,Soy saudí.
I am Sudanese.,,,Soy sudanés.,Soy sudanés.
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"Sure! The translation of ""I am Senegalese"" into Spanish is ""Soy senegalés."""
I am Singaporean.,,,Soy singapurense.,Soy singapurense.
I am Solomon Islander.,,,Soy salomonense.,Yo soy de las Islas Salomón.
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,Soy de Sierra Leona.
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"Sure! The translation of ""I am Salvadoran"" into Spanish is ""Soy salvadoreño."""
I am Sammarinese.,,,Soy sanmarinense.,Soy sanmarinense.
I am Somali.,,,Soy somalí.,Soy somalí.
I am Serbian.,Soy serbio.,Soy serbia.,,Soy serbio.
I am South Sudanese.,,,Soy sursudanés.,Soy sursudanés.
I am Sao Tomean.,,,Soy santotomense.,Soy saotomense.
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"Sure! The translation of ""I am Surinamer"" into Spanish is ""Soy surinamés."""
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,Soy eslovaco.
I am Slovene.,Soy esloveno.,Soy eslovena.,,Yo soy esloveno.
I am Swedish.,Soy sueco.,Soy sueca.,,"Sure! The translation of ""I am Swedish"" into Spanish is ""Soy sueco"" if you are male, or ""Soy sueca"" if you are female."
I am Swazi.,,,Soy esuatiní.,"Sure, the translation of ""I am Swazi"" into Spanish is ""Soy suazi."""
I am Seychellois.,,,Soy seychellense.,Yo soy seychellense.
I am Syrian.,Soy sirio.,Soy siria.,,Soy sirio.
I am Chadian.,Soy chadiano.,Soy chadiana.,,Soy chadiano.
I am Togolese.,Soy togolés.,Soy togolésa.,,Soy togolés.
I am Thai.,Soy tailandés.,Soy tailandésa.,,Soy tailandés (if you are male) or Soy tailandesa (if you are female).
I am Tadzhik.,Soy tayiko.,Soy tayika.,,Soy tayiko.
I am Turkmen.,Soy turcomano.,Soy turcomana.,,Soy turcomano.
I am East Timorese.,,,Soy timorense.,"Sure, the translation of ""I am East Timorese"" into Spanish is ""Soy timorense del este."""
I am Tongan.,Soy tongano.,Soy tongana.,,Yo soy tongano.
I am Trinidadian.,,,Soy trinitense.,Yo soy trinitense.
I am Tunisian.,Soy tunecino.,Soy tunecina.,,Soy tunecino (if you are male) or Soy tunecina (if you are female).
I am Turkish.,Soy turco.,Soy turca.,,Soy turco (if you are male) or Soy turca (if you are female).
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,Yo soy tuvaluano (if you are male) or Yo soy tuvaluana (if you are female).
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,Soy tanzano (if you are male) or Soy tanzana (if you are female).
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,Soy ugandés.
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"Sure, the translation of ""I am Ukrainian"" into Spanish is ""Soy ucraniano"" if you are male, or ""Soy ucraniana"" if you are female."
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"Sure! The translation of ""I am Uruguayan"" into Spanish is ""Soy uruguayo"" if you are male, or ""Soy uruguaya"" if you are female."
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"Sure! The translation of ""I am American"" into Spanish is ""Soy americano"" (if you are male) or ""Soy americana"" (if you are female)."
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,Soy uzbeko (if male) or Soy uzbeka (if female).
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,Soy sanvicentino (if male) or Soy sanvicentina (if female).
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"Sure! The translation of ""I am Venezuelan"" into Spanish is ""Soy venezolano."" If you are female, you would say ""Soy venezolana."""
I am Vietnamese.,,,Soy vietnamita.,"Sure! The translation of ""I am Vietnamese"" into Spanish is ""Soy vietnamita."""
I am Ni-Vanuatu.,,,Soy vanuatuense.,Yo soy ni-vanuatu.
I am Samoan.,Soy samoano.,Soy samoana.,,Soy samoano (if you are male) or Soy samoana (if you are female).
I am Yemeni.,,,Soy yemení.,Soy yemení.
I am South African.,Soy sudafricano.,Soy sudafricana.,,"Sure! The translation of ""I am South African"" into Spanish is ""Soy sudafricano"" (if you are male) or ""Soy sudafricana"" (if you are female)."
I am Zambian.,Soy zambiano.,Soy zambiana.,,Soy zambiano.
I am Zimbabwean.,,,Soy zimbabuense.,Soy zimbabuense.
