eng,deu_m,deu_f,deu_n,output
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"The translation of ""I am Costa Rican"" into German is ""Ich bin Costa Ricaner"" for a male or ""Ich bin Costa Ricanerin"" for a female."
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"The translation of ""I am Cuban"" into German is ""Ich bin Kubaner"" if you are male, or ""Ich bin Kubanerin"" if you are female."
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"The translation of ""I am Cypriot"" into German is ""Ich bin Zyprer"" for a male or ""Ich bin Zyprerin"" for a female."
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"The translation of ""I am Czech"" into German is ""Ich bin Tscheche"" if you are male, or ""Ich bin Tschechin"" if you are female."
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"The translation of ""I am German"" into German is ""Ich bin Deutscher"" if you are male, or ""Ich bin Deutsche"" if you are female."
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"The translation of ""I am Djibouti"" into German is ""Ich bin Dschibuti."" However, if you meant to say ""I am in Djibouti,"" the translation would be ""Ich bin in Dschibuti."""
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner"" if you are male, or ""Ich bin Dominikanerin"" if you are female."
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"The translation of ""I am Danish"" into German is ""Ich bin Dänisch."" However, if you mean to say ""I am a Dane"" (referring to nationality), it would be ""Ich bin Däne"" for a male or ""Ich bin Dänin"" for a female."
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner"" for a male or ""Ich bin Dominikanerin"" for a female."
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"The translation of ""I am Algerian"" into German is ""Ich bin Algerier"" for a male or ""Ich bin Algerierin"" for a female."
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"The translation of ""I am Ecuadorean"" into German is ""Ich bin Ecuadorianer"" if you are male, or ""Ich bin Ecuadorianerin"" if you are female."
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"The translation of ""I am Egyptian"" into German is ""Ich bin Ägypter"" if you are male, or ""Ich bin Ägypterin"" if you are female."
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"The translation of ""I am Eritrean"" into German is ""Ich bin Eritreer"" for a male or ""Ich bin Eritreerin"" for a female."
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"The translation of ""I am Spanish"" into German is ""Ich bin Spanier"" if you are male, or ""Ich bin Spanierin"" if you are female."
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"The translation of ""I am Estonian"" into German is ""Ich bin Estnisch."""
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"The translation of ""I am Ethiopian"" into German is ""Ich bin Äthiopier"" if you are male, or ""Ich bin Äthiopierin"" if you are female."
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"The translation of ""I am Finnish"" into German is ""Ich bin Finne"" if you are male, or ""Ich bin Finnin"" if you are female."
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"The translation of ""I am Fijian"" into German is ""Ich bin Fidschianer"" for a male or ""Ich bin Fidschianerin"" for a female."
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"The translation of ""I am French"" into German is ""Ich bin Franzose"" if you are male, or ""Ich bin Französin"" if you are female."
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"The translation of ""I am Micronesian"" into German is ""Ich bin Mikronesier."""
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"The translation of ""I am Gabonese"" into German is ""Ich bin Gabuner"" for a male or ""Ich bin Gabunerin"" for a female."
I am British.,Ich bin Brite.,Ich bin  Britin.,,"The translation of ""I am British"" into German is ""Ich bin Brite"" for a male speaker or ""Ich bin Britin"" for a female speaker."
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"The translation of ""I am Georgian"" into German is ""Ich bin Georgier"" if you are male, or ""Ich bin Georgierin"" if you are female."
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"The translation of ""I am Ghanaian"" into German is ""Ich bin Ghanaer"" for a male or ""Ich bin Ghanaerin"" for a female."
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"The translation of ""I am Guinean"" into German is ""Ich bin Guineer"" for a male or ""Ich bin Guineerin"" for a female."
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"The translation of ""I am Gambian"" into German is ""Ich bin Gambier."" If you are female, you might say ""Ich bin Gambierin."""
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"The translation of ""I am Guinea-Bissauan"" into German is ""Ich bin Guinea-Bissauer"" if you are male, or ""Ich bin Guinea-Bissauerin"" if you are female."
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"The translation of ""I am Equatorial Guinean"" into German is ""Ich bin Äquatorialguineer"" for a male or ""Ich bin Äquatorialguineerin"" for a female."
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"The translation of ""I am Greek"" into German is ""Ich bin Grieche"" if you are male, or ""Ich bin Griechin"" if you are female."
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"The translation of ""I am Grenadian"" into German is ""Ich bin Grenader."""
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"The translation of ""I am Guatemalan"" into German is ""Ich bin Guatemalteke"" for a male or ""Ich bin Guatemaltekin"" for a female."
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"The translation of ""I am Guyanese"" into German is ""Ich bin Guyaner"" for a male or ""Ich bin Guyanerin"" for a female."
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"The translation of ""I am Honduran"" into German is ""Ich bin Honduraner"" for a male or ""Ich bin Honduranerin"" for a female."
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"The translation of ""I am Croatian"" into German is ""Ich bin Kroate"" if you are male, or ""Ich bin Kroatin"" if you are female."
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"The translation of ""I am Haitian"" into German is ""Ich bin Haitianer"" for a male or ""Ich bin Haitianerin"" for a female."
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"The translation of ""I am Hungarian"" into German is ""Ich bin Ungar"" if you are male, or ""Ich bin Ungarin"" if you are female."
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"The translation of ""I am Indonesian"" into German is ""Ich bin Indonesier"" for a male speaker or ""Ich bin Indonesierin"" for a female speaker."
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"The translation of ""I am Indian"" into German is ""Ich bin Inder"" if you are male, or ""Ich bin Inderin"" if you are female."
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"The translation of ""I am Irish"" into German is ""Ich bin Irin"" if you are female, or ""Ich bin Ire"" if you are male."
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"The translation of ""I am Iranian"" into German is ""Ich bin Iraner"" if you are male, or ""Ich bin Iranerin"" if you are female."
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"The translation of ""I am Iraqi"" into German is ""Ich bin Iraker"" for a male speaker or ""Ich bin Irakerin"" for a female speaker."
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"The translation of ""I am Icelander"" into German is ""Ich bin Isländer."""
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"The translation of ""I am Israeli"" into German is ""Ich bin Israeli."""
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"The translation of ""I am Italian"" into German is ""Ich bin Italiener"" if you are male, or ""Ich bin Italienerin"" if you are female."
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"The translation of ""I am Jamaican"" into German is ""Ich bin Jamaikaner"" for a male or ""Ich bin Jamaikanerin"" for a female."
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"The translation of ""I am Jordanian"" into German is ""Ich bin Jordanier"" for a male or ""Ich bin Jordanierin"" for a female."
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"The translation of ""I am Japanese"" into German is ""Ich bin Japaner"" if you are male, or ""Ich bin Japanerin"" if you are female."
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"The translation of ""I am Kazakhstani"" into German is ""Ich bin Kasachstaner"" for a male or ""Ich bin Kasachstanerin"" for a female."
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"The translation of ""I am Kenyan"" into German is ""Ich bin Kenianer"" for a male or ""Ich bin Kenianerin"" for a female."
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"The translation of ""I am Kirghiz"" into German is ""Ich bin Kirgise"" if you are male, or ""Ich bin Kirgisin"" if you are female."
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"The translation of ""I am Cambodian"" into German is ""Ich bin Kambodschaner"" for a male or ""Ich bin Kambodschanerin"" for a female."
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"The sentence ""I am I-Kiribati"" can be translated into German as ""Ich bin I-Kiribati."""
I am Kittitian or Nevisian.,,,,"The translation of ""I am Kittitian or Nevisian"" into German is ""Ich bin Kittitianer oder Nevisianer."""
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"The translation of ""I am South Korean"" into German is ""Ich bin Südkoreaner"" for a male speaker or ""Ich bin Südkoreanerin"" for a female speaker."
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"The translation of ""I am Kuwaiti"" into German is ""Ich bin Kuwaiti."""
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"The translation of ""I am Laotian"" into German is ""Ich bin Laote"" for a male speaker or ""Ich bin Laotin"" for a female speaker."
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"The translation of ""I am Lebanese"" into German is ""Ich bin Libanese"" if you are male, or ""Ich bin Libanesin"" if you are female."
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"The translation of ""I am Liberian"" into German is ""Ich bin Liberianer"" for a male speaker or ""Ich bin Liberianerin"" for a female speaker."
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"The translation of ""I am Libyan"" into German is ""Ich bin Libyer"" if you are male, or ""Ich bin Libyerin"" if you are female."
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"The translation of ""I am Saint Lucian"" into German is ""Ich bin Saint Lucianer"" for a male or ""Ich bin Saint Lucianerin"" for a female."
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"The translation of ""I am Liechtensteiner"" into German is ""Ich bin Liechtensteiner."""
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"The translation of ""I am Sri Lankan"" into German is ""Ich bin Sri Lanker"" if you are male, or ""Ich bin Sri Lankerin"" if you are female."
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"The sentence ""I am Mosotho"" can be translated into German as ""Ich bin Mosotho."""
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"The translation of ""I am Lithuanian"" into German is ""Ich bin Litauer"" for a male or ""Ich bin Litauerin"" for a female."
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"The translation of ""I am Luxembourger"" into German is ""Ich bin Luxemburger."""
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"The translation of ""I am Latvian"" into German is ""Ich bin Lettisch."""
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"The translation of ""I am Moroccan"" into German is ""Ich bin Marokkaner"" if you are male, or ""Ich bin Marokkanerin"" if you are female."
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"The translation of ""I am Monegasque"" into German is ""Ich bin Monegasse"" for a male speaker or ""Ich bin Monegassin"" for a female speaker."
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"The translation of ""I am Moldovan"" into German is ""Ich bin Moldauer"" if you are male, or ""Ich bin Moldauerin"" if you are female."
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"The translation of ""I am Malagasy"" into German is ""Ich bin Madagasse"" if you are male, or ""Ich bin Madagassin"" if you are female."
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"The translation of ""I am Maldivan"" into German is ""Ich bin Malediver."""
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"The translation of ""I am Mexican"" into German is ""Ich bin Mexikaner"" for a male speaker, or ""Ich bin Mexikanerin"" for a female speaker."
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"The translation of ""I am Marshallese"" into German is ""Ich bin Marshallese."""
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"The translation of ""I am Macedonian"" into German is ""Ich bin Mazedonier"" for a male speaker or ""Ich bin Mazedonierin"" for a female speaker."
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"The translation of ""I am Malian"" into German is ""Ich bin Malier"" for a male or ""Ich bin Malierin"" for a female."
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"The translation of ""I am Maltese"" into German is ""Ich bin Malteser."""
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"The translation of ""I am Burmese"" into German is ""Ich bin Burmesin"" if you are female, or ""Ich bin Burmeser"" if you are male."
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"The translation of ""I am Montenegrin"" into German is ""Ich bin Montenegriner"" for a male or ""Ich bin Montenegrinerin"" for a female."
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"The translation of ""I am Mongolian"" into German is ""Ich bin Mongole"" if you are male, or ""Ich bin Mongolin"" if you are female."
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"The translation of ""I am Mozambican"" into German is ""Ich bin Mosambikaner"" for a male or ""Ich bin Mosambikanerin"" for a female."
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"The translation of ""I am Mauritanian"" into German is ""Ich bin Mauretanier"" for a male speaker, or ""Ich bin Mauretanierin"" for a female speaker."
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"The translation of ""I am Mauritian"" into German is ""Ich bin Mauritier"" for a male or ""Ich bin Mauritierin"" for a female."
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"The translation of ""I am Malawian"" into German is ""Ich bin Malawier."""
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"The translation of ""I am Malaysian"" into German is ""Ich bin Malaysier"" for a male or ""Ich bin Malaysierin"" for a female."
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"The translation of ""I am Namibian"" into German is ""Ich bin Namibier"" for a male speaker or ""Ich bin Namibierin"" for a female speaker."
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"The translation of ""I am Nigerien"" into German is ""Ich bin Nigerier."""
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"The translation of ""I am Nigerian"" into German is ""Ich bin Nigerianer"" for a male or ""Ich bin Nigerianerin"" for a female."
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"The translation of ""I am Nicaraguan"" into German is ""Ich bin Nicaraguaner"" for a male or ""Ich bin Nicaraguanerin"" for a female."
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"The translation of ""I am Dutch"" into German is ""Ich bin Niederländer"" if you are male, or ""Ich bin Niederländerin"" if you are female."
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"The translation of ""I am Norwegian"" into German is ""Ich bin Norweger"" if you are male, or ""Ich bin Norwegerin"" if you are female."
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"The translation of ""I am Nepalese"" into German is ""Ich bin Nepalesisch."""
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"The translation of ""I am Nauruan"" into German is ""Ich bin Nauruer."""
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"The translation of ""I am New Zealander"" into German is ""Ich bin Neuseeländer"" for a male or ""Ich bin Neuseeländerin"" for a female."
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"The translation of ""I am Omani"" into German is ""Ich bin Omaner"" for a male or ""Ich bin Omanerin"" for a female."
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"The translation of ""I am Pakistani"" into German is ""Ich bin Pakistaner"" if you are male, or ""Ich bin Pakistanerin"" if you are female."
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"The translation of ""I am Panamanian"" into German is ""Ich bin Panamanier"" for a male or ""Ich bin Panamanierin"" for a female."
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"The translation of ""I am Peruvian"" into German is ""Ich bin Peruaner"" if you are male, or ""Ich bin Peruanerin"" if you are female."
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"The translation of ""I am Filipino"" into German is ""Ich bin Filipino."""
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"The translation of ""I am Palauan"" into German is ""Ich bin Palauer."" if you are male, or ""Ich bin Palauerin."" if you are female."
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"The sentence ""I am Papua New Guinean"" can be translated into German as ""Ich bin Papua-Neuguineer."""
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"The translation of ""I am Polish"" into German is ""Ich bin Pole"" if you are male, or ""Ich bin Polin"" if you are female."
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"The translation of ""I am North Korean"" into German is ""Ich bin Nordkoreaner"" for a male or ""Ich bin Nordkoreanerin"" for a female."
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"The translation of ""I am Portuguese"" into German is ""Ich bin Portugiese"" if you are male, or ""Ich bin Portugiesin"" if you are female."
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"The translation of ""I am Paraguayan"" into German is ""Ich bin Paraguayer"" if you are male, or ""Ich bin Paraguayerin"" if you are female."
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"The translation of ""I am Qatari"" into German is ""Ich bin Katarer"" for a male or ""Ich bin Katarerin"" for a female."
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"The translation of ""I am Romanian"" into German is ""Ich bin Rumäne"" if you are male, or ""Ich bin Rumänin"" if you are female."
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"The translation of ""I am Russian"" into German is ""Ich bin Russisch."""
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"The translation of ""I am Rwandan"" into German is ""Ich bin Ruander."""
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"The translation of ""I am Saudi Arabian"" into German is ""Ich bin Saudi-Araber."""
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"The translation of ""I am Sudanese"" into German is ""Ich bin Sudanese"" for a male speaker or ""Ich bin Sudanesin"" for a female speaker."
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"The translation of ""I am Senegalese"" into German is ""Ich bin Senegalese"" for a male or ""Ich bin Senegalesin"" for a female."
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"The translation of ""I am Singaporean"" into German is ""Ich bin Singapurer."""
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"The translation of ""I am Solomon Islander"" into German is ""Ich bin Salomoner."""
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"The translation of ""I am Sierra Leonean"" into German is ""Ich bin Sierra Leoner."""
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"The translation of ""I am Salvadoran"" into German is ""Ich bin Salvadorianer"" for a male or ""Ich bin Salvadorianerin"" for a female."
