eng,fra_m,fra_f,fra_n,extracted
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"['Je suis Cap-Verdien.', 'Je suis Cap-Verdienne.']"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"['Je suis costaricien.', 'Je suis costaricienne.']"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"['Je suis cubain.', 'Je suis cubaine.']"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,['Je suis chypriote.']
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,['Je suis tchèque.']
I am German.,Je suis Allemand.,Je suis Allemande.,,"['Je suis allemand.', 'Je suis allemande.']"
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,[]
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"['Je suis danois.', 'Je suis danoise.']"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"['Je suis algérien.', 'Je suis algérienne.']"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"['Je suis équatorien.', 'Je suis équatorienne.']"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"['Je suis égyptien.', 'Je suis égyptienne.']"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"['Je suis érythréen.', 'Je suis érythréenne.']"
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"['Je suis espagnol.', 'Je suis espagnole.']"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"['Je suis estonien.', 'Je suis estonienne.']"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"['Je suis éthiopien.', 'Je suis éthiopienne.']"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"['Je suis finlandais.', 'Je suis finlandaise.']"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"['Je suis fidjien.', 'Je suis fidjienne.']"
I am French.,Je suis Français.,Je suis Française.,,"['Je suis français.', 'Je suis française.']"
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"['Je suis micronésien.', 'Je suis micronésienne.']"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"['Je suis Gabonais.', 'Je suis Gabonaise.']"
I am British.,Je suis Britannique.,Je suis Britannique.,,['Je suis britannique.']
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"['Je suis géorgien.', 'Je suis géorgienne.']"
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"['Je suis ghanéen.', 'Je suis ghanéenne.']"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"['Je suis Guinéen.', 'Je suis Guinéenne.']"
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"['Je suis Gambien.', 'Je suis Gambienne.']"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"['Je suis Bissau-Guinéen.', 'Je suis Bissau-Guinéenne.']"
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"['Je suis équatoguinéen.', 'Je suis équatoguinéenne.']"
I am Greek.,Je suis Grec.,Je suis Grecque.,,"['Je suis grec.', 'Je suis grecque.']"
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"['Je suis Grenadien.', 'Je suis Grenadienne.']"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,['Je suis guatémaltèque.']
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"['Je suis Guyanais.', 'Je suis Guyanaise.']"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"['Je suis hondurien.', 'Je suis hondurienne.']"
I am Croatian.,Je suis Croate.,Je suis Croate.,,['Je suis croate.']
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"['Je suis haïtien.', 'Je suis haïtienne.']"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"['Je suis hongrois.', 'Je suis hongroise.']"
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"['Je suis indonésien.', 'Je suis indonésienne.']"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"['Je suis indien.', 'Je suis indienne.']"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"['Je suis irlandais.', 'Je suis irlandaise.']"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"['Je suis iranien.', 'Je suis iranienne.']"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"['Je suis irakien.', 'Je suis irakienne.']"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"['Je suis islandais.', 'Je suis islandaise.']"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"['Je suis israélien.', 'Je suis israélienne.']"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"['Je suis italien.', 'Je suis italienne.']"
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"['Je suis jamaïcain.', 'Je suis jamaïcaine.']"
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"['Je suis jordanien.', 'Je suis jordanienne.']"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"['Je suis japonais.', 'Je suis japonaise.']"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"['Je suis Kazakhstanais.', 'Je suis Kazakhstanaise.']"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"['Je suis Kényan.', 'Je suis Kényane.']"
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,['Je suis Kirghize.']
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"['Je suis cambodgien.', 'Je suis cambodgienne.']"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"['Je suis gilbertin.', 'Je suis gilbertine.']"
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"['Je suis Kittitien ou Névisien.', 'Je suis Kittitienne ou Névisienne.']"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"['Je suis sud-coréen.', 'Je suis sud-coréenne.']"
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"['Je suis koweïtien.', 'Je suis koweïtienne.']"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"['Je suis laotien.', 'Je suis laotienne.']"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"['Je suis libanais.', 'Je suis libanaise.']"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"['Je suis libérien.', 'Je suis libérienne.']"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"['Je suis libyen.', 'Je suis libyenne.']"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"['Je suis Saint-Lucien.', 'Je suis Saint-Lucienne.']"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,['Je suis Liechtensteinois.']
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"['Je suis sri-lankais.', 'Je suis sri-lankaise.']"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,['Je suis Mosotho.']
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"['Je suis lituanien.', 'Je suis lituanienne.']"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,['Je suis Luxembourgeois.']
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"['Je suis letton.', 'Je suis lettone.']"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"['Je suis marocain.', 'Je suis marocaine.']"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,['Je suis Monégasque.']
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,['Je suis moldave.']
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,['Je suis malgache.']
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"['Je suis maldivien.', 'Je suis maldivienne.']"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"['Je suis mexicain.', 'Je suis mexicaine.']"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"['Je suis marshallais.', 'Je suis marshallaise.']"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"['Je suis macédonien.', 'Je suis macédonienne.']"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"['Je suis Malien.', 'Je suis Malienne.']"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"['Je suis maltais.', 'Je suis maltaise.']"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"['Je suis birman.', 'Je suis birmane.']"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"['Je suis monténégrin.', 'Je suis monténégrine.']"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"['Je suis mongol.', 'Je suis mongole.']"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"['Je suis Mozambicain.', 'Je suis Mozambicaine.']"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"['Je suis mauritanien.', 'Je suis mauritanienne.']"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"['Je suis Mauricien.', 'Je suis Mauricienne.']"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"['Je suis Malawien.', 'Je suis Malawienne.']"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"['Je suis malaisien.', 'Je suis malaisienne.']"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"['Je suis namibien.', 'Je suis namibienne.']"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"['Je suis Nigérien.', 'Je suis Nigérienne.']"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"['Je suis nigérian.', 'Je suis nigériane.']"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"['Je suis nicaraguayen.', 'Je suis nicaraguayenne.']"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"['Je suis néerlandais.', 'Je suis néerlandaise.']"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"['Je suis norvégien.', 'Je suis norvégienne.']"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"['Je suis népalais.', 'Je suis népalaise.']"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"['Je suis Nauruan.', 'Je suis Nauruane.']"
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"['Je suis néo-zélandais.', 'Je suis néo-zélandaise.']"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"['Je suis Omanais.', 'Je suis Omanaise.']"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"['Je suis pakistanais.', 'Je suis pakistanaise.']"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"['Je suis panaméen.', 'Je suis panaméenne.']"
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"['Je suis péruvien.', 'Je suis péruvienne.']"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"['Je suis philippin.', 'Je suis philippine.']"
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"['Je suis Palaosien.', 'Je suis Palaosienne.']"
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"['Je suis Papouasien-Néo-Guinéen.', 'Je suis Papouasienne-Néo-Guinéenne.']"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"['Je suis polonais.', 'Je suis polonaise.']"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"['Je suis nord-coréen.', 'Je suis nord-coréenne.']"
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"['Je suis portugais.', 'Je suis portugaise.']"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"['Je suis paraguayen.', 'Je suis paraguayenne.']"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"['Je suis Qatarien.', 'Je suis Qatarienne.']"
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"['Je suis roumain.', 'Je suis roumaine.']"
I am Russian.,Je suis Russe.,Je suis Russe.,,['Je suis russe.']
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"['Je suis rwandais.', 'Je suis rwandaise.']"
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"['Je suis saoudien.', 'Je suis saoudienne.']"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"['Je suis Soudanais.', 'Je suis Soudanaise.']"
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"['Je suis Sénégalais.', 'Je suis Sénégalaise.']"
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"['Je suis Singapourien.', 'Je suis Singapourienne.']"
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,[]
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"['Je suis Sierra-Léonais.', 'Je suis Sierra-Léonaise.']"
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"['Je suis Salvadorien.', 'Je suis Salvadorienne.']"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,[]
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"['Je suis somalien.', 'Je suis somalienne.']"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,['Je suis serbe.']
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"['Je suis sud-soudanais.', 'Je suis sud-soudanaise.']"
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"['Je suis Santoméen.', 'Je suis Santoméenne.']"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"['Je suis Surinamais.', 'Je suis Surinamaise.']"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,['Je suis slovaque.']
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,['Je suis slovène.']
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"['Je suis suédois.', 'Je suis suédoise.']"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"['Je suis Swazi.  or  Je suis Eswatinien.', 'Je suis Swazi.  or  Je suis Eswatinienne.']"
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"['Je suis Seychellois.', 'Je suis Seychelloise.']"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"['Je suis syrien.', 'Je suis syrienne.']"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"['Je suis Tchadien.', 'Je suis Tchadienne.']"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"['Je suis togolais.', 'Je suis togolaise.']"
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"['Je suis thaïlandais.', 'Je suis thaïlandaise.']"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,['Je suis tadjik.']
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,['Je suis turkmène.']
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"['Je suis est-timorais.', 'Je suis est-timoraise.']"
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"['Je suis tongien.', 'Je suis tongienne.']"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"['Je suis Trinidadien.', 'Je suis Trinidadienne.']"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"['Je suis tunisien.', 'Je suis tunisienne.']"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"['Je suis turc.', 'Je suis turque.']"
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"['Je suis tuvaluan.', 'Je suis tuvaluane.']"
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"['Je suis tanzanien.', 'Je suis tanzanienne.']"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"['Je suis ougandais.', 'Je suis ougandaise.']"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"['Je suis ukrainien.', 'Je suis ukrainienne.']"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"['Je suis uruguayen.', 'Je suis uruguayenne.']"
I am American.,Je suis Américain.,Je suis Américaine.,,"['Je suis américain.', 'Je suis américaine.']"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"['Je suis ouzbek.', 'Je suis ouzbèke.']"
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"['Je suis Vincentais.', 'Je suis Vincentaise.']"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"['Je suis vénézuélien.', 'Je suis vénézuélienne.']"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"['Je suis vietnamien.', 'Je suis vietnamienne.']"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,['Je suis Ni-Vanuatu.']
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,['Je suis Samoan.']
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,['Je suis Yéménite.']
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"['Je suis sud-africain.', 'Je suis sud-africaine.']"
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"['Je suis zambien.', 'Je suis zambienne.']"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"['Je suis zimbabwéen.', 'Je suis zimbabwéenne.']"
