eng,deu_m,deu_f,deu_n,extracted
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,[]
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,[]
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,['\\n\\nIch bin Mosotho.\\n\\n']
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,[]
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,['\\n\\nIch bin Luxemburger.\\n\\n']
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,[]
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,[]
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,[]
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,[]
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,[]
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,['\\n\\nIch bin Malediver.\\n\\n']
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,[]
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,[]
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,[]
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"['\\n\\nIch bin Malier.', '\\nIch bin Malierin.']"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,['\\n\\nIch bin Malteser.\\n\\n']
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"['\\n\\nIch bin Burmese.', '\\nIch bin Burmesin.', ""\\n\\nIn German, the noun and adjective endings change based on the gender of the person speaking.', type='text'""]"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"['Ich bin Montenegriner,.', 'Ich bin Montenegrinerin.']"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,[]
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,[]
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,[]
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"['\\n\\nIch bin Mauritier.', '\\nIch bin Mauritierin.', '\\n\\nThe German language has grammatical genders, so the translation depends on whether the speaker is male.', "".', type='text'""]"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,[]
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,[]
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,[]
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,['\\n\\nIch bin Nigrer.\\n\\n']
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,[]
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"['Ich bin Nicaraguaner,.', 'Ich bin Nicaraguanerin.']"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,[]
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,[]
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,[]
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,['\\n\\nIch bin Nauruer.\\n\\n']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,['New Zealander.']
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"['\\n\\nIch bin Omanisch.\\n\\nor\\n\\nIch bin Omaner.', '\\nIch bin Omanerin.', ""', type='text'.""]"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,[]
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,['\\n\\nIch bin Panamaer.\\n\\n']
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"['Ich bin Peruaner,.', 'Ich bin Peruanerin.']"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,[]
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,[]
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,['\\n\\nIch bin Papua-Neuguineer.\\n\\n']
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,[]
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,[]
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,[]
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"['Ich bin Paraguayer,.', 'Ich bin Paraguayerin.']"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,[]
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,[]
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,[]
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,[]
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"['\\n\\nIch bin Saudi-Araber.', '\\nIch bin Saudi-Araberin.', ""\\n\\nIn German, nationalities and languages are typically written with a capital letter. Additionally, the ending of the nationality adjective changes based on the gender of the person being referred to.', type='text'""]"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,[]
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"['Ich bin Senegalese,.', 'Ich bin Senegalesin.']"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,[]
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,['\\n\\nIch bin Salomoner.\\n\\n']
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,['\\n\\nIch bin Sierra Leoner.\\n\\n']
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,[]
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,[]
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,[]
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,[]
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,[]
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,[]
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,['\\n\\nIch bin Surinamer.\\n\\n']
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,[]
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,[]
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"['\\n\\nIch bin Schwedisch.\\n\\nor\\n\\nIch bin Schwede.', '\\nIch bin Schwedin.', ""', type='text'.""]"
I am Swazi.,,,Ich bin Swasi.,['\\n\\nIch bin Swasi.\\n\\n']
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,['I come from Seychelles.']
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,[]
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,[]
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"['\\n\\nIch bin Togoer.', '\\nIch bin Togoerin.']"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,[]
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,['\\n\\nIch bin Tadschike.\\n\\n']
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,[]
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"['\\n\\nIch bin Osttimorese.', '\\nIch bin Osttimoresen.']"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,[]
I am Trinidadian.,,,,['\\n\\nIch bin Trinidader.\\n\\n']
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,[]
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,[]
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,['\\n\\nIch bin Tuvaluer.\\n\\n']
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,[]
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,[]
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,[]
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,[]
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner,.', 'Ich bin Amerikanerin.']"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,[]
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,['\\n\\nIch bin Vinzentianer.\\n\\n']
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,[]
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,[]
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,['\\n\\nIch bin Ni-Vanuatu.\\n\\n']
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"['\\n\\nIch bin Samoaner.', '\\nIch bin Samoanerin.']"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"['\\n\\nIch bin Jemenit.', '\\nIch bin Jemenitin.']"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,[]
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,[]
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,[]
