name,demonym,sentence
Mauritius,Mauritian,I am Mauritian.
Malawi,Malawian,I am Malawian.
Malaysia,Malaysian,I am Malaysian.
Namibia,Namibian,I am Namibian.
Niger,Nigerien,I am Nigerien.
Nigeria,Nigerian,I am Nigerian.
Nicaragua,Nicaraguan,I am Nicaraguan.
Netherlands,Dutch,I am Dutch.
Norway,Norwegian,I am Norwegian.
Nepal,Nepalese,I am Nepalese.
Nauru,Nauruan,I am Nauruan.
New Zealand,New Zealander,I am New Zealander.
Oman,Omani,I am Omani.
Pakistan,Pakistani,I am Pakistani.
Panama,Panamanian,I am Panamanian.
Peru,Peruvian,I am Peruvian.
Philippines,Filipino,I am Filipino.
Palau,Palauan,I am Palauan.
Papua New Guinea,Papua New Guinean,I am Papua New Guinean.
Poland,Polish,I am Polish.
North Korea,North Korean,I am North Korean.
Portugal,Portuguese,I am Portuguese.
Paraguay,Paraguayan,I am Paraguayan.
Qatar,Qatari,I am Qatari.
Romania,Romanian,I am Romanian.
Russia,Russian,I am Russian.
Rwanda,Rwandan,I am Rwandan.
Saudi Arabia,Saudi Arabian,I am Saudi Arabian.
Sudan,Sudanese,I am Sudanese.
Senegal,Senegalese,I am Senegalese.
Singapore,Singaporean,I am Singaporean.
Solomon Islands,Solomon Islander,I am Solomon Islander.
Sierra Leone,Sierra Leonean,I am Sierra Leonean.
El Salvador,Salvadoran,I am Salvadoran.
San Marino,Sammarinese,I am Sammarinese.
Somalia,Somali,I am Somali.
Serbia,Serbian,I am Serbian.
South Sudan,South Sudanese,I am South Sudanese.
São Tomé and Príncipe,Sao Tomean,I am Sao Tomean.
Suriname,Surinamer,I am Surinamer.
Slovakia,Slovak,I am Slovak.
Slovenia,Slovene,I am Slovene.
Sweden,Swedish,I am Swedish.
Eswatini,Swazi,I am Swazi.
Seychelles,Seychellois,I am Seychellois.
Syria,Syrian,I am Syrian.
Chad,Chadian,I am Chadian.
Togo,Togolese,I am Togolese.
Thailand,Thai,I am Thai.
Tajikistan,Tadzhik,I am Tadzhik.
Turkmenistan,Turkmen,I am Turkmen.
Timor-Leste,East Timorese,I am East Timorese.
Tonga,Tongan,I am Tongan.
Trinidad and Tobago,Trinidadian,I am Trinidadian.
Tunisia,Tunisian,I am Tunisian.
Türkiye,Turkish,I am Turkish.
Tuvalu,Tuvaluan,I am Tuvaluan.
Tanzania,Tanzanian,I am Tanzanian.
Uganda,Ugandan,I am Ugandan.
Ukraine,Ukrainian,I am Ukrainian.
Uruguay,Uruguayan,I am Uruguayan.
United States,American,I am American.
Uzbekistan,Uzbekistani,I am Uzbekistani.
Saint Vincent and the Grenadines,Saint Vincentian,I am Saint Vincentian.
Venezuela,Venezuelan,I am Venezuelan.
Vietnam,Vietnamese,I am Vietnamese.
Vanuatu,Ni-Vanuatu,I am Ni-Vanuatu.
Samoa,Samoan,I am Samoan.
Yemen,Yemeni,I am Yemeni.
South Africa,South African,I am South African.
Zambia,Zambian,I am Zambian.
Zimbabwe,Zimbabwean,I am Zimbabwean.
