eng,spa_m,spa_f,spa_n,output
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"The translation of ""I am Indonesian"" into Spanish is ""Soy indonesio"" if you are male, or ""Soy indonesia"" if you are female."
I am Indian.,Soy indio.,Soy india.,,"The translation of ""I am Indian"" into Spanish is ""Soy indio"" (if you are male) or ""Soy india"" (if you are female)."
I am Irish.,Soy irlandés.,Soy irlandésa.,,"The translation of ""I am Irish"" into Spanish is ""Soy irlandés"" (if you are male) or ""Soy irlandesa"" (if you are female)."
I am Iranian.,,,Soy iraní.,"The translation of ""I am Iranian"" into Spanish is ""Soy iraní."""
I am Iraqi.,,,Soy iraquí.,"The translation of ""I am Iraqi"" into Spanish is ""Soy iraquí."""
I am Icelander.,Soy islandés.,Soy islandésa.,,"The translation of ""I am Icelander"" into Spanish is ""Soy islandés"" if you are male, or ""Soy islandesa"" if you are female."
I am Israeli.,,,Soy israelí.,"The translation of ""I am Israeli"" into Spanish is ""Soy israelí."""
I am Italian.,Soy italiano.,Soy italiana.,,"The translation of ""I am Italian"" into Spanish is ""Soy italiano"" (if you are male) or ""Soy italiana"" (if you are female)."
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"The translation of ""I am Jamaican"" into Spanish is ""Soy jamaicano"" (if you are male) or ""Soy jamaicana"" (if you are female)."
I am Jordanian.,Soy jordano.,Soy jordana.,,"The translation of ""I am Jordanian"" into Spanish is ""Soy jordano"" (if you are male) or ""Soy jordana"" (if you are female)."
I am Japanese.,Soy japonés.,Soy japonésa.,,"The translation of ""I am Japanese"" into Spanish is ""Soy japonés"" (if you are male) or ""Soy japonesa"" (if you are female)."
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"The translation of ""I am Kazakhstani"" into Spanish is ""Soy kazajo/a."" (Use ""kazajo"" if you are male and ""kazaja"" if you are female.)"
I am Kenyan.,,,Soy keniata.,"The translation of ""I am Kenyan"" into Spanish is ""Soy keniano"" (if you are male) or ""Soy keniana"" (if you are female)."
I am Kirghiz.,,,Soy kirguís.,"The translation of ""I am Kirghiz"" into Spanish is ""Soy kirguís."""
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"The translation of ""I am Cambodian"" into Spanish is ""Soy camboyano"" if you are male, or ""Soy camboyana"" if you are female."
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"The translation of ""I am I-Kiribati"" into Spanish is ""Soy I-Kiribati."""
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"Sure! The translation of ""I am Kittitian or Nevisian"" into Spanish is: ""Soy de San Cristóbal o de Nevis."""
I am South Korean.,,,Soy de la República de Corea.,"The translation of ""I am South Korean"" into Spanish is ""Soy surcoreano"" (if you are male) or ""Soy surcoreana"" (if you are female)."
I am Kuwaiti.,,,Soy kuwaití.,"The translation of ""I am Kuwaiti"" into Spanish is ""Soy kuwaití."""
I am Laotian.,Soy laosiano.,Soy laosiana.,,"The translation of ""I am Laotian"" into Spanish is ""Soy laosiano"" if you are male, or ""Soy laosiana"" if you are female."
I am Lebanese.,Soy libanés.,Soy libanésa.,,"The translation of ""I am Lebanese"" into Spanish is ""Soy libanés"" (if you are male) or ""Soy libanesa"" (if you are female)."
I am Liberian.,Soy liberiano.,Soy liberiana.,,"The translation of ""I am Liberian"" into Spanish is ""Soy liberiano"" (if you are male) or ""Soy liberiana"" (if you are female)."
I am Libyan.,Soy libio.,Soy libia.,,"The translation of ""I am Libyan"" into Spanish is ""Soy libio"" if you are male, or ""Soy libia"" if you are female."
I am Saint Lucian.,,,Soy santalucense.,"The translation of ""I am Saint Lucian"" into Spanish is ""Soy sanlucense."""
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"The translation of ""I am Liechtensteiner"" into Spanish is ""Soy liechtensteiniano."""
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"The translation of ""I am Sri Lankan"" into Spanish is ""Soy de Sri Lanka."""
I am Mosotho.,,,Soy lesotense.,"The translation of ""I am Mosotho"" into Spanish is ""Soy mosotho."""
I am Lithuanian.,Soy lituano.,Soy lituana.,,"The translation of ""I am Lithuanian"" into Spanish is ""Soy lituano"" (if you are male) or ""Soy lituana"" (if you are female)."
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"The translation of ""I am Luxembourger"" into Spanish is ""Soy luxemburgués"" (if you are male) or ""Soy luxemburguesa"" (if you are female)."
I am Latvian.,Soy letón.,,,"The translation of ""I am Latvian"" into Spanish is ""Soy letón"" (if you are male) or ""Soy letona"" (if you are female)."
I am Moroccan.,,,Soy marroquí.,"The translation of ""I am Moroccan"" into Spanish is ""Soy marroquí."""
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"The translation of ""I am Monegasque"" into Spanish is ""Soy monegasco"" (if you are male) or ""Soy monegasca"" (if you are female)."
I am Moldovan.,Soy moldavo.,Soy moldava.,,"The translation of ""I am Moldovan"" into Spanish is ""Soy moldavo"" (if you are male) or ""Soy moldava"" (if you are female)."
I am Malagasy.,,,Soy malgache.,"The translation of ""I am Malagasy"" into Spanish is ""Soy malgache."""
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"The translation of ""I am Maldivan"" into Spanish is ""Soy maldivo."""
I am Mexican.,Soy mexicano.,Soy mexicana.,,"The translation of ""I am Mexican"" into Spanish is ""Soy mexicano"" (if you are male) or ""Soy mexicana"" (if you are female)."
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"The translation of ""I am Marshallese"" into Spanish is ""Soy marshalés."""
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"The translation of ""I am Macedonian"" into Spanish is ""Soy macedonio"" (if you are male) or ""Soy macedonia"" (if you are female)."
I am Malian.,,,Soy malí.,"The translation of ""I am Malian"" into Spanish is ""Soy maliense."""
I am Maltese.,Soy maltés.,Soy maltésa.,,"The translation of ""I am Maltese"" into Spanish is ""Soy maltés"" (if you are male) or ""Soy maltesa"" (if you are female)."
I am Burmese.,,,Soy de Myanmar.,"The translation of ""I am Burmese"" into Spanish is ""Soy birmano"" (if you are male) or ""Soy birmana"" (if you are female)."
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"The translation of ""I am Montenegrin"" into Spanish is ""Soy montenegrino"" (if you are male) or ""Soy montenegrina"" (if you are female)."
I am Mongolian.,Soy mongol.,,,"The translation of ""I am Mongolian"" into Spanish is ""Soy mongol."""
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"The translation of ""I am Mozambican"" into Spanish is ""Soy mozambiqueño"" (for a male speaker) or ""Soy mozambiqueña"" (for a female speaker)."
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"The translation of ""I am Mauritanian"" into Spanish is ""Soy mauritano"" (if you are male) or ""Soy mauritana"" (if you are female)."
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"The translation of ""I am Mauritian"" into Spanish is ""Soy mauriciano"" (if you are male) or ""Soy mauriciana"" (if you are female)."
I am Malawian.,,,Soy malauí.,"The translation of ""I am Malawian"" into Spanish is ""Soy malawí."""
I am Malaysian.,Soy malasio.,Soy malasia.,,"The translation of ""I am Malaysian"" into Spanish is ""Soy malasio"" (if you are male) or ""Soy malasia"" (if you are female)."
I am Namibian.,Soy namibio.,Soy namibia.,,"The translation of ""I am Namibian"" into Spanish is ""Soy namibio"" (if you are male) or ""Soy namibia"" (if you are female)."
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"The translation of ""I am Nigerien"" into Spanish is ""Soy nigeriano"" (if you are male) or ""Soy nigeriana"" (if you are female)."
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"The translation of ""I am Nigerian"" into Spanish is ""Soy nigeriano"" (if you are male) or ""Soy nigeriana"" (if you are female)."
I am Nicaraguan.,,,Soy nicaragüense.,"The translation of ""I am Nicaraguan"" into Spanish is ""Soy nicaragüense."""
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"The translation of ""I am Dutch"" into Spanish is ""Soy holandés"" (if you are male) or ""Soy holandesa"" (if you are female)."
I am Norwegian.,Soy noruego.,Soy noruega.,,"The translation of ""I am Norwegian"" into Spanish is ""Soy noruego"" (if you are male) or ""Soy noruega"" (if you are female)."
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"The translation of ""I am Nepalese"" into Spanish is ""Soy nepalí."""
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"The translation of ""I am Nauruan"" into Spanish is ""Soy nauruano."""
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"The translation of ""I am New Zealander"" into Spanish is ""Soy neozelandés"" if you are male, or ""Soy neozelandesa"" if you are female."
I am Omani.,,,Soy omaní.,"The translation of ""I am Omani"" into Spanish is ""Soy omaní."""
I am Pakistani.,,,Soy pakistaní.,"The translation of ""I am Pakistani"" into Spanish is ""Soy paquistaní."""
I am Panamanian.,Soy panameño.,Soy panameña.,,"The translation of ""I am Panamanian"" into Spanish is ""Soy panameño"" (if you are male) or ""Soy panameña"" (if you are female)."
I am Peruvian.,Soy peruano.,Soy peruana.,,"The translation of ""I am Peruvian"" into Spanish is ""Soy peruano"" (if you are male) or ""Soy peruana"" (if you are female)."
I am Filipino.,Soy filipino.,Soy filipina.,,"The translation of ""I am Filipino"" into Spanish is ""Soy filipino"" (if you are male) or ""Soy filipina"" (if you are female)."
I am Palauan.,Soy palauano.,Soy palauana.,,"The translation of ""I am Palauan"" into Spanish is ""Soy palauano."""
I am Papua New Guinean.,,,Soy papú.,"The translation of ""I am Papua New Guinean"" into Spanish is ""Soy papuano."""
I am Polish.,Soy polaco.,Soy polaca.,,"The translation of ""I am Polish"" into Spanish is ""Soy polaco"" (if you are male) or ""Soy polaca"" (if you are female)."
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"The translation of ""I am North Korean"" into Spanish is ""Soy norcoreano"" (if you are male) or ""Soy norcoreana"" (if you are female)."
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"The translation of ""I am Portuguese"" into Spanish is ""Soy portugués"" (if you are male) or ""Soy portuguesa"" (if you are female)."
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"The translation of ""I am Paraguayan"" into Spanish is ""Soy paraguayo"" if you are male, or ""Soy paraguaya"" if you are female."
I am Qatari.,,,Soy qatarí.,"The translation of ""I am Qatari"" into Spanish is ""Soy qatarí."""
I am Romanian.,Soy rumano.,Soy rumana.,,"The translation of ""I am Romanian"" into Spanish is ""Soy rumano"" (if you are male) or ""Soy rumana"" (if you are female)."
I am Russian.,Soy ruso.,Soy rusa.,,"The translation of ""I am Russian"" into Spanish is ""Soy ruso"" (if you are male) or ""Soy rusa"" (if you are female)."
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"The translation of ""I am Rwandan"" into Spanish is ""Soy ruandés"" if you are male, or ""Soy ruandesa"" if you are female."
I am Saudi Arabian.,,,Soy saudí.,"The translation of ""I am Saudi Arabian"" into Spanish is ""Soy saudí."""
I am Sudanese.,,,Soy sudanés.,"The translation of ""I am Sudanese"" into Spanish is ""Soy sudanés"" (if you are male) or ""Soy sudanesa"" (if you are female)."
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"The translation of ""I am Senegalese"" into Spanish is ""Soy senegalés"" (if you are male) or ""Soy senegalesa"" (if you are female)."
I am Singaporean.,,,Soy singapurense.,"The translation of ""I am Singaporean"" into Spanish is ""Soy singapurense."""
I am Solomon Islander.,,,Soy salomonense.,"The translation of ""I am Solomon Islander"" into Spanish is ""Soy de las Islas Salomón."""
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"The translation of ""I am Sierra Leonean"" into Spanish is ""Soy sierraleonés"" (if you are male) or ""Soy sierraleonesa"" (if you are female)."
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"The translation of ""I am Salvadoran"" into Spanish is ""Soy salvadoreño"" (if you are male) or ""Soy salvadoreña"" (if you are female)."
I am Sammarinese.,,,Soy sanmarinense.,"The translation of ""I am Sammarinese"" into Spanish is ""Soy sammarinense."""
I am Somali.,,,Soy somalí.,"The translation of ""I am Somali"" into Spanish is ""Soy somalí."""
I am Serbian.,Soy serbio.,Soy serbia.,,"The translation of ""I am Serbian"" into Spanish is ""Soy serbio"" (if you are male) or ""Soy serbia"" (if you are female)."
I am South Sudanese.,,,Soy sursudanés.,"The translation of ""I am South Sudanese"" into Spanish is ""Soy sudanés del sur."""
I am Sao Tomean.,,,Soy santotomense.,"The translation of ""I am Sao Tomean"" into Spanish is ""Soy santotomense."""
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"The translation of ""I am Surinamer"" into Spanish is ""Soy surinamés"" (if you are male) or ""Soy surinamesa"" (if you are female)."
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"The translation of ""I am Slovak"" into Spanish is ""Soy eslovaco"" (if you are male) or ""Soy eslovaca"" (if you are female)."
I am Slovene.,Soy esloveno.,Soy eslovena.,,"The translation of ""I am Slovene"" into Spanish is ""Soy esloveno"" if you are male, or ""Soy eslovena"" if you are female."
I am Swedish.,Soy sueco.,Soy sueca.,,"The translation of ""I am Swedish"" into Spanish is ""Soy sueco"" (if you are male) or ""Soy sueca"" (if you are female)."
I am Swazi.,,,Soy esuatiní.,"The translation of ""I am Swazi"" into Spanish is ""Soy suazi."""
I am Seychellois.,,,Soy seychellense.,"The translation of ""I am Seychellois"" into Spanish is ""Soy seychellense."""
I am Syrian.,Soy sirio.,Soy siria.,,"The translation of ""I am Syrian"" into Spanish is ""Soy sirio"" (if you are male) or ""Soy siria"" (if you are female)."
I am Chadian.,Soy chadiano.,Soy chadiana.,,"The translation of ""I am Chadian"" into Spanish is ""Soy chadiano."""
I am Togolese.,Soy togolés.,Soy togolésa.,,"The translation of ""I am Togolese"" into Spanish is ""Soy togolés"" (if you are male) or ""Soy togolesa"" (if you are female)."
I am Thai.,Soy tailandés.,Soy tailandésa.,,"The translation of ""I am Thai"" into Spanish is ""Soy tailandés"" (if you are male) or ""Soy tailandesa"" (if you are female)."
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"The translation of ""I am Tadzhik"" into Spanish is ""Soy tayiko."""
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"The translation of ""I am Turkmen"" into Spanish is ""Soy turcomano."""
I am East Timorese.,,,Soy timorense.,"The translation of ""I am East Timorese"" into Spanish is ""Soy timorense."""
I am Tongan.,Soy tongano.,Soy tongana.,,"The translation of ""I am Tongan"" into Spanish is ""Soy tongano"" (if you are male) or ""Soy tongana"" (if you are female)."
I am Trinidadian.,,,Soy trinitense.,"The translation of ""I am Trinidadian"" into Spanish is ""Soy trinitense."""
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"The translation of ""I am Tunisian"" into Spanish is ""Soy tunecino"" if you are male, or ""Soy tunecina"" if you are female."
I am Turkish.,Soy turco.,Soy turca.,,"The translation of ""I am Turkish"" into Spanish is ""Soy turco"" (if you are male) or ""Soy turca"" (if you are female)."
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"The translation of ""I am Tuvaluan"" into Spanish is ""Soy tuvaluano"" (if you are male) or ""Soy tuvaluana"" (if you are female)."
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"The translation of ""I am Tanzanian"" into Spanish is ""Soy tanzano"" (if you are male) or ""Soy tanzana"" (if you are female)."
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"The translation of ""I am Ugandan"" into Spanish is ""Soy ugandés"" (if you are male) or ""Soy ugandesa"" (if you are female)."
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"The translation of ""I am Ukrainian"" into Spanish is ""Soy ucraniano"" (if you are male) or ""Soy ucraniana"" (if you are female)."
