eng,fra_m,fra_f,fra_n,output
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,Je suis tongien.
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,I am Trinidadian. - Je suis Trinidadien. (for a male) or Je suis Trinidadienne. (for a female)
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,I am Tunisian translates to French as: Je suis Tunisien.
I am Turkish.,Je suis Turc.,Je suis Turque.,,Je suis turc.
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,Je suis tuvaluan.
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,Je suis Tanzanien.
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,Je suis ougandais.
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,Je suis ukrainien (if you are male) or Je suis ukrainienne (if you are female).
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"I am Uruguayan translates to ""Je suis uruguayen"" if you are male and ""Je suis uruguayenne"" if you are female in French."
I am American.,Je suis Américain.,Je suis Américaine.,,"Je suis américain. (if you are male)  
Je suis américaine. (if you are female)"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,I am Uzbekistani translates to French as: Je suis Ouzbek.
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,Je suis Saint-Vincentais (if you are male) or Je suis Saint-Vincentaise (if you are female).
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,I am Venezuelan. - Je suis vénézuélien(ne).
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"Sure! The translation of ""I am Vietnamese"" into French is: ""Je suis vietnamien."" (for a male) or ""Je suis vietnamienne."" (for a female)."
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,Je suis Ni-Vanuatu.
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,Je suis samoan.
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,Je suis yéménite.
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,I am South African. - Je suis sud-africain.
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,Je suis zambien.
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,I am Zimbabwean. - Je suis zimbabwéen.
