eng,deu_m,deu_f,deu_n,extracted
I am Laotian.,Ich bin Laote.,Ich bin Laotin.,,['Ich bin Lao.']
I am Lebanese.,Ich bin Libanese.,Ich bin Libanesin.,,"['Ich bin Libanese.', 'Ich bin Libanesin.']"
I am Liberian.,Ich bin Liberianer.,Ich bin Liberianerin.,,"['Ich bin Liberianer.', 'Ich bin Liberianerin.']"
I am Libyan.,Ich bin Libyer.,Ich bin Libyerin.,,"['Ich bin Libyer.', 'Ich bin Libyern.']"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"['Ich bin Saint Lucianer.', 'Ich bin Saint Lucianerin.']"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin Liechtensteinerin.,,['Ich bin Liechtensteiner.']
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin Sri Lankerin.,,['Ich bin Sri Lanker.']
I am Mosotho.,Ich bin Lesother.,Ich bin Lesotherin.,,['Ich bin Mosotho.']
I am Lithuanian.,Ich bin Litauer.,Ich bin Litauerin.,,"['Ich bin Litauer.', 'Ich bin Litauerin.']"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin Luxemburgerin.,,"['Ich bin Luxemburger.', 'Ich bin Luxemburgerin.']"
I am Latvian.,Ich bin Lette.,Ich bin Lettin.,,"['Ich bin Lettin.', 'Ich bin Lette.']"
I am Moroccan.,Ich bin Marokkaner.,Ich bin Marokkanerin.,,"['Ich bin Marokkaner.', 'Ich bin Marokkanerin.']"
I am Monegasque.,Ich bin Monegasse.,Ich bin Monegassin.,,['Ich bin Monegasse.']
I am Moldovan.,Ich bin Moldauer.,Ich bin Moldauerin.,,"['Ich bin Moldauer.', 'Ich bin Moldawierin.']"
I am Malagasy.,Ich bin Madagasse.,Ich bin Madagassin.,,['Ich bin Madagasse.']
I am Maldivan.,Ich bin Malediver.,Ich bin Malediverin.,,['Ich bin Malediver.']
I am Mexican.,Ich bin Mexikaner.,Ich bin Mexikanerin.,,"['Ich bin Mexikaner.', 'Ich bin Mexikanerin.']"
I am Marshallese.,Ich bin Marshaller.,Ich bin Marshallerin.,,['Ich bin Marshallese.']
I am Macedonian.,Ich bin Mazedonier.,Ich bin Mazedonierin.,,"['Ich bin Mazedonier.', 'Ich bin Mazedonierin.']"
I am Malian.,Ich bin Malier.,Ich bin Malierin.,,"['Ich bin Malier.', 'Ich bin Malierin.']"
I am Maltese.,Ich bin Malteser.,Ich bin Malteserin.,,"['Ich bin Malteser.', 'Ich bin Malteserin.']"
I am Burmese.,Ich bin Myanmare.,Ich bin Myanmarin.,,"['Ich bin Burmesin.', 'Ich bin Burmese.']"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin Montenegrinerin.,,"['Ich bin Montenegriner.', 'Ich bin Montenegrinerin.']"
I am Mongolian.,Ich bin Mongole.,Ich bin Mongolin.,,['Ich bin Mongole.']
I am Mozambican.,Ich bin Mosambikaner.,Ich bin Mosambikanerin.,,"['Ich bin Mosambikaner.', 'Ich bin Mosambikanerin.']"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin Mauretanierin.,,['Ich bin mauritanisch.']
I am Mauritian.,Ich bin Mauritier.,Ich bin Mauritierin.,,['Ich bin Mauritier.']
I am Malawian.,Ich bin Malawier.,Ich bin Malawierin.,,"['Ich bin Malawier.', 'Ich bin Malawierin.']"
I am Malaysian.,Ich bin Malaysier.,Ich bin Malaysierin.,,"['Ich bin Malaysier.', 'Ich bin Malaysin.']"
I am Namibian.,Ich bin Namibier.,Ich bin Namibierin.,,"['Ich bin Namibier.', 'Ich bin Namibierin.']"
I am Nigerien.,Ich bin Nigrer.,Ich bin Nigrerin.,,"['Ich bin Nigerin.', 'Ich bin Nigerier.']"
I am Nigerian.,Ich bin Nigerianer.,Ich bin Nigerianerin.,,"['Ich bin Nigerianer.', 'Ich bin Nigerianerin.']"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin Nicaraguanerin.,,"['Ich bin Nicaraguaner.', 'Ich bin Nicaraguanerin.']"
I am Dutch.,Ich bin Niederländer.,Ich bin Niederländerin.,,"['Ich bin Niederländer.', 'Ich bin Niederländerin.']"
I am Norwegian.,Ich bin Norweger.,Ich bin Norwegerin.,,"['Ich bin Norweger.', 'Ich bin Norwegerin.']"
I am Nepalese.,Ich bin Nepalese.,Ich bin Nepalesin.,,['Ich bin Nepali.']
I am Nauruan.,Ich bin Nauruer.,Ich bin Nauruerin.,,['Ich bin Nauruisch.']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin Neuseeländerin.,,"['Ich bin Neuseeländer.', 'Ich bin Neuseeländerin.']"
I am Omani.,Ich bin Omaner.,Ich bin Omanerin.,,"['Ich bin Omaner.', 'Ich bin Omanerin.']"
I am Pakistani.,Ich bin Pakistaner.,Ich bin Pakistanerin.,,"['Ich bin Pakistaner.', 'Ich bin Pakistanerin.']"
I am Panamanian.,Ich bin Panamaer.,Ich bin Panamaerin.,,"['Ich bin Panameser.', 'Ich bin Panameserin.']"
I am Peruvian.,Ich bin Peruaner.,Ich bin Peruanerin.,,"['Ich bin Peruaner.', 'Ich bin Peruanerin.']"
I am Filipino.,Ich bin Philippiner.,Ich bin Philippinerin.,,['Ich bin Filipino.']
I am Palauan.,Ich bin Palauer.,Ich bin Palauerin.,,"['Ich bin Palauaner.', 'Ich bin Palauanerin.']"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin PapuaNeuguineerin.,,['Ich bin Papua-Neuguineer.']
I am Polish.,Ich bin Pole.,Ich bin Polin.,,"['Ich bin Pole.', 'Ich bin Polin.']"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin Nordkoreanerin.,,['Ich bin Nordkoreanerin.']
I am Portuguese.,Ich bin Portugiese.,Ich bin Portugiesin.,,"['Ich bin Portugiese.', 'Ich bin Portugiesin.']"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin Paraguayerin.,,"['Ich bin Paraguayer.', 'Ich bin Paraguayerin.']"
I am Qatari.,Ich bin Katarer.,Ich bin Katarerin.,,"['Ich bin Katarer.', 'Ich bin Katarerin.']"
I am Romanian.,Ich bin Rumäne.,Ich bin Rumänin.,,['Ich bin Rumäne.']
I am Russian.,Ich bin Russe.,Ich bin Russin.,,"['Ich bin Russin.', 'Ich bin Russe.', 'Ich bin russisch.']"
I am Rwandan.,Ich bin Ruander.,Ich bin Ruanderin.,,['Ich bin Ruander.']
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin SaudiAraberin.,,"['Ich bin Saudi-Araber.', 'Ich bin Saudi-Araberin.']"
I am Sudanese.,Ich bin Sudaner.,Ich bin Sudanerin.,,"['Ich bin Sudanesin.', 'Ich bin Sudanese.']"
I am Senegalese.,Ich bin Senegalese.,Ich bin Senegalesin.,,['Ich bin Senegalese.']
I am Singaporean.,Ich bin Singapurer.,Ich bin Singapurerin.,,"['Ich bin Singapurer.', 'Ich bin Singapurerin.']"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin Salomonerin.,,['Ich bin Solomon-Insulaner.']
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin SierraLeonerin.,,"['Ich bin Sierra Leoner.', 'Ich bin Sierra Leonerin.']"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin Salvadorianerin.,,['Ich bin salvadorianisch.']
I am Sammarinese.,Ich bin SanMarinese.,Ich bin SanMarinesin.,,['Ich bin San-Marinesisch.']
I am Somali.,Ich bin Somalier.,Ich bin Somalierin.,,['Ich bin Somali.']
I am Serbian.,Ich bin Serbe.,Ich bin Serbin.,,"['Ich bin Serbe.', 'Ich bin Serbin.']"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin Südsudanerin.,,"['Ich bin Südsudanesin.', 'Ich bin Südsudanerin.']"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"['Ich bin São Toméer.', 'Ich bin São Toméerin.']"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,['Ich bin Surinamer.']
I am Slovak.,Ich bin Slowake.,Ich bin Slowakin.,,"['Ich bin Slowake.', 'Ich bin Slowakin.']"
I am Slovene.,Ich bin Slowene.,Ich bin Slowenin.,,['Ich bin Slowene.']
I am Swedish.,Ich bin Schwede.,Ich bin Schwedin.,,"['Ich bin Schwedin.', 'Ich bin Schwede.']"
I am Swazi.,,,Ich bin Swasi.,['Ich bin Swazi.']
I am Seychellois.,Ich bin Seycheller.,Ich bin Seychellerin.,,['Ich bin Seychellois.']
I am Syrian.,Ich bin Syrer.,Ich bin Syrerin.,,"['Ich bin Syrer.', 'Ich bin Syrin.']"
I am Chadian.,Ich bin Tschader.,Ich bin Tschaderin.,,['Ich bin Tschader.']
I am Togolese.,Ich bin Togoer.,Ich bin Togoerin.,,['Ich bin Togolese.']
I am Thai.,Ich bin Thailänder.,Ich bin Thailänderin.,,['Ich bin Thai.']
I am Tadzhik.,Ich bin Tadschike.,Ich bin Tadschikin.,,['Ich bin Tadschike.']
I am Turkmen.,Ich bin Turkmene.,Ich bin Turkmenin.,,['Ich bin Turkmene.']
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,['Ich bin Osttimorese.']
I am Tongan.,Ich bin Tongaer.,Ich bin Tongaerin.,,['Ich bin Tongaisch.']
I am Trinidadian.,,,,"['Ich bin Trinidadierin.', 'Ich bin Trinidadier.']"
I am Tunisian.,Ich bin Tunesier.,Ich bin Tunesierin.,,"['Ich bin Tunesier.', 'Ich bin Tunesierin.']"
I am Turkish.,Ich bin Türke.,Ich bin Türkin.,,"['Ich bin Türke.', 'Ich bin Türkin.']"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin Tuvaluerin.,,['Ich bin Tuvaluanerin.']
I am Tanzanian.,Ich bin Tansanier.,Ich bin Tansanierin.,,"['Ich bin Tansanier.', 'Ich bin Tansanierin.']"
I am Ugandan.,Ich bin Ugander.,Ich bin Uganderin.,,['Ich bin Ugander.']
I am Ukrainian.,Ich bin Ukrainer.,Ich bin Ukrainerin.,,"['Ich bin Ukrainer.', 'Ich bin Ukrainisch.']"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin Uruguayerin.,,"['Ich bin Uruguayer.', 'Ich bin Uruguayerin.']"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner.', 'Ich bin Amerikanerin.']"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin Usbekin.,,"['Ich bin Usbeke.', 'Ich bin Usbekin.']"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"['Ich bin Saint Vincentianer.', 'Ich bin Saint Vincentianerin.']"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin Venezolanerin.,,"['Ich bin Venezolaner.', 'Ich bin Venezolanerin.']"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin Vietnamesin.,,['Ich bin Vietnamesisch.']
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin Vanuatuerin.,,['Ich bin Ni-Vanuatu.']
I am Samoan.,Ich bin Samoaner.,Ich bin Samoanerin.,,"['Ich bin Samoaner.', 'Ich bin Samoanerin.']"
I am Yemeni.,Ich bin Jemenit.,Ich bin Jemenitin.,,"['Ich bin Jemenit.', 'Ich bin Jemenitin.']"
I am South African.,Ich bin Südafrikaner.,Ich bin Südafrikanerin.,,"['Ich bin Südafrikaner.', 'Ich bin Südafrikanerin.']"
I am Zambian.,Ich bin Sambier.,Ich bin Sambierin.,,['Ich bin Sambia.']
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin Simbabwerin.,,"['Ich bin Simbabwer.', 'Ich bin Simbabwerin.']"
