eng,it_m,it_f,it_n,extracted,is_m,is_f,is_n
I am Iraqi.,Sono iracheno.,Sono irachena.,,['Sono iracheno.'],True,False,False
I am Icelander.,,,Sono islandese.,['Sono islandese.'],False,False,True
I am Israeli.,Sono israeliano.,Sono israeliana.,,['Sono israeliano.'],True,False,False
I am Italian.,Sono italiano.,Sono italiana.,,['Sono italiano.'],True,False,False
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,['Sono giamaicano.'],True,False,False
I am Jordanian.,Sono giordano.,Sono giordana.,,['Sono giordano.'],True,False,False
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,['Sono giapponese.'],True,False,False
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,['Sono kazako.'],False,False,False
I am Kenyan.,,,Sono keniota.,['Sono Keniano.'],False,False,False
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,['Sono kirghiso.'],True,False,False
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,['Sono cambogiano.'],True,False,False
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,['Sono I-Kiribati.'],False,False,False
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,['Sono Kittitiano o Nevisiano.'],False,False,False
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,['Sono sudcoreano.'],True,False,False
I am Kuwaiti.,,,,['Sono kuwaitiano.'],False,False,False
I am Laotian.,Sono laotiano.,Sono laotiana.,,['Sono laotiano.'],True,False,False
I am Lebanese.,,,Sono libanese.,['Sono libanese.'],False,False,True
I am Liberian.,Sono liberiano.,Sono liberiana.,,['Sono liberiano.'],True,False,False
I am Libyan.,Sono libico.,Sono libica.,,['Sono libico.'],True,False,False
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,['Sono di Santa Lucia.'],False,False,False
I am Liechtensteiner.,,,Sono liechtensteinese.,['Sono del Liechtenstein.'],False,False,False
I am Sri Lankan.,,,Sono sri lankese.,['Sono dello Sri Lanka.'],False,False,False
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,['Sono Mosotho.'],False,False,False
I am Lithuanian.,Sono lituano.,Sono lituana.,,['Sono lituano.'],True,False,False
I am Luxembourger.,,,Sono lussemburghese.,['Sono lussemburghese.'],False,False,True
I am Latvian.,Sono lettone.,Sono lettona.,,['Sono lettone.'],True,False,False
I am Moroccan.,Sono marocchino.,Sono marocchina.,,['Sono marocchino.'],True,False,False
I am Monegasque.,Sono monegasco.,Sono monegasca.,,['Sono monegasco.'],True,False,False
I am Moldovan.,Sono moldavo.,Sono moldava.,,['Sono moldavo.'],True,False,False
I am Malagasy.,Sono malgascio.,Sono malgascia.,,['Sono malgascio.'],True,False,False
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,['Sono delle Maldive.'],False,False,False
I am Mexican.,Sono messicano.,Sono messicana.,,['Sono messicano.'],True,False,False
I am Marshallese.,,,Sono marshallese.,['Sono marshalliano.'],False,False,False
I am Macedonian.,,,Sono macedone.,['Sono macedone.'],False,False,True
I am Malian.,Sono maliano.,Sono maliana.,,['Sono maliano.'],True,False,False
I am Maltese.,,,Sono maltese.,['Sono Maltese.'],False,False,True
I am Burmese.,Sono birmano.,Sono birmese.,,['Sono birmano.'],True,False,False
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,['Sono montenegrino.'],True,False,False
I am Mongolian.,Sono mongolo.,Sono mongola.,,['Sono mongolo.'],True,False,False
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,['Sono mozambicano.'],True,False,False
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,['Sono mauritano.'],True,False,False
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,['Sono mauriziano.'],True,False,False
I am Malawian.,Sono malawiano.,Sono malawiana.,,['Sono malawiano.'],True,False,False
I am Malaysian.,,,Sono malese.,['Sono malese.'],False,False,True
I am Namibian.,Sono namibiano.,Sono namibiana.,,['Sono namibiano.'],True,False,False
I am Nigerien.,Sono nigerino.,Sono nigerina.,,['Sono nigerino.'],True,False,False
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,['Sono nigeriano.'],True,False,False
I am Nicaraguan.,,,Sono nicaraguense.,['Sono nicaraguense.'],False,False,True
I am Dutch.,,,Sono olandese.,['Sono olandese.'],False,False,True
I am Norwegian.,,,Sono norvegese.,['Sono norvegese.'],False,False,True
I am Nepalese.,,,Sono nepalese.,['Sono nepalese.'],False,False,True
I am Nauruan.,Sono nauruano.,Sono nauruana.,,['Sono Nauruano.'],True,False,False
I am New Zealander.,,,Sono neozelandese.,['Sono neozelandese.'],False,False,True
I am Omani.,,,Sono omanita.,['Sono omanita.'],False,False,True
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,['Sono pakistano.'],True,False,False
I am Panamanian.,,,Sono panamense.,['Sono panamense.'],False,False,True
I am Peruvian.,Sono peruviano.,Sono peruviana.,,['Sono peruviano.'],True,False,False
I am Filipino.,Sono filippino.,Sono filippina.,,['Sono filippino.'],True,False,False
I am Palauan.,Sono palauano.,Sono palauana.,,['Sono Palauano.'],True,False,False
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,['Sono della Papua Nuova Guinea.'],False,False,False
I am Polish.,Sono polacco.,Sono polacca.,,['Sono polacco.'],True,False,False
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,['Sono nordcoreano.'],True,False,False
I am Portuguese.,,,Sono portoghese.,['Sono portoghese.'],False,False,True
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,['Sono paraguaiano.'],True,False,False
I am Qatari.,,,Sono qatariota.,['Sono qatariota.'],False,False,True
I am Romanian.,Sono rumeno.,Sono rumena.,,['Sono rumeno.'],True,False,False
I am Russian.,Sono russo.,Sono russa.,,['Sono russo.'],True,False,False
I am Rwandan.,,,Sono ruandese.,['Sono ruandese.'],False,False,True
I am Saudi Arabian.,,,Sono saudita.,['Sono saudita.'],False,False,True
I am Sudanese.,,,Sono sudanese.,['Sono sudanese.'],False,False,True
I am Senegalese.,,,Sono senegalese.,['Sono senegalese.'],False,False,True
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,['Sono singaporiano.'],True,False,False
I am Solomon Islander.,,,Sono salomonese.,['Sono delle Isole Salomone.'],False,False,False
I am Sierra Leonean.,,,Sono sierra leonese.,['Sono della Sierra Leone.'],False,False,False
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,['Sono salvadoregno.'],True,False,False
I am Sammarinese.,,,Sono sammarinese.,['Sono Sammarinese.'],False,False,True
I am Somali.,Sono somalo.,Sono somala.,,['Sono somalo.'],True,False,False
I am Serbian.,Sono serbo.,Sono serba.,,['Sono serbo.'],True,False,False
I am South Sudanese.,,,Sono sudsudanese.,['Sono sudanese del sud.'],False,False,False
I am Sao Tomean.,,,Sono saotomense.,['Sono di Sao Tome.'],False,False,False
I am Surinamer.,,,Sono surinamese.,['Sono Surinamese.'],False,False,True
I am Slovak.,Sono slovacco.,Sono slovacca.,,['Sono slovacco.'],True,False,False
I am Slovene.,Sono sloveno.,Sono slovena.,,['Sono sloveno.'],True,False,False
I am Swedish.,,,Sono svedese.,['Sono svedese.'],False,False,True
I am Swazi.,,,Sono swazilandese.,['Sono Swazi.'],False,False,False
I am Seychellois.,,,Sono seicellese.,['Sono Seychellese.'],False,False,False
I am Syrian.,Sono siriano.,Sono siriana.,,['Sono siriano.'],True,False,False
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,['Sono ciadiano.'],True,False,False
I am Togolese.,,,Sono togolese.,['Sono Togolese.'],False,False,True
I am Thai.,,,Sono thailandese.,['Sono thailandese.'],False,False,True
I am Tadzhik.,Sono tagiko.,Sono tagika.,,['Sono tagiko.'],True,False,False
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,['Sono turkmeno.'],True,False,False
I am East Timorese.,,,Sono timorese.,['Sono di Timor Est.'],False,False,False
I am Tongan.,Sono tongano.,Sono tongana.,,['Sono tongano.'],True,False,False
I am Trinidadian.,,,Sono trinitense.,['Sono trinidadiano.'],False,False,False
I am Tunisian.,Sono tunisino.,Sono tunisina.,,['Sono tunisino.'],True,False,False
I am Turkish.,Sono turco.,Sono turca.,,['Sono turco.'],True,False,False
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,['Sono Tuvaluano.'],True,False,False
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,['Sono tanzaniano.'],True,False,False
I am Ugandan.,,,Sono ugandese.,['Sono ugandese.'],False,False,True
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,['Sono ucraino.'],True,False,False
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,['Sono uruguaiano.'],False,False,False
I am American.,,,Sono statunitense.,['Sono americano.'],False,False,False
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,['Sono uzbeko.'],False,False,False
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,['Sono di Saint Vincent.'],False,False,False
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,['Sono venezuelano.'],True,False,False
I am Vietnamese.,,,Sono vietnamita.,['Sono vietnamita.'],False,False,True
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,['Sono Ni-Vanuatu.'],False,False,False
I am Samoan.,Sono samoano.,Sono samoana.,,['Sono samoano.'],True,False,False
I am Yemeni.,,,Sono yemenita.,['Sono yemenita.'],False,False,True
I am South African.,Sono sudafricano.,Sono sudafricana.,,['Sono sudafricano.'],True,False,False
I am Zambian.,Sono zambiano.,Sono zambiana.,,['Sono zambiano.'],True,False,False
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,['Sono zimbabwano.'],False,False,False
