eng,fra_m,fra_f,fra_n,extracted,is_m,is_f,is_n
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,['Je suis hongrois.'],True,False,False
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,['Je suis indonésien.'],True,False,False
I am Indian.,Je suis Indien.,Je suis Indienne.,,['Je suis indien.'],True,False,False
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,['Je suis irlandais.'],True,False,False
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,['Je suis iranien.'],True,False,False
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,['Je suis irakien.'],True,False,False
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,['Je suis Islandais.'],True,False,False
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,['Je suis Israélien.'],True,False,False
I am Italian.,Je suis Italien.,Je suis Italienne.,,['Je suis Italien.'],True,False,False
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,['Je suis Jamaïcain.'],True,False,False
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,['Je suis Jordanien.'],True,False,False
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,['Je suis Japonais.'],True,False,False
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,['Je suis Kazakh.'],False,False,False
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,['Je suis Kenyan.'],False,False,False
I am Kirghiz.,,,Je suis Kirghize.,['Je suis Kirghize.'],False,False,True
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,['Je suis cambodgien.'],True,False,False
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,['Je suis I-Kiribati.'],False,False,False
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,['Je suis Kittitien ou Nevisien.'],False,False,False
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,['Je suis sud-coréen.'],True,False,False
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,['Je suis Koweïtien.'],True,False,False
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,['Je suis laotien.'],True,False,False
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,['Je suis Libanais.'],True,False,False
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,['Je suis Libérien.'],True,False,False
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,['Je suis Libyen.'],True,False,False
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,['Je suis Saint-Lucien.'],True,False,False
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,['Je suis Liechtensteinois.'],True,False,False
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,['Je suis Sri Lankais.'],False,False,False
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,['Je suis Mosotho.'],False,False,False
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,['Je suis Lituanien.'],True,False,False
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,['Je suis Luxembourgeois.'],True,False,False
I am Latvian.,Je suis Letton.,Je suis Lettone.,,['Je suis Letton.'],True,False,False
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,['Je suis Marocain.'],True,False,False
I am Monegasque.,,,Je suis Monégasque.,['Je suis Monégasque.'],False,False,True
I am Moldovan.,,,Je suis Moldave.,['Je suis moldave.'],False,False,True
I am Malagasy.,,,Je suis Malgache.,['Je suis Malgache.'],False,False,True
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,['Je suis Maldivien.'],True,False,False
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,['Je suis Mexicain.'],True,False,False
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,['Je suis Marshallais.'],True,False,False
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,['Je suis Macédonien.'],True,False,False
I am Malian.,Je suis Malien.,Je suis Malienne.,,['Je suis Malien.'],True,False,False
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,['Je suis Maltais.'],True,False,False
I am Burmese.,Je suis Birman.,Je suis Birmane.,,['Je suis birman.'],True,False,False
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,['Je suis Monténégrin.'],True,False,False
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,['Je suis Mongol.'],True,False,False
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,['Je suis Mozambicain.'],True,False,False
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,['Je suis Mauritanien.'],True,False,False
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,['Je suis Mauricien.'],True,False,False
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,['Je suis Malawien.'],True,False,False
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,['Je suis Malaisien.'],True,False,False
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,['Je suis namibien.'],True,False,False
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,['Je suis Nigérien.'],True,False,False
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,['Je suis Nigérian.'],True,False,False
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,['Je suis nicaraguayen.'],True,False,False
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,['Je suis néerlandais.'],True,False,False
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,['Je suis Norvégien.'],True,False,False
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,['Je suis Népalais.'],True,False,False
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,['Je suis Nauruan.'],True,False,False
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,['Je suis Néo-Zélandais.'],False,False,False
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,['Je suis Omanais.'],True,False,False
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,['Je suis Pakistanais.'],True,False,False
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,['Je suis Panaméen.'],True,False,False
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,['Je suis Péruvien.'],True,False,False
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,['Je suis Philippin.'],True,False,False
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,['Je suis Palauan.'],False,False,False
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"['Je suis Papouasien.', 'Je suis Papouasienne.']",True,True,False
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,['Je suis Polonais.'],True,False,False
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,['Je suis nord-coréen.'],True,False,False
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,['Je suis Portugais.'],True,False,False
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,['Je suis paraguayen.'],True,False,False
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,['Je suis Qatari.'],False,False,False
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,['Je suis Roumain.'],True,False,False
I am Russian.,,,Je suis Russe.,['Je suis russe.'],False,False,True
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,['Je suis Rwandais.'],True,False,False
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,['Je suis Saoudien.'],True,False,False
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,['Je suis soudanais.'],True,False,False
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,['Je suis sénégalais.'],True,False,False
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,['Je suis Singapourien.'],True,False,False
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,['Je suis Salomonien.'],True,False,False
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,['Je suis Sierra-Léonais.'],False,False,False
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,['Je suis Salvadorien.'],True,False,False
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,['Je suis Saint-Marinais.'],True,False,False
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,['Je suis Somali.'],False,False,False
I am Serbian.,,,Je suis Serbe.,['Je suis serbe.'],False,False,True
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,['Je suis sud-soudanais.'],True,False,False
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,['Je suis Santoméen.'],True,False,False
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,['Je suis Surinamien.'],False,False,False
I am Slovak.,,,Je suis Slovaque.,['Je suis slovaque.'],False,False,True
I am Slovene.,,,Je suis Slovène.,['Je suis slovène.'],False,False,True
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,['Je suis suédois.'],True,False,False
I am Swazi.,,,Je suis Swazie.,['Je suis Swazi.'],False,False,False
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,['Je suis Seychellois.'],True,False,False
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,['Je suis syrien.'],True,False,False
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,['Je suis Tchadien.'],True,False,False
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,['Je suis Togolais.'],True,False,False
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,['Je suis Thaïlandais.'],True,False,False
I am Tadzhik.,,,Je suis Tadjike.,['Je suis Tadjik.'],False,False,False
I am Turkmen.,,,Je suis Turkmène.,['Je suis Turkmène.'],False,False,True
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,['Je suis Timorais.'],False,False,False
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,['Je suis tongien.'],False,False,False
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,['Je suis Trinidadien.'],True,False,False
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,['Je suis Tunisien.'],True,False,False
I am Turkish.,Je suis Turc.,Je suis Turque.,,['Je suis turc.'],True,False,False
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,['Je suis Tuvaluan.'],True,False,False
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,['Je suis Tanzanien.'],True,False,False
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,['Je suis ougandais.'],True,False,False
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,['Je suis ukrainien.'],True,False,False
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,['Je suis uruguayen.'],True,False,False
I am American.,Je suis Américain.,Je suis Américaine.,,['Je suis Américain.'],True,False,False
I am Uzbekistani.,,,Je suis Ouzbèke.,['Je suis Ouzbek.'],False,False,False
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,['Je suis Saint-Vincentais.'],False,False,False
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,['Je suis vénézuélien.'],True,False,False
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,['Je suis vietnamien.'],True,False,False
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,['Je suis Ni-Vanuatu.'],False,False,False
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,['Je suis samoan.'],True,False,False
I am Yemeni.,,,Je suis Yéménite.,['Je suis yéménite.'],False,False,True
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,['Je suis Sud-Africain.'],True,False,False
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,['Je suis Zambien.'],True,False,False
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,['Je suis zimbabwéen.'],True,False,False
