Code,Language,GoogleTranslate,DeepL,GPT,Gemini,Copilot,Claude,GrammaticalGender,Family
zho,Chinese,1,1,1,1,1,1,0,Sino-Tibetan
chk,Chuukese,1,0,0,0,0,0,0,Austronesian
chv,Chuvash,1,0,0,0,0,0,0,Turkic
cos,Corsican,1,0,1,0,0,0,1,Indo-European
crh,Crimean Tatar,1,0,0,0,0,0,0,Turkic
hrv,Croatian,1,0,1,1,0,1,1,Indo-European
ces,Czech,1,1,1,1,1,1,1,Indo-European
dan,Danish,1,1,1,1,1,1,0,Indo-European
prs,Dari,1,0,0,0,0,0,0,Indo-European
div,Dhivehi,1,0,0,0,0,0,0,Indo-European
din,Dinka,1,0,0,0,0,0,0,Nilo-Saharan
doi,Dogri,1,0,0,0,0,0,0,Indo-European
dov,Dombe,1,0,0,0,0,0,0,Niger-Congo
nld,Dutch,1,1,1,1,1,1,1,Indo-European
dyu,Dyula,1,0,0,0,0,0,0,Niger-Congo
dzo,Dzongkha,1,0,0,0,0,0,0,Sino-Tibetan
eng,English,1,1,1,1,1,1,0,Indo-European
epo,Esperanto,1,0,1,1,0,0,0,Constructed language
est,Estonian,1,1,1,1,0,1,0,Uralic
ewe,Ewe,1,0,0,0,0,0,0,Niger-Congo
fao,Faroese,1,0,0,0,0,0,1,Indo-European
fij,Fijian,1,0,0,0,0,0,0,Austronesian
fil,Filipino,1,0,1,0,0,0,0,Austronesian
fin,Finnish,1,1,1,1,1,1,0,Uralic
fon,Fon,1,0,0,0,0,0,0,Niger-Congo
fra,French,1,1,1,1,1,1,1,Indo-European
frr,Frisian,1,0,1,0,0,0,0,Indo-European
fur,Friulian,1,0,0,0,0,0,0,Indo-European
ful,Fulani,1,0,0,0,0,0,0,Niger-Congo
gaa,Ga,1,0,0,0,0,0,0,Niger-Congo
glg,Galician,1,0,1,0,0,0,1,Indo-European
kat,Georgian,1,0,1,1,0,0,0,Kartvelian
deu,German,1,1,1,1,1,1,1,Indo-European
ell,Greek,1,1,1,1,0,1,1,Indo-European
grn,Guarani,1,0,0,0,0,0,0,Tupian
guj,Gujarati,1,0,1,1,0,1,1,Indo-European
hat,Haitian Creole,1,0,1,1,0,0,0,Creole
cnh,Hakha Chin,1,0,0,0,0,0,0,Sino-Tibetan
hau,Hausa,1,0,1,0,0,0,0,Afro-Asiatic
haw,Hawaiian,1,0,1,0,0,0,0,Austronesian
heb,Hebrew,1,0,1,1,1,1,1,Afro-Asiatic
hil,Hiligaynon,1,0,0,0,0,0,0,Austronesian
hin,Hindi,1,0,1,1,0,1,1,Indo-European
hmn,Hmong,1,0,1,0,0,0,0,Hmong-Mien
hun,Hungarian,1,1,1,1,1,1,0,Uralic
hrx,Hunsrik,1,0,0,0,0,0,0,Indo-European
iba,Iban,1,0,0,0,0,0,0,Austronesian
isl,Icelandic,1,0,1,1,0,1,1,Indo-European
ibo,Igbo,1,0,1,1,0,0,0,Niger-Congo
ilo,Ilocano,1,0,0,0,0,0,0,Austronesian
ind,Indonesian,1,1,1,1,0,1,0,Austronesian
gle,Irish,1,0,1,1,0,0,1,Indo-European
ita,Italian,1,1,1,1,1,1,1,Indo-European
jam,Jamaican Patois,1,0,0,0,0,0,0,Creole
jpn,Japanese,1,1,1,1,1,1,0,Japonic
jav,Javanese,1,0,1,1,0,0,0,Austronesian
kac,Jingpo,1,0,0,0,0,0,0,Sino-Tibetan
kal,Kalaallisut,1,0,0,0,0,0,0,Eskimo-Aleut
kan,Kannada,1,0,1,1,0,1,0,Dravidian
kau,Kanuri,1,0,0,0,0,0,0,Nilo-Saharan
pam,Kapampangan,1,0,0,0,0,0,0,Austronesian
kaz,Kazakh,1,0,1,1,0,0,0,Turkic
kha,Khasi,1,0,0,0,0,0,0,Austro-Asiatic
khm,Khmer,1,0,1,1,0,1,0,Austro-Asiatic
cgg,Kiga,1,0,0,0,0,0,0,Niger-Congo
kwy,Kikongo,1,0,0,0,0,0,0,Niger-Congo
kin,Kinyarwanda,1,0,1,0,0,0,0,Niger-Congo
ktu,Kituba,1,0,0,0,0,0,0,Creole
trp,Kokborok,1,0,0,0,0,0,0,Sino-Tibetan
kom,Komi,1,0,0,0,0,0,0,Uralic
kok,Konkani,1,0,0,0,0,0,1,Indo-European
kor,Korean,1,1,1,1,1,1,0,Koreanic
kri,Krio,1,0,0,0,0,0,0,Creole
kur,Kurdish,1,0,1,1,0,0,1,Indo-European
kir,Kyrgyz,1,0,1,0,0,0,0,Turkic
lao,Lao,1,0,1,0,0,1,0,Kra-Dai
ltg,Latgalian,1,0,0,0,0,0,0,Indo-European
lat,Latin,1,0,1,1,0,0,1,Indo-European
lav,Latvian,1,1,1,1,0,1,1,Indo-European
lij,Ligurian,1,0,0,0,0,0,0,Indo-European
lim,Limburgish,1,0,0,0,0,0,1,Indo-European
lin,Lingala,1,0,0,0,0,0,0,Niger-Congo
lit,Lithuanian,1,1,1,1,0,1,1,Indo-European
lmo,Lombard,1,0,0,0,0,0,0,Indo-European
lug,Luganda,1,0,0,0,0,0,0,Niger-Congo
luo,Luo,1,0,0,0,0,0,0,Nilo-Saharan
ltz,Luxembourgish,1,0,1,0,0,0,1,Indo-European
mkd,Macedonian,1,0,1,0,0,0,1,Indo-European
mad,Madurese,1,0,0,0,0,0,0,Austronesian
mai,Maithili,1,0,0,0,0,0,0,Indo-European
mak,Makassar,1,0,0,0,0,0,0,Austronesian
mlg,Malagasy,1,0,1,0,0,0,0,Austronesian
msa,Malay,1,0,1,1,0,1,0,Austronesian
mal,Malayalam,1,0,1,1,0,1,0,Dravidian
mlt,Maltese,1,0,1,1,0,0,1,Afro-Asiatic
mam,Mam,1,0,0,0,0,0,0,Mayan
glv,Manx,1,0,0,0,0,0,1,Indo-European
mri,Maori,1,0,1,0,0,0,0,Austronesian
mar,Marathi,1,0,1,1,0,1,1,Indo-European
mah,Marshallese,1,0,0,0,0,0,0,Austronesian
rwr,Marwadi,1,0,0,0,0,0,0,Indo-European
mfe,Mauritian Creole,1,0,0,0,0,0,0,Creole
mhr,Meadow Mari,1,0,0,0,0,0,0,Uralic
mni,Meiteilon,1,0,0,0,0,0,0,Kuki-Chin-Naga
xrg,Minang,1,0,0,0,0,0,0,Australian
lus,Mizo,1,0,0,0,0,0,0,Sino-Tibetan
mon,Mongolian,1,0,1,1,0,1,0,Mongolic
mya,Myanmar,1,0,0,0,0,0,0,Sino-Tibetan
nqo,NKo,1,0,0,0,0,0,0,Mixed language
nhe,Nahuatl,1,0,0,0,0,0,0,Uto-Aztecan
ndc,Ndau,1,0,0,0,0,0,0,Niger-Congo
nde,Ndebele,1,0,0,0,0,0,0,Niger-Congo
new,Nepalbhasa,1,0,0,0,0,0,0,Sino-Tibetan
nep,Nepali,1,0,1,1,0,1,0,Indo-European
nor,Norwegian,1,1,1,1,1,1,1,Indo-European
nus,Nuer,1,0,0,0,0,0,0,Nilo-Saharan
oci,Occitan,1,0,0,0,0,0,1,Indo-European
ory,Odia,1,0,1,1,0,0,0,Indo-European
orm,Oromo,1,0,0,0,0,0,1,Afro-Asiatic
oss,Ossetian,1,0,0,0,0,0,0,Indo-European
pag,Pangasinan,1,0,0,0,0,0,0,Austronesian
pap,Papiamento,1,0,0,0,0,0,0,Creole
pus,Pashto,1,0,1,1,0,0,1,Indo-European
fas,Persian,1,0,1,1,0,1,0,Indo-Iranian
pol,Polish,1,1,1,1,1,1,1,Indo-European
por,Portuguese,1,1,1,1,1,1,1,Indo-European
pan,Punjabi,1,0,1,1,0,1,1,Indo-European
que,Quechua,1,0,0,0,0,0,0,Quechuan
kek,Qʼeqchiʼ,1,0,0,0,0,0,0,Mayan
rom,Romani,1,0,0,0,0,0,1,Indo-European
ron,Romanian,1,1,1,1,0,1,1,Indo-European
run,Rundi,1,0,0,0,0,0,0,Niger-Congo
rus,Russian,1,1,1,1,1,1,1,Indo-European
sme,Sami,1,0,0,0,0,0,0,Uralic
smo,Samoan,1,0,1,0,0,0,0,Austronesian
sag,Sango,1,0,0,0,0,0,0,Creole
san,Sanskrit,1,0,0,0,0,0,1,Indo-European
sat,Santali,1,0,0,0,0,0,0,Austro-Asiatic
gla,Scots Gaelic,1,0,1,0,0,0,0,Indo-European
nso,Sepedi,1,0,0,0,0,0,0,Niger-Congo
srp,Serbian,1,0,1,1,0,1,1,Indo-European
sot,Sesotho,1,0,1,0,0,0,0,Niger-Congo
crs,Seychellois Creole,1,0,0,0,0,0,0,Creole
shn,Shan,1,0,0,0,0,0,0,Kra-Dai
sna,Shona,1,0,1,0,0,0,1,Niger-Congo
scn,Sicilian,1,0,0,0,0,0,1,Indo-European
szl,Silesian,1,0,0,0,0,0,0,Indo-European
snd,Sindhi,1,0,1,0,0,0,1,Indo-European
sin,Sinhala,1,0,1,1,0,1,0,Indo-European
slk,Slovak,1,1,1,1,0,1,1,Indo-European
slv,Slovenian,1,1,1,1,0,1,0,Indo-European
som,Somali,1,0,1,1,0,0,1,Afro-Asiatic
spa,Spanish,1,1,1,1,1,1,1,Indo-European
sun,Sundanese,1,0,1,1,0,0,0,Austronesian
sus,Susu,1,0,0,0,0,0,0,Niger-Congo
swa,Swahili,1,0,1,1,0,1,1,Niger-Congo
ssw,Swati,1,0,0,0,0,0,0,Niger-Congo
swe,Swedish,1,1,1,1,1,1,1,Indo-European
tgl,Tagalog,0,0,0,0,0,1,0,Austronesian
tah,Tahitian,1,0,0,0,0,0,0,Austronesian
tgk,Tajik,1,0,1,0,0,0,0,Indo-European
tzm,Tamazight,1,0,0,0,0,0,1,Afro-Asiatic
tam,Tamil,1,0,1,1,0,1,0,Dravidian
tat,Tatar,1,0,1,0,0,0,0,Turkic
tel,Telugu,1,0,1,1,0,1,1,Dravidian
tet,Tetum,1,0,0,0,0,0,0,Austronesian
tha,Thai,1,0,1,1,1,1,0,Kra-Dai
bod,Tibetan,1,0,0,0,0,0,0,Sino-Tibetan
tir,Tigrinya,1,0,0,0,0,0,0,Afro-Asiatic
tiv,Tiv,1,0,0,0,0,0,0,Niger-Congo
tpi,Tok Pisin,1,0,0,0,0,0,0,Creole
ton,Tongan,1,0,0,0,0,0,0,Austronesian
tso,Tsonga,1,0,0,0,0,0,0,Niger-Congo
tsn,Tswana,1,0,0,0,0,0,0,Niger-Congo
tcy,Tulu,1,0,0,0,0,0,0,Dravidian
tum,Tumbuka,1,0,0,0,0,0,0,Niger-Congo
tur,Turkish,1,1,1,1,1,1,0,Turkic
tuk,Turkmen,1,0,1,0,0,0,0,Turkic
tyv,Tuvan,1,0,0,0,0,0,0,Turkic
twi,Twi,1,0,0,0,0,0,0,Kwa
udm,Udmurt,1,0,0,0,0,0,0,Uralic
ukr,Ukrainian,1,1,1,1,1,1,1,Indo-European
urd,Urdu,1,0,1,1,0,1,1,Indo-European
uig,Uyghur,1,0,1,0,0,0,0,Turkic
uzb,Uzbek,1,0,1,1,0,0,0,Turkic
ven,Venda,1,0,0,0,0,0,0,Niger-Congo
vec,Venetian,1,0,0,0,0,0,1,Indo-European
vie,Vietnamese,1,0,1,1,0,1,0,Austro-Asiatic
war,Waray,1,0,0,0,0,0,0,Austronesian
cym,Welsh,1,0,1,1,1,0,1,Indo-European
wol,Wolof,1,0,0,0,0,0,0,Niger-Congo
xho,Xhosa,1,0,1,0,0,0,0,Niger-Congo
sah,Yakut,1,0,0,0,0,0,0,Turkic
yid,Yiddish,1,0,1,0,0,0,1,Indo-European
yor,Yoruba,1,0,1,1,0,0,0,Niger-Congo
yua,Yucatec Maya,1,0,0,0,0,0,0,Mayan
zap,Zapotec,1,0,0,0,0,0,0,Otomanguean
zul,Zulu,1,0,1,1,0,0,0,Niger-Congo
