eng,fra_m,fra_f,fra_n,output
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"[TextBlock(text='In French, ""I am Azerbaijani"" is translated as:\n\nJe suis azerbaïdjanais. (masculine)\nJe suis azerbaïdjanaise. (feminine)\n\nThe adjective ""azerbaïdjanais(e)"" agrees in gender with the subject. If the speaker is male, use ""azerbaïdjanais,"" and if the speaker is female, use ""azerbaïdjanaise.""', type='text')]"
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"[TextBlock(text='Sure! The French translation of ""I am Burundian"" is:\n\nJe suis Burundais. (masculine)\nJe suis Burundaise. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis Burundais,"" and if you are a woman, you would say ""Je suis Burundaise.""', type='text')]"
I am Belgian.,Je suis Belge.,Je suis Belge.,,"[TextBlock(text='Sure, here is the translation of ""I am Belgian"" in French:\n\nJe suis belge.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular conjugation of the verb ""être"" which means ""to be""\n- ""belge"" means ""Belgian"" (in this case, it is both the masculine and feminine form)', type='text')]"
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"[TextBlock(text='In French, ""I am Beninese"" is translated as:\n\nJe suis béninois. (masculine)\nJe suis béninoise. (feminine)\n\nThe adjective ""béninois(e)"" agrees in gender with the subject. If the speaker is male, use ""béninois,"" and if the speaker is female, use ""béninoise.""', type='text')]"
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"[TextBlock(text='In French, ""I am Burkinabe"" is translated as:\n\nJe suis Burkinabé.\n\nNote that ""Burkinabé"" is both the singular and plural form of the demonym for people from Burkina Faso, and it remains the same whether you are male or female.', type='text')]"
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"[TextBlock(text='Sure! The French translation of ""I am Bangladeshi"" is:\n\nJe suis bangladais. (masculine)\nJe suis bangladaise. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. If you are a man, you would say ""Je suis bangladais,"" and if you are a woman, you would say ""Je suis bangladaise.""', type='text')]"
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"[TextBlock(text='Sure! The French translation of ""I am Bulgarian"" is:\n\nJe suis bulgare.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" which means ""to be""\n- ""bulgare"" means ""Bulgarian"" (masculine or feminine singular form)', type='text')]"
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"[TextBlock(text='In French, ""I am Bahraini"" is translated as:\n\nJe suis Bahreïni. (male)\nJe suis Bahreïnie. (female)\n\nThe adjective ""Bahreïni(e)"" agrees in gender with the subject. If the speaker is male, use ""Bahreïni,"" and if the speaker is female, use ""Bahreïnie.""', type='text')]"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Bahamian"" in French:\n\nJe suis bahamien. (masculine)\nJe suis bahamienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis bahamien,"" and if you are a woman, you would say ""Je suis bahamienne.""', type='text')]"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"[TextBlock(text='In French, ""I am Bosnian"" is translated as:\n\nJe suis bosniaque.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first person singular form of the verb ""être"" (to be)\n- ""bosniaque"" is the French adjective for ""Bosnian""', type='text')]"
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"[TextBlock(text='In French, ""I am Belarusian"" is translated as:\n\nJe suis biélorusse.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense of the verb ""être"" (to be)\n- ""biélorusse"" is the French adjective for ""Belarusian""\n\nNote that in French, nationalities are not capitalize', type='text')]"
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"[TextBlock(text='In French, ""I am Belizean"" is translated as:\n\nJe suis bélizien. (masculine)\nJe suis bélizienne. (feminine)\n\nThe adjective ""bélizien"" changes depending on the gender of the speaker. If the speaker is male, use ""bélizien,"" and if the speaker is female, use ""bélizienne.""', type='text')]"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"[TextBlock(text='Sure! The French translation of ""I am Bolivian"" is:\n\nJe suis bolivien. (masculine)\nJe suis bolivienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis bolivien,"" and if you are a woman, you would say ""Je suis bolivienne.""', type='text')]"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"[TextBlock(text='Sure! The French translation of ""I am Brazilian"" is:\n\nJe suis brésilien. (masculine)\nJe suis brésilienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis brésilien,"" and if you are a woman, you would say ""Je suis brésilienne.""', type='text')]"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"[TextBlock(text='Sure! The French translation of ""I am Barbadian"" is:\n\nJe suis Barbadien. (masculine)\nJe suis Barbadienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person. Therefore, if you are a man, you would say ""Je suis Barbadien,"" and if you are a woman, you would say ""Je suis Barbadienne.""', type='text')]"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am Bruneian"":\n\nJe suis Brunéien. (masculine)\nJe suis Brunéienne. (feminine)\n\nIn French, the adjective typically agrees with the gender of the person. So, if you are a man, you would say ""Je suis Brunéien,"" and if you are a woman, you would say ""Je suis Brunéienne.""', type='text')]"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"[TextBlock(text='In French, ""I am Bhutanese"" is translated as:\n\nJe suis bhoutanais(e).\n\nNote: In French, adjectives of nationality usually have different forms for masculine and feminine. If you are a man, you would say ""Je suis bhoutanais,"" and if you are a woman, you would say ""Je suis bhoutanaise.""', type='text')]"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"[TextBlock(text='In French, ""I am Motswana"" can be translated as:\n\nJe suis Motswana.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" which means ""to be""\n- ""Motswana"" is the demonym for a person from Botswana, and it remains the same in French.', type='text')]"
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"[TextBlock(text='In French, ""I am Central African"" can be translated as:\n\nJe suis centrafricain. (masculine)\nJe suis centrafricaine. (feminine)\n\nNote that the adjective ""centrafricain"" changes depending on the gender of the speaker. If the speaker is male, you use ""centrafricain,"" and if the speaker is female, you use ""centrafricaine.""', type='text')]"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"[TextBlock(text='Sure, here is the French translation of ""I am Canadian"":\n\nJe suis canadien. (masculine)\nJe suis canadienne. (feminine)\n\nIn French, adjectives agree with the gender of the noun they modify. In this case, ""Canadian"" refers to the speaker, so the adjective takes the masculine form ""canadien"" if the speaker is male, or the feminine form ""canadienne"" if the speaker is female.', type='text')]"
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"[TextBlock(text='In French, ""I am Swiss"" is:\n\nJe suis suisse.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular conjugation of the verb ""être"" (to be)\n- ""suisse"" means ""Swiss""\n\nNote that in French, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"[TextBlock(text='Sure! The French translation of ""I am Chilean"" is:\n\nJe suis chilien. (masculine)\nJe suis chilienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis chilien,"" and if you are a woman, you would say ""Je suis chilienne.""', type='text')]"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"[TextBlock(text='Sure! The French translation of ""I am Chinese"" is:\n\nJe suis chinois(e).\n\nNote: In French, adjectives typically agree with the gender of the person they describe. If you are a male, you would say ""Je suis chinois,"" and if you are a female, you would say ""Je suis chinoise.""', type='text')]"
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"[TextBlock(text='In French, ""I am Ivorian"" is translated as:\n\nJe suis Ivoirien. (masculine)\nJe suis Ivoirienne. (feminine)\n\nThe adjective ""Ivoirien"" changes depending on the gender of the speaker. Use ""Ivoirien"" if you are a man and ""Ivoirienne"" if you are a woman.', type='text')]"
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"[TextBlock(text='Sure! The French translation of ""I am Cameroonian"" is:\n\nJe suis Camerounais(e).\n\nNote: Use ""Camerounais"" if you are a male and ""Camerounaise"" if you are a female, as French adjectives change depending on the gender of the person they describe.', type='text')]"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"[TextBlock(text='In French, ""I am Congolese"" can be translated as:\n\nJe suis Congolais(e).\n\nNote: The ending of the adjective ""Congolais"" changes depending on the gender of the speaker. If the speaker is male, it remains ""Congolais,"" but if the speaker is female, an ""e"" is added to make it ""Congolaise.""', type='text')]"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"[TextBlock(text='In French, ""I am Congolese"" can be translated as:\n\nJe suis Congolais(e).\n\nNote: The ending of the adjective ""Congolais"" changes depending on the gender of the speaker. If the speaker is male, it remains ""Congolais,"" but if the speaker is female, an ""e"" is added to make it ""Congolaise.""', type='text')]"
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"[TextBlock(text='Sure! The French translation of ""I am Colombian"" is:\n\nJe suis colombien. (masculine)\nJe suis colombienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis colombien,"" and if you are a woman, you would say ""Je suis colombienne.""', type='text')]"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"[TextBlock(text='In French, ""I am Comoran"" is translated as:\n\nJe suis Comorien. (masculine)\nJe suis Comorienne. (feminine)\n\nNote that the adjective ""Comorien"" changes depending on the gender of the speaker. If the speaker is male, use ""Comorien,"" and if the speaker is female, use ""Comorienne.""', type='text')]"
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"[TextBlock(text='In French, ""I am Cape Verdian"" can be translated as:\n\nJe suis Cap-Verdien. (masculine)\nJe suis Cap-Verdienne. (feminine)\n\nThe adjective ""Cap-Verdien(ne)"" agrees with the gender of the speaker. If you are a man, you would say ""Je suis Cap-Verdien,"" and if you are a woman, you would say ""Je suis Cap-Ver', type='text')]"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"[TextBlock(text='In French, ""I am Costa Rican"" is translated as:\n\nJe suis costaricien. (masculine)\nJe suis costaricienne. (feminine)\n\nThe adjective ""costaricien"" changes depending on the gender of the speaker. If the speaker is male, use ""costaricien,"" and if the speaker is female, use ""costaricienne.""', type='text')]"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"[TextBlock(text='Sure! The French translation of ""I am Cuban"" is:\n\nJe suis cubain. (masculine)\nJe suis cubaine. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis cubain,"" and if you are a woman, you would say ""Je suis cubaine.""', type='text')]"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"[TextBlock(text='In French, ""I am Cypriot"" is translated as:\n\nJe suis chypriote.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense of the verb ""être"" (to be)\n- ""chypriote"" is the French adjective for ""Cypriot""\n\nNote that ""chypriote"" is both the masculine and feminine form', type='text')]"
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"[TextBlock(text='Sure! The French translation of ""I am Czech"" is:\n\nJe suis tchèque.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense form of the verb ""être"" (to be)\n- ""tchèque"" is the French word for ""Czech""', type='text')]"
I am German.,Je suis Allemand.,Je suis Allemande.,,"[TextBlock(text='Sure, here is the translation of ""I am German"" in French:\n\nJe suis allemand. (masculine)\nJe suis allemande. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis allemand,"" and if you are a woman, you would say ""Je suis allemande.""', type='text')]"
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"[TextBlock(text='The French translation of ""I am Djibouti"" is:\n\nJe suis Djibouti.\n\nHowever, it\'s important to note that this sentence could be interpreted in two ways:\n\n1. If you are referring to yourself as a person from the country Djibouti, the translation is correct as is.\n\n2. If you meant to say ""I am in Djibouti"" (as in, you are currently located in the country', type='text')]"
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"[TextBlock(text='Sure! The French translation of ""I am Dominican"" is:\n\nJe suis Dominicain. (masculine)\nJe suis Dominicaine. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis Dominicain,"" and if you are a woman, you would say ""Je suis Dominicaine.""', type='text')]"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"[TextBlock(text='Sure! The French translation of ""I am Danish"" is:\n\nJe suis danois. (masculine)\nJe suis danoise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. ""Danois"" is the masculine form, and ""danoise"" is the feminine form.', type='text')]"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"[TextBlock(text='In French, ""I am Dominican"" can be translated as:\n\nJe suis Dominicain. (masculine)\nJe suis Dominicaine. (feminine)\n\nThe adjective ""dominicain(e)"" agrees in gender with the subject. If the speaker is male, you would use ""dominicain,"" and if the speaker is female, you would use ""dominicaine.""', type='text')]"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"[TextBlock(text='Sure! The French translation of ""I am Algerian"" is:\n\nJe suis algérien. (masculine)\nJe suis algérienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. Use ""algérien"" if you identify as male and ""algérienne"" if you identify as female.', type='text')]"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"[TextBlock(text='Sure! The French translation of ""I am Ecuadorean"" is:\n\nJe suis équatorien. (masculine)\nJe suis équatorienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis équatorien,"" and if you are a woman, you would say ""Je suis équatorienne.""', type='text')]"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"[TextBlock(text='Sure! The French translation of ""I am Egyptian"" is:\n\nJe suis égyptien. (masculine)\nJe suis égyptienne. (feminine)\n\nIn French, adjectives agree with the gender of the person or noun they describe. So, if you are a man, you would say ""Je suis égyptien,"" and if you are a woman, you would say ""Je suis égyptienne.""', type='text')]"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"[TextBlock(text='Sure! The French translation of ""I am Eritrean"" is:\n\nJe suis érythréen. (masculine)\nJe suis érythréenne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis érythréen,"" and if you are a woman, you would say ""Je suis érythréenne.""', type='text')]"
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Spanish"" in French:\n\nJe suis espagnol(e).\n\nNote: In French, adjectives agree with the gender of the person they describe. If you are a man, you would say ""Je suis espagnol,"" and if you are a woman, you would say ""Je suis espagnole.""', type='text')]"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"[TextBlock(text='Sure, here is the French translation of ""I am Estonian"":\n\nJe suis estonien. (masculine)\nJe suis estonienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they refer to. So, if you are a man, you would say ""Je suis estonien,"" and if you are a woman, you would say ""Je suis estonienne.""', type='text')]"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Ethiopian"" in French:\n\nJe suis éthiopien. (masculine)\nJe suis éthiopienne. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis éthiopien,"" and if you are a woman, you would say ""Je suis éthiopienne.""', type='text')]"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Finnish"" in French:\n\nJe suis finlandais. (masculine)\nJe suis finlandaise. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis finlandais,"" and if you are a woman, you would say ""Je suis finlandaise.""', type='text')]"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"[TextBlock(text='In French, ""I am Fijian"" is translated as:\n\nJe suis fidjien. (masculine)\nJe suis fidjienne. (feminine)\n\nThe adjective ""fidjien"" changes depending on the gender of the speaker. If the speaker is male, use ""fidjien,"" and if the speaker is female, use ""fidjienne.""', type='text')]"
I am French.,Je suis Français.,Je suis Française.,,"[TextBlock(text='Je suis français. (masculine)\nJe suis française. (feminine)', type='text')]"
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"[TextBlock(text='Sure, here is the translation of ""I am Micronesian"" in French:\n\nJe suis micronésien. (masculine)\nJe suis micronésienne. (feminine)\n\nIn French, adjectives typically agree with the gender of the person or noun they describe. So, if you are a man, you would say ""Je suis micronésien,"" and if you are a woman, you would say ""Je suis micronésienne.""', type='text')]"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"[TextBlock(text='Sure! The French translation of ""I am Gabonese"" is:\n\nJe suis Gabonais. (masculine)\nJe suis Gabonaise. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person. So, if you are a man, you would say ""Je suis Gabonais,"" and if you are a woman, you would say ""Je suis Gabonaise.""', type='text')]"
I am British.,Je suis Britannique.,Je suis Britannique.,,"[TextBlock(text='Sure, here\'s the translation of ""I am British"" in French:\n\nJe suis britannique.\n\nHere\'s a breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular conjugation of the verb ""être"" (to be)\n- ""britannique"" means ""British""', type='text')]"
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Georgian"" in French:\n\nJe suis géorgien. (masculine)\nJe suis géorgienne. (feminine)\n\nIn French, adjectives typically agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis géorgien,"" and if you are a woman, you would say ""Je suis géorgienne.""', type='text')]"
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"[TextBlock(text='Sure! The French translation of ""I am Ghanaian"" is:\n\nJe suis ghanéen. (masculine)\nJe suis ghanéenne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis ghanéen,"" and if you are a woman, you would say ""Je suis ghanéenne.""', type='text')]"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"[TextBlock(text='In French, ""I am Guinean"" is translated as:\n\nJe suis Guinéen. (masculine)\nJe suis Guinéenne. (feminine)\n\nThe adjective ""Guinéen"" changes depending on the gender of the speaker. If the speaker is male, use ""Guinéen,"" and if the speaker is female, use ""Guinéenne.""', type='text')]"
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"[TextBlock(text='In French, ""I am Gambian"" is translated as:\n\nJe suis Gambien. (masculine)\nJe suis Gambienne. (feminine)\n\nThe adjective ""Gambien"" changes depending on the gender of the speaker. If you are a man, you would say ""Je suis Gambien,"" and if you are a woman, you would say ""Je suis Gambienne.""', type='text')]"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"[TextBlock(text='The French translation of ""I am Guinea-Bissauan"" is:\n\nJe suis Bissau-Guinéen. (masculine)\nJe suis Bissau-Guinéenne. (feminine)\n\nIn French, nationalities and adjectives agree with the gender of the person they refer to. Therefore, if you are a man, you would say ""Je suis Bissau-Guinéen,"" and if you are a woman, you', type='text')]"
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"[TextBlock(text='In French, ""I am Equatorial Guinean"" is translated as:\n\nJe suis équatoguinéen. (masculine)\nJe suis équatoguinéenne. (feminine)\n\nNote that the adjective ""équatoguinéen(ne)"" agrees in gender with the subject. If the speaker is male, use ""équatoguinéen,"" and if the speaker is female, use ""équatogu', type='text')]"
I am Greek.,Je suis Grec.,Je suis Grecque.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Greek"" in French:\n\nJe suis grec. (masculine)\nJe suis grecque. (feminine)\n\nIn French, adjectives typically agree with the gender of the person or noun they describe. Therefore, if you are a man, you would say ""Je suis grec,"" and if you are a woman, you would say ""Je suis grecque.""', type='text')]"
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"[TextBlock(text='In French, ""I am Grenadian"" can be translated as:\n\nJe suis Grenadien. (masculine)\nJe suis Grenadienne. (feminine)\n\nThe adjective ""Grenadien"" or ""Grenadienne"" agrees with the gender of the speaker.', type='text')]"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am Guatemalan"":\n\nJe suis guatémaltèque.\n\nNote that in French, nationalities are typically not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"[TextBlock(text='In French, ""I am Guyanese"" can be translated as:\n\nJe suis Guyanais. (masculine)\nJe suis Guyanaise. (feminine)\n\nThe adjective ""Guyanais(e)"" agrees in gender with the subject. If the speaker is male, use ""Guyanais,"" and if the speaker is female, use ""Guyanaise.""', type='text')]"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"[TextBlock(text='Sure! The French translation of ""I am Honduran"" is:\n\nJe suis hondurien. (masculine)\nJe suis hondurienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis hondurien,"" and if you are a woman, you would say ""Je suis hondurienne.""', type='text')]"
I am Croatian.,Je suis Croate.,Je suis Croate.,,"[TextBlock(text='Sure! The French translation of ""I am Croatian"" is:\n\nJe suis croate.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" (to be)\n- ""croate"" is the French word for ""Croatian""', type='text')]"
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"[TextBlock(text='In French, ""I am Haitian"" can be translated as:\n\nJe suis haïtien. (masculine)\nJe suis haïtienne. (feminine)\n\nThe adjective ""haïtien"" changes depending on the gender of the speaker. If the speaker is male, use ""haïtien,"" and if the speaker is female, use ""haïtienne.""', type='text')]"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"[TextBlock(text='Sure! The French translation of ""I am Hungarian"" is:\n\nJe suis hongrois. (if you are a male)\nJe suis hongroise. (if you are a female)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe.', type='text')]"
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Indonesian"" in French:\n\nJe suis indonésien. (masculine)\nJe suis indonésienne. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis indonésien,"" and if you are a woman, you would say ""Je suis indonésienne.""', type='text')]"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"[TextBlock(text='Sure! The French translation of ""I am Indian"" is:\n\nJe suis indien. (masculine)\nJe suis indienne. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis indien,"" and if you are a woman, you would say ""Je suis indienne.""', type='text')]"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am Irish"":\n\nJe suis irlandais. (masculine)\nJe suis irlandaise. (feminine)\n\nIn French, adjectives typically agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis irlandais,"" and if you are a woman, you would say ""Je suis irlandaise.""', type='text')]"
