eng,fra_m,fra_f,fra_n,output
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Burkinabè.\n\nNote: ""Burkinabè"" is the term used to refer to a person from Burkina Faso, and it is typically written with an accent on the final ""e"".', type='text')]"
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis bangladais. (if you're male)\nJe suis bangladaise. (if you're female)\n\nNote: The adjective changes depending on the gender of the speaker."", type='text')]"
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis bulgare.\n\nPronunciation: ""zhuh swee bool-gahr""', type='text')]"
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"[TextBlock(text='In French, ""I am Bahraini"" would be:\n\n""Je suis bahreïni"" (masculine)\nor\n""Je suis bahreïnie"" (feminine)', type='text')]"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Bahamien. (masculine)\nJe suis Bahamienne. (feminine)\n\nNote: The spelling changes slightly depending on the gender of the speaker."", type='text')]"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Bosnien. (if you're male)\nJe suis Bosnienne. (if you're female)"", type='text')]"
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Biélorusse.\n\nNote: ""Biélorusse"" is the French term for ""Belarusian"" (referring to a person from Belarus).', type='text')]"
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis bélizien. (masculine)\nJe suis bélizienne. (feminine)\n\nNote: The gender of the adjective changes depending on whether you are male or female."", type='text')]"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis bolivien. (if you're male)\nJe suis bolivienne. (if you're female)"", type='text')]"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis brésilien. (if you're a male)\nJe suis brésilienne. (if you're a female)"", type='text')]"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"[TextBlock(text='In French, ""I am Barbadian"" would be:\n\n""Je suis Barbadien."" (if you\'re male)\n""Je suis Barbadienne."" (if you\'re female)', type='text')]"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis brunéien. (if you're male)\nJe suis brunéienne. (if you're female)\n\nNote: The gender-specific version depends on whether the speaker is male or female."", type='text')]"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis bhoutanais. (if you\'re male)\nJe suis bhoutanaise. (if you\'re female)\n\nNote: The word ""bhoutanais/bhoutanaise"" refers to someone from Bhutan.', type='text')]"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"[TextBlock(text='In French, the translation would be:\n\n""Je suis Motswana.""\n\nNote: ""Motswana"" is a term referring to a citizen of Botswana, and it remains unchanged in the French translation.', type='text')]"
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis centrafricain(e).\n\nNote: \n- Use ""centrafricain"" if you\'re male\n- Use ""centrafricaine"" if you\'re female', type='text')]"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Canadien. (if you're male)\nJe suis Canadienne. (if you're female)"", type='text')]"
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"[TextBlock(text=""Here's the translation:\n\nJe suis suisse.\n\nNote: In French, nationalities are not capitalized unless they are at the beginning of a sentence."", type='text')]"
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis chilien. (masculine)\nJe suis chilienne. (feminine)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis chinois. (if you're male)\nJe suis chinoise. (if you're female)"", type='text')]"
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Ivoirien. (if you're male)\nJe suis Ivoirienne. (if you're female)"", type='text')]"
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Camerounais. (if you're male)\nJe suis Camerounaise. (if you're female)"", type='text')]"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Congolais. (if you're male)\nJe suis Congolaise. (if you're female)"", type='text')]"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Congolais. (if you're male)\nJe suis Congolaise. (if you're female)"", type='text')]"
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis colombien. (if you're male)\nJe suis colombienne. (if you're female)"", type='text')]"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Comorien."" (for a male)\n""Je suis Comorienne."" (for a female)\n\nNote: ""Comorien/Comorienne"" refers to someone from the Comoros, an archipelago nation located in the Indian Ocean off the eastern coast of Africa.', type='text')]"
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"[TextBlock(text='In French, ""I am Cape Verdian"" would be:\n\n""Je suis Cap-Verdien."" (for a male)\n""Je suis Cap-Verdienne."" (for a female)', type='text')]"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"[TextBlock(text='In French, ""I am Costa Rican"" would be:\n\n""Je suis Costa-Ricain."" (if you are male)\nor\n""Je suis Costa-Ricaine."" (if you are female)', type='text')]"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis cubain. (if you're male)\nJe suis cubaine. (if you're female)"", type='text')]"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Chypriote.\n\nNote: In French, ""Chypriote"" is the term used to describe someone from Cyprus.', type='text')]"
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"[TextBlock(text=""Here's the translation:\n\nJe suis tchèque."", type='text')]"
I am German.,Je suis Allemand.,Je suis Allemande.,,"[TextBlock(text=""Here's the translation:\n\nJe suis allemand. (if you're a male)\nJe suis allemande. (if you're a female)"", type='text')]"
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Djibouti.""\n\nNote that ""Djibouti"" remains the same in French, as it is a proper noun (the name of a country).', type='text')]"
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis dominicain. (if you're male)\nJe suis dominicaine. (if you're female)"", type='text')]"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"[TextBlock(text='In French, ""I am Danish"" would be translated as:\n\n""Je suis danois."" (if you are male)\n""Je suis danoise."" (if you are female)', type='text')]"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis dominicain. (if you're a male)\nJe suis dominicaine. (if you're a female)\n\nNote that the adjective changes depending on the gender of the speaker."", type='text')]"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Algérien. (if you're male)\nJe suis Algérienne. (if you're female)"", type='text')]"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Équatorien. (if you're male)\nJe suis Équatorienne. (if you're female)"", type='text')]"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis égyptien. (if you're a male)\nJe suis égyptienne. (if you're a female)"", type='text')]"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis érythréen. (if you're male)\nJe suis érythréenne. (if you're female)"", type='text')]"
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"[TextBlock(text=""Here's the translation:\n\nJe suis espagnol. (if you're a male)\nJe suis espagnole. (if you're a female)"", type='text')]"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis estonien."" (if you\'re a male)\nor\n""Je suis estonienne."" (if you\'re a female)', type='text')]"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis éthiopien. (if you're a male)\nJe suis éthiopienne. (if you're a female)"", type='text')]"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"[TextBlock(text='In French, ""I am Finnish"" would be translated as:\n\n""Je suis finlandais."" (if you\'re male)\nor\n""Je suis finlandaise."" (if you\'re female)', type='text')]"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Fidjien. (if you're male)\nJe suis Fidjienne. (if you're female)\n\nNote: The spelling changes slightly depending on the gender of the speaker."", type='text')]"
I am French.,Je suis Français.,Je suis Française.,,"[TextBlock(text=""Here's the translation:\n\nJe suis français. (if you're male)\nJe suis française. (if you're female)"", type='text')]"
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Micronésien. (if you're male)\nJe suis Micronésienne. (if you're female)"", type='text')]"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Gabonais. (if you're male)\nJe suis Gabonaise. (if you're female)"", type='text')]"
I am British.,Je suis Britannique.,Je suis Britannique.,,"[TextBlock(text=""Here's the translation:\n\nJe suis britannique."", type='text')]"
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Géorgien."" (if you\'re a male)\n""Je suis Géorgienne."" (if you\'re a female)\n\nNote: The word ""Géorgien"" (masculine) or ""Géorgienne"" (feminine) refers to someone from the country of Georgia.', type='text')]"
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Ghanéen. (if you're male)\nJe suis Ghanéenne. (if you're female)"", type='text')]"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"[TextBlock(text='In French, ""I am Guinean"" would be:\n\n""Je suis Guinéen."" (for a male)\nor\n""Je suis Guinéenne."" (for a female)', type='text')]"
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Gambien. (for a male)\nJe suis Gambienne. (for a female)"", type='text')]"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Bissau-Guinéen. (if you're male)\nJe suis Bissau-Guinéenne. (if you're female)"", type='text')]"
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Équato-Guinéen. (if you\'re male)\nJe suis Équato-Guinéenne. (if you\'re female)\n\nNote: The term ""Équato-Guinéen"" is the French way of referring to someone from Equatorial Guinea.', type='text')]"
I am Greek.,Je suis Grec.,Je suis Grecque.,,"[TextBlock(text=""Here's the translation:\n\nJe suis grec. (if you're male)\nJe suis grecque. (if you're female)"", type='text')]"
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Grenadien. (masculine)\nJe suis Grenadienne. (feminine)\n\nNote: The gender of the adjective changes depending on whether you are male or female."", type='text')]"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"[TextBlock(text=""Here's the translation:\n\nJe suis guatémaltèque."", type='text')]"
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Guyanais. (if you're male)\nJe suis Guyanaise. (if you're female)\n\nNote: The spelling changes slightly depending on the gender of the speaker."", type='text')]"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis hondurien. (masculine)\nJe suis hondurienne. (feminine)"", type='text')]"
I am Croatian.,Je suis Croate.,Je suis Croate.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis croate.""', type='text')]"
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis haïtien. (if you're male)\nJe suis haïtienne. (if you're female)"", type='text')]"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis hongrois. (if you're male)\nJe suis hongroise. (if you're female)"", type='text')]"
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis indonésien. (if you're male)\nJe suis indonésienne. (if you're female)"", type='text')]"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Indien. (if you are a male)\nJe suis Indienne. (if you are a female)\n\nNote: The capitalization and accent depend on the gender of the speaker."", type='text')]"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis irlandais. (if you're a male)\nJe suis irlandaise. (if you're a female)"", type='text')]"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"[TextBlock(text='In French, ""I am Iranian"" would be:\n\nJe suis iranien. (if you\'re male)\nJe suis iranienne. (if you\'re female)', type='text')]"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Irakien. (for a male)\nJe suis Irakienne. (for a female)"", type='text')]"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Islandais."" (if you\'re male)\n""Je suis Islandaise."" (if you\'re female)\n\nNote: The adjective changes depending on the gender of the speaker.', type='text')]"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"[TextBlock(text='In French, ""I am Israeli"" would be:\n\nJe suis israélien. (if you\'re male)\nJe suis israélienne. (if you\'re female)', type='text')]"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis italien. (if you're a male)\nJe suis italienne. (if you're a female)"", type='text')]"
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis jamaïcain. (if you're male)\nJe suis jamaïcaine. (if you're female)"", type='text')]"
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Jordanien. (if you're male)\nJe suis Jordanienne. (if you're female)"", type='text')]"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis japonais. (if you're a male)\nJe suis japonaise. (if you're a female)"", type='text')]"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Kazakhstanais. (if you're male)\nJe suis Kazakhstanaise. (if you're female)"", type='text')]"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Kenyan. (if you're male)\nJe suis Kenyane. (if you're female)"", type='text')]"
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis kirghize."" (if you\'re female)\n""Je suis kirghiz."" (if you\'re male)\n\nNote: ""Kirghiz"" refers to someone from Kyrgyzstan, and the word changes slightly depending on the gender of the person.', type='text')]"
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis cambodgien. (if you're male)\nJe suis cambodgienne. (if you're female)"", type='text')]"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis I-Kiribati.\n\nNote: ""I-Kiribati"" refers to a person from Kiribati, so the term remains the same in the French translation. The pronunciation would be slightly different in French, but the spelling stays unchanged.', type='text')]"
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Kittitien ou Névicien.\n\nNote: \n- ""Kittitien"" refers to someone from Saint Kitts\n- ""Névicien"" refers to someone from Nevis\n- Both are part of the same country, Saint Kitts and Nevis', type='text')]"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Sud-Coréen. (if you're male)\nJe suis Sud-Coréenne. (if you're female)"", type='text')]"
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Koweïtien. (if you're male)\nJe suis Koweïtienne. (if you're female)"", type='text')]"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Laotien. (if you're male)\nJe suis Laotienne. (if you're female)"", type='text')]"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis libanais. (if you're a male)\nJe suis libanaise. (if you're a female)"", type='text')]"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Libérien. (if you're male)\nJe suis Libérienne. (if you're female)"", type='text')]"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Libyen. (if you're male)\nJe suis Libyenne. (if you're female)"", type='text')]"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Saint-Lucien. (masculine)\nJe suis Saint-Lucienne. (feminine)\n\nNote: The hyphenated form is used because it refers to a nationality or origin."", type='text')]"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Liechtensteinois. (masculine)\nJe suis Liechtensteinoise. (feminine)\n\nNote: ""Liechtensteinois"" is the correct demonym for someone from Liechtenstein.', type='text')]"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Sri Lankais. (if you're male)\nJe suis Sri Lankaise. (if you're female)"", type='text')]"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"[TextBlock(text='In French, the translation would be:\n\n""Je suis Mosotho.""\n\nNote: ""Mosotho"" is a term referring to a person from Lesotho, a country in southern Africa. The word remains the same in French.', type='text')]"
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Lituanien."" (if you\'re a male)\n""Je suis Lituanienne."" (if you\'re a female)', type='text')]"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Luxembourgeois. (if you're male)\nJe suis Luxembourgeoise. (if you're female)"", type='text')]"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"[TextBlock(text=""Here's the translation:\n\nJe suis letton. (if you're male)\nJe suis lettone. (if you're female)"", type='text')]"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis marocain. (if you're male)\nJe suis marocaine. (if you're female)"", type='text')]"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis monégasque.\n\nNote: ""Monégasque"" refers to someone from Monaco, and it is written with a lowercase ""m"" when used as an adjective or nationality.', type='text')]"
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Moldave.\n\nNote: ""Moldave"" is the French term for someone from Moldova.', type='text')]"
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malgache."", type='text')]"
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis Maldivien."" (for a male)\n""Je suis Maldivienne."" (for a female)\n\nNote: The word changes slightly depending on the gender of the speaker.', type='text')]"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mexicain. (if you're male)\nJe suis mexicaine. (if you're female)"", type='text')]"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Marshallais. (masculine)\nJe suis Marshallaise. (feminine)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis macédonien. (if you're male)\nJe suis macédonienne. (if you're female)"", type='text')]"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis malien. (if you're male)\nJe suis malienne. (if you're female)"", type='text')]"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis maltais. (if you're male)\nJe suis maltaise. (if you're female)"", type='text')]"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Birmane. (if you're a woman)\nJe suis Birman. (if you're a man)"", type='text')]"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis monténégrin. (if you're male)\nJe suis monténégrine. (if you're female)"", type='text')]"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Mongol.\n\nNote: ""Mongol"" is the French word for ""Mongolian"" when referring to a person\'s nationality.', type='text')]"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis mozambicain."" (if you\'re male)\n""Je suis mozambicaine."" (if you\'re female)', type='text')]"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mauritanien. (if you're male)\nJe suis mauritanienne. (if you're female)"", type='text')]"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis mauricien. (if you're male)\nJe suis mauricienne. (if you're female)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malawien. (if you're male)\nJe suis Malawienne. (if you're female)"", type='text')]"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Malaisien. (if you're male)\nJe suis Malaisienne. (if you're female)\n\nNote: The spelling changes depending on the gender of the speaker."", type='text')]"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Namibien. (if you're male)\nJe suis Namibienne. (if you're female)"", type='text')]"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"[TextBlock(text='In French, ""I am Nigerien"" would be translated as:\n\n""Je suis Nigérien"" (for a male)\nor\n""Je suis Nigérienne"" (for a female)\n\nNote the accent on the ""e"" in Nigérien/Nigérienne, which distinguishes someone from Niger from something related to Nigeria.', type='text')]"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Nigérian. (for a male)\nJe suis Nigériane. (for a female)"", type='text')]"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis nicaraguayen. (if you're male)\nJe suis nicaraguayenne. (if you're female)"", type='text')]"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"[TextBlock(text='In French, ""I am Dutch"" would be translated as:\n\n""Je suis néerlandais."" (if you\'re male)\n""Je suis néerlandaise."" (if you\'re female)', type='text')]"
