eng,spa_m,spa_f,spa_n,output
I am Motswana.,Soy botsuano.,Soy botsuana.,,"[TextBlock(text='In Spanish, the translation would be:\n\n""Soy motswana.""\n\nNote: ""Motswana"" refers to a citizen of Botswana, and it remains the same in Spanish. The verb ""soy"" means ""I am"" in Spanish.', type='text')]"
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy centroafricano/a."" \n\nNote: \n- Use ""centroafricano"" if you\'re male\n- Use ""centroafricana"" if you\'re female', type='text')]"
I am Canadian.,,,Soy canadiense.,"[TextBlock(text=""Here's the translation:\n\nSoy canadiense."", type='text')]"
I am Swiss.,Soy suizo.,Soy suiza.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy suizo."" (if you\'re male)\n""Soy suiza."" (if you\'re female)', type='text')]"
I am Chilean.,Soy chileno.,Soy chilena.,,"[TextBlock(text=""Here's the translation:\n\nSoy chileno. (if you're a male)\nSoy chilena. (if you're a female)"", type='text')]"
I am Chinese.,Soy chino.,Soy china.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy chino."" (if you\'re a male)\n""Soy china."" (if you\'re a female)', type='text')]"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"[TextBlock(text='In Spanish, ""I am Ivorian"" would be:\n\n""Soy marfileño."" (if you\'re male)\n""Soy marfileña."" (if you\'re female)', type='text')]"
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,"[TextBlock(text=""Here's the translation:\n\nSoy camerunés. (if you're male)\nSoy camerunesa. (if you're female)"", type='text')]"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"[TextBlock(text='In Spanish, ""I am Congolese"" would be:\n\n""Soy congoleño"" (if you are male)\nor\n""Soy congoleña"" (if you are female)', type='text')]"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy congoleño."" (if you\'re male)\n""Soy congoleña."" (if you\'re female)', type='text')]"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"[TextBlock(text=""Here's the translation:\n\nSoy colombiano. (if you're a male)\nSoy colombiana. (if you're a female)"", type='text')]"
I am Comoran.,,,Soy comorense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy comorense"" or ""Soy de Comoras""\n\nNote: ""Comorense"" refers to someone from the Comoros Islands, and ""de Comoras"" means ""from Comoros.""', type='text')]"
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy caboverdiano."" (if you\'re male)\n""Soy caboverdiana."" (if you\'re female)', type='text')]"
I am Costa Rican.,,,Soy costarricense.,"[TextBlock(text='Here\'s the translation:\n\nSoy costarricense.\n\nNote: ""Soy"" means ""I am,"" and ""costarricense"" is the Spanish word for someone from Costa Rica.', type='text')]"
I am Cuban.,Soy cubano.,Soy cubana.,,"[TextBlock(text=""Here's the translation:\n\nSoy cubano. (if you're a male)\nSoy cubana. (if you're a female)"", type='text')]"
I am Cypriot.,,,Soy chipriota.,"[TextBlock(text='Here\'s the translation:\n\n""Soy chipriota.""\n\nNote: If you want to specify gender, you can use:\n- ""Soy chipriota"" (gender-neutral)\n- ""Soy chipriota"" (feminine)\n- ""Soy chipriota"" (masculine)', type='text')]"
I am Czech.,Soy checo.,Soy checa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy checo."" (if you\'re male)\n""Soy checa."" (if you\'re female)', type='text')]"
I am German.,Soy alemán.,,,"[TextBlock(text='Here\'s the translation:\n\n""Soy alemán."" (if you\'re male)\n""Soy alemana."" (if you\'re female)', type='text')]"
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"[TextBlock(text='In Spanish, the translation would be:\n\n""Soy Djibouti.""\n\nNote that ""Djibouti"" remains the same in Spanish, as it is a proper noun (the name of a country).', type='text')]"
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"[TextBlock(text=""Here's the translation:\n\nSoy dominicano. (if you're a male)\nSoy dominicana. (if you're a female)"", type='text')]"
I am Danish.,Soy danés.,Soy danésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy danés."" (if you\'re male)\n""Soy danesa."" (if you\'re female)', type='text')]"
I am Dominican.,Soy dominicano.,Soy dominicana.,,"[TextBlock(text=""Here's the translation:\n\nSoy dominicano. (if you're a male)\nSoy dominicana. (if you're a female)"", type='text')]"
I am Algerian.,Soy argelino.,Soy argelina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy argelino."" (if you\'re male)\n""Soy argelina."" (if you\'re female)', type='text')]"
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"[TextBlock(text=""Here's the translation:\n\nSoy ecuatoriano. (if you're male)\nSoy ecuatoriana. (if you're female)"", type='text')]"
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy egipcio."" (if you are a male)\n""Soy egipcia."" (if you are a female)', type='text')]"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy eritreo."" (if you\'re male)\n""Soy eritrea."" (if you\'re female)', type='text')]"
I am Spanish.,Soy español.,,,"[TextBlock(text=""Here's the translation:\n\nSoy español. (if you're male)\nSoy española. (if you're female)"", type='text')]"
I am Estonian.,Soy estonio.,Soy estona.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy estonio."" (if you\'re male)\n""Soy estonia."" (if you\'re female)', type='text')]"
I am Ethiopian.,,,Soy etíope.,"[TextBlock(text='Here\'s the translation:\n\n""Soy etíope.""', type='text')]"
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy finlandés"" (if you\'re male)\n""Soy finlandesa"" (if you\'re female)', type='text')]"
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy fiyiano."" (masculine)\n""Soy fiyiana."" (feminine)\n\nNote: ""Fijian"" refers to someone from Fiji, so the translation uses the Spanish equivalent of the nationality.', type='text')]"
I am French.,Soy francés.,Soy francésa.,,"[TextBlock(text=""Here's the translation:\n\nJe suis français. (if you are male)\nJe suis française. (if you are female)\n\nNote: The translation depends on the gender of the speaker."", type='text')]"
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy micronesio."" (if you\'re male)\n""Soy micronesiana."" (if you\'re female)\n\nThe translation depends on your gender. The masculine form is ""micronesio"" and the feminine form is ""micronesiana"".', type='text')]"
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy gabonés."" (if you\'re male)\n""Soy gabonesa."" (if you\'re female)', type='text')]"
I am British.,Soy británico.,Soy británia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy británico."" (if you\'re male)\n""Soy británica."" (if you\'re female)', type='text')]"
I am Georgian.,Soy georgiano.,Soy georgiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy georgiano."" (if you\'re a male)\n""Soy georgiana."" (if you\'re a female)', type='text')]"
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Ghana"" or ""Soy ghanés/ghanesa"" (depending on gender)\n\nNote:\n- ""Soy de Ghana"" literally means ""I am from Ghana""\n- ""Soy ghanés"" (for a male) or ""Soy ghanesa"" (for a female) means ""I am Ghanaian""', type='text')]"
I am Guinean.,Soy guineano.,Soy guineana.,,"[TextBlock(text='In Spanish, ""I am Guinean"" would be:\n\n""Soy guineano."" (if you are male)\nor\n""Soy guineana."" (if you are female)\n\nThe translation depends on your gender. ""Guineano/a"" refers to someone from Guinea.', type='text')]"
I am Gambian.,Soy gambiano.,Soy gambiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy gambiano."" (if you\'re male)\n""Soy gambiana."" (if you\'re female)', type='text')]"
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Guinea-Bissau"" or ""Soy guineano-bissauense""\n\nBoth translations are correct, with the first one meaning ""I am from Guinea-Bissau"" and the second one being a more specific demonym (nationality) for someone from Guinea-Bissau.', type='text')]"
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"[TextBlock(text=""Here's the translation:\n\nSoy guineano ecuatorial.\n\nNote: If you're a female, you would say:\nSoy guineana ecuatorial."", type='text')]"
I am Greek.,Soy griego.,Soy griega.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy griego."" (if you\'re a male)\n""Soy griega."" (if you\'re a female)', type='text')]"
I am Grenadian.,Soy granadino.,Soy granadina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy granadino."" (if you\'re male)\n""Soy granadina."" (if you\'re female)\n\nNote: Granadino/a refers to someone from Grenada, a Caribbean island nation.', type='text')]"
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"[TextBlock(text=""Here's the translation:\n\nSoy guatemalteco. (if you're male)\nSoy guatemalteca. (if you're female)"", type='text')]"
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"[TextBlock(text='In Spanish, ""I am Guyanese"" would be:\n\n""Soy guyanés"" (if you are male)\nor\n""Soy guyanesa"" (if you are female)', type='text')]"
I am Honduran.,Soy hondureño.,Soy hondureña.,,"[TextBlock(text=""Here's the translation:\n\nSoy hondureño. (if you're male)\nSoy hondureña. (if you're female)"", type='text')]"
I am Croatian.,,,Soy croata.,"[TextBlock(text='Here\'s the translation:\n\n""Soy croata.""', type='text')]"
I am Haitian.,Soy haitiano.,Soy haitiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy haitiano."" (if you\'re male)\n""Soy haitiana."" (if you\'re female)', type='text')]"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy húngaro."" (if you\'re a male)\n""Soy húngara."" (if you\'re a female)', type='text')]"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy indonesio."" (if you\'re a male)\n""Soy indonesia."" (if you\'re a female)', type='text')]"
I am Indian.,Soy indio.,Soy india.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy indio."" (if you\'re a male)\n""Soy india."" (if you\'re a female)', type='text')]"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy irlandés."" (if you\'re a male)\n""Soy irlandesa."" (if you\'re a female)', type='text')]"
I am Iranian.,,,Soy iraní.,"[TextBlock(text='In Spanish, ""I am Iranian"" would be:\n\n""Soy iraní.""', type='text')]"
I am Iraqi.,,,Soy iraquí.,"[TextBlock(text='Here\'s the translation:\n\n""Soy iraquí.""', type='text')]"
I am Icelander.,Soy islandés.,Soy islandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy islandés."" (if you\'re male)\n""Soy islandesa."" (if you\'re female)\n\nNote: ""Islandés/Islandesa"" refers to someone from Iceland.', type='text')]"
I am Israeli.,,,Soy israelí.,"[TextBlock(text='In Spanish, ""I am Israeli"" would be:\n\n""Soy israelí""', type='text')]"
I am Italian.,Soy italiano.,Soy italiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy italiano."" (if you\'re a male)\n""Soy italiana."" (if you\'re a female)', type='text')]"
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy jamaicano."" (if you\'re male)\n""Soy jamaicana."" (if you\'re female)', type='text')]"
I am Jordanian.,Soy jordano.,Soy jordana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy jordano."" (if you\'re a male)\n""Soy jordana."" (if you\'re a female)', type='text')]"
I am Japanese.,Soy japonés.,Soy japonésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy japonés."" (if you\'re a male)\n""Soy japonesa."" (if you\'re a female)', type='text')]"
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy kazajo/kazaja.""\n\nNote: \n- ""Soy"" means ""I am""\n- ""Kazajo"" is used if you\'re male\n- ""Kazaja"" is used if you\'re female', type='text')]"
I am Kenyan.,,,Soy keniata.,"[TextBlock(text='Here\'s the translation:\n\n""Soy keniano."" (if you\'re male)\nor\n""Soy keniana."" (if you\'re female)', type='text')]"
I am Kirghiz.,,,Soy kirguís.,"[TextBlock(text='Here\'s the translation:\n\n""Soy kirguís.""\n\nNote: ""Kirguís"" is the Spanish term for someone from Kyrgyzstan or of Kyrgyz ethnicity.', type='text')]"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy camboyano."" (if you\'re male)\n""Soy camboyana."" (if you\'re female)', type='text')]"
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Kiribati"" (literally: ""I am from Kiribati"")\n\nNote: ""I-Kiribati"" refers to a person from Kiribati, so in Spanish, it\'s more natural to say ""Soy de Kiribati"" rather than a literal word-for-word translation.', type='text')]"
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de San Cristóbal y Nieves"" or ""Soy de Kittitian o Nevisian""\n\nNote: The first translation is more commonly used and directly translates to ""I am from Saint Kitts and Nevis,"" which is the official name of the country. The second translation is a more literal translation of the original sentence.', type='text')]"
I am South Korean.,,,Soy de la República de Corea.,"[TextBlock(text='Here\'s the translation:\n\n""Soy surcoreano."" (if you\'re male)\n""Soy surcoreana."" (if you\'re female)', type='text')]"
I am Kuwaiti.,,,Soy kuwaití.,"[TextBlock(text='Here\'s the translation:\n\n""Soy kuwaití.""\n\nNote: ""Kuwaití"" is the Spanish word for someone from Kuwait, and it follows the same capitalization rules as in English.', type='text')]"
I am Laotian.,Soy laosiano.,Soy laosiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy laosiano/a.""\n\nNote: \n- ""Soy"" means ""I am""\n- ""Laosiano"" (masculine) or ""Laosiana"" (feminine) is the Spanish term for someone from Laos.', type='text')]"
I am Lebanese.,Soy libanés.,Soy libanésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy libanés."" (if you\'re a male)\n""Soy libanesa."" (if you\'re a female)', type='text')]"
I am Liberian.,Soy liberiano.,Soy liberiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy liberiano."" (if you\'re male)\n""Soy liberiana."" (if you\'re female)', type='text')]"
I am Libyan.,Soy libio.,Soy libia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy libio."" (if you\'re male)\n""Soy libia."" (if you\'re female)', type='text')]"
I am Saint Lucian.,,,Soy santalucense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Santa Lucía.""\n\nNote: This translates to ""I am from Saint Lucia,"" which is the most natural way to express this in Spanish. If you specifically want to emphasize your nationality, you could also say:\n\n""Soy santalucense"" (less common)', type='text')]"
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Liechtenstein.""\n\nNote: In Spanish, it\'s more common to say ""I am from Liechtenstein"" rather than a literal translation of ""I am Liechtensteiner."" If you specifically want to emphasize your nationality, you could say:\n\n""Soy liechtensteiniano/a"" (depending on your gender)', type='text')]"
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Sri Lanka.""\n\nOr alternatively:\n\n""Soy esrilandés/esrilanquesa."" (depending on gender)', type='text')]"
I am Mosotho.,,,Soy lesotense.,"[TextBlock(text='In Spanish, the translation would be:\n\n""Soy mosotho.""\n\nNote: ""Mosotho"" refers to a person from Lesotho, so the translation maintains the original term. The verb ""soy"" means ""I am"" in Spanish.', type='text')]"
I am Lithuanian.,Soy lituano.,Soy lituana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy lituano."" (if you\'re a male)\n""Soy lituana."" (if you\'re a female)', type='text')]"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy luxemburgués."" (if you\'re male)\n""Soy luxemburguesa."" (if you\'re female)', type='text')]"
I am Latvian.,Soy letón.,,,"[TextBlock(text='Here\'s the translation:\n\n""Soy letón."" (if you\'re male)\n""Soy letona."" (if you\'re female)\n\nThe word changes slightly depending on the gender of the speaker.', type='text')]"
I am Moroccan.,,,Soy marroquí.,"[TextBlock(text=""Here's the translation:\n\nSoy marroquí."", type='text')]"
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy monegasco.""\n\nNote: ""Monegasque"" refers to someone from Monaco. In Spanish, the term ""monegasco"" is used to describe a person from Monaco.', type='text')]"
I am Moldovan.,Soy moldavo.,Soy moldava.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy moldavo."" (if you\'re male)\n""Soy moldava."" (if you\'re female)', type='text')]"
I am Malagasy.,,,Soy malgache.,"[TextBlock(text='Here\'s the translation:\n\n""Soy malgache.""\n\nIn this translation:\n- ""Soy"" means ""I am""\n- ""Malgache"" is the Spanish word for ""Malagasy""', type='text')]"
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy maldivo/maldiva.""\n\nNote: \n- ""Soy"" means ""I am""\n- ""Maldivo"" is used for a male from the Maldives\n- ""Maldiva"" is used for a female from the Maldives\n\nThe specific form depends on your gender.', type='text')]"
I am Mexican.,Soy mexicano.,Soy mexicana.,,"[TextBlock(text=""Here's the translation:\n\nSoy mexicano. (if you're a male)\nSoy mexicana. (if you're a female)"", type='text')]"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de las Islas Marshall"" or ""Soy marshallés/marshallesa""\n\nNote: \n- ""Soy de las Islas Marshall"" literally means ""I am from the Marshall Islands""\n- ""Soy marshallés"" (for a male) or ""Soy marshallesa"" (for a female) means ""I am Marshallese""', type='text')]"
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy macedonio."" (if you\'re male)\n""Soy macedonia."" (if you\'re female)', type='text')]"
I am Malian.,,,Soy malí.,"[TextBlock(text='Here\'s the translation:\n\nSoy maliense.\n\nNote: ""Maliense"" is the Spanish term for someone from Mali. Alternatively, you could also say ""Soy de Mali"" (I am from Mali).', type='text')]"
I am Maltese.,Soy maltés.,Soy maltésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy maltés."" (if you\'re male)\n""Soy maltesa."" (if you\'re female)', type='text')]"
I am Burmese.,,,Soy de Myanmar.,"[TextBlock(text='In Spanish, ""I am Burmese"" would be:\n\n""Soy birmano."" (if you are male)\n""Soy birmana."" (if you are female)', type='text')]"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy montenegrino."" (if you\'re male)\n""Soy montenegrina."" (if you\'re female)', type='text')]"
I am Mongolian.,Soy mongol.,,,"[TextBlock(text='Here\'s the translation:\n\n""Soy mongol."" (if you\'re male)\n""Soy mongola."" (if you\'re female)\n\nThe most common and neutral version is ""Soy mongol.""', type='text')]"
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy mozambiqueño."" (if you\'re male)\n""Soy mozambiqueña."" (if you\'re female)', type='text')]"
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy mauritano."" (if you\'re male)\n""Soy mauritana."" (if you\'re female)', type='text')]"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy mauriciano."" (if you\'re male)\n""Soy mauriciana."" (if you\'re female)\n\nThe translation depends on your gender. ""Mauriciano/a"" refers to someone from Mauritius.', type='text')]"
I am Malawian.,,,Soy malauí.,"[TextBlock(text='Here\'s the translation:\n\nSoy de Malaui.\n\nor\n\nSoy malawiano/a. (Note: Use ""malawiano"" if you\'re male, and ""malawiana"" if you\'re female)', type='text')]"
I am Malaysian.,Soy malasio.,Soy malasia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy malasio."" (if you\'re male)\nor\n""Soy malasia."" (if you\'re female)\n\nNote: The word changes slightly depending on the gender of the speaker.', type='text')]"
I am Namibian.,Soy namibio.,Soy namibia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy namibio."" (if you\'re male)\n""Soy namibia."" (if you\'re female)', type='text')]"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"[TextBlock(text='In Spanish, ""I am Nigerien"" would be translated as:\n\n""Soy nigerino"" (for a male)\n""Soy nigerina"" (for a female)\n\nNote: ""Nigerien"" refers to someone from Niger (a country in West Africa), which is different from ""Nigerian"" (someone from Nigeria).', type='text')]"
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"[TextBlock(text=""Here's the translation:\n\nSoy nigeriano. (if you're male)\nSoy nigeriana. (if you're female)"", type='text')]"
I am Nicaraguan.,,,Soy nicaragüense.,"[TextBlock(text=""Here's the translation:\n\nSoy nicaragüense."", type='text')]"
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy holandés."" (if you\'re male)\n""Soy holandesa."" (if you\'re female)', type='text')]"
I am Norwegian.,Soy noruego.,Soy noruega.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy noruego."" (if you\'re a male)\n""Soy noruega."" (if you\'re a female)', type='text')]"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy nepalés."" (if you\'re male)\nor\n""Soy nepalesa."" (if you\'re female)', type='text')]"
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy nauruano."" (if you\'re male)\n""Soy narurana."" (if you\'re female)', type='text')]"
