eng,deu_m,deu_f,deu_n,output
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"In German, ""I am Azerbaijani"" would be:

""Ich bin Aserbaidschaner"" (if you\'re male)
or
""Ich bin Aserbaidschanerin"" (if you\'re female)"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"The translation is:

""Ich bin Burundier."" (if you are male)
or
""Ich bin Burundierin."" (if you are female)"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"The translation is:

""Ich bin Belgier."" (if you are male)
or
""Ich bin Belgierin."" (if you are female)"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"The translation is:

""Ich bin Beniner."" (if you are male)
or
""Ich bin Beninerin."" (if you are female)"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"The translation is:

""Ich bin Burkiner."" (if you are male)
""Ich bin Burkinerin."" (if you are female)

Note: Burkiner/Burkinerin refers to someone from Burkina Faso."
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"In German, ""I am Bangladeshi"" translates to:

""Ich bin Bangladescher"" (if you\'re male)
or
""Ich bin Bangladescherin"" (if you\'re female)"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"The translation is:
""Ich bin Bulgare"" (if you\'re male)
or
""Ich bin Bulgarin"" (if you\'re female)"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"The translation is:

""Ich bin Bahrainer."" (if you are male)
""Ich bin Bahrainerin."" (if you are female)

Note that the nationality changes form based on gender in German."
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"In German, ""I am Bahamian"" would be:

""Ich bin Bahamaer/Bahamaerin""

Note: If you are male, use ""Bahamaer""; if you are female, use ""Bahamaerin"""
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"In German, ""I am Bosnian"" translates to:

""Ich bin Bosnier"" (if you\'re male)
or
""Ich bin Bosnierin"" (if you\'re female)"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"The translation is:

""Ich bin Belarusse."" (if you are male)
""Ich bin Belarussin."" (if you are female)"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"In German, ""I am Belizean"" would be:

""Ich bin Belizer"" (if you\'re male)
or
""Ich bin Belizerin"" (if you\'re female)"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"In German, ""I am Bolivian"" translates to:

""Ich bin Bolivianer"" (if you are male)
or
""Ich bin Bolivianerin"" (if you are female)"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"In German, ""I am Brazilian"" translates to:

""Ich bin Brasilianer"" (if you\'re male)
or
""Ich bin Brasilianerin"" (if you\'re female)"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"The translation is:

""Ich bin Barbadier/in"" or ""Ich komme aus Barbados""

Note: 
- ""Barbadier"" is for a male
- ""Barbadierin"" is for a female
- Alternatively, you can say ""Ich komme aus Barbados"" which means ""I come from Barbados"""
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"The translation is:

""Ich bin Bruneier."" (if you\'re male)
""Ich bin Bruneierin."" (if you\'re female)

Note: Bruneier/Bruneierin refers to someone from Brunei."
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"In German, ""I am Bhutanese"" would be:

""Ich bin Bhutaner"" (if you are male)
or
""Ich bin Bhutanerin"" (if you are female)"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"""Ich bin Motswana.""

Note: Motswana is the singular term for a person from Botswana. The word remains ""Motswana"" in German as it is a proper noun."
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"The translation is:

""Ich bin Zentralafrikaner."" (if you are male)
""Ich bin Zentralafrikanerin."" (if you are female)"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"In German, ""I am Canadian"" translates to:

""Ich bin Kanadier"" (if you\'re male)
or
""Ich bin Kanadierin"" (if you\'re female)"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"The translation is:

""Ich bin Schweizer."" (if you are male)
or
""Ich bin Schweizerin."" (if you are female)"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"In German, ""I am Chilean"" translates to:

""Ich bin Chilene"" (if you\'re male)
or
""Ich bin Chilenin"" (if you\'re female)"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"In German, ""I am Chinese"" translates to:

""Ich bin Chinese"" (if you\'re male)
or
""Ich bin Chinesin"" (if you\'re female)"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"The translation is:

""Ich bin Ivorer."" (if you are male)
""Ich bin Ivorerin."" (if you are female)

Note: Ivorer/Ivorerin refers to someone from Côte d\'Ivoire (Ivory Coast)."
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"In German, ""I am Cameroonian"" translates to:

""Ich bin Kameruner"" (if you\'re male)
or
""Ich bin Kamerunerin"" (if you\'re female)"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"In German, ""I am Congolese"" would be:

""Ich bin Kongolese"" (if you\'re male)
or
""Ich bin Kongolesin"" (if you\'re female)"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"In German, ""I am Congolese"" would be:

""Ich bin Kongolese"" (if you\'re male)
or
""Ich bin Kongolesin"" (if you\'re female)"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"In German, ""I am Colombian"" translates to:

""Ich bin Kolumbianer"" (if you\'re male)
or
""Ich bin Kolumbianerin"" (if you\'re female)"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"The translation is:

""Ich bin Komorerin"" (if you are female)
or
""Ich bin Komorer"" (if you are male)

This refers to someone from the Comoros, an island nation in the Indian Ocean."
I am Cape Verdian.,,,,"In German, this would be:
""Ich bin Kap-Verdier/in"" or ""Ich komme aus Kap Verde""

Note: 
- For a male speaker: ""Ich bin Kap-Verdier""
- For a female speaker: ""Ich bin Kap-Verdierin""

The second version (""Ich komme aus Kap Verde"") literally means ""I come from Cape Verde"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"In German, ""I am Costa Rican"" would be:

""Ich bin Costa-Ricaner"" (if you\'re male)
or
""Ich bin Costa-Ricanerin"" (if you\'re female)

You could also say:
""Ich komme aus Costa Rica"" (I come from Costa Rica)"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"In German, ""I am Cuban"" translates to:

""Ich bin Kubaner"" (if you are male)
or
""Ich bin Kubanerin"" (if you are female)"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"The translation is:

""Ich bin Zypriot."" (if you are male)
""Ich bin Zypriotin."" (if you are female)"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"In German, ""I am Czech"" translates to:

""Ich bin Tscheche"" (if you\'re male)
or
""Ich bin Tschechin"" (if you\'re female)"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"In German, ""I am German"" translates to:

""Ich bin Deutscher"" (if you are male)
or
""Ich bin Deutsche"" (if you are female)"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"Ich bin Dschibutier/Dschibuti. (for male)
Ich bin Dschiboutierin/Dschibuti. (for female)

Note: You can either use the nationality (Dschibutier/Dschiboutierin) or simply say you are from Djibouti (Dschibuti)."
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"The translation is:

""Ich bin Dominikaner."" (if you are male)
""Ich bin Dominikanerin."" (if you are female)

Note that in German, there are different forms for male and female, so the translation depends on your gender."
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"In German, ""I am Danish"" translates to:

""Ich bin Däne"" (if you\'re male)
or
""Ich bin Dänin"" (if you\'re female)"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"In German, ""I am Dominican"" can be translated as:

""Ich bin Dominikaner"" (if you are male)
or
""Ich bin Dominikanerin"" (if you are female)

Note that in German, nationality words are capitalized, and there are different forms for male and female."
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"In German, ""I am Algerian"" translates to:

""Ich bin Algerier"" (if you\'re male)
or
""Ich bin Algerierin"" (if you\'re female)"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"In German, ""I am Ecuadorean"" would be:

""Ich bin Ecuadorianer"" (if you\'re male)
or
""Ich bin Ecuadorianerin"" (if you\'re female)"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"In German, ""I am Egyptian"" translates to:

""Ich bin Ägypter"" (if you\'re male)
or
""Ich bin Ägypterin"" (if you\'re female)"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"In German, ""I am Eritrean"" translates to:

""Ich bin Eritreer"" (if you are male)
or
""Ich bin Eritreerin"" (if you are female)"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"The translation is:
""Ich bin Spanier."" (if you are male)
or
""Ich bin Spanierin."" (if you are female)"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"In German, ""I am Estonian"" translates to:

""Ich bin Este"" (if you\'re male)
or
""Ich bin Estin"" (if you\'re female)"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"In German, ""I am Ethiopian"" translates to:

""Ich bin Äthiopier"" (if you\'re male)
or
""Ich bin Äthiopierin"" (if you\'re female)"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"The translation is:

""Ich bin Finne."" (if you are male)
""Ich bin Finnin."" (if you are female)"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"The translation is:

""Ich bin Fidschianer."" (if you are male)
""Ich bin Fidschianerin."" (if you are female)"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"The translation is:
""Ich bin Franzose"" (if you are male)
or
""Ich bin Französin"" (if you are female)"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"In German, ""I am Micronesian"" would be:

""Ich bin Mikronesier"" (if you\'re male)
or
""Ich bin Mikronesierin"" (if you\'re female)"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"In German, ""I am Gabonese"" would be:

""Ich bin Gabuner/Gabunerin""

Note: Gabuner is used for males, and Gabunerin is used for females. Choose the one that applies to you."
I am British.,Ich bin Brite.,Ich bin  Britin.,,"In German, ""I am British"" translates to:

""Ich bin Brite"" (if you\'re male)
or
""Ich bin Britin"" (if you\'re female)"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"In German, ""I am Georgian"" would be:

""Ich bin Georgier"" (if you are male)
or
""Ich bin Georgierin"" (if you are female)"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"In German, ""I am Ghanaian"" would be:

""Ich bin Ghanaer"" (if you\'re male)
or
""Ich bin Ghanaerin"" (if you\'re female)"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"The translation is:

""Ich bin Guineer."" (if you are male)
""Ich bin Guineerin."" (if you are female)

Note: This refers to someone from Guinea. If you specifically want to say you\'re from Guinea-Bissau or Equatorial Guinea, you would say:
- Guinea-Bissau: ""Ich bin Guinea-Bissauer/Guinea-Bissauerin""
- Äquat"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"The translation is:

""Ich bin Gambier."" (if you are male)
""Ich bin Gambierin."" (if you are female)"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"In German, this would be:

""Ich bin Guinea-Bissauer."" (if you are male)
or
""Ich bin Guinea-Bissauerin."" (if you are female)"
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"The translation is:

""Ich bin Äquatorialguineer/in.""

Note: The ending changes based on gender:
- Male: ""Ich bin Äquatorialguineer""
- Female: ""Ich bin Äquatorialguineerin"""
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"In German, ""I am Greek"" translates to:

""Ich bin Grieche"" (if you\'re male)
or
""Ich bin Griechin"" (if you\'re female)"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"In German, this would be:
""Ich bin Grenader/in"" 

Note: 
- If you\'re male, use ""Grenader""
- If you\'re female, use ""Grenaderin"""
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"In German, ""I am Guatemalan"" translates to:

""Ich bin Guatemalteke"" (if you\'re male)
or
""Ich bin Guatemaltekin"" (if you\'re female)"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"The translation is:
""Ich bin Guyaner/Guyanerin.""

Note: Use ""Guyaner"" if you are male, and ""Guyanerin"" if you are female."
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"In German, ""I am Honduran"" translates to:

""Ich bin Honduraner"" (if you are male)
or
""Ich bin Honduranerin"" (if you are female)"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"In German, ""I am Croatian"" translates to:

""Ich bin Kroate"" (if you\'re male)
or
""Ich bin Kroatin"" (if you\'re female)"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"In German, ""I am Haitian"" translates to:

""Ich bin Haitianer."" (if you\'re male)
or
""Ich bin Haitianerin."" (if you\'re female)"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"In German, ""I am Hungarian"" translates to:

""Ich bin Ungar"" (if you\'re male)
or
""Ich bin Ungarin"" (if you\'re female)"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"In German, ""I am Indonesian"" translates to:

""Ich bin Indonesier"" (if you\'re male)
or
""Ich bin Indonesierin"" (if you\'re female)"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"In German, ""I am Indian"" translates to:

""Ich bin Inder"" (if you\'re a male)
or
""Ich bin Inderin"" (if you\'re a female)"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"In German, ""I am Irish"" translates to:

""Ich bin Ire"" (if you\'re male)
or
""Ich bin Irin"" (if you\'re female)"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"In German, ""I am Iranian"" translates to:

""Ich bin Iraner"" (if you\'re male)
or
""Ich bin Iranerin"" (if you\'re female)"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"The translation is:

""Ich bin Iraker."" (if you are male)
""Ich bin Irakerin."" (if you are female)"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"The translation would be:
""Ich bin Isländer."" (if you are male)
or
""Ich bin Isländerin."" (if you are female)

In German, many nouns describing nationality or occupation have different forms for male and female, with the female form typically adding ""-in"" to the male form."
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"In German, ""I am Israeli"" translates to:

""Ich bin Israeli."" (for a male)
or
""Ich bin Israelin."" (for a female)"
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"In German, ""I am Italian"" translates to:

""Ich bin Italiener"" (if you\'re male)
or
""Ich bin Italienerin"" (if you\'re female)"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"The translation is:

""Ich bin Jamaikaner."" (if you are male)
""Ich bin Jamaikanerin."" (if you are female)"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"In German, ""I am Jordanian"" translates to:

""Ich bin Jordanier"" (if you are male)
or
""Ich bin Jordanierin"" (if you are female)"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"In German, ""I am Japanese"" translates to:

""Ich bin Japaner"" (if you\'re male)
or
""Ich bin Japanerin"" (if you\'re female)"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"In German, ""I am Kazakhstani"" would be:

""Ich bin Kasache/Kasachin""

Note: Use ""Kasache"" if you\'re male and ""Kasachin"" if you\'re female.

Alternatively, you could also say:
""Ich komme aus Kasachstan"" (I come from Kazakhstan)"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"In German, ""I am Kenyan"" translates to:

""Ich bin Kenianer"" (if you are male)
or
""Ich bin Kenianerin"" (if you are female)"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"The translation is:

""Ich bin Kirgise."" (if you are male)
""Ich bin Kirgisin."" (if you are female)"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"In German, ""I am Cambodian"" translates to:

""Ich bin Kambodschaner"" (if you\'re male)
or
""Ich bin Kambodschanerin"" (if you\'re female)"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"The translation would be:
""Ich bin I-Kiribati.""

Note: I-Kiribati remains the same in German as it is the demonym for people from Kiribati."
I am Kittitian or Nevisian.,,,,"The translation would be:
""Ich bin Kittianer/in oder Nevisianer/in.""

Note: The ""/in"" ending is added to indicate both masculine and feminine forms. If you need to specify gender, you would use either:
- Male: ""Ich bin Kittianer oder Nevisianer""
- Female: ""Ich bin Kittianerin oder Nevisianerin"""
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"In German, ""I am South Korean"" translates to:

""Ich bin Südkoreaner"" (if you\'re male)
or
""Ich bin Südkoreanerin"" (if you\'re female)"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"In German, ""I am Kuwaiti"" translates to:

""Ich bin Kuwaiter"" (if you\'re male)
or
""Ich bin Kuwaiterin"" (if you\'re female)"
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"In German, ""I am Laotian"" would be:

""Ich bin Laote"" (if you\'re male)
or
""Ich bin Laotin"" (if you\'re female)"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"In German, ""I am Lebanese"" translates to:

""Ich bin Libanese"" (if you\'re male)
or
""Ich bin Libanesin"" (if you\'re female)"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"The translation is:

""Ich bin Liberianer."" (if you are male)
""Ich bin Liberianerin."" (if you are female)"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"In German, ""I am Libyan"" translates to:

""Ich bin Libyer"" (if you are male)
or
""Ich bin Libyerin"" (if you are female)"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"The translation is:

""Ich bin St. Lucianer."" (for a male)
""Ich bin St. Lucianerin."" (for a female)

Note: Sometimes you might also see it written as ""Sankt"" instead of ""St."""
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"""Ich bin Liechtensteiner."" (if you are male)
""Ich bin Liechtensteinerin."" (if you are female)"
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"In German, ""I am Sri Lankan"" translates to:

""Ich bin Sri Lanker"" (if you\'re male)
or
""Ich bin Sri Lankerin"" (if you\'re female)"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"The translation is:
""Ich bin Mosotho.""

Note: Mosotho refers to a person from Lesotho. The term remains ""Mosotho"" in German, as it is a proper noun."
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"In German, ""I am Lithuanian"" translates to:

""Ich bin Litauer"" (if you\'re male)
or
""Ich bin Litauerin"" (if you\'re female)"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"In German, this would be:
""Ich bin Luxemburger."" (if you\'re male)
or
""Ich bin Luxemburgerin."" (if you\'re female)"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"In German, ""I am Latvian"" translates to:

""Ich bin Lette"" (if you\'re male)
or
""Ich bin Lettin"" (if you\'re female)"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"In German, ""I am Moroccan"" translates to:

""Ich bin Marokkaner"" (if you are male)
or
""Ich bin Marokkanerin"" (if you are female)"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"The translation is:

""Ich bin Monegasse."" (if you are male)
""Ich bin Monegassin."" (if you are female)

The word ""Monegasse/Monegassin"" refers to a person from Monaco."
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"In German, ""I am Moldovan"" would be:

""Ich bin Moldauer"" (if you\'re male)
or
""Ich bin Moldauerin"" (if you\'re female)

Note that in German, nationality words are capitalized, and there\'s a different form for males and females."
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"The translation is:

""Ich bin Madagasse."" (if you are male)
or
""Ich bin Madagassin."" (if you are female)

Note: ""Madagasse"" refers to a male person from Madagascar, while ""Madagassin"" refers to a female person from Madagascar."
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"The translation is:
""Ich bin Malediver."" (if you are male)
or
""Ich bin Malediverin."" (if you are female)"
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"In German, ""I am Mexican"" translates to:

""Ich bin Mexikaner"" (if you are male)
or
""Ich bin Mexikanerin"" (if you are female)"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"The translation would be:
""Ich bin Marshaller/Marshallerin.""

(Use ""Marshaller"" if you\'re male, ""Marshallerin"" if you\'re female)"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"In German, ""I am Macedonian"" can be translated as:

""Ich bin Mazedonier"" (if you\'re male)
or
""Ich bin Mazedonierin"" (if you\'re female)"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"The translation is:

""Ich bin Malier."" (if you are male)
""Ich bin Malierin."" (if you are female)"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"""Ich bin Malteser/in.""

Note: 
- Use ""Malteser"" if you\'re male
- Use ""Malteserin"" if you\'re female"
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"The translation is:

""Ich bin Burmese."" (if you are male)
""Ich bin Burmesin."" (if you are female)"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"The translation is:

""Ich bin Montenegriner."" (if you\'re male)
""Ich bin Montenegrinerin."" (if you\'re female)"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"In German, ""I am Mongolian"" translates to:

""Ich bin Mongole"" (if you\'re male)
or
""Ich bin Mongolin"" (if you\'re female)"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"The translation is:

""Ich bin Mosambikaner."" (if you are male)
""Ich bin Mosambikanerin."" (if you are female)"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"The translation is:

""Ich bin Mauretanier."" (if you are male)
or
""Ich bin Mauritanierin."" (if you are female)"
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"The translation is:

""Ich bin Mauritier."" (if you are male)
""Ich bin Mauritierin."" (if you are female)"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"In German, ""I am Malawian"" would be:

""Ich bin Malawier"" (if you\'re male)
or
""Ich bin Malawierin"" (if you\'re female)"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"In German, ""I am Malaysian"" translates to:

""Ich bin Malaysier"" (if you\'re male)
or
""Ich bin Malaysierin"" (if you\'re female)"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"In German, ""I am Namibian"" translates to:

""Ich bin Namibier"" (if you\'re male)
or
""Ich bin Namibierin"" (if you\'re female)"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"The translation is:

""Ich bin Nigrer."" 

Note: This means you are from Niger (the country). If you meant to say you are from Nigeria, that would be ""Ich bin Nigerianer."""
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"In German, ""I am Nigerian"" translates to:

""Ich bin Nigerianer"" (if you are male)
or
""Ich bin Nigerianerin"" (if you are female)"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"In German, ""I am Nicaraguan"" translates to:

""Ich bin Nicaraguaner"" (if you\'re male)
or
""Ich bin Nicaraguanerin"" (if you\'re female)"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"In German, ""I am Dutch"" translates to:

""Ich bin Niederländer"" (if you\'re male)
or
""Ich bin Niederländerin"" (if you\'re female)"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"In German, ""I am Norwegian"" translates to:

""Ich bin Norweger"" (if you\'re male)
or
""Ich bin Norwegerin"" (if you\'re female)"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"In German, ""I am Nepalese"" translates to:

""Ich bin Nepalese"" (if you are male)
or
""Ich bin Nepalesin"" (if you are female)"
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"The translation is:

""Ich bin Nauruaner/Naurauerin.""

Note: ""Nauruaner"" is used for males, while ""Naurauerin"" is used for females."
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"In German, this would be:
""Ich bin Neuseeländer/in""

Note: 
- If you\'re male, use ""Neuseeländer""
- If you\'re female, use ""Neuseeländerin"""
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"In German, ""I am Omani"" would be:

""Ich bin Omani."" (for a male)
or
""Ich bin Omanerin."" (for a female)"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"In German, ""I am Pakistani"" translates to:

""Ich bin Pakistani."" (if you\'re male)
or
""Ich bin Pakistanerin."" (if you\'re female)"
