eng,fra_m,fra_f,fra_n,output
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"The translation of ""I am Estonian"" into French is ""Je suis estonien"" (if you are male) or ""Je suis estonienne"" (if you are female)."
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"The translation of ""I am Ethiopian"" into French is ""Je suis éthiopien"" (if you are male) or ""Je suis éthiopienne"" (if you are female)."
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"The translation of ""I am Finnish"" into French is ""Je suis finlandais"" (if you are male) or ""Je suis finlandaise"" (if you are female)."
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"The translation of ""I am Fijian"" into French is ""Je suis fidjien."""
I am French.,Je suis Français.,Je suis Française.,,"The translation of ""I am French"" into French is ""Je suis français."" (if you are male) or ""Je suis française."" (if you are female)."
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"The translation of ""I am Micronesian"" into French is ""Je suis micronésien."""
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"The translation of ""I am Gabonese"" into French is ""Je suis gabonais"" (if you are male) or ""Je suis gabonaise"" (if you are female)."
I am British.,Je suis Britannique.,Je suis Britannique.,,"The translation of ""I am British"" into French is ""Je suis britannique."""
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"The translation of ""I am Georgian"" into French is ""Je suis géorgien"" (if you are male) or ""Je suis géorgienne"" (if you are female)."
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"The translation of ""I am Ghanaian"" into French is ""Je suis ghanéen"" (if you are male) or ""Je suis ghanéenne"" (if you are female)."
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"The translation of ""I am Guinean"" into French is ""Je suis guinéen"" (if you are male) or ""Je suis guinéenne"" (if you are female)."
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"The translation of ""I am Gambian"" into French is ""Je suis gambien"" (if you are male) or ""Je suis gambienne"" (if you are female)."
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"The translation of ""I am Guinea-Bissauan"" into French is ""Je suis bissau-guinéen"" (for a male speaker) or ""Je suis bissau-guinéenne"" (for a female speaker)."
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"The translation of ""I am Equatorial Guinean"" into French is ""Je suis équato-guinéen"" (for a male speaker) or ""Je suis équato-guinéenne"" (for a female speaker)."
I am Greek.,Je suis Grec.,Je suis Grecque.,,"The translation of ""I am Greek"" into French is ""Je suis grec"" (if you are male) or ""Je suis greque"" (if you are female)."
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"The translation of ""I am Grenadian"" into French is ""Je suis grenadien"" (if you are male) or ""Je suis grenadienne"" (if you are female)."
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"The translation of ""I am Guatemalan"" into French is ""Je suis guatémaltèque."""
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"The translation of ""I am Guyanese"" into French is ""Je suis guyanais"" (if you are male) or ""Je suis guyanaise"" (if you are female)."
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"The translation of ""I am Honduran"" into French is ""Je suis hondurien"" (if you are male) or ""Je suis hondurienne"" (if you are female)."
I am Croatian.,Je suis Croate.,Je suis Croate.,,"The translation of ""I am Croatian"" into French is ""Je suis croate."""
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"The translation of ""I am Haitian"" into French is ""Je suis haïtien"" (if you are male) or ""Je suis haïtienne"" (if you are female)."
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"The translation of ""I am Hungarian"" into French is ""Je suis hongrois"" (if you are male) or ""Je suis hongroise"" (if you are female)."
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"The translation of ""I am Indonesian"" into French is ""Je suis indonésien"" (if you are male) or ""Je suis indonésienne"" (if you are female)."
I am Indian.,Je suis Indien.,Je suis Indienne.,,"The translation of ""I am Indian"" into French is ""Je suis indien"" (if you are male) or ""Je suis indienne"" (if you are female)."
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"The translation of ""I am Irish"" into French is ""Je suis irlandais"" (if you are male) or ""Je suis irlandaise"" (if you are female)."
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"The translation of ""I am Iranian"" into French is ""Je suis iranien"" (if you are male) or ""Je suis iranienne"" (if you are female)."
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"The translation of ""I am Iraqi"" into French is ""Je suis irakien"" (if you are male) or ""Je suis irakienne"" (if you are female)."
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"The translation of ""I am Icelander"" into French is ""Je suis islandais"" (if you are male) or ""Je suis islandaise"" (if you are female)."
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"The translation of ""I am Israeli"" into French is ""Je suis israélien"" (if you are male) or ""Je suis israélienne"" (if you are female)."
I am Italian.,Je suis Italien.,Je suis Italienne.,,"The translation of ""I am Italian"" into French is ""Je suis italien"" (if you are male) or ""Je suis italienne"" (if you are female)."
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"The translation of ""I am Jamaican"" into French is ""Je suis jamaïcain"" (if you are male) or ""Je suis jamaïcaine"" (if you are female)."
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"The translation of ""I am Jordanian"" into French is ""Je suis jordanien"" if you are male, or ""Je suis jordanienne"" if you are female."
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"The translation of ""I am Japanese"" into French is ""Je suis japonais"" (if you are male) or ""Je suis japonaise"" (if you are female)."
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"The translation of ""I am Kazakhstani"" into French is ""Je suis kazakhstanais"" (for a male speaker) or ""Je suis kazakhstanaise"" (for a female speaker)."
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"The translation of ""I am Kenyan"" into French is ""Je suis kenyan."""
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"The translation of ""I am Kirghiz"" into French is ""Je suis kirghize."""
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"The translation of ""I am Cambodian"" into French is ""Je suis cambodgien"" (if you are male) or ""Je suis cambodgienne"" (if you are female)."
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"The translation of ""I am I-Kiribati"" into French is ""Je suis I-Kiribati."""
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"The translation of ""I am Kittitian or Nevisian"" into French is: ""Je suis kittitien ou névisien."""
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"The translation of ""I am South Korean"" into French is ""Je suis sud-coréen"" (if you are male) or ""Je suis sud-coréenne"" (if you are female)."
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"The translation of ""I am Kuwaiti"" into French is ""Je suis Koweïtien"" (for a male speaker) or ""Je suis Koweïtienne"" (for a female speaker)."
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"The translation of ""I am Laotian"" into French is ""Je suis laotien"" (if you are male) or ""Je suis laotienne"" (if you are female)."
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"The translation of ""I am Lebanese"" into French is ""Je suis libanais"" (if you are male) or ""Je suis libanaise"" (if you are female)."
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"The translation of ""I am Liberian"" into French is ""Je suis libérien"" (if you are male) or ""Je suis libérienne"" (if you are female)."
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"The translation of ""I am Libyan"" into French is ""Je suis libyen"" (if you are male) or ""Je suis libyenne"" (if you are female)."
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"The translation of ""I am Saint Lucian"" into French is ""Je suis saint-lucien"" (for a male speaker) or ""Je suis saint-lucienne"" (for a female speaker)."
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"The translation of ""I am Liechtensteiner"" into French is ""Je suis liechtensteinois."""
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"The translation of ""I am Sri Lankan"" into French is ""Je suis srilankais"" (if you are male) or ""Je suis srilankaise"" (if you are female)."
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"The translation of ""I am Mosotho"" into French is ""Je suis Mosotho."""
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"The translation of ""I am Lithuanian"" into French is ""Je suis lituanien"" (if you are male) or ""Je suis lituanienne"" (if you are female)."
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"The translation of ""I am Luxembourger"" into French is ""Je suis Luxembourgeois."""
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"The translation of ""I am Latvian"" into French is ""Je suis letton."""
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"The translation of ""I am Moroccan"" into French is ""Je suis marocain"" (if you are male) or ""Je suis marocaine"" (if you are female)."
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"The translation of ""I am Monegasque"" into French is ""Je suis Monégasque."""
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"The translation of ""I am Moldovan"" into French is ""Je suis moldave."""
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"The translation of ""I am Malagasy"" into French is ""Je suis malgache."""
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"The translation of ""I am Maldivan"" into French is ""Je suis maldivien."""
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"The translation of ""I am Mexican"" into French is ""Je suis mexicain"" (if you are male) or ""Je suis mexicaine"" (if you are female)."
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"The translation of ""I am Marshallese"" into French is ""Je suis Marshallais"" (if you are male) or ""Je suis Marshallaise"" (if you are female)."
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"The translation of ""I am Macedonian"" into French is ""Je suis macédonien"" (if you are male) or ""Je suis macédonienne"" (if you are female)."
I am Malian.,Je suis Malien.,Je suis Malienne.,,"The translation of ""I am Malian"" into French is ""Je suis malien"" (if you are male) or ""Je suis malienne"" (if you are female)."
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"The translation of ""I am Maltese"" into French is ""Je suis maltais"" (if you are male) or ""Je suis maltaise"" (if you are female)."
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"The translation of ""I am Burmese"" into French is ""Je suis birman"" (if you are male) or ""Je suis birmane"" (if you are female)."
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"The translation of ""I am Montenegrin"" into French is ""Je suis monténégrin."""
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"The translation of ""I am Mongolian"" into French is ""Je suis mongol."""
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"The translation of ""I am Mozambican"" into French is ""Je suis mozambicain"" (if you are male) or ""Je suis mozambicaine"" (if you are female)."
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"The translation of ""I am Mauritanian"" into French is ""Je suis mauritanien"" (if you are male) or ""Je suis mauritanienne"" (if you are female)."
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"The translation of ""I am Mauritian"" into French is ""Je suis mauricien"" (if you are male) or ""Je suis mauricienne"" (if you are female)."
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"The translation of ""I am Malawian"" into French is ""Je suis malawien"" (if you are male) or ""Je suis malawienne"" (if you are female)."
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"The translation of ""I am Malaysian"" into French is ""Je suis malaisien"" (if you are male) or ""Je suis malaisienne"" (if you are female)."
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"The translation of ""I am Namibian"" into French is ""Je suis namibien"" (if you are male) or ""Je suis namibienne"" (if you are female)."
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"The translation of ""I am Nigerien"" into French is ""Je suis nigérien."""
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"The translation of ""I am Nigerian"" into French is ""Je suis nigérian."""
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"The translation of ""I am Nicaraguan"" into French is ""Je suis nicaraguayen"" (if you are male) or ""Je suis nicaraguayenne"" (if you are female)."
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"The translation of ""I am Dutch"" into French is ""Je suis néerlandais"" (if you are male) or ""Je suis néerlandaise"" (if you are female)."
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"The translation of ""I am Norwegian"" into French is ""Je suis norvégien"" (if you are male) or ""Je suis norvégienne"" (if you are female)."
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"The translation of ""I am Nepalese"" into French is ""Je suis népalais"" (if you are male) or ""Je suis népalaise"" (if you are female)."
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"The translation of ""I am Nauruan"" into French is ""Je suis Nauruan."""
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"The translation of ""I am New Zealander"" into French is ""Je suis néo-zélandais"" (if you are male) or ""Je suis néo-zélandaise"" (if you are female)."
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"The translation of ""I am Omani"" into French is ""Je suis omanais"" (if you are male) or ""Je suis omanaise"" (if you are female)."
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"The translation of ""I am Pakistani"" into French is ""Je suis pakistanais"" (if you are male) or ""Je suis pakistanaise"" (if you are female)."
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"The translation of ""I am Panamanian"" into French is ""Je suis Panaméen"" (if you are male) or ""Je suis Panaméenne"" (if you are female)."
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"The translation of ""I am Peruvian"" into French is ""Je suis péruvien"" (if you are male) or ""Je suis péruvienne"" (if you are female)."
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"The translation of ""I am Filipino"" into French is ""Je suis Philippin"" (if you are male) or ""Je suis Philippine"" (if you are female)."
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"The translation of ""I am Palauan"" into French is ""Je suis paluan."""
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"The translation of ""I am Papua New Guinean"" into French is ""Je suis papou-néo-guinéen."""
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"The translation of ""I am Polish"" into French is ""Je suis polonais"" (if you are male) or ""Je suis polonaise"" (if you are female)."
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"The translation of ""I am North Korean"" into French is ""Je suis nord-coréen"" (if you are male) or ""Je suis nord-coréenne"" (if you are female)."
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"The translation of ""I am Portuguese"" into French is ""Je suis portugais"" (if you are male) or ""Je suis portugaise"" (if you are female)."
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"The translation of ""I am Paraguayan"" into French is ""Je suis paraguayen"" (if you are male) or ""Je suis paraguayenne"" (if you are female)."
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"The translation of ""I am Qatari"" into French is ""Je suis qatari."""
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"The translation of ""I am Romanian"" into French is ""Je suis roumain"" (if you are male) or ""Je suis roumaine"" (if you are female)."
I am Russian.,Je suis Russe.,Je suis Russe.,,"The translation of ""I am Russian"" into French is ""Je suis russe."""
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"The translation of ""I am Rwandan"" into French is ""Je suis rwandais"" (if you are male) or ""Je suis rwandaise"" (if you are female)."
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"The translation of ""I am Saudi Arabian"" into French is ""Je suis saoudien(ne)."" If you are female, you would say ""Je suis saoudienne."""
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"The translation of ""I am Sudanese"" into French is ""Je suis soudanais"" (if you are male) or ""Je suis soudanaise"" (if you are female)."
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"The translation of ""I am Senegalese"" into French is ""Je suis sénégalais"" (if you are male) or ""Je suis sénégalaise"" (if you are female)."
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"The translation of ""I am Singaporean"" into French is ""Je suis singapourien"" (if you are male) or ""Je suis singapourienne"" (if you are female)."
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"The translation of ""I am Solomon Islander"" into French is ""Je suis Salomonien."""
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"The translation of ""I am Sierra Leonean"" into French is ""Je suis sierra-léonais"" (if you are male) or ""Je suis sierra-léonaise"" (if you are female)."
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"The translation of ""I am Salvadoran"" into French is ""Je suis salvadorien"" (for a male speaker) or ""Je suis salvadorienne"" (for a female speaker)."
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"The translation of ""I am Sammarinese"" into French is ""Je suis sammarinais"" (if you are male) or ""Je suis sammarinaise"" (if you are female)."
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"The translation of ""I am Somali"" into French is ""Je suis somalien"" (if you are male) or ""Je suis somalienne"" (if you are female)."
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"The translation of ""I am Serbian"" into French is ""Je suis serbe."""
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"The translation of ""I am South Sudanese"" into French is ""Je suis sud-soudanais."""
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"The translation of ""I am Sao Tomean"" into French is ""Je suis São-Toméen."""
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"The translation of ""I am Surinamer"" into French is ""Je suis Surinamien."""
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"The translation of ""I am Slovak"" into French is ""Je suis slovaque."""
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"The translation of ""I am Slovene"" into French is ""Je suis slovène."""
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"The translation of ""I am Swedish"" into French is ""Je suis suédois"" (if you are male) or ""Je suis suédoise"" (if you are female)."
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"The translation of ""I am Swazi"" into French is ""Je suis swazi."""
