eng,fra_m,fra_f,fra_n,output
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"Certainly! The translation of ""I am Eritrean"" into French is ""Je suis Érythréen."""
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"Certainly! The translation of ""I am Spanish"" into French is ""Je suis espagnol."""
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"Certainly! The translation of ""I am Estonian"" into French is ""Je suis Estonien."""
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"Certainly! The translation of ""I am Ethiopian"" into French is ""Je suis Ethiopien(ne)."""
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"Certainly! The translation of ""I am Finnish"" into French is ""Je suis finlandais."""
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"Certainly! The translation of ""I am Fijian"" into French is ""Je suis Fidjien(ne)."""
I am French.,Je suis Français.,Je suis Française.,,"Certainly! The translation of ""I am French"" into French is ""Je suis français."""
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"Certainly! The translation of ""I am Micronesian"" into French is ""Je suis Micronésien(ne)."""
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"Certainly! The translation of ""I am Gabonese"" into French is ""Je suis Gabonais."""
I am British.,Je suis Britannique.,Je suis Britannique.,,"Certainly! The translation of ""I am British"" into French is ""Je suis britannique."""
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"Certainly! The translation of ""I am Georgian"" into French is ""Je suis géorgien."""
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"Certainly! The translation of ""I am Ghanaian"" into French is ""Je suis Ghanéen."""
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"Certainly! The translation of ""I am Guinean"" into French is ""Je suis Guinéen."""
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"Certainly! The translation of ""I am Gambian"" into French is ""Je suis Gambien."""
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"Certainly! The translation of ""I am Guinea-Bissauan"" into French is ""Je suis guinéen-bissauan."""
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,Je suis équato-guinéen(ne).
I am Greek.,Je suis Grec.,Je suis Grecque.,,"Certainly! The translation of ""I am Greek"" into French is ""Je suis grec."""
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"Certainly! The translation of ""I am Grenadian"" into French is ""Je suis Grenadien(ne)."""
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"Certainly! The translation of ""I am Guatemalan"" into French is ""Je suis Guatémaltèque."""
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"Certainly! The translation of ""I am Guyanese"" into French is ""Je suis guyanais."""
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"Certainly! The translation of ""I am Honduran"" into French is ""Je suis hondurien(ne)."""
I am Croatian.,Je suis Croate.,Je suis Croate.,,"Certainly! The translation of ""I am Croatian"" into French is ""Je suis Croate."""
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"Certainly! The translation of ""I am Haitian"" into French is ""Je suis haïtien."""
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"Certainly! The translation of ""I am Hungarian"" into French is ""Je suis hongrois."""
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"Certainly! The translation of ""I am Indonesian"" into French is ""Je suis Indonésien."""
I am Indian.,Je suis Indien.,Je suis Indienne.,,"Certainly! The translation of ""I am Indian"" into French is ""Je suis indien."""
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"Certainly! The translation of ""I am Irish"" into French is ""Je suis irlandais."""
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"Certainly! The translation of ""I am Iranian"" in French is ""Je suis Iranien."""
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"Certainly! The translation of ""I am Iraqi"" into French is ""Je suis irakien(ne)."""
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"Certainly! The translation of ""I am Icelander"" into French is ""Je suis Islandais."""
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"Certainly! The translation of ""I am Israeli"" into French is ""Je suis Israélien."""
I am Italian.,Je suis Italien.,Je suis Italienne.,,"Certainly! The translation of ""I am Italian"" into French is ""Je suis italien."""
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"Certainly! The translation of ""I am Jamaican"" into French is ""Je suis Jamaïcain."""
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"Certainly! The translation of ""I am Jordanian"" into French is ""Je suis jordanien."""
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"Certainly! The translation of ""I am Japanese"" into French is ""Je suis japonais."""
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"Certainly! The translation of ""I am Kazakhstani"" into French is ""Je suis Kazakhstani""."
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"Certainly! The translation of ""I am Kenyan"" into French is ""Je suis Kenyan."""
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"Certainly! The translation of ""I am Kirghiz"" into French is ""Je suis Kirghize."""
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"Certainly! The translation of ""I am Cambodian"" into French is ""Je suis cambodgien."""
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"Certainly! The translation of ""I am I-Kiribati"" into French is ""Je suis I-Kiribati""."
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"Certainly! The translation of ""I am Kittitian or Nevisian"" into French is: ""Je suis Kittitien ou Névisien."""
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"Certainly! The translation of ""I am South Korean"" into French is ""Je suis sud-coréen."""
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"Certainly! The translation of ""I am Kuwaiti"" into French is ""Je suis Koweïtien."""
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"Certainly! The translation of ""I am Laotian"" into French is ""Je suis Laotien(ne)."""
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"Certainly! The translation of ""I am Lebanese"" into French is ""Je suis libanais."""
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"Certainly! The translation of ""I am Liberian"" into French is ""Je suis Libérien."""
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"Certainly! The translation of ""I am Libyan"" into French is ""Je suis Libyen."""
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"Certainly! The translation of ""I am Saint Lucian"" into French is ""Je suis Saint-Lucien."""
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"Certainly! The translation of ""I am Liechtensteiner"" into French is ""Je suis Liechtensteinois."""
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"Certainly! The translation of ""I am Sri Lankan"" into French is ""Je suis Sri Lankais."""
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"Certainly! The translation of ""I am Mosotho"" into French is ""Je suis Mosotho."""
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"Certainly! The translation of ""I am Lithuanian"" into French is ""Je suis lituanien."""
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"Certainly! The translation of ""I am Luxembourger"" into French is ""Je suis Luxembourgeois."""
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"Certainly! The translation of ""I am Latvian"" into French is ""Je suis letton."""
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"Certainly! The translation of ""I am Moroccan"" into French is ""Je suis Marocain."""
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"Certainly! The translation of ""I am Monegasque"" into French is ""Je suis Monégasque."""
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"Certainly! The translation of ""I am Moldovan"" into French is ""Je suis moldave."""
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"Certainly! The translation of ""I am Malagasy"" into French is ""Je suis Malgache."""
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"Certainly! The translation of ""I am Maldivan"" into French is ""Je suis Maldivien."""
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"Certainly! The translation of ""I am Mexican"" into French is ""Je suis mexicain."""
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"Certainly! The translation of ""I am Marshallese"" into French is ""Je suis Marshallais(e)""."
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"Certainly! The translation of ""I am Macedonian"" into French is ""Je suis Macédonien(ne)."""
I am Malian.,Je suis Malien.,Je suis Malienne.,,"Certainly! The translation of ""I am Malian"" into French is ""Je suis malien."""
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,Je suis Maltais.
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"Certainly! The translation of ""I am Burmese"" into French is ""Je suis birman."""
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"Certainly! The translation of ""I am Montenegrin"" into French is ""Je suis Monténégrin."""
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"Certainly! The translation of ""I am Mongolian"" into French is ""Je suis mongol."""
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"Certainly! The translation of ""I am Mozambican"" into French is ""Je suis mozambicain."""
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"Certainly! The translation of ""I am Mauritanian"" into French is ""Je suis mauritanien."""
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"Certainly! The translation of ""I am Mauritian"" into French is ""Je suis Mauricien(ne)."""
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"Certainly! The translation of ""I am Malawian"" into French is ""Je suis Malawien."""
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"Certainly! The translation of ""I am Malaysian"" into French is ""Je suis Malaisien."""
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"Certainly! The translation of ""I am Namibian"" into French is ""Je suis namibien(ne)."""
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"Certainly! The translation of ""I am Nigerien"" into French is ""Je suis Nigérien."""
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"Certainly! The translation of ""I am Nigerian"" into French is ""Je suis Nigérian."""
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"Certainly! The translation of ""I am Nicaraguan"" into French is ""Je suis nicaraguayen/nicaraguayenne."""
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"Certainly! The translation of ""I am Dutch"" into French is ""Je suis néerlandais."""
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"Certainly! The translation of ""I am Norwegian"" into French is ""Je suis norvégien."""
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"Certainly! The translation of ""I am Nepalese"" into French is ""Je suis Népalais."""
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"Certainly! The translation of ""I am Nauruan"" into French is ""Je suis Nauruan."""
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"Certainly! The translation of ""I am New Zealander"" into French is ""Je suis Néo-Zélandais."""
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"Certainly! The translation of ""I am Omani"" into French is ""Je suis Omanais."""
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"Certainly! The translation of ""I am Pakistani"" into French is ""Je suis Pakistanais."""
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,Je suis Panaméen(ne).
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"Certainly! The translation of ""I am Peruvian"" into French is ""Je suis péruvien."""
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"Certainly! The translation of ""I am Filipino"" in French is ""Je suis Philippin."""
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,Je suis Paluan.
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,Je suis papouan néo-guinéen.
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"Certainly! The translation of ""I am Polish"" into French is ""Je suis polonais."""
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,Je suis nord-coréen(ne).
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"Certainly! The translation of ""I am Portuguese"" into French is ""Je suis portugais."""
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"Certainly! The translation of ""I am Paraguayan"" into French is ""Je suis Paraguayen(ne)."""
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"Certainly! The translation of ""I am Qatari"" into French is ""Je suis qatarien."""
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"Certainly! The translation of ""I am Romanian"" into French is ""Je suis roumain."""
I am Russian.,Je suis Russe.,Je suis Russe.,,"Certainly! The translation of ""I am Russian"" into French is ""Je suis russe."""
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"Certainly! The translation of ""I am Rwandan"" into French is ""Je suis Rwandais."""
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"Certainly! The translation of ""I am Saudi Arabian"" into French is ""Je suis Saoudien(ne)."""
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"Certainly! The translation of ""I am Sudanese"" into French is ""Je suis soudanais."""
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"Certainly! The translation of ""I am Senegalese"" into French is ""Je suis sénégalais."""
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"Certainly! The translation of ""I am Singaporean"" into French is ""Je suis Singapourien(ne)."""
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"Certainly! The translation of ""I am Solomon Islander"" into French is ""Je suis originaire des îles Salomon."""
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"Certainly! The translation of ""I am Sierra Leonean"" into French is ""Je suis Sierra-Léonais(e)."""
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"Certainly! The translation of ""I am Salvadoran"" into French is ""Je suis Salvadorien."""
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"Certainly! The translation of ""I am Sammarinese"" into French is ""Je suis Saint-Marinais."""
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"Certainly! The translation of ""I am Somali"" into French is ""Je suis Somali."""
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"Certainly! The translation of ""I am Serbian"" into French is ""Je suis serbe."""
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"Certainly! The translation of ""I am South Sudanese"" into French is ""Je suis sud-soudanais(e)."""
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"Certainly! The translation of ""I am Sao Tomean"" into French is ""Je suis São Toméen."""
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"Certainly! The translation of ""I am Surinamer"" into French is ""Je suis Surinamien(ne)."""
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"Certainly! The translation of ""I am Slovak"" into French is ""Je suis Slovaque."""
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"Certainly! The translation of ""I am Slovene"" into French is ""Je suis slovène."""
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"Certainly! The translation of ""I am Swedish"" into French is ""Je suis suédois."""
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"Certainly! The translation of ""I am Swazi"" into French is ""Je suis Swazi."""
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"Certainly! The translation of ""I am Seychellois"" into French is ""Je suis Seychellois."""
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"Certainly! The translation of ""I am Syrian"" into French is ""Je suis syrien."""
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"Certainly! The translation of ""I am Chadian"" into French is ""Je suis tchadien."""
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"Certainly! The translation of ""I am Togolese"" into French is ""Je suis togolais."""
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"Certainly! The translation of ""I am Thai"" into French is ""Je suis thaïlandais."""
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"Certainly! The translation of ""I am Tadzhik"" into French is ""Je suis Tadjik."""
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"Certainly! The translation of ""I am Turkmen"" into French is ""Je suis Turkmène."""
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"Certainly! The translation of ""I am East Timorese"" into French is ""Je suis Timorais."""
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"Certainly! The translation of ""I am Tongan"" into French is ""Je suis Tongien(ne)."""
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"Certainly! The translation of ""I am Trinidadian"" into French is ""Je suis Trinidadien(ne)."""
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"Certainly! The translation of ""I am Tunisian"" into French is ""Je suis Tunisien."""
I am Turkish.,Je suis Turc.,Je suis Turque.,,"Certainly! The translation of ""I am Turkish"" into French is ""Je suis turc."""
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,Je suis Tuvaluan.
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"Certainly! The translation of ""I am Tanzanian"" into French is ""Je suis Tanzanien(ne)."""
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"Certainly! The translation of ""I am Ugandan"" into French is ""Je suis ougandais."""
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"Certainly! The translation of ""I am Ukrainian"" into French is ""Je suis Ukrainien."""
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"Certainly! The translation of ""I am Uruguayan"" into French is ""Je suis uruguayen."""
I am American.,Je suis Américain.,Je suis Américaine.,,"Certainly! The translation of ""I am American"" into French is ""Je suis américain."""
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"Certainly! The translation of ""I am Uzbekistani"" into French is ""Je suis Ouzbek."""
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,Je suis Saint-Vincentais.
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"Certainly! The translation of ""I am Venezuelan"" into French is ""Je suis Vénézuélien."""
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"Certainly! The translation of ""I am Vietnamese"" into French is ""Je suis vietnamien."""
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"Certainly! The translation of ""I am Ni-Vanuatu"" into French is ""Je suis Ni-Vanuatu."""
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"Certainly! The translation of ""I am Samoan"" into French is ""Je suis Samoan."""
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"Certainly! The translation of ""I am Yemeni"" into French is ""Je suis yéménite."""
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"Certainly! The translation of ""I am South African"" into French is ""Je suis sud-africain."""
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"Certainly! The translation of ""I am Zambian"" into French is ""Je suis Zambien."""
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"Certainly! The translation of ""I am Zimbabwean"" into French is ""Je suis zimbabwéen."""
