eng,spa_m,spa_f,spa_n,output
I am Belizean.,Soy beliceño.,Soy beliceña.,,"Sure! The translation of ""I am Belizean"" into Spanish is ""Soy beliceño/a""."
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"Sure! The translation of ""I am Bolivian"" into Spanish is ""Soy boliviano/a"" depending on the gender of the speaker."
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"Sure! The translation of ""I am Brazilian"" into Spanish is ""Soy brasileño/a."""
I am Barbadian.,,,Soy barbadense.,"Sure! The translation of ""I am Barbadian"" into Spanish is ""Soy barbadense."""
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"Sure! The translation of ""I am Bruneian"" into Spanish is ""Soy de Brunéi""."
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"Sure! The translation of ""I am Bhutanese"" into Spanish is ""Soy de Bután."""
I am Motswana.,Soy botsuano.,Soy botsuana.,,"Sure! The translation of ""I am Motswana"" into Spanish is ""Soy Motswana""."
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"Sure! The translation of ""I am Central African"" into Spanish is ""Soy centroafricano/a""."
I am Canadian.,,,Soy canadiense.,"Sure! The translation of ""I am Canadian"" into Spanish is ""Soy canadiense."""
I am Swiss.,Soy suizo.,Soy suiza.,,"Sure! The translation of ""I am Swiss"" into Spanish is ""Soy suizo."""
I am Chilean.,Soy chileno.,Soy chilena.,,"Sure! The translation of ""I am Chilean"" into Spanish is ""Soy chileno"" if the speaker is male, or ""Soy chilena"" if the speaker is female."
I am Chinese.,Soy chino.,Soy china.,,"Sure! The translation of ""I am Chinese"" into Spanish is ""Soy chino/a"" depending on the gender of the speaker."
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"Sure! The translation of ""I am Ivorian"" into Spanish is ""Soy marfileño/a."""
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,"Sure! The translation of ""I am Cameroonian"" into Spanish is ""Soy camerunés."""
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Sure! The translation of ""I am Congolese"" into Spanish is ""Soy congoleño/a""."
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Sure! The translation of ""I am Congolese"" into Spanish is ""Soy congoleño/a."""
I am Colombian.,Soy colombiano.,Soy colombiana.,,"Sure! The translation of ""I am Colombian"" into Spanish is ""Soy colombiano/a"" depending on the gender of the speaker."
I am Comoran.,,,Soy comorense.,"Sure! The translation of ""I am Comoran"" into Spanish is ""Soy comorense."""
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"Sure! The translation of ""I am Cape Verdian"" into Spanish is ""Soy caboverdiano/a""."
I am Costa Rican.,,,Soy costarricense.,"Sure! The translation of ""I am Costa Rican"" into Spanish is ""Soy costarricense."""
I am Cuban.,Soy cubano.,Soy cubana.,,"Sure! The translation of ""I am Cuban"" into Spanish is ""Soy cubano."""
I am Cypriot.,,,Soy chipriota.,"Sure! The translation of ""I am Cypriot"" into Spanish is ""Soy chipriota."""
I am Czech.,Soy checo.,Soy checa.,,"Sure! The translation of ""I am Czech"" into Spanish is ""Soy checo/a"" depending on the gender of the speaker."
I am German.,Soy alemán.,,,"Sure! The translation of ""I am German"" into Spanish is ""Soy alemán/a""."
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"Sure! The translation of ""I am Djibouti"" into Spanish is ""Soy de Yibuti""."
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano"" if the speaker is male, or ""Soy dominicana"" if the speaker is female."
I am Danish.,Soy danés.,Soy danésa.,,"Sure! The translation of ""I am Danish"" into Spanish is ""Soy danés."""
I am Dominican.,Soy dominicano.,Soy dominicana.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano/a"" depending on the gender of the speaker."
I am Algerian.,Soy argelino.,Soy argelina.,,"Sure! The translation of ""I am Algerian"" into Spanish is ""Soy argelino/a."""
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"Sure! The translation of ""I am Ecuadorean"" into Spanish is ""Soy ecuatoriano/a."""
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"Sure! The translation of ""I am Egyptian"" into Spanish is ""Soy egipcio/a."""
I am Eritrean.,Soy eritreo.,Soy eritra.,,"Sure! The translation of ""I am Eritrean"" into Spanish is ""Soy eritreo/a."""
I am Spanish.,Soy español.,,,"Sure! The translation of ""I am Spanish"" into Spanish is ""Soy español/a""."
I am Estonian.,Soy estonio.,Soy estona.,,"Sure! The translation of ""I am Estonian"" into Spanish is ""Soy estonio/a""."
I am Ethiopian.,,,Soy etíope.,"Sure! The translation of ""I am Ethiopian"" into Spanish is ""Soy etíope."""
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"Sure! The translation of ""I am Finnish"" into Spanish is ""Soy finlandés."""
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"Sure! The translation of ""I am Fijian"" into Spanish is ""Soy fiyiano/a""."
I am French.,Soy francés.,Soy francésa.,,"Sure! The translation of ""I am French"" into Spanish is ""Soy francés."""
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"Sure! The translation of ""I am Micronesian"" into Spanish is ""Soy micronésio/a""."
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"Sure! The translation of ""I am Gabonese"" into Spanish is ""Soy gabonés/a""."
I am British.,Soy británico.,Soy británia.,,"Sure! The translation of ""I am British"" into Spanish is ""Soy británico/a."""
I am Georgian.,Soy georgiano.,Soy georgiana.,,"Sure! The translation of ""I am Georgian"" into Spanish is ""Soy georgiano/a""."
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"Sure! The translation of ""I am Ghanaian"" into Spanish is ""Soy ghanés."""
I am Guinean.,Soy guineano.,Soy guineana.,,"Sure! The translation of ""I am Guinean"" into Spanish is ""Soy guineano/a""."
I am Gambian.,Soy gambiano.,Soy gambiana.,,"Sure! The translation of ""I am Gambian"" into Spanish is ""Soy gambiano/a."""
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"Sure! The translation of ""I am Guinea-Bissauan"" into Spanish is ""Soy de Guinea-Bisáu""."
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"Sure! The translation of ""I am Equatorial Guinean"" into Spanish is ""Soy guineano ecuatoguineano""."
I am Greek.,Soy griego.,Soy griega.,,"Sure! The translation of ""I am Greek"" into Spanish is ""Soy griego."""
I am Grenadian.,Soy granadino.,Soy granadina.,,"Sure! The translation of ""I am Grenadian"" into Spanish is ""Soy granadino/a."""
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"Sure! The translation of ""I am Guatemalan"" into Spanish is ""Soy guatemalteco/a."""
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"Sure! The translation of ""I am Guyanese"" into Spanish is ""Soy guyanés."""
I am Honduran.,Soy hondureño.,Soy hondureña.,,"Sure! The translation of ""I am Honduran"" into Spanish is ""Soy hondureño/a."""
I am Croatian.,,,Soy croata.,"Sure! The translation of ""I am Croatian"" into Spanish is ""Soy croata."""
I am Haitian.,Soy haitiano.,Soy haitiana.,,"Sure! The translation of ""I am Haitian"" into Spanish is ""Soy haitiano/a."""
I am Hungarian.,Soy húngaro.,Soy húngara.,,"Sure! The translation of ""I am Hungarian"" into Spanish is ""Soy húngaro/a."""
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"Sure! The translation of ""I am Indonesian"" into Spanish is ""Soy indonesio/a""."
I am Indian.,Soy indio.,Soy india.,,"Sure! The translation of ""I am Indian"" into Spanish is ""Soy indio."""
I am Irish.,Soy irlandés.,Soy irlandésa.,,"Sure! The translation of ""I am Irish"" into Spanish is ""Soy irlandés."""
I am Iranian.,,,Soy iraní.,"Sure! The translation of ""I am Iranian"" into Spanish is ""Soy iraní."""
I am Iraqi.,,,Soy iraquí.,"Sure! The translation of ""I am Iraqi"" into Spanish is ""Soy iraquí."""
I am Icelander.,Soy islandés.,Soy islandésa.,,"Sure! The translation of ""I am Icelander"" into Spanish is ""Soy islandés."""
I am Israeli.,,,Soy israelí.,"Sure! The translation of ""I am Israeli"" into Spanish is ""Soy israelí""."
I am Italian.,Soy italiano.,Soy italiana.,,"Sure! The translation of ""I am Italian"" into Spanish is ""Soy italiano."""
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"Sure! The translation of ""I am Jamaican"" into Spanish is ""Soy jamaicano/a."""
I am Jordanian.,Soy jordano.,Soy jordana.,,"Sure! The translation of ""I am Jordanian"" into Spanish is ""Soy jordano."""
I am Japanese.,Soy japonés.,Soy japonésa.,,"Sure! The translation of ""I am Japanese"" into Spanish is ""Soy japonés."""
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"Sure! The translation of ""I am Kazakhstani"" into Spanish is ""Soy kazajo/a""."
I am Kenyan.,,,Soy keniata.,"Sure! The translation of ""I am Kenyan"" into Spanish is ""Soy keniano."""
I am Kirghiz.,,,Soy kirguís.,"Sure! The translation of ""I am Kirghiz"" into Spanish is ""Soy kirguís."""
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"Sure! The translation of ""I am Cambodian"" into Spanish is ""Soy camboyano/a""."
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"Sure! The translation of ""I am I-Kiribati"" into Spanish is ""Soy I-Kiribati""."
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"Sure! The translation of ""I am Kittitian or Nevisian"" into Spanish is: Soy de San Cristóbal y Nieves."
I am South Korean.,,,Soy de la República de Corea.,"Sure! The translation of ""I am South Korean"" into Spanish is ""Soy surcoreano/a""."
I am Kuwaiti.,,,Soy kuwaití.,"Sure! The translation of ""I am Kuwaiti"" into Spanish is ""Soy kuwaití."""
I am Laotian.,Soy laosiano.,Soy laosiana.,,"Sure! The translation of ""I am Laotian"" into Spanish is ""Soy laosiano."""
I am Lebanese.,Soy libanés.,Soy libanésa.,,"Sure! The translation of ""I am Lebanese"" into Spanish is ""Soy libanés."""
I am Liberian.,Soy liberiano.,Soy liberiana.,,"Sure! The translation of ""I am Liberian"" into Spanish is ""Soy liberiano/a""."
I am Libyan.,Soy libio.,Soy libia.,,"Sure! The translation of ""I am Libyan"" into Spanish is ""Soy libio/a"" depending on the gender of the speaker."
I am Saint Lucian.,,,Soy santalucense.,"Sure! The translation of ""I am Saint Lucian"" into Spanish is ""Soy sanluqueño/a""."
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"Sure! The translation of ""I am Liechtensteiner"" into Spanish is ""Soy liechtensteiniano."""
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"Sure! The translation of ""I am Sri Lankan"" into Spanish is ""Soy de Sri Lanka."""
I am Mosotho.,,,Soy lesotense.,"The translation of ""I am Mosotho"" into Spanish is ""Soy mosoteano/a."""
I am Lithuanian.,Soy lituano.,Soy lituana.,,"Sure! The translation of ""I am Lithuanian"" into Spanish is ""Soy lituano/a."""
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"Sure! The translation of ""I am Luxembourger"" into Spanish is ""Soy luxemburgués."""
I am Latvian.,Soy letón.,,,"Sure! The translation of ""I am Latvian"" into Spanish is ""Soy letón."""
I am Moroccan.,,,Soy marroquí.,"Sure! The translation of ""I am Moroccan"" into Spanish is ""Soy marroquí."""
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"Sure! The translation of ""I am Monegasque"" into Spanish is ""Soy monegasco/a""."
I am Moldovan.,Soy moldavo.,Soy moldava.,,"Sure! The translation of ""I am Moldovan"" into Spanish is ""Soy moldavo."""
I am Malagasy.,,,Soy malgache.,"Sure! The translation of ""I am Malagasy"" into Spanish is ""Soy malgache."""
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"Sure! The translation of ""I am Maldivan"" into Spanish is ""Soy maldivo/a""."
I am Mexican.,Soy mexicano.,Soy mexicana.,,"Sure! The translation of ""I am Mexican"" into Spanish is ""Soy mexicano"" for a male speaker or ""Soy mexicana"" for a female speaker."
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"Sure! The translation of ""I am Marshallese"" into Spanish is ""Soy marsellés/a""."
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"Sure! The translation of ""I am Macedonian"" into Spanish is ""Soy macedonio/a""."
I am Malian.,,,Soy malí.,"Sure! The translation of ""I am Malian"" into Spanish is ""Soy de Malí."""
I am Maltese.,Soy maltés.,Soy maltésa.,,"Sure! The translation of ""I am Maltese"" into Spanish is ""Soy maltés."""
I am Burmese.,,,Soy de Myanmar.,"Sure! The translation of ""I am Burmese"" into Spanish is ""Soy birmano/a""."
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"Sure! The translation of ""I am Montenegrin"" into Spanish is ""Soy montenegrino/a."""
I am Mongolian.,Soy mongol.,,,"Sure! The translation of ""I am Mongolian"" into Spanish is ""Soy mongol."""
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"Sure! The translation of ""I am Mozambican"" into Spanish is ""Soy mozambiqueño/a""."
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"Sure! The translation of ""I am Mauritanian"" into Spanish is ""Soy mauritano/a""."
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"Sure! The translation of ""I am Mauritian"" into Spanish is ""Soy mauriciano/a""."
I am Malawian.,,,Soy malauí.,"Sure! The translation of ""I am Malawian"" into Spanish is ""Soy malauí."""
I am Malaysian.,Soy malasio.,Soy malasia.,,"Sure! The translation of ""I am Malaysian"" into Spanish is ""Soy malasio/a""."
I am Namibian.,Soy namibio.,Soy namibia.,,"Sure! The translation of ""I am Namibian"" into Spanish is ""Soy namibio/a."""
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"Sure! The translation of ""I am Nigerien"" into Spanish is ""Soy nigerino/a."""
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"Sure! The translation of ""I am Nigerian"" into Spanish is ""Soy nigeriano/a."""
I am Nicaraguan.,,,Soy nicaragüense.,"Sure! The translation of ""I am Nicaraguan"" into Spanish is ""Soy nicaragüense."""
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"Sure! The translation of ""I am Dutch"" into Spanish is ""Soy holandés."""
I am Norwegian.,Soy noruego.,Soy noruega.,,"Sure! The translation of ""I am Norwegian"" into Spanish is ""Soy noruego/a""."
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"Sure! The translation of ""I am Nepalese"" into Spanish is ""Soy nepalés."""
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"Sure! The translation of ""I am Nauruan"" into Spanish is ""Soy nauruano/a."""
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"Sure! The translation of ""I am New Zealander"" into Spanish is ""Soy neozelandés."""
I am Omani.,,,Soy omaní.,"Sure! The translation of ""I am Omani"" into Spanish is ""Soy omaní""."
I am Pakistani.,,,Soy pakistaní.,"Sure! The translation of ""I am Pakistani"" into Spanish is ""Soy pakistaní""."
I am Panamanian.,Soy panameño.,Soy panameña.,,"Sure! The translation of ""I am Panamanian"" into Spanish is ""Soy panameño/a."""
I am Peruvian.,Soy peruano.,Soy peruana.,,"Sure! The translation of ""I am Peruvian"" into Spanish is ""Soy peruano/a."""
I am Filipino.,Soy filipino.,Soy filipina.,,"Sure! The translation of ""I am Filipino"" into Spanish is ""Soy filipino/a""."
I am Palauan.,Soy palauano.,Soy palauana.,,"Sure! The translation of ""I am Palauan"" into Spanish is ""Soy palauano/a""."
I am Papua New Guinean.,,,Soy papú.,"Sure! The translation of ""I am Papua New Guinean"" into Spanish is ""Soy de Papúa Nueva Guinea""."
I am Polish.,Soy polaco.,Soy polaca.,,"Sure! The translation of ""I am Polish"" into Spanish is ""Soy polaco/a"" depending on the gender of the speaker."
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"Sure! The translation of ""I am North Korean"" into Spanish is ""Soy norcoreano/a."""
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"Sure! The translation of ""I am Portuguese"" into Spanish is ""Soy portugués."""
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"Sure! The translation of ""I am Paraguayan"" into Spanish is ""Soy paraguayo/a"" depending on the gender of the speaker."
I am Qatari.,,,Soy qatarí.,"Sure! The translation of ""I am Qatari"" into Spanish is ""Soy qatarí""."
I am Romanian.,Soy rumano.,Soy rumana.,,"Sure! The translation of ""I am Romanian"" into Spanish is ""Soy rumano/a."""
I am Russian.,Soy ruso.,Soy rusa.,,"Sure! The translation of ""I am Russian"" into Spanish is ""Soy ruso/a."""
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"Sure! The translation of ""I am Rwandan"" into Spanish is ""Soy ruandés."""
I am Saudi Arabian.,,,Soy saudí.,"Sure! The translation of ""I am Saudi Arabian"" into Spanish is ""Soy saudí."""
I am Sudanese.,,,Soy sudanés.,"Sure! The translation of ""I am Sudanese"" into Spanish is ""Soy sudanés/a""."
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"Sure! The translation of ""I am Senegalese"" into Spanish is ""Soy senegalés."""
I am Singaporean.,,,Soy singapurense.,"Sure! The translation of ""I am Singaporean"" into Spanish is ""Soy singapurense."""
I am Solomon Islander.,,,Soy salomonense.,"Sure! The translation of ""I am Solomon Islander"" into Spanish is ""Soy de las Islas Salomón."""
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"Sure! The translation of ""I am Sierra Leonean"" into Spanish is ""Soy sierraleonés/a""."
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"Sure! The translation of ""I am Salvadoran"" into Spanish is ""Soy salvadoreño"" if you are male or ""Soy salvadoreña"" if you are female."
I am Sammarinese.,,,Soy sanmarinense.,"Sure! The translation of ""I am Sammarinese"" into Spanish is ""Soy sanmarinense""."
I am Somali.,,,Soy somalí.,"Sure! The translation of ""I am Somali"" into Spanish is ""Soy somalí."""
I am Serbian.,Soy serbio.,Soy serbia.,,"Sure! The translation of ""I am Serbian"" into Spanish is ""Soy serbio/a""."
I am South Sudanese.,,,Soy sursudanés.,"Sure! The translation of ""I am South Sudanese"" into Spanish is ""Soy sudanés del Sur""."
I am Sao Tomean.,,,Soy santotomense.,"Sure! The translation of ""I am Sao Tomean"" into Spanish is ""Soy de Santo Tomé""."
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"Sure! The translation of ""I am Surinamer"" into Spanish is ""Soy surinamés."""
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"Sure! The translation of ""I am Slovak"" into Spanish is ""Soy eslovaco/a""."
I am Slovene.,Soy esloveno.,Soy eslovena.,,"Sure! The translation of ""I am Slovene"" into Spanish is ""Soy esloveno/a."""
I am Swedish.,Soy sueco.,Soy sueca.,,"Sure! The translation of ""I am Swedish"" into Spanish is ""Soy sueco/a"" depending on the gender of the speaker."
I am Swazi.,,,Soy esuatiní.,"Sure! The translation of ""I am Swazi"" into Spanish is ""Soy suazi."""
I am Seychellois.,,,Soy seychellense.,"Sure! The translation of ""I am Seychellois"" into Spanish is ""Soy seychellense."""
I am Syrian.,Soy sirio.,Soy siria.,,"Sure! The translation of ""I am Syrian"" into Spanish is ""Soy sirio."""
I am Chadian.,Soy chadiano.,Soy chadiana.,,"Sure! The translation of ""I am Chadian"" into Spanish is ""Soy chadiano/a""."
I am Togolese.,Soy togolés.,Soy togolésa.,,"Sure! The translation of ""I am Togolese"" into Spanish is ""Soy togolés."""
I am Thai.,Soy tailandés.,Soy tailandésa.,,"Sure! The translation of ""I am Thai"" into Spanish is ""Soy tailandés."""
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"Sure! The translation of ""I am Tadzhik"" into Spanish is ""Soy tayiko."""
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"Sure! The translation of ""I am Turkmen"" into Spanish is ""Soy turcomano."""
I am East Timorese.,,,Soy timorense.,"Sure! The translation of ""I am East Timorese"" into Spanish is ""Soy de Timor Oriental."""
I am Tongan.,Soy tongano.,Soy tongana.,,"The translation of ""I am Tongan"" into Spanish is ""Soy tongano/a."""
I am Trinidadian.,,,Soy trinitense.,"Sure! The translation of ""I am Trinidadian"" into Spanish is ""Soy trinitario/a."""
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"Sure! The translation of ""I am Tunisian"" into Spanish is ""Soy tunecino/a""."
I am Turkish.,Soy turco.,Soy turca.,,"Sure! The translation of ""I am Turkish"" into Spanish is ""Soy turco/a"" depending on the gender of the speaker."
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"Sure! The translation of ""I am Tuvaluan"" into Spanish is ""Soy tuvaluano/a""."
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"Sure! The translation of ""I am Tanzanian"" into Spanish is ""Soy tanzano/a""."
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"Sure! The translation of ""I am Ugandan"" into Spanish is ""Soy ugandés."""
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"Sure! The translation of ""I am Ukrainian"" into Spanish is ""Soy ucraniano/a."""
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"Sure! The translation of ""I am Uruguayan"" into Spanish is ""Soy uruguayo/a"" depending on the gender of the speaker."
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"Sure! The translation of ""I am American"" into Spanish is ""Soy estadounidense."""
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"Sure! The translation of ""I am Uzbekistani"" into Spanish is ""Soy uzbeko/a""."
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"Sure! The translation of ""I am Saint Vincentian"" into Spanish is ""Soy sanvicentino/a""."
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"Sure! The translation of ""I am Venezuelan"" into Spanish is ""Soy venezolano/a."""
I am Vietnamese.,,,Soy vietnamita.,"Sure! The translation of ""I am Vietnamese"" into Spanish is ""Soy vietnamita."""
I am Ni-Vanuatu.,,,Soy vanuatuense.,"Sure! The translation of ""I am Ni-Vanuatu"" into Spanish is ""Soy ni-vanuatuense""."
I am Samoan.,Soy samoano.,Soy samoana.,,"Sure! The translation of ""I am Samoan"" into Spanish is ""Soy samoano/a""."
I am Yemeni.,,,Soy yemení.,"Sure! The translation of ""I am Yemeni"" into Spanish is ""Soy yemení""."
I am South African.,Soy sudafricano.,Soy sudafricana.,,"Sure! The translation of ""I am South African"" into Spanish is ""Soy sudafricano/a."""
I am Zambian.,Soy zambiano.,Soy zambiana.,,"Sure! The translation of ""I am Zambian"" into Spanish is ""Soy zambiano/a""."
I am Zimbabwean.,,,Soy zimbabuense.,"Sure! The translation of ""I am Zimbabwean"" into Spanish is ""Soy zimbabuense."""
