eng,deu_m,deu_f,deu_n,extracted
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,['Ich bin Bahraini.']
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['Ich bin Bahamianer.', 'Ich bin Bahamianerin.']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"['Ich bin Weißrusse.', 'Ich bin Weißrussin.']"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"['Ich bin Bolivianer.', 'Ich bin Bolivianerin.']"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.']"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"['Ich bin Barbadianer.', 'Ich bin Barbadianerin.']"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,['Ich bin Brunei.']
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"['Ich bin Bhutaner.', 'Ich bin Bhutanerin.']"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,['Ich bin Motswana.']
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"['Ich bin Zentralafrikaner.', 'Ich bin Zentralafrikanerin.']"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"['Ich bin Kanadier.', 'Ich bin Kanadierin.']"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"['Ich bin Schweizer.', 'Ich bin Schweizerin.']"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"['Ich bin Chileanisch.', 'Ich bin Chilene.', 'Ich bin Chilenin.']"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"['Ich bin Chinese.', 'Ich bin Chinesin.']"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin ivorisch.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"['Ich bin Kolumbianer.', 'Ich bin Kolumbianerin.']"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,['Ich bin Komoraner.']
I am Cape Verdian.,,,,"['Ich bin Kapverdianer.', 'Ich bin Kapverdianerin.']"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"['Ich bin Costa-Ricaner.', 'Ich bin Costa-Ricanerin.']"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"['Ich bin Kubaner.', 'Ich bin Kubanerin.']"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"['Ich bin Zypriot.', 'Ich bin Zypriotin.']"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"['Ich bin Tscheche.', 'Ich bin Tschechin.']"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"['Ich bin Deutscher.', 'Ich bin Deutsche.']"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,['Ich bin Dschibuti.']
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"['Ich bin Däne.', 'Ich bin Dänin.']"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"['Ich bin Ecuadorianer.', 'Ich bin Ecuadorianerin.']"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"['Ich bin Ägypter.', 'Ich bin Ägypterin.']"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"['Ich bin Eritreer.', 'Ich bin Eritreerin.']"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"['Ich bin Spanier.', 'Ich bin Spanierin.']"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"['Ich bin Estländer.', 'Ich bin Estländerin.']"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"['Ich bin Äthiopier.', 'Ich bin Äthiopierin.']"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,['Ich bin Fidschianer.']
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.']"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"['Ich bin Mikronesier.', 'Ich bin Mikronesierin.']"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,['Ich bin Gabunese.']
I am British.,Ich bin Brite.,Ich bin  Britin.,,"['Ich bin Brite.', 'Ich bin Britin.']"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"['Ich bin Georgier.', 'Ich bin Georgierin.']"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"['Ich bin Ghanaer.', 'Ich bin Ghanaerin.']"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"['Ich bin Guineer.', 'Ich bin Guineerin.']"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"['Ich bin Gambier.', 'Ich bin Gambierin.']"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,['Ich bin guineisch-bissauisch.']
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,['Ich bin äquatorialguineisch.']
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"['Ich bin Grieche.', 'Ich bin Griechin.']"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,['Ich bin Grenadier.']
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"['Ich bin Guatemalteke.', 'Ich bin Guatemaltekin.']"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,['Ich bin guyanesisch.']
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"['Ich bin Honduraner.', 'Ich bin Honduranerin.']"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"['Ich bin Kroate.', 'Ich bin Kroatin.']"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"['Ich bin Haitianer.', 'Ich bin Haitianerin.']"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"['Ich bin Ungar.', 'Ich bin Ungarin.']"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"['Ich bin Indonesier.', 'Ich bin Indonesierin.']"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"['Ich bin Inder.', 'Ich bin Inderin.']"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"['Ich bin Ire.', 'Ich bin Irin.']"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"['Ich bin Iranian.', 'Ich bin Iranerin.']"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"['Ich bin Iraker.', 'Ich bin Irakerin.']"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,['Ich bin Isländer.']
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin Israeli.']
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"['Ich bin Italiener.', 'Ich bin Italienerin.']"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"['Ich bin Jamaikaner.', 'Ich bin Jamaikanerin.']"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"['Ich bin Jordanier.', 'Ich bin Jordanierin.']"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"['Ich bin Japaner.', 'Ich bin Japanerin.']"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"['Ich bin Kasache.', 'Ich bin Kasachin.', 'Kasache.', 'Kasachin.']"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"['Ich bin Kenianer.', 'Ich bin Kenianerin.']"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"['Ich bin Kirgise.', 'Ich bin Kirgisin.']"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"['Ich bin Kambodschaner.', 'Ich bin Kambodschanerin.']"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,['Ich bin I-Kiribati.']
I am Kittitian or Nevisian.,,,,['Ich bin Kittitianer oder Nevisianer.']
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"['Ich bin Südkoreaner.', 'Ich bin Südkoreanerin.']"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,['Ich bin Kuwaiti.']
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"['Ich bin Laotier.', 'Ich bin Laotierin.']"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"['Ich bin Libanese.', 'Ich bin Libanesin.']"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"['Ich bin Liberianer.', 'Ich bin Liberianerin.']"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"['Ich bin Libyer.', 'Ich bin Libyerin.']"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,['Ich bin St. Lucianer.']
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,['Ich bin Liechtensteiner.']
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"['Ich bin Sri Lanker.', 'Ich bin Sri Lankerin.']"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,['Ich bin Mosotho.']
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"['Ich bin Litauer.', 'Ich bin Litauerin.']"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,['Ich bin Luxemburger.']
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"['Ich bin Lette.', 'Ich bin Lettin.']"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"['Ich bin Marokkaner.', 'Ich bin Marokkanerin.']"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"['Ich bin Monegasse.', 'Ich bin Monegassin.']"
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"['Ich bin Moldauer.', 'Ich bin Moldauerin.']"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"['Ich bin Malagasse.', 'Ich bin Malagassin.']"
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,['Ich bin Malediver.']
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"['Ich bin Mexikaner.', 'Ich bin Mexikanerin.']"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,['Ich bin Marshallese.']
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"['Ich bin Mazedonier.', 'Ich bin Mazedonierin.']"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"['Ich bin Malier.', 'Ich bin Malierin.']"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,['Ich bin Malteser.']
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"['Ich bin Burmesisch.', 'Ich bin Burmesin.', 'Ich bin Burmeser.']"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"['Ich bin Montenegriner.', 'Ich bin Montenegrinerin.']"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"['Ich bin Mongole.', 'Ich bin Mongolin.']"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"['Ich bin Mosambikaner.', 'Ich bin Mosambikanerin.']"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,['Ich bin mauretanisch.']
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"['Ich bin Mauritier.', 'Ich bin Mauritierin.']"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"['Ich bin Malawier.', 'Ich bin Malawierin.']"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"['Ich bin Malaysier.', 'Ich bin Malaysierin.']"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"['Ich bin Namibier.', 'Ich bin Namibierin.']"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,['Ich bin Nigerier.']
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"['Ich bin Nigerianer.', 'Ich bin Nigerianerin.']"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"['Ich bin Nicaraguaner.', 'Ich bin Nicaraguanerin.']"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"['Ich bin Niederländer.', 'Ich bin Niederländerin.']"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"['Ich bin Norweger.', 'Ich bin Norwegerin.']"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,['Ich bin Nepalesisch.']
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,['Ich bin Nauruaner.']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"['Ich bin Neuseeländer.', 'Ich bin Neuseeländerin.']"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"['Ich bin Omaner.', 'Ich bin Omanerin.']"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,['Ich bin Pakistani.']
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"['Ich bin Panamaner.', 'Ich bin Panamanerin.']"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"['Ich bin Peruaner.', 'Ich bin Peruanerin.']"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"['Ich bin Filipino.', 'Ich bin Filipina.']"
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,['Ich bin Palauan.']
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"['Ich bin Papua-Neuguineer.', 'Ich bin Papua-Neuguineerin.']"
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"['Ich bin Pole.', 'Ich bin Polin.']"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"['Ich bin Nordkoreaner.', 'Ich bin Nordkoreanerin.']"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"['Ich bin Portugiese.', 'Ich bin Portugiesin.']"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"['Ich bin Paraguayer.', 'Ich bin Paraguayerin.']"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"['Ich bin Katarer.', 'Ich bin Katarerin.']"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"['Ich bin Rumäne.', 'Ich bin Rumänin.']"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"['Ich bin Russe.', 'Ich bin Russin.']"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,['Ich bin Rwander.']
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"['Ich bin Saudi-Araber.', 'Ich bin Saudi-Araberin.']"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"['Ich bin Sudanese.', 'Ich bin Sudanesin.']"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"['Ich bin Senegalese.', 'Ich bin Senegalesin.']"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"['Ich bin Singaporeaner.', 'Ich bin Singaporeanerin.']"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,['Ich bin Salomonen.']
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,['Ich bin sierraleonisch.']
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"['Ich bin Salvadorianer.', 'Ich bin Salvadorianerin.']"
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,['Ich bin Sanmarineser.']
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"['Ich bin Somalier.', 'Ich bin Somalierin.']"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"['Ich bin Serbe.', 'Ich bin Serbin.']"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"['Ich bin Südsudanese.', 'Ich bin Südsudanesin.']"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,['Ich bin São-Tomeaner.']
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"['Ich bin Surinamer.', 'Ich bin Surinamerin.']"
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"['Ich bin Slowake.', 'Ich bin Slowakin.']"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"['Ich bin Slowene.', 'Ich bin Slowenin.']"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"['Ich bin Schwede.', 'Ich bin Schwedin.']"
I am Swazi.,,,Ich bin Swasi.,['Ich bin Swazi.']
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"['Ich bin Seychellois.', 'Ich bin Seychelloiserin.']"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"['Ich bin Syrer.', 'Ich bin Syrerin.']"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,['Ich bin Tschader.']
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,['Ich bin Togolese.']
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,['Ich bin Thai.']
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,['Ich bin Tadschike.']
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"['Ich bin Turkmene.', 'Ich bin Turkmenin.']"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,['Ich bin osttimoresisch.']
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,['Ich bin Tonganer.']
I am Trinidadian.,,,,"['Ich bin Trinidadier.', 'Ich bin Trinidadierin.']"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"['Ich bin Tunesier.', 'Ich bin Tunesierin.']"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"['Ich bin Türke.', 'Ich bin Türkin.']"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,['Ich bin Tuvaluer.']
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"['Ich bin Tansanier.', 'Ich bin Tansanierin.']"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,['Ich bin Ugander.']
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"['Ich bin Ukrainer.', 'Ich bin Ukrainerin.']"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"['Ich bin Uruguayer.', 'Ich bin Uruguayerin.']"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner.', 'Ich bin Amerikanerin.']"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,['Ich bin Usbekistani.']
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,['Ich bin Saint Vincentianer.']
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"['Ich bin Venezolaner.', 'Ich bin Venezolanerin.']"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"['Ich bin Vietnamesisch.', 'Ich bin Vietnamese.', 'Ich bin Vietnamesin.']"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,['Ich bin Ni-Vanuatu.']
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"['Ich bin Samoaner.', 'Ich bin Samoanerin.']"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,['Ich bin Jemenit.']
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"['Ich bin Südafrikaner.', 'Ich bin Südafrikanerin.']"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,['Ich bin Sambier.']
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"['Ich bin Simbabweaner.', 'Ich bin Simbabweanerin.']"
