eng,fra_m,fra_f,fra_n,extracted
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,['Je suis Cap-Verdien.']
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,['Je suis Costaricain.']
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,['Je suis cubain.']
I am Cypriot.,,,Je suis Chypriote.,['Je suis chypriote.']
I am Czech.,,,Je suis Tchèque.,['Je suis tchèque.']
I am German.,Je suis Allemand.,Je suis Allemande.,,['Je suis allemand.']
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,['Je suis Djibouti.']
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']"
I am Danish.,Je suis Danois.,Je suis Danoise.,,['Je suis danois.']
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,['Je suis algérien.']
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,['Je suis équatorien.']
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"['Je suis égyptien.', 'Je suis égyptienne.']"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,['Je suis érythréen.']
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"['Je suis espagnol.', 'Je suis espagnole.']"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,['Je suis estonien.']
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"['Je suis éthiopien.', 'Je suis éthiopienne.']"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,['Je suis finlandais.']
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,['Je suis fidjien.']
I am French.,Je suis Français.,Je suis Française.,,['Je suis français.']
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,['Je suis micronésien.']
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"['Je suis Gabonais.', 'Je suis Gabonaise.']"
I am British.,,,Je suis Britannique.,['Je suis britannique.']
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,['Je suis géorgien.']
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,['Je suis ghanéen.']
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,['Je suis Guinéen.']
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,['Je suis gambien.']
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,['Je suis bissau-guinéen.']
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,['Je suis équato-guinéen.']
I am Greek.,Je suis Grec.,Je suis Grecque.,,['Je suis grec.']
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,['Je suis Grenadien.']
I am Guatemalan.,,,Je suis Guatémaltèque.,['Je suis guatémaltèque.']
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,['Je suis guyanais.']
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,['Je suis hondurien.']
I am Croatian.,,,Je suis Croate.,['Je suis croate.']
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,['Je suis Haïtien.']
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,['Je suis hongrois.']
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"['Je suis indonésien.', 'Je suis indonésienne.']"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"['Je suis indien.', 'Je suis indienne.']"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"['Je suis irlandais.', 'Je suis irlandaise.']"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"['Je suis iranien.', 'Je suis iranienne.']"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"['Je suis irakien.', 'Je suis irakienne.']"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"['Je suis Islandais.', 'Je suis Islandaise.']"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"['Je suis Israélien.', 'Je suis Israélienne.']"
I am Italian.,Je suis Italien.,Je suis Italienne.,,['Je suis italien.']
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,['Je suis jamaïcain.']
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,['Je suis Jordanien.']
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,['Je suis japonais.']
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"['Je suis kazakh.', 'Je suis kazakhe.']"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,['Je suis kényan.']
I am Kirghiz.,,,Je suis Kirghize.,['Je suis kirghize.']
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"['Je suis cambodgien.', 'Je suis cambodgienne.']"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,['Je suis Kiribati.']
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,['Je suis Kittitien ou Névicien.']
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,['Je suis sud-coréen.']
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"['Je suis koweïtien.', 'Je suis koweïtienne.']"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,['Je suis Laotien.']
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"['Je suis libanais.', 'Je suis libanaise.']"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,['Je suis Libérien.']
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"['Je suis libyen.', 'Je suis libyenne.']"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"['Je suis Saint-Lucien.', 'Je suis Saint-Lucienne.']"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"['Je suis Liechtensteinois.', 'Je suis Liechtensteinoise.']"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,['Je suis Sri Lankais.']
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,['Je suis Mosotho.']
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"['Je suis lituanien.', 'Je suis lituanienne.']"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,['Je suis Luxembourgeois.']
I am Latvian.,Je suis Letton.,Je suis Lettone.,,['Je suis letton.']
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,['Je suis marocain.']
I am Monegasque.,,,Je suis Monégasque.,['Je suis monégasque.']
I am Moldovan.,,,Je suis Moldave.,['Je suis moldave.']
I am Malagasy.,,,Je suis Malgache.,['Je suis malgache.']
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,['Je suis maldivien.']
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,['Je suis mexicain.']
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,['Je suis marshalais.']
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,['Je suis macédonien.']
I am Malian.,Je suis Malien.,Je suis Malienne.,,['Je suis malien.']
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,['Je suis maltais.']
I am Burmese.,Je suis Birman.,Je suis Birmane.,,['Je suis birman.']
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"['Je suis monténégrin.', 'Je suis monténégrine.']"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,['Je suis mongol.']
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,['Je suis mozambicain.']
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,['Je suis mauritanien.']
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,['Je suis mauricien.']
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,['Je suis malawien.']
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,['Je suis malaisien.']
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,['Je suis namibien.']
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,['Je suis Nigérien.']
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,['Je suis nigérian.']
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"['Je suis nicaraguayen.', 'Je suis nicaraguayenne.']"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,['Je suis néerlandais.']
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,['Je suis norvégien.']
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,['Je suis népalais.']
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,['Je suis nauruan.']
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"['Je suis Néo-Zélandais.', 'Je suis Néo-Zélandaise.']"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,['Je suis omanais.']
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,['Je suis pakistanais.']
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,['Je suis Panaméen.']
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,['Je suis péruvien.']
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,['Je suis philippin.']
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,['Je suis palaosien.']
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"['Je suis Papouasien.', 'Je suis Papouasienne.']"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,['Je suis polonais.']
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,['Je suis nord-coréen.']
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,['Je suis portugais.']
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,['Je suis paraguayen.']
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,['Je suis qatarien.']
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,['Je suis roumain.']
I am Russian.,,,Je suis Russe.,['Je suis russe.']
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,['Je suis Rwandais.']
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"['Je suis saoudien.', 'Je suis saoudienne.']"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,['Je suis soudanais.']
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,['Je suis sénégalais.']
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,['Je suis Singapourien.']
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"['Je suis Salomonais.', 'Je suis Salomonaise.']"
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,['Je suis Sierra-Léonais.']
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,['Je suis Salvadorien.']
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"['Je suis Saint-Marinais.', 'Je suis Saint-Marinaise.']"
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"['Je suis somalien.', 'Je suis somalienne.']"
I am Serbian.,,,Je suis Serbe.,['Je suis serbe.']
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,['Je suis sud-soudanais.']
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"['Je suis Santoméen.', 'Je suis Santoméenne.']"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,['Je suis Surinamais.']
I am Slovak.,,,Je suis Slovaque.,['Je suis slovaque.']
I am Slovene.,,,Je suis Slovène.,['Je suis slovène.']
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,['Je suis suédois.']
I am Swazi.,,,Je suis Swazie.,['Je suis Swazi.']
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,['Je suis Seychellois.']
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,['Je suis syrien.']
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,['Je suis Tchadien.']
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,['Je suis Togolais.']
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"['Je suis thaïlandais.', 'Je suis thaïlandaise.']"
I am Tadzhik.,,,Je suis Tadjike.,['Je suis Tadjik.']
I am Turkmen.,,,Je suis Turkmène.,['Je suis Turkmène.']
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,['Je suis est-timorais.']
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,['Je suis tongien.']
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"['Je suis Trinidadien.', 'Je suis Trinidadienne.']"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,['Je suis Tunisien.']
I am Turkish.,Je suis Turc.,Je suis Turque.,,['Je suis turc.']
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,['Je suis tuvaluan.']
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,['Je suis Tanzanien.']
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,['Je suis ougandais.']
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"['Je suis ukrainien.', 'Je suis ukrainienne.']"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"['Je suis uruguayen.', 'Je suis uruguayenne.']"
I am American.,Je suis Américain.,Je suis Américaine.,,"['Je suis américain.', 'Je suis américaine.']"
I am Uzbekistani.,,,Je suis Ouzbèke.,['Je suis Ouzbek.']
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"['Je suis Saint-Vincentais.', 'Je suis Saint-Vincentaise.']"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"['Je suis vénézuélien.', 'Je suis vénézuélienne.']"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"['Je suis vietnamien.', 'Je suis vietnamienne.']"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,['Je suis Ni-Vanuatu.']
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,['Je suis samoan.']
I am Yemeni.,,,Je suis Yéménite.,['Je suis yéménite.']
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,['Je suis sud-africain.']
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,['Je suis zambien.']
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,['Je suis zimbabwéen.']
