eng,spa_m,spa_f,spa_n,extracted
I am South Korean.,,,Soy de la República de Corea.,['Soy surcoreano.']
I am Kuwaiti.,,,Soy kuwaití.,['Soy kuwaití.']
I am Laotian.,Soy laosiano.,Soy laosiana.,,['Soy laosiano.']
I am Lebanese.,Soy libanés.,Soy libanésa.,,"['Soy libanés.', 'Soy libanesa.']"
I am Liberian.,Soy liberiano.,Soy liberiana.,,['Soy liberiano.']
I am Libyan.,Soy libio.,Soy libia.,,"['Soy libio.', 'Soy libia.']"
I am Saint Lucian.,,,Soy santalucense.,['Soy de Santa Lucía.']
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,['Soy de Liechtenstein.']
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,['Soy de Sri Lanka.']
I am Mosotho.,,,Soy lesotense.,['Soy mosotho.']
I am Lithuanian.,Soy lituano.,Soy lituana.,,"['Soy lituano.', 'Soy lituana.']"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,['Soy luxemburgués.']
I am Latvian.,Soy letón.,,,['Soy letón.']
I am Moroccan.,,,Soy marroquí.,['Soy marroquí.']
I am Monegasque.,Soy monegasco.,Soy monegasca.,,['Yo soy monegasco.']
I am Moldovan.,Soy moldavo.,Soy moldava.,,['Soy moldavo.']
I am Malagasy.,,,Soy malgache.,['Soy malgache.']
I am Maldivan.,Soy maldivo.,Soy maldiva.,,['Soy maldivo.']
I am Mexican.,Soy mexicano.,Soy mexicana.,,"['Soy mexicano.', 'Soy mexicana.']"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,['Soy marshalés.']
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"['Soy macedonio.', 'Soy macedonia.']"
I am Malian.,,,Soy malí.,['Soy de Malí.']
I am Maltese.,Soy maltés.,Soy maltésa.,,['Soy maltés.']
I am Burmese.,,,Soy de Myanmar.,"['Soy birmano.', 'Soy birmana.']"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"['Soy montenegrino.', 'Soy montenegrina.']"
I am Mongolian.,Soy mongol.,,,['Soy mongol.']
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,['Soy mozambiqueño.']
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"['Soy mauritano.', 'Soy mauritana.']"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"['Soy mauriciano.', 'Soy mauriciana.']"
I am Malawian.,,,Soy malauí.,['Soy malauí.']
I am Malaysian.,Soy malasio.,Soy malasia.,,"['Soy malasio.', 'Soy malasia.']"
I am Namibian.,Soy namibio.,Soy namibia.,,"['Soy namibio.', 'Soy namibia.']"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,['Soy nigerino.']
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,['Soy nigeriano.']
I am Nicaraguan.,,,Soy nicaragüense.,['Soy nicaragüense.']
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"['Soy holandés.', 'Soy holandesa.']"
I am Norwegian.,Soy noruego.,Soy noruega.,,"['Soy noruego.', 'Soy noruega.']"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,['Soy nepalí.']
I am Nauruan.,Soy nauruano.,Soy nauruana.,,['Soy nauruano.']
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"['Soy neozelandés.', 'Soy neozelandesa.']"
I am Omani.,,,Soy omaní.,['Soy omaní.']
I am Pakistani.,,,Soy pakistaní.,['Soy paquistaní.']
I am Panamanian.,Soy panameño.,Soy panameña.,,['Soy panameño.']
I am Peruvian.,Soy peruano.,Soy peruana.,,"['Soy peruano.', 'Soy peruana.']"
I am Filipino.,Soy filipino.,Soy filipina.,,['Soy filipino.']
I am Palauan.,Soy palauano.,Soy palauana.,,['Soy palauano.']
I am Papua New Guinean.,,,Soy papú.,['Soy de Papúa Nueva Guinea.']
I am Polish.,Soy polaco.,Soy polaca.,,"['Soy polaco.', 'Soy polaca.']"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,['Soy norcoreano.']
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"['Soy portugués.', 'Soy portuguesa.']"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"['Soy paraguayo.', 'Soy paraguaya.']"
I am Qatari.,,,Soy qatarí.,['Yo soy qatarí.']
I am Romanian.,Soy rumano.,Soy rumana.,,"['Soy rumano.', 'Soy rumana.']"
I am Russian.,Soy ruso.,Soy rusa.,,"['Soy ruso.', 'Soy rusa.']"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"['Soy ruandés.', 'Soy ruandesa.']"
I am Saudi Arabian.,,,Soy saudí.,['Soy saudí.']
I am Sudanese.,,,Soy sudanés.,['Soy sudanés.']
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,['Soy senegalés.']
I am Singaporean.,,,Soy singapurense.,['Soy singapurense.']
I am Solomon Islander.,,,Soy salomonense.,['Yo soy de las Islas Salomón.']
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,['Soy de Sierra Leona.']
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,['Soy salvadoreño.']
I am Sammarinese.,,,Soy sanmarinense.,['Soy sanmarinense.']
I am Somali.,,,Soy somalí.,['Soy somalí.']
I am Serbian.,Soy serbio.,Soy serbia.,,['Soy serbio.']
I am South Sudanese.,,,Soy sursudanés.,['Soy sursudanés.']
I am Sao Tomean.,,,Soy santotomense.,['Soy saotomense.']
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,['Soy surinamés.']
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,['Soy eslovaco.']
I am Slovene.,Soy esloveno.,Soy eslovena.,,['Yo soy esloveno.']
I am Swedish.,Soy sueco.,Soy sueca.,,"['Soy sueco.', 'Soy sueca.']"
I am Swazi.,,,Soy esuatiní.,['Soy suazi.']
I am Seychellois.,,,Soy seychellense.,['Yo soy seychellense.']
I am Syrian.,Soy sirio.,Soy siria.,,['Soy sirio.']
I am Chadian.,Soy chadiano.,Soy chadiana.,,['Soy chadiano.']
I am Togolese.,Soy togolés.,Soy togolésa.,,['Soy togolés.']
I am Thai.,Soy tailandés.,Soy tailandésa.,,"['Soy tailandés.', 'Soy tailandesa.']"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,['Soy tayiko.']
I am Turkmen.,Soy turcomano.,Soy turcomana.,,['Soy turcomano.']
I am East Timorese.,,,Soy timorense.,['Soy timorense del este.']
I am Tongan.,Soy tongano.,Soy tongana.,,['Yo soy tongano.']
I am Trinidadian.,,,Soy trinitense.,['Yo soy trinitense.']
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"['Soy tunecino.', 'Soy tunecina.']"
I am Turkish.,Soy turco.,Soy turca.,,"['Soy turco.', 'Soy turca.']"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"['Yo soy tuvaluano.', 'Yo soy tuvaluana.']"
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"['Soy tanzano.', 'Soy tanzana.']"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,['Soy ugandés.']
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"['Soy ucraniano.', 'Soy ucraniana.']"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"['Soy uruguayo.', 'Soy uruguaya.']"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"['Soy americano.', 'Soy americana.']"
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"['Soy uzbeko.', 'Soy uzbeka.']"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"['Soy sanvicentino.', 'Soy sanvicentina.']"
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"['Soy venezolano.', 'Soy venezolana.']"
I am Vietnamese.,,,Soy vietnamita.,['Soy vietnamita.']
I am Ni-Vanuatu.,,,Soy vanuatuense.,['Yo soy ni-vanuatu.']
I am Samoan.,Soy samoano.,Soy samoana.,,"['Soy samoano.', 'Soy samoana.']"
I am Yemeni.,,,Soy yemení.,['Soy yemení.']
I am South African.,Soy sudafricano.,Soy sudafricana.,,"['Soy sudafricano.', 'Soy sudafricana.']"
I am Zambian.,Soy zambiano.,Soy zambiana.,,['Soy zambiano.']
I am Zimbabwean.,,,Soy zimbabuense.,['Soy zimbabuense.']
