eng,it_m,it_f,it_n,output
I am Belizean.,Sono beliziano.,Sono beliziana.,,"Sure! The translation of ""I am Belizean"" into Italian is ""Sono beliziano"" if you are male, or ""Sono beliziana"" if you are female."
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"Sure! The translation of ""I am Bolivian"" into Italian is ""Sono boliviano"" if you are male, or ""Sono boliviana"" if you are female."
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"Sure! The translation of ""I am Brazilian"" into Italian is ""Sono brasiliano"" if you are male, or ""Sono brasiliana"" if you are female."
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"Sure, the translation of ""I am Barbadian"" into Italian is ""Sono barbadiano"" if you are male, or ""Sono barbadiana"" if you are female."
I am Bruneian.,,,,"Sure! The translation of ""I am Bruneian"" into Italian is ""Sono bruneiano"" if you are male, or ""Sono bruneiana"" if you are female."
I am Bhutanese.,,,Sono bhutanese.,"Sure, the translation of ""I am Bhutanese"" into Italian is ""Sono bhutanese."""
I am Motswana.,Sono botswano.,Sono botswana.,,"Sure! The translation of ""I am Motswana"" into Italian is ""Sono Motswana."""
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"Sure, the translation of ""I am Central African"" into Italian is: ""Sono centroafricano."""
I am Canadian.,,,Sono canadese.,"Sure! The translation of ""I am Canadian"" into Italian is ""Sono canadese."""
I am Swiss.,Sono svizzero.,Sono svizzera.,,"Sure! The translation of ""I am Swiss"" into Italian is ""Sono svizzero"" if you are male, or ""Sono svizzera"" if you are female."
I am Chilean.,Sono cileno.,Sono cilena.,,"Sure! The translation of ""I am Chilean"" into Italian is ""Sono cileno"" if you are male, or ""Sono cilena"" if you are female."
I am Chinese.,,,Sono cinese.,"Sure! The translation of ""I am Chinese"" into Italian is ""Sono cinese."""
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"Sure, the translation of ""I am Ivorian"" into Italian is ""Sono ivoriano"" if you are male, or ""Sono ivoriana"" if you are female."
I am Cameroonian.,,,Sono camerunese.,"Sure, the translation of ""I am Cameroonian"" into Italian is ""Sono camerunense."""
I am Congolese.,,,Sono congolese.,"Sure, the translation of ""I am Congolese"" into Italian is ""Sono congolese."""
I am Congolese.,,,Sono congolese.,"Sure, the translation of ""I am Congolese"" into Italian is ""Sono congolese."""
I am Colombian.,Sono colombiano.,Sono colombiana.,,"Sure! The translation of ""I am Colombian"" into Italian is ""Sono colombiano"" if you are male, or ""Sono colombiana"" if you are female."
I am Comoran.,Sono comoriano.,Sono comoriana.,,"Sure, the translation of ""I am Comoran"" into Italian is ""Sono comoriano"" if you are male, or ""Sono comoriana"" if you are female."
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"Sure, the translation of ""I am Cape Verdian"" into Italian is ""Sono capoverdiano"" if you are male, or ""Sono capoverdiana"" if you are female."
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"Sure! The translation of ""I am Costa Rican"" into Italian is ""Sono costaricano"" if you are male, or ""Sono costaricana"" if you are female."
I am Cuban.,Sono cubano.,Sono cubana.,,"Sure! The translation of ""I am Cuban"" into Italian is ""Sono cubano"" if you are male, or ""Sono cubana"" if you are female."
I am Cypriot.,,,Sono cipriota.,"Sure! The translation of ""I am Cypriot"" into Italian is ""Sono cipriota."""
I am Czech.,Sono ceco.,Sono ceca.,,"Sure, the translation of ""I am Czech"" into Italian is ""Sono ceco."""
I am German.,Sono tedesco.,Sono tedesca.,,"Sure! The translation of ""I am German"" into Italian is ""Sono tedesco"" if you are male, or ""Sono tedesca"" if you are female."
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"Sure! The translation of ""I am Djibouti"" into Italian is ""Io sono Gibuti."""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"Sure, the translation of ""I am Dominican"" into Italian is ""Sono dominicano"" if you are male, or ""Sono dominicana"" if you are female."
I am Danish.,,,Sono danese.,"Sure! The translation of ""I am Danish"" into Italian is ""Sono danese."""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"Sure! The translation of ""I am Dominican"" into Italian is ""Sono dominicano"" if you are male, or ""Sono dominicana"" if you are female."
I am Algerian.,Sono algerino.,Sono algerina.,,"Sure! The translation of ""I am Algerian"" into Italian is ""Sono algerino"" if you are male, or ""Sono algerina"" if you are female."
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"Sure, the translation of ""I am Ecuadorean"" into Italian is ""Sono ecuadoriano"" if you are male, or ""Sono ecuadoriana"" if you are female."
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"Sure! The translation of ""I am Egyptian"" into Italian is ""Sono egiziano"" if you are male, or ""Sono egiziana"" if you are female."
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"Sure, the translation of ""I am Eritrean"" into Italian is ""Sono eritreo"" if you are male and ""Sono eritrea"" if you are female."
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"Sure! The translation of ""I am Spanish"" into Italian is ""Sono spagnolo"" if you are male, or ""Sono spagnola"" if you are female."
I am Estonian.,,,Sono estone.,"Sure, the translation of ""I am Estonian"" into Italian is ""Sono estone."""
I am Ethiopian.,,,Sono etiope.,"Certainly! The translation of ""I am Ethiopian"" into Italian is ""Sono etiope."""
I am Finnish.,,,Sono finlandese.,"Certainly! The translation of ""I am Finnish"" into Italian is ""Sono finlandese."""
I am Fijian.,Sono figiano.,Sono figiana.,,"Sure, the translation of ""I am Fijian"" into Italian is ""Sono figiano."""
I am French.,,,Sono francese.,"Sure! The translation of ""I am French"" into Italian is ""Sono francese."""
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"Sure! The translation of ""I am Micronesian"" into Italian is ""Sono micronesian."""
I am Gabonese.,,,Sono gabonese.,"Sure, the translation of ""I am Gabonese"" into Italian is ""Sono gabonese."""
I am British.,Sono britannico.,Sono britannica.,,"Sure, the translation of ""I am British"" into Italian is ""Sono britannico."" If the speaker is female, it would be ""Sono britannica."""
I am Georgian.,Sono georgiano.,Sono georgiana.,,"Sure! The translation of ""I am Georgian"" into Italian is ""Sono georgiano"" if you are male, or ""Sono georgiana"" if you are female."
I am Ghanaian.,,,Sono ghanese.,"Sure, the translation of ""I am Ghanaian"" into Italian is ""Sono ghanese."""
I am Guinean.,Sono guineano.,Sono guineana.,,"Sure, the translation of ""I am Guinean"" into Italian is ""Sono guineano"" if you are male, or ""Sono guineana"" if you are female."
I am Gambian.,Sono gambiano.,Sono gambiana.,,"Sure, the translation of ""I am Gambian"" into Italian is ""Sono gambiano"" if you are male, or ""Sono gambiana"" if you are female."
I am Guinea-Bissauan.,,,Sono guineense.,Io sono guineense.
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"Sure, the translation of ""I am Equatorial Guinean"" into Italian is ""Sono equatoguineano"" if you are male, or ""Sono equatoguineana"" if you are female."
I am Greek.,Sono greco.,Sono greca.,,"Sure! The translation of ""I am Greek"" into Italian is ""Sono greco"" if you are male, or ""Sono greca"" if you are female."
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"Sure, the translation of ""I am Grenadian"" into Italian is ""Sono grenadino"" if you are male, or ""Sono grenadina"" if you are female."
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"Sure! The translation of ""I am Guatemalan"" into Italian is ""Sono guatemalteco"" if you are male, or ""Sono guatemalteca"" if you are female."
I am Guyanese.,,,Sono guyanese.,"Sure, the translation of ""I am Guyanese"" into Italian is ""Sono guyanese."""
I am Honduran.,Sono honduregno.,Sono honduregna.,,"Sure! The translation of ""I am Honduran"" into Italian is ""Sono honduregno."""
I am Croatian.,Sono croato.,Sono croata.,,"Sure, the translation of ""I am Croatian"" into Italian is ""Sono croato"" if you are male, or ""Sono croata"" if you are female."
I am Haitian.,Sono haitiano.,Sono haitiana.,,"Sure! The translation of ""I am Haitian"" into Italian is ""Sono haitiano"" if you are male, or ""Sono haitiana"" if you are female."
I am Hungarian.,,,Sono ungherese.,"Sure, the translation of ""I am Hungarian"" into Italian is ""Sono ungherese."""
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"Sure! The translation of ""I am Indonesian"" into Italian is ""Sono indonesiano"" if you are male and ""Sono indonesiana"" if you are female."
I am Indian.,Sono indiano.,Sono indiana.,,"Sure, the translation of ""I am Indian"" into Italian is ""Sono indiano"" if you are male, or ""Sono indiana"" if you are female."
I am Irish.,,,Sono irlandese.,"Sure, the translation of ""I am Irish"" into Italian is ""Sono irlandese."""
I am Iranian.,Sono iraniano.,Sono iraniana.,,"Sure, the translation of ""I am Iranian"" into Italian is ""Sono iraniano"" if you are male, or ""Sono iraniana"" if you are female."
I am Iraqi.,Sono iracheno.,Sono irachena.,,"Sure, the translation of ""I am Iraqi"" into Italian is ""Sono iracheno"" if you are male, or ""Sono irachena"" if you are female."
I am Icelander.,,,Sono islandese.,"Sure, the translation of ""I am Icelander"" into Italian is ""Sono islandese."""
I am Israeli.,Sono israeliano.,Sono israeliana.,,"Sure, the translation of ""I am Israeli"" into Italian is ""Sono israeliano"" if you are male, or ""Sono israeliana"" if you are female."
I am Italian.,Sono italiano.,Sono italiana.,,"Sure! The translation of ""I am Italian"" into Italian is ""Sono italiano"" (if you are male) or ""Sono italiana"" (if you are female)."
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"Sure! The translation of ""I am Jamaican"" into Italian is ""Sono giamaicano."" If you are female, you would say ""Sono giamaicana."""
I am Jordanian.,Sono giordano.,Sono giordana.,,"Sure! The translation of ""I am Jordanian"" into Italian is ""Sono giordano"" if you are male, or ""Sono giordana"" if you are female."
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"Sure! The translation of ""I am Japanese"" into Italian is ""Sono giapponese."""
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"Sure, the translation of ""I am Kazakhstani"" into Italian is ""Sono kazako."""
I am Kenyan.,,,Sono keniota.,"Sure! The translation of ""I am Kenyan"" into Italian is ""Sono keniota."""
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"Sure! The translation of ""I am Kirghiz"" into Italian is ""Sono kirghiso."""
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"Sure! The translation of ""I am Cambodian"" into Italian is ""Sono cambogiano"" if you are male, or ""Sono cambogiana"" if you are female."
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"Sure, the translation of ""I am I-Kiribati"" into Italian is ""Sono kiribatese."""
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"Sure! The translation of ""I am Kittitian or Nevisian"" into Italian is ""Sono di Saint Kitts o di Nevis."""
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"Sure! The translation of ""I am South Korean"" into Italian is ""Sono sudcoreano"" if you are male, or ""Sono sudcoreana"" if you are female."
I am Kuwaiti.,,,,"Sure, the translation of ""I am Kuwaiti"" into Italian is ""Sono kuwaitiano"" if you are male, or ""Sono kuwaitiana"" if you are female."
I am Laotian.,Sono laotiano.,Sono laotiana.,,"Sure, the translation of ""I am Laotian"" into Italian is ""Sono laotiano"" if you are male, or ""Sono laotiana"" if you are female."
I am Lebanese.,,,Sono libanese.,"Sure! The translation of ""I am Lebanese"" into Italian is ""Sono libanese."""
I am Liberian.,Sono liberiano.,Sono liberiana.,,"Sure, the translation of ""I am Liberian"" into Italian is ""Sono liberiano."""
I am Libyan.,Sono libico.,Sono libica.,,"Sure, the translation of ""I am Libyan"" into Italian is ""Sono libico"" if you are male, or ""Sono libica"" if you are female."
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"Sure! The translation of ""I am Saint Lucian"" into Italian is ""Sono di Saint Lucia."""
I am Liechtensteiner.,,,Sono liechtensteinese.,"Sure, the translation of ""I am Liechtensteiner"" into Italian is ""Sono del Liechtenstein."""
I am Sri Lankan.,,,Sono sri lankese.,"Sure, the translation of ""I am Sri Lankan"" into Italian is ""Sono singalese."""
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"Sure, the translation of ""I am Mosotho"" into Italian is ""Sono mosotho."""
I am Lithuanian.,Sono lituano.,Sono lituana.,,"Sure! The translation of ""I am Lithuanian"" into Italian is ""Sono lituano"" if you are male, or ""Sono lituana"" if you are female."
I am Luxembourger.,,,Sono lussemburghese.,"Sure, the translation of ""I am Luxembourger"" into Italian is ""Sono lussemburghese."""
I am Latvian.,Sono lettone.,Sono lettona.,,"Sure, the translation of ""I am Latvian"" into Italian is ""Sono lettone."""
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"Sure, the translation of ""I am Moroccan"" into Italian is ""Sono marocchino"" if you are male, or ""Sono marocchina"" if you are female."
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"Sure, the translation of ""I am Monegasque"" into Italian is ""Sono monegasco"" if you are male, or ""Sono monegasca"" if you are female."
I am Moldovan.,Sono moldavo.,Sono moldava.,,"Sure! The translation of ""I am Moldovan"" into Italian is ""Sono moldavo"" if you are male, or ""Sono moldava"" if you are female."
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"Sure, the translation of ""I am Malagasy"" into Italian is ""Sono malgascio"" if you are male, or ""Sono malgascia"" if you are female."
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"Sure! The translation of ""I am Maldivan"" into Italian is ""Sono maldiviano."""
I am Mexican.,Sono messicano.,Sono messicana.,,"Sure! The translation of ""I am Mexican"" into Italian is ""Sono messicano"" if you are male, or ""Sono messicana"" if you are female."
I am Marshallese.,,,Sono marshallese.,"Sure, the translation of ""I am Marshallese"" into Italian is ""Sono marshalliano."""
I am Macedonian.,,,Sono macedone.,"Sure, the translation of ""I am Macedonian"" into Italian is ""Sono macedone."""
I am Malian.,Sono maliano.,Sono maliana.,,"Sure, the translation of ""I am Malian"" into Italian is ""Sono maliano"" if you are male, or ""Sono maliana"" if you are female."
I am Maltese.,,,Sono maltese.,"Sure, the translation of ""I am Maltese"" into Italian is ""Sono maltese."""
I am Burmese.,Sono birmano.,Sono birmese.,,"Sure, the translation of ""I am Burmese"" into Italian is ""Sono birmano"" if you are male, or ""Sono birmana"" if you are female."
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"Sure, the translation of ""I am Montenegrin"" into Italian is ""Sono montenegrino"" if you are male, or ""Sono montenegrina"" if you are female."
I am Mongolian.,Sono mongolo.,Sono mongola.,,"Sure! The translation of ""I am Mongolian"" into Italian is ""Sono mongolo."""
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"Sure, the translation of ""I am Mozambican"" into Italian is ""Sono mozambicano."""
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"Sure! The translation of ""I am Mauritanian"" into Italian is ""Sono mauritano"" if you are male, or ""Sono mauritana"" if you are female."
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"Sure, the translation of ""I am Mauritian"" into Italian is ""Sono mauriziano."""
I am Malawian.,Sono malawiano.,Sono malawiana.,,"Sure, the translation of ""I am Malawian"" into Italian is ""Sono malawiano"" if you are male, or ""Sono malawiana"" if you are female."
I am Malaysian.,,,Sono malese.,"Sure! The translation of ""I am Malaysian"" into Italian is ""Sono malese."""
I am Namibian.,Sono namibiano.,Sono namibiana.,,"Sure! The translation of ""I am Namibian"" into Italian is ""Sono namibiano"" if you are male, or ""Sono namibiana"" if you are female."
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"Sure, the translation of ""I am Nigerien"" into Italian is ""Sono nigerino."""
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"Sure! The translation of ""I am Nigerian"" into Italian is ""Sono nigeriano"" if you are male, or ""Sono nigeriana"" if you are female."
I am Nicaraguan.,,,Sono nicaraguense.,"Sure! The translation of ""I am Nicaraguan"" into Italian is ""Sono nicaraguense."""
I am Dutch.,,,Sono olandese.,"Sure, the translation of ""I am Dutch"" into Italian is ""Sono olandese."""
I am Norwegian.,,,Sono norvegese.,"Sure! The translation of ""I am Norwegian"" into Italian is ""Sono norvegese."""
I am Nepalese.,,,Sono nepalese.,"Sure! The translation of ""I am Nepalese"" into Italian is ""Sono nepalese."""
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"Sure, the translation of ""I am Nauruan"" into Italian is ""Sono nauruano."""
I am New Zealander.,,,Sono neozelandese.,"Sure, the translation of ""I am New Zealander"" into Italian is ""Sono neozelandese."""
I am Omani.,,,Sono omanita.,"Sure, the translation of ""I am Omani"" into Italian is ""Sono omanita."""
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"Sure! The translation of ""I am Pakistani"" into Italian is ""Sono pakistano"" if you are male, or ""Sono pakistana"" if you are female."
I am Panamanian.,,,Sono panamense.,"Sure! The translation of ""I am Panamanian"" into Italian is ""Sono panamense."""
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"Sure, the translation of ""I am Peruvian"" into Italian is ""Sono peruviano"" if you are male, or ""Sono peruviana"" if you are female."
I am Filipino.,Sono filippino.,Sono filippina.,,"Sure, the translation of ""I am Filipino"" into Italian is ""Sono filippino."""
I am Palauan.,Sono palauano.,Sono palauana.,,"Sure, the translation of ""I am Palauan"" into Italian is ""Sono palauano."""
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"Sure, the translation of ""I am Papua New Guinean"" into Italian is ""Sono papuano."""
I am Polish.,Sono polacco.,Sono polacca.,,"Sure, the translation of ""I am Polish"" into Italian is ""Sono polacco"" if you are male, or ""Sono polacca"" if you are female."
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"Sure, the translation of ""I am North Korean"" into Italian is: ""Sono nordcoreano."""
I am Portuguese.,,,Sono portoghese.,"Sure! The translation of ""I am Portuguese"" into Italian is ""Sono portoghese."""
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"Sure, the translation of ""I am Paraguayan"" into Italian is ""Sono paraguaiano"" if you are male, or ""Sono paraguaiana"" if you are female."
I am Qatari.,,,Sono qatariota.,"Sure, the translation of ""I am Qatari"" into Italian is ""Sono qatariota."""
I am Romanian.,Sono rumeno.,Sono rumena.,,"Sure! The translation of ""I am Romanian"" into Italian is ""Sono rumeno"" if you are male, or ""Sono rumena"" if you are female."
I am Russian.,Sono russo.,Sono russa.,,"Sure! The translation of ""I am Russian"" into Italian is ""Sono russo"" if you are male, or ""Sono russa"" if you are female."
I am Rwandan.,,,Sono ruandese.,"Sure, the translation of ""I am Rwandan"" into Italian is ""Sono ruandese."""
I am Saudi Arabian.,,,Sono saudita.,"Sure, the translation of ""I am Saudi Arabian"" into Italian is ""Sono saudita."""
I am Sudanese.,,,Sono sudanese.,"Sure, the translation of ""I am Sudanese"" into Italian is ""Sono sudanese."""
I am Senegalese.,,,Sono senegalese.,"Sure, the translation of ""I am Senegalese"" into Italian is ""Sono senegalese."""
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"Sure! The translation of ""I am Singaporean"" into Italian is ""Sono singaporiano"" if you are male, or ""Sono singaporiana"" if you are female."
I am Solomon Islander.,,,Sono salomonese.,"Sure, the translation of ""I am Solomon Islander"" into Italian is ""Sono delle Isole Salomone."""
I am Sierra Leonean.,,,Sono sierra leonese.,"Sure, the translation of ""I am Sierra Leonean"" into Italian is ""Sono sierraleonese."""
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"Sure! The translation of ""I am Salvadoran"" into Italian is ""Sono salvadoregno"" if you are male, or ""Sono salvadoregna"" if you are female."
I am Sammarinese.,,,Sono sammarinese.,Io sono sammarinese.
I am Somali.,Sono somalo.,Sono somala.,,"Sure! The translation of ""I am Somali"" into Italian is ""Sono somalo"" if you are male, and ""Sono somala"" if you are female."
I am Serbian.,Sono serbo.,Sono serba.,,"Sure, the translation of ""I am Serbian"" into Italian is ""Sono serbo"" if you are male, or ""Sono serba"" if you are female."
I am South Sudanese.,,,Sono sudsudanese.,"Sure, the translation of ""I am South Sudanese"" into Italian is ""Sono sud-sudanese."""
I am Sao Tomean.,,,Sono saotomense.,"Sure! The translation of ""I am Sao Tomean"" into Italian is ""Sono saotomense."""
I am Surinamer.,,,Sono surinamese.,"Sure! In Italian, you would say: ""Sono surinamese."""
I am Slovak.,Sono slovacco.,Sono slovacca.,,"Sure, the translation of ""I am Slovak"" into Italian is ""Sono slovacco"" if you are male, and ""Sono slovacca"" if you are female."
I am Slovene.,Sono sloveno.,Sono slovena.,,Io sono sloveno.
I am Swedish.,,,Sono svedese.,"Sure! The translation of ""I am Swedish"" into Italian is ""Sono svedese."""
I am Swazi.,,,Sono swazilandese.,"Sure, the translation of ""I am Swazi"" into Italian is ""Sono swazi."""
I am Seychellois.,,,Sono seicellese.,"Sure, the translation of ""I am Seychellois"" into Italian is ""Sono seicellese."""
I am Syrian.,Sono siriano.,Sono siriana.,,"Sure, the translation of ""I am Syrian"" into Italian is ""Sono siriano"" if you are male, or ""Sono siriana"" if you are female."
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"Sure, the translation of ""I am Chadian"" into Italian is ""Sono ciadiano"" if you are male, or ""Sono ciadiana"" if you are female."
I am Togolese.,,,Sono togolese.,"Sure! The translation of ""I am Togolese"" into Italian is ""Sono togolese."""
I am Thai.,,,Sono thailandese.,"Sure! The translation of ""I am Thai"" into Italian is ""Sono thailandese."""
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"Sure, the translation of ""I am Tadzhik"" into Italian is ""Sono tagiko."""
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"Sure, the translation of ""I am Turkmen"" into Italian is ""Sono turkmeno."""
I am East Timorese.,,,Sono timorese.,"Sure, the translation of ""I am East Timorese"" into Italian is ""Sono timorese orientale."""
I am Tongan.,Sono tongano.,Sono tongana.,,"Sure! The translation of ""I am Tongan"" into Italian is ""Sono tongano."""
I am Trinidadian.,,,Sono trinitense.,"Sure, the translation of ""I am Trinidadian"" into Italian is ""Sono trinidadiano"" if you are male, or ""Sono trinidadiana"" if you are female."
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"Sure, the translation of ""I am Tunisian"" into Italian is ""Sono tunisino"" if you are male, or ""Sono tunisina"" if you are female."
I am Turkish.,Sono turco.,Sono turca.,,"Sure! The translation of ""I am Turkish"" into Italian is ""Sono turco"" if you are male, or ""Sono turca"" if you are female."
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"Sure, the translation of ""I am Tuvaluan"" into Italian is ""Sono tuvaluano"" if you are male, or ""Sono tuvaluana"" if you are female."
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"Sure! The translation of ""I am Tanzanian"" into Italian is ""Sono tanzaniano."""
I am Ugandan.,,,Sono ugandese.,"Sure! The translation of ""I am Ugandan"" into Italian is ""Sono ugandese."""
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"Sure, the translation of ""I am Ukrainian"" into Italian is ""Sono ucraino"" if you are male, or ""Sono ucraina"" if you are female."
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"Sure! The translation of ""I am Uruguayan"" into Italian is ""Sono uruguaiano"" if you are male, or ""Sono uruguaiana"" if you are female."
I am American.,,,Sono statunitense.,"Sure! The translation of ""I am American"" into Italian is ""Sono americano"" (if you are male) or ""Sono americana"" (if you are female)."
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"Sure! The translation of ""I am Uzbekistani"" into Italian is ""Sono uzbeko"" if you are male, or ""Sono uzbeka"" if you are female."
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"Sure! The translation of ""I am Saint Vincentian"" into Italian is ""Sono di Saint Vincent."""
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"Sure! The translation of ""I am Venezuelan"" into Italian is ""Sono venezuelano"" if you are male, or ""Sono venezuelana"" if you are female."
I am Vietnamese.,,,Sono vietnamita.,"Sure! The translation of ""I am Vietnamese"" into Italian is ""Sono vietnamita."""
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"Certainly! The translation of ""I am Ni-Vanuatu"" into Italian is ""Sono ni-vanuatu."""
I am Samoan.,Sono samoano.,Sono samoana.,,"Sure, the translation of ""I am Samoan"" into Italian is ""Sono samoano"" if you are male, or ""Sono samoana"" if you are female."
I am Yemeni.,,,Sono yemenita.,"Sure, the translation of ""I am Yemeni"" into Italian is ""Sono yemenita."""
I am South African.,Sono sudafricano.,Sono sudafricana.,,"Sure! The translation of ""I am South African"" into Italian is ""Sono sudafricano"" if you are male, or ""Sono sudafricana"" if you are female."
I am Zambian.,Sono zambiano.,Sono zambiana.,,"Sure, the translation of ""I am Zambian"" into Italian is ""Sono zambiano"" if you are male, or ""Sono zambiana"" if you are female."
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"Sure, the translation of ""I am Zimbabwean"" into Italian is ""Sono zimbabwese."""
