name,demonym,sentence
South Sudan,South Sudanese,"{'m': None, 'f': None, 'n': 'I am South Sudanese.'}"
São Tomé and Príncipe,Sao Tomean,"{'m': None, 'f': None, 'n': 'I am Sao Tomean.'}"
Suriname,Surinamer,"{'m': None, 'f': None, 'n': 'I am Surinamer.'}"
Slovakia,Slovak,"{'m': None, 'f': None, 'n': 'I am Slovak.'}"
Slovenia,Slovene,"{'m': None, 'f': None, 'n': 'I am Slovene.'}"
Sweden,Swedish,"{'m': None, 'f': None, 'n': 'I am Swedish.'}"
Eswatini,Swazi,"{'m': None, 'f': None, 'n': 'I am Swazi.'}"
Seychelles,Seychellois,"{'m': None, 'f': None, 'n': 'I am Seychellois.'}"
Syria,Syrian,"{'m': None, 'f': None, 'n': 'I am Syrian.'}"
Chad,Chadian,"{'m': None, 'f': None, 'n': 'I am Chadian.'}"
Togo,Togolese,"{'m': None, 'f': None, 'n': 'I am Togolese.'}"
Thailand,Thai,"{'m': None, 'f': None, 'n': 'I am Thai.'}"
Tajikistan,Tadzhik,"{'m': None, 'f': None, 'n': 'I am Tadzhik.'}"
Turkmenistan,Turkmen,"{'m': None, 'f': None, 'n': 'I am Turkmen.'}"
Timor-Leste,East Timorese,"{'m': None, 'f': None, 'n': 'I am East Timorese.'}"
Tonga,Tongan,"{'m': None, 'f': None, 'n': 'I am Tongan.'}"
Trinidad and Tobago,Trinidadian,"{'m': None, 'f': None, 'n': 'I am Trinidadian.'}"
Tunisia,Tunisian,"{'m': None, 'f': None, 'n': 'I am Tunisian.'}"
Türkiye,Turkish,"{'m': None, 'f': None, 'n': 'I am Turkish.'}"
Tuvalu,Tuvaluan,"{'m': None, 'f': None, 'n': 'I am Tuvaluan.'}"
Tanzania,Tanzanian,"{'m': None, 'f': None, 'n': 'I am Tanzanian.'}"
Uganda,Ugandan,"{'m': None, 'f': None, 'n': 'I am Ugandan.'}"
Ukraine,Ukrainian,"{'m': None, 'f': None, 'n': 'I am Ukrainian.'}"
Uruguay,Uruguayan,"{'m': None, 'f': None, 'n': 'I am Uruguayan.'}"
United States,American,"{'m': None, 'f': None, 'n': 'I am American.'}"
Uzbekistan,Uzbekistani,"{'m': None, 'f': None, 'n': 'I am Uzbekistani.'}"
Saint Vincent and the Grenadines,Saint Vincentian,"{'m': None, 'f': None, 'n': 'I am Saint Vincentian.'}"
Venezuela,Venezuelan,"{'m': None, 'f': None, 'n': 'I am Venezuelan.'}"
Vietnam,Vietnamese,"{'m': None, 'f': None, 'n': 'I am Vietnamese.'}"
Vanuatu,Ni-Vanuatu,"{'m': None, 'f': None, 'n': 'I am Ni-Vanuatu.'}"
Samoa,Samoan,"{'m': None, 'f': None, 'n': 'I am Samoan.'}"
Yemen,Yemeni,"{'m': None, 'f': None, 'n': 'I am Yemeni.'}"
South Africa,South African,"{'m': None, 'f': None, 'n': 'I am South African.'}"
Zambia,Zambian,"{'m': None, 'f': None, 'n': 'I am Zambian.'}"
Zimbabwe,Zimbabwean,"{'m': None, 'f': None, 'n': 'I am Zimbabwean.'}"
