eng,deu_m,deu_f,deu_n,output
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"Sure, the translation of ""I am Chinese"" into German is: ""Ich bin Chinese."""
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,Ich bin Ivorer.
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,Ich bin Kameruner(in).
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Certainly! The translation of ""I am Congolese"" into German is ""Ich bin Kongolese"" if you are male, or ""Ich bin Kongolesin"" if you are female."
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Sure, the translation of ""I am Congolese"" into German is ""Ich bin Kongolese."""
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,I am Colombian. translates to German as: Ich bin Kolumbianer. (for a male) or Ich bin Kolumbianerin. (for a female)
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,Ich bin Komorer.
I am Cape Verdian.,,,,Ich bin Kapverdier.
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"Sure! The translation of ""I am Costa Rican"" into German is ""Ich bin Costa-Ricaner"" if you are male, or ""Ich bin Costa-Ricanerin"" if you are female."
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"Sure, the translation of ""I am Cuban"" into German is ""Ich bin Kubaner"" if you are male, or ""Ich bin Kubanerin"" if you are female."
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,Ich bin Zypriot.
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"Ich bin Tscheche. (for a male)  
Ich bin Tschechin. (for a female)"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"Ich bin Deutscher. (for a male speaker)
Ich bin Deutsche. (for a female speaker)"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"Sure, the translation of ""I am Djibouti"" into German is ""Ich bin Dschibuti."""
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"Sure! The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner."""
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"Sure, the translation of ""I am Danish"" into German is ""Ich bin Dänisch."""
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"Sure! The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner."""
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"Sure, the translation of ""I am Algerian"" into German is: ""Ich bin Algerier."""
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,Ich bin Ecuadorianer.
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,Ich bin Ägypter.
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,Ich bin Eritreer (if male) or Ich bin Eritreerin (if female).
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"Sure, the translation of ""I am Spanish"" into German is ""Ich bin Spanier"" if you are male, or ""Ich bin Spanierin"" if you are female."
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,Ich bin Este (for a male) or Ich bin Estin (for a female).
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"Sure, the translation of ""I am Ethiopian"" into German is: ""Ich bin Äthiopier"" (if you are male) or ""Ich bin Äthiopierin"" (if you are female)."
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"Ich bin Finne. (for a male)  
Ich bin Finnin. (for a female)"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,Ich bin Fidschianer.
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"Sure, the translation of ""I am French"" into German is: ""Ich bin Franzose"" (if you are male) or ""Ich bin Französin"" (if you are female)."
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,Ich bin mikronesisch.
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,Ich bin Gabuner.
I am British.,Ich bin Brite.,Ich bin  Britin.,,"Sure! The translation of ""I am British"" into German is ""Ich bin Brite"" (if you are male) or ""Ich bin Britin"" (if you are female)."
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"Sure, the translation of ""I am Georgian"" into German is ""Ich bin Georgier"" if you are male, or ""Ich bin Georgierin"" if you are female."
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,Ich bin Ghanaer.
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"""Ich bin Guineer."""
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,Ich bin Gambier.
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,Ich komme aus Guinea-Bissau.
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,Ich bin aus Äquatorialguinea.
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"Sure! The translation of ""I am Greek"" into German is ""Ich bin Grieche"" (if you are male) or ""Ich bin Griechin"" (if you are female)."
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,Ich bin Grenader.
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,Ich bin Guatemalteke.
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,Ich bin Guyaner.
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,Ich bin Honduraner.
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"Ich bin Kroate. (if you are male)  
Ich bin Kroatin. (if you are female)"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,I am Haitian. - Ich bin Haitianer.
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"Sure, the translation of ""I am Hungarian"" into German is ""Ich bin Ungar."""
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,Ich bin Indonesier (for a male) or Ich bin Indonesierin (for a female).
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"Sure! The translation of ""I am Indian"" into German is ""Ich bin Inder."""
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"Sure, the translation of ""I am Irish"" into German is: ""Ich bin Ire"" (if you are male) or ""Ich bin Irin"" (if you are female)."
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"Sure, the translation of ""I am Iranian"" into German is: ""Ich bin Iraner."""
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,Ich bin Iraker.
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,Ich bin Isländer.
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,Ich bin Israeli.
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"Ich bin Italiener. (if you are male)  
Ich bin Italienerin. (if you are female)"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"Sure! The translation of ""I am Jamaican"" into German is ""Ich bin Jamaikaner."""
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,Ich bin Jordanier.
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"Sure! The translation of ""I am Japanese"" into German is ""Ich bin Japaner."""
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,Ich bin Kasachisch.
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,Ich bin Kenianer.
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"Sure! The translation of ""I am Kirghiz"" into German is ""Ich bin Kirgise"" if you are male, or ""Ich bin Kirgisin"" if you are female."
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"Ich bin Kambodschaner. (if male)  
Ich bin Kambodschanerin. (if female)"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,Ich bin Kiribatier.
I am Kittitian or Nevisian.,,,,Ich bin Kittitianer oder Nevisianer.
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"Sure! The translation of ""I am South Korean"" into German is: ""Ich bin Südkoreaner."""
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,Ich bin Kuwaiter.
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,Ich bin Laote.
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"Ich bin Libanese. (for a male)  
Ich bin Libanesin. (for a female)"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,Ich bin Liberianer.
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,Ich bin Libyer.
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,Ich bin aus St. Lucia.
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,Ich bin Liechtensteiner.
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,Ich bin Sri Lanker.
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,Ich bin Mosotho.
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,Ich bin Litauer.
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,Ich bin Luxemburger.
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,Ich bin Lettisch.
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"Ich bin Marokkaner. (for a male)  
Ich bin Marokkanerin. (for a female)"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,Ich bin Monegasse.
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"Sure, the translation of ""I am Moldovan"" into German is ""Ich bin Moldauer."""
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,Ich bin Madagasse/Madagassin.
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,Ich bin Malediver.
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"Sure, the translation of ""I am Mexican"" into German is: ""Ich bin Mexikaner."""
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,Ich bin Marshaller.
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,Ich bin Mazedonier.
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,Ich bin Malier.
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,Ich bin Malteser.
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,Ich bin Burmese.
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,Ich bin Montenegriner (for a male) or Ich bin Montenegrinerin (for a female).
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,Ich bin Mongole.
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,Ich bin Mosambikaner.
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,I am Mauritanian. - Ich bin Mauretanier.
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,Ich bin Mauritier.
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,Ich bin Malawier.
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"Sure, the translation of ""I am Malaysian"" into German is ""Ich bin Malaysier."""
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,Ich bin Namibier.
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,Ich bin Nigerianer.
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,Ich bin Nigerianer.
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,Ich bin Nicaraguaner.
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,Ich bin Niederländer.
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,Ich bin Norweger.
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,Ich bin Nepalese.
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,Ich bin Nauruaner.
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,Ich bin Neuseeländer.
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,Ich bin Omaner.
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"Sure! The translation of ""I am Pakistani"" into German is: ""Ich bin Pakistani."""
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,I am Panamanian. - Ich bin Panamaisch.
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"Ich bin Peruaner. (if you are male)  
Ich bin Peruanerin. (if you are female)"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"Sure, the translation of ""I am Filipino"" into German is ""Ich bin Filipino."""
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,Ich bin Palauer.
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,Ich bin Papua-Neuguineer.
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,Ich bin Pole.
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,Ich bin Nordkoreaner.
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"Sure, the translation of ""I am Portuguese"" into German is: ""Ich bin Portugiese"" (if you are male) or ""Ich bin Portugiesin"" (if you are female)."
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,Ich bin Paraguayer.
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,Ich bin Katarer.
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"Ich bin Rumäne. (for a male)  
Ich bin Rumänin. (for a female)"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"Sure, the translation of ""I am Russian"" into German is: ""Ich bin Russe"" (if you are male) or ""Ich bin Russin"" (if you are female)."
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,Ich bin Ruander.
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,Ich bin Saudi-Araber.
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,Ich bin Sudanese.
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,Ich bin Senegalese.
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"Sure, the translation of ""I am Singaporean"" into German is ""Ich bin Singapurer."""
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,Ich bin Salomoneninsulaner.
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,Ich bin Sierra-Leoner(in).
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,Ich bin Salvadorianer.
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,Ich bin San-Marinesisch.
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,Ich bin Somalier.
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"Ich bin Serbe. (for a male)  
Ich bin Serbin. (for a female)"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,Ich bin Südsudanese.
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,Ich komme aus São Tomé.
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,Ich bin Surinamer.
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"Ich bin Slowake. (for a male)  
Ich bin Slowakin. (for a female)"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"Ich bin Slowene. (for a male)  
Ich bin Slowenin. (for a female)"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,I am Swedish. - Ich bin Schwedisch.
I am Swazi.,,,Ich bin Swasi.,Ich bin Swasi.
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,Ich bin Seychellois.
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,Ich bin Syrer.
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,Ich bin Tschader.
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,Ich bin Togoer.
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,Ich bin Thailänder (for male) or Ich bin Thailänderin (for female).
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,Ich bin Tadschik.
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,Ich bin Turkmenisch.
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,Ich bin Osttimoresisch.
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,Ich bin Tongaer.
I am Trinidadian.,,,,Ich bin Trinidadier.
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,Ich bin Tunesier.
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,Ich bin Türke.
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,Ich bin Tuvaluer.
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,Ich bin Tansanier.
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,Ich bin Ugander.
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"Sure, the translation of ""I am Ukrainian"" into German is ""Ich bin Ukrainer."" If you are female, you would say ""Ich bin Ukrainerin."""
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,Ich bin Uruguayer.
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"Sure, the translation of ""I am American"" into German is: ""Ich bin Amerikaner."" (if you are male) or ""Ich bin Amerikanerin."" (if you are female)."
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,Ich bin Usbeke/Usbekin.
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,Ich bin Vincentianer.
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"Sure! The translation of ""I am Venezuelan"" into German is ""Ich bin Venezolaner"" if you are male and ""Ich bin Venezolanerin"" if you are female."
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"Sure! The translation of ""I am Vietnamese"" into German is ""Ich bin Vietnamesisch."""
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,Ich bin Ni-Vanuatu.
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,Ich bin Samoaner.
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,Ich bin Jemenit.
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"Sure, the translation of ""I am South African"" into German is: ""Ich bin Südafrikaner."" (if you are male) or ""Ich bin Südafrikanerin."" (if you are female)."
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,Ich bin Sambier.
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,Ich bin Simbabwer.
