eng,it_m,it_f,it_n,output
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"The translation of ""I am Costa Rican"" into Italian is ""Sono costaricano"" (if you are male) or ""Sono costaricana"" (if you are female)."
I am Cuban.,Sono cubano.,Sono cubana.,,"The translation of ""I am Cuban"" into Italian is ""Sono cubano"" (if you are male) or ""Sono cubana"" (if you are female)."
I am Cypriot.,,,Sono cipriota.,"The translation of ""I am Cypriot"" into Italian is ""Sono cipriota."""
I am Czech.,Sono ceco.,Sono ceca.,,"The translation of ""I am Czech"" into Italian is ""Sono ceco"" (if you are male) or ""Sono ceca"" (if you are female)."
I am German.,Sono tedesco.,Sono tedesca.,,"The translation of ""I am German"" into Italian is ""Io sono tedesco"" (if you are male) or ""Io sono tedesca"" (if you are female)."
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"The translation of ""I am Djibouti"" into Italian is ""Io sono Gibuti."""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The translation of ""I am Dominican"" into Italian is ""Sono dominicano"" if you are male, or ""Sono dominicana"" if you are female."
I am Danish.,,,Sono danese.,"The translation of ""I am Danish"" into Italian is ""Sono danese."""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The translation of ""I am Dominican"" into Italian is ""Sono dominicano"" (if you are male) or ""Sono dominicana"" (if you are female)."
I am Algerian.,Sono algerino.,Sono algerina.,,"The translation of ""I am Algerian"" into Italian is ""Sono algerino"" (if you are male) or ""Sono algerina"" (if you are female)."
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"The translation of ""I am Ecuadorean"" into Italian is ""Sono ecuadoriano"" (if you are male) or ""Sono ecuadoriana"" (if you are female)."
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"The translation of ""I am Egyptian"" into Italian is ""Sono egiziano"" (if you are male) or ""Sono egiziana"" (if you are female)."
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"The translation of ""I am Eritrean"" into Italian is ""Sono eritreo"" (if you are male) or ""Sono eritrea"" (if you are female)."
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"The translation of ""I am Spanish"" into Italian is ""Sono spagnolo"" (if you are male) or ""Sono spagnola"" (if you are female)."
I am Estonian.,,,Sono estone.,"The translation of ""I am Estonian"" into Italian is ""Sono estone."""
I am Ethiopian.,,,Sono etiope.,"The translation of ""I am Ethiopian"" into Italian is ""Sono etiope."""
I am Finnish.,,,Sono finlandese.,"The translation of ""I am Finnish"" into Italian is ""Sono finlandese."""
I am Fijian.,Sono figiano.,Sono figiana.,,"The translation of ""I am Fijian"" into Italian is ""Sono figiano"" (if you are male) or ""Sono figiana"" (if you are female)."
I am French.,,,Sono francese.,"The translation of ""I am French"" into Italian is ""Io sono francese."""
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"The translation of ""I am Micronesian"" into Italian is ""Sono micronesiano"" (if you are male) or ""Sono micronesiana"" (if you are female)."
I am Gabonese.,,,Sono gabonese.,"The translation of ""I am Gabonese"" into Italian is ""Sono gabonese."""
I am British.,Sono britannico.,Sono britannica.,,"The translation of ""I am British"" into Italian is ""Sono britannico"" (if you are male) or ""Sono britannica"" (if you are female)."
I am Georgian.,Sono georgiano.,Sono georgiana.,,"The translation of ""I am Georgian"" into Italian is ""Sono georgiano"" (if you are male) or ""Sono georgiana"" (if you are female)."
I am Ghanaian.,,,Sono ghanese.,"The translation of ""I am Ghanaian"" into Italian is ""Sono ghanese."""
I am Guinean.,Sono guineano.,Sono guineana.,,"The translation of ""I am Guinean"" into Italian is ""Sono guineano"" if you are male, or ""Sono guineana"" if you are female."
I am Gambian.,Sono gambiano.,Sono gambiana.,,"The translation of ""I am Gambian"" into Italian is ""Sono gambiano"" (if you are male) or ""Sono gambiana"" (if you are female)."
I am Guinea-Bissauan.,,,Sono guineense.,"The translation of ""I am Guinea-Bissauan"" into Italian is ""Sono guineano-bissauense."""
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"The translation of ""I am Equatorial Guinean"" into Italian is ""Sono guineano equatoriale."""
I am Greek.,Sono greco.,Sono greca.,,"The translation of ""I am Greek"" into Italian is ""Sono greco"" if you are male, and ""Sono greca"" if you are female."
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"The translation of ""I am Grenadian"" into Italian is ""Sono grenadino"" (if you are male) or ""Sono grenadina"" (if you are female)."
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"The translation of ""I am Guatemalan"" into Italian is ""Sono guatemalteco"" if you are male, or ""Sono guatemalteca"" if you are female."
I am Guyanese.,,,Sono guyanese.,"The translation of ""I am Guyanese"" into Italian is ""Sono guyanese."""
I am Honduran.,Sono honduregno.,Sono honduregna.,,"The translation of ""I am Honduran"" into Italian is ""Sono honduregno"" (if you are male) or ""Sono honduregna"" (if you are female)."
I am Croatian.,Sono croato.,Sono croata.,,"The translation of ""I am Croatian"" into Italian is ""Sono croato"" (if you are male) or ""Sono croata"" (if you are female)."
I am Haitian.,Sono haitiano.,Sono haitiana.,,"The translation of ""I am Haitian"" into Italian is ""Sono haitiano"" if you are male, or ""Sono haitiana"" if you are female."
I am Hungarian.,,,Sono ungherese.,"The translation of ""I am Hungarian"" into Italian is ""Sono ungherese."""
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"The translation of ""I am Indonesian"" into Italian is ""Sono indonesiano"" (if you are male) or ""Sono indonesiana"" (if you are female)."
I am Indian.,Sono indiano.,Sono indiana.,,"The translation of ""I am Indian"" into Italian is ""Sono indiano"" (if you are male) or ""Sono indiana"" (if you are female)."
I am Irish.,,,Sono irlandese.,"The translation of ""I am Irish"" into Italian is ""Sono irlandese."""
I am Iranian.,Sono iraniano.,Sono iraniana.,,"The translation of ""I am Iranian"" into Italian is ""Sono iraniano"" (if you are male) or ""Sono iraniana"" (if you are female)."
I am Iraqi.,Sono iracheno.,Sono irachena.,,"The translation of ""I am Iraqi"" into Italian is ""Sono iracheno"" (if you are male) or ""Sono irachena"" (if you are female)."
I am Icelander.,,,Sono islandese.,"The translation of ""I am Icelander"" into Italian is ""Sono islandese."""
I am Israeli.,Sono israeliano.,Sono israeliana.,,"The translation of ""I am Israeli"" into Italian is ""Sono israeliano"" (if you are male) or ""Sono israeliana"" (if you are female)."
I am Italian.,Sono italiano.,Sono italiana.,,"The translation of ""I am Italian"" into Italian is ""Io sono italiano"" (if you are male) or ""Io sono italiana"" (if you are female)."
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"The translation of ""I am Jamaican"" into Italian is ""Sono giamaicano"" (if you are male) or ""Sono giamaicana"" (if you are female)."
I am Jordanian.,Sono giordano.,Sono giordana.,,"The translation of ""I am Jordanian"" into Italian is ""Sono giordano"" (if you are male) or ""Sono giordana"" (if you are female)."
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"The translation of ""I am Japanese"" into Italian is ""Sono giapponese."""
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"The translation of ""I am Kazakhstani"" into Italian is ""Sono kazako."" (if you are male) or ""Sono kazaka."" (if you are female)."
I am Kenyan.,,,Sono keniota.,"The translation of ""I am Kenyan"" into Italian is ""Sono keniota."""
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"The translation of ""I am Kirghiz"" into Italian is ""Sono kirghizo"" (if you are male) or ""Sono kirghiza"" (if you are female)."
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"The translation of ""I am Cambodian"" into Italian is ""Sono cambogiano"" if you are male, or ""Sono cambogiana"" if you are female."
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"The translation of ""I am I-Kiribati"" into Italian is ""Io sono I-Kiribati."""
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"The translation of ""I am Kittitian or Nevisian"" into Italian is ""Sono di Saint Kitts o di Nevis."""
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"The translation of ""I am South Korean"" into Italian is ""Sono sudcoreano"" (if you are male) or ""Sono sudcoreana"" (if you are female)."
I am Kuwaiti.,,,,"The translation of ""I am Kuwaiti"" into Italian is ""Sono kuwaitiano"" (for a male) or ""Sono kuwaitiana"" (for a female)."
I am Laotian.,Sono laotiano.,Sono laotiana.,,"The translation of ""I am Laotian"" into Italian is ""Sono laotiano"" (if you are male) or ""Sono laotiana"" (if you are female)."
I am Lebanese.,,,Sono libanese.,"The translation of ""I am Lebanese"" into Italian is ""Sono libanese."""
I am Liberian.,Sono liberiano.,Sono liberiana.,,"The translation of ""I am Liberian"" into Italian is ""Sono liberiano"" (if you are male) or ""Sono liberiana"" (if you are female)."
I am Libyan.,Sono libico.,Sono libica.,,"The translation of ""I am Libyan"" into Italian is ""Sono libico"" (if you are male) or ""Sono libica"" (if you are female)."
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"The translation of ""I am Saint Lucian"" into Italian is ""Sono di Saint Lucia."""
I am Liechtensteiner.,,,Sono liechtensteinese.,"The translation of ""I am Liechtensteiner"" into Italian is ""Sono liechtensteinese."""
I am Sri Lankan.,,,Sono sri lankese.,"The translation of ""I am Sri Lankan"" into Italian is ""Sono dello Sri Lanka."""
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"The translation of ""I am Mosotho"" into Italian is ""Sono Mosotho."""
I am Lithuanian.,Sono lituano.,Sono lituana.,,"The translation of ""I am Lithuanian"" into Italian is ""Sono lituano"" (if you are male) or ""Sono lituana"" (if you are female)."
I am Luxembourger.,,,Sono lussemburghese.,"The translation of ""I am Luxembourger"" into Italian is ""Sono lussemburghese."""
I am Latvian.,Sono lettone.,Sono lettona.,,"The translation of ""I am Latvian"" into Italian is ""Sono lettone."""
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"The translation of ""I am Moroccan"" into Italian is ""Sono marocchino"" if you are male, and ""Sono marocchina"" if you are female."
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"The translation of ""I am Monegasque"" into Italian is ""Sono monegasco"" (if you are male) or ""Sono monegasca"" (if you are female)."
I am Moldovan.,Sono moldavo.,Sono moldava.,,"The translation of ""I am Moldovan"" into Italian is ""Sono moldavo"" (if you are male) or ""Sono moldava"" (if you are female)."
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"The translation of ""I am Malagasy"" into Italian is ""Sono malgascio"" (if you are male) or ""Sono malgascia"" (if you are female)."
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"The translation of ""I am Maldivan"" into Italian is ""Sono maldiviano."""
I am Mexican.,Sono messicano.,Sono messicana.,,"The translation of ""I am Mexican"" into Italian is ""Sono messicano"" (if you are male) or ""Sono messicana"" (if you are female)."
I am Marshallese.,,,Sono marshallese.,"The translation of ""I am Marshallese"" into Italian is ""Sono marshallese."""
I am Macedonian.,,,Sono macedone.,"The translation of ""I am Macedonian"" into Italian is ""Sono macedone."""
I am Malian.,Sono maliano.,Sono maliana.,,"The translation of ""I am Malian"" into Italian is ""Sono maliano"" (if you are male) or ""Sono maliana"" (if you are female)."
I am Maltese.,,,Sono maltese.,"The translation of ""I am Maltese"" into Italian is ""Sono maltese."""
I am Burmese.,Sono birmano.,Sono birmese.,,"The translation of ""I am Burmese"" into Italian is ""Sono birmano"" (if you are male) or ""Sono birmana"" (if you are female)."
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"The translation of ""I am Montenegrin"" into Italian is ""Sono montenegrino"" (if you are male) or ""Sono montenegrina"" (if you are female)."
I am Mongolian.,Sono mongolo.,Sono mongola.,,"The translation of ""I am Mongolian"" into Italian is ""Sono mongolo."""
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"The translation of ""I am Mozambican"" into Italian is ""Sono mozambicano"" (if you are male) or ""Sono mozambicana"" (if you are female)."
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"The translation of ""I am Mauritanian"" into Italian is ""Sono mauritano"" (if you are male) or ""Sono mauritana"" (if you are female)."
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"The translation of ""I am Mauritian"" into Italian is ""Sono mauriziano"" (if you are male) or ""Sono mauriziana"" (if you are female)."
I am Malawian.,Sono malawiano.,Sono malawiana.,,"The translation of ""I am Malawian"" into Italian is ""Sono malawiano"" (if you are male) or ""Sono malawiana"" (if you are female)."
I am Malaysian.,,,Sono malese.,"The translation of ""I am Malaysian"" into Italian is ""Sono malese."""
I am Namibian.,Sono namibiano.,Sono namibiana.,,"The translation of ""I am Namibian"" into Italian is ""Sono namibiano"" (if you are male) or ""Sono namibiana"" (if you are female)."
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"The translation of ""I am Nigerien"" into Italian is ""Sono nigerino"" if you are male, or ""Sono nigerina"" if you are female."
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"The translation of ""I am Nigerian"" into Italian is ""Sono nigeriano"" (if you are male) or ""Sono nigeriana"" (if you are female)."
I am Nicaraguan.,,,Sono nicaraguense.,"The translation of ""I am Nicaraguan"" into Italian is ""Sono nicaraguense."""
I am Dutch.,,,Sono olandese.,"The translation of ""I am Dutch"" into Italian is ""Sono olandese."""
I am Norwegian.,,,Sono norvegese.,"The translation of ""I am Norwegian"" into Italian is ""Sono norvegese."""
I am Nepalese.,,,Sono nepalese.,"The translation of ""I am Nepalese"" into Italian is ""Sono nepalese."""
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"The translation of ""I am Nauruan"" into Italian is ""Sono nauruano."""
I am New Zealander.,,,Sono neozelandese.,"The translation of ""I am New Zealander"" into Italian is ""Sono neozelandese."""
I am Omani.,,,Sono omanita.,"The translation of ""I am Omani"" into Italian is ""Sono omanita."""
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"The translation of ""I am Pakistani"" into Italian is ""Sono pakistano"" (if you are male) or ""Sono pakistana"" (if you are female)."
I am Panamanian.,,,Sono panamense.,"The translation of ""I am Panamanian"" into Italian is ""Sono panamense."""
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"The translation of ""I am Peruvian"" into Italian is ""Sono peruviano"" (if you are male) or ""Sono peruviana"" (if you are female)."
I am Filipino.,Sono filippino.,Sono filippina.,,"The translation of ""I am Filipino"" into Italian is ""Sono filippino"" (if you are male) or ""Sono filippina"" (if you are female)."
I am Palauan.,Sono palauano.,Sono palauana.,,"The translation of ""I am Palauan"" into Italian is ""Sono palauano"" (if you are male) or ""Sono palauana"" (if you are female)."
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"The translation of ""I am Papua New Guinean"" into Italian is ""Sono papuano."" If you are female, you would say ""Sono papuana."""
I am Polish.,Sono polacco.,Sono polacca.,,"The translation of ""I am Polish"" into Italian is ""Sono polacco"" (if you are male) or ""Sono polacca"" (if you are female)."
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"The translation of ""I am North Korean"" into Italian is ""Sono nordcoreano"" (if you are male) or ""Sono nordcoreana"" (if you are female)."
I am Portuguese.,,,Sono portoghese.,"The translation of ""I am Portuguese"" into Italian is ""Sono portoghese."""
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"The translation of ""I am Paraguayan"" into Italian is ""Sono paraguaiano"" (if you are male) or ""Sono paraguaiana"" (if you are female)."
I am Qatari.,,,Sono qatariota.,"The translation of ""I am Qatari"" into Italian is ""Sono qatariota."""
I am Romanian.,Sono rumeno.,Sono rumena.,,"The translation of ""I am Romanian"" into Italian is ""Sono rumeno"" if you are male, or ""Sono rumena"" if you are female."
I am Russian.,Sono russo.,Sono russa.,,"The translation of ""I am Russian"" into Italian is ""Sono russo"" if you are male, and ""Sono russa"" if you are female."
I am Rwandan.,,,Sono ruandese.,"The translation of ""I am Rwandan"" into Italian is ""Sono ruandese."""
I am Saudi Arabian.,,,Sono saudita.,"The translation of ""I am Saudi Arabian"" into Italian is ""Sono saudita."""
I am Sudanese.,,,Sono sudanese.,"The translation of ""I am Sudanese"" into Italian is ""Sono sudanese."""
I am Senegalese.,,,Sono senegalese.,"The translation of ""I am Senegalese"" into Italian is ""Sono senegalese."""
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"The translation of ""I am Singaporean"" into Italian is ""Sono singaporiano"" (if you are male) or ""Sono singaporiana"" (if you are female)."
I am Solomon Islander.,,,Sono salomonese.,"The translation of ""I am Solomon Islander"" into Italian is ""Sono delle Isole Salomone."""
I am Sierra Leonean.,,,Sono sierra leonese.,"The translation of ""I am Sierra Leonean"" into Italian is ""Sono sierraleonese."""
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"The translation of ""I am Salvadoran"" into Italian is ""Sono salvadoregno"" (if you are male) or ""Sono salvadoregna"" (if you are female)."
I am Sammarinese.,,,Sono sammarinese.,"The translation of ""I am Sammarinese"" into Italian is ""Sono sammarinese."""
I am Somali.,Sono somalo.,Sono somala.,,"The translation of ""I am Somali"" into Italian is ""Sono somalo"" if you are male, and ""Sono somala"" if you are female."
I am Serbian.,Sono serbo.,Sono serba.,,"The translation of ""I am Serbian"" into Italian is ""Sono serbo"" (if you are male) or ""Sono serba"" (if you are female)."
I am South Sudanese.,,,Sono sudsudanese.,"The translation of ""I am South Sudanese"" into Italian is ""Sono sudsudanese."""
I am Sao Tomean.,,,Sono saotomense.,"The translation of ""I am Sao Tomean"" into Italian is ""Sono São Tomense."""
I am Surinamer.,,,Sono surinamese.,"The translation of ""I am Surinamer"" into Italian is ""Sono surinamese."""
I am Slovak.,Sono slovacco.,Sono slovacca.,,"The translation of ""I am Slovak"" into Italian is ""Sono slovacco"" (if you are male) or ""Sono slovacca"" (if you are female)."
I am Slovene.,Sono sloveno.,Sono slovena.,,"The translation of ""I am Slovene"" into Italian is ""Sono sloveno"" (if you are male) or ""Sono slovena"" (if you are female)."
I am Swedish.,,,Sono svedese.,"The translation of ""I am Swedish"" into Italian is ""Sono svedese."""
I am Swazi.,,,Sono swazilandese.,"The translation of ""I am Swazi"" into Italian is ""Sono swazi."""
I am Seychellois.,,,Sono seicellese.,"The translation of ""I am Seychellois"" into Italian is ""Sono delle Seychelles."""
I am Syrian.,Sono siriano.,Sono siriana.,,"The translation of ""I am Syrian"" into Italian is ""Sono siriano"" (if you are male) or ""Sono siriana"" (if you are female)."
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"The translation of ""I am Chadian"" into Italian is ""Sono ciadiano"" if you are male, or ""Sono ciadiana"" if you are female."
I am Togolese.,,,Sono togolese.,"The translation of ""I am Togolese"" into Italian is ""Sono togolese."""
I am Thai.,,,Sono thailandese.,"The translation of ""I am Thai"" into Italian is ""Sono thailandese."""
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"The translation of ""I am Tadzhik"" into Italian is ""Io sono tadžiko."""
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"The translation of ""I am Turkmen"" into Italian is ""Sono turkmeno."""
I am East Timorese.,,,Sono timorese.,"The translation of ""I am East Timorese"" into Italian is ""Sono timorense."""
I am Tongan.,Sono tongano.,Sono tongana.,,"The translation of ""I am Tongan"" into Italian is ""Sono tongano."""
I am Trinidadian.,,,Sono trinitense.,"The translation of ""I am Trinidadian"" into Italian is ""Sono trinidadense."""
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"The translation of ""I am Tunisian"" into Italian is ""Sono tunisino"" (if you are male) or ""Sono tunisina"" (if you are female)."
I am Turkish.,Sono turco.,Sono turca.,,"The translation of ""I am Turkish"" into Italian is ""Sono turco"" (if you are male) or ""Sono turca"" (if you are female)."
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"The translation of ""I am Tuvaluan"" into Italian is ""Sono tuvaluano"" (if you are male) or ""Sono tuvaluana"" (if you are female)."
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"The translation of ""I am Tanzanian"" into Italian is ""Sono tanzaniano"" (if you are male) or ""Sono tanzaniana"" (if you are female)."
I am Ugandan.,,,Sono ugandese.,"The translation of ""I am Ugandan"" into Italian is ""Sono ugandese."""
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"The translation of ""I am Ukrainian"" into Italian is ""Sono ucraino"" (if you are male) or ""Sono ucraina"" (if you are female)."
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"The translation of ""I am Uruguayan"" into Italian is ""Sono uruguaiano"" (if you are male) or ""Sono uruguaiana"" (if you are female)."
I am American.,,,Sono statunitense.,"The translation of ""I am American"" into Italian is ""Sono americano"" (if you are male) or ""Sono americana"" (if you are female)."
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"The translation of ""I am Uzbekistani"" into Italian is ""Sono uzbeco"" (if you are male) or ""Sono uzbeca"" (if you are female)."
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"The translation of ""I am Saint Vincentian"" into Italian is ""Sono di Saint Vincent."""
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"The translation of ""I am Venezuelan"" into Italian is ""Sono venezuelano"" if you are male, or ""Sono venezuelana"" if you are female."
I am Vietnamese.,,,Sono vietnamita.,"The translation of ""I am Vietnamese"" into Italian is ""Sono vietnamita."""
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"The translation of ""I am Ni-Vanuatu"" into Italian is ""Sono Ni-Vanuatu."""
I am Samoan.,Sono samoano.,Sono samoana.,,"The translation of ""I am Samoan"" into Italian is ""Sono samoano"" (if you are male) or ""Sono samoana"" (if you are female)."
I am Yemeni.,,,Sono yemenita.,"The translation of ""I am Yemeni"" into Italian is ""Sono yemenita."""
I am South African.,Sono sudafricano.,Sono sudafricana.,,"The translation of ""I am South African"" into Italian is ""Sono sudafricano"" (if you are male) or ""Sono sudafricana"" (if you are female)."
I am Zambian.,Sono zambiano.,Sono zambiana.,,"The translation of ""I am Zambian"" into Italian is ""Sono zambiano"" (if you are male) or ""Sono zambiana"" (if you are female)."
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"The translation of ""I am Zimbabwean"" into Italian is ""Sono zimbabwese."""
