name,demonym,sentence
Azerbaijan,Azerbaijani,"{'eng': {'m': None, 'f': None, 'n': 'I am Azerbaijani.'}, 'fra': {'m': 'Je suis Azerbaïdjanais.', 'f': 'Je suis Azerbaïdjanaise.', 'n': None}, 'spa': {'m': 'Soy azerbaiyano.', 'f': 'Soy azerbaiyana.', 'n': None}, 'deu': {'m': 'Ich bin Aserbaidschaner.', 'f': 'Ich bin  Aserbaidschanerin.', 'n': None}, 'it': {'m': 'Sono azero.', 'f': 'Sono azera.', 'n': None}}"
Burundi,Burundian,"{'eng': {'m': None, 'f': None, 'n': 'I am Burundian.'}, 'fra': {'m': 'Je suis Burundais.', 'f': 'Je suis Burundaise.', 'n': None}, 'spa': {'m': 'Soy burundés.', 'f': 'Soy burundésa.', 'n': None}, 'deu': {'m': 'Ich bin Burundier.', 'f': 'Ich bin Burundierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono burundese.'}}"
Belgium,Belgian,"{'eng': {'m': None, 'f': None, 'n': 'I am Belgian.'}, 'fra': {'m': 'Je suis Belge.', 'f': 'Je suis Belge.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy belga.'}, 'deu': {'m': 'Ich bin Belgier.', 'f': 'Ich bin Belgierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono belga.'}}"
Benin,Beninese,"{'eng': {'m': None, 'f': None, 'n': 'I am Beninese.'}, 'fra': {'m': 'Je suis Béninois.', 'f': 'Je suis Béninoise.', 'n': None}, 'spa': {'m': 'Soy beninés.', 'f': 'Soy beninésa.', 'n': None}, 'deu': {'m': 'Ich bin Beniner.', 'f': 'Ich bin  Beninerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono beninese.'}}"
Burkina Faso,Burkinabe,"{'eng': {'m': None, 'f': None, 'n': 'I am Burkinabe.'}, 'fra': {'m': 'Je suis Burkinabé.', 'f': 'Je suis Burkinabée.', 'n': None}, 'spa': {'m': 'Soy burkinés.', 'f': 'Soy burkinésa.', 'n': None}, 'deu': {'m': 'Ich bin Burkiner.', 'f': 'Ich bin  Burkinerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': None}}"
Bangladesh,Bangladeshi,"{'eng': {'m': None, 'f': None, 'n': 'I am Bangladeshi.'}, 'fra': {'m': 'Je suis Bangladais.', 'f': 'Je suis Bangladaise.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy bangladesí.'}, 'deu': {'m': 'Ich bin Bangladescher.', 'f': 'Ich bin  Bangladescherin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono bangladese.'}}"
Bulgaria,Bulgarian,"{'eng': {'m': None, 'f': None, 'n': 'I am Bulgarian.'}, 'fra': {'m': 'Je suis Bulgare.', 'f': 'Je suis Bulgare.', 'n': None}, 'spa': {'m': 'Soy búlgaro.', 'f': 'Soy búlgara.', 'n': None}, 'deu': {'m': 'Ich bin Bulgare.', 'f': 'Ich bin  Bulgarin.', 'n': None}, 'it': {'m': 'Sono bulgaro.', 'f': 'Sono bulgara.', 'n': None}}"
Bahrain,Bahraini,"{'eng': {'m': None, 'f': None, 'n': 'I am Bahraini.'}, 'fra': {'m': 'Je suis Bahreïnien.', 'f': 'Je suis Bahreïnienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy bareiní.'}, 'deu': {'m': 'Ich bin Bahrainer.', 'f': 'Ich bin  Bahrainerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono bahreinita.'}}"
Bahamas,Bahamian,"{'eng': {'m': None, 'f': None, 'n': 'I am Bahamian.'}, 'fra': {'m': 'Je suis Bahamien.', 'f': 'Je suis Bahamienne.', 'n': None}, 'spa': {'m': 'Soy bahameño.', 'f': 'Soy bahameña.', 'n': None}, 'deu': {'m': 'Ich bin Bahamaer.', 'f': 'Ich bin  Bahamaerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono bahamense.'}}"
Bosnia and Herzegovina,Bosnian,"{'eng': {'m': None, 'f': None, 'n': 'I am Bosnian.'}, 'fra': {'m': 'Je suis Bosnien.', 'f': 'Je suis Bosnienne.', 'n': None}, 'spa': {'m': 'Soy bosnioherzegovino.', 'f': 'Soy bosnioherzegovina.', 'n': None}, 'deu': {'m': 'Ich bin Bosnier.', 'f': 'Ich bin  Bosnierin.', 'n': None}, 'it': {'m': 'Sono bosniaco.', 'f': 'Sono bosniaca.', 'n': None}}"
Belarus,Belarusian,"{'eng': {'m': None, 'f': None, 'n': 'I am Belarusian.'}, 'fra': {'m': 'Je suis Biélorusse.', 'f': 'Je suis Biélorusse.', 'n': None}, 'spa': {'m': 'Soy bielorruso.', 'f': 'Soy bielorrusa.', 'n': None}, 'deu': {'m': 'Ich bin Belarusse.', 'f': 'Ich bin  Belarussin.', 'n': None}, 'it': {'m': 'Sono bielorusso.', 'f': 'Sono bielorussa.', 'n': None}}"
Belize,Belizean,"{'eng': {'m': None, 'f': None, 'n': 'I am Belizean.'}, 'fra': {'m': 'Je suis Bélizien.', 'f': 'Je suis Bélizienne.', 'n': None}, 'spa': {'m': 'Soy beliceño.', 'f': 'Soy beliceña.', 'n': None}, 'deu': {'m': 'Ich bin Belizer.', 'f': 'Ich bin  Belizerin.', 'n': None}, 'it': {'m': 'Sono beliziano.', 'f': 'Sono beliziana.', 'n': None}}"
Bolivia,Bolivian,"{'eng': {'m': None, 'f': None, 'n': 'I am Bolivian.'}, 'fra': {'m': 'Je suis Bolivien.', 'f': 'Je suis Bolivienne.', 'n': None}, 'spa': {'m': 'Soy boliviano.', 'f': 'Soy boliviana.', 'n': None}, 'deu': {'m': 'Ich bin Bolivianer.', 'f': 'Ich bin  Bolivianerin.', 'n': None}, 'it': {'m': 'Sono boliviano.', 'f': 'Sono boliviana.', 'n': None}}"
Brazil,Brazilian,"{'eng': {'m': None, 'f': None, 'n': 'I am Brazilian.'}, 'fra': {'m': 'Je suis Brésilien.', 'f': 'Je suis Brésilienne.', 'n': None}, 'spa': {'m': 'Soy brasileño.', 'f': 'Soy brasileña.', 'n': None}, 'deu': {'m': 'Ich bin Brasilianer.', 'f': 'Ich bin  Brasilianerin.', 'n': None}, 'it': {'m': 'Sono brasiliano.', 'f': 'Sono brasiliana.', 'n': None}}"
Barbados,Barbadian,"{'eng': {'m': None, 'f': None, 'n': 'I am Barbadian.'}, 'fra': {'m': 'Je suis Barbadien.', 'f': 'Je suis Barbadienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy barbadense.'}, 'deu': {'m': 'Ich bin Barbadier.', 'f': 'Ich bin  Barbadierin.', 'n': None}, 'it': {'m': 'Sono barbadiano.', 'f': 'Sono barbadiana.', 'n': None}}"
Brunei,Bruneian,"{'eng': {'m': None, 'f': None, 'n': 'I am Bruneian.'}, 'fra': {'m': 'Je suis Brunéien.', 'f': 'Je suis Brunéienne.', 'n': None}, 'spa': {'m': 'Soy bruneano.', 'f': 'Soy bruneana.', 'n': None}, 'deu': {'m': 'Ich bin Bruneier.', 'f': 'Ich bin  Bruneierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': None}}"
Bhutan,Bhutanese,"{'eng': {'m': None, 'f': None, 'n': 'I am Bhutanese.'}, 'fra': {'m': 'Je suis Bhoutanais.', 'f': 'Je suis Bhoutanaise.', 'n': None}, 'spa': {'m': 'Soy butanés.', 'f': 'Soy butanésa.', 'n': None}, 'deu': {'m': 'Ich bin Bhutaner.', 'f': 'Ich bin  Bhutanerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono bhutanese.'}}"
Botswana,Motswana,"{'eng': {'m': None, 'f': None, 'n': 'I am Motswana.'}, 'fra': {'m': 'Je suis Botswanais.', 'f': 'Je suis Botswanaise.', 'n': None}, 'spa': {'m': 'Soy botsuano.', 'f': 'Soy botsuana.', 'n': None}, 'deu': {'m': 'Ich bin Botsuaner.', 'f': 'Ich bin  Botsuanerin.', 'n': None}, 'it': {'m': 'Sono botswano.', 'f': 'Sono botswana.', 'n': None}}"
Central African Republic,Central African,"{'eng': {'m': None, 'f': None, 'n': 'I am Central African.'}, 'fra': {'m': 'Je suis Centrafricain.', 'f': 'Je suis Centrafricaine.', 'n': None}, 'spa': {'m': 'Soy centroafricano.', 'f': 'Soy centroafricana.', 'n': None}, 'deu': {'m': 'Ich bin Zentralafrikaner.', 'f': 'Ich bin  Zentralafrikanerin.', 'n': None}, 'it': {'m': 'Sono centrafricano.', 'f': 'Sono centrafricana.', 'n': None}}"
Canada,Canadian,"{'eng': {'m': None, 'f': None, 'n': 'I am Canadian.'}, 'fra': {'m': 'Je suis Canadien.', 'f': 'Je suis Canadienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy canadiense.'}, 'deu': {'m': 'Ich bin Kanadier.', 'f': 'Ich bin  Kanadierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono canadese.'}}"
Switzerland,Swiss,"{'eng': {'m': None, 'f': None, 'n': 'I am Swiss.'}, 'fra': {'m': 'Je suis Suisse.', 'f': 'Je suis Suisse.', 'n': None}, 'spa': {'m': 'Soy suizo.', 'f': 'Soy suiza.', 'n': None}, 'deu': {'m': 'Ich bin Schweizer.', 'f': 'Ich bin  Schweizerin.', 'n': None}, 'it': {'m': 'Sono svizzero.', 'f': 'Sono svizzera.', 'n': None}}"
Chile,Chilean,"{'eng': {'m': None, 'f': None, 'n': 'I am Chilean.'}, 'fra': {'m': 'Je suis Chilien.', 'f': 'Je suis Chilienne.', 'n': None}, 'spa': {'m': 'Soy chileno.', 'f': 'Soy chilena.', 'n': None}, 'deu': {'m': 'Ich bin Chilene.', 'f': 'Ich bin  Chilenin.', 'n': None}, 'it': {'m': 'Sono cileno.', 'f': 'Sono cilena.', 'n': None}}"
China,Chinese,"{'eng': {'m': None, 'f': None, 'n': 'I am Chinese.'}, 'fra': {'m': 'Je suis Chinois.', 'f': 'Je suis Chinoise.', 'n': None}, 'spa': {'m': 'Soy chino.', 'f': 'Soy china.', 'n': None}, 'deu': {'m': 'Ich bin Chinese.', 'f': 'Ich bin  Chinesin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono cinese.'}}"
Ivory Coast,Ivorian,"{'eng': {'m': None, 'f': None, 'n': 'I am Ivorian.'}, 'fra': {'m': 'Je suis Ivoirien.', 'f': 'Je suis Ivoirienne.', 'n': None}, 'spa': {'m': 'Soy costamarfileño.', 'f': 'Soy costamarfileña.', 'n': None}, 'deu': {'m': 'Ich bin Ivorer.', 'f': 'Ich bin Ivorerin.', 'n': None}, 'it': {'m': 'Sono ivoriano.', 'f': 'Sono ivoriana.', 'n': None}}"
Cameroon,Cameroonian,"{'eng': {'m': None, 'f': None, 'n': 'I am Cameroonian.'}, 'fra': {'m': 'Je suis Camerounais.', 'f': 'Je suis Camerounaise.', 'n': None}, 'spa': {'m': 'Soy camerunés.', 'f': 'Soy camerunésa.', 'n': None}, 'deu': {'m': 'Ich bin Kameruner.', 'f': 'Ich bin  Kamerunerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono camerunese.'}}"
DR Congo,Congolese,"{'eng': {'m': None, 'f': None, 'n': 'I am Congolese.'}, 'fra': {'m': 'Je suis Congolais.', 'f': 'Je suis Congolaise.', 'n': None}, 'spa': {'m': 'Soy congoleño.', 'f': 'Soy congoleña.', 'n': None}, 'deu': {'m': 'Ich bin Kongolese.', 'f': 'Ich bin Kongolesin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono congolese.'}}"
Republic of the Congo,Congolese,"{'eng': {'m': None, 'f': None, 'n': 'I am Congolese.'}, 'fra': {'m': 'Je suis Congolais.', 'f': 'Je suis Congolaise.', 'n': None}, 'spa': {'m': 'Soy congoleño.', 'f': 'Soy congoleña.', 'n': None}, 'deu': {'m': 'Ich bin Kongolese.', 'f': 'Ich bin Kongolesin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono congolese.'}}"
Colombia,Colombian,"{'eng': {'m': None, 'f': None, 'n': 'I am Colombian.'}, 'fra': {'m': 'Je suis Colombien.', 'f': 'Je suis Colombienne.', 'n': None}, 'spa': {'m': 'Soy colombiano.', 'f': 'Soy colombiana.', 'n': None}, 'deu': {'m': 'Ich bin Kolumbianer.', 'f': 'Ich bin  Kolumbianerin.', 'n': None}, 'it': {'m': 'Sono colombiano.', 'f': 'Sono colombiana.', 'n': None}}"
Comoros,Comoran,"{'eng': {'m': None, 'f': None, 'n': 'I am Comoran.'}, 'fra': {'m': 'Je suis Comorien.', 'f': 'Je suis Comorienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy comorense.'}, 'deu': {'m': 'Ich bin Komorer.', 'f': 'Ich bin  Komorerin.', 'n': None}, 'it': {'m': 'Sono comoriano.', 'f': 'Sono comoriana.', 'n': None}}"
Cape Verde,Cape Verdian,"{'eng': {'m': None, 'f': None, 'n': 'I am Cape Verdian.'}, 'fra': {'m': 'Je suis Cap-verdien.', 'f': 'Je suis Cap-verdienne.', 'n': None}, 'spa': {'m': 'Soy caboverdiano.', 'f': 'Soy caboverdiana.', 'n': None}, 'deu': {'m': None, 'f': None, 'n': None}, 'it': {'m': 'Sono capoverdiano.', 'f': 'Sono capoverdiana.', 'n': None}}"
Costa Rica,Costa Rican,"{'eng': {'m': None, 'f': None, 'n': 'I am Costa Rican.'}, 'fra': {'m': 'Je suis Costaricain.', 'f': 'Je suis Costaricaine.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy costarricense.'}, 'deu': {'m': 'Ich bin Costa Ricaner.', 'f': 'Ich bin  Costa Ricanerin.', 'n': None}, 'it': {'m': 'Sono costaricano.', 'f': 'Sono costaricana.', 'n': None}}"
Cuba,Cuban,"{'eng': {'m': None, 'f': None, 'n': 'I am Cuban.'}, 'fra': {'m': 'Je suis Cubain.', 'f': 'Je suis Cubaine.', 'n': None}, 'spa': {'m': 'Soy cubano.', 'f': 'Soy cubana.', 'n': None}, 'deu': {'m': 'Ich bin Kubaner.', 'f': 'Ich bin  Kubanerin.', 'n': None}, 'it': {'m': 'Sono cubano.', 'f': 'Sono cubana.', 'n': None}}"
Cyprus,Cypriot,"{'eng': {'m': None, 'f': None, 'n': 'I am Cypriot.'}, 'fra': {'m': 'Je suis Chypriote.', 'f': 'Je suis Chypriote.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy chipriota.'}, 'deu': {'m': 'Ich bin Zyprer.', 'f': 'Ich bin  Zyprerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono cipriota.'}}"
Czechia,Czech,"{'eng': {'m': None, 'f': None, 'n': 'I am Czech.'}, 'fra': {'m': 'Je suis Tchèque.', 'f': 'Je suis Tchèque.', 'n': None}, 'spa': {'m': 'Soy checo.', 'f': 'Soy checa.', 'n': None}, 'deu': {'m': 'Ich bin Tscheche.', 'f': 'Ich bin Tschechin.', 'n': None}, 'it': {'m': 'Sono ceco.', 'f': 'Sono ceca.', 'n': None}}"
Germany,German,"{'eng': {'m': None, 'f': None, 'n': 'I am German.'}, 'fra': {'m': 'Je suis Allemand.', 'f': 'Je suis Allemande.', 'n': None}, 'spa': {'m': 'Soy alemán.', 'f': None, 'n': None}, 'deu': {'m': 'Ich bin Deutsche.', 'f': 'Ich bin  Deutsche.', 'n': None}, 'it': {'m': 'Sono tedesco.', 'f': 'Sono tedesca.', 'n': None}}"
Djibouti,Djibouti,"{'eng': {'m': None, 'f': None, 'n': 'I am Djibouti.'}, 'fra': {'m': 'Je suis Djiboutien.', 'f': 'Je suis Djiboutienne.', 'n': None}, 'spa': {'m': 'Soy Yibutiano.', 'f': 'Soy Yibutiana.', 'n': None}, 'deu': {'m': 'Ich bin Dschibutier.', 'f': 'Ich bin  Dschibutierin.', 'n': None}, 'it': {'m': 'Sono gibutiano.', 'f': 'Sono gibutiana.', 'n': None}}"
Dominica,Dominican,"{'eng': {'m': None, 'f': None, 'n': 'I am Dominican.'}, 'fra': {'m': 'Je suis Dominiquais.', 'f': 'Je suis Dominiquaise.', 'n': None}, 'spa': {'m': 'Soy dominiqués.', 'f': 'Soy dominiquésa.', 'n': None}, 'deu': {'m': 'Ich bin Dominicaner.', 'f': 'Ich bin Dominicanerin.', 'n': None}, 'it': {'m': 'Sono dominicano.', 'f': 'Sono dominicana.', 'n': None}}"
Denmark,Danish,"{'eng': {'m': None, 'f': None, 'n': 'I am Danish.'}, 'fra': {'m': 'Je suis Danois.', 'f': 'Je suis Danoise.', 'n': None}, 'spa': {'m': 'Soy danés.', 'f': 'Soy danésa.', 'n': None}, 'deu': {'m': 'Ich bin Däne.', 'f': 'Ich bin  Dänin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono danese.'}}"
Dominican Republic,Dominican,"{'eng': {'m': None, 'f': None, 'n': 'I am Dominican.'}, 'fra': {'m': 'Je suis Dominicain.', 'f': 'Je suis Dominicaine.', 'n': None}, 'spa': {'m': 'Soy dominicano.', 'f': 'Soy dominicana.', 'n': None}, 'deu': {'m': 'Ich bin Dominikaner.', 'f': 'Ich bin  Dominikanerin.', 'n': None}, 'it': {'m': 'Sono dominicano.', 'f': 'Sono dominicana.', 'n': None}}"
Algeria,Algerian,"{'eng': {'m': None, 'f': None, 'n': 'I am Algerian.'}, 'fra': {'m': 'Je suis Algérien.', 'f': 'Je suis Algérienne.', 'n': None}, 'spa': {'m': 'Soy argelino.', 'f': 'Soy argelina.', 'n': None}, 'deu': {'m': 'Ich bin Algerier.', 'f': 'Ich bin  Algerierin.', 'n': None}, 'it': {'m': 'Sono algerino.', 'f': 'Sono algerina.', 'n': None}}"
Ecuador,Ecuadorean,"{'eng': {'m': None, 'f': None, 'n': 'I am Ecuadorean.'}, 'fra': {'m': 'Je suis Équatorien.', 'f': 'Je suis Équatorienne.', 'n': None}, 'spa': {'m': 'Soy ecuatoriano.', 'f': 'Soy ecuatoriana.', 'n': None}, 'deu': {'m': 'Ich bin Ecuadorianer.', 'f': 'Ich bin  Ecuadorianerin.', 'n': None}, 'it': {'m': 'Sono ecuadoregno.', 'f': 'Sono ecuadoregna.', 'n': None}}"
Egypt,Egyptian,"{'eng': {'m': None, 'f': None, 'n': 'I am Egyptian.'}, 'fra': {'m': 'Je suis Égyptien.', 'f': 'Je suis Égyptienne.', 'n': None}, 'spa': {'m': 'Soy egipcio.', 'f': 'Soy egipcia.', 'n': None}, 'deu': {'m': 'Ich bin Ägypter.', 'f': 'Ich bin  Ägypterin.', 'n': None}, 'it': {'m': 'Sono egiziano.', 'f': 'Sono egiziana.', 'n': None}}"
Eritrea,Eritrean,"{'eng': {'m': None, 'f': None, 'n': 'I am Eritrean.'}, 'fra': {'m': 'Je suis Érythréen.', 'f': 'Je suis Érythréenne.', 'n': None}, 'spa': {'m': 'Soy eritreo.', 'f': 'Soy eritra.', 'n': None}, 'deu': {'m': 'Ich bin Eritreer.', 'f': 'Ich bin  Eritreerin.', 'n': None}, 'it': {'m': 'Sono eritreo.', 'f': 'Sono eritrea.', 'n': None}}"
Spain,Spanish,"{'eng': {'m': None, 'f': None, 'n': 'I am Spanish.'}, 'fra': {'m': 'Je suis Espagnol.', 'f': 'Je suis Espagnole.', 'n': None}, 'spa': {'m': 'Soy español.', 'f': None, 'n': None}, 'deu': {'m': 'Ich bin Spanier.', 'f': 'Ich bin  Spanierin.', 'n': None}, 'it': {'m': 'Sono spagnolo.', 'f': 'Sono spagnola.', 'n': None}}"
Estonia,Estonian,"{'eng': {'m': None, 'f': None, 'n': 'I am Estonian.'}, 'fra': {'m': 'Je suis Estonien.', 'f': 'Je suis Estonienne.', 'n': None}, 'spa': {'m': 'Soy estonio.', 'f': 'Soy estona.', 'n': None}, 'deu': {'m': 'Ich bin Este.', 'f': 'Ich bin  Estin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono estone.'}}"
Ethiopia,Ethiopian,"{'eng': {'m': None, 'f': None, 'n': 'I am Ethiopian.'}, 'fra': {'m': 'Je suis Éthiopien.', 'f': 'Je suis Éthiopienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy etíope.'}, 'deu': {'m': 'Ich bin Äthiopier.', 'f': 'Ich bin  Äthiopierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono etiope.'}}"
Finland,Finnish,"{'eng': {'m': None, 'f': None, 'n': 'I am Finnish.'}, 'fra': {'m': 'Je suis Finlandais.', 'f': 'Je suis Finlandaise.', 'n': None}, 'spa': {'m': 'Soy finlandés.', 'f': 'Soy finlandésa.', 'n': None}, 'deu': {'m': 'Ich bin Finne.', 'f': 'Ich bin  Finnin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono finlandese.'}}"
Fiji,Fijian,"{'eng': {'m': None, 'f': None, 'n': 'I am Fijian.'}, 'fra': {'m': 'Je suis Fidjien.', 'f': 'Je suis Fidjienne.', 'n': None}, 'spa': {'m': 'Soy fiyiano.', 'f': 'Soy fiyiana.', 'n': None}, 'deu': {'m': 'Ich bin Fidschianer.', 'f': 'Ich bin  Fidschianerin.', 'n': None}, 'it': {'m': 'Sono figiano.', 'f': 'Sono figiana.', 'n': None}}"
France,French,"{'eng': {'m': None, 'f': None, 'n': 'I am French.'}, 'fra': {'m': 'Je suis Français.', 'f': 'Je suis Française.', 'n': None}, 'spa': {'m': 'Soy francés.', 'f': 'Soy francésa.', 'n': None}, 'deu': {'m': 'Ich bin Franzose.', 'f': 'Ich bin  Französin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono francese.'}}"
Micronesia,Micronesian,"{'eng': {'m': None, 'f': None, 'n': 'I am Micronesian.'}, 'fra': {'m': 'Je suis Micronésien.', 'f': 'Je suis Micronésienne.', 'n': None}, 'spa': {'m': 'Soy micronesio.', 'f': 'Soy micronesia.', 'n': None}, 'deu': {'m': 'Ich bin Mikronesier.', 'f': 'Ich bin  Mikronesierin.', 'n': None}, 'it': {'m': 'Sono micronesiano.', 'f': 'Sono micronesiana.', 'n': None}}"
Gabon,Gabonese,"{'eng': {'m': None, 'f': None, 'n': 'I am Gabonese.'}, 'fra': {'m': 'Je suis Gabonais.', 'f': 'Je suis Gabonaise.', 'n': None}, 'spa': {'m': 'Soy gabonés.', 'f': 'Soy gabonésa.', 'n': None}, 'deu': {'m': 'Ich bin Gabuner.', 'f': 'Ich bin  Gabunerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono gabonese.'}}"
United Kingdom,British,"{'eng': {'m': None, 'f': None, 'n': 'I am British.'}, 'fra': {'m': 'Je suis Britannique.', 'f': 'Je suis Britannique.', 'n': None}, 'spa': {'m': 'Soy británico.', 'f': 'Soy británia.', 'n': None}, 'deu': {'m': 'Ich bin Brite.', 'f': 'Ich bin  Britin.', 'n': None}, 'it': {'m': 'Sono britannico.', 'f': 'Sono britannica.', 'n': None}}"
Georgia,Georgian,"{'eng': {'m': None, 'f': None, 'n': 'I am Georgian.'}, 'fra': {'m': 'Je suis Géorgien.', 'f': 'Je suis Géorgienne.', 'n': None}, 'spa': {'m': 'Soy georgiano.', 'f': 'Soy georgiana.', 'n': None}, 'deu': {'m': 'Ich bin Georgier.', 'f': 'Ich bin  Georgierin.', 'n': None}, 'it': {'m': 'Sono georgiano.', 'f': 'Sono georgiana.', 'n': None}}"
