Code,Language,Family
adx,"Tibetan, Amdo",Sino-Tibetan
ady,Adyghe,Abkhaz-Adyghe
adz,Adzera,Austronesian
aea,Areba,Australian
aeb,Tunisian Spoken Arabic,Afro-Asiatic
aec,"Arabic, Sa’idi Spoken",Afro-Asiatic
aed,Argentine Sign Language,Sign language
aee,"Pashai, Northeast",Indo-European
aek,Haeke,Austronesian
ael,Ambele,Niger-Congo
aem,Arem,Austro-Asiatic
aen,Armenian Sign Language,Sign language
aeq,Aer,Indo-European
aer,Eastern Arrernte,Australian
aeu,Akeu,Sino-Tibetan
aew,Ambakich,Ramu-Lower Sepik
aey,Amele,Gum
aez,Aeka,Trans-New Guinea
afb,Gulf Spoken Arabic,Afro-Asiatic
afd,Andai,Arafundi
afe,Utugwang-Irungene-Afrike,Niger-Congo
afg,Afghan Sign Language,Sign language
afi,Chini,Ramu-Lower Sepik
afk,Nanubae,Arafundi
afn,Defaka,Niger-Congo
afo,Ajiri,Niger-Congo
afp,Tapei,Arafundi
afr,Afrikaans,Indo-European
afs,Afro-Seminole Creole,Creole
aft,Afitti,Nilo-Saharan
afu,Awutu,Niger-Congo
afz,Obokuitai,Lakes Plain
aga,Aguano,Unclassified
agb,Legbo,Niger-Congo
agc,Agatu,Niger-Congo
agd,Agarabi,Trans-New Guinea
age,Angal,Trans-New Guinea
agf,Arguni,Austronesian
agg,Angor,Senagi
agh,Ngelima,Niger-Congo
agi,Agariya,Austro-Asiatic
agj,Argobba,Afro-Asiatic
agk,"Agta, Katubung",Austronesian
agl,Fembe,Trans-New Guinea
agm,Angaataha,Trans-New Guinea
agn,Agutaynen,Austronesian
ago,Tainae,Trans-New Guinea
agq,Aghem,Niger-Congo
agr,Awajún,Jivaroan
ags,Esimbi,Niger-Congo
agt,Central Cagayan Agta,Austronesian
agu,Awakateko,Mayan
agv,"Dumagat, Remontado",Austronesian
agw,Kahua,Austronesian
agx,Aghul,Nakh-Daghestanian
agy,Southern Alta,Austronesian
agz,"Agta, Mt. Iriga",Austronesian
aha,Ahanta,Niger-Congo
ahb,Axamb,Austronesian
ahg,Qimant,Afro-Asiatic
ahh,Aghu,Trans-New Guinea
ahi,"Aizi, Tiagbamrin",Niger-Congo
ahk,Akha,Sino-Tibetan
ahl,Igo,Niger-Congo
ahm,"Aizi, Mobumrin",Niger-Congo
ahn,Àhàn,Niger-Congo
aho,Ahom,Kra-Dai
ahp,"Aizi, Aproumu",Niger-Congo
ahr,Ahirani,Indo-European
ahs,Ashe,Niger-Congo
aht,Ahtena,Eyak-Athabaskan
aia,Arosi,Austronesian
aib,Ainu,Turkic
aic,Ainbai,Border
aid,Alngith,Australian
aie,Amara,Austronesian
aif,Agi,Torricelli
aig,Leeward Caribbean English Creole,Creole
aih,Ai-Cham,Kra-Dai
aii,Assyrian Neo-Aramaic,Afro-Asiatic
aij,Inter-Zab Jewish Neo-Aramaic,Afro-Asiatic
aik,Akye,Niger-Congo
ail,Eibela,Trans-New Guinea
aim,Aimol,Sino-Tibetan
ain,Ainu,Language isolate
aip,Burumakok,Trans-New Guinea
aiq,Aimaq,Indo-European
air,Airoran,Tor-Kwerba
ait,Arikem,Tupian
aiw,Aari,Afro-Asiatic
aix,Aighon,Austronesian
aiy,Ali,Niger-Congo
aja,Aja,Nilo-Saharan
ajg,Aja,Niger-Congo
aji,Ajië,Austronesian
ajn,Andajin,Australian
ajs,Algerian Jewish Sign Language,Sign language
aju,"Arabic, Judeo-Moroccan",Afro-Asiatic
ajw,Ajawa,Afro-Asiatic
ajz,Amri Karbi,Sino-Tibetan
aka,Akan,Niger-Congo
akb,Batak Angkola,Austronesian
akd,Ukpet-Ehom,Niger-Congo
ake,Akawaio,Cariban
akf,Akpa,Niger-Congo
akg,Anakalangu,Austronesian
akh,Angal Heneng,Trans-New Guinea
aki,Aiome,Ramu-Lower Sepik
akj,Aka-Jeru,Andamanese
akl,Aklanon,Austronesian
akm,Aka-Bo,Andamanese
ako,Akurio,Cariban
akp,Siwu,Niger-Congo
akq,Ak,Sepik
akr,Araki,Austronesian
aks,Akaselem,Niger-Congo
akt,Akolet,Austronesian
aku,Akum,Niger-Congo
akv,Akhvakh,Nakh-Daghestanian
akw,Akwa,Niger-Congo
akx,Aka-Kede,Andamanese
aky,Aka-Kol,Andamanese
akz,Alabama,Muskogean
ala,Alago,Niger-Congo
alc,Qawasqar,Kaweskaran
ald,Alladian,Niger-Congo
ale,Aleut,Eskimo-Aleut
alf,Elege,Niger-Congo
alh,Alawa,Australian
ali,Amaimon,Trans-New Guinea
alj,Alangan,Austronesian
alk,Alak,Austro-Asiatic
all,Allar,Dravidian
alm,Amblong,Austronesian
aln,Gheg Albanian,Indo-European
alo,Larike-Wakasihu,Austronesian
alp,Alune,Austronesian
alq,Algonquin,Algic
alr,Alutor,Chukotko-Kamchatkan
als,Tosk Albanian,Indo-European
alt,Southern Altai,Turkic
alu,’Are’are,Austronesian
alw,Alaba-K’abeena,Afro-Asiatic
alx,Amol,Torricelli
aly,Alyawarr,Australian
alz,Alur,Nilo-Saharan
ama,Amanayé,Tupian
amb,Ambo,Niger-Congo
amc,Amahuaca,Panoan
ame,Yanesha’,Maipurean
amf,Hamer-Banna,Afro-Asiatic
amg,Amurdak,Australian
amh,Amharic,Afro-Asiatic
ami,Amis,Austronesian
amj,Amdang,Nilo-Saharan
amk,Ambai,Austronesian
aml,War-Jaintia,Austro-Asiatic
amm,Sawiyanu,Arai (Left May)
amn,Amanab,Border
amo,Amo,Niger-Congo
amp,Alamblak,Sepik
amq,Amahai,Austronesian
amr,Amarakaeri,Harákmbut
ams,"Amami-Oshima, Southern",Japonic
amt,Amto,Amto-Musan
amu,Guerrero Amuzgo,Otomanguean
amv,Ambelau,Austronesian
amw,Western Neo-Aramaic,Afro-Asiatic
amx,Anmatyerre,Australian
amy,Ami,Australian
amz,Atampaya,Australian
anb,Andoa,Zaparoan
anc,Ngas,Afro-Asiatic
and,Ansus,Austronesian
ane,Xârâcùù,Austronesian
anf,Animere,Niger-Congo
anh,Nend,Trans-New Guinea
ani,Andi,Nakh-Daghestanian
anj,Anor,Ramu-Lower Sepik
ank,Goemai,Afro-Asiatic
anl,"Chin, Anu-Khongso",Sino-Tibetan
anm,Anal,Sino-Tibetan
ann,Obolo,Niger-Congo
ano,Andoque,Language isolate
anp,Angika,Indo-European
anq,Jarawa,Andamanese
anr,Andh,Indo-European
ans,Anserma,Paezan
ant,Antikarinya,Australian
anu,Anuak,Nilo-Saharan
anv,Denya,Niger-Congo
anw,Anaang,Niger-Congo
anx,Andra-Hus,Austronesian
any,Anyin,Niger-Congo
anz,Anem,Yele-West New Britain
aoa,Angolar,Creole
aob,Abom,Trans-New Guinea
aoc,Pemon,Cariban
aod,Andarum,Ramu-Lower Sepik
aoe,Angal Enen,Trans-New Guinea
aof,Bragat,Torricelli
aog,Angoram,Ramu-Lower Sepik
aoi,Anindilyakwa,Australian
aoj,Mufian,Torricelli
aok,Arhö,Austronesian
aol,Alor,Austronesian
aom,Ömie,Trans-New Guinea
aon,Weri,Torricelli
aor,Aore,Austronesian
aos,Taikat,Border
aot,Atong,Sino-Tibetan
aou,A’ou,Kra-Dai
aox,Atorada,Maipurean
aoz,Uab Meto,Austronesian
apb,Sa’a,Austronesian
apc,Levantine Arabic,Afro-Asiatic
apd,Sudanese Spoken Arabic,Afro-Asiatic
ape,Bukiyip,Torricelli
apf,Pahanan Agta,Austronesian
apg,Ampanang,Austronesian
aph,Athpariya,Sino-Tibetan
api,Apiaká,Tupian
apj,Jicarilla Apache,Eyak-Athabaskan
apk,"Apache, Kiowa",Eyak-Athabaskan
apl,"Apache, Lipan",Eyak-Athabaskan
apm,Mescalero-Chiricahua Apache,Eyak-Athabaskan
apn,Apinagé,Jean
apo,Ambul,Austronesian
app,Apma,Austronesian
apq,A-Pucikwar,Andamanese
apr,Arop-Lokep,Austronesian
aps,Orop,Austronesian
apt,Apatani,Sino-Tibetan
apu,Apurinã,Maipurean
apv,Alapmunte,Nambikwara
apw,Western Apache,Eyak-Athabaskan
apx,Aputai,Austronesian
apy,Apalaí,Cariban
apz,Safeyoka,Trans-New Guinea
aqc,Archi,Nakh-Daghestanian
aqd,"Dogon, Ampari",Niger-Congo
aqg,Arigidi,Niger-Congo
aqk,Aninka,Niger-Congo
aqm,Atohwaim,Trans-New Guinea
aqn,"Alta, Northern",Austronesian
aqp,Atakapa,Language isolate
aqr,Arhâ,Austronesian
aqt,Angaité,Mascoyan
aqz,Akuntsu,Tupian
arb,Standard Arabic,Afro-Asiatic
are,Western Arrarnta,Australian
arg,Aragonese,Indo-European
arh,Arhuaco,Chibchan
ari,Arikara,Caddoan
arj,Arapaso,Tucanoan
ark,Arikapú,Jabutian
arl,Arabela,Zaparoan
arn,Mapudungun,Mapudungu
aro,Araona,Tacanan
arp,Arapaho,Algic
arq,Algerian Spoken Arabic,Afro-Asiatic
arr,Karo,Tupian
ars,Najdi Spoken Arabic,Afro-Asiatic
aru,Aruá,Arauan
arv,Arbore,Afro-Asiatic
arw,Arawak,Maipurean
arx,Aruá,Tupian
ary,Moroccan Spoken Arabic,Afro-Asiatic
arz,Egyptian Spoken Arabic,Afro-Asiatic
asa,Asu,Niger-Congo
asb,Assiniboine,Siouan-Catawban
asc,"Asmat, Casuarina Coast",Trans-New Guinea
ase,American Sign Language,Sign language
asf,Auslan,Sign language
asg,Cishingini,Niger-Congo
ash,Awishira,Unclassified
asi,Buruwai,Trans-New Guinea
asj,Sari,Niger-Congo
ask,Ashkun,Indo-European
asl,Asilulu,Austronesian
asm,Assamese,Indo-European
asn,Asurini of Xingú,Tupian
aso,Dano,Trans-New Guinea
asp,Algerian Sign Language,Sign language
asq,Austrian Sign Language,Sign language
asr,Asuri,Austro-Asiatic
ass,Ipulo,Niger-Congo
ast,Asturianu,Indo-European
asu,Tocantins Asurini,Tupian
asv,Asoa,Nilo-Saharan
asw,Australian Aborigines Sign Language,Sign language
asx,Muratayak,Trans-New Guinea
asy,Yaosakor Asmat,Trans-New Guinea
asz,As,Austronesian
ata,Pele-Ata,Yele-West New Britain
atb,Zaiwa,Sino-Tibetan
atc,Atsahuaca,Panoan
atd,Ata Manobo,Austronesian
ate,Mand,Trans-New Guinea
atg,Ivbie North-Okpela-Arhe,Niger-Congo
ati,Attié,Niger-Congo
atj,Atikamekw,Algic
atk,Ati,Austronesian
atl,"Agta, Mt. Iraya",Austronesian
atm,Ata,Austronesian
atn,Ashtiani,Indo-European
ato,Atong,Niger-Congo
atp,"Atta, Pudtol",Austronesian
atq,Aralle-Tabulahan,Austronesian
atr,Waimiri-Atroarí,Cariban
ats,Gros Ventre,Algic
att,Pamplona Atta,Austronesian
atu,Reel,Nilo-Saharan
atv,Northern Altai,Turkic
atw,Atsugewi,Palaihnihan
atx,Arutani,Language isolate
aty,Aneityum,Austronesian
atz,Arta,Austronesian
aua,Asumboa,Austronesian
aub,Alugu,Sino-Tibetan
auc,Waorani,Language isolate
aud,Anuta,Austronesian
aug,Aguna,Niger-Congo
auh,Aushi,Niger-Congo
aui,Anuki,Austronesian
auj,Awjilah,Afro-Asiatic
auk,Heiyoho,Torricelli
aul,Aulua,Austronesian
aum,Asu,Niger-Congo
aun,Molmo One,Torricelli
auo,Auyokawa,Afro-Asiatic
aup,Makayam,Trans-New Guinea
auq,Anus,Austronesian
aur,Aruek,Torricelli
aut,Austral,Austronesian
auu,Auye,Trans-New Guinea
auw,Awyi,Border
auy,Awiyaana,Trans-New Guinea
auz,"Arabic, Uzbeki Spoken",Afro-Asiatic
ava,Avar,Nakh-Daghestanian
avb,Avau,Austronesian
avd,Alviri-Vidari,Indo-European
ave,Avestan,Indo-European
avi,Avikam,Niger-Congo
avl,Eastern Egyptian Bedawi Spoken Arabic,Afro-Asiatic
avm,Angkamuthi,Australian
avn,Avatime,Niger-Congo
avo,Agavotaguerra,Unclassified
avs,Aushiri,Language isolate
avt,Au,Torricelli
avu,Avokaya,Nilo-Saharan
avv,Avá-Canoeiro,Tupian
awa,Awadhi,Indo-European
awb,Awa,Trans-New Guinea
awc,Cicipu,Niger-Congo
awe,Awetí,Tupian
awg,Anguthimri,Australian
awh,Awbono,Bayono-Awbono
awi,Aekyom,Trans-New Guinea
awk,Awabakal,Australian
awm,Taupi,Trans-New Guinea
awn,Awngi,Afro-Asiatic
awo,Awak,Niger-Congo
awr,Awera,Lakes Plain
aws,"Awyu, South",Trans-New Guinea
awt,Araweté,Tupian
awu,"Awyu, Central",Trans-New Guinea
awv,"Awyu, Jair",Trans-New Guinea
aww,Awun,Sepik
awx,Awara,Trans-New Guinea
awy,"Awyu, Edera",Trans-New Guinea
axb,Abipon,Guaykuruan
axe,Ayerrerenge,Australian
axg,"Arára, Mato Grosso",Unclassified
axk,Yaka,Niger-Congo
axl,"Aranda, Lower Southern",Australian
axx,Xârâgurè,Austronesian
aya,Awar,Ramu-Lower Sepik
ayb,Ayizo Gbe,Niger-Congo
ayc,"Aymara, Southern",Aymaran
ayd,Ayabadhu,Australian
aye,Ayere,Niger-Congo
ayg,Ginyanga,Niger-Congo
ayh,"Arabic, Hadrami Spoken",Afro-Asiatic
ayi,Leyigha,Niger-Congo
ayk,Akuku,Niger-Congo
ayl,Libyan Spoken Arabic,Afro-Asiatic
ayn,Sanaani Spoken Arabic,Afro-Asiatic
ayo,Ayoreo,Zamucoan
ayp,North Mesopotamian Spoken Arabic,Afro-Asiatic
ayq,Ayi,Sepik
ayr,Central Aymara,Aymaran
ays,"Ayta, Sorsogon",Austronesian
ayt,"Ayta, Magbukun",Austronesian
ayu,Ayu,Niger-Congo
ayz,Mai Brat,Maybrat
aza,Azha,Sino-Tibetan
azb,South Azerbaijani,Turkic
azd,Eastern Durango Nahuatl,Uto-Aztecan
azg,San Pedro Amuzgos Amuzgo,Otomanguean
azj,North Azerbaijani,Turkic
azm,Ipalapa Amuzgo,Otomanguean
azn,Western Durango Nahuatl,Uto-Aztecan
azo,Awing,Niger-Congo
azt,"Atta, Faire",Austronesian
azz,"Nahuatl, Highland Puebla",Uto-Aztecan
baa,Babatana,Austronesian
bab,Bainouk-Gunyuño,Niger-Congo
bac,Badui,Austronesian
bae,Baré,Maipurean
baf,Nubaca,Niger-Congo
bag,Tuki,Niger-Congo
bah,Bahamas English Creole,Creole
baj,Barakai,Austronesian
bak,Bashkort,Turkic
bam,Bamanankan,Niger-Congo
ban,Bali,Austronesian
bao,Waimaha,Tucanoan
bap,Bantawa,Sino-Tibetan
bar,Bavarian,Indo-European
bas,Basaa,Niger-Congo
bau,Mbat,Niger-Congo
bav,Vengo,Niger-Congo
baw,Bambili-Bambui,Niger-Congo
bax,Bamun,Niger-Congo
bay,Batuley,Austronesian
bba,Baatonum,Niger-Congo
bbb,Barai,Trans-New Guinea
bbc,Batak Toba,Austronesian
bbd,Fulumu,Gum
bbe,Bangba,Niger-Congo
bbf,Baibai,Fas
bbg,Barama,Niger-Congo
bbh,Bugan,Austro-Asiatic
bbi,Barombi,Niger-Congo
bbj,Ghomálá’,Niger-Congo
bbk,Babanki,Niger-Congo
bbl,Bats,Nakh-Daghestanian
bbm,Babango,Niger-Congo
bbn,Uneapa,Austronesian
bbo,Konabéré,Niger-Congo
bbp,"Banda, West Central",Niger-Congo
bbq,Bamali,Niger-Congo
bbr,Girawa,Trans-New Guinea
bbs,Bakpinka,Niger-Congo
bbt,Mburku,Afro-Asiatic
bbu,Kulung,Niger-Congo
bbv,Karnai,Austronesian
bbw,Supapya,Niger-Congo
bbx,Bubia,Niger-Congo
bby,Befang,Niger-Congo
bca,Central Bai,Sino-Tibetan
bcb,Bainouk-Samik,Niger-Congo
bcc,Southern Balochi,Indo-European
bcd,"Babar, North",Austronesian
bce,Bamenyam,Niger-Congo
bcf,Bamu,Trans-New Guinea
bcg,Baga Pokur,Niger-Congo
bch,Bariai,Austronesian
bci,Baoulé,Niger-Congo
bcj,Bardi,Australian
bck,Bunuba,Australian
bcl,Central Bikol,Austronesian
bcm,Bannoni,Austronesian
bcn,Bali,Niger-Congo
bco,Kaluli,Trans-New Guinea
bcp,Bali,Niger-Congo
bcq,Bench,Afro-Asiatic
bcr,Babine,Eyak-Athabaskan
bcs,Hohumono,Niger-Congo
bct,Bendi,Nilo-Saharan
bcu,Awad Bing,Austronesian
bcv,Shoo-Minda-Nye,Niger-Congo
bcw,Bana,Afro-Asiatic
bcy,Bacama,Afro-Asiatic
bcz,Bainouk-Gunyaamolo,Niger-Congo
bda,Bayot,Niger-Congo
bdb,Basap,Austronesian
bdc,Embera Baudó,Chocoan
bdd,Bunama,Austronesian
bde,Bade,Afro-Asiatic
bdf,Biage,Trans-New Guinea
bdg,Bonggi,Austronesian
bdh,Baka,Nilo-Saharan
bdi,Burun,Nilo-Saharan
bdj,Bai,Niger-Congo
bdk,Budukh,Nakh-Daghestanian
bdl,"Bajau, Indonesian",Austronesian
bdm,Buduma,Afro-Asiatic
bdn,Baldemu,Afro-Asiatic
bdo,Morom,Nilo-Saharan
bdp,Bende,Niger-Congo
bdq,Bahnar,Austro-Asiatic
bdr,West Coast Bajau,Austronesian
bds,Burunge,Afro-Asiatic
bdt,Bhogoto,Niger-Congo
bdu,Oroko,Niger-Congo
bdv,Bodo Parja,Indo-European
bdw,Baham,Trans-New Guinea
bdx,Budong-Budong,Austronesian
bdy,Bandjalang,Australian
bdz,Badeshi,Indo-European
bea,Beaver,Eyak-Athabaskan
beb,Bebele,Niger-Congo
bec,Iceve-Maci,Niger-Congo
bed,Bedoanas,Austronesian
bee,Byangsi,Sino-Tibetan
bef,Benabena,Trans-New Guinea
beg,Belait,Austronesian
beh,Biali,Niger-Congo
bei,Bakati’,Austronesian
bej,Bedawiyet,Afro-Asiatic
bek,Bebeli,Austronesian
bel,Belarusian,Indo-European
bem,Bemba,Niger-Congo
ben,Bengali,Indo-European
beo,Bedamuni,Trans-New Guinea
bep,Behoa,Austronesian
beq,Beembe,Niger-Congo
bes,Besme,Niger-Congo
bet,Guiberoua Bété,Niger-Congo
beu,Blagar,Trans-New Guinea
bev,Daloa Bété,Niger-Congo
bew,Betawi,Creole
bex,Jur Modo,Nilo-Saharan
bey,Beli,Torricelli
bez,Bena,Niger-Congo
bfa,Bari,Nilo-Saharan
bfb,Pauri Bareli,Indo-European
bfc,"Bai, Panyi",Sino-Tibetan
bfd,Bafut,Niger-Congo
bfe,Betaf,Tor-Kwerba
bff,Bofi,Niger-Congo
bfg,"Kayan, Busang",Austronesian
bfh,Blafe,South-Central Papuan
bfi,British Sign Language,Sign language
bfj,Bafanji,Niger-Congo
bfk,Ban Khor Sign Language,Sign language
bfl,Banda-Ndélé,Niger-Congo
bfm,Mmen,Niger-Congo
bfn,Bunak,Trans-New Guinea
bfo,Malba Birifor,Niger-Congo
bfp,Beba,Niger-Congo
bfq,Badaga,Dravidian
bfr,Bazigar,Indo-European
bfs,Southern Bai,Sino-Tibetan
bft,Balti,Sino-Tibetan
bfu,Gahri,Sino-Tibetan
bfw,Bondo,Austro-Asiatic
bfx,Bantayanon,Austronesian
bfy,Bagheli,Indo-European
bfz,"Pahari, Mahasu",Indo-European
bga,Gwamhi-Wuri,Niger-Congo
bgb,Bobongko,Austronesian
bgc,Haryanvi,Indo-European
bgd,Rathwi Bareli,Indo-European
bge,Bauria,Indo-European
bgf,Bangandu,Niger-Congo
bgg,Bugun,Sino-Tibetan
bgi,Bagobo-Klata,Austronesian
bgj,Bangolan,Niger-Congo
bgk,Bit,Austro-Asiatic
bgl,Bo,Austro-Asiatic
bgn,Western Balochi,Indo-European
bgo,Baga Koga,Niger-Congo
bgp,Eastern Balochi,Indo-European
bgq,Bagri,Indo-European
bgr,Bawm Chin,Sino-Tibetan
bgs,Tagabawa,Austronesian
bgt,Bughotu,Austronesian
bgu,Mbongno,Niger-Congo
bgv,Warkay-Bipim,Trans-New Guinea
bgw,Bhatri,Indo-European
bgx,Balkan Gagauz Turkish,Turkic
bgy,Benggoi,Austronesian
bgz,Banggai,Austronesian
bha,Bharia,Dravidian
bhb,Bhili,Indo-European
bhc,Biga,Austronesian
bhd,Bhadrawahi,Indo-European
bhe,Bhaya,Indo-European
bhf,Odiai,Language isolate
bhg,Binandere,Trans-New Guinea
bhh,Bukharic,Indo-European
bhi,Bhilali,Indo-European
bhj,Bahing,Sino-Tibetan
bhl,Bimin,Trans-New Guinea
bhm,Bathari,Afro-Asiatic
bhn,Bohtan Neo-Aramaic,Afro-Asiatic
bho,Bhojpuri,Indo-European
bhp,Bima,Austronesian
bhq,Tukang Besi South,Austronesian
bhr,Bara Malagasy,Austronesian
bhs,Buwal,Afro-Asiatic
bht,Bhattiyali,Indo-European
bhu,Bhunjia,Indo-European
bhv,Bahau,Austronesian
bhw,Biak,Austronesian
bhx,Bhalay,Indo-European
bhy,Bhele,Niger-Congo
bhz,Bada,Austronesian
bia,Badimaya,Australian
bib,Bisa,Niger-Congo
bid,Bidiyo,Afro-Asiatic
bie,Bepour,Trans-New Guinea
bif,Biafada,Niger-Congo
big,Biangai,Trans-New Guinea
bil,Bille,Niger-Congo
bim,Bimoba,Niger-Congo
bin,Edo,Niger-Congo
bio,Nai,Kwomtari
bip,Bila,Niger-Congo
biq,Bipi,Austronesian
bir,Bisorio,Trans-New Guinea
bis,Bislama,Creole
bit,Berinomo,Sepik
biu,Biate,Sino-Tibetan
biv,Southern Birifor,Niger-Congo
biw,Kol,Niger-Congo
bix,Bijori,Austro-Asiatic
biy,Birhor,Austro-Asiatic
biz,Baloi,Niger-Congo
bja,Budza,Niger-Congo
bjb,Barngarla,Australian
bjc,Bariji,Trans-New Guinea
bje,Biao-Jiao Mien,Hmong-Mien
bjf,Barzani-Sandu Jewish Neo-Aramaic,Afro-Asiatic
bjg,Bijagó,Niger-Congo
bjh,Bahinemo,Sepik
bji,Burji,Afro-Asiatic
bjj,Kanauji,Indo-European
bjk,Barok,Austronesian
bjl,Bulu,Austronesian
bjm,Bajelani,Indo-European
bjn,Banjar,Austronesian
bjo,"Banda, Mid-Southern",Niger-Congo
bjp,Fanamaket,Austronesian
bjr,Binumarien,Trans-New Guinea
bjs,Bajan,Creole
bjt,Balanta-Ganja,Niger-Congo
bju,Busuu,Niger-Congo
bjv,Bedjond,Nilo-Saharan
bjw,Bakwé,Niger-Congo
bjx,"Kalinga, Vanaw",Austronesian
bjy,Bayali,Australian
bjz,Baruga,Trans-New Guinea
bka,Kyak,Niger-Congo
bkc,Baka,Niger-Congo
bkd,Binukid,Austronesian
bkf,Beeke,Niger-Congo
bkg,Buraka,Niger-Congo
bkh,Bakoko,Niger-Congo
bki,Baki,Austronesian
bkj,Pande,Niger-Congo
bkk,Brokskat,Indo-European
bkl,Berik,Tor-Kwerba
bkm,Kom,Niger-Congo
bkn,Bukitan,Austronesian
bko,Kwa’,Niger-Congo
bkp,Boko,Niger-Congo
bkq,Bakairí,Cariban
bkr,Bakumpai,Austronesian
bks,"Sorsoganon, Northern",Austronesian
bkt,Boloki,Niger-Congo
bku,Buhid,Austronesian
bkv,Bekwarra,Niger-Congo
bkw,Bekwel,Niger-Congo
bkx,Baikeno,Austronesian
bky,Bokyi,Niger-Congo
bkz,Bungku,Austronesian
bla,Blackfoot,Algic
blb,Bilua,Central Solomons
blc,Bella Coola,Salish
bld,Bolango,Austronesian
ble,Balanta,Niger-Congo
blf,Buol,Austronesian
blh,Kuwaa,Niger-Congo
bli,Bolia,Niger-Congo
blj,Bulungan,Austronesian
blk,Pa’o,Sino-Tibetan
bll,Biloxi,Siouan-Catawban
blm,Beli,Nilo-Saharan
bln,"Bikol, Southern Catanduanes",Austronesian
blo,Anii,Niger-Congo
blp,Blablanga,Austronesian
blq,Paluai,Austronesian
blr,Blang,Austro-Asiatic
bls,Balaesang,Austronesian
blt,Tai Dam,Kra-Dai
blv,Kibala,Niger-Congo
blw,Balangao,Austronesian
blx,Mag-Indi Ayta,Austronesian
bly,Notre,Niger-Congo
blz,Balantak,Austronesian
bma,Lame,Niger-Congo
bmb,Bembe,Niger-Congo
bmc,Biem,Austronesian
bmd,Baga Manduri,Niger-Congo
bme,Limassa,Niger-Congo
bmf,Bom-Kim,Niger-Congo
bmg,Bamwe,Niger-Congo
bmh,Kein,Trans-New Guinea
bmi,Bagirmi,Nilo-Saharan
bmj,Bote,Indo-European
bmk,Ghayavi,Austronesian
bml,Bomboli,Niger-Congo
bmm,Northern Betsimisaraka Malagasy,Austronesian
bmn,Bina,Austronesian
bmo,Bambalang,Niger-Congo
bmp,Gamane,Trans-New Guinea
bmq,Bomu,Niger-Congo
bmr,Muinane,Witotoan
