eng,deu_m,deu_f,deu_n,output,extracted
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"Sure! The translation of ""I am Beninese"" into German is ""Ich bin Beniner.""",['Ich bin Beniner.']
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"Sure! The translation of ""I am Burkinabe"" into German is ""Ich bin Burkiner.""",['Ich bin Burkiner.']
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"Sure! The translation of ""I am Bangladeshi"" into German is ""Ich bin Bangladescher"" for a male speaker or ""Ich bin Bangladescherin"" for a female speaker.","['Ich bin Bangladescher', 'Ich bin Bangladescherin']"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"Sure! The translation of ""I am Bulgarian"" into German is ""Ich bin Bulgare/Bulgarin.""",['Ich bin Bulgare/Bulgarin.']
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"Sure! The translation of ""I am Bahraini"" into German is ""Ich bin Bahrainer.""",['Ich bin Bahrainer.']
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"Sure! The translation of ""I am Bahamian"" into German is ""Ich bin Bahamaer/in.""","['Ich bin Bahamaer.', 'Ich bin Bahamaerin.']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"Sure! The translation of ""I am Bosnian"" into German is ""Ich bin Bosnier/in.""","['Ich bin Bosnier.', 'Ich bin Bosnierin.']"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"Sure! The translation of ""I am Belarusian"" into German is ""Ich bin Weißrussisch.""",['Ich bin Weißrussisch.']
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"Sure! The translation of ""I am Belizean"" into German is ""Ich bin Belizeaner/in.""","['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"Sure! The translation of ""I am Bolivian"" into German is ""Ich bin Bolivianer.""",['Ich bin Bolivianer.']
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"Sure! The translation of ""I am Brazilian"" into German is ""Ich bin Brasilianer.""",['Ich bin Brasilianer.']
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"Sure! The translation of ""I am Barbadian"" into German is ""Ich bin Barbadier.""",['Ich bin Barbadier.']
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"Sure! The translation of ""I am Bruneian"" into German is ""Ich bin Bruneier.""",['Ich bin Bruneier.']
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"Sure! The translation of ""I am Bhutanese"" into German is ""Ich bin Bhutaner.""",['Ich bin Bhutaner.']
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"Sure! The translation of ""I am Motswana"" into German is ""Ich bin Motswana.""",['Ich bin Motswana.']
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"Sure! The translation of ""I am Central African"" into German is ""Ich bin Zentralafrikaner.""",['Ich bin Zentralafrikaner.']
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"Sure! The translation of ""I am Canadian"" into German is ""Ich bin Kanadier.""",['Ich bin Kanadier.']
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"Sure! The translation of ""I am Swiss"" into German is ""Ich bin Schweizer.""",['Ich bin Schweizer.']
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"Sure! The translation of ""I am Chilean"" into German is ""Ich bin Chilene.""",['Ich bin Chilene.']
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"Sure! The translation of ""I am Chinese"" into German is ""Ich bin Chinese.""",['Ich bin Chinese.']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"Sure! The translation of ""I am Ivorian"" into German is ""Ich bin Ivorer.""",['Ich bin Ivorer.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"Sure! The translation of ""I am Cameroonian"" into German is ""Ich bin Kameruner.""",['Ich bin Kameruner.']
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Sure! The translation of ""I am Congolese"" into German is ""Ich bin Kongolese.""",['Ich bin Kongolese.']
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Sure! The translation of ""I am Congolese"" into German is ""Ich bin Kongolese.""",['Ich bin Kongolese.']
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"Sure! The translation of ""I am Colombian"" into German is ""Ich bin Kolumbianer.""",['Ich bin Kolumbianer.']
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"Sure! The translation of ""I am Comoran"" into German is ""Ich bin Komorer.""",['Ich bin Komorer.']
I am Cape Verdian.,,,,"Sure! The translation of ""I am Cape Verdian"" into German is ""Ich bin Kapverdier.""",['Ich bin Kapverdier.']
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"Sure! The translation of ""I am Costa Rican"" into German is ""Ich bin Costa Ricaner.""",['Ich bin Costa Ricaner.']
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"Sure! The translation of ""I am Cuban"" into German is ""Ich bin Kubaner.""",['Ich bin Kubaner.']
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"Sure! The translation of ""I am Cypriot"" into German is ""Ich bin Zyprer.""",['Ich bin Zyprer.']
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"Sure! The translation of ""I am Czech"" into German is ""Ich bin Tscheche.""",['Ich bin Tscheche.']
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"Sure! The translation of ""I am German"" into German is ""Ich bin Deutsch.""",['Ich bin Deutsch.']
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"Sure! The translation of ""I am Djibouti"" into German is ""Ich bin Djibouti.""",['Ich bin Djibouti.']
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"Sure! The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner.""",['Ich bin Dominikaner.']
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"Sure! The translation of ""I am Danish"" into German is ""Ich bin Dänisch.""",['Ich bin Dänisch.']
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"Sure! The translation of ""I am Dominican"" into German is ""Ich bin Dominikaner.""",['Ich bin Dominikaner.']
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"Sure! The translation of ""I am Algerian"" into German is ""Ich bin Algerier.""",['Ich bin Algerier.']
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"Sure! The translation of ""I am Ecuadorean"" into German is ""Ich bin Ecuadorianer.""",['Ich bin Ecuadorianer.']
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"Sure! The translation of ""I am Egyptian"" into German is ""Ich bin Ägypter.""",['Ich bin Ägypter.']
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"Sure! The translation of ""I am Eritrean"" into German is ""Ich bin Eritreer.""",['Ich bin Eritreer.']
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"Sure! The translation of ""I am Spanish"" into German is ""Ich bin Spanier.""",['Ich bin Spanier.']
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"Sure! The translation of ""I am Estonian"" into German is ""Ich bin Este(in).""",['Ich bin Este(in).']
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"Sure! The translation of ""I am Ethiopian"" into German is ""Ich bin Äthiopier.""",['Ich bin Äthiopier.']
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"Sure! The translation of ""I am Finnish"" into German is ""Ich bin Finne.""",['Ich bin Finne.']
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"Sure! The translation of ""I am Fijian"" into German is ""Ich bin Fidschianer.""",['Ich bin Fidschianer.']
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"Sure! The translation of ""I am French"" into German is ""Ich bin Franzose / Ich bin Französin"" depending on the gender of the speaker.",['Ich bin Franzose / Ich bin Französin']
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"Sure! The translation of ""I am Micronesian"" into German is ""Ich bin Mikronesier.""",['Ich bin Mikronesier.']
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"Sure! The translation of ""I am Gabonese"" into German is ""Ich bin Gabuner.""",['Ich bin Gabuner.']
I am British.,Ich bin Brite.,Ich bin  Britin.,,"Sure! The translation of ""I am British"" into German is ""Ich bin Brite.""",['Ich bin Brite.']
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"Sure! The translation of ""I am Georgian"" into German is ""Ich bin Georgier.""",['Ich bin Georgier.']
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"Sure! The translation of ""I am Ghanaian"" into German is ""Ich bin Ghanaer.""",['Ich bin Ghanaer.']
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"Sure! The translation of ""I am Guinean"" into German is ""Ich bin Guineer.""",['Ich bin Guineer.']
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"Sure! The translation of ""I am Gambian"" into German is ""Ich bin Gambier.""",['Ich bin Gambier.']
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"Sure! The translation of ""I am Guinea-Bissauan"" into German is ""Ich bin aus Guinea-Bissau.""",['Ich bin aus Guinea-Bissau.']
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"Sure! The translation of ""I am Equatorial Guinean"" into German is ""Ich bin Äquatorialguineer.""",['Ich bin Äquatorialguineer.']
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"Sure! The translation of ""I am Greek"" into German is ""Ich bin Grieche.""",['Ich bin Grieche.']
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"Sure! The translation of ""I am Grenadian"" into German is ""Ich bin Grenadier/in.""","['Ich bin Grenadier.', 'Ich bin Grenadierin.']"
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"Sure! The translation of ""I am Guatemalan"" into German is ""Ich bin Guatemalteke/in.""","['Ich bin Guatemalteke.', 'Ich bin Guatemaltekein.']"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"Sure! The translation of ""I am Guyanese"" into German is ""Ich bin Guyaner.""",['Ich bin Guyaner.']
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"Sure! The translation of ""I am Honduran"" into German is ""Ich bin Honduraner.""",['Ich bin Honduraner.']
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"Sure! The translation of ""I am Croatian"" into German is ""Ich bin Kroate"" for a male speaker or ""Ich bin Kroatin"" for a female speaker.","['Ich bin Kroate', 'Ich bin Kroatin']"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"Sure! The translation of ""I am Haitian"" into German is ""Ich bin Haitianer.""",['Ich bin Haitianer.']
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"Sure! The translation of ""I am Hungarian"" into German is ""Ich bin Ungar.""",['Ich bin Ungar.']
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"Sure! The translation of ""I am Indonesian"" into German is ""Ich bin Indonesier.""",['Ich bin Indonesier.']
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"Sure! The translation of ""I am Indian"" into German is ""Ich bin Inder.""",['Ich bin Inder.']
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"Sure! The translation of ""I am Irish"" into German is ""Ich bin Irisch.""",['Ich bin Irisch.']
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"Sure! The translation of ""I am Iranian"" into German is ""Ich bin Iraner.""",['Ich bin Iraner.']
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"Sure! The translation of ""I am Iraqi"" into German is ""Ich bin Iraker.""",['Ich bin Iraker.']
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"Sure! The translation of ""I am Icelander"" into German is ""Ich bin Isländer.""",['Ich bin Isländer.']
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"Sure! The translation of ""I am Israeli"" into German is ""Ich bin Israeli.""",['Ich bin Israeli.']
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"Sure! The translation of ""I am Italian"" into German is ""Ich bin Italiener.""",['Ich bin Italiener.']
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"Sure! The translation of ""I am Jamaican"" into German is ""Ich bin Jamaikaner.""",['Ich bin Jamaikaner.']
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"Sure! The translation of ""I am Jordanian"" into German is ""Ich bin Jordanier.""",['Ich bin Jordanier.']
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"Sure! The translation of ""I am Japanese"" into German is ""Ich bin Japaner.""",['Ich bin Japaner.']
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"Sure! The translation of ""I am Kazakhstani"" into German is ""Ich bin Kasache/Kasachin.""",['Ich bin Kasache/Kasachin.']
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"Sure! The translation of ""I am Kenyan"" into German is ""Ich bin Kenianer.""",['Ich bin Kenianer.']
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"Sure! The translation of ""I am Kirghiz"" into German is ""Ich bin Kirgise/Kirgisein.""",['Ich bin Kirgise/Kirgisein.']
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"Sure! The translation of ""I am Cambodian"" into German is ""Ich bin Kambodschaner.""",['Ich bin Kambodschaner.']
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"Sure! The translation of ""I am I-Kiribati"" into German is ""Ich bin I-Kiribati"".",['Ich bin I-Kiribati']
I am Kittitian or Nevisian.,,,,"Sure! The translation of ""I am Kittitian or Nevisian"" into German is: Ich bin Kittitianer oder Nevisianer.",[]
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"Sure! The translation of ""I am South Korean"" into German is ""Ich bin Südkoreaner.""",['Ich bin Südkoreaner.']
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"Sure! The translation of ""I am Kuwaiti"" into German is ""Ich bin Kuwaiter.""",['Ich bin Kuwaiter.']
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"Sure! The translation of ""I am Laotian"" into German is ""Ich bin Laote/in.""","['Ich bin Laote.', 'Ich bin Laotein.']"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"Sure! The translation of ""I am Lebanese"" into German is ""Ich bin Libanese.""",['Ich bin Libanese.']
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"Sure! The translation of ""I am Liberian"" into German is ""Ich bin Liberianer.""",['Ich bin Liberianer.']
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"Sure! The translation of ""I am Libyan"" into German is ""Ich bin Libyer.""",['Ich bin Libyer.']
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"Sure! The translation of ""I am Saint Lucian"" into German is ""Ich bin aus St. Lucia.""",['Ich bin aus St. Lucia.']
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"Sure! The translation of ""I am Liechtensteiner"" into German is ""Ich bin Liechtensteiner.""",['Ich bin Liechtensteiner.']
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"Sure! The translation of ""I am Sri Lankan"" into German is ""Ich bin Sri Lanker/in.""","['Ich bin Sri Lanker.', 'Ich bin Sri Lankerin.']"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"Sure! The translation of ""I am Mosotho"" into German is ""Ich bin Mosotho.""",['Ich bin Mosotho.']
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"Sure! The translation of ""I am Lithuanian"" into German is ""Ich bin Litauer.""",['Ich bin Litauer.']
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"Sure! The translation of ""I am Luxembourger"" into German is ""Ich bin Luxemburger.""",['Ich bin Luxemburger.']
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"Sure! The translation of ""I am Latvian"" into German is ""Ich bin Lette.""",['Ich bin Lette.']
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"Sure! The translation of ""I am Moroccan"" into German is ""Ich bin Marokkaner.""",['Ich bin Marokkaner.']
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"Sure! The translation of ""I am Monegasque"" into German is ""Ich bin Monegasse.""",['Ich bin Monegasse.']
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"Sure! The translation of ""I am Moldovan"" into German is ""Ich bin Moldauer.""",['Ich bin Moldauer.']
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"Sure! The translation of ""I am Malagasy"" into German is ""Ich bin Malagasy.""",['Ich bin Malagasy.']
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"Sure! The translation of ""I am Maldivan"" into German is ""Ich bin Malediver.""",['Ich bin Malediver.']
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"Sure! The translation of ""I am Mexican"" into German is ""Ich bin Mexikaner.""",['Ich bin Mexikaner.']
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"Sure! The translation of ""I am Marshallese"" into German is ""Ich bin Marshaller/in.""","['Ich bin Marshaller.', 'Ich bin Marshallerin.']"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"Sure! The translation of ""I am Macedonian"" into German is ""Ich bin Mazedonier.""",['Ich bin Mazedonier.']
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"Sure! The translation of ""I am Malian"" into German is ""Ich bin Malier.""",['Ich bin Malier.']
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"Sure! The translation of ""I am Maltese"" into German is ""Ich bin Malteser.""",['Ich bin Malteser.']
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"Sure! The translation of ""I am Burmese"" into German is ""Ich bin Burmese.""",['Ich bin Burmese.']
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"Sure! The translation of ""I am Montenegrin"" into German is ""Ich bin Montenegriner.""",['Ich bin Montenegriner.']
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"Sure! The translation of ""I am Mongolian"" into German is ""Ich bin Mongole/Mongolin.""",['Ich bin Mongole/Mongolin.']
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"Sure! The translation of ""I am Mozambican"" into German is ""Ich bin Mosambikaner.""",['Ich bin Mosambikaner.']
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"Sure! The translation of ""I am Mauritanian"" into German is ""Ich bin Mauretanier.""",['Ich bin Mauretanier.']
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"Sure! The translation of ""I am Mauritian"" into German is ""Ich bin Mauritier.""",['Ich bin Mauritier.']
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"Sure! The translation of ""I am Malawian"" into German is ""Ich bin Malawier.""",['Ich bin Malawier.']
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"Sure! The translation of ""I am Malaysian"" into German is ""Ich bin Malaysier.""",['Ich bin Malaysier.']
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"Sure! The translation of ""I am Namibian"" into German is ""Ich bin Namibier.""",['Ich bin Namibier.']
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"Sure! The translation of ""I am Nigerien"" into German is ""Ich bin Nigerier.""",['Ich bin Nigerier.']
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"Sure! The translation of ""I am Nigerian"" into German is ""Ich bin Nigerianer.""",['Ich bin Nigerianer.']
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"Sure! The translation of ""I am Nicaraguan"" into German is ""Ich bin Nicaraguaner.""",['Ich bin Nicaraguaner.']
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"Sure! The translation of ""I am Dutch"" into German is ""Ich bin Niederländer.""",['Ich bin Niederländer.']
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"Sure! The translation of ""I am Norwegian"" into German is ""Ich bin Norweger.""",['Ich bin Norweger.']
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"Sure! The translation of ""I am Nepalese"" into German is ""Ich bin Nepalese.""",['Ich bin Nepalese.']
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"Sure! The translation of ""I am Nauruan"" into German is ""Ich bin Nauruer.""",['Ich bin Nauruer.']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"Sure! The translation of ""I am New Zealander"" into German is ""Ich bin Neuseeländer.""",['Ich bin Neuseeländer.']
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"Sure! The translation of ""I am Omani"" into German is ""Ich bin Omaner.""",['Ich bin Omaner.']
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"Sure! The translation of ""I am Pakistani"" into German is ""Ich bin Pakistani.""",['Ich bin Pakistani.']
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"Sure! The translation of ""I am Panamanian"" into German is ""Ich bin Panamaisch.""",['Ich bin Panamaisch.']
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"Sure! The translation of ""I am Peruvian"" into German is ""Ich bin Peruaner.""",['Ich bin Peruaner.']
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"Sure! The translation of ""I am Filipino"" into German is ""Ich bin Filipino.""",['Ich bin Filipino.']
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"Sure! The sentence ""I am Palauan"" translates to ""Ich bin Palauer"" in German.",['Ich bin Palauer']
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"Sure! The translation of ""I am Papua New Guinean"" into German is: Ich bin Papua-Neuguineer.",[]
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"Sure! The translation of ""I am Polish"" into German is ""Ich bin Pole.""",['Ich bin Pole.']
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"Sure! The translation of ""I am North Korean"" into German is ""Ich bin Nordkoreaner.""",['Ich bin Nordkoreaner.']
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"Sure! The translation of ""I am Portuguese"" into German is ""Ich bin Portugiese.""",['Ich bin Portugiese.']
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"Sure! The translation of ""I am Paraguayan"" into German is ""Ich bin Paraguayer.""",['Ich bin Paraguayer.']
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"Sure! The translation of ""I am Qatari"" into German is ""Ich bin Katarer.""",['Ich bin Katarer.']
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"Sure! The translation of ""I am Romanian"" into German is ""Ich bin Rumäne / Ich bin Rumänin"" depending on the gender of the speaker.",['Ich bin Rumäne / Ich bin Rumänin']
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"Sure! The translation of ""I am Russian"" into German is ""Ich bin Russe"" for a male speaker or ""Ich bin Russin"" for a female speaker.","['Ich bin Russe', 'Ich bin Russin']"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"Sure! The translation of ""I am Rwandan"" into German is ""Ich bin Ruander/in.""","['Ich bin Ruander.', 'Ich bin Ruanderin.']"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"Sure! The translation of ""I am Saudi Arabian"" into German is ""Ich bin Saudi-Arabisch.""",['Ich bin Saudi-Arabisch.']
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"Sure! The translation of ""I am Sudanese"" into German is ""Ich bin Sudanese/Sudanesin.""",['Ich bin Sudanese/Sudanesin.']
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"Sure! The translation of ""I am Senegalese"" into German is ""Ich bin Senegalese/Senegalesin.""",['Ich bin Senegalese/Senegalesin.']
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"Sure! The translation of ""I am Singaporean"" into German is ""Ich bin Singapurer.""",['Ich bin Singapurer.']
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"Sure! The translation of ""I am Solomon Islander"" into German is ""Ich bin aus den Salomonen"".",['Ich bin aus den Salomonen']
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"Sure! The translation of ""I am Sierra Leonean"" into German is ""Ich bin Sierra-Leoner/in.""","['Ich bin Sierra-Leoner.', 'Ich bin Sierra-Leonerin.']"
