eng,deu_m,deu_f,deu_n,extracted
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,['Ich bin Kolumbianer.']
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,['Ich bin Komorer.']
I am Cape Verdian.,,,,['Ich bin Kapverdier.']
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,['Ich bin Costa Ricaner.']
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,['Ich bin Kubaner.']
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,['Ich bin Zyprer.']
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,['Ich bin Tscheche.']
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,['Ich bin Deutsch.']
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,['Ich bin Djibouti.']
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,['Ich bin Dominikaner.']
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,['Ich bin Dänisch.']
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,['Ich bin Dominikaner.']
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,['Ich bin Algerier.']
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,['Ich bin Ecuadorianer.']
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,['Ich bin Ägypter.']
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,['Ich bin Eritreer.']
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,['Ich bin Spanier.']
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,['Ich bin Este(in).']
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,['Ich bin Äthiopier.']
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,['Ich bin Finne.']
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,['Ich bin Fidschianer.']
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"['Ich bin Franzose', 'Ich bin Französin']"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,['Ich bin Mikronesier.']
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,['Ich bin Gabuner.']
I am British.,Ich bin Brite.,Ich bin  Britin.,,['Ich bin Brite.']
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,['Ich bin Georgier.']
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,['Ich bin Ghanaer.']
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,['Ich bin Guineer.']
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,['Ich bin Gambier.']
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,['Ich bin aus Guinea-Bissau.']
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,['Ich bin Äquatorialguineer.']
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,['Ich bin Grieche.']
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"['Ich bin Grenadier.', 'Ich bin Grenadierin.']"
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"['Ich bin Guatemalteke.', 'Ich bin Guatemaltekein.']"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,['Ich bin Guyaner.']
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,['Ich bin Honduraner.']
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"['Ich bin Kroate', 'Ich bin Kroatin']"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,['Ich bin Haitianer.']
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,['Ich bin Ungar.']
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,['Ich bin Indonesier.']
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,['Ich bin Inder.']
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,['Ich bin Irisch.']
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,['Ich bin Iraner.']
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,['Ich bin Iraker.']
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,['Ich bin Isländer.']
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin Israeli.']
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,['Ich bin Italiener.']
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,['Ich bin Jamaikaner.']
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,['Ich bin Jordanier.']
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,['Ich bin Japaner.']
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"['Ich bin Kasache.', 'Ich bin Kasachin.']"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,['Ich bin Kenianer.']
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"['Ich bin Kirgise.', 'Ich bin Kirgisein.']"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,['Ich bin Kambodschaner.']
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,['Ich bin I-Kiribati']
I am Kittitian or Nevisian.,,,,[]
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,['Ich bin Südkoreaner.']
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,['Ich bin Kuwaiter.']
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"['Ich bin Laote.', 'Ich bin Laotein.']"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,['Ich bin Libanese.']
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,['Ich bin Liberianer.']
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,['Ich bin Libyer.']
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,['Ich bin aus St. Lucia.']
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,['Ich bin Liechtensteiner.']
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"['Ich bin Sri Lanker.', 'Ich bin Sri Lankerin.']"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,['Ich bin Mosotho.']
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,['Ich bin Litauer.']
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,['Ich bin Luxemburger.']
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,['Ich bin Lette.']
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,['Ich bin Marokkaner.']
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,['Ich bin Monegasse.']
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,['Ich bin Moldauer.']
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,['Ich bin Malagasy.']
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,['Ich bin Malediver.']
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,['Ich bin Mexikaner.']
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"['Ich bin Marshaller.', 'Ich bin Marshallerin.']"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,['Ich bin Mazedonier.']
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,['Ich bin Malier.']
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,['Ich bin Malteser.']
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,['Ich bin Burmese.']
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,['Ich bin Montenegriner.']
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"['Ich bin Mongole.', 'Ich bin Mongolin.']"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,['Ich bin Mosambikaner.']
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,['Ich bin Mauretanier.']
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,['Ich bin Mauritier.']
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,['Ich bin Malawier.']
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,['Ich bin Malaysier.']
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,['Ich bin Namibier.']
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,['Ich bin Nigerier.']
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,['Ich bin Nigerianer.']
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,['Ich bin Nicaraguaner.']
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,['Ich bin Niederländer.']
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,['Ich bin Norweger.']
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,['Ich bin Nepalese.']
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,['Ich bin Nauruer.']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,['Ich bin Neuseeländer.']
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,['Ich bin Omaner.']
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,['Ich bin Pakistani.']
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,['Ich bin Panamaisch.']
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,['Ich bin Peruaner.']
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,['Ich bin Filipino.']
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,['Ich bin Palauer']
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,[]
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,['Ich bin Pole.']
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,['Ich bin Nordkoreaner.']
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,['Ich bin Portugiese.']
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,['Ich bin Paraguayer.']
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,['Ich bin Katarer.']
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"['Ich bin Rumäne', 'Ich bin Rumänin']"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"['Ich bin Russe', 'Ich bin Russin']"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"['Ich bin Ruander.', 'Ich bin Ruanderin.']"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,['Ich bin Saudi-Arabisch.']
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"['Ich bin Sudanese.', 'Ich bin Sudanesin.']"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"['Ich bin Senegalese.', 'Ich bin Senegalesin.']"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,['Ich bin Singapurer.']
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,['Ich bin aus den Salomonen']
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"['Ich bin Sierra-Leoner.', 'Ich bin Sierra-Leonerin.']"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,['Ich bin Salvadorianer.']
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,['Ich bin Sammarinese.']
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,['Ich bin Somali.']
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"['Ich bin Serbe', 'Ich bin Serbin']"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"['Ich bin Südsudanese.', 'Ich bin Südsudanesin.']"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,['Ich bin aus São Tomé und Príncipe.']
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,['Ich bin Surinamer.']
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"['Ich bin Slowake.', 'Ich bin Slowakin.']"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,['Ich bin Slowene.']
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,['Ich bin Schwede.']
I am Swazi.,,,Ich bin Swasi.,['Ich bin Swasi.']
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,['Ich bin Seychellois.']
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,['Ich bin Syrer.']
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,['Ich bin Tschader.']
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"['Ich bin Togolese.', 'Ich bin Togolesin.']"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,['Ich bin Thai.']
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,['Ich bin Tadschike.']
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,['Ich bin Turkmenisch.']
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"['Ich bin Osttimorese.', 'Ich bin Osttimoresin.']"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,['Ich bin Tonganer.']
I am Trinidadian.,,,,['Ich bin aus Trinidad.']
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,['Ich bin Tunesier.']
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"['Ich bin Türke', 'Ich bin Türkin']"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,['Ich bin Tuvaluaner.']
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,['Ich bin Tansanier.']
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,['Ich bin Ugander.']
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,['Ich bin Ukrainer.']
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,['Ich bin Uruguayer.']
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,['Ich bin Amerikaner.']
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"['Ich bin Usbeke.', 'Ich bin Usbekin.']"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,['Ich bin Vincentiner.']
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,['Ich bin Venezolaner.']
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,['Ich bin Vietnamese.']
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,['Ich bin Ni-Vanuatu.']
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,['Ich bin Samoaner.']
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,['Ich bin Jemenit.']
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,['Ich bin Südafrikaner.']
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,['Ich bin Sambier.']
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"['Ich bin Simbabwer.', 'Ich bin Simbabwerin.']"
