eng,fra_m,fra_f,fra_n,output
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"Je suis Gabonais(e).
"
I am British.,Je suis Britannique.,Je suis Britannique.,,"Je suis britannique.
"
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"Je suis géorgien(ne).
"
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"Je suis Ghanéen(ne).

If you are male, use ""Ghanéen"".  If you are female, use ""Ghanéenne"".
"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"Je suis Guinéen(ne).
"
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"Je suis Gambien(ne).

Note: If you are male, use ""Gambien."" If you are female, use ""Gambienne.""
"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"Je suis Bissau-Guinéen(ne).

Note:  Bissau-Guinéen is used for male, and Bissau-Guinéenne is used for female.  If you don't want to specify gender, using the masculine form is generally accepted.
"
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"Je suis équato-guinéen(ne).

Use *équato-guinéen* if you are male and *équato-guinéenne* if you are female.
"
I am Greek.,Je suis Grec.,Je suis Grecque.,,"Je suis Grec. (masculine)

Je suis Grecque. (feminine)
"
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"Je suis Grenadien(ne).

You use *Grenadien* if you are male and *Grenadienne* if you are female.
"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"Je suis guatémaltèque.
"
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"Je suis Guyanien(ne).

You use *Guyanien* if you are male and *Guyanienne* if you are female.
"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"Je suis hondurien(ne).

Use ""hondurien"" if you are male and ""hondurienne"" if you are female.
"
I am Croatian.,Je suis Croate.,Je suis Croate.,,"Je suis croate.
"
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"Je suis Haïtien(ne).

You use *Haïtien* if you are male and *Haïtienne* if you are female.
"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"Je suis hongrois(e).
"
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"Je suis indonésien(ne).
"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"Je suis Indien(ne).

If you are a male, use ""Indien"".  If you are a female, use ""Indienne"".
"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"Je suis irlandais(e).

You use *irlandais* if you are a male and *irlandaise* if you are a female.
"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"Je suis iranien(ne).
"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"Je suis Irakien(ne).

If you are male, use *Irakien*.  If you are female, use *Irakienne*.
"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"The most straightforward translation is: **Je suis Islandais(e).**

You need to use the masculine form, *Islandais*, if you are a man, and the feminine form, *Islandaise*, if you are a woman.
"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"Je suis israélien(ne).
"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"Je suis italien(ne).

You use *italien* if you are a male, and *italienne* if you are a female.
"
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"Je suis Jamaïcain(e).

You use *Jamaïcain* if you are male and *Jamaïcaine* if you are female.
"
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"Je suis Jordanien(ne).

Use *Jordanien* if you are male and *Jordanienne* if you are female.
"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"Je suis japonais(e).

You use *japonais* if you are a male and *japonaise* if you are a female.
"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"Je suis kazakhstanais(e).

You need to use the masculine form (kazakhstanais) if you are a male, and the feminine form (kazakhstanaise) if you are a female.
"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"Je suis Kenyan(ne).

You use *Kenyan* if you are a male and *Kenyanne* if you are a female.  If the gender is unknown or you wish to be gender-neutral, it's generally accepted to use the masculine form *Kenyan*.
"
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"Je suis Kirghiz/Kirghize.

Both ""Kirghiz"" and ""Kirghize"" are accepted spellings in French.  ""Kirghiz"" is slightly more common and considered more modern.  ""Kirghize"" is older and more traditional.  They are pronounced the same.
"
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"Je suis cambodgien(ne).
"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"Je suis I-Kiribati.
"
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"Je suis Kittitien(ne) ou Névicien(ne).
"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"Je suis Sud-Coréen(ne).

If you are male, use *Sud-Coréen*.  If you are female, use *Sud-Coréenne*.
"
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"Je suis Koweïtien(ne).

If you are male, use *Koweïtien*.  If you are female, use *Koweïtienne*.
"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"Je suis laotien(ne).

You use *laotien* if you are a male and *laotienne* if you are a female.
"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"Je suis libanais(e).
"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"Je suis Libérien(ne).
"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"Je suis Libyen(ne).

If you are male, use ""Libyen"".  If you are female, use ""Libyenne"".
"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"Je suis Saint-Lucien(ne).

You use Saint-Lucien for a male and Saint-Lucienne for a female.  If you're unsure of the gender of the person you're speaking to, or speaking generally, you could say:

Je suis de Sainte-Lucie. (I am from Saint Lucia.) This is generally preferred as it avoids gender issues.
"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"Je suis Liechtensteinois(e).

You use *Liechtensteinois* if you are male and *Liechtensteinoise* if you are female.
"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"Je suis sri-lankais(e).
"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"Je suis Mosotho.
"
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"Je suis lituanien(ne).
"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"Je suis Luxembourgeois(e).

You need to use the masculine form (Luxembourgeois) if you are a male and the feminine form (Luxembourgeoise) if you are a female.
"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"Je suis letton(ne).
"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"Je suis marocain(e).
"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"Je suis Monégasque.
"
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"Je suis Moldave. (masculine)
Je suis Moldave. (feminine)

The word ""Moldave"" is the same for both masculine and feminine forms.
"
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"Je suis malgache.
"
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"Je suis Maldivien(ne).

You need both the masculine (Maldivien) and feminine (Maldivienne) forms because French adjectives agree with the gender of the subject.  If you are a male, you would use ""Maldivien."" If you are a female, you would use ""Maldivienne.""
"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"Je suis mexicain(e).

You use *mexicain* if you are a male and *mexicaine* if you are a female.
"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"Je suis Marshallais(e).

If you are a male, use ""Marshallais"". If you are a female, use ""Marshallaise"".  If you are writing and don't know the gender of the person, or are referring to a mixed group, the masculine form ""Marshallais"" is generally used.
"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"Je suis macédonien(ne).
"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"Je suis Malien(ne).
"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"Je suis Maltais(e).

You use *Maltais* if you are a man and *Maltaise* if you are a woman.  If you are referring to a group of mixed gender or you don't know the gender, use *Maltais*.
"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"Je suis birman. (masculine)
Je suis birmane. (feminine)
"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"Je suis Monténégrin(e).

Note: Use *Monténégrin* if you are male and *Monténégrine* if you are female.
"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"Je suis Mongol(e).

You use ""Mongol"" if you are a man and ""Mongole"" if you are a woman.  If you're writing and don't know the gender of the person you're referring to, or are referring to a mixed group, the masculine form (""Mongol"") is generally used.
"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"Je suis mozambicain(e).
"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"Je suis mauritanien(ne).
"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"Je suis Mauricien(ne).

You need both the masculine (Mauricien) and feminine (Mauritienne) forms because the French adjective for nationality agrees with the gender of the person.  If you are a male, use *Mauricien*. If you are a female, use *Mauritienne*.
"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"Je suis Malawite.
"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"Je suis Malaisien. (masculine)

Je suis Malaisienne. (feminine)
"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"Je suis Namibien(ne).
"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"Je suis Nigérien(ne).

You need both the masculine (Nigérien) and feminine (Nigérienne) forms because without further context, it's impossible to know the gender of the speaker.  If you know the speaker is male, use *Nigérien*. If you know the speaker is female, use *Nigérienne*.
"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"Je suis Nigérian(e).

You need to use the correct adjective ending depending on your gender:

* **Nigérian:** if you are male
* **Nigériane:** if you are female
"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"Je suis Nicaraguayen(ne).

You use *Nicaraguayen* if you are male and *Nicaraguayenne* if you are female.
"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"Je suis néerlandais(e).
"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"Je suis norvégien(ne).
"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"Je suis népalais(e).
"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"Je suis Nauruan/Nauruane.

While ""Nauruan"" is often used in English for both genders, French often distinguishes.  If the speaker is male, use *Nauruan*. If female, use *Nauruane*.  If you don't know the gender or want to be inclusive, you could also say:

* Je suis originaire de Nauru. (I am from Nauru.) - This avoids the gender issue altogether.
"
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"The most common and natural translation is: **Je suis Néo-Zélandais(e).**

Use *Néo-Zélandais* if you are male, and *Néo-Zélandaise* if you are female.
"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"Je suis omanais(e).
"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"Je suis Pakistanais(e).
"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"Je suis panaméen(ne).
"
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"Je suis péruvien(ne).
"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"Je suis Philippin(e).

Use *Philippin* if you are male and *Philippine* if you are female.
"
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"Je suis Palaosien(ne).

You use ""Palaosien"" for a male and ""Palaosienne"" for a female.  If you don't want to specify gender, using the masculine form ""Palaosien"" is generally accepted.
"
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"Je suis Papou(e)-Néo-Guinéen(ne).
"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"Je suis polonais(e).
"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"Je suis Nord-Coréen(ne).

Use *Nord-Coréen* if you are male and *Nord-Coréenne* if you are female.
"
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"Je suis portugais(e).
"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"Je suis paraguayen(ne).
"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"Je suis Qatari(e).

You need both the masculine (Qatari) and feminine (Qatarie) forms because without more context, it's impossible to know the gender of the speaker.  If you know the gender, you would use only the appropriate form.
"
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"Je suis roumain(e).
"
I am Russian.,Je suis Russe.,Je suis Russe.,,"Je suis russe.
"
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"Je suis Rwandais(e).

You use ""Rwandais"" if you are a male and ""Rwandaise"" if you are a female.  If you are talking about a mixed group or want to be gender-neutral, you can write ""Rwandais·e"" with a middle dot.  However, this is less common than simply using the masculine form.
"
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"Je suis Saoudien(ne).

If you are male, use *Saoudien*.  If you are female, use *Saoudienne*.
"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"Je suis Soudanais(e).
"
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"Je suis sénégalais(e).
"
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"Je suis singapourien(ne).
"
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"Je suis salomonais(e).

If you are male, use *salomonais*.  If you are female, use *salomonaise*.
"
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"Je suis Sierra-Léonais(e).

You use Sierra-Léonais if you are a man and Sierra-Léonaise if you are a woman.
"
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"Je suis Salvadorien(ne).

You use *Salvadorien* if you are male and *Salvadorienne* if you are female.
"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"Je suis Saint-Marinais(e).
"
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"Je suis Somalien(ne).
"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"Je suis serbe.
"
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"Je suis Sud-Soudanais(e).
"
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"Je suis santoméen(ne).

You use santoméen for a male and santoméenne for a female.  If you don't want to specify gender, you could also say:

Je suis originaire de Sao Tomé-et-Principe. (I am from Sao Tome and Principe)
"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"Je suis Surinamais(e).

You use *Surinamais* if you are male and *Surinamaise* if you are female.
"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"Je suis slovaque.
"
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"Je suis slovène.
"
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"Je suis suédois(e).
"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"Je suis Swazi.
"
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"Je suis Seychellois(e).
"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"Je suis syrien(ne).

If you are male, use ""syrien.""  If you are female, use ""syrienne.""
"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"Je suis tchadien(ne).
"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"Je suis Togolais(e).
"
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"Je suis thaïlandais(e).

If you are male, use *thaïlandais*.  If you are female, use *thaïlandaise*.
"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"Je suis tadjik.
"
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"Je suis Turkmène.
"
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"Je suis est-timorais(e).

You use *est-timorais* if you are male and *est-timoraise* if you are female.
"
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"Je suis tongien(ne).
"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"Je suis Trinidadien(ne).

You use *Trinidadien* if you are male and *Trinidadienne* if you are female.
"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"Je suis tunisien(ne).

Use *tunisien* if you are male and *tunisienne* if you are female.
"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"Je suis turc. (masculine)
Je suis turque. (feminine)
"
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"Je suis Tuvaluan.
"
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"Je suis Tanzanien(ne).
"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"Je suis Ougandais(e).

You need to use the masculine (Ougandais) if you are a male, and the feminine (Ougandaise) if you are a female.
"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"Je suis Ukrainien(ne).
"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"Je suis uruguayen(ne).
"
I am American.,Je suis Américain.,Je suis Américaine.,,"Je suis américain(e).

You use *américain* if you are a male and *américaine* if you are a female.
"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"Je suis ouzbek. (masculine)
Je suis ouzbèke. (feminine)
"
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"The most straightforward translation is: **Je suis Saint-Vincentais(e).**

You use *Saint-Vincentais* if you are a man and *Saint-Vincentaise* if you are a woman.  If you're writing and don't know the gender of the reader, you could write:  **Je suis Saint-Vincentais(e).** using the parenthesized 'e'.

If you are referring to Saint Vincent and the Gre"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"Je suis Vénézuélien(ne).
"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"Je suis vietnamien(ne).

You use *vietnamien* if you are a male and *vietnamienne* if you are a female.
"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"Je suis Ni-Vanuatu.
"
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"Je suis Samoan(e).

You use ""Samoan"" if you are male and ""Samoane"" if you are female.  If you don't want to specify, or are writing in a more formal context, ""Samoan"" is generally accepted.
"
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"Je suis Yéménite.
"
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"Je suis Sud-Africain(e).

You use *Sud-Africain* if you are male and *Sud-Africaine* if you are female.
"
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"Je suis zambien(ne).

You use ""zambien"" if you are male and ""zambienne"" if you are female.
"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"Je suis Zimbabwéen(ne).
"
