eng,it_m,it_f,it_n,output
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"Sono bielorusso/bielorussa.

* **Sono bielorusso** is used if the speaker is male.
* **Sono bielorussa** is used if the speaker is female.
"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"Sono belizegno/a.

* **Sono belizegno** is used for a male speaker.
* **Sono belizegna** is used for a female speaker.
"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"Sono boliviano/a.

* **Sono boliviano** is used if the speaker is male.
* **Sono boliviana** is used if the speaker is female.
"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"Sono brasiliano/brasiliana.

* **Sono brasiliano** is used if the speaker is male.
* **Sono brasiliana** is used if the speaker is female.
"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"Sono barbadiano/a.

* **Sono barbadiano** is used for a male speaker.
* **Sono barbadiana** is used for a female speaker.
"
I am Bruneian.,,,,"Sono bruneiano/bruneiana.

* **Sono bruneiano** is used for a male speaker.
* **Sono bruneiana** is used for a female speaker.
"
I am Bhutanese.,,,Sono bhutanese.,"Sono bhutanese.
"
I am Motswana.,Sono botswano.,Sono botswana.,,"Sono Motswana.
"
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"The most straightforward translation is:  **Sono centroafricano/a.**

* **Sono** = I am
* **centroafricano** = Central African (masculine)
* **centroafricana** = Central African (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Canadian.,,,Sono canadese.,"Sono canadese.
"
I am Swiss.,Sono svizzero.,Sono svizzera.,,"Sono svizzero (masculine) or Sono svizzera (feminine).
"
I am Chilean.,Sono cileno.,Sono cilena.,,"Sono cileno/a.

* **Sono cileno** is used if the speaker is male.
* **Sono cilena** is used if the speaker is female.
"
I am Chinese.,,,Sono cinese.,"Sono cinese.
"
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"Sono ivoriano/a.

* **Sono ivoriano** is used if the speaker is male.
* **Sono ivoriana** is used if the speaker is female.
"
I am Cameroonian.,,,Sono camerunese.,"Sono camerunese.
"
I am Congolese.,,,Sono congolese.,"Sono congolese.
"
I am Congolese.,,,Sono congolese.,"Sono congolese.
"
I am Colombian.,Sono colombiano.,Sono colombiana.,,"Sono colombiano/a.

* **Sono colombiano** is used if the speaker is a male.
* **Sono colombiana** is used if the speaker is a female.
"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"The most straightforward translation is: **Sono comorano/a.**

* **Sono** means ""I am""
* **comorano** is the masculine form of Comoran
* **comorana** is the feminine form of Comoran

You need to use the masculine or feminine form depending on your gender.
"
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"The most straightforward translation is: **Sono capoverdiano/capoverdiana.**

* **Sono capoverdiano** is used if the speaker is male.
* **Sono capoverdiana** is used if the speaker is female.
"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"Sono costaricano/a.

* **Sono costaricano** is used if you are a male.
* **Sono costaricana** is used if you are a female.
"
I am Cuban.,Sono cubano.,Sono cubana.,,"Sono cubano. (masculine)
Sono cubana. (feminine)
"
I am Cypriot.,,,Sono cipriota.,"Sono cipriota. (If the speaker is female)

Sono ciprioto. (If the speaker is male)
"
I am Czech.,Sono ceco.,Sono ceca.,,"Sono ceco/ceca.

* **Sono ceco** is used if the speaker is male.
* **Sono ceca** is used if the speaker is female.
"
I am German.,Sono tedesco.,Sono tedesca.,,"Sono tedesco/a.

* **Sono tedesco** is used if the speaker is male.
* **Sono tedesca** is used if the speaker is female.
"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"There isn't a direct translation of ""I am Djibouti"" that works in Italian in the same way it does in English.  The English sentence uses ""I am"" to express identity with a place, which is unusual.

You would need to rephrase it depending on the context.  Here are a few options:

* **Sono di Gibuti:** This translates to ""I am from Djibouti,"" which is the most likely and natural way to express the idea in Italian.

*"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The most straightforward translation is: **Sono dominicano/a.**

* **Sono dominicano** is used if the speaker is a male.
* **Sono dominicana** is used if the speaker is a female.
"
I am Danish.,,,Sono danese.,"Sono danese.
"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The most straightforward translation is:  **Sono dominicano/a.**

* **Sono dominicano** is used if the speaker is a male.
* **Sono dominicana** is used if the speaker is a female.
"
I am Algerian.,Sono algerino.,Sono algerina.,,"Sono algerino/a.

* **Sono algerino** is used if the speaker is male.
* **Sono algerina** is used if the speaker is female.
"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"Sono ecuadoriano/a.

* **Sono ecuadoriano** is used if the speaker is male.
* **Sono ecuadoriana** is used if the speaker is female.
"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"Sono egiziano (masculine) or Sono egiziana (feminine).
"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"Sono eritrea/o.

* **Sono eritrea** is used if the speaker is female.
* **Sono eritreo** is used if the speaker is male.
"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"Sono spagnolo/a.

* **Sono spagnolo** is used if the speaker is a male.
* **Sono spagnola** is used if the speaker is a female.
"
I am Estonian.,,,Sono estone.,"Sono estone.
"
I am Ethiopian.,,,Sono etiope.,"Sono etiope.
"
I am Finnish.,,,Sono finlandese.,"Sono finlandese.
"
I am Fijian.,Sono figiano.,Sono figiana.,,"The most straightforward translation is: **Sono fijiano/fijiana.**

* **Sono fijiano** is used if the speaker is male.
* **Sono fijiana** is used if the speaker is female.
"
I am French.,,,Sono francese.,"Sono francese.
"
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"The most straightforward translation is:  **Sono micronesiano/a.**

* **Sono** = I am
* **micronesiano** = Micronesian (masculine)
* **micronesiana** = Micronesian (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Gabonese.,,,Sono gabonese.,"Sono gabonese.
"
I am British.,Sono britannico.,Sono britannica.,,"Sono britannico/a.

* **Sono britannico** is used if the speaker is male.
* **Sono britannica** is used if the speaker is female.
"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"Sono georgiano/a.

* **Sono georgiano** is used if the speaker is a male.
* **Sono georgiana** is used if the speaker is a female.
"
I am Ghanaian.,,,Sono ghanese.,"Sono ghanese.
"
I am Guinean.,Sono guineano.,Sono guineana.,,"Sono guineano/guineana.

* **Sono guineano** is used if the speaker is male.
* **Sono guineana** is used if the speaker is female.
"
I am Gambian.,Sono gambiano.,Sono gambiana.,,"Sono gambiano/gambiana.

* **Sono gambiano** is used if the speaker is male.
* **Sono gambiana** is used if the speaker is female.
"
I am Guinea-Bissauan.,,,Sono guineense.,"The most straightforward translation is:  **Sono guineobissauense.**
"
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"The most straightforward translation is:  **Sono guineano equatoriale.**
"
I am Greek.,Sono greco.,Sono greca.,,"Sono greco/greca.

* **Sono greco** is used if the speaker is a male.
* **Sono greca** is used if the speaker is a female.
"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"Sono granadiano/a.

* **Sono granadiano** is used if you are a male.
* **Sono granadiana** is used if you are a female.
"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"Sono guatemalteco/a.

* **Sono guatemalteco** is used if you are a male.
* **Sono guatemalteca** is used if you are a female.
"
I am Guyanese.,,,Sono guyanese.,"Sono Guyanese.
"
I am Honduran.,Sono honduregno.,Sono honduregna.,,"Sono honduregno/a.

* **Sono honduregno** is used for a male speaker.
* **Sono honduregna** is used for a female speaker.
"
I am Croatian.,Sono croato.,Sono croata.,,"Sono croato/a.

* **Sono croato** is used if the speaker is male.
* **Sono croata** is used if the speaker is female.
"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"Sono haitiano/a.

* **Sono haitiano** is used if the speaker is male.
* **Sono haitiana** is used if the speaker is female.
"
I am Hungarian.,,,Sono ungherese.,"Sono ungherese.
"
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"Sono indonesiano/indonesiana.

* **Sono indonesiano** is used if the speaker is male.
* **Sono indonesiana** is used if the speaker is female.
"
I am Indian.,Sono indiano.,Sono indiana.,,"Sono indiano/a.

* **Sono indiano** is used if the speaker is a male.
* **Sono indiana** is used if the speaker is a female.
"
I am Irish.,,,Sono irlandese.,"Sono irlandese.
"
I am Iranian.,Sono iraniano.,Sono iraniana.,,"Sono iraniano/a.

* **Sono iraniano** is used if the speaker is male.
* **Sono iraniana** is used if the speaker is female.
"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"Sono iracheno (masculine) or Sono irachena (feminine).
"
I am Icelander.,,,Sono islandese.,"The most straightforward translation is: **Sono islandese.**
"
I am Israeli.,Sono israeliano.,Sono israeliana.,,"Sono israeliano (masculine) or Sono israeliana (feminine).
"
I am Italian.,Sono italiano.,Sono italiana.,,"Sono italiano/a.

* **Sono italiano** is used if the speaker is a male.
* **Sono italiana** is used if the speaker is a female.
"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"Sono giamaicano/a.

* **Sono giamaicano** is used if you are a male.
* **Sono giamaicana** is used if you are a female.
"
I am Jordanian.,Sono giordano.,Sono giordana.,,"Sono giordano.
"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"Sono giapponese.
"
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"Sono kazako/kazaka.

* **Sono kazako** is used if the speaker is male.
* **Sono kazaka** is used if the speaker is female.
"
I am Kenyan.,,,Sono keniota.,"Sono keniota.
"
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"The most straightforward translation is:  **Sono kirghiso/a.**

* **Sono** means ""I am""
* **kirghiso** is the masculine form of Kirghiz
* **kirghisa** is the feminine form of Kirghiz

You would use ""kirghiso"" if you are a male and ""kirghisa"" if you are a female.
"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"Sono cambogiano/cambogiana.

* **Sono cambogiano** is used if the speaker is male.
* **Sono cambogiana** is used if the speaker is female.
"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"The most straightforward translation is: **Sono I-Kiribati.**
"
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"The most straightforward translation is:

**Sono kittitian*o/a o nevisiano/a.**

* **Sono:** I am
* **kittitian*o/a:** Kittitian (masculine/feminine)  The asterisk indicates that you need to choose the masculine or feminine form depending on your gender.
* **o:** or
* **nevisiano/a:** Nevisian (masculine/feminine)  Again, choose the appropriate gender form."
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"Sono sudcoreano/a.

* **Sono sudcoreano** is used if the speaker is male.
* **Sono sudcoreana** is used if the speaker is female.
"
I am Kuwaiti.,,,,"Sono kuwaitiano/a.

* **Sono kuwaitiano** is used for a male speaker.
* **Sono kuwaitiana** is used for a female speaker.
"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"Sono laotiano/laotiana.

* **Sono laotiano** is used if the speaker is male.
* **Sono laotiana** is used if the speaker is female.
"
I am Lebanese.,,,Sono libanese.,"Sono libanese.
"
I am Liberian.,Sono liberiano.,Sono liberiana.,,"Sono liberiano/liberiana.

* **Sono liberiano** is used if the speaker is male.
* **Sono liberiana** is used if the speaker is female.
"
I am Libyan.,Sono libico.,Sono libica.,,"Sono libico/a.

* **Sono libico** is used if the speaker is male.
* **Sono libica** is used if the speaker is female.
"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"The most straightforward translation is:  **Sono di Santa Lucia.**
"
I am Liechtensteiner.,,,Sono liechtensteinese.,"The most straightforward translation is:  **Sono del Liechtenstein.**
"
I am Sri Lankan.,,,Sono sri lankese.,"Sono srilankese.
"
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"The most straightforward translation is: **Sono Mosotho.**
"
I am Lithuanian.,Sono lituano.,Sono lituana.,,"Sono lituano/lituana.

* **Sono lituano** is used if the speaker is male.
* **Sono lituana** is used if the speaker is female.
"
I am Luxembourger.,,,Sono lussemburghese.,"The most straightforward translation is: **Sono lussemburghese.**
"
I am Latvian.,Sono lettone.,Sono lettona.,,"Sono lettone.
"
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"Sono marocchino/a.

* **Sono marocchino** is used if the speaker is male.
* **Sono marocchina** is used if the speaker is female.
"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"Sono monegasco (masculine) or Sono monegasca (feminine).
"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"Sono moldavo/moldava.

* **Sono moldavo** is used if the speaker is male.
* **Sono moldava** is used if the speaker is female.
"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"Sono malgascio.
"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"The most straightforward translation is: **Sono maldiviano.** (If the speaker is male) or **Sono maldiviana.** (If the speaker is female).
"
I am Mexican.,Sono messicano.,Sono messicana.,,"Sono messicano/messicana.

* **Sono messicano** is used if the speaker is male.
* **Sono messicana** is used if the speaker is female.
"
I am Marshallese.,,,Sono marshallese.,"Sono marshallese.
"
I am Macedonian.,,,Sono macedone.,"Sono macedone.
"
I am Malian.,Sono maliano.,Sono maliana.,,"Sono maliano (if male) or Sono maliana (if female).
"
I am Maltese.,,,Sono maltese.,"Sono maltese.
"
I am Burmese.,Sono birmano.,Sono birmese.,,"Sono birmano/birmana.

* **Sono birmano** is used if the speaker is male.
* **Sono birmana** is used if the speaker is female.
"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"The most straightforward translation is:  **Sono montenegrino/a.**

* **Sono** = I am
* **montenegrino** = Montenegrin (masculine)
* **montenegrina** = Montenegrin (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"Sono mongolo/a.

* **Sono mongolo** is used for a male speaker.
* **Sono mongola** is used for a female speaker.
"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"Sono mozambicano (masculine) or Sono mozambicana (feminine).
"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"Sono mauritano/a.

* **Sono mauritano** is used if the speaker is male.
* **Sono mauritana** is used if the speaker is female.
"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"Sono mauriziano/a.

* **Sono mauriziano** is used if the speaker is male.
* **Sono mauriziana** is used if the speaker is female.
"
I am Malawian.,Sono malawiano.,Sono malawiana.,,"Sono malawiano (for a male speaker) or Sono malawiana (for a female speaker).
"
I am Malaysian.,,,Sono malese.,"Sono malese.
"
I am Namibian.,Sono namibiano.,Sono namibiana.,,"Sono namibiano/a.

* **Sono namibiano** is used if the speaker is male.
* **Sono namibiana** is used if the speaker is female.
"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"Sono nigerino/a.

* **Sono nigerino** is used for a male speaker.
* **Sono nigerina** is used for a female speaker.
"
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"Sono nigeriano/a.

* **Sono nigeriano** is used if the speaker is male.
* **Sono nigeriana** is used if the speaker is female.
"
I am Nicaraguan.,,,Sono nicaraguense.,"Sono nicaragüense.
"
I am Dutch.,,,Sono olandese.,"Sono olandese.
"
I am Norwegian.,,,Sono norvegese.,"Sono norvegese.
"
I am Nepalese.,,,Sono nepalese.,"Sono nepalese.
"
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"The most straightforward translation is:  **Sono nauruano/nauruana.**

* **Sono** = I am
* **nauruano** = Nauruan (masculine)
* **nauruana** = Nauruan (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am New Zealander.,,,Sono neozelandese.,"Sono neozelandese.
"
I am Omani.,,,Sono omanita.,"Sono omanita.
"
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"Sono pakistano/pakistana.

* **Sono pakistano** is used if the speaker is male.
* **Sono pakistana** is used if the speaker is female.
"
I am Panamanian.,,,Sono panamense.,"Sono panamense.
"
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"Sono peruviano/a.

* **Sono peruviano** is used if the speaker is male.
* **Sono peruviana** is used if the speaker is female.
"
I am Filipino.,Sono filippino.,Sono filippina.,,"Sono filippino/a.

* **Sono filippino** is used for a male speaker.
* **Sono filippina** is used for a female speaker.
"
I am Palauan.,Sono palauano.,Sono palauana.,,"The most straightforward translation is: **Sono Palauano/a.**

* **Sono** means ""I am""
* **Palauano** is the masculine form of Palauan.
* **Palauana** is the feminine form of Palauan.  You would use Palauano if you are male and Palauana if you are female.
"
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"The most straightforward translation is:  **Sono papuano/papua nuova guineano.**

* **Sono papuano** is shorter and more commonly used.  It implies being from Papua New Guinea.

* **Sono papua nuova guineano** is more literal and precise, but might sound slightly more formal or even a bit awkward.

Therefore, **Sono papuano** is generally preferred.
"
I am Polish.,Sono polacco.,Sono polacca.,,"Sono polacco (masculine) or Sono polacca (feminine).
"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"The most straightforward translation is:  **Sono nordcoreano/a.**

* **Sono** = I am
* **nordcoreano** = North Korean (masculine)
* **nordcoreana** = North Korean (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Portuguese.,,,Sono portoghese.,"Sono portoghese.
"
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"Sono paraguaiano/a.

* **Sono paraguaiano** is used if the speaker is male.
* **Sono paraguaiana** is used if the speaker is female.
"
I am Qatari.,,,Sono qatariota.,"Sono qatariota.
"
I am Romanian.,Sono rumeno.,Sono rumena.,,"Sono rumeno/a.

* **Sono rumeno** is used if you are a male.
* **Sono rumena** is used if you are a female.
"
I am Russian.,Sono russo.,Sono russa.,,"Io sono russo/russa.

* **Io sono russo** is used if the speaker is a male.
* **Io sono russa** is used if the speaker is a female.
"
I am Rwandan.,,,Sono ruandese.,"Sono ruandese.
"
I am Saudi Arabian.,,,Sono saudita.,"The most straightforward translation is:  **Sono saudita.**  (If the speaker is male) or **Sono saudita.** (If the speaker is female).

The adjective ""saudita"" changes based on gender.  While both are pronounced the same, the feminine form is grammatically correct for a female speaker.
"
I am Sudanese.,,,Sono sudanese.,"Sono sudanese.
"
I am Senegalese.,,,Sono senegalese.,"Sono senegalese.
"
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"Sono singaporiano/a.

* **Sono singaporiano** is used for a male speaker.
* **Sono singaporiana** is used for a female speaker.
"
I am Solomon Islander.,,,Sono salomonese.,"The most straightforward translation is:  **Sono delle Isole Salomone.**  This translates literally to ""I am from the Solomon Islands.""

A slightly more natural-sounding option, emphasizing your nationality, would be: **Sono un/una Solomon Islander.** (using ""un"" if male, ""una"" if female).  This translates more directly to ""I am a Solomon Islander.""
"
I am Sierra Leonean.,,,Sono sierra leonese.,"Sono Sierra Leoneano/a.

* **Sono Sierra Leoneano** is used if the speaker is male.
* **Sono Sierra Leoneana** is used if the speaker is female.
"
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"Sono salvadoregno/a.

* **Sono salvadoregno** is used for a male speaker.
* **Sono salvadoregna** is used for a female speaker.
"
I am Sammarinese.,,,Sono sammarinese.,"Sono sammarinese.
"
I am Somali.,Sono somalo.,Sono somala.,,"Sono somalo/somala.

* **Sono somalo** is used if the speaker is male.
* **Sono somala** is used if the speaker is female.
"
I am Serbian.,Sono serbo.,Sono serba.,,"Sono serbo/serba.

* **Sono serbo** is used if the speaker is male.
* **Sono serba** is used if the speaker is female.
"
I am South Sudanese.,,,Sono sudsudanese.,"Sono sudsudanese.
"
I am Sao Tomean.,,,Sono saotomense.,"Sono santomense.
"
I am Surinamer.,,,Sono surinamese.,"The most straightforward translation is: **Sono surinamese.**
"
I am Slovak.,Sono slovacco.,Sono slovacca.,,"Sono slovacco/slovacca.

* **Sono slovacco** is used if the speaker is male.
* **Sono slovacca** is used if the speaker is female.
"
I am Slovene.,Sono sloveno.,Sono slovena.,,"The most straightforward translation is: **Sono sloveno/slovena.**

* **Sono sloveno** is used if the speaker is male.
* **Sono slovena** is used if the speaker is female.
"
I am Swedish.,,,Sono svedese.,"Sono svedese.
"
I am Swazi.,,,Sono swazilandese.,"The most straightforward translation is:  **Sono swazi.**
"
I am Seychellois.,,,Sono seicellese.,"Sono seychellese.
"
I am Syrian.,Sono siriano.,Sono siriana.,,"Sono siriano/a.

* **Sono siriano** is used if the speaker is male.
* **Sono siriana** is used if the speaker is female.
"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"Sono ciadiano/a.

* **Sono ciadiano** is used for a male speaker.
* **Sono ciadiana** is used for a female speaker.
"
I am Togolese.,,,Sono togolese.,"Sono togolese.
"
I am Thai.,,,Sono thailandese.,"Sono thailandese.
"
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"The most straightforward translation is: **Sono tagiko.**
"
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"Sono turkmeno.
"
I am East Timorese.,,,Sono timorese.,"The most straightforward translation is:  **Sono timorese orientale.**  However,  ""timorese"" alone is often understood to mean East Timorese, so **Sono timorese** might also be acceptable depending on the context.
"
I am Tongan.,Sono tongano.,Sono tongana.,,"Sono tongano/a.

* **Sono tongano** is used for a male speaker.
* **Sono tongana** is used for a female speaker.
"
I am Trinidadian.,,,Sono trinitense.,"Sono di Trinidad e Tobago.  (This is the most accurate and complete translation.)

You could also say:  Sono trinidadiano/a. (This is shorter, but ""trinidadiano"" is masculine and ""trinidadiana"" is feminine.)
"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"Sono tunisino (if male) or Sono tunisina (if female).
"
I am Turkish.,Sono turco.,Sono turca.,,"Sono turco/a.

* **Sono turco** is used if the speaker is male.
* **Sono turca** is used if the speaker is female.
"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"The most straightforward translation is:  **Sono Tuvaluano.**
"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"Sono tanzaniano/a.

* **Sono tanzaniano** is used if the speaker is male.
* **Sono tanzaniana** is used if the speaker is female.
"
I am Ugandan.,,,Sono ugandese.,"Sono ugandese.
"
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"Sono ucraino/ucraina.

* **Sono ucraino** is used if the speaker is male.
* **Sono ucraina** is used if the speaker is female.
"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"Sono uruguaiano/a.

* **Sono uruguaiano** is used if you are a male.
* **Sono uruguaiana** is used if you are a female.
"
I am American.,,,Sono statunitense.,"Sono americano/a.

* **Sono americano** is used if the speaker is a male.
* **Sono americana** is used if the speaker is a female.
"
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"Sono uzbeko/uzbeca.

* **Sono uzbeko** is used for a male speaker.
* **Sono uzbeca** is used for a female speaker.
"
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"The most straightforward translation is: **Sono sanvincentiano/a.**

* **Sono** = I am
* **sanvincentiano** = Saint Vincentian (masculine)
* **sanvincentiana** = Saint Vincentian (feminine)

You would use ""sanvincentiano"" if you are male and ""sanvincentiana"" if you are female.
"
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"Sono venezuelano/a.

* **Sono venezuelano** is used if the speaker is male.
* **Sono venezuelana** is used if the speaker is female.
"
I am Vietnamese.,,,Sono vietnamita.,"Sono vietnamita.
"
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"The most straightforward translation is:  **Sono ni-vanuatuano/a.**

* **Sono** = I am
* **ni-vanuatuano** = Ni-Vanuatu (masculine)
* **ni-vanuatuana** = Ni-Vanuatu (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Samoan.,Sono samoano.,Sono samoana.,,"The most straightforward translation is:  **Sono samoano.** (If the speaker is male) or **Sono samoana.** (If the speaker is female).
"
I am Yemeni.,,,Sono yemenita.,"Sono yemenita.
"
I am South African.,Sono sudafricano.,Sono sudafricana.,,"Sono sudafricano/a.

* **Sono sudafricano** is used if the speaker is male.
* **Sono sudafricana** is used if the speaker is female.
"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"Sono zambiano/zambiana.

* **Sono zambiano** is used if the speaker is male.
* **Sono zambiana** is used if the speaker is female.
"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"Sono zimbabwese.
"
