eng,spa_m,spa_f,spa_n,output
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"Soy guyanés/guyanesa.

* **Soy guyanés** is used if the speaker is male.
* **Soy guyanesa** is used if the speaker is female.
"
I am Honduran.,Soy hondureño.,Soy hondureña.,,"Soy hondureño/a.

* **Soy hondureño** is used if the speaker is male.
* **Soy hondureña** is used if the speaker is female.
"
I am Croatian.,,,Soy croata.,"Soy croata.
"
I am Haitian.,Soy haitiano.,Soy haitiana.,,"Soy haitiano/a.

* **Soy haitiano** is used if you are a male.
* **Soy haitiana** is used if you are a female.
"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"Soy húngaro/a.

* **Soy húngaro** is used if you are a male.
* **Soy húngara** is used if you are a female.
"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"Soy indonesio/a.

* **Soy indonesio** is used if the speaker is male.
* **Soy indonesia** is used if the speaker is female.
"
I am Indian.,Soy indio.,Soy india.,,"The most straightforward translation is: **Soy indio/a.**

* **Soy indio** is used by a male speaker.
* **Soy india** is used by a female speaker.
*  It's important to note that this translation refers to someone from India.  If you want to specify a particular indigenous group from the Americas, you would need to specify the tribe.
"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"Soy irlandés/irlandesa.

* **Soy irlandés** is used if the speaker is male.
* **Soy irlandesa** is used if the speaker is female.
"
I am Iranian.,,,Soy iraní.,"Soy iraní.
"
I am Iraqi.,,,Soy iraquí.,"Soy iraquí.
"
I am Icelander.,Soy islandés.,Soy islandésa.,,"The most straightforward translation is: **Soy islandés.**  (If the speaker is male)

If the speaker is female, it would be: **Soy islandesa.**
"
I am Israeli.,,,Soy israelí.,"Soy israelí.
"
I am Italian.,Soy italiano.,Soy italiana.,,"Soy italiano (masculine) or Soy italiana (feminine).
"
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"Soy jamaiquino/a.

* **Soy jamaiquino** is used if you are a male.
* **Soy jamaiquina** is used if you are a female.
"
I am Jordanian.,Soy jordano.,Soy jordana.,,"Soy jordano/a.

* **Soy jordano** is used if the speaker is male.
* **Soy jordana** is used if the speaker is female.
"
I am Japanese.,Soy japonés.,Soy japonésa.,,"Soy japonés (if male) or Soy japonesa (if female).
"
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"Soy kazajo/a.

* **Soy kazajo** is used for a male speaker.
* **Soy kazaja** is used for a female speaker.
"
I am Kenyan.,,,Soy keniata.,"Soy keniano/a.

* **Soy keniano** is used if the speaker is male.
* **Soy keniana** is used if the speaker is female.
"
I am Kirghiz.,,,Soy kirguís.,"The most straightforward translation is: **Soy kirguís.**
"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"Soy camboyano/a.

* **Soy camboyano** is used if you are a male.
* **Soy camboyana** is used if you are a female.
"
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"The most straightforward translation is: **Soy i-Kiribati.**
"
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"The most straightforward translation would be:

**Soy kittitio/a o nevisiano/a.**

* **Soy:** I am
* **kittitio/a:** Kittitian (masculine/feminine)
* **o:** or
* **nevisiano/a:** Nevisian (masculine/feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am South Korean.,,,Soy de la República de Corea.,"Soy surcoreano/a.

* **Soy surcoreano** is used if the speaker is male.
* **Soy surcoreana** is used if the speaker is female.
"
I am Kuwaiti.,,,Soy kuwaití.,"Soy kuwaití.
"
I am Laotian.,Soy laosiano.,Soy laosiana.,,"Soy lao.
"
I am Lebanese.,Soy libanés.,Soy libanésa.,,"Soy libanés/libanesa.

* **Soy libanés** is used if the speaker is male.
* **Soy libanesa** is used if the speaker is female.
"
I am Liberian.,Soy liberiano.,Soy liberiana.,,"Soy liberiano/a.

* **Soy liberiano** is used if the speaker is male.
* **Soy liberiana** is used if the speaker is female.
"
I am Libyan.,Soy libio.,Soy libia.,,"Soy libio/a.

* **Soy libio** is used for a male speaker.
* **Soy libia** is used for a female speaker.
"
I am Saint Lucian.,,,Soy santalucense.,"The most straightforward translation is: **Soy santa luciano/a.**

* **Soy:** I am
* **santa luciano:** Saint Lucian (masculine)
* **santa luciana:** Saint Lucian (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"The most straightforward translation is: **Soy de Liechtenstein.**
"
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"Soy de Sri Lanka.
"
I am Mosotho.,,,Soy lesotense.,"The most straightforward translation is: **Soy moshoto.**
"
I am Lithuanian.,Soy lituano.,Soy lituana.,,"Soy lituano/a.

* **Soy lituano** is used if you are a male.
* **Soy lituana** is used if you are a female.
"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"The most straightforward translation is: **Soy luxemburgués/a.**

* **Soy** means ""I am""
* **luxemburgués** is the masculine form of Luxembourger
* **luxemburguesa** is the feminine form of Luxembourger

You would use **luxemburgués** if you are a male and **luxemburguesa** if you are a female.
"
I am Latvian.,Soy letón.,,,"Soy letón/a.

* **Soy letón** is used if you are a male.
* **Soy letona** is used if you are a female.
"
I am Moroccan.,,,Soy marroquí.,"Soy marroquí.
"
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"Soy monegasco (masculine) or Soy monegasca (feminine).
"
I am Moldovan.,Soy moldavo.,Soy moldava.,,"Soy moldavo/a.

* **Soy moldavo** is used if the speaker is male.
* **Soy moldava** is used if the speaker is female.
"
I am Malagasy.,,,Soy malgache.,"Soy malgache.
"
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"The most straightforward translation is: **Soy maldivo/a.**

* **Soy** means ""I am""
* **maldivo** is the masculine form of Maldivan
* **maldiva** is the feminine form of Maldivan

You would use ""maldivo"" if you are a man and ""maldiva"" if you are a woman.
"
I am Mexican.,Soy mexicano.,Soy mexicana.,,"Soy mexicano/a.

* **Soy mexicano** is used if the speaker is male.
* **Soy mexicana** is used if the speaker is female.
"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"Soy marshalés/a.

* **Soy marshalés:** This is used for a male speaker.
* **Soy marshalesa:** This is used for a female speaker.
"
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"Soy macedonio/a.

* **Soy macedonio** is used if the speaker is male.
* **Soy macedonia** is used if the speaker is female.
"
I am Malian.,,,Soy malí.,"Soy malí.
"
I am Maltese.,Soy maltés.,Soy maltésa.,,"Soy maltés/maltesa.

* **Soy maltés** is used for a male speaker.
* **Soy maltesa** is used for a female speaker.
"
I am Burmese.,,,Soy de Myanmar.,"The most straightforward translation is: **Soy birmano/birmana.**

* **Soy birmano** is used if the speaker is male.
* **Soy birmana** is used if the speaker is female.
"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"Soy montenegrino/a.

* **Soy montenegrino** is used if you are a male.
* **Soy montenegrina** is used if you are a female.
"
I am Mongolian.,Soy mongol.,,,"Soy mongol.
"
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"Soy mozambiqueño/a.

* **Soy mozambiqueño** is used if the speaker is male.
* **Soy mozambiqueña** is used if the speaker is female.
"
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"Soy mauritano/a.

* **Soy mauritano** is used if the speaker is male.
* **Soy mauritana** is used if the speaker is female.
"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"Soy mauriciano/a.

* **Soy mauriciano:**  This is used if the speaker is male.
* **Soy mauriciana:** This is used if the speaker is female.
"
I am Malawian.,,,Soy malauí.,"Soy malauí.
"
I am Malaysian.,Soy malasio.,Soy malasia.,,"Soy malayo/a.

* **Soy malayo** is used if the speaker is male.
* **Soy malaya** is used if the speaker is female.
"
I am Namibian.,Soy namibio.,Soy namibia.,,"Soy namibio/a.

* **Soy namibio** is used for a male speaker.
* **Soy namibia** is used for a female speaker.
"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"Soy nigerino/a.

* **Soy nigerino** is used for a male speaker.
* **Soy nigerina** is used for a female speaker.
"
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"Soy nigeriano/a.

* **Soy nigeriano** is used if the speaker is male.
* **Soy nigeriana** is used if the speaker is female.
"
I am Nicaraguan.,,,Soy nicaragüense.,"Soy nicaragüense.
"
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"Soy holandés/a.

* **Soy holandés** is used if you are a male.
* **Soy holandesa** is used if you are a female.
"
I am Norwegian.,Soy noruego.,Soy noruega.,,"Soy noruego/a.

* **Soy noruego** is used if you are a male.
* **Soy noruega** is used if you are a female.
"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"Soy nepalí.
"
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"The most straightforward translation is: **Soy nauruano/a.**

* **Soy:** I am
* **nauruano:** Nauruan (masculine)
* **nauruana:** Nauruan (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"The most straightforward translation is: **Soy neozelandés/a.**

* **Soy:** I am
* **neozelandés:** New Zealander (masculine)
* **neozelandesa:** New Zealander (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Omani.,,,Soy omaní.,"Soy omaní.
"
I am Pakistani.,,,Soy pakistaní.,"Soy paquistaní.
"
I am Panamanian.,Soy panameño.,Soy panameña.,,"Soy panameño/a.

* **Soy panameño** is used if the speaker is male.
* **Soy panameña** is used if the speaker is female.
"
I am Peruvian.,Soy peruano.,Soy peruana.,,"Soy peruano/a.

* **Soy peruano** is used if the speaker is a male.
* **Soy peruana** is used if the speaker is a female.
"
I am Filipino.,Soy filipino.,Soy filipina.,,"Soy filipino/a.

* **Soy filipino:**  This is used if the speaker is male.
* **Soy filipina:** This is used if the speaker is female.
"
I am Palauan.,Soy palauano.,Soy palauana.,,"Soy palauano/a.

* **Soy palauano** is used for a male Palauan.
* **Soy palauana** is used for a female Palauan.
"
I am Papua New Guinean.,,,Soy papú.,"The most straightforward translation is:

**Soy papúa neoguineano/a.**

* **Soy:** I am
* **papúa neoguineano:** Papua New Guinean (masculine)
* **papúa neoguineana:** Papua New Guinean (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Polish.,Soy polaco.,Soy polaca.,,"Soy polaco (masculine) or Soy polaca (feminine).
"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"The most straightforward translation is: **Soy norcoreano/a.**

* **Soy:** I am
* **norcoreano:** North Korean (masculine)
* **norcoreana:** North Korean (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"Soy portugués/a.

* **Soy portugués** is used if you are a male.
* **Soy portuguesa** is used if you are a female.
"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"Soy paraguayo/a.

* **Soy paraguayo** is used if the speaker is male.
* **Soy paraguaya** is used if the speaker is female.
"
I am Qatari.,,,Soy qatarí.,"Soy qatarí.
"
I am Romanian.,Soy rumano.,Soy rumana.,,"Soy rumano/a.

* **Soy rumano** is used if you are a male.
* **Soy rumana** is used if you are a female.
"
I am Russian.,Soy ruso.,Soy rusa.,,"Soy ruso/a.

* **Soy ruso** is used if the speaker is male.
* **Soy rusa** is used if the speaker is female.
"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"Soy ruandés/a.

* **Soy ruandés** is used if the speaker is male.
* **Soy ruandesa** is used if the speaker is female.
"
I am Saudi Arabian.,,,Soy saudí.,"Soy saudí.  (This is the most common and natural way to say it.)

You could also say:

Soy de Arabia Saudita. (This is more literal, meaning ""I am from Saudi Arabia."")  While grammatically correct, it's slightly less common in everyday conversation.
"
I am Sudanese.,,,Soy sudanés.,"Soy sudanés/sudanesa.

* **Soy sudanés** is used if the speaker is male.
* **Soy sudanesa** is used if the speaker is female.
"
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"Soy senegalés/senegalesa.

* **Soy senegalés** is used if the speaker is male.
* **Soy senegalesa** is used if the speaker is female.
"
I am Singaporean.,,,Soy singapurense.,"Soy singapurense.
"
I am Solomon Islander.,,,Soy salomonense.,"The most straightforward translation is: **Soy de las Islas Salomón.**
"
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"Soy de Sierra Leona.
"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"Soy salvadoreño/a.

* **Soy salvadoreño** is used for men.
* **Soy salvadoreña** is used for women.
"
I am Sammarinese.,,,Soy sanmarinense.,"Soy sammarinense.
"
I am Somali.,,,Soy somalí.,"Soy somalí.
"
I am Serbian.,Soy serbio.,Soy serbia.,,"Soy serbio/a.

* **Soy serbio** is used if you are a male.
* **Soy serbia** is used if you are a female.
"
I am South Sudanese.,,,Soy sursudanés.,"The most straightforward translation is: **Soy sursudanés/a.**

* **Soy:** I am
* **sursudanés:** South Sudanese (masculine)
* **sursudanesa:** South Sudanese (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Sao Tomean.,,,Soy santotomense.,"Soy santotomense.
"
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"The most straightforward translation is: **Soy surinamés/a.**

* **Soy surinamés** is used if the speaker is male.
* **Soy surinamésa** is used if the speaker is female.
"
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"Soy eslovaco/a.

* **Soy eslovaco** is used if you are a male.
* **Soy eslovaca** is used if you are a female.
"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"The most straightforward translation is: **Soy esloveno/a.**

* **Soy esloveno** is used if the speaker is male.
* **Soy eslovena** is used if the speaker is female.
"
I am Swedish.,Soy sueco.,Soy sueca.,,"Soy sueco (masculine) or Soy sueca (feminine).
"
I am Swazi.,,,Soy esuatiní.,"The most straightforward translation is: **Soy suazi.**
"
I am Seychellois.,,,Soy seychellense.,"The most straightforward translation is: **Soy seychellés.**
"
I am Syrian.,Soy sirio.,Soy siria.,,"Soy sirio/a.

* **Soy sirio** is used for a male speaker.
* **Soy siria** is used for a female speaker.
"
I am Chadian.,Soy chadiano.,Soy chadiana.,,"Soy chadiano/a.

* **Soy chadiano** is used for a male speaker.
* **Soy chadiana** is used for a female speaker.
"
I am Togolese.,Soy togolés.,Soy togolésa.,,"Soy togolés/togolesa.

* **Soy togolés** is used if the speaker is male.
* **Soy togolesa** is used if the speaker is female.
"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"Soy tailandés/a.

* **Soy tailandés** is used if the speaker is male.
* **Soy tailandesa** is used if the speaker is female.
"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"The most straightforward translation is: **Soy tayiko.**
"
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"Soy turcomano/a.

* **Soy turcomano** is used for a male speaker.
* **Soy turcomana** is used for a female speaker.
"
I am East Timorese.,,,Soy timorense.,"The most straightforward translation is: **Soy timorense.**  This is understood to mean East Timorese.  While you could technically say ""Soy timorense del este,"" it's redundant as ""Timor-Leste"" (East Timor) is the official name, and the context usually makes it clear.
"
I am Tongan.,Soy tongano.,Soy tongana.,,"Soy tongano/a.

* **Soy tongano:**  This is used for a male speaker.
* **Soy tongana:** This is used for a female speaker.
"
I am Trinidadian.,,,Soy trinitense.,"Soy trinitense.
"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"Soy tunecino/a.

* **Soy tunecino** is used if the speaker is male.
* **Soy tunecina** is used if the speaker is female.
"
I am Turkish.,Soy turco.,Soy turca.,,"Soy turco/a.

* **Soy turco** is used if the speaker is a male.
* **Soy turca** is used if the speaker is a female.
"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"The most straightforward translation is: **Soy tuvaluano/a.**

* **Soy:** I am
* **tuvaluano:** Tuvaluan (masculine)
* **tuvaluana:** Tuvaluan (feminine)

You need to use ""tuvaluano"" if you are a male and ""tuvaluana"" if you are a female.
"
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"Soy tanzano/a.

* **Soy tanzano** is used for a male speaker.
* **Soy tanzana** is used for a female speaker.
"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"Soy ugandés/a.

* **Soy ugandés** is used if the speaker is male.
* **Soy ugandesa** is used if the speaker is female.
"
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"Soy ucraniano/a.

* **Soy ucraniano** is used if the speaker is male.
* **Soy ucraniana** is used if the speaker is female.
"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"Soy uruguayo/a.

* **Soy uruguayo** is used if the speaker is male.
* **Soy uruguaya** is used if the speaker is female.
"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"Soy estadounidense.
"
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"Soy uzbeko/uzbeca.

* **Soy uzbeko** is used for a male speaker.
* **Soy uzbeca** is used for a female speaker.
"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"The most straightforward translation is: **Soy sanvicentino/a.**

* **Soy:** I am
* **sanvicentino:** Saint Vincentian (masculine)
* **sanvicentina:** Saint Vincentian (feminine)

You would use ""sanvicentino"" if you are a male and ""sanvicentina"" if you are a female.
"
