eng,fra_m,fra_f,fra_n,output
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"There's no direct translation of ""I am Djibouti"" that works in French in the same way it does in English.  The English sentence uses ""I am"" to express a strong identification with a place.  In French, you'd need to express this differently, depending on the intended meaning. Here are a few options:

* **Je suis Djiboutien(ne):** This translates to ""I am Djiboutian,"" indicating you are a citizen of Djibouti.  Use ""Djiboutien"" if you are male and ""Djiboutienne"" if you are female. This is the most likely and natural translation if you mean you are from Djibouti.

* **Je suis de Djibouti:** This translates to ""I am from Djibouti,"" which is a more literal translation but doesn't carry the same strong sense of identification.

* **Le Djibouti, c'est moi:** This translates to ""Djibouti, it's me,"" which is a more poetic and emphatic way of saying you strongly identify with Djibouti, but it's less common and could sound unusual.


The best option depends on the context.  If you're simply stating your nationality, **Je suis Djiboutien(ne)** is the correct choice.
"
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"The most straightforward translation is: **Je suis dominicain(e).**

* **Je suis** means ""I am""
* **dominicain** is masculine (for a male speaker)
* **dominicaine** is feminine (for a female speaker)

You need to choose the correct form based on your gender.
"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"Je suis danois(e).
"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"The most straightforward translation is: **Je suis dominicain(e).**

* **Je suis** means ""I am""
* **dominicain** is masculine (for a male speaker)
* **dominicaine** is feminine (for a female speaker)

You need to choose the correct form based on your gender.
"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"Je suis algérien(e).

* **Je suis algérien** is used if you are a male.
* **Je suis algérienne** is used if you are a female.
"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"Je suis équatorien(ne).

* **Je suis équatorien** is used for a male speaker.
* **Je suis équatorienne** is used for a female speaker.
"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"Je suis égyptien(ne).

* **Je suis égyptien** is used if the speaker is a male.
* **Je suis égyptienne** is used if the speaker is a female.
"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"Je suis érythréen(ne).

* **Je suis érythréen** is used if you are a male.
* **Je suis érythréenne** is used if you are a female.
"
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"Je suis espagnol(e).
* **Je suis espagnol** is used if the speaker is a male.
* **Je suis espagnole** is used if the speaker is a female.
"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"Je suis estonien(ne).

* **Je suis estonien** is used for a male speaker.
* **Je suis estonienne** is used for a female speaker.
"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"Je suis éthiopien(ne).

* **Je suis éthiopien** is used if you are a male.
* **Je suis éthiopienne** is used if you are a female.
"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"Je suis finlandais(e).

* **Je suis finlandais** is used for a male speaker.
* **Je suis finlandaise** is used for a female speaker.
"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"The most straightforward translation is: **Je suis Fidjien.** (If the speaker is male) or **Je suis Fidjienne.** (If the speaker is female).
"
I am French.,Je suis Français.,Je suis Française.,,"Je suis français(e).

* **Je suis français** is used by a male speaker.
* **Je suis française** is used by a female speaker.
"
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"The most straightforward translation is: **Je suis Micronésien(ne).**

* **Je suis** means ""I am""
* **Micronésien** is the masculine form of Micronesian.
* **Micronésienne** is the feminine form of Micronesian.  You would use the feminine form if you are a woman.
"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"Je suis Gabonais(e).

* **Gabonais** is used for a male.
* **Gabonaise** is used for a female.  You need to choose the correct one depending on your gender.
"
I am British.,Je suis Britannique.,Je suis Britannique.,,"Je suis britannique.
"
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"The most straightforward translation is: **Je suis géorgien(ne).**

* **Je suis** means ""I am""
* **géorgien** means ""Georgian"" (masculine)
* **géorgienne** means ""Georgian"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"Je suis Ghanéen(ne).

* **Je suis Ghanéen** is used for a male speaker.
* **Je suis Ghanéenne** is used for a female speaker.
"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"Je suis guinéen(ne).

* **Je suis guinéen** is used if the speaker is a man.
* **Je suis guinéenne** is used if the speaker is a woman.
"
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"Je suis gambien(ne).

* **Je suis gambien** is used if the speaker is male.
* **Je suis gambienne** is used if the speaker is female.
"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"Je suis guinéen(ne) bissau-guinéen(ne).

The use of  ""guinéen(ne)"" is necessary because ""Bissau-Guinéen(ne)"" alone might not be universally understood.  The parentheses indicate that you should use ""guinéen"" if you are male and ""guinéenne"" if you are female.
"
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"The most straightforward translation is: **Je suis équato-guinéen(ne).**

* **Je suis** means ""I am""
* **équato-guinéen** is the masculine form of ""Equatorial Guinean""
* **équato-guinéenne** is the feminine form of ""Equatorial Guinean""

You would use  `équato-guinéen` if you are a man and `équato-guinéenne` if you are a woman.
"
I am Greek.,Je suis Grec.,Je suis Grecque.,,"Je suis grec/grecque.

* **Je suis grec** is used if the speaker is a male.
* **Je suis grecque** is used if the speaker is a female.
"
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"Je suis Grenadien(ne).

* **Je suis Grenadien** is used for a male speaker.
* **Je suis Grenadienne** is used for a female speaker.
"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"Je suis guatémaltèque.
"
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"Je suis Guyanais(e).

* **Je suis** means ""I am""
* **Guyanais** is the masculine form of Guyanese.
* **Guyanaise** is the feminine form of Guyanese.  You would use Guyanaise if you are a woman.
"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"Je suis Hondurén(e).

* **Je suis** means ""I am""
* **Hondurén** is the masculine form of Honduran.
* **Hondurène** is the feminine form of Honduran.  You need to use the feminine form if you are a woman.
"
I am Croatian.,Je suis Croate.,Je suis Croate.,,"Je suis croate.
"
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"Je suis haïtien(ne).

* **Je suis haïtien** is used for a male speaker.
* **Je suis haïtienne** is used for a female speaker.
"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"Je suis hongrois(e).

* **Je suis hongrois** is used if you are a male.
* **Je suis hongroise** is used if you are a female.
"
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"Je suis indonésien(ne).

* **Je suis indonésien** is used if you are a male.
* **Je suis indonésienne** is used if you are a female.
"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"The most straightforward translation is: **Je suis indien.** (If the speaker is male) or **Je suis indienne.** (If the speaker is female).
"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"Je suis irlandais(e).

* **Je suis irlandais** is used if you are a male.
* **Je suis irlandaise** is used if you are a female.
"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"Je suis iranien(ne).

* **Je suis iranien** is used if the speaker is male.
* **Je suis iranienne** is used if the speaker is female.
"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"Je suis Irakien(ne).

* **Irakien** is used for a male speaker.
* **Irakienne** is used for a female speaker.
"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"The most straightforward translation is: **Je suis Islandais.**  (If the speaker is male)

If the speaker is female, it would be: **Je suis Islandaise.**
"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"Je suis israélien(ne).

* **Israélien** is used for a male Israeli.
* **Israélienne** is used for a female Israeli.
"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"Je suis italien(ne).
* **Je suis italien** if you are a male.
* **Je suis italienne** if you are a female.
"
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"Je suis jamaïcain(e).

* **Je suis jamaïcain** is used if you are a male.
* **Je suis jamaïcaine** is used if you are a female.
"
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"Je suis jordanien(ne).

* **jordanien** is used for a male.
* **jordanienne** is used for a female.
"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"Je suis japonais(e).
* **Je suis japonais** is used if the speaker is a male.
* **Je suis japonaise** is used if the speaker is a female.
"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"The most straightforward translation is: **Je suis kazakh.**
"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"Je suis Kenyan.
"
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"The most straightforward translation is: **Je suis Kirghiz.**
"
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"Je suis Cambodgien(ne).

* **Je suis Cambodgien** is used for a male speaker.
* **Je suis Cambodgienne** is used for a female speaker.
"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"The most straightforward translation is: **Je suis I-Kiribati.**
"
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"The most straightforward translation is:  **Je suis Kittitian ou Nevisien(ne).**

* **Je suis:** I am
* **Kittitian:** Kittitian (masculine and feminine forms are the same)
* **ou:** or
* **Nevisien:** Nevisian (masculine)
* **Nevisienne:** Nevisian (feminine)

You need to use the feminine form, Nevisienne, if you are a woman.  If you're unsure of the gender of the person you're talking about, you could also say: **Je suis Kittitian ou de Nevis.** (I am Kittitian or from Nevis). This avoids the gendered adjective.
"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"Je suis sud-coréen(ne).

* **Je suis** means ""I am""
* **sud-coréen** means ""South Korean"" (masculine)
* **sud-coréenne** means ""South Korean"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"Je suis Koweïtien(ne).

* **Je suis** means ""I am""
* **Koweïtien** means Kuwaiti (masculine)
* **Koweïtienne** means Kuwaiti (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"Je suis laotien(ne).

* **Je suis laotien** is used if the speaker is male.
* **Je suis laotienne** is used if the speaker is female.
"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"Je suis libanais(e).

* **Je suis libanais** is used if you are a male.
* **Je suis libanaise** is used if you are a female.
"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"Je suis Libérien(ne).

* **Je suis Libérien** is used if the speaker is male.
* **Je suis Libérienne** is used if the speaker is female.
"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"Je suis Libyen(ne).

* **Je suis Libyen** is used if the speaker is male.
* **Je suis Libyenne** is used if the speaker is female.
"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"The most straightforward translation is: **Je suis Saint-Lucienne** (if female) or **Je suis Saint-Lucien** (if male).
"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"The most straightforward translation is: **Je suis Liechtensteinienne** (if female) or **Je suis Liechtensteinnois** (if male).
"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"Je suis sri-lankais(e).

* **Je suis** means ""I am""
* **sri-lankais** means ""Sri Lankan"" (masculine)
* **sri-lankaise** means ""Sri Lankan"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"The most straightforward translation is: **Je suis Mosotho.**
"
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"Je suis lituanien(ne).

* **Je suis lituanien** is used if you are a male.
* **Je suis lituanienne** is used if you are a female.
"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"The most straightforward translation is: **Je suis Luxembourgeois(e).**

* **Je suis** means ""I am""
* **Luxembourgeois** means Luxembourger (masculine)
* **Luxembourgeoise** means Luxembourger (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"Je suis letton(ne).

* **Je suis letton** is used for a male speaker.
* **Je suis lettone** is used for a female speaker.
"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"Je suis marocain(e).

* **Je suis marocain** is used if you are a male.
* **Je suis marocaine** is used if you are a female.
"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"Je suis Monégasque.
"
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"Je suis moldave.
"
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"Je suis malgache.
"
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"The most straightforward translation is: **Je suis maldivien.** (If the speaker is male) or **Je suis maldivienne.** (If the speaker is female).
"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"Je suis mexicain(e).

* **Je suis mexicain** is used if the speaker is male.
* **Je suis mexicaine** is used if the speaker is female.
"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"Je suis Marshallese.
"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"Je suis macédonien(ne).

* **Je suis macédonien** is used if the speaker is male.
* **Je suis macédonienne** is used if the speaker is female.
"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"Je suis Malien(ne).

* **Je suis Malien** is used if the speaker is a man.
* **Je suis Malienne** is used if the speaker is a woman.
"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"Je suis maltais(e).

* **Je suis maltais** is used if you are a male.
* **Je suis maltaise** is used if you are a female.
"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"The most straightforward translation is: **Je suis birman(e).**

* **Je suis** means ""I am""
* **birman** is the masculine form of Burmese
* **birmane** is the feminine form of Burmese

You need to use the feminine form (birmane) if you are a woman.  If your gender is not specified, using the masculine form is generally acceptable in French.
"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"Je suis Monténégrin(e).

* **Je suis Monténégrin** is used for a male speaker.
* **Je suis Monténégrine** is used for a female speaker.
"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"Je suis mongol(e).

* **Je suis** means ""I am""
* **mongol** means ""Mongolian"" (masculine)
* **mongole** means ""Mongolian"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"Je suis Mozambicain(e).

* **Je suis** means ""I am""
* **Mozambicain** means ""Mozambican"" (masculine)
* **Mozambicaine** means ""Mozambican"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"Je suis mauritanien(ne).

* **Je suis mauritanien** is used if you are a male.
* **Je suis mauritanienne** is used if you are a female.
"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"Je suis mauricien(ne).

* **Je suis mauricien** is used for a male speaker.
* **Je suis mauricienne** is used for a female speaker.
"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"Je suis Malawite.
"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"Je suis malaisien(ne).

* **Je suis malaisien** is used if you are a male.
* **Je suis malaisienne** is used if you are a female.
"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"Je suis namibien(ne).

* **Je suis namibien** is used if the speaker is male.
* **Je suis namibienne** is used if the speaker is female.
"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"Je suis nigérien(ne).

* **nigérien** is used for a male Nigerien.
* **nigérienne** is used for a female Nigerien.  You need to choose the correct one based on your gender.
"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"Je suis nigérian(e).

* **Je suis nigérian** is used if the speaker is male.
* **Je suis nigériane** is used if the speaker is female.
"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"Je suis nicaraguayen(ne).

* **Je suis** means ""I am""
* **nicaraguayen** is the masculine form of Nicaraguan
* **nicaraguayenne** is the feminine form of Nicaraguan

You would use **nicaraguayen** if you are a man and **nicaraguayenne** if you are a woman.
"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"Je suis néerlandais(e).

* **Je suis néerlandais** is used if you are a male.
* **Je suis néerlandaise** is used if you are a female.
"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"Je suis norvégien(ne).

* **Je suis norvégien** is used if you are a male.
* **Je suis norvégienne** is used if you are a female.
"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"Je suis népalais(e).

* **Je suis** means ""I am""
* **népalais** means ""Nepalese"" (masculine)
* **népalaise** means ""Nepalese"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"The most straightforward translation is: **Je suis Nauruain(e).**

* **Je suis** means ""I am""
* **Nauruain** is the masculine form of Nauruan.
* **Nauruain(e)** includes the feminine form in parentheses.  You would use ""Nauruain"" for a male speaker and ""Nauruine"" for a female speaker.
"
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"The most straightforward translation is: **Je suis Néo-Zélandais.** (If you are a male) or **Je suis Néo-Zélandaise.** (If you are a female).
"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"Je suis omanais(e).

* **Je suis omanais** is used for a male speaker.
* **Je suis omanaise** is used for a female speaker.
"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"Je suis pakistanais(e).

* **Je suis pakistanais** is used if the speaker is male.
* **Je suis pakistanaise** is used if the speaker is female.
"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"Je suis panaméen(ne).

* **Je suis panaméen** is used for a male speaker.
* **Je suis panaméenne** is used for a female speaker.
"
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"Je suis péruvien(ne).

* **Je suis péruvien** is used if you are a male.
* **Je suis péruvienne** is used if you are a female.
"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"Je suis Philippin(e).

* **Je suis Philippin** is used for a male speaker.
* **Je suis Philippine** is used for a female speaker.
"
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"Je suis Palauien(ne).

* **Je suis** means ""I am""
* **Palauien** is the masculine form of Palauan.
* **Palauienne** is the feminine form of Palauan.  You need to use the feminine form if you are a woman.
"
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"The most straightforward translation is: **Je suis Papou-Néo-Guinéen.**  (masculine) or **Je suis Papoue-Nouvelle-Guinéenne.** (feminine)
"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"Je suis polonais(e).

* **Je suis polonais** is used if the speaker is male.
* **Je suis polonaise** is used if the speaker is female.
"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"The most straightforward translation is: **Je suis Nord-Coréen(ne).**

* **Je suis** means ""I am""
* **Nord-Coréen** means ""North Korean"" (masculine)
* **Nord-Coréenne** means ""North Korean"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"Je suis portugais(e).

* **Je suis portugais** is used if you are a male.
* **Je suis portugaise** is used if you are a female.
"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"Je suis paraguayen(ne).

* **Je suis paraguayen** is used if you are a male.
* **Je suis paraguayenne** is used if you are a female.
"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"Je suis qatari.
"
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"Je suis roumain(e).

* **Je suis roumain** is used if you are a male.
* **Je suis roumaine** is used if you are a female.
"
I am Russian.,Je suis Russe.,Je suis Russe.,,"Je suis russe.
"
