eng,it_m,it_f,it_n,output
I am East Timorese.,,,Sono timorese.,"Sono est-timorese.  Or, more formally: Sono timorense orientale.
"
I am Tongan.,Sono tongano.,Sono tongana.,,"Sono Tongano. (masculine)

Sono Tongana. (feminine)
"
I am Trinidadian.,,,Sono trinitense.,"Sono trinidadiano/a.


You need to use *trinidadiano* if you are male and *trinidadiana* if you are female.
"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"Sono tunisino (masculine) / Sono tunisina (feminine)
"
I am Turkish.,Sono turco.,Sono turca.,,"Sono turco. (masculine)

Sono turca. (feminine)
"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"Sono tuvaluano/a.


You need both the masculine and feminine forms because Italian adjectives and nouns change based on gender.  If you're a male, you'd use ""tuvaluano."" If you're a female, you'd use ""tuvaluana.""
"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"Sono tanzaniano/tanzaniana.

You use *tanzaniano* if you are a male, and *tanzaniana* if you are a female.
"
I am Ugandan.,,,Sono ugandese.,"Sono ugandese.
"
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"Sono ucraino/a.


You need both the masculine (ucraino) and feminine (ucraina) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are a male, use ""ucraino."" If you are a female, use ""ucraina.""
"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"Sono uruguaiano/a.


You need both the masculine (uruguaiano) and feminine (uruguaiana) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are male, use *uruguaiano*. If you are female, use *uruguaiana*.
"
I am American.,,,Sono statunitense.,"Sono americano/americana.

You need both the masculine and feminine forms because the Italian adjective and past participle agree with the subject.  Use *americano* if you are a man and *americana* if you are a woman.
"
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"Sono uzbeko/a.


You need to use the correct gender ending.  If you are male, use *uzbeko*. If you are female, use *uzbeka*.
"
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"The best translation depends on the context.  Here are a few options:

* **Sono vincenziano/a.** (This is the most literal translation and refers to someone from St. Vincent and the Grenadines.  Use *vincenziano* if you are male and *vincenziana* if you are female.)

* **Sono di San Vincenzo.** (This means ""I am from St. Vincent,"" referring to a specific place named St. Vincent."
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"Sono venezuelano/a.


You need to use the correct ending depending on your gender:

* **venezuelano:** if you are male
* **venezuelana:** if you are female
"
I am Vietnamese.,,,Sono vietnamita.,"Sono vietnamita.
"
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"Sono ni-vanuatuano/a.


You need to use the correct ending depending on your gender:

* **ni-vanuatuano:** if you are male
* **ni-vanuatuana:** if you are female
"
I am Samoan.,Sono samoano.,Sono samoana.,,"Sono samoano/a.


You need to use the correct ending depending on your gender:

* **samoano:** if you are a male
* **samoana:** if you are a female
"
I am Yemeni.,,,Sono yemenita.,"Sono yemenita.
"
I am South African.,Sono sudafricano.,Sono sudafricana.,,"Sono sudafricano/sudafricana.


If you are male, use *sudafricano*.  If you are female, use *sudafricana*.
"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"Sono zambiano/zambiana.


You use *zambiano* if you are a male and *zambiana* if you are a female.
"
