eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"['Ich bin Zypriot.', 'Ich bin Zypriotin.']",False,False,False
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"['Ich bin Tscheche.', 'Ich bin Tschechin.']",True,True,False
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"['Ich bin Deutscher.', 'Ich bin Deutsche.']",True,False,False
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,['Ich bin Dschibuti.'],False,False,False
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']",False,False,False
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"['Ich bin Däne.', 'Ich bin Dänin.']",True,False,False
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']",True,False,False
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']",True,False,False
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"['Ich bin Ecuadorianer.', 'Ich bin Ecuadorianerin.']",True,False,False
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"['Ich bin Ägypter.', 'Ich bin Ägypterin.']",True,False,False
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"['Ich bin Eritreer.', 'Ich bin Eritreerin.']",True,False,False
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"['Ich bin Spanier.', 'Ich bin Spanierin.']",True,False,False
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"['Ich bin Estländer.', 'Ich bin Estländerin.']",False,False,False
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"['Ich bin Äthiopier.', 'Ich bin Äthiopierin.']",True,False,False
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']",True,False,False
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,['Ich bin Fidschianer.'],True,False,False
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.']",True,False,False
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"['Ich bin Mikronesier.', 'Ich bin Mikronesierin.']",True,False,False
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,['Ich bin Gabunese.'],False,False,False
I am British.,Ich bin Brite.,Ich bin  Britin.,,"['Ich bin Brite.', 'Ich bin Britin.']",True,False,False
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"['Ich bin Georgier.', 'Ich bin Georgierin.']",True,False,False
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"['Ich bin Ghanaer.', 'Ich bin Ghanaerin.']",True,False,False
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"['Ich bin Guineer.', 'Ich bin Guineerin.']",True,False,False
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"['Ich bin Gambier.', 'Ich bin Gambierin.']",True,True,False
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,['Ich bin guineisch-bissauisch.'],False,False,False
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,['Ich bin äquatorialguineisch.'],False,False,False
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"['Ich bin Grieche.', 'Ich bin Griechin.']",True,False,False
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,['Ich bin Grenadier.'],False,False,False
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"['Ich bin Guatemalteke.', 'Ich bin Guatemaltekin.']",True,False,False
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,['Ich bin guyanesisch.'],False,False,False
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"['Ich bin Honduraner.', 'Ich bin Honduranerin.']",True,False,False
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"['Ich bin Kroate.', 'Ich bin Kroatin.']",True,False,False
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"['Ich bin Haitianer.', 'Ich bin Haitianerin.']",True,False,False
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"['Ich bin Ungar.', 'Ich bin Ungarin.']",True,False,False
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"['Ich bin Indonesier.', 'Ich bin Indonesierin.']",True,False,False
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"['Ich bin Inder.', 'Ich bin Inderin.']",True,False,False
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"['Ich bin Ire.', 'Ich bin Irin.']",True,False,False
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"['Ich bin Iranian.', 'Ich bin Iranerin.']",False,False,False
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"['Ich bin Iraker.', 'Ich bin Irakerin.']",True,False,False
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,['Ich bin Isländer.'],True,False,False
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin Israeli.'],True,False,False
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"['Ich bin Italiener.', 'Ich bin Italienerin.']",True,False,False
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"['Ich bin Jamaikaner.', 'Ich bin Jamaikanerin.']",True,False,False
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"['Ich bin Jordanier.', 'Ich bin Jordanierin.']",True,False,False
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"['Ich bin Japaner.', 'Ich bin Japanerin.']",True,False,False
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"['Ich bin Kasache.', 'Ich bin Kasachin.', 'Kasache.', 'Kasachin.']",True,False,False
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"['Ich bin Kenianer.', 'Ich bin Kenianerin.']",True,False,False
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"['Ich bin Kirgise.', 'Ich bin Kirgisin.']",True,False,False
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"['Ich bin Kambodschaner.', 'Ich bin Kambodschanerin.']",True,False,False
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,['Ich bin I-Kiribati.'],False,False,False
I am Kittitian or Nevisian.,,,,['Ich bin Kittitianer oder Nevisianer.'],False,False,False
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"['Ich bin Südkoreaner.', 'Ich bin Südkoreanerin.']",True,False,False
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,['Ich bin Kuwaiti.'],False,False,False
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"['Ich bin Laotier.', 'Ich bin Laotierin.']",False,False,False
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"['Ich bin Libanese.', 'Ich bin Libanesin.']",True,False,False
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"['Ich bin Liberianer.', 'Ich bin Liberianerin.']",True,False,False
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"['Ich bin Libyer.', 'Ich bin Libyerin.']",True,False,False
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,['Ich bin St. Lucianer.'],False,False,False
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,['Ich bin Liechtensteiner.'],True,False,False
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"['Ich bin Sri Lanker.', 'Ich bin Sri Lankerin.']",True,False,False
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,['Ich bin Mosotho.'],False,False,False
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"['Ich bin Litauer.', 'Ich bin Litauerin.']",True,False,False
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,['Ich bin Luxemburger.'],True,False,False
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"['Ich bin Lette.', 'Ich bin Lettin.']",True,False,False
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"['Ich bin Marokkaner.', 'Ich bin Marokkanerin.']",True,False,False
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"['Ich bin Monegasse.', 'Ich bin Monegassin.']",True,False,False
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"['Ich bin Moldauer.', 'Ich bin Moldauerin.']",True,False,False
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"['Ich bin Malagasse.', 'Ich bin Malagassin.']",False,False,False
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,['Ich bin Malediver.'],True,False,False
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"['Ich bin Mexikaner.', 'Ich bin Mexikanerin.']",True,False,False
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,['Ich bin Marshallese.'],False,False,False
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"['Ich bin Mazedonier.', 'Ich bin Mazedonierin.']",True,False,False
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"['Ich bin Malier.', 'Ich bin Malierin.']",True,False,False
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,['Ich bin Malteser.'],True,False,False
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"['Ich bin Burmesisch.', 'Ich bin Burmesin.', 'Ich bin Burmeser.']",False,False,False
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"['Ich bin Montenegriner.', 'Ich bin Montenegrinerin.']",True,False,False
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"['Ich bin Mongole.', 'Ich bin Mongolin.']",True,False,False
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"['Ich bin Mosambikaner.', 'Ich bin Mosambikanerin.']",True,False,False
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,['Ich bin mauretanisch.'],False,False,False
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"['Ich bin Mauritier.', 'Ich bin Mauritierin.']",True,False,False
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"['Ich bin Malawier.', 'Ich bin Malawierin.']",True,False,False
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"['Ich bin Malaysier.', 'Ich bin Malaysierin.']",True,False,False
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"['Ich bin Namibier.', 'Ich bin Namibierin.']",True,False,False
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,['Ich bin Nigerier.'],False,False,False
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"['Ich bin Nigerianer.', 'Ich bin Nigerianerin.']",True,False,False
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"['Ich bin Nicaraguaner.', 'Ich bin Nicaraguanerin.']",True,False,False
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"['Ich bin Niederländer.', 'Ich bin Niederländerin.']",True,False,False
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"['Ich bin Norweger.', 'Ich bin Norwegerin.']",True,False,False
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,['Ich bin Nepalesisch.'],False,False,False
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,['Ich bin Nauruaner.'],False,False,False
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"['Ich bin Neuseeländer.', 'Ich bin Neuseeländerin.']",True,False,False
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"['Ich bin Omaner.', 'Ich bin Omanerin.']",True,False,False
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,['Ich bin Pakistani.'],False,False,False
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"['Ich bin Panamaner.', 'Ich bin Panamanerin.']",False,False,False
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"['Ich bin Peruaner.', 'Ich bin Peruanerin.']",True,False,False
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"['Ich bin Filipino.', 'Ich bin Filipina.']",False,False,False
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,['Ich bin Palauan.'],False,False,False
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"['Ich bin Papua-Neuguineer.', 'Ich bin Papua-Neuguineerin.']",False,False,False
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"['Ich bin Pole.', 'Ich bin Polin.']",True,False,False
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"['Ich bin Nordkoreaner.', 'Ich bin Nordkoreanerin.']",True,False,False
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"['Ich bin Portugiese.', 'Ich bin Portugiesin.']",True,False,False
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"['Ich bin Paraguayer.', 'Ich bin Paraguayerin.']",True,False,False
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"['Ich bin Katarer.', 'Ich bin Katarerin.']",True,False,False
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"['Ich bin Rumäne.', 'Ich bin Rumänin.']",True,False,False
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"['Ich bin Russe.', 'Ich bin Russin.']",True,False,False
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,['Ich bin Rwander.'],False,False,False
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"['Ich bin Saudi-Araber.', 'Ich bin Saudi-Araberin.']",False,False,False
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"['Ich bin Sudanese.', 'Ich bin Sudanesin.']",False,False,False
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"['Ich bin Senegalese.', 'Ich bin Senegalesin.']",True,False,False
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"['Ich bin Singaporeaner.', 'Ich bin Singaporeanerin.']",False,False,False
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,['Ich bin Salomonen.'],False,False,False
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,['Ich bin sierraleonisch.'],False,False,False
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"['Ich bin Salvadorianer.', 'Ich bin Salvadorianerin.']",True,False,False
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,['Ich bin Sanmarineser.'],False,False,False
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"['Ich bin Somalier.', 'Ich bin Somalierin.']",True,False,False
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"['Ich bin Serbe.', 'Ich bin Serbin.']",True,False,False
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"['Ich bin Südsudanese.', 'Ich bin Südsudanesin.']",False,False,False
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,['Ich bin São-Tomeaner.'],False,False,False
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"['Ich bin Surinamer.', 'Ich bin Surinamerin.']",True,True,False
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"['Ich bin Slowake.', 'Ich bin Slowakin.']",True,False,False
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"['Ich bin Slowene.', 'Ich bin Slowenin.']",True,False,False
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"['Ich bin Schwede.', 'Ich bin Schwedin.']",True,False,False
I am Swazi.,,,Ich bin Swasi.,['Ich bin Swazi.'],False,False,False
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"['Ich bin Seychellois.', 'Ich bin Seychelloiserin.']",False,False,False
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"['Ich bin Syrer.', 'Ich bin Syrerin.']",True,False,False
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,['Ich bin Tschader.'],True,False,False
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,['Ich bin Togolese.'],False,False,False
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,['Ich bin Thai.'],False,False,False
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,['Ich bin Tadschike.'],True,False,False
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"['Ich bin Turkmene.', 'Ich bin Turkmenin.']",True,False,False
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,['Ich bin osttimoresisch.'],False,False,False
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,['Ich bin Tonganer.'],False,False,False
I am Trinidadian.,,,,"['Ich bin Trinidadier.', 'Ich bin Trinidadierin.']",False,False,False
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"['Ich bin Tunesier.', 'Ich bin Tunesierin.']",True,False,False
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"['Ich bin Türke.', 'Ich bin Türkin.']",True,False,False
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,['Ich bin Tuvaluer.'],True,False,False
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"['Ich bin Tansanier.', 'Ich bin Tansanierin.']",True,False,False
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,['Ich bin Ugander.'],True,False,False
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"['Ich bin Ukrainer.', 'Ich bin Ukrainerin.']",True,False,False
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"['Ich bin Uruguayer.', 'Ich bin Uruguayerin.']",True,False,False
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner.', 'Ich bin Amerikanerin.']",True,True,False
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,['Ich bin Usbekistani.'],False,False,False
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,['Ich bin Saint Vincentianer.'],False,False,False
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"['Ich bin Venezolaner.', 'Ich bin Venezolanerin.']",True,False,False
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"['Ich bin Vietnamesisch.', 'Ich bin Vietnamese.', 'Ich bin Vietnamesin.']",True,False,False
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,['Ich bin Ni-Vanuatu.'],False,False,False
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"['Ich bin Samoaner.', 'Ich bin Samoanerin.']",True,False,False
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,['Ich bin Jemenit.'],True,False,False
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"['Ich bin Südafrikaner.', 'Ich bin Südafrikanerin.']",True,False,False
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,['Ich bin Sambier.'],True,False,False
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"['Ich bin Simbabweaner.', 'Ich bin Simbabweanerin.']",False,False,False
