eng,spa_m,spa_f,spa_n,output
I am Belizean.,Soy beliceño.,Soy beliceña.,,"Soy beliceño/beliceña.


You use *beliceño* if you are male and *beliceña* if you are female.
"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"Soy boliviano/a.


You use *boliviano* if you are male and *boliviana* if you are female.
"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"Soy brasileño/brasileña.


You use *brasileiro* if you are a male, and *brasileña* if you are a female.
"
I am Barbadian.,,,Soy barbadense.,"Soy barbadense. (Formal) / Soy barbadiense. (Less common, also formal) / Soy de Barbados. (Literally ""I'm from Barbados,"" more common in casual conversation)
"
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"Soy bruneano/bruneana.


You use *bruneano* if you are a male and *bruneana* if you are female.
"
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"Soy butanés/butanesa.


You use *butanés* if you are a male and *butanesa* if you are a female.
"
I am Motswana.,Soy botsuano.,Soy botsuana.,,"Soy Motswana.
"
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"The most straightforward translation is: **Soy centroafricano/a.**

You use *centroafricano* if you are male and *centroafricana* if you are female.
"
I am Canadian.,,,Soy canadiense.,"Soy canadiense.
"
I am Swiss.,Soy suizo.,Soy suiza.,,"Soy suizo (masculine) or Soy suiza (feminine).
"
I am Chilean.,Soy chileno.,Soy chilena.,,"Soy chileno/chilena.


You use *chileno* if you are a male and *chilena* if you are a female.
"
I am Chinese.,Soy chino.,Soy china.,,"The most common and straightforward translation is:

**Soy chino/china.**

* Use *chino* if you are male.
* Use *china* if you are female.


You could also say:

**Soy de China.**  (I am from China.) This emphasizes your origin rather than your ethnicity.  This is useful if the context is about nationality rather than ethnicity.
"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"Soy marfileño/marfileña.

Use *marfileño* if you are a male and *marfileña* if you are a female.
"
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,"Soy camerunés/camerunesa.


You use *camerunés* if you are a male and *camerunesa* if you are a female.
"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"The most straightforward translation is: **Soy congoleño/a.**

* Use *congoleño* if you are male.
* Use *congoleña* if you are female.

You could also say: **Soy del Congo.**  This translates to ""I am from Congo.""  While not exactly the same, it is often understood to mean you are Congolese.  This version doesn't require a gendered ending.

It's important to note that there"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"The most straightforward translation is: **Soy congoleño/a.**

* Use *congoleño* if you are a male.
* Use *congoleña* if you are a female.

You could also say: **Soy del Congo.** (I am from Congo).  This is less specific to nationality and more about place of origin.  It would be appropriate if the context is about where you are from geographically.
"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"Soy colombiano/a.


You need both the masculine (colombiano) and feminine (colombiana) forms because the English sentence doesn't specify gender.  If you know the speaker is male, use *colombiano*. If you know the speaker is female, use *colombiana*.
"
I am Comoran.,,,Soy comorense.,"Soy comorano/comorana.


You use *comorano* if you are a male, and *comorana* if you are a female.
"
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"The most common and straightforward translation is:

**Soy caboverdiano/a.**

* Use *caboverdiano* if you are male.
* Use *caboverdiana* if you are female.


You could also say:

**Soy de Cabo Verde.** (I am from Cape Verde.)  This is a good option if the context isn't clear whether you're referring to nationality or ethnicity.
"
I am Costa Rican.,,,Soy costarricense.,"Soy costarricense.
"
I am Cuban.,Soy cubano.,Soy cubana.,,"Soy cubano/a.


You need both the masculine (cubano) and feminine (cubana) forms because the English sentence doesn't specify gender.  If you know the gender of the person speaking, you would use only the appropriate form.
"
I am Cypriot.,,,Soy chipriota.,"The most common and straightforward translation is:

**Soy chipriota.** (masculine/feminine singular)

You could also say:

**Soy de Chipre.** (masculine/feminine singular)  (This translates to ""I am from Cyprus."")
"
I am Czech.,Soy checo.,Soy checa.,,"Soy checo/checa.


You use ""checo"" if you are a male and ""checa"" if you are a female.
"
I am German.,Soy alemán.,,,"Soy alemán/alemana.


You use *alemán* if you are a male and *alemana* if you are a female.
"
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"The sentence ""I am Djibouti"" doesn't translate directly into Spanish in a way that makes logical sense.  It sounds like a metaphorical statement.  Here are a few options depending on the intended meaning:

* **If referring to representing Djibouti:**  ""Represento a Yibuti."" (I represent Djibouti)
* **If referring to being from Djibouti:** ""Soy de Yibuti."" (I am from Djibouti)
* **If trying to express a deep connection, a more"
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"Soy dominicano/a.


You use *dominicano* if you are a male, and *dominicana* if you are a female.
"
I am Danish.,Soy danés.,Soy danésa.,,"Soy danés/danesa.

You use *danés* if you are a male, and *danesa* if you are a female.
"
I am Dominican.,Soy dominicano.,Soy dominicana.,,"Soy dominicano/a.


You use *dominicano* if you are a male and *dominicana* if you are a female.
"
I am Algerian.,Soy argelino.,Soy argelina.,,"Soy argelino/a.


You use *argelino* if you are a male, and *argelina* if you are a female.
"
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"There are a few ways to say ""I am Ecuadorian"" in Spanish, depending on the nuance you want to convey:

* **Soy ecuatoriano/a.**  This is the most common and straightforward translation. Use *ecuatoriano* if you are male and *ecuatoriana* if you are female.

* **Soy de Ecuador.** This translates to ""I am from Ecuador.""  This is also very common and avoids the gendered adjective.

* **Soy del Ecuador"
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"Soy egipcio/egipcia.


You use *egipcio* if you are a male and *egipcia* if you are a female.
"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"Soy eritreo/eritrea.


*  Use *eritreo* if you are a man.
*  Use *eritrea* if you are a woman.
"
I am Spanish.,Soy español.,,,"Soy español/española.


* **Soy español:**  Used by a male speaker.
* **Soy española:** Used by a female speaker.
"
I am Estonian.,Soy estonio.,Soy estona.,,"Soy estonio/estonia.


* **Soy estonio:**  Used if you are a male.
* **Soy estonia:** Used if you are a female.
"
I am Ethiopian.,,,Soy etíope.,"Soy etíope. (masculine or gender-neutral)
Soy etíope. (feminine)

The word ""etíope"" stays the same regardless of gender.  You would only need to change it if you were referring to a group of Ethiopian people (e.g., ""Los etíopes"").
"
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"Soy finlandés/finlandesa.


You use *finlandés* if you are a male and *finlandesa* if you are a female.
"
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"Soy fiyiano/a.  (Fiyiano for male, fiyiana for female)
"
I am French.,Soy francés.,Soy francésa.,,"Soy francés/francesa.

Use *francés* if you are a male, and *francesa* if you are a female.
"
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"Soy micronesio/a.


You need both the masculine (micronesio) and feminine (micronesia) forms because the sentence ""I am"" doesn't specify gender.  If you know the gender of the person speaking, you would use only the appropriate form.
"
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"Soy gabonés/gabonesa.


You use *gabonés* if you are a male and *gabonesa* if you are a female.
"
I am British.,Soy británico.,Soy británia.,,"Soy británico. (masculine)
Soy británica. (feminine)
"
I am Georgian.,Soy georgiano.,Soy georgiana.,,"The most straightforward translation is: **Soy georgiano/georgiana.**

* Use *georgiano* if you are a male.
* Use *georgiana* if you are a female.


If you are referring to the country of Georgia (the one in the Caucasus), and want to be extra clear to avoid confusion with the US state of Georgia, you could say:

**Soy de Georgia (el país).**  (I am from Georgia (the country).)
"
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"Soy ghanés/ghanesa.


You use *ghanés* if you are a male, and *ghanesa* if you are a female.
"
I am Guinean.,Soy guineano.,Soy guineana.,,"Soy guineano/a.


You need both the masculine (guineano) and feminine (guineana) forms because without further context, it's impossible to know the gender of the speaker.
"
I am Gambian.,Soy gambiano.,Soy gambiana.,,"Soy gambiano/a.


You use *gambiano* if you are male and *gambiana* if you are female.
"
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"Soy guineano/a.

You use ""guineano"" if you are male and ""guineana"" if you are female.
"
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"The most common and straightforward translation is:

**Soy ecuatoguineano/a.**

Use *ecuatoguineano* if you are male and *ecuatoguineana* if you are female.
"
I am Greek.,Soy griego.,Soy griega.,,"Soy griego/griega.

You need both the masculine and feminine forms because the English sentence doesn't specify gender.  If you are a male, use ""Soy griego."" If you are a female, use ""Soy griega.""
"
I am Grenadian.,Soy granadino.,Soy granadina.,,"The most straightforward translation is: **Soy granadino/a.**

* Use *granadino* if you are a man.
* Use *granadina* if you are a woman.

If you want to emphasize your citizenship, you could also say: **Soy ciudadano/a de Granada.**  (I am a citizen of Grenada.)  Again, use *ciudadano* if you are a man and *ciudadana* if you are a woman.

It's"
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"Soy guatemalteco/a.


You use ""guatemalteco"" if you are male and ""guatemalteca"" if you are female.
"
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"Soy guyanés/guyanesa.


You use *guyanés* if you are male and *guyanesa* if you are female.
"
I am Honduran.,Soy hondureño.,Soy hondureña.,,"Soy hondureño/a.


You use *hondureño* if you are male and *hondureña* if you are female.
"
I am Croatian.,,,Soy croata.,"Soy croata.
"
I am Haitian.,Soy haitiano.,Soy haitiana.,,"Soy haitiano/a.


You use *haitiano* if you are male and *haitiana* if you are female.
"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"Soy húngaro/húngara.


You use *húngaro* if you are a male and *húngara* if you are a female.
"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"Soy indonesio/indonesia.

Use *indonesio* if you are male and *indonesia* if you are female.
"
I am Indian.,Soy indio.,Soy india.,,"The most common and straightforward translation is:

**Soy indio/india.**

* Use *indio* if you are a male.
* Use *india* if you are a female.


It's important to note that in some contexts, especially in Latin America,  ""indio/india"" can be considered outdated or even offensive, particularly when referring to indigenous people.  If you want to emphasize your heritage related to India, the country, you could say:

**"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"Soy irlandés/irlandesa.


You use *irlandés* if you are a male and *irlandesa* if you are a female.
"
I am Iranian.,,,Soy iraní.,"Soy iraní.
"
I am Iraqi.,,,Soy iraquí.,"Soy iraquí. (masculine)
Soy iraquí. (feminine)

The word ""iraquí"" is used for both masculine and feminine genders.
"
I am Icelander.,Soy islandés.,Soy islandésa.,,"The most straightforward translation is: **Soy islandés/islandesa.**

* Use *islandés* if you are a male.
* Use *islandesa* if you are a female.


You could also say: **Soy de Islandia.** (I am from Iceland). This is less direct but also perfectly acceptable.
"
I am Israeli.,,,Soy israelí.,"Soy israelí.
"
I am Italian.,Soy italiano.,Soy italiana.,,"Soy italiano/italiana.


You use *italiano* if you are a male, and *italiana* if you are a female.
"
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"Soy jamaiquino/a.
"
I am Jordanian.,Soy jordano.,Soy jordana.,,"Soy jordano/jordana.

Use *jordano* if you are male and *jordana* if you are female.
"
I am Japanese.,Soy japonés.,Soy japonésa.,,"Soy japonés/japonesa.


If you are a male, use ""japonés"".  If you are a female, use ""japonesa"".
"
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"Soy kazajo/kazaja.

Use *kazajo* if you are a male, and *kazaja* if you are a female.
"
I am Kenyan.,,,Soy keniata.,"Soy keniata. (masculine/gender-neutral)
Soy keniata. (feminine)
"
I am Kirghiz.,,,Soy kirguís.,"The most straightforward translation is: **Soy kirguís.** (masculine) or **Soy kirguisa.** (feminine)

You could also say: **Soy de Kirguistán.** (I am from Kyrgyzstan).  This is a good option if you want to emphasize your nationality in terms of place of origin.
"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"Soy camboyano/camboyana.


You use *camboyano* if you are a male and *camboyana* if you are a female.
"
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"Soy i-kiribatiano/a. 

(Use *i-kiribatiano* if you are male and *i-kiribatiana* if you are female.)
"
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"Soy kittiano/a o nevisiano/a.

(Using the slash to indicate both genders. If you know the gender, you would use either *kittiano* for male or *kittiana* for female, and *nevisiano* or *nevisiana* respectively.)
"
I am South Korean.,,,Soy de la República de Corea.,"Soy surcoreano/surcoreana.


You use *surcoreano* if you are male and *surcoreana* if you are female.
"
I am Kuwaiti.,,,Soy kuwaití.,"Soy kuwaití.
"
I am Laotian.,Soy laosiano.,Soy laosiana.,,"The most common and straightforward translation is: **Soy laosiano/laosiana.**

* Use *laosiano* if you are male.
* Use *laosiana* if you are female.


You could also say: **Soy de Laos.**  This translates to ""I am from Laos,"" which is also perfectly acceptable and commonly understood.
"
I am Lebanese.,Soy libanés.,Soy libanésa.,,"Soy libanés/libanesa.


You use *libanés* if you are a male, and *libanesa* if you are a female.
"
I am Liberian.,Soy liberiano.,Soy liberiana.,,"Soy liberiano/a.


You need to use the correct gender ending.  If you are male, use *liberiano*. If you are female, use *liberiana*.
"
I am Libyan.,Soy libio.,Soy libia.,,"Soy libio/a.


You need both the masculine (libio) and feminine (libia) forms because the Spanish language uses gendered adjectives.  Without knowing the gender of the speaker, both are provided.
"
I am Saint Lucian.,,,Soy santalucense.,"The most straightforward translation is: **Soy santa lucense.**

You could also say: **Soy de Santa Lucía.** (I am from Saint Lucia.) This is generally understood to mean you are a citizen or inhabitant.
"
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"Soy liechtensteiniano/a.
"
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"Soy de Sri Lanka. (I am from Sri Lanka)

or

Soy esrilanqués/esrilanquesa. (I am Sri Lankan - masculine/feminine)
"
I am Mosotho.,,,Soy lesotense.,"Soy mosoto/mosotha.

(Mosoto is used for males, and mosotha for females.)
"
I am Lithuanian.,Soy lituano.,Soy lituana.,,"Soy lituano/lituana.


You use *lituano* if you are a male, and *lituana* if you are a female.
"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"The most straightforward translation is: **Soy luxemburgués/luxemburguesa.**

Use *luxemburgués* if you are a male, and *luxemburguesa* if you are a female.
"
I am Latvian.,Soy letón.,,,"Soy letón/letona.


*  Use ""letón"" if you are a male.
*  Use ""letona"" if you are a female.
"
I am Moroccan.,,,Soy marroquí.,"Soy marroquí.
"
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"Soy monegasco (masculine) or Soy monegasca (feminine).
"
I am Moldovan.,Soy moldavo.,Soy moldava.,,"Soy moldavo/a.


You need both the masculine (moldavo) and feminine (moldava) forms because Spanish adjectives agree with the gender of the noun they modify.  Since the implied noun here is ""a person,"" you need to specify your gender.
"
I am Malagasy.,,,Soy malgache.,"Soy malgache.
"
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"Soy maldivo/maldiva.


You use *maldivo* if you are a male and *maldiva* if you are a female.
"
I am Mexican.,Soy mexicano.,Soy mexicana.,,"Soy mexicano/mexicana.


If you are male, use *mexicano*.  If you are female, use *mexicana*.
"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"Soy marshalés/marshalesa.


You use *marshalés* if you are a male, and *marshalesa* if you are a female.
"
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"The most straightforward translation is: **Soy macedonio/a.**

* Use *macedonio* if you are a male.
* Use *macedonia* if you are a female.

You could also say: **Soy de Macedonia del Norte.** (I am from North Macedonia). This is more specific and avoids any potential ambiguity with the Greek region of Macedonia.
"
I am Malian.,,,Soy malí.,"Soy maliense.
"
I am Maltese.,Soy maltés.,Soy maltésa.,,"Soy maltés/maltesa.


You use *maltés* if you are a male, and *maltesa* if you are a female.
"
I am Burmese.,,,Soy de Myanmar.,"The most common and straightforward translation is:

**Soy birmano/birmana.**

* Use *birmano* if you are a male.
* Use *birmana* if you are a female.

You could also say:

**Soy de Birmania/Myanmar.** (I am from Burma/Myanmar.)  This is a good option if the context is about your nationality rather than your ethnicity.  Note that both ""Birmania"" and ""Myanmar"" are accepted.
"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"Soy montenegrino/a.


You use *montenegrino* if you are male and *montenegrina* if you are female.
"
I am Mongolian.,Soy mongol.,,,"Soy mongol.
"
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"Soy mozambiqueño/a.


You use *mozambiqueño* if you are male and *mozambiqueña* if you are female.
"
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"Soy mauritano/a.


You use *mauritano* if you are male and *mauritana* if you are female.
"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"Soy mauriciano/mauriciana.


You use *mauriciano* if you are a man and *mauriciana* if you are a woman.
"
I am Malawian.,,,Soy malauí.,"Soy malauí. (masculine/gender-neutral)
Soy malauí. (feminine)

The word ""malauí"" stays the same regardless of gender.  You would only need to change other parts of the sentence if you were saying something like ""I am a Malawian woman"" (Soy una mujer malauí).
"
I am Malaysian.,Soy malasio.,Soy malasia.,,"Soy malasio/malasia.

(Use *malasio* if you are male and *malasia* if you are female.)
"
I am Namibian.,Soy namibio.,Soy namibia.,,"Soy namibio/a.  (Namibio for male, namibia for female)
"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"The most straightforward translation is: ""Soy nigerino/a.""

* Use *nigerino* if you are male.
* Use *nigerina* if you are female.

It is important to note that in some contexts, particularly in Latin America, the word ""nigeriano/a"" (referring to someone from Nigeria) is more commonly used and understood, even when referring to Niger.  To avoid confusion, you could say: ""Soy de Níger."" (I"
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"Soy nigeriano/a.


You use *nigeriano* if you are male and *nigeriana* if you are female.
"
I am Nicaraguan.,,,Soy nicaragüense.,"Soy nicaragüense.
"
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"Soy holandés/holandesa.


If you are male, use ""holandés.""  If you are female, use ""holandesa.""
"
I am Norwegian.,Soy noruego.,Soy noruega.,,"Soy noruego (masculine) or Soy noruega (feminine).
"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"Soy nepalí/nepalesa.


You use *nepalí* if you are a male and *nepalesa* if you are a female.
"
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"Soy nauruano/nauruana.


You use *nauruano* if you are a male and *nauruana* if you are a female.
"
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"The most common and natural way to say ""I am New Zealander"" in Spanish is:

**Soy neozelandés/neozelandesa.**

* Use *neozelandés* if you are male.
* Use *neozelandesa* if you are female.
"
I am Omani.,,,Soy omaní.,"Soy omaní.
"
I am Pakistani.,,,Soy pakistaní.,"Soy pakistaní.
"
I am Panamanian.,Soy panameño.,Soy panameña.,,"Soy panameño/a.


You use *panameño* if you are male and *panameña* if you are female.
"
I am Peruvian.,Soy peruano.,Soy peruana.,,"Soy peruano/peruana.


You use *peruano* if you are a male and *peruana* if you are a female.
"
I am Filipino.,Soy filipino.,Soy filipina.,,"Soy filipino/a.


You use ""filipino"" if you are male and ""filipina"" if you are female.
"
I am Palauan.,Soy palauano.,Soy palauana.,,"Soy palauano/a.
"
I am Papua New Guinean.,,,Soy papú.,"The most straightforward translation is: **Soy papú neoguineano/a.**

Use *papú neoguineano* if you are male and *papú neoguineana* if you are female.

You could also say: **Soy de Papúa Nueva Guinea.** (I am from Papua New Guinea). This is less direct but also commonly used and understood.
"
I am Polish.,Soy polaco.,Soy polaca.,,"Soy polaco/polaca.


You use *polaco* if you are a male and *polaca* if you are a female.
"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"The most straightforward translation is:

**Soy norcoreano/a.**  (Use *norcoreano* if you are male, and *norcoreana* if you are female.)

You could also say:

**Soy de Corea del Norte.** (This translates to ""I am from North Korea."")  This option is generally preferred as it's more geographically descriptive and avoids potential political connotations.
"
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"Soy portugués. (masculine)

Soy portuguesa. (feminine)
"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"Soy paraguayo/a.


You use *paraguayo* if you are male and *paraguaya* if you are female.
"
I am Qatari.,,,Soy qatarí.,"Soy qatarí.
"
I am Romanian.,Soy rumano.,Soy rumana.,,"Soy rumano/rumana.


You use *rumano* if you are a male and *rumana* if you are a female.
"
I am Russian.,Soy ruso.,Soy rusa.,,"Soy ruso/a.


You use *ruso* if you are a male and *rusa* if you are a female.
"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"Soy ruandés/ruandesa.


You use *ruandés* if you are a male and *ruandesa* if you are a female.
"
I am Saudi Arabian.,,,Soy saudí.,"The most common and straightforward translation is:

**Soy saudí.** (or **Soy saudita.**)

* **Saudí** is generally preferred and considered the more formal option.
* **Saudita** is also used, particularly in some Latin American countries.  It's grammatically correct, but some consider it slightly less formal.

You could also say:

**Soy de Arabia Saudita.** (I am from Saudi Arabia.)  This is a good option"
I am Sudanese.,,,Soy sudanés.,"Soy sudanés/sudanesa.


You use *sudanés* if you are a male and *sudanesa* if you are a female.
"
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"Soy senegalés/senegalesa.


You use *senegalés* if you are a male, and *senegalesa* if you are a female.
"
I am Singaporean.,,,Soy singapurense.,"Soy singapurense.
"
I am Solomon Islander.,,,Soy salomonense.,"The most straightforward translation is: **Soy salomonense.** (masculine) or **Soy salomonense.** (feminine)  The word is the same for both genders.

You could also say: **Soy de las Islas Salomón.** (I am from the Solomon Islands)  This option is generally understood and might be preferred in some contexts.
"
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"Soy sierraleonés/sierraleonesa.


You use *sierraleonés* if you are male and *sierraleonesa* if you are female.
"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"Soy salvadoreño/a.


You use *salvadoreño* if you are male and *salvadoreña* if you are female.
"
I am Sammarinese.,,,Soy sanmarinense.,"Soy sanmarinense.
"
I am Somali.,,,Soy somalí.,"Soy somalí.
"
I am Serbian.,Soy serbio.,Soy serbia.,,"Soy serbio. (masculine)
Soy serbia. (feminine)
"
I am South Sudanese.,,,Soy sursudanés.,"Soy sursudanés/sursudanesa.

Use *sursudanés* if you are a male and *sursudanesa* if you are a female.
"
I am Sao Tomean.,,,Soy santotomense.,"Soy santotomense.
"
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"Soy surinamés/surinamesa.


You use *surinamés* if you are a male and *surinamesa* if you are a female.
"
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"Soy eslovaco/a.


You use ""eslovaco"" if you are male and ""eslovaca"" if you are female.
"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"Soy esloveno/eslovena.
"
I am Swedish.,Soy sueco.,Soy sueca.,,"Soy sueco (masculine) or Soy sueca (feminine).
"
I am Swazi.,,,Soy esuatiní.,"Soy suazi.
"
I am Seychellois.,,,Soy seychellense.,"Soy seychellense.
"
I am Syrian.,Soy sirio.,Soy siria.,,"Soy sirio/siria.

* **Sirio** is used for males.
* **Siria** is used for females.
"
I am Chadian.,Soy chadiano.,Soy chadiana.,,"Soy chadiano/chadiana.

Use *chadiano* if you are a male and *chadiana* if you are a female.
"
I am Togolese.,Soy togolés.,Soy togolésa.,,"Soy togolés/togoleña.


You use *togolés* if you are a man and *togoleña* if you are a woman.
"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"Soy tailandés/tailandesa.


You use *tailandés* if you are a male and *tailandesa* if you are a female.
"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"Soy tayiko/tayika.

(Tayiko is used for males, tayika for females.)
"
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"Soy turcomano/turcomana.


You use *turcomano* if you are a male and *turcomana* if you are a female.
"
I am East Timorese.,,,Soy timorense.,"The most common and accepted translation is: **Soy timorense.**

While ""Soy de Timor Oriental"" (I am from East Timor) is grammatically correct, it emphasizes origin rather than nationality.  ""Timorense"" is the demonym and directly translates to ""East Timorese.""  It's the preferred way to express nationality.
"
I am Tongan.,Soy tongano.,Soy tongana.,,"Soy tongano/tongana.


You use ""tongano"" if you are a male, and ""tongana"" if you are a female.
"
I am Trinidadian.,,,Soy trinitense.,"There are several ways to say ""I am Trinidadian"" in Spanish, depending on the nuance you want to convey:

* **Soy trinitense/trinitario/trinitaria.**  This is the most common and straightforward translation.  Use *trinitense* for a general term, *trinitario* for a male, and *trinitaria* for a female.

* **Soy de Trinidad y Tobago.** This translates to ""I am from Trinidad and"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"Soy tunecino/a.


You use *tunecino* if you are male and *tunecina* if you are female.
"
I am Turkish.,Soy turco.,Soy turca.,,"Soy turco. (masculine)

Soy turca. (feminine)
"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"Soy tuvaluano/a.
"
