eng,deu_m,deu_f,deu_n,output
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"Ich bin Aserbaidschaner/in. 

If you are male, use ""Aserbaidschaner"".  If you are female, use ""Aserbaidschanerin"".  If you don't want to specify your gender, you could also say:

Ich komme aus Aserbaidschan. (I come from Azerbaijan)
Ich bin aus Aserbaidschan. (I am from Azerbaijan)
Meine Nationalität ist aserbaidschan"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"Ich bin Burundier/in.

You need both the masculine (Burundier) and feminine (Burundierin) forms because the German language distinguishes between genders.  If you know the gender of the person speaking, you would use the appropriate form. If you don't know the gender, using both forms separated by a slash is a common way to be inclusive.
"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"Ich bin Belgier. (masculine)
Ich bin Belgierin. (feminine)
Ich bin belgisch. (gender-neutral, using the adjective)
"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"Ich bin Beniner. (masculine)
Ich bin Beninerin. (feminine)
"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"Ich bin Burkinaberin/Burkinaber.

(Burkinaberin if you are female, Burkinaber if you are male.)
"
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"Ich bin Bangladescher/in.  (masculine/feminine)

Or, if you want to emphasize your origin:

Ich komme aus Bangladesch. (I come from Bangladesh)
"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"Ich bin Bulgarin/Bulgare.

You use ""Bulgarin"" if you are female and ""Bulgare"" if you are male.
"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"Ich bin Bahrainer/in.

You need both the masculine (Bahrainer) and feminine (Bahrainerin) forms because German uses grammatical gender.  If you're a man, use ""Bahrainer."" If you're a woman, use ""Bahrainerin.""
"
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"Ich bin Bahamaer/in.  (or Ich bin Bahamianer/in - slightly less common, but also accepted)

You need to use the masculine (Bahamaer) or feminine (Bahamaerin) form depending on your gender.  If you are writing in a gender-neutral context and don't want to specify, you could use ""Ich komme von den Bahamas"" (I come from the Bahamas) or ""Ich bin von den Bahamas"" (I am"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"Ich bin Bosnier/Bosnierin.

If you are male, use ""Bosnier"".  If you are female, use ""Bosnierin"".  If you don't want to specify your gender, you could also say:

Ich komme aus Bosnien-Herzegowina. (I come from Bosnia and Herzegovina.)  This is a good option as it also clarifies the country of origin.
"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"Ich bin Belarusin. (female)
Ich bin Belarusse. (male)
Ich komme aus Belarus. (gender-neutral, literally ""I come from Belarus"")
"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"Ich bin Belizianer/Belizianerin.

(Belizianer is used for male, Belizianerin for female.  If you want a gender-neutral option, although less common, you could say:  Ich komme aus Belize. - I come from Belize.)
"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"Ich bin Bolivianer/Bolivianerin.

If you are male, use ""Bolivianer"".  If you are female, use ""Bolivianerin"".  If you are referring to a mixed group or want to be gender-neutral, you could say:

* **Ich komme aus Bolivien.** (I come from Bolivia.) - This is a good general option.
* **Ich bin aus Bolivien.** (I am from Bolivia.) -  Similar to the above."
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"Ich bin Brasilianer. (male)
Ich bin Brasilianerin. (female)
Ich bin brasilianisch. (gender-neutral)
"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"Ich bin Barbader/in.

You need both the masculine (Barbader) and feminine (Barbaderin) forms because the German language distinguishes by gender.  If you know the gender of the person you're talking about, use the appropriate form. If you don't know, using both separated by a slash is a common way to be inclusive.
"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"Ich bin Bruneier/in.

Since German nouns and adjectives are gendered, you need to use the correct ending.  If you are male, use ""Bruneier."" If you are female, use ""Bruneierin.""
"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"Ich bin Bhutaner/in.  (masculine/feminine)

Or, more formally:

Ich bin bhutanischer Staatsbürger/bhutanische Staatsbürgerin. (masculine/feminine - citizen of Bhutan)
"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"Ich bin Motswaner/in.  (masculine/feminine)

Or, more formally:

Ich bin ein/e Motswaner/in. (masculine/feminine)
"
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"The most straightforward translation is: **Ich bin Zentralafrikaner/in.**

You need to choose the correct ending depending on your gender:

* **Ich bin Zentralafrikaner.** (male)
* **Ich bin Zentralafrikanerin.** (female)

You could also say:

* **Ich komme aus Zentralafrika.** (I come from Central Africa) - This is a more general statement and doesn't specify nationality.  It's useful if you'"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"Ich bin Kanadier. (male)
Ich bin Kanadierin. (female)
Ich bin kanadisch. (gender-neutral, literally ""I am Canadian"")
"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"Ich bin Schweizer. (masculine/gender neutral)
Ich bin Schweizerin. (feminine)
"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"Ich bin Chilene/Chilenin.

(Chilene if you are female, Chilene/Chilenin if you are male.  Chilenin is slightly more formal.)
"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"Ich bin Chinese/Chinesin.

You use ""Chinese"" if you are a male and ""Chinesin"" if you are a female.  If you don't want to specify your gender,  ""Ich bin Chinesisch"" (I am Chinese) is also acceptable, though it refers to the language/culture more directly.
"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"Ich bin Ivorer/Ivorerin.

You use ""Ivorer"" if you are male and ""Ivorerin"" if you are female.  If you want a gender-neutral option, although less common, you could say:  ""Ich komme aus der Elfenbeinküste"" (I come from Ivory Coast/Côte d'Ivoire).
"
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"Ich bin Kameruner. (masculine)
Ich bin Kamerunerin. (feminine)
"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"The most straightforward translation is: **Ich bin Kongolese.** (masculine) or **Ich bin Kongolesin.** (feminine)

You could also say: **Ich komme aus dem Kongo.** (I come from Congo)  This is gender-neutral and avoids the potential issue of outdated or less common demonyms.  It's generally a safe and widely understood option.

If you want to be more specific about which Congo you're from, you can say:

"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"The most straightforward translation is: **Ich bin Kongolese.** (masculine) or **Ich bin Kongolesin.** (feminine)

You could also say: **Ich komme aus dem Kongo.** (I come from Congo) - This is gender-neutral and works if you're from either the Republic of Congo or the Democratic Republic of Congo.  If you want to be more specific:

* **Ich komme aus der Republik Kongo.** (I come from the Republic of Congo)"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"Ich bin Kolumbianer/Kolumbianerin.

If you are male, use *Kolumbianer*.  If you are female, use *Kolumbianerin*.  If you don't want to specify your gender, you could also say:

Ich komme aus Kolumbien. (I come from Colombia)
Ich bin aus Kolumbien. (I am from Colombia)
"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"Ich bin Komorer/Komorerin.

If you want to be more specific about your nationality, you could also say:

* **Ich komme von den Komoren.** (I come from the Comoros.)
* **Ich bin ein Bürger/eine Bürgerin der Komoren.** (I am a citizen of the Comoros.)

Using ""Komorer"" is generally understood as being male, and ""Komorerin"" is the female form.  If you are writing in a"
I am Cape Verdian.,,,,"The most straightforward translation is: **Ich bin Kapverdianer/in.**

You need to choose the correct ending depending on your gender:

* **Kapverdianer:** male
* **Kapverdianerin:** female

You could also say: **Ich komme von den Kapverden.** (I come from Cape Verde).  This is less about nationality and more about place of origin.

Finally, if you're referring to your ethnicity and not just nationality, you could"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"Ich bin Costa-Ricaner/Costa-Ricanerin.

(Costa-Ricaner is the masculine form, Costa-Ricanerin is the feminine form.  If you don't know the gender of the person you're talking about, or if you're talking about yourself and prefer not to specify, you could also say:

Ich komme aus Costa Rica.  (I come from Costa Rica)

This is a more general statement and avoids the gender issue"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"Ich bin Kubaner/Kubanerinn.

(Kubaner is used for a male, Kubanerin for a female.  If you don't know the gender of the person you're talking about, or if you're talking about yourself and identify outside the gender binary, you could use ""Ich bin Kubaner*in"" although this is less common.)
"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"The most common and straightforward translation is:

**Ich bin Zyprer/in.**

You use *Zyprer* if you are a male and *Zyprerin* if you are female.

You could also say:

**Ich komme aus Zypern.** (I come from Cyprus) - This is a more general way of expressing your Cypriot origin.

**Ich bin zypriotischer Herkunft/Abstammung.** (I am of Cypriot origin/descent) -"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"Ich bin Tschechin/Tscheche.


You need both the feminine (Tschechin) and masculine (Tscheche) forms because German nouns have genders.  If you are a woman, use ""Tschechin."" If you are a man, use ""Tscheche.""
"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"Ich bin Deutscher. (masculine)
Ich bin Deutsche. (feminine)
Ich bin deutsch. (neutral, also commonly used if the gender is unknown or irrelevant)
"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"The sentence ""I am Djibouti"" doesn't make literal sense.  You can't *be* a country.  Depending on what you're trying to express, here are a few options:

* **If you mean you are *from* Djibouti:** Ich komme aus Dschibuti.  (This is the most likely meaning.)
* **If you mean you represent Djibouti (e.g., in a competition):** Ich vertrete Dschibuti.
* **"
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"The most straightforward translation is: **Ich bin Dominikaner/in.**

You use *Dominikaner* if you are male and *Dominikanerin* if you are female.

If you want to emphasize your heritage or origin, you could also say: **Ich komme aus der Dominikanischen Republik.** (I come from the Dominican Republic).
"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"Ich bin Däne. (masculine)
Ich bin Dänin. (feminine)
"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"The most straightforward translation is: **Ich bin Dominikaner/in.**

You use *Dominikaner* if you are male and *Dominikanerin* if you are female.

You could also say: **Ich komme aus der Dominikanischen Republik.** (I come from the Dominican Republic).  This is useful if the context isn't clear whether you mean the Dominican Republic or Dominica.
"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"Ich bin Algerier. (masculine)
Ich bin Algerierin. (feminine)
"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"The most common and straightforward translation is:

**Ich bin Ecuadorianer.** (masculine)
**Ich bin Ecuadorianerin.** (feminine)

You can also say:

**Ich komme aus Ecuador.** (This translates to ""I come from Ecuador,"" and is suitable for all genders.)

**Ich bin aus Ecuador.** (This translates to ""I am from Ecuador,"" also suitable for all genders, and a bit shorter.)
"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"Ich bin Ägypter/Ägypterin.

If you are male, use *Ägypter*.  If you are female, use *Ägypterin*.  If you don't want to specify your gender, you could also say:

Ich komme aus Ägypten. (I come from Egypt)

or

Ich habe die ägyptische Staatsbürgerschaft. (I have Egyptian citizenship)
"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"Ich bin Eritreer/Eritreerin.

You need both the masculine (Eritreer) and feminine (Eritreerin) forms because German nouns have genders.  If you are a male, you would use ""Ich bin Eritreer."" If you are a female, you would use ""Ich bin Eritreerin.""
"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"Ich bin Spanier. (male)
Ich bin Spanierin. (female)
Ich bin Spanisch. (neutral, referring to the language or cultural background)
"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"Ich bin Estin. (female)
Ich bin Este. (male)
"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"Ich bin Äthiopier/in.

(If you are male, use ""Äthiopier""; if you are female, use ""Äthiopierin"".)
"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"Ich bin Finne. (masculine)
Ich bin Finnin. (feminine)
"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"Ich bin Fijianer/Fijianerin.

(Fijianer is used for male, Fijianerin for female.  If you don't know the gender or want to be gender-neutral, you could use ""Ich komme aus Fidschi"" which means ""I come from Fiji"".)
"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"Ich bin Franzose. (masculine)

Ich bin Französin. (feminine)
"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"Ich bin Mikronesier/in.

Since German nouns have genders, and you haven't specified a gender, you need both the masculine (Mikronesier) and feminine (Mikronesierin) forms.  If you know the gender of the person you're talking about, use the appropriate form.
"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"Ich bin Gabuner/Gabunerin.

You use *Gabuner* if you are male and *Gabunerin* if you are female.
"
I am British.,Ich bin Brite.,Ich bin  Britin.,,"Ich bin Brite. (masculine)
Ich bin Britin. (feminine)

If you don't want to specify gender, you could also say:

Ich bin britisch. (This translates to ""I am British"" and works for all genders.)
Ich komme aus Großbritannien. (This translates to ""I come from Great Britain."")
"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"Ich bin Georgier/Georgierin.

Explanation:

* **Ich bin** means ""I am.""
* **Georgier** is the masculine form, used if you are a male.
* **Georgierin** is the feminine form, used if you are a female.

You need to choose the correct form depending on your gender.
"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"Ich bin Ghanaer/Ghanaerin.

(Ghanaer if you are male, Ghanaerin if you are female)
"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"Ich bin Guineer. (masculine)
Ich bin Guineerin. (feminine)
"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"Ich bin Gambier/in.

You need both the masculine (Gambier) and feminine (Gambierin) forms because German uses grammatical gender.  If you're a man, you'd use ""Ich bin Gambier."" If you're a woman, you'd use ""Ich bin Gambierin.""
"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"The most straightforward translation is: **Ich bin Guinea-Bissauer.** (masculine) or **Ich bin Guinea-Bissauerin.** (feminine)

You could also say: **Ich komme aus Guinea-Bissau.** (I come from Guinea-Bissau) which is gender-neutral and often preferred.  It emphasizes origin rather than nationality, but is perfectly acceptable in most contexts.
"
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"The most straightforward translation is: **Ich bin Äquatorialguineer/in.**

You use *Äquatorialguineer* if you are male and *Äquatorialguineerin* if you are female.

You could also say: **Ich komme aus Äquatorialguinea.** (I come from Equatorial Guinea).  This is less direct but perfectly acceptable and sometimes even preferred.
"
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"Ich bin Grieche. (masculine)
Ich bin Griechin. (feminine)
"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"Ich bin Grenader/in.

You need both the masculine and feminine forms because German adjectives change based on gender.  If you're a man, you'd say ""Ich bin Grenader."" If you're a woman, you'd say ""Ich bin Grenaderin.""  If you want a gender-neutral option, you could say:

* **Ich komme aus Grenada.** (I come from Grenada) - This is generally preferred as it avoids the gender issue."
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"Ich bin Guatemalteke. (female)
Ich bin Guatemalteke. (female, Switzerland and sometimes Austria)
Ich bin Guatemaltekisch. (female, older/less common)

Ich bin Guatemalteke. (plural, female)

Ich bin Guatemalteke. (formal, female)

Ich bin Guatemalteke. (female, used with the formal ""Sie"")


Ich bin Guatemalteke. (female, used with the informal ""du"")


Ich"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"Ich bin Guyaner/in. 

(If you are male, use ""Guyaner""; if you are female, use ""Guyanerin"".)
"
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"Ich bin Honduraner/in.  (male/female)

Or, less common but also correct:

Ich komme aus Honduras. (I come from Honduras)
"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"Ich bin Kroate. (masculine)
Ich bin Kroatin. (feminine)
"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"Ich bin Haitianer/in.

Note:  German nouns and adjectives related to nationality are capitalized.  Also, the ending depends on the gender of the speaker.  Use *Haitianer* if you are male and *Haitianerin* if you are female.
"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"Ich bin Ungar. (masculine)

Ich bin Ungarin. (feminine)
"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"Ich bin Indonesier/Indonesierin.

If you want to be more specific about your gender:

* **Male:** Ich bin Indonesier.
* **Female:** Ich bin Indonesierin.

If you're speaking in a more formal setting, or want to emphasize your nationality:

* Ich bin indonesischer Staatsbürger/indonesische Staatsbürgerin. (I am an Indonesian citizen.)
"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"Ich bin Inder/Inderin.

If you are male, use ""Inder"".  If you are female, use ""Inderin"".  If you don't want to specify your gender, or are speaking generally about people from India, you could also say:

Ich komme aus Indien. (I come from India.)  This is a more general statement and avoids the gendered noun.
"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"Ich bin Irin. (female)
Ich bin Ire. (male)
"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"Ich bin Iraner/Iranerin.

(Iraner is used for male, Iranerin for female.  If you want a gender-neutral option, although less common, you could say ""Ich komme aus dem Iran"" which means ""I come from Iran"".)
"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"Ich bin Iraker. (masculine)
Ich bin Irakerin. (feminine)
"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"The most straightforward translation is: **Ich bin Isländer.** (masculine) or **Ich bin Isländerin.** (feminine)

You could also say: **Ich komme aus Island.** (I come from Iceland) - This is a more general way to express your Icelandic origin and avoids the gendered nouns.
"
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"Ich bin Israeli.
"
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"Ich bin Italiener. (male)
Ich bin Italienerin. (female)
"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"Ich bin Jamaikaner/Jamaikanerin.

If you are male, use ""Jamaikaner"".  If you are female, use ""Jamaikanerin"".  If you don't want to specify your gender, you could also say:

Ich komme aus Jamaika. (I come from Jamaica)
Ich bin aus Jamaika. (I am from Jamaica)
"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"Ich bin Jordanier/Jordanierin.

If you are male, use ""Jordanier"".  If you are female, use ""Jordanierin"".  If you are writing and don't know the gender of the person reading it, or are referring to a mixed group, you could also write:

* Ich komme aus Jordanien. (I come from Jordan.) - This avoids the gender issue altogether.
* Ich bin jordanisch. (I am Jordanian.) - This uses"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"Ich bin Japaner/Japanerin.

You need both the masculine (Japaner) and feminine (Japanerin) forms because the English sentence doesn't specify gender.  If you know the gender, you would use only the appropriate form.
"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"Ich bin Kasachstaner/in.  (masculine/feminine)

Or, more formally:

Ich bin Kasachstanerin. (feminine)
Ich bin Kasachstane. (masculine)

If you want to emphasize your citizenship:

Ich habe die kasachische Staatsbürgerschaft. (I have Kazakhstani citizenship - gender neutral)
"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"Ich bin Kenianer/in. 

(If you are male, use Kenianer. If you are female, use Kenianerin.)
"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"Ich bin Kirgise.
"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"Ich bin Kambodschaner. (male)
Ich bin Kambodschanerin. (female)
Ich bin Kambodschanisch. (neutral, less common)
"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"Ich bin I-Kiribati.
"
I am Kittitian or Nevisian.,,,,"Ich bin Kittitianer/in oder Nevisianer/in.
"
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"Ich bin Südkoreaner/Südkoreanerin.

If you know you are speaking to a male, use *Südkoreaner*.  If you know you are speaking to a female, use *Südkoreanerin*. If you don't know, or are speaking to a mixed group, *Südkoreaner* is generally preferred, though some people might use ""Südkoreaner/in"" or ""Südkoreaner*in"".
"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"Ich bin Kuwaiti.
"
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"Ich bin Laote.
"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"Ich bin Libanese/Libanesin.

You use *Libanese* if you are male and *Libanesin* if you are female.
"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"Ich bin Liberianer/Liberianerin.

If you want to be more formal, you could say:  Ich bin ein liberianischer Staatsbürger/eine liberianische Staatsbürgerin. (I am a Liberian citizen.)
"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"Ich bin Libyer. (masculine)
Ich bin Libyerin. (feminine)
"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"The most straightforward translation is: **Ich bin Saint Lucier/Saint Lucianer/Saint Lucianerin.**

Here's a breakdown:

* **Ich bin:** I am
* **Saint Lucier:**  Masculine form (male person from Saint Lucia)
* **Saint Lucianer:** Masculine form (male person from Saint Lucia) - a slightly less common but still acceptable variant.
* **Saint Lucianerin:** Feminine form (female person from Saint Lucia)

You choose"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"Ich bin Liechtensteiner/Liechtensteinerin.

You need both the masculine (Liechtensteiner) and feminine (Liechtensteinerin) forms because the English sentence doesn't specify gender.  If you know the gender of the person speaking, you would use only the appropriate form.
"
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"Ich bin Sri-Lanker/in.  (male/female)

Or, more formally:

Ich komme aus Sri Lanka. (I come from Sri Lanka)
"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"Ich bin Mosotho.
"
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"Ich bin Litauer/in.  (masculine/feminine)

Or, more formally:

Ich bin Litauisch. (gender-neutral, meaning ""I am Lithuanian"" in the sense of nationality/origin)
"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"The most straightforward translation is: **Ich bin Luxemburger.** (masculine) or **Ich bin Luxemburgerin.** (feminine)

You could also say: **Ich komme aus Luxemburg.** (I come from Luxembourg) - This is a more general statement and avoids the gendered nouns.  It's often preferred, especially if you're unsure of the gender of the person you're speaking to.

Less common, but still correct: **Ich bin ein Luxemburger.**"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"Ich bin Lette. (masculine)
Ich bin Lettin. (feminine)
"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"Ich bin Marokkaner/in. 

(If you are male, use ""Marokkaner"". If you are female, use ""Marokkanerin"".)

You could also say:

Ich komme aus Marokko. (I come from Morocco.)  This is a slightly less direct translation but is also perfectly acceptable and common.
"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"Ich bin Monegasse/Monegassin.

* **Monegassin** is the feminine form.
* **Monegase** is the masculine form.
"
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"Ich bin Moldawier/Moldawierin.

(Moldawier for male, Moldawierin for female)
"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"Ich bin Madagasse/Madagassin.

You use *Madagasse* for a male and *Madagassin* for a female.  If you don't want to specify gender, you could also say:

Ich komme aus Madagaskar. (I come from Madagascar.)

This is often a more natural way to express your origin in German.
"
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"Ich bin Malediver. (masculine)
Ich bin Malediverin. (feminine)
"
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"Ich bin Mexikaner/Mexikanerin.


If you are male, use ""Mexikaner"".  If you are female, use ""Mexikanerin"".  If you don't want to specify your gender, you could also say:

Ich komme aus Mexiko. (I come from Mexico)

or

Ich habe die mexikanische Staatsbürgerschaft. (I have Mexican citizenship)
"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"Ich bin Marschaller/Marschallerin.
"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"Ich bin Mazedonier/in.  (male/female)

or, more formally:

Ich bin Mazedonier. (male)
Ich bin Mazedonierin. (female)
"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"Ich bin Malier. (masculine)
Ich bin Malierin. (feminine)
"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"Ich bin Malteser/Malteserin.

You use *Malteser* if you are male and *Malteserin* if you are female.  If you want a gender-neutral option, although less common, you could say:

Ich komme aus Malta. (I come from Malta)
Ich bin maltesischer Herkunft/Abstammung. (I am of Maltese origin/descent)
"
