eng,deu_m,deu_f,deu_n,output
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"Ich bin Finne. (for a male speaker)
Ich bin Finnin. (for a female speaker)
"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"The most straightforward translation is: **Ich bin Fidschianer.**  (or, for a woman: **Ich bin Fidschianerin**)
"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"Ich bin Franzose/Französin.

* **Ich bin Franzose** is used if the speaker is male.
* **Ich bin Französin** is used if the speaker is female.
"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"The most straightforward translation is: **Ich bin Mikronesier/in.**

* **Ich bin** means ""I am""
* **Mikronesier** is the masculine form of ""Micronesian""
* **Mikronesierin** is the feminine form of ""Micronesian""

You need to choose the correct form depending on your gender.
"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"Ich bin Gabunerin/Gabuner.

* **Gabunerin** is used if the speaker is female.
* **Gabuner** is used if the speaker is male.
"
I am British.,Ich bin Brite.,Ich bin  Britin.,,"Ich bin Britin/Brite.
"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"Ich bin Georgier/Georgierin.

* **Ich bin Georgier** is used if the speaker is male.
* **Ich bin Georgierin** is used if the speaker is female.
"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"Ich bin Ghanaer/in.

* **Ghanaer** is used for a male Ghanaian.
* **Ghanaerin** is used for a female Ghanaian.
"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"Ich bin Guineer/Guineerin.

* **Ich bin Guineer** is used for a male speaker.
* **Ich bin Guineerin** is used for a female speaker.
"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"Ich bin gambisch.
"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"The most straightforward translation is: **Ich bin guinea-bissauisch.**
"
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"The most straightforward translation is: **Ich bin äquatorialguineisch.**
"
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"Ich bin Grieche. (If the speaker is male)

Ich bin Griechin. (If the speaker is female)
"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"Ich bin Grenadinisch.
"
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"Ich bin Guatemaltekin.
"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"Ich bin Guyaner/Guyanerin.

* **Ich bin Guyaner** is used for a male speaker.
* **Ich bin Guyanerin** is used for a female speaker.
"
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"Ich bin Honduraner/in.

* **Honduraner** is used for a male Honduran.
* **Honduranerin** is used for a female Honduran.
"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"Ich bin Kroate/Kroatin.

* **Ich bin Kroate** is used if the speaker is male.
* **Ich bin Kroatin** is used if the speaker is female.
"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"Ich bin Haitianerin/Haitianer.

* **Haitianerin** is used if the speaker is female.
* **Haitianer** is used if the speaker is male.
"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"Ich bin Ungarisch.  (This is grammatically correct but sounds slightly unnatural.)

A more natural way to say it would be:  **Ich bin Ungar.**
"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"Ich bin Indonesier. (for a male speaker)
Ich bin Indonesierin. (for a female speaker)
"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"Ich bin Inder/Inderin.

* **Inder** is used if the speaker is male.
* **Inderin** is used if the speaker is female.
"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"Ich bin Ire/Irland.

* **Ich bin Ire:** This is used if the speaker is a male.
* **Ich bin Irin:** This is used if the speaker is a female.
* **Ich bin Irland:**  This is grammatically correct but less common and sounds a bit unnatural. It literally translates to ""I am Ireland,"" which is not how one would typically express being Irish.  It might be used in a very specific context, but generally avoid this option"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"Ich bin Iraner/Iranerin.

* **Ich bin Iraner** is used by men.
* **Ich bin Iranerin** is used by women.
"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"Ich bin Iraker/Irakerin.

* **Ich bin Iraker** is used by men.
* **Ich bin Irakerin** is used by women.
"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"Ich bin Isländer.
"
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"Ich bin israelisch.
"
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"Ich bin Italiener. (for a male speaker)
Ich bin Italienerin. (for a female speaker)
"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"Ich bin Jamaikaner/in.

* **Jamaikaner** is used for a male Jamaican.
* **Jamaikanerin** is used for a female Jamaican.
"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"Ich bin Jordanier. (for a male speaker)
Ich bin Jordanierin. (for a female speaker)
"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"Ich bin Japaner/Japanerin.

* **Ich bin Japaner** is used by men.
* **Ich bin Japanerin** is used by women.
"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"Ich bin Kasache/Kasachin.

* **Ich bin Kasache** is used by men.
* **Ich bin Kasachin** is used by women.
"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"Ich bin Kenianer/Kenianerin.

* **Kenianer** is used for a male Kenyan.
* **Kenianerin** is used for a female Kenyan.
"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"Ich bin Kirgise.  (for a female speaker)
Ich bin Kirgise. (for a male speaker)


While grammatically correct,  it's worth noting that  ""Kirgise"" is the more common and accepted form.  You might also see ""Kirgisisch"" used, but that refers more to the language or nationality, rather than ethnicity.  The context usually makes it clear.
"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"Ich bin Kambodschaner/in.

* **Ich bin Kambodschaner** is used for a male speaker.
* **Ich bin Kambodschanerin** is used for a female speaker.
"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"The most straightforward translation is: **Ich bin I-Kiribati.**
"
I am Kittitian or Nevisian.,,,,"The most straightforward translation is:

**Ich bin Kittitianer oder Nevisianer.**

This uses the masculine form.  If you want to be gender-neutral or include feminine forms, you could say:

**Ich bin Kittitianer/Kittitianerin oder Nevisianer/Nevisianerin.**  (This is a bit clunky)

A more natural-sounding, albeit slightly less precise, option might be:

**Ich bin von St. Kitts oder Nevis.** ("
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"Ich bin Südkoreaner/in.

* **Ich bin Südkoreaner** is used by men.
* **Ich bin Südkoreanerin** is used by women.
"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"Ich bin Kuwaiter.
"
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"Ich bin Lao.
"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"Ich bin Libanese.  (For a male speaker)
Ich bin Libanesin. (For a female speaker)
"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"Ich bin Liberianer/in.

* **Ich bin Liberianer** is used for a male speaker.
* **Ich bin Liberianerin** is used for a female speaker.
"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"Ich bin Libyer. (for a male speaker)
Ich bin Libyern. (for a female speaker)
"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"The most straightforward translation is: **Ich bin Saint Lucianer/in.**

* **Ich bin** means ""I am""
* **Saint Lucianer** is the masculine form for ""Saint Lucian""
* **Saint Lucianerin** is the feminine form for ""Saint Lucian""

You need to use the masculine or feminine form depending on your gender.
"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"Ich bin Liechtensteiner.
"
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"Ich bin Sri Lanker.
"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"The most straightforward translation is: **Ich bin Mosotho.**
"
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"Ich bin Litauer. (for a male speaker)
Ich bin Litauerin. (for a female speaker)
"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"Ich bin Luxemburger.  (for a male speaker)
Ich bin Luxemburgerin. (for a female speaker)
"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"Ich bin Lettin/Lette.

* **Lettin** is used if the speaker is female.
* **Lette** is used if the speaker is male.
"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"Ich bin Marokkaner/in.

* **Marokkaner** is used for a male Moroccan.
* **Marokkanerin** is used for a female Moroccan.
"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"Ich bin Monegasse.
"
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"Ich bin Moldauer/Moldawierin.

* **Moldauer** is used for a male Moldovan.
* **Moldawierin** is used for a female Moldovan.
"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"Ich bin Madagasse.
"
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"The most straightforward translation is: **Ich bin Malediver.**
"
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"Ich bin Mexikaner/in.

* **Mexikaner** is used for a male speaker.
* **Mexikanerin** is used for a female speaker.
"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"Ich bin Marshallese.
"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"Ich bin Mazedonier/Mazedonierin.

* **Ich bin Mazedonier** is used for a male speaker.
* **Ich bin Mazedonierin** is used for a female speaker.
"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"Ich bin Malier. (for a male speaker)
Ich bin Malierin. (for a female speaker)
"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"Ich bin Malteser/Malteserin.

* **Ich bin Malteser** is used for a male speaker.
* **Ich bin Malteserin** is used for a female speaker.
"
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"The most straightforward translation is: **Ich bin Burmesin/Burmese.**

* **Burmesin** is used if the speaker is female.
* **Burmese** is used if the speaker is male or if the gender is unknown or irrelevant.  While grammatically correct, using the English word ""Burmese"" is acceptable in spoken German, especially in informal settings.  It's more common to use the adjective form in this context.

A more natural-sounding alternative, especially"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"Ich bin Montenegriner/in.

* **Montenegriner** is used for a male.
* **Montenegrinerin** is used for a female.
"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"Ich bin Mongole.
"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"Ich bin Mosambikaner/in.

* **Mosambikaner** is used for a male Mozambican.
* **Mosambikanerin** is used for a female Mozambican.
"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"Ich bin mauritanisch.
"
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"Ich bin Mauritier.
"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"Ich bin Malawier/in.

* **Ich bin Malawier** is used for a male speaker.
* **Ich bin Malawierin** is used for a female speaker.
"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"Ich bin Malaysier.  (Male)
Ich bin Malaysin. (Female)
"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"Ich bin Namibier/in.

* **Ich bin Namibier** is used for a male speaker.
* **Ich bin Namibierin** is used for a female speaker.
"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"Ich bin Nigerin/Nigerier.

* **Nigerin** is used if the speaker is female.
* **Nigerier** is used if the speaker is male.
"
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"Ich bin Nigerianer/in.

* **Nigerianer** is used for a male Nigerian.
* **Nigerianerin** is used for a female Nigerian.
"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"Ich bin Nicaraguaner/Nicaraguanerin.

* **Nicaraguaner** is used for a male Nicaraguan.
* **Nicaraguanerin** is used for a female Nicaraguan.
"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"Ich bin Niederländer. (for a male speaker)
Ich bin Niederländerin. (for a female speaker)
"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"Ich bin Norweger. (for a male speaker)
Ich bin Norwegerin. (for a female speaker)
"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"Ich bin Nepali.
"
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"Ich bin Nauruisch.
"
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"Ich bin Neuseeländer. (If the speaker is male)
Ich bin Neuseeländerin. (If the speaker is female)
"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"Ich bin Omaner/Omanerin.

* **Omaner** is used for a male Omani.
* **Omanerin** is used for a female Omani.
"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"Ich bin Pakistaner/in.

* **Pakistaner** is used for a male.
* **Pakistanerin** is used for a female.
"
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"Ich bin Panameser/Panameserin.

* **Panameser** is used for a male.
* **Panameserin** is used for a female.
"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"Ich bin Peruaner/in.

* **Peruaner** is used for a male Peruvian.
* **Peruanerin** is used for a female Peruvian.
"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"Ich bin Filipino.
"
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"The most straightforward translation is: **Ich bin Palauaner.**  (For a male speaker) or **Ich bin Palauanerin.** (For a female speaker).
"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"The most straightforward translation is:

**Ich bin Papua-Neuguineer.**
"
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"Ich bin Pole. (for a male speaker)
Ich bin Polin. (for a female speaker)
"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"The most straightforward translation is: **Ich bin Nordkoreaner.**  (If the speaker is male)

For a female speaker, it would be: **Ich bin Nordkoreanerin.**
"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"Ich bin Portugiese. (for a male speaker)
Ich bin Portugiesin. (for a female speaker)
"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"Ich bin Paraguayer/in.

* **Paraguayer** is used for a male.
* **Paraguayerin** is used for a female.
"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"Ich bin Katarer. (masculine)
Ich bin Katarerin. (feminine)

You need to use the masculine or feminine form depending on the speaker's gender.
"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"Ich bin Rumäne.
"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"Ich bin Russin. (for a female speaker)
Ich bin Russe. (for a male speaker)
Ich bin russisch. (This is grammatically correct but less common and sounds slightly different. It emphasizes nationality more than ethnicity.)
"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"Ich bin Ruander.
"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"Ich bin Saudi-Araber. (for a male speaker)
Ich bin Saudi-Araberin. (for a female speaker)
"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"Ich bin Sudanesin (female) or Ich bin Sudanese (male).
"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"Ich bin Senegalese.
"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"Ich bin Singapurer. (masculine)
Ich bin Singapurerin. (feminine)

You need to use the masculine or feminine form depending on the speaker's gender.
"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"The most straightforward translation is:  **Ich bin Solomon-Insulaner.**

You could also say: **Ich bin von den Salomon-Inseln.** (I am from the Solomon Islands)  This is a slightly more formal and descriptive option.
"
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"Ich bin Sierra Leoner/in.

* **Ich bin Sierra Leoner** is used for a male speaker.
* **Ich bin Sierra Leonerin** is used for a female speaker.
"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"Ich bin salvadorianisch.
"
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"Ich bin San-Marinesisch.
"
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"Ich bin Somali.
"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"Ich bin Serbe/Serbin.

* **Ich bin Serbe** is used if the speaker is male.
* **Ich bin Serbin** is used if the speaker is female.
"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"Ich bin Südsudanesin/Südsudanerin.

* **Südsudanesin** is used for a male South Sudanese person.
* **Südsudanerin** is used for a female South Sudanese person.
"
