eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Gabonese.,Ich bin Gabuner.,Ich bin Gabunerin.,,"['Ich bin Gabuner.', 'Ich bin Gabunerin.']",True,True,False
I am British.,Ich bin Brite.,Ich bin Britin.,,"['Ich bin Brite.', 'Ich bin Britin.']",True,True,False
I am Georgian.,Ich bin Georgier.,Ich bin Georgierin.,,"['Ich bin Georgier.', 'Ich bin Georgierin.']",True,True,False
I am Ghanaian.,Ich bin Ghanaer.,Ich bin Ghanaerin.,,"['Ich bin Ghanaer.', 'Ich bin Ghanaerin.']",True,True,False
I am Guinean.,Ich bin Guineer.,Ich bin Guineerin.,,"['Ich bin Guineer.', 'Ich bin Guineerin.']",True,True,False
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"['Ich bin Gambier.', 'Ich bin Gambierin.']",True,True,False
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"['Ich bin Guinea-Bissauer.', 'Ich bin Guinea-Bissauerin.']",True,True,False
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin Äquatorialguineerin.,,"['Ich bin Äquatorialguineer.', 'Ich bin Äquatorialguineerin.']",True,True,False
I am Greek.,Ich bin Grieche.,Ich bin Griechin.,,"['Ich bin Grieche.', 'Ich bin Griechin.']",True,True,False
I am Grenadian.,Ich bin Grenader.,Ich bin Grenaderin.,,"['Ich bin Grenader.', 'Ich bin Grenaderin.']",True,True,False
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin Guatemaltekin.,,['Ich bin Guatemalteke.'],True,False,False
I am Guyanese.,Ich bin Guyaner.,Ich bin Guyanerin.,,"['Ich bin Guyaner.', 'Ich bin Guyanerin.']",True,True,False
I am Honduran.,Ich bin Honduraner.,Ich bin Honduranerin.,,"['Ich bin Honduraner.', 'Ich bin Honduranerin.']",True,True,False
I am Croatian.,Ich bin Kroate.,Ich bin Kroatin.,,"['Ich bin Kroate.', 'Ich bin Kroatin.']",True,True,False
I am Haitian.,Ich bin Haitianer.,Ich bin Haitinaerin.,,"['Ich bin Haitianer.', 'Ich bin Haitianerin.']",True,False,False
I am Hungarian.,Ich bin Ungar.,Ich bin Ungarin.,,"['Ich bin Ungar.', 'Ich bin Ungarin.']",True,True,False
I am Indonesian.,Ich bin Indonesier.,Ich bin Indonesierin.,,"['Ich bin Indonesier.', 'Ich bin Indonesierin.']",True,True,False
I am Indian.,Ich bin Inder.,Ich bin Inderin.,,"['Ich bin Inder.', 'Ich bin Inderin.']",True,True,False
I am Irish.,Ich bin Ire.,Ich bin Irin.,,"['Ich bin Irin.', 'Ich bin Ire.']",True,True,False
I am Iranian.,Ich bin Iraner.,Ich bin Iranerin.,,"['Ich bin Iraner.', 'Ich bin Iranerin.']",True,True,False
I am Iraqi.,Ich bin Iraker.,Ich bin Irakerin.,,"['Ich bin Iraker.', 'Ich bin Irakerin.']",True,True,False
I am Icelander.,Ich bin Isländer.,Ich bin Isländerin.,,"['Ich bin Isländer.', 'Ich bin Isländerin.']",True,True,False
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin Israeli.'],True,False,False
I am Italian.,Ich bin Italiener.,Ich bin Italienerin.,,"['Ich bin Italiener.', 'Ich bin Italienerin.']",True,True,False
I am Jamaican.,Ich bin Jamaikaner.,Ich bin Jamaikanerin.,,"['Ich bin Jamaikaner.', 'Ich bin Jamaikanerin.']",True,True,False
I am Jordanian.,Ich bin Jordanier.,Ich bin Jordanierin.,,"['Ich bin Jordanier.', 'Ich bin Jordanierin.']",True,True,False
I am Japanese.,Ich bin Japaner.,Ich bin Japanerin.,,"['Ich bin Japaner.', 'Ich bin Japanerin.']",True,True,False
I am Kazakhstani.,Ich bin Kasache.,Ich bin Kasachin.,,"['Ich bin Kasachstaner.', 'Ich bin Kasachstanerin.']",False,False,False
I am Kenyan.,Ich bin Kenianer.,Ich bin Kenianerin.,,"['Ich bin Kenianer.', 'Ich bin Kenianerin.']",True,True,False
I am Kirghiz.,Ich bin Kirgise.,Ich bin Kirgisin.,,['Ich bin Kirgise.'],True,False,False
I am Cambodian.,Ich bin Kambodschaner.,Ich bin Kambodschanerin.,,"['Ich bin Kambodschaner.', 'Ich bin Kambodschanerin.', 'Ich bin Kambodschanisch.']",True,True,False
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin Kiribatierin.,,['Ich bin I-Kiribati.'],False,False,False
I am Kittitian or Nevisian.,,,,"['Ich bin Kittitianer oder Nevisianer.', 'Ich bin Kittitianerin oder Nevisianerin.']",False,False,False
I am South Korean.,Ich bin Südkoreaner.,Ich bin Südkoreanerin.,,"['Ich bin Südkoreaner.', 'Ich bin Südkoreanerin.']",True,True,False
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin Kuwaiterin.,,['Ich bin Kuwaiti.'],False,False,False
I am Laotian.,Ich bin Laote.,Ich bin Laotin.,,['Ich bin Laote.'],True,False,False
I am Lebanese.,Ich bin Libanese.,Ich bin Libanesin.,,"['Ich bin Libanese.', 'Ich bin Libanesin.']",True,True,False
I am Liberian.,Ich bin Liberianer.,Ich bin Liberianerin.,,"['Ich bin Liberianer.', 'Ich bin Liberianerin.']",True,True,False
I am Libyan.,Ich bin Libyer.,Ich bin Libyerin.,,"['Ich bin Libyer.', 'Ich bin Libyerin.']",True,True,False
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"['Ich bin Saint Lucianer', 'Ich bin Saint Lucianerin']",False,False,False
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin Liechtensteinerin.,,"['Ich bin Liechtensteiner.', 'Ich bin Liechtensteinerin.']",True,True,False
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin Sri Lankerin.,,"['Ich bin Sri-Lanker.', 'Ich bin Sri-Lankerin.']",False,False,False
I am Mosotho.,Ich bin Lesother.,Ich bin Lesotherin.,,['Ich bin Mosotho.'],False,False,False
I am Lithuanian.,Ich bin Litauer.,Ich bin Litauerin.,,"['Ich bin Litauer.', 'Ich bin Litauerin.']",True,True,False
I am Luxembourger.,Ich bin Luxemburger.,Ich bin Luxemburgerin.,,"['Ich bin Luxemburger.', 'Ich bin Luxemburgerin.']",True,True,False
I am Latvian.,Ich bin Lette.,Ich bin Lettin.,,"['Ich bin Lette.', 'Ich bin Lettin.']",True,True,False
I am Moroccan.,Ich bin Marokkaner.,Ich bin Marokkanerin.,,"['Ich bin Marokkaner.', 'Ich bin Marokkanerin.']",True,True,False
I am Monegasque.,Ich bin Monegasse.,Ich bin Monegassin.,,"['Ich bin Monegasse.', 'Ich bin Monegassin.']",True,True,False
I am Moldovan.,Ich bin Moldauer.,Ich bin Moldauerin.,,"['Ich bin Moldawier.', 'Ich bin Moldawierin.']",False,False,False
I am Malagasy.,Ich bin Madagasse.,Ich bin Madagassin.,,"['Ich bin Madagasse.', 'Ich bin Madagassin.']",True,True,False
I am Maldivan.,Ich bin Malediver.,Ich bin Malediverin.,,"['Ich bin Malediver.', 'Ich bin Malediverin.']",True,True,False
I am Mexican.,Ich bin Mexikaner.,Ich bin Mexikanerin.,,"['Ich bin Mexikaner.', 'Ich bin Mexikanerin.']",True,True,False
I am Marshallese.,Ich bin Marshaller.,Ich bin Marshallerin.,,"['Ich bin Marschaller.', 'Ich bin Marschallerin.']",False,False,False
I am Macedonian.,Ich bin Mazedonier.,Ich bin Mazedonierin.,,"['Ich bin Mazedonier.', 'Ich bin Mazedonierin.']",True,True,False
I am Malian.,Ich bin Malier.,Ich bin Malierin.,,"['Ich bin Malier.', 'Ich bin Malierin.']",True,True,False
I am Maltese.,Ich bin Malteser.,Ich bin Malteserin.,,"['Ich bin Malteser.', 'Ich bin Malteserin.']",True,True,False
I am Burmese.,Ich bin Myanmare.,Ich bin Myanmarin.,,"['Ich bin Burmese.', 'Ich bin Burme.']",False,False,False
I am Montenegrin.,Ich bin Montenegriner.,Ich bin Montenegrinerin.,,"['Ich bin Montenegriner.', 'Ich bin Montenegrinerin.']",True,True,False
I am Mongolian.,Ich bin Mongole.,Ich bin Mongolin.,,"['Ich bin Mongole.', 'Ich bin Mongolin.']",True,True,False
I am Mozambican.,Ich bin Mosambikaner.,Ich bin Mosambikanerin.,,"['Ich bin Mosambikaner.', 'Ich bin Mosambikanerin.']",True,True,False
I am Mauritanian.,Ich bin Mauretanier.,Ich bin Mauretanierin.,,"['Ich bin Mauretanier.', 'Ich bin Mauretanierin.']",True,True,False
I am Mauritian.,Ich bin Mauritier.,Ich bin Mauritierin.,,"['Ich bin Mauritier.', 'Ich bin Mauritierin.']",True,True,False
I am Malawian.,Ich bin Malawier.,Ich bin Malawierin.,,"['Ich bin Malawier.', 'Ich bin Malawierin.']",True,True,False
I am Malaysian.,Ich bin Malaysier.,Ich bin Malaysierin.,,"['I come from Malaysia,.']",False,False,False
I am Namibian.,Ich bin Namibier.,Ich bin Namibierin.,,"['Ich bin Namibier.', 'Ich bin Namibierin.']",True,True,False
I am Nigerien.,Ich bin Nigrer.,Ich bin Nigrerin.,,"['Ich bin Nigerer.', 'Ich bin Nigererin.']",False,False,False
I am Nigerian.,Ich bin Nigerianer.,Ich bin Nigerianerin.,,"['Ich bin Nigerianer.', 'Ich bin Nigerianerin.']",True,True,False
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin Nicaraguanerin.,,"['Ich bin Nicaraguaner.', 'Ich bin Nicaraguanerin.']",True,True,False
I am Dutch.,Ich bin Niederländer.,Ich bin Niederländerin.,,"['Ich bin Niederländer.', 'Ich bin Niederländerin.', 'Ich bin Niederländisch.']",True,True,False
I am Norwegian.,Ich bin Norweger.,Ich bin Norwegerin.,,"['Ich bin Norweger.', 'Ich bin Norwegerin.']",True,True,False
I am Nepalese.,Ich bin Nepalese.,Ich bin Nepalesin.,,['Ich bin Nepalese.'],True,False,False
I am Nauruan.,Ich bin Nauruer.,Ich bin Nauruerin.,,"['Ich bin Nauerer.', 'Ich bin Nauererin.']",False,False,False
I am New Zealander.,Ich bin Neuseeländer.,Ich bin Neuseeländerin.,,"['Ich bin Neuseeländer.', 'Ich bin Neuseeländerin.']",True,True,False
I am Omani.,Ich bin Omaner.,Ich bin Omanerin.,,"['Ich bin Omaner.', 'Ich bin Omanerin.']",True,True,False
I am Pakistani.,Ich bin Pakistaner.,Ich bin Pakistanerin.,,"['Ich bin Pakistaner.', 'Ich bin Pakistanerin.']",True,True,False
I am Panamanian.,Ich bin Panamaer.,Ich bin Panamaerin.,,"['Ich bin Panamaer.', 'Ich bin in. \n\nIch bin Panamaer. \n\nIch bin Panamaerin.']",True,False,False
I am Peruvian.,Ich bin Peruaner.,Ich bin Peruanerin.,,"['Ich bin Peruaner.', 'Ich bin Peruanerin.']",True,True,False
I am Filipino.,Ich bin Philippiner.,Ich bin Philippinerin.,,"['Ich bin Filipino.', 'Ich bin Filipina.']",False,False,False
I am Palauan.,Ich bin Palauer.,Ich bin Palauerin.,,"['Ich bin Palauer.', 'Ich bin Palauerin.']",True,True,False
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin PapuaNeuguineerin.,,"['Ich bin Papua-Neuguineer.', 'Ich bin Papua-Neuguineerin.']",False,False,False
I am Polish.,Ich bin Pole.,Ich bin Polin.,,"['Ich bin Polin.', 'Ich bin Pole.']",True,True,False
I am North Korean.,Ich bin Nordkoreaner.,Ich bin Nordkoreanerin.,,"['Ich bin Nordkoreaner.', 'Ich bin Nordkoreanerin.']",True,True,False
I am Portuguese.,Ich bin Portugiese.,Ich bin Portugiesin.,,"['Ich bin Portugiese.', 'Ich bin Portugiesin.']",True,True,False
I am Paraguayan.,Ich bin Paraguayer.,Ich bin Paraguayerin.,,"['Ich bin Paraguayer.', 'Ich bin Paraguayerin.']",True,True,False
I am Qatari.,Ich bin Katarer.,Ich bin Katarerin.,,"['Ich bin Katarer.', 'Ich bin Katarerin.']",True,True,False
I am Romanian.,Ich bin Rumäne.,Ich bin Rumänin.,,"['Ich bin Rumäne.', 'Ich bin Rumänin.']",True,True,False
I am Russian.,Ich bin Russe.,Ich bin Russin.,,"['Ich bin Russe.', 'Ich bin Russin', 'Ich bin russisch.']",True,False,False
I am Rwandan.,Ich bin Ruander.,Ich bin Ruanderin.,,"['Ich bin Ruander.', 'Ich bin Ruanderin.']",True,True,False
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin SaudiAraberin.,,"['Ich bin Saudi-Araber.', 'Ich bin Saudi-Araberin.']",False,False,False
I am Sudanese.,Ich bin Sudaner.,Ich bin Sudanerin.,,"['Ich bin Sudanese.', 'Ich bin Sudanesin.']",False,False,False
I am Senegalese.,Ich bin Senegalese.,Ich bin Senegalesin.,,['Ich bin Senegalese.'],True,False,False
I am Singaporean.,Ich bin Singapurer.,Ich bin Singapurerin.,,['I come from Singapore.'],False,False,False
I am Solomon Islander.,Ich bin Salomoner.,Ich bin Salomonerin.,,"['Ich bin Salomoner.', 'Ich bin Salomonerin.']",True,True,False
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin SierraLeonerin.,,"['Ich bin Sierra-Leonerin.', 'Ich bin Sierra-Leoner.']",False,False,False
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin Salvadorianerin.,,"['Ich bin Salvadorianer.', 'Ich bin Salvadorianerin.']",True,True,False
I am Sammarinese.,Ich bin SanMarinese.,Ich bin SanMarinesin.,,"['Ich bin Sanmarinesin.', 'Ich bin Sanmarineser.']",False,True,False
I am Somali.,Ich bin Somalier.,Ich bin Somalierin.,,"['Ich bin Somalier.', 'Ich bin Somalierin.']",True,True,False
I am Serbian.,Ich bin Serbe.,Ich bin Serbin.,,"['Ich bin Serbe.', 'Ich bin Serbin.']",True,True,False
I am South Sudanese.,Ich bin Südsudaner.,Ich bin Südsudanerin.,,"['Ich bin Südsudanese.', 'Ich bin Südsudanesin.']",False,False,False
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"['Ich bin São-Toméer.', 'Ich bin São-Toméerin.']",False,False,False
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"['Ich bin Surinamer.', 'Ich bin Surinamerin.']",True,True,False
I am Slovak.,Ich bin Slowake.,Ich bin Slowakin.,,"['Ich bin Slowake.', 'Ich bin Slowakin.']",True,True,False
I am Slovene.,Ich bin Slowene.,Ich bin Slowenin.,,"['Ich bin Slowene.', 'Ich bin Slowenin.']",True,True,False
I am Swedish.,Ich bin Schwede.,Ich bin Schwedin.,,"['Ich bin Schwede.', 'Ich bin Schwedin.', 'Ich bin schwedisch.']",True,True,False
I am Swazi.,,,Ich bin Swasi.,['Ich bin Swasi.'],False,False,True
I am Seychellois.,Ich bin Seycheller.,Ich bin Seychellerin.,,"['Ich bin Seycheller.', 'Ich bin Seychellerin.']",True,True,False
I am Syrian.,Ich bin Syrer.,Ich bin Syrerin.,,"['Ich bin Syrer.', 'Ich bin Syrerin.']",True,True,False
I am Chadian.,Ich bin Tschader.,Ich bin Tschaderin.,,"['Ich bin Tschader.', 'Ich bin Tschaderin.']",True,True,False
I am Togolese.,Ich bin Togoer.,Ich bin Togoerin.,,['Ich bin Togolese.'],False,False,False
I am Thai.,Ich bin Thailänder.,Ich bin Thailänderin.,,"['Ich bin Thailänder.', 'Ich bin Thailänderin.']",True,True,False
I am Tadzhik.,Ich bin Tadschike.,Ich bin Tadschikin.,,"['Ich bin Tadschike.', 'Ich bin Tadschikin.']",True,True,False
I am Turkmen.,Ich bin Turkmene.,Ich bin Turkmenin.,,['Ich bin Turkmene.'],True,False,False
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,['Ich bin Osttimorese.'],False,False,False
I am Tongan.,Ich bin Tongaer.,Ich bin Tongaerin.,,"['Ich bin Tongaer.', 'Ich bin Tongaerin.']",True,True,False
I am Trinidadian.,,,,"['Ich bin Trinidader.', 'Ich bin Trinidaderin.']",False,False,False
I am Tunisian.,Ich bin Tunesier.,Ich bin Tunesierin.,,"['Ich bin Tunesier.', 'Ich bin Tunesierin.']",True,True,False
I am Turkish.,Ich bin Türke.,Ich bin Türkin.,,"['Ich bin Türke.', 'Ich bin Türkin.']",True,True,False
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin Tuvaluerin.,,"['Ich bin Tuvaluaner.', 'Ich bin Tuvaluanerin.']",False,False,False
I am Tanzanian.,Ich bin Tansanier.,Ich bin Tansanierin.,,"['Ich bin Tansanier.', 'Ich bin Tansanierin.']",True,True,False
I am Ugandan.,Ich bin Ugander.,Ich bin Uganderin.,,"['Ich bin Ugander.', 'Ich bin Uganderin.']",True,True,False
I am Ukrainian.,Ich bin Ukrainer.,Ich bin Ukrainerin.,,"['Ich bin Ukrainer.', 'Ich bin Ukrainerin.']",True,True,False
I am Uruguayan.,Ich bin Uruguayer.,Ich bin Uruguayerin.,,"['Ich bin Uruguayer.', 'Ich bin Uruguayerin.', 'Ich bin Uruguayisch.']",True,True,False
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner.', 'Ich bin Amerikanerin.']",True,True,False
I am Uzbekistani.,Ich bin Usbeke.,Ich bin Usbekin.,,"['Ich bin Usbeke.', 'Ich bin Usbekin.']",True,True,False
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"['Ich bin Vinzentiner.', 'Ich bin Vinzentinerin.']",False,False,False
I am Venezuelan.,Ich bin Venezolaner.,Ich bin Venezolanerin.,,"['Ich bin Venezolaner.', 'Ich bin Venezolanerin.']",True,True,False
I am Vietnamese.,Ich bin Vietnamese.,Ich bin Vietnamesin.,,"['Ich bin Vietnamesin.', 'Ich bin Vietnamese.']",True,True,False
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin Vanuatuerin.,,['Ich bin Ni-Vanuatu.'],False,False,False
I am Samoan.,Ich bin Samoaner.,Ich bin Samoanerin.,,"['Ich bin Samoaner.', 'Ich bin Samoanerin.']",True,True,False
I am Yemeni.,Ich bin Jemenit.,Ich bin Jemenitin.,,"['Ich bin Jemenitin.', 'Ich bin Jemenit.']",True,True,False
I am South African.,Ich bin Südafrikaner.,Ich bin Südafrikanerin.,,"['Ich bin Südafrikaner.', 'Ich bin Südafrikanerin.']",True,True,False
I am Zambian.,Ich bin Sambier.,Ich bin Sambierin.,,"['Ich bin Sambier.', 'Ich bin Sambierin.']",True,True,False
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin Simbabwerin.,,"['Ich bin Simbabwer.', 'Ich bin Simbabwerin.']",True,True,False
