eng,deu_m,deu_f,deu_n,extracted
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"['Ich bin Ägypter.', 'Ich bin Ägypterin.\n\n* **Ich bin Ägypter** is used if the speaker is male.\n* **Ich bin Ägypterin** is used if the speaker is female.']"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"['Ich bin Eritreer.\n\n* **Eritreer** is used for a male speaker.\n* **Eritreerin** is used for a female speaker.', 'Ich bin Eritreerin.\n\n* **Eritreer** is used for a male speaker.\n* **Eritreerin** is used for a female speaker.']"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,[]
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"['Ich bin Estländer.', 'Ich bin Estin.\n\n* **Ich bin Estländer** is used by men.\n* **Ich bin Estin** is used by women.']"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"['Ich bin Äthiopier.', 'Ich bin Äthiopierin.']"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"['The most straightforward translation is: **Ich bin Fidschianer.**  (or, for a woman: **Ich bin Fidschianerin**)']"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.\n\n* **Ich bin Franzose** is used if the speaker is male.\n* **Ich bin Französin** is used if the speaker is female.']"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"['Micronesian.', 'Micronesian.']"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"['Ich bin Gabunerin.', 'Ich bin Gabuner.\n\n* **Gabunerin** is used if the speaker is female.\n* **Gabuner** is used if the speaker is male.']"
I am British.,Ich bin Brite.,Ich bin  Britin.,,"['Ich bin Britin.', 'Ich bin Brite.']"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"['Ich bin Georgier.', 'Ich bin Georgierin.\n\n* **Ich bin Georgier** is used if the speaker is male.\n* **Ich bin Georgierin** is used if the speaker is female.']"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"['Ich bin Ghanaer.\n\n* **Ghanaer** is used for a male Ghanaian.\n* **Ghanaerin** is used for a female Ghanaian.', 'Ich bin Ghanaerin.\n\n* **Ghanaer** is used for a male Ghanaian.\n* **Ghanaerin** is used for a female Ghanaian.']"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"['Ich bin Guineer.', 'Ich bin Guineerin.\n\n* **Ich bin Guineer** is used for a male speaker.\n* **Ich bin Guineerin** is used for a female speaker.']"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,['Ich bin gambisch.']
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,['The most straightforward translation is: **Ich bin guinea-bissauisch.**']
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,['The most straightforward translation is: **Ich bin äquatorialguineisch.**']
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"['Ich bin Grieche.', 'Ich bin Griechin.']"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,['Ich bin Grenadinisch.']
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,['Ich bin Guatemaltekin.']
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"['Ich bin Guyaner.', 'Ich bin Guyanerin.\n\n* **Ich bin Guyaner** is used for a male speaker.\n* **Ich bin Guyanerin** is used for a female speaker.']"
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"['Ich bin Honduraner.\n\n* **Honduraner** is used for a male Honduran.\n* **Honduranerin** is used for a female Honduran.', 'Ich bin Honduranerin.\n\n* **Honduraner** is used for a male Honduran.\n* **Honduranerin** is used for a female Honduran.']"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"['Ich bin Kroate.', 'Ich bin Kroatin.\n\n* **Ich bin Kroate** is used if the speaker is male.\n* **Ich bin Kroatin** is used if the speaker is female.']"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"['Ich bin Haitianerin.', 'Ich bin Haitianer.\n\n* **Haitianerin** is used if the speaker is female.\n* **Haitianer** is used if the speaker is male.']"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,['Ich bin Ungarisch.  (This is grammatically correct but sounds slightly unnatural.)\n\nA more natural way to say it would be:  **Ich bin Ungar.**']
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"['Ich bin Indonesier.', 'Ich bin Indonesierin.']"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"['Ich bin Inder.', 'Ich bin Inderin.\n\n* **Inder** is used if the speaker is male.\n* **Inderin** is used if the speaker is female.']"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,[]
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"['Ich bin Iraner.', 'Ich bin Iranerin.\n\n* **Ich bin Iraner** is used by men.\n* **Ich bin Iranerin** is used by women.']"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"['Ich bin Iraker.', 'Ich bin Irakerin.\n\n* **Ich bin Iraker** is used by men.\n* **Ich bin Irakerin** is used by women.']"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,['Ich bin Isländer.']
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin israelisch.']
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"['Ich bin Italiener.', 'Ich bin Italienerin.']"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"['Ich bin Jamaikaner.\n\n* **Jamaikaner** is used for a male Jamaican.\n* **Jamaikanerin** is used for a female Jamaican.', 'Ich bin Jamaikanerin.\n\n* **Jamaikaner** is used for a male Jamaican.\n* **Jamaikanerin** is used for a female Jamaican.']"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"['Ich bin Jordanier.', 'Ich bin Jordanierin.']"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"['Ich bin Japaner.', 'Ich bin Japanerin.\n\n* **Ich bin Japaner** is used by men.\n* **Ich bin Japanerin** is used by women.']"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"['Ich bin Kasache.', 'Ich bin Kasachin.\n\n* **Ich bin Kasache** is used by men.\n* **Ich bin Kasachin** is used by women.']"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"['Ich bin Kenianer.', 'Ich bin Kenianerin.\n\n* **Kenianer** is used for a male Kenyan.\n* **Kenianerin** is used for a female Kenyan.']"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"['Kirgise.', 'Kirgisisch.']"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"['Ich bin Kambodschaner.\n\n* **Ich bin Kambodschaner** is used for a male speaker.\n* **Ich bin Kambodschanerin** is used for a female speaker.', 'Ich bin Kambodschanerin.\n\n* **Ich bin Kambodschaner** is used for a male speaker.\n* **Ich bin Kambodschanerin** is used for a female speaker.']"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,['The most straightforward translation is: **Ich bin I-Kiribati.**']
I am Kittitian or Nevisian.,,,,"['The most straightforward translation is:\n\n**Ich bin Kittitianer oder Nevisianer.**\n\nThis uses the masculine form.  If you want to be gender-neutral or include feminine forms, you could say:\n\n**Ich bin Kittitianer.', 'The most straightforward translation is: **Ich bin Kittitianer oder Nevisianer.** This uses the masculine form. If you want to be gender-neutral or include feminine forms, you could say: **Ich bin Nevisianerin.**  (This is a bit clunky)\n\nA more natural-sounding, albeit slightly less precise, option might be:\n\n**Ich bin von St. Kitts oder Nevis.** (']"
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"['Ich bin Südkoreaner.\n\n* **Ich bin Südkoreaner** is used by men.\n* **Ich bin Südkoreanerin** is used by women.', 'Ich bin Südkoreanerin.\n\n* **Ich bin Südkoreaner** is used by men.\n* **Ich bin Südkoreanerin** is used by women.']"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,['Ich bin Kuwaiter.']
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,['Ich bin Lao.']
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"['Ich bin Libanese.', 'Ich bin Libanesin.']"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"['Ich bin Liberianer.\n\n* **Ich bin Liberianer** is used for a male speaker.\n* **Ich bin Liberianerin** is used for a female speaker.', 'Ich bin Liberianerin.\n\n* **Ich bin Liberianer** is used for a male speaker.\n* **Ich bin Liberianerin** is used for a female speaker.']"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"['Ich bin Libyer.', 'Ich bin Libyern.']"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"['Saint Lucian.', 'Saint Lucian.']"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,['Ich bin Liechtensteiner.']
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,['Ich bin Sri Lanker.']
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,['The most straightforward translation is: **Ich bin Mosotho.**']
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"['Ich bin Litauer.', 'Ich bin Litauerin.']"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"['Ich bin Luxemburger.', 'Ich bin Luxemburgerin.']"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"['Ich bin Lettin.', 'Ich bin Lette.\n\n* **Lettin** is used if the speaker is female.\n* **Lette** is used if the speaker is male.']"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"['Ich bin Marokkaner.\n\n* **Marokkaner** is used for a male Moroccan.\n* **Marokkanerin** is used for a female Moroccan.', 'Ich bin Marokkanerin.\n\n* **Marokkaner** is used for a male Moroccan.\n* **Marokkanerin** is used for a female Moroccan.']"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,['Ich bin Monegasse.']
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"['Ich bin Moldauer.', 'Ich bin Moldawierin.\n\n* **Moldauer** is used for a male Moldovan.\n* **Moldawierin** is used for a female Moldovan.']"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,['Ich bin Madagasse.']
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,['The most straightforward translation is: **Ich bin Malediver.**']
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"['Ich bin Mexikaner.\n\n* **Mexikaner** is used for a male speaker.\n* **Mexikanerin** is used for a female speaker.', 'Ich bin Mexikanerin.\n\n* **Mexikaner** is used for a male speaker.\n* **Mexikanerin** is used for a female speaker.']"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,['Ich bin Marshallese.']
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"['Ich bin Mazedonier.', 'Ich bin Mazedonierin.\n\n* **Ich bin Mazedonier** is used for a male speaker.\n* **Ich bin Mazedonierin** is used for a female speaker.']"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"['Ich bin Malier.', 'Ich bin Malierin.']"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"['Ich bin Malteser.', 'Ich bin Malteserin.\n\n* **Ich bin Malteser** is used for a male speaker.\n* **Ich bin Malteserin** is used for a female speaker.']"
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,['Burmese.']
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"['Ich bin Montenegriner.\n\n* **Montenegriner** is used for a male.\n* **Montenegrinerin** is used for a female.', 'Ich bin Montenegrinerin.\n\n* **Montenegriner** is used for a male.\n* **Montenegrinerin** is used for a female.']"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,['Ich bin Mongole.']
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"['Ich bin Mosambikaner.\n\n* **Mosambikaner** is used for a male Mozambican.\n* **Mosambikanerin** is used for a female Mozambican.', 'Ich bin Mosambikanerin.\n\n* **Mosambikaner** is used for a male Mozambican.\n* **Mosambikanerin** is used for a female Mozambican.']"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,['Ich bin mauritanisch.']
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,['Ich bin Mauritier.']
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"['Ich bin Malawier.\n\n* **Ich bin Malawier** is used for a male speaker.\n* **Ich bin Malawierin** is used for a female speaker.', 'Ich bin Malawierin.\n\n* **Ich bin Malawier** is used for a male speaker.\n* **Ich bin Malawierin** is used for a female speaker.']"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"['Ich bin Malaysier.', 'Ich bin Malaysin.']"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"['Ich bin Namibier.\n\n* **Ich bin Namibier** is used for a male speaker.\n* **Ich bin Namibierin** is used for a female speaker.', 'Ich bin Namibierin.\n\n* **Ich bin Namibier** is used for a male speaker.\n* **Ich bin Namibierin** is used for a female speaker.']"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"['Ich bin Nigerin.', 'Ich bin Nigerier.\n\n* **Nigerin** is used if the speaker is female.\n* **Nigerier** is used if the speaker is male.']"
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"['Ich bin Nigerianer.\n\n* **Nigerianer** is used for a male Nigerian.\n* **Nigerianerin** is used for a female Nigerian.', 'Ich bin Nigerianerin.\n\n* **Nigerianer** is used for a male Nigerian.\n* **Nigerianerin** is used for a female Nigerian.']"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"['Ich bin Nicaraguaner.', 'Ich bin Nicaraguanerin.\n\n* **Nicaraguaner** is used for a male Nicaraguan.\n* **Nicaraguanerin** is used for a female Nicaraguan.']"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"['Ich bin Niederländer.', 'Ich bin Niederländerin.']"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"['Ich bin Norweger.', 'Ich bin Norwegerin.']"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,['Ich bin Nepali.']
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,['Ich bin Nauruisch.']
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"['Ich bin Neuseeländer.', 'Ich bin Neuseeländerin.']"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"['Ich bin Omaner.', 'Ich bin Omanerin.\n\n* **Omaner** is used for a male Omani.\n* **Omanerin** is used for a female Omani.']"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"['Ich bin Pakistaner.\n\n* **Pakistaner** is used for a male.\n* **Pakistanerin** is used for a female.', 'Ich bin Pakistanerin.\n\n* **Pakistaner** is used for a male.\n* **Pakistanerin** is used for a female.']"
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"['Ich bin Panameser.', 'Ich bin Panameserin.\n\n* **Panameser** is used for a male.\n* **Panameserin** is used for a female.']"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"['Ich bin Peruaner.\n\n* **Peruaner** is used for a male Peruvian.\n* **Peruanerin** is used for a female Peruvian.', 'Ich bin Peruanerin.\n\n* **Peruaner** is used for a male Peruvian.\n* **Peruanerin** is used for a female Peruvian.']"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,['Ich bin Filipino.']
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"['The most straightforward translation is: **Ich bin Palauaner.**', '**Ich bin Palauanerin.**']"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,['The most straightforward translation is:\n\n**Ich bin Papua-Neuguineer.**']
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"['Ich bin Pole.', 'Ich bin Polin.']"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"['The most straightforward translation is: **Ich bin Nordkoreaner.**', 'For a female speaker, it would be: **Ich bin Nordkoreanerin.**']"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"['Ich bin Portugiese.', 'Ich bin Portugiesin.']"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"['Ich bin Paraguayer.\n\n* **Paraguayer** is used for a male.\n* **Paraguayerin** is used for a female.', 'Ich bin Paraguayerin.\n\n* **Paraguayer** is used for a male.\n* **Paraguayerin** is used for a female.']"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"[""Ich bin Katarer. (masculine)\nIch bin Katarerin. (feminine)\n\nYou need to use the masculine or feminine form depending on the speaker's gender.""]"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,['Ich bin Rumäne.']
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"['Ich bin Russin.', 'Ich bin Russe.', 'Ich bin russisch.']"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,['Ich bin Ruander.']
