eng,spa_m,spa_f,spa_n,extracted
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,['Soy luxemburgués.']
I am Latvian.,Soy letón.,,,['Soy letón.']
I am Moroccan.,,,Soy marroquí.,['Soy marroquí.']
I am Monegasque.,Soy monegasco.,Soy monegasca.,,['Soy monegasco.']
I am Moldovan.,Soy moldavo.,Soy moldava.,,['Soy moldavo.']
I am Malagasy.,,,Soy malgache.,['Soy malgache.']
I am Maldivan.,Soy maldivo.,Soy maldiva.,,['Soy de Maldivas.']
I am Mexican.,Soy mexicano.,Soy mexicana.,,['Soy mexicano.']
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,['Soy marshallés.']
I am Macedonian.,Soy macedonio.,Soy macedonia.,,['Soy macedonio.']
I am Malian.,,,Soy malí.,['Soy de Mali.']
I am Maltese.,Soy maltés.,Soy maltésa.,,['Soy maltés.']
I am Burmese.,,,Soy de Myanmar.,['Soy birmano.']
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,['Soy montenegrino.']
I am Mongolian.,Soy mongol.,,,['Soy mongol.']
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,['Soy mozambiqueño.']
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,['Soy mauritano.']
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,['Soy mauriciano.']
I am Malawian.,,,Soy malauí.,['Soy de Malawi.']
I am Malaysian.,Soy malasio.,Soy malasia.,,['Soy malasio.']
I am Namibian.,Soy namibio.,Soy namibia.,,['Soy namibio.']
I am Nigerien.,Soy nigerino.,Soy nigerina.,,['Soy nigerino.']
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,['Soy nigeriano.']
I am Nicaraguan.,,,Soy nicaragüense.,['Soy nicaragüense.']
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,['Soy holandés.']
I am Norwegian.,Soy noruego.,Soy noruega.,,['Soy noruego.']
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,['Soy nepalí.']
I am Nauruan.,Soy nauruano.,Soy nauruana.,,['Soy nauruano.']
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,['Soy de Nueva Zelanda.']
I am Omani.,,,Soy omaní.,['Soy omaní.']
I am Pakistani.,,,Soy pakistaní.,['Soy pakistaní.']
I am Panamanian.,Soy panameño.,Soy panameña.,,['Soy panameño.']
I am Peruvian.,Soy peruano.,Soy peruana.,,['Soy peruano.']
I am Filipino.,Soy filipino.,Soy filipina.,,['Soy filipino.']
I am Palauan.,Soy palauano.,Soy palauana.,,['Soy palauano.']
I am Papua New Guinean.,,,Soy papú.,['Soy de Papua Nueva Guinea.']
I am Polish.,Soy polaco.,Soy polaca.,,['Soy polaco.']
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,['Soy norcoreano.']
I am Portuguese.,Soy portugués.,Soy portuguésa.,,['Soy portugués.']
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,['Soy paraguayo.']
I am Qatari.,,,Soy qatarí.,['Soy qatarí.']
I am Romanian.,Soy rumano.,Soy rumana.,,['Soy rumano.']
I am Russian.,Soy ruso.,Soy rusa.,,['Soy ruso.']
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,['Soy ruandés.']
I am Saudi Arabian.,,,Soy saudí.,['Soy de Arabia Saudita.']
I am Sudanese.,,,Soy sudanés.,['Soy sudanés.']
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,['Soy senegalés.']
I am Singaporean.,,,Soy singapurense.,['Soy singapurense.']
I am Solomon Islander.,,,Soy salomonense.,['Soy de las Islas Salomón.']
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,['Soy de Sierra Leona.']
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,['Soy salvadoreño.']
I am Sammarinese.,,,Soy sanmarinense.,['Soy sammarinense.']
I am Somali.,,,Soy somalí.,['Soy somalí.']
I am Serbian.,Soy serbio.,Soy serbia.,,['Soy serbio.']
I am South Sudanese.,,,Soy sursudanés.,['Soy de Sudán del Sur.']
I am Sao Tomean.,,,Soy santotomense.,['Soy de Santo Tomé.']
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,['Soy surinamés.']
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,['Soy eslovaco.']
I am Slovene.,Soy esloveno.,Soy eslovena.,,['Soy esloveno.']
I am Swedish.,Soy sueco.,Soy sueca.,,['Soy sueco.']
I am Swazi.,,,Soy esuatiní.,['Soy suazi.']
I am Seychellois.,,,Soy seychellense.,['Soy seychellense.']
I am Syrian.,Soy sirio.,Soy siria.,,['Soy sirio.']
I am Chadian.,Soy chadiano.,Soy chadiana.,,['Soy chadiano.']
I am Togolese.,Soy togolés.,Soy togolésa.,,['Soy togolés.']
I am Thai.,Soy tailandés.,Soy tailandésa.,,['Soy tailandés.']
I am Tadzhik.,Soy tayiko.,Soy tayika.,,['Soy tayiko.']
I am Turkmen.,Soy turcomano.,Soy turcomana.,,['Soy turcomano.']
I am East Timorese.,,,Soy timorense.,['Soy de Timor Oriental.']
I am Tongan.,Soy tongano.,Soy tongana.,,['Soy tongano.']
I am Trinidadian.,,,Soy trinitense.,['Soy trinitense.']
I am Tunisian.,Soy tunecino.,Soy tunecina.,,['Soy tunecino.']
I am Turkish.,Soy turco.,Soy turca.,,['Soy turco.']
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,['Soy tuvaluano.']
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,['Soy tanzano.']
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,['Soy ugandés.']
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,['Soy ucraniano.']
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,['Soy uruguayo.']
I am American.,Soy americano,Soy americana.,Soy estadounidense.,['Soy americano.']
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,['Soy uzbeko.']
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,['Soy de San Vicente.']
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,['Soy venezolano.']
I am Vietnamese.,,,Soy vietnamita.,['Soy vietnamita.']
I am Ni-Vanuatu.,,,Soy vanuatuense.,['Soy Ni-Vanuatu.']
I am Samoan.,Soy samoano.,Soy samoana.,,['Soy samoano.']
I am Yemeni.,,,Soy yemení.,['Soy yemení.']
I am South African.,Soy sudafricano.,Soy sudafricana.,,['Soy sudafricano.']
I am Zambian.,Soy zambiano.,Soy zambiana.,,['Soy zambiano.']
I am Zimbabwean.,,,Soy zimbabuense.,['Soy de Zimbabwe.']
