eng,fra_m,fra_f,fra_n,extracted,is_m,is_f,is_n
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"['Je suis micronésien.', 'Je suis micronésienne.']",True,True,False
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"['Je suis Gabonais.', 'Je suis Gabonaise.']",True,True,False
I am British.,,,Je suis Britannique.,['Je suis britannique.'],False,False,True
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"['Je suis géorgien.', 'Je suis géorgienne.']",True,True,False
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"['Je suis ghanéen.', 'Je suis ghanéenne.']",True,True,False
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"['Je suis Guinéen.', 'Je suis Guinéenne.']",True,True,False
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"['Je suis Gambien.', 'Je suis Gambienne.']",True,True,False
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"['Je suis Bissau-Guinéen.', 'Je suis Bissau-Guinéenne.']",True,True,False
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"['Je suis équatoguinéen.', 'Je suis équatoguinéenne.']",False,False,False
I am Greek.,Je suis Grec.,Je suis Grecque.,,"['Je suis grec.', 'Je suis grecque.']",True,True,False
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"['Je suis Grenadien.', 'Je suis Grenadienne.']",True,True,False
I am Guatemalan.,,,Je suis Guatémaltèque.,['Je suis guatémaltèque.'],False,False,True
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"['Je suis Guyanais.', 'Je suis Guyanaise.']",False,False,False
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"['Je suis hondurien.', 'Je suis hondurienne.']",True,True,False
I am Croatian.,,,Je suis Croate.,['Je suis croate.'],False,False,True
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"['Je suis haïtien.', 'Je suis haïtienne.']",True,True,False
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"['Je suis hongrois.', 'Je suis hongroise.']",True,True,False
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"['Je suis indonésien.', 'Je suis indonésienne.']",True,True,False
I am Indian.,Je suis Indien.,Je suis Indienne.,,"['Je suis indien.', 'Je suis indienne.']",True,True,False
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"['Je suis irlandais.', 'Je suis irlandaise.']",True,True,False
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"['Je suis iranien.', 'Je suis iranienne.']",True,True,False
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"['Je suis irakien.', 'Je suis irakienne.']",True,True,False
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"['Je suis islandais.', 'Je suis islandaise.']",True,True,False
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"['Je suis israélien.', 'Je suis israélienne.']",True,True,False
I am Italian.,Je suis Italien.,Je suis Italienne.,,"['Je suis italien.', 'Je suis italienne.']",True,True,False
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"['Je suis jamaïcain.', 'Je suis jamaïcaine.']",True,True,False
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"['Je suis jordanien.', 'Je suis jordanienne.']",True,True,False
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"['Je suis japonais.', 'Je suis japonaise.']",True,True,False
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"['Je suis Kazakhstanais.', 'Je suis Kazakhstanaise.']",True,True,False
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"['Je suis Kényan.', 'Je suis Kényane.']",True,True,False
I am Kirghiz.,,,Je suis Kirghize.,['Je suis Kirghize.'],False,False,True
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"['Je suis cambodgien.', 'Je suis cambodgienne.']",True,True,False
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"['Je suis gilbertin.', 'Je suis gilbertine.']",False,False,False
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"['Je suis Kittitien ou Névisien.', 'Je suis Kittitienne ou Névisienne.']",False,False,False
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"['Je suis sud-coréen.', 'Je suis sud-coréenne.']",True,True,False
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"['Je suis koweïtien.', 'Je suis koweïtienne.']",True,True,False
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"['Je suis laotien.', 'Je suis laotienne.']",True,True,False
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"['Je suis libanais.', 'Je suis libanaise.']",True,True,False
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"['Je suis libérien.', 'Je suis libérienne.']",True,True,False
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"['Je suis libyen.', 'Je suis libyenne.']",True,True,False
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"['Je suis Saint-Lucien.', 'Je suis Saint-Lucienne.']",True,True,False
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,['Je suis Liechtensteinois.'],True,False,False
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"['Je suis sri-lankais.', 'Je suis sri-lankaise.']",True,True,False
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,['Je suis Mosotho.'],False,False,False
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"['Je suis lituanien.', 'Je suis lituanienne.']",True,True,False
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,['Je suis Luxembourgeois.'],True,False,False
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"['Je suis letton.', 'Je suis lettone.']",True,True,False
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"['Je suis marocain.', 'Je suis marocaine.']",True,True,False
I am Monegasque.,,,Je suis Monégasque.,['Je suis Monégasque.'],False,False,True
I am Moldovan.,,,Je suis Moldave.,['Je suis moldave.'],False,False,True
I am Malagasy.,,,Je suis Malgache.,['Je suis malgache.'],False,False,True
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"['Je suis maldivien.', 'Je suis maldivienne.']",True,True,False
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"['Je suis mexicain.', 'Je suis mexicaine.']",True,True,False
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"['Je suis marshallais.', 'Je suis marshallaise.']",True,True,False
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"['Je suis macédonien.', 'Je suis macédonienne.']",True,True,False
I am Malian.,Je suis Malien.,Je suis Malienne.,,"['Je suis Malien.', 'Je suis Malienne.']",True,True,False
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"['Je suis maltais.', 'Je suis maltaise.']",True,True,False
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"['Je suis birman.', 'Je suis birmane.']",True,True,False
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"['Je suis monténégrin.', 'Je suis monténégrine.']",True,True,False
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"['Je suis mongol.', 'Je suis mongole.']",True,True,False
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"['Je suis Mozambicain.', 'Je suis Mozambicaine.']",True,True,False
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"['Je suis mauritanien.', 'Je suis mauritanienne.']",True,True,False
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"['Je suis Mauricien.', 'Je suis Mauricienne.']",True,True,False
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"['Je suis Malawien.', 'Je suis Malawienne.']",True,True,False
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"['Je suis malaisien.', 'Je suis malaisienne.']",True,True,False
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"['Je suis namibien.', 'Je suis namibienne.']",True,True,False
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"['Je suis Nigérien.', 'Je suis Nigérienne.']",True,True,False
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"['Je suis nigérian.', 'Je suis nigériane.']",True,True,False
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"['Je suis nicaraguayen.', 'Je suis nicaraguayenne.']",True,True,False
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"['Je suis néerlandais.', 'Je suis néerlandaise.']",True,True,False
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"['Je suis norvégien.', 'Je suis norvégienne.']",True,True,False
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"['Je suis népalais.', 'Je suis népalaise.']",True,True,False
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"['Je suis Nauruan.', 'Je suis Nauruane.']",True,True,False
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"['Je suis néo-zélandais.', 'Je suis néo-zélandaise.']",False,False,False
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"['Je suis Omanais.', 'Je suis Omanaise.']",True,True,False
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"['Je suis pakistanais.', 'Je suis pakistanaise.']",True,True,False
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"['Je suis panaméen.', 'Je suis panaméenne.']",True,True,False
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"['Je suis péruvien.', 'Je suis péruvienne.']",True,True,False
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"['Je suis philippin.', 'Je suis philippine.']",True,True,False
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"['Je suis Palaosien.', 'Je suis Palaosienne.']",False,False,False
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"['Je suis Papouasien-Néo-Guinéen.', 'Je suis Papouasienne-Néo-Guinéenne.']",False,False,False
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"['Je suis polonais.', 'Je suis polonaise.']",True,True,False
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"['Je suis nord-coréen.', 'Je suis nord-coréenne.']",True,True,False
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"['Je suis portugais.', 'Je suis portugaise.']",True,True,False
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"['Je suis paraguayen.', 'Je suis paraguayenne.']",True,True,False
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"['Je suis Qatarien.', 'Je suis Qatarienne.']",True,True,False
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"['Je suis roumain.', 'Je suis roumaine.']",True,True,False
I am Russian.,,,Je suis Russe.,['Je suis russe.'],False,False,True
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"['Je suis rwandais.', 'Je suis rwandaise.']",True,True,False
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"['Je suis saoudien.', 'Je suis saoudienne.']",True,True,False
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"['Je suis Soudanais.', 'Je suis Soudanaise.']",True,True,False
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"['Je suis Sénégalais.', 'Je suis Sénégalaise.']",True,True,False
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"['Je suis Singapourien.', 'Je suis Singapourienne.']",True,True,False
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"['Je suis Salomonais.', 'Je suis Salomonaise.']",False,False,False
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"['Je suis Sierra-Léonais.', 'Je suis Sierra-Léonaise.']",False,False,False
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"['Je suis Salvadorien.', 'Je suis Salvadorienne.']",True,True,False
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"['Je suis Saint-Marinais.', 'Je suis Saint-Marinaise.']",True,True,False
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"['Je suis somalien.', 'Je suis somalienne.']",True,True,False
I am Serbian.,,,Je suis Serbe.,['Je suis serbe.'],False,False,True
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"['Je suis sud-soudanais.', 'Je suis sud-soudanaise.']",True,True,False
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"['Je suis Santoméen.', 'Je suis Santoméenne.']",True,True,False
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"['Je suis Surinamais.', 'Je suis Surinamaise.']",True,True,False
I am Slovak.,,,Je suis Slovaque.,['Je suis slovaque.'],False,False,True
I am Slovene.,,,Je suis Slovène.,['Je suis slovène.'],False,False,True
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"['Je suis suédois.', 'Je suis suédoise.']",True,True,False
I am Swazi.,,,Je suis Swazie.,"['Je suis Swazi.', 'Je suis Eswatinien.', 'Je suis Eswatinienne.']",False,False,False
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"['Je suis Seychellois.', 'Je suis Seychelloise.']",True,True,False
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"['Je suis syrien.', 'Je suis syrienne.']",True,True,False
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"['Je suis Tchadien.', 'Je suis Tchadienne.']",True,True,False
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"['Je suis togolais.', 'Je suis togolaise.']",True,True,False
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"['Je suis thaïlandais.', 'Je suis thaïlandaise.']",True,True,False
I am Tadzhik.,,,Je suis Tadjike.,['Je suis tadjik.'],False,False,False
I am Turkmen.,,,Je suis Turkmène.,['Je suis turkmène.'],False,False,True
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"['Je suis est-timorais.', 'Je suis est-timoraise.']",True,True,False
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"['Je suis tongien.', 'Je suis tongienne.']",False,False,False
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"['Je suis Trinidadien.', 'Je suis Trinidadienne.']",True,True,False
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"['Je suis tunisien.', 'Je suis tunisienne.']",True,True,False
I am Turkish.,Je suis Turc.,Je suis Turque.,,"['Je suis turc.', 'Je suis turque.']",True,True,False
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"['Je suis tuvaluan.', 'Je suis tuvaluane.']",True,True,False
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"['Je suis tanzanien.', 'Je suis tanzanienne.']",True,True,False
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"['Je suis ougandais.', 'Je suis ougandaise.']",True,True,False
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"['Je suis ukrainien.', 'Je suis ukrainienne.']",True,True,False
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"['Je suis uruguayen.', 'Je suis uruguayenne.']",True,True,False
I am American.,Je suis Américain.,Je suis Américaine.,,"['Je suis américain.', 'Je suis américaine.']",True,True,False
I am Uzbekistani.,,,Je suis Ouzbèke.,"['Je suis ouzbek.', 'Je suis ouzbèke.']",False,False,True
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"['Je suis Vincentais.', 'Je suis Vincentaise.']",True,True,False
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"['Je suis vénézuélien.', 'Je suis vénézuélienne.']",True,True,False
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"['Je suis vietnamien.', 'Je suis vietnamienne.']",True,True,False
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,['Je suis Ni-Vanuatu.'],False,False,False
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,['Je suis Samoan.'],True,False,False
I am Yemeni.,,,Je suis Yéménite.,['Je suis Yéménite.'],False,False,True
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"['Je suis sud-africain.', 'Je suis sud-africaine.']",True,True,False
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"['Je suis zambien.', 'Je suis zambienne.']",True,True,False
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"['Je suis zimbabwéen.', 'Je suis zimbabwéenne.']",True,True,False
