eng,it_m,it_f,it_n,output
I am Bahamian.,,,Sono bahamense.,"[TextBlock(text='In Italian, ""I am Bahamian"" is translated as:\n\nSono bahamiano. (masculine)\nSono bahamiana. (feminine)\n\nThe adjective ""bahamiano/bahamiana"" agrees in gender with the subject pronoun ""Io"" (I), which is implied in the Italian sentence.', type='text')]"
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"[TextBlock(text='In Italian, ""I am Bosnian"" is translated as:\n\nSono bosniaco. (masculine)\nor\nSono bosniaca. (feminine)\n\nThe adjective ""bosniaco/bosniaca"" changes depending on the gender of the speaker.', type='text')]"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"[TextBlock(text='In Italian, ""I am Belarusian"" is translated as:\n\nSono bielorusso. (masculine)\nSono bielorussa. (feminine)\n\nThe adjective ""bielorusso/a"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"[TextBlock(text='In Italian, ""I am Belizean"" is translated as:\n\nSono beliziano. (masculine)\nor\nSono beliziana. (feminine)\n\nThe adjective ""beliziano/beliziana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"[TextBlock(text='In Italian, ""I am Bolivian"" is translated as:\n\nSono boliviano. (masculine)\nor\nSono boliviana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""boliviano,"" and if you are a woman, you would say ""boliviana.""', type='text')]"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"[TextBlock(text='In Italian, ""I am Brazilian"" is translated as:\n\nSono brasiliano. (masculine)\nor\nSono brasiliana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""brasiliano,"" and if you are a woman, you would say ""brasiliana.""', type='text')]"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"[TextBlock(text='In Italian, ""I am Barbadian"" can be translated as:\n\nSono barbadiano. (masculine)\nSono barbadiana. (feminine)\n\nThe adjective ""barbadiano/barbadiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Bruneian.,,,,"[TextBlock(text='In Italian, ""I am Bruneian"" is translated as:\n\nSono bruneiano. (masculine)\nor\nSono bruneiana. (feminine)\n\nThe adjective ""bruneiano/bruneiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Bhutanese.,,,Sono bhutanese.,"[TextBlock(text='In Italian, ""I am Bhutanese"" is translated as:\n\nSono butanese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""butanese"" means ""Bhutanese""\n\nNote that in Italian, the adjective ""butanese"" is written in lowercase and agrees in gender and number with the subject. Since the subject is a singular person (I), the singular masculine form ""butanese"" is used.', type='text')]"
I am Motswana.,Sono botswano.,Sono botswana.,,"[TextBlock(text='The Italian translation of ""I am Motswana"" is:\n\nSono motswano.\n\nNote that ""Motswana"" is the singular form for a person from Botswana, and it remains the same in Italian as it is already in the native language. The plural form would be ""Batswana.""', type='text')]"
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Central African"" is:\n\nSono centrafricano. (masculine)\nSono centrafricana. (feminine)\n\nIn Italian, adjectives and nouns change their endings to match the gender of the person they refer to. So, if you are a man, you would say ""centrafricano,"" and if you are a woman, you would say ""centrafricana.""', type='text')]"
I am Canadian.,,,Sono canadese.,"[TextBlock(text='Sure! The Italian translation of ""I am Canadian"" is:\n\nSono canadese.', type='text')]"
I am Swiss.,Sono svizzero.,Sono svizzera.,,"[TextBlock(text='Sure! The Italian translation of ""I am Swiss"" is:\n\nSono svizzero. (masculine)\nSono svizzera. (feminine)\n\nIn Italian, the adjective ""svizzero"" (Swiss) agrees in gender with the subject pronoun. If the speaker is male, you use ""svizzero,"" and if the speaker is female, you use ""svizzera.""', type='text')]"
I am Chilean.,Sono cileno.,Sono cilena.,,"[TextBlock(text='Sure! The Italian translation of ""I am Chilean"" is:\n\nSono cileno. (masculine)\nSono cilena. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they are referring to. If you are a man, you would say ""Sono cileno,"" and if you are a woman, you would say ""Sono cilena.""', type='text')]"
I am Chinese.,,,Sono cinese.,"[TextBlock(text='Sure! The Italian translation of ""I am Chinese"" is:\n\nSono cinese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""cinese"" means ""Chinese""', type='text')]"
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"[TextBlock(text='In Italian, ""I am Ivorian"" is translated as:\n\nSono ivoriano. (masculine)\nSono ivoriana. (feminine)\n\nThe adjective ""ivoriano/ivoriana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in the Italian sentence.', type='text')]"
I am Cameroonian.,,,Sono camerunese.,"[TextBlock(text='In Italian, ""I am Cameroonian"" is translated as:\n\nSono camerunese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""camerunese"" is the Italian adjective for ""Cameroonian""', type='text')]"
I am Congolese.,,,Sono congolese.,"[TextBlock(text='In Italian, ""I am Congolese"" is translated as:\n\nSono congolese.', type='text')]"
I am Congolese.,,,Sono congolese.,"[TextBlock(text='In Italian, ""I am Congolese"" is translated as:\n\nSono congolese.', type='text')]"
I am Colombian.,Sono colombiano.,Sono colombiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Colombian"" is:\n\nSono colombiano. (masculine)\nSono colombiana. (feminine)\n\nIn Italian, adjectives of nationality agree with the gender of the person they refer to. So, if you are a man, you would say ""Sono colombiano,"" and if you are a woman, you would say ""Sono colombiana.""', type='text')]"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"[TextBlock(text='The Italian translation of ""I am Comoran"" is:\n\nSono comoriano. (masculine)\nSono comoriana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Sono comoriano,"" and if you are a woman, you would say ""Sono comoriana.""', type='text')]"
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"[TextBlock(text='In Italian, ""I am Cape Verdian"" can be translated as:\n\nSono capoverdiano. (masculine)\nSono capoverdiana. (feminine)\n\nThe adjective ""capoverdiano/a"" agrees with the gender of the speaker.', type='text')]"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"[TextBlock(text='In Italian, ""I am Costa Rican"" is translated as:\n\nSono costaricano. (masculine)\nSono costaricana. (feminine)\n\nThe adjective ""costaricano/a"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in the Italian sentence. If you are a man, you would say ""Sono costaricano,"" and if you are a woman, you would say', type='text')]"
I am Cuban.,Sono cubano.,Sono cubana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Cuban"" is:\n\nSono cubano. (masculine)\nSono cubana. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they refer to. So, if you are a man, you would say ""Sono cubano,"" and if you are a woman, you would say ""Sono cubana.""', type='text')]"
I am Cypriot.,,,Sono cipriota.,"[TextBlock(text='In Italian, ""I am Cypriot"" is translated as:\n\nSono cipriota.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""cipriota"" means ""Cypriot"" (singular, masculine or feminine)', type='text')]"
I am Czech.,Sono ceco.,Sono ceca.,,"[TextBlock(text='In Italian, ""I am Czech"" is translated as:\n\nSono ceco. (masculine)\nSono ceca. (feminine)\n\nThe adjective ""ceco"" (masculine) or ""ceca"" (feminine) agrees with the gender of the speaker.', type='text')]"
I am German.,Sono tedesco.,Sono tedesca.,,"[TextBlock(text='Sure! The Italian translation of ""I am German"" is:\n\nSono tedesco. (masculine)\nor\nSono tedesca. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they refer to. If you are a man, you would say ""Sono tedesco,"" and if you are a woman, you would say ""Sono tedesca.""', type='text')]"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"[TextBlock(text='The Italian translation of ""I am Djibouti"" is:\n\nIo sono Gibuti.\n\nNote: In Italian, the name of the country Djibouti is spelled ""Gibuti.""', type='text')]"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Dominican"" is:\n\nSono dominicano. (masculine)\nSono dominicana. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they are referring to. If you are a man, you would say ""dominicano,"" and if you are a woman, you would say ""dominicana.""', type='text')]"
I am Danish.,,,Sono danese.,"[TextBlock(text='Sure! The Italian translation of ""I am Danish"" is:\n\nSono danese.', type='text')]"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Dominican"" is:\n\nSono dominicano. (masculine)\nSono dominicana. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they are referring to. If you are a man, you would say ""dominicano,"" and if you are a woman, you would say ""dominicana.""', type='text')]"
I am Algerian.,Sono algerino.,Sono algerina.,,"[TextBlock(text='In Italian, ""I am Algerian"" is translated as:\n\nSono algerino. (masculine)\nSono algerina. (feminine)\n\nThe adjective ""algerino/algerina"" (Algerian) agrees in gender with the subject pronoun ""Io"" (I), which is implied in the Italian sentence.', type='text')]"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"[TextBlock(text='In Italian, ""I am Ecuadorean"" is translated as:\n\nSono ecuadoriano. (masculine)\nSono ecuadoriana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""ecuadoriano,"" and if you are a woman, you would say ""ecuadoriana.""', type='text')]"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Egyptian"" is:\n\nSono egiziano. (masculine)\nSono egiziana. (feminine)\n\nIn Italian, adjectives agree with the gender of the person they are referring to. So, if you are a man, you would say ""egiziano,"" and if you are a woman, you would say ""egiziana.""', type='text')]"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"[TextBlock(text='In Italian, ""I am Eritrean"" is translated as:\n\nSono eritreo. (masculine)\nSono eritrea. (feminine)\n\nThe adjective ""eritreo"" (Eritrean) changes its ending depending on the gender of the speaker. If the speaker is male, it ends in ""-o"" (eritreo), and if the speaker is female, it ends in ""-a"" (eritrea).', type='text')]"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"[TextBlock(text='Sure! The Italian translation of ""I am Spanish"" is:\n\nSono spagnolo. (masculine)\nSono spagnola. (feminine)\n\nIn Italian, adjectives agree with the gender of the subject. If you are a man, you would say ""spagnolo,"" and if you are a woman, you would say ""spagnola.""', type='text')]"
I am Estonian.,,,Sono estone.,"[TextBlock(text='In Italian, ""I am Estonian"" is translated as:\n\nSono estone.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""estone"" means ""Estonian""\n\nNote that in Italian, the adjective ""estone"" is used for both masculine and feminine forms, so the translation remains the same regardless of the speaker\'s gender.', type='text')]"
I am Ethiopian.,,,Sono etiope.,"[TextBlock(text='In Italian, ""I am Ethiopian"" is translated as:\n\nSono etiope.', type='text')]"
I am Finnish.,,,Sono finlandese.,"[TextBlock(text='Sure! The Italian translation of ""I am Finnish"" is:\n\nSono finlandese.', type='text')]"
I am Fijian.,Sono figiano.,Sono figiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Fijian"" is:\n\nSono delle Figi.\n\nor\n\nSono figiano. (masculine)\nSono figiana. (feminine)', type='text')]"
I am French.,,,Sono francese.,"[TextBlock(text='Sure! The Italian translation of ""I am French"" is:\n\nSono francese.', type='text')]"
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Micronesian"" is:\n\nSono micronesiano. (masculine)\nSono micronesiana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the subject. So, if you are a man, you would say ""Sono micronesiano,"" and if you are a woman, you would say ""Sono micronesiana.""', type='text')]"
I am Gabonese.,,,Sono gabonese.,"[TextBlock(text='In Italian, ""I am Gabonese"" is translated as:\n\nSono gabonese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""gabonese"" is the Italian adjective for ""Gabonese""\n\nNote that in Italian, the adjective of nationality (gabonese) is not capitalized, unlike in English.', type='text')]"
I am British.,Sono britannico.,Sono britannica.,,"[TextBlock(text='Sure! The Italian translation of ""I am British"" is:\n\nSono britannico. (masculine)\nSono britannica. (feminine)\n\nIn Italian, adjectives change depending on the gender of the person they are referring to. If you are a man, you would say ""Sono britannico,"" and if you are a woman, you would say ""Sono britannica.""', type='text')]"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Georgian"" is:\n\nSono georgiano. (masculine)\nSono georgiana. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they refer to. So, if you are a man, you would say ""Sono georgiano,"" and if you are a woman, you would say ""Sono georgiana.""', type='text')]"
I am Ghanaian.,,,Sono ghanese.,"[TextBlock(text='In Italian, ""I am Ghanaian"" is translated as:\n\nSono ghanese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""ghanese"" means ""Ghanaian"" (masculine or feminine singular form)', type='text')]"
I am Guinean.,Sono guineano.,Sono guineana.,,"[TextBlock(text='In Italian, ""I am Guinean"" is translated as:\n\nSono guineano. (masculine)\nSono guineana. (feminine)\n\nThe adjective ""guineano/guineana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Gambian.,Sono gambiano.,Sono gambiana.,,"[TextBlock(text='In Italian, ""I am Gambian"" is translated as:\n\nSono gambiano. (masculine)\nor\nSono gambiana. (feminine)\n\nThe adjective ""gambiano/gambiana"" agrees in gender with the subject pronoun ""io"" (I), which is not explicitly stated in the Italian sentence.', type='text')]"
I am Guinea-Bissauan.,,,Sono guineense.,"[TextBlock(text='The Italian translation of ""I am Guinea-Bissauan"" is:\n\nSono della Guinea-Bissau.\n\nor\n\nSono guineense.\n\nNote: ""Guineense"" is the Italian adjective used to describe someone or something from Guinea-Bissau.', type='text')]"
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"[TextBlock(text='In Italian, the sentence ""I am Equatorial Guinean"" can be translated as:\n\nSono della Guinea Equatoriale.\n\nor\n\nSono equatoguineano. (masculine)\nSono equatoguineana. (feminine)', type='text')]"
I am Greek.,Sono greco.,Sono greca.,,"[TextBlock(text='In Italian, ""I am Greek"" is translated as:\n\nSono greco. (masculine)\nSono greca. (feminine)\n\nThe adjective ""greco"" (Greek) agrees in gender with the subject pronoun ""I"" (io), which is implied in the Italian sentence. If the speaker is male, you use ""greco,"" and if the speaker is female, you use ""greca.""', type='text')]"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"[TextBlock(text='In Italian, ""I am Grenadian"" can be translated as:\n\nSono granadino. (masculine)\nSono granadina. (feminine)\n\nThe adjective ""granadino/granadina"" is derived from the Italian name for Grenada, which is ""Grenada"" or ""Granada"".', type='text')]"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"[TextBlock(text='In Italian, ""I am Guatemalan"" is translated as:\n\nSono guatemalteco. (masculine)\nSono guatemalteca. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""guatemalteco,"" and if you are a woman, you would say ""guatemalteca.""', type='text')]"
I am Guyanese.,,,Sono guyanese.,"[TextBlock(text='In Italian, ""I am Guyanese"" can be translated as:\n\nSono della Guyana.\n\nor\n\nSono guianese.', type='text')]"
I am Honduran.,Sono honduregno.,Sono honduregna.,,"[TextBlock(text='In Italian, ""I am Honduran"" is translated as:\n\nSono honduregno. (masculine)\nSono honduregna. (feminine)\n\nThe adjective ""honduregno/honduregna"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Croatian.,Sono croato.,Sono croata.,,"[TextBlock(text='Sure! The Italian translation of ""I am Croatian"" is:\n\nSono croato. (masculine)\nSono croata. (feminine)\n\nIn Italian, the adjective ""croato"" (Croatian) changes its ending depending on the gender of the speaker. If the speaker is male, you use ""croato,"" and if the speaker is female, you use ""croata.""', type='text')]"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"[TextBlock(text='In Italian, ""I am Haitian"" is translated as:\n\nSono haitiano. (masculine)\nSono haitiana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker.', type='text')]"
I am Hungarian.,,,Sono ungherese.,"[TextBlock(text='In Italian, ""I am Hungarian"" is translated as:\n\nSono ungherese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""ungherese"" means ""Hungarian""', type='text')]"
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Indonesian"" is:\n\nSono indonesiano. (masculine)\nSono indonesiana. (feminine)\n\nIn Italian, adjectives of nationality agree with the gender of the person they refer to. So, if you are a man, you would say ""Sono indonesiano,"" and if you are a woman, you would say ""Sono indonesiana.""', type='text')]"
I am Indian.,Sono indiano.,Sono indiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Indian"" is:\n\nSono indiano. (if you are a male)\nor\nSono indiana. (if you are a female)\n\nIn Italian, adjectives typically agree with the gender of the person or noun they are describing.', type='text')]"
I am Irish.,,,Sono irlandese.,"[TextBlock(text='Sure! The Italian translation of ""I am Irish"" is:\n\nSono irlandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""irlandese"" means ""Irish""\n\nIn Italian, the adjective ""irlandese"" is used to describe both masculine and feminine subjects, so the translation remains the same regardless of the speaker\'s gender.', type='text')]"
I am Iranian.,Sono iraniano.,Sono iraniana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Iranian"" is:\n\nSono iraniano. (masculine)\nSono iraniana. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they are referring to. If you are a man, you would say ""Sono iraniano,"" and if you are a woman, you would say ""Sono iraniana.""', type='text')]"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"[TextBlock(text='In Italian, ""I am Iraqi"" is translated as:\n\nSono iracheno. (masculine)\nSono irachena. (feminine)\n\nThe adjective ""iracheno/irachena"" agrees in gender with the subject pronoun ""io"" (I), which is not explicitly stated in the Italian sentence but is implied.', type='text')]"
I am Icelander.,,,Sono islandese.,"[TextBlock(text='Sure! The Italian translation of ""I am Icelander"" is:\n\nSono islandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""islandese"" means ""Icelander"" or ""Icelandic""\n\nNote that in Italian, the word ""islandese"" can be used as both a noun and an adjective, referring to either a person from Iceland or the Icelandic language', type='text')]"
I am Israeli.,Sono israeliano.,Sono israeliana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Israeli"" is:\n\nSono israeliano. (masculine)\nSono israeliana. (feminine)\n\nIn Italian, adjectives change their endings to match the gender of the person they are referring to. So, if you are a man, you would say ""Sono israeliano,"" and if you are a woman, you would say ""Sono israeliana.""', type='text')]"
I am Italian.,Sono italiano.,Sono italiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Italian"" is:\n\nSono italiano. (masculine)\nSono italiana. (feminine)\n\nIn Italian, adjectives agree with the gender of the noun they modify. In this case, the adjective ""italiano"" (Italian) changes its ending depending on whether the speaker is male (italiano) or female (italiana).', type='text')]"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Jamaican"" is:\n\nSono giamaicano. (masculine)\nSono giamaicana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Sono giamaicano,"" and if you are a woman, you would say ""Sono giamaicana.""', type='text')]"
I am Jordanian.,Sono giordano.,Sono giordana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Jordanian"" is:\n\nSono giordano. (masculine)\nSono giordana. (feminine)\n\nIn Italian, adjectives of nationality usually agree with the gender of the person they refer to. Therefore, if you are a man, you would say ""Sono giordano,"" and if you are a woman, you would say ""Sono giordana.""', type='text')]"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"[TextBlock(text='Sure! The Italian translation of ""I am Japanese"" is:\n\nSono giapponese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""giapponese"" means ""Japanese""\n\nIn Italian, the adjective ""giapponese"" is used to describe both the nationality and the language.', type='text')]"
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"[TextBlock(text='Sure! The Italian translation of ""I am Kazakhstani"" is:\n\nSono kazako. (masculine)\nSono kazaka. (feminine)\n\nIn Italian, the adjective of nationality changes depending on the gender of the person it refers to. ""Kazako"" is the masculine form, while ""kazaka"" is the feminine form.', type='text')]"
I am Kenyan.,,,Sono keniota.,"[TextBlock(text='In Italian, ""I am Kenyan"" is translated as:\n\nSono keniota.\n\nNote that in Italian, the adjective ""keniota"" (Kenyan) is spelled the same for both masculine and feminine subjects.', type='text')]"
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"[TextBlock(text='In Italian, ""I am Kirghiz"" can be translated as:\n\nSono kirghiso. (masculine)\nSono kirghisa. (feminine)\n\nThe adjective ""kirghiso"" (Kirghiz) agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian. If the speaker is male, you would use ""kirghiso,"" and if the speaker is female, you would use ""kirgh', type='text')]"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"[TextBlock(text='In Italian, ""I am Cambodian"" is translated as:\n\nSono cambogiano. (masculine)\nSono cambogiana. (feminine)\n\nThe adjective ""cambogiano/a"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"[TextBlock(text='In Italian, ""I am I-Kiribati"" can be translated as:\n\nSono gilbertese.\n\nSome notes:\n\n1. ""I-Kiribati"" refers to the people of Kiribati, a sovereign state in Micronesia, in the central Pacific Ocean. In Italian, the demonym for people from Kiribati is ""gilbertese.""\n\n2. The word ""gilbertese"" is not capit', type='text')]"
