eng,deu_m,deu_f,deu_n,output
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"[TextBlock(text='In German, ""I am Bahamian"" can be translated as:\n\nIch bin Bahamaer. (male)\nIch bin Bahamaerin. (female)\n\nNote that the German language has grammatical gender, so the ending of the noun changes depending on whether the speaker is male (-er) or female (-in).', type='text')]"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"[TextBlock(text='Sure! The German translation of ""I am Bosnian"" is:\n\nIch bin Bosnier. (masculine)\nIch bin Bosnierin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Bosnier"" is used for a male Bosnian, while ""Bosnierin"" is used for a female Bosnian.', type='text')]"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"[TextBlock(text='In German, ""I am Belarusian"" can be translated as:\n\nIch bin Belarusse. (masculine)\nIch bin Belarussin. (feminine)\n\nThe word ""Belarusse"" is used for a male Belarusian, while ""Belarussin"" is used for a female Belarusian.', type='text')]"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"[TextBlock(text='The German translation of ""I am Belizean"" is:\n\nIch bin Belizer. (male)\nIch bin Belizerin. (female)\n\nIn German, nationalities and professions often have different forms depending on the gender of the person being referred to. In this case, ""Belizer"" is used for a male Belizean, while ""Belizerin"" is used for a female Belizean.', type='text')]"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"[TextBlock(text='Sure! The German translation of ""I am Bolivian"" is:\n\nIch bin Bolivianer. (masculine)\nIch bin Bolivianerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a man, you would say ""Ich bin Bolivianer,"" and if you are a woman, you would say ""Ich bin Bolivianerin.""', type='text')]"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"[TextBlock(text='Sure! The German translation of ""I am Brazilian"" is:\n\nIch bin Brasilianer. (masculine)\nIch bin Brasilianerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a man, you would say ""Ich bin Brasilianer,"" and if you are a woman, you would say ""Ich bin Brasilianerin.""', type='text')]"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"[TextBlock(text='Sure! The German translation of ""I am Barbadian"" is:\n\nIch bin Barbadier. (male)\nIch bin Barbadierin. (female)\n\nIn German, nationalities and professions often have different forms depending on the gender of the person being referred to. In this case, ""Barbadier"" is used for a male Barbadian, while ""Barbadierin"" is used for a female Barbadian.', type='text')]"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"[TextBlock(text='The German translation of ""I am Bruneian"" is:\n\nIch bin Bruneier. (male)\nIch bin Bruneierin. (female)\n\nIn German, nationalities and professions often have different forms depending on the gender of the person being referred to. In this case, ""Bruneier"" is used for a male Bruneian, while ""Bruneierin"" is used for a female Bruneian.', type='text')]"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Bhutanese"" is:\n\nIch bin Bhutaner. (male)\nIch bin Bhutanerin. (female)\n\nIn German, the noun referring to a person\'s nationality or country of origin changes based on the gender of the person. ""-er"" is added for a male, and ""-in"" is added for a female.', type='text')]"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"[TextBlock(text='The German translation of ""I am Motswana"" is:\n\nIch bin Motswaner. (masculine)\nIch bin Motswanerin. (feminine)\n\nIn German, the nationality is adjusted based on the gender of the person. ""Motswaner"" is used for a male, while ""Motswanerin"" is used for a female.', type='text')]"
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"[TextBlock(text='The German translation of ""I am Central African"" is:\n\nIch bin Zentralafrikaner.\n\nIf you are female, you would say:\n\nIch bin Zentralafrikanerin.', type='text')]"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"[TextBlock(text='Sure! The German translation of ""I am Canadian"" is:\n\nIch bin Kanadier. (male)\nIch bin Kanadierin. (female)\n\nIn German, the word for ""Canadian"" changes depending on the gender of the person. ""Kanadier"" is used for a male Canadian, while ""Kanadierin"" is used for a female Canadian.', type='text')]"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"[TextBlock(text='In German, ""I am Swiss"" is translated as:\n\nIch bin Schweizer.\n\nHere\'s the breakdown:\n- ""Ich"" means ""I""\n- ""bin"" is the conjugated form of the verb ""sein"" (to be) for the first person singular (I)\n- ""Schweizer"" means ""Swiss"" (masculine singular form)\n\nNote that in German, nationalities are not capitalized unless they appear at the beginning of a', type='text')]"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"[TextBlock(text='Sure! The German translation of ""I am Chilean"" is:\n\nIch bin Chilene. (masculine)\nIch bin Chilenin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Chilene"" is used for a male Chilean, while ""Chilenin"" is used for a female Chilean.', type='text')]"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"[TextBlock(text='Sure! The German translation of ""I am Chinese"" is:\n\nIch bin Chinesisch.\n\nNote that in German, nationalities are typically written with a capital letter.', type='text')]"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"[TextBlock(text='The German translation of ""I am Ivorian"" is:\n\nIch bin Ivorer. (male)\nIch bin Ivorerin. (female)\n\nIn German, the nationality adjective changes depending on the gender of the person. ""Ivorer"" is used for a male, while ""Ivorerin"" is used for a female.', type='text')]"
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"[TextBlock(text='Sure! The German translation of ""I am Cameroonian"" is:\n\nIch bin Kameruner. (masculine)\nIch bin Kamerunerin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Kameruner"" is used for a male Cameroonian, while ""Kamerunerin"" is used for a female Cameroonian.', type='text')]"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"[TextBlock(text='In German, ""I am Congolese"" can be translated as:\n\nIch bin Kongolese. (masculine)\nIch bin Kongolesin. (feminine)\n\nThe German language has grammatical genders, so the translation depends on whether the speaker is male or female. ""Kongolese"" is used for a male speaker, while ""Kongolesin"" is used for a female speaker.', type='text')]"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"[TextBlock(text='The German translation of ""I am Congolese"" is:\n\nIch bin Kongolese. (masculine)\nIch bin Kongolesin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Kongolese"" is used for a male, while ""Kongolesin"" is used for a female.', type='text')]"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"[TextBlock(text='Sure! The German translation of ""I am Colombian"" is:\n\nIch bin Kolumbianer. (masculine)\nIch bin Kolumbianerin. (feminine)\n\nIn German, the ending of the noun changes depending on the gender of the person. ""-er"" is used for a masculine subject, while ""-in"" is added to the masculine form to create the feminine equivalent.', type='text')]"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"[TextBlock(text='The German translation of ""I am Comoran"" is:\n\nIch bin Komorer. (male)\nIch bin Komorerin. (female)\n\nNote that the translation differs based on the gender of the speaker. ""Komorer"" is used for a male Comoran, while ""Komorerin"" is used for a female Comoran.', type='text')]"
I am Cape Verdian.,,,,"[TextBlock(text='In German, ""I am Cape Verdian"" can be translated as:\n\nIch bin Kapverdier. (male)\nIch bin Kapverdierin. (female)\n\nNote that the German translation changes slightly depending on the gender of the speaker. ""Kapverdier"" is used for a male Cape Verdian, while ""Kapverdierin"" is used for a female Cape Verdian.', type='text')]"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Costa Rican"" is:\n\nIch bin Costa-Ricaner. (masculine)\nIch bin Costa-Ricanerin. (feminine)\n\nIn German, the nationality is typically written with a capital letter and can change depending on the gender of the person. ""-er"" is added for a masculine person, and ""-in"" is added for a feminine person.', type='text')]"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"[TextBlock(text='The German translation of ""I am Cuban"" is:\n\nIch bin Kubaner. (masculine)\nIch bin Kubanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Kubaner"" is used for a male Cuban, while ""Kubanerin"" is used for a female Cuban.', type='text')]"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"[TextBlock(text='Sure! The German translation of ""I am Cypriot"" is:\n\nIch bin Zypriot. (male)\nIch bin Zypriotin. (female)\n\nIn German, the word for ""Cypriot"" changes depending on the gender of the person. ""Zypriot"" is used for a male Cypriot, while ""Zypriotin"" is used for a female Cypriot', type='text')]"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"[TextBlock(text='Sure! The German translation of ""I am Czech"" is:\n\nIch bin Tscheche. (masculine)\nIch bin Tschechin. (feminine)\n\nIn German, the word for ""Czech"" changes depending on the gender of the person. ""Tscheche"" is used for a male, while ""Tschechin"" is used for a female.', type='text')]"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"[TextBlock(text='Sure! The German translation of ""I am German"" is:\n\nIch bin Deutsch.\n\nHere\'s the breakdown:\n- ""Ich"" means ""I""\n- ""bin"" is the conjugated form of the verb ""sein"" (to be) for the first person singular (I)\n- ""Deutsch"" means ""German"" (referring to the language or nationality)', type='text')]"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"[TextBlock(text='Sure! The German translation of ""I am Djibouti"" is:\n\nIch bin Dschibuti.\n\nNote that ""Djibouti"" is spelled ""Dschibuti"" in German, following the German pronunciation rules.', type='text')]"
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Dominican"" is:\n\nIch bin Dominikaner. (masculine)\nIch bin Dominikanerin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Dominikaner"" is used for a male, while ""Dominikanerin"" is used for a female.', type='text')]"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"[TextBlock(text='Sure! The German translation of ""I am Danish"" is:\n\nIch bin Dänisch.\n\nor\n\nIch bin Däne. (masculine)\nIch bin Dänin. (feminine)', type='text')]"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Dominican"" is:\n\nIch bin Dominikaner. (masculine)\nIch bin Dominikanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Dominikaner"" is used for a male, while ""Dominikanerin"" is used for a female.', type='text')]"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"[TextBlock(text='Sure! The German translation of ""I am Algerian"" is:\n\nIch bin Algerier. (masculine)\nIch bin Algerierin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Algerier"" is used for a male Algerian, while ""Algerierin"" is used for a female Algerian.', type='text')]"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"[TextBlock(text='Sure! The German translation of ""I am Ecuadorean"" is:\n\nIch bin Ecuadorianer. (masculine)\nIch bin Ecuadorianerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. If you are a man, you would say ""Ich bin Ecuadorianer,"" and if you are a woman, you would say ""Ich bin Ecuador', type='text')]"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"[TextBlock(text='Sure! The German translation of ""I am Egyptian"" is:\n\nIch bin Ägypter. (masculine)\nIch bin Ägypterin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Ägypter"" is used for a male Egyptian, while ""Ägypterin"" is used for a female Egyptian.', type='text')]"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"[TextBlock(text='In German, ""I am Eritrean"" can be translated as:\n\nIch bin Eritreer. (masculine)\nIch bin Eritreerin. (feminine)\n\nThe ending of the noun changes based on the gender of the person. ""-er"" is used for a masculine subject, while ""-in"" is added to the masculine form to create the feminine noun.', type='text')]"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"[TextBlock(text='Sure! The German translation of ""I am Spanish"" is:\n\nIch bin Spanier. (masculine)\nIch bin Spanierin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Spanier"" is used for a male Spanish person, while ""Spanierin"" is used for a female Spanish person.', type='text')]"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"[TextBlock(text='Sure! The German translation of ""I am Estonian"" is:\n\nIch bin Estnisch.\n\nor\n\nIch bin Este. (masculine)\nIch bin Estin. (feminine)', type='text')]"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"[TextBlock(text='Sure! The German translation of ""I am Ethiopian"" is:\n\nIch bin Äthiopier. (male)\nIch bin Äthiopierin. (female)\n\nIn German, nouns and adjectives often change depending on the gender of the person or object they refer to. In this case, ""Äthiopier"" is used for a male Ethiopian, while ""Äthiopierin"" is used for a female Ethiopian.', type='text')]"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"[TextBlock(text='The German translation of ""I am Finnish"" is:\n\nIch bin Finne. (male)\nIch bin Finnin. (female)\n\nIn German, the word for a person from Finland changes based on the gender. ""Finne"" is used for a male, and ""Finnin"" is used for a female.', type='text')]"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"[TextBlock(text='The German translation of ""I am Fijian"" is:\n\nIch bin Fidschianer. (masculine)\nIch bin Fidschianerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Fidschianer"" is used for a male Fijian, while ""Fidschianerin"" is used for a female Fijian.', type='text')]"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"[TextBlock(text='Sure! The German translation of ""I am French"" is:\n\nIch bin Französisch.\n\nHere\'s a breakdown:\n- ""Ich"" means ""I""\n- ""bin"" is the conjugated form of the verb ""sein"" (to be) for the first person singular (I)\n- ""Französisch"" means ""French"" (referring to the nationality or language)', type='text')]"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"[TextBlock(text='The German translation of ""I am Micronesian"" is:\n\nIch bin Mikronesier. (masculine)\nIch bin Mikroneserin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Mikronesier"" is used for a male Micronesian, while ""Mikroneserin"" is used for a female Micronesian.', type='text')]"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"[TextBlock(text='Sure! The German translation of ""I am Gabonese"" is:\n\nIch bin Gabunisch.\n\nNote that ""Gabunisch"" is the German adjective form of ""Gabon,"" referring to someone or something from Gabon.', type='text')]"
I am British.,Ich bin Brite.,Ich bin  Britin.,,"[TextBlock(text='Sure! The German translation of ""I am British"" is:\n\nIch bin Brite. (male)\nIch bin Britin. (female)\n\nIn German, the word for ""British"" changes depending on the gender of the person. ""Brite"" is used for a male, and ""Britin"" is used for a female.', type='text')]"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"[TextBlock(text='Sure! The German translation of ""I am Georgian"" is:\n\nIch bin Georgier. (male)\nIch bin Georgierin. (female)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Georgier"" is used for a male Georgian, while ""Georgierin"" is used for a female Georgian.', type='text')]"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"[TextBlock(text='Sure! The German translation of ""I am Ghanaian"" is:\n\nIch bin Ghanaer. (masculine)\nIch bin Ghanaerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Ghanaer"" is used for a male Ghanaian, while ""Ghanaerin"" is used for a female Ghanaian.', type='text')]"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"[TextBlock(text='Sure! The German translation of ""I am Guinean"" is:\n\nIch bin Guineer. (masculine)\nIch bin Guineerin. (feminine)\n\nIn German, the nationality adjective changes depending on the gender of the person. ""Guineer"" is used for a male, while ""Guineerin"" is used for a female.', type='text')]"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"[TextBlock(text='In German, ""I am Gambian"" translates to:\n\nIch bin Gambier. (male)\nIch bin Gambierin. (female)\n\nNote that the German translation changes slightly depending on the gender of the speaker. ""Gambier"" is used for a male speaker, while ""Gambierin"" is used for a female speaker.', type='text')]"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"[TextBlock(text='The German translation of ""I am Guinea-Bissauan"" is:\n\nIch bin Guinea-Bissauer. (masculine)\nIch bin Guinea-Bissauerin. (feminine)\n\nIn German, the nationality is typically adapted to the gender of the person. ""-er"" is added for a masculine subject, while ""-erin"" is added for a feminine subject.', type='text')]"
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"[TextBlock(text='The German translation of ""I am Equatorial Guinean"" is:\n\nIch bin Äquatorialguineer. (male)\nIch bin Äquatorialguineerin. (female)\n\nIn German, the nationality is typically adjusted based on the gender of the person. The ending ""-er"" is used for males, while ""-in"" is added for females.', type='text')]"
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"[TextBlock(text='Sure! The German translation of ""I am Greek"" is:\n\nIch bin Grieche. (masculine)\nIch bin Griechin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Grieche"" is used for a male Greek person, while ""Griechin"" is used for a female Greek person.', type='text')]"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"[TextBlock(text='The German translation of ""I am Grenadian"" is:\n\nIch bin Grenader.\n\nNote: ""Grenader"" is the German demonym for a person from Grenada.', type='text')]"
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"[TextBlock(text='Sure! The German translation of ""I am Guatemalan"" is:\n\nIch bin Guatemalteke. (masculine)\nIch bin Guatemaltekin. (feminine)\n\nIn German, the word for a person from Guatemala changes based on the gender of the person. ""Guatemalteke"" is used for a male, while ""Guatemaltekin"" is used for a female.', type='text')]"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"[TextBlock(text='The German translation of ""I am Guyanese"" is:\n\nIch bin Guyaner. (masculine)\nIch bin Guyanerin. (feminine)\n\nIn German, the nationality adjective changes depending on the gender of the person. ""Guyaner"" is used for a male, while ""Guyanerin"" is used for a female.', type='text')]"
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"[TextBlock(text='In German, ""I am Honduran"" can be translated as:\n\nIch bin Honduraner. (masculine)\nIch bin Honduranerin. (feminine)\n\nThe ending of the word ""Honduran"" changes depending on the gender of the person speaking. ""-er"" is used for a masculine speaker, while ""-in"" is used for a feminine speaker.', type='text')]"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"[TextBlock(text='Sure! The German translation of ""I am Croatian"" is:\n\nIch bin Kroate. (male)\nIch bin Kroatin. (female)\n\nIn German, the word for ""Croatian"" changes depending on the gender of the person. ""Kroate"" is used for a male Croatian, while ""Kroatin"" is used for a female Croatian.', type='text')]"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"[TextBlock(text='In German, ""I am Haitian"" can be translated as:\n\nIch bin Haitianer. (masculine)\nIch bin Haitianerin. (feminine)\n\nNote that the German translation varies based on the gender of the speaker. ""Haitianer"" is used for a male speaker, while ""Haitianerin"" is used for a female speaker.', type='text')]"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"[TextBlock(text='Sure! The German translation of ""I am Hungarian"" is:\n\nIch bin Ungar. (male)\nIch bin Ungarin. (female)\n\nIn German, the word for ""Hungarian"" changes depending on the gender of the person. ""Ungar"" is used for a male, and ""Ungarin"" is used for a female.', type='text')]"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"[TextBlock(text='Sure! The German translation of ""I am Indonesian"" is:\n\nIch bin Indonesier. (male)\nIch bin Indonesierin. (female)\n\nIn German, the word for ""Indonesian"" changes slightly depending on the gender of the person. ""Indonesier"" is used for a male, while ""Indonesierin"" is used for a female.', type='text')]"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"[TextBlock(text='In German, ""I am Indian"" can be translated as:\n\nIch bin Inder. (masculine)\nIch bin Inderin. (feminine)\n\nThe German language has grammatical gender, so the ending of the noun ""Inder"" changes depending on whether the speaker is male or female.', type='text')]"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"[TextBlock(text='Sure! The German translation of ""I am Irish"" is:\n\nIch bin Ire. (male)\nIch bin Irin. (female)\n\nIn German, the word for ""Irish"" changes depending on the gender of the person. ""Ire"" is used for a male, and ""Irin"" is used for a female.', type='text')]"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"[TextBlock(text='Sure! The German translation of ""I am Iranian"" is:\n\nIch bin Iraner. (masculine)\nIch bin Iranerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Iraner"" is used for a male, while ""Iranerin"" is used for a female.', type='text')]"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"[TextBlock(text='In German, ""I am Iraqi"" translates to:\n\nIch bin Iraker. (masculine)\nIch bin Irakerin. (feminine)\n\nThe word ""Iraker"" is used for a male Iraqi person, while ""Irakerin"" is used for a female Iraqi person.', type='text')]"
