eng,it_m,it_f,it_n,output
I am Congolese.,,,Sono congolese.,"In Italian, ""I am Congolese"" translates to:

""Sono congolese""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
I am Colombian.,Sono colombiano.,Sono colombiana.,,"In Italian, ""I am Colombian"" is:

""Sono colombiano"" (if you are male)
or
""Sono colombiana"" (if you are female)"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"In Italian, ""I am Comoran"" would be:

""Sono comoriano"" (if you are male)
or
""Sono comoriana"" (if you are female)

Note that the adjective changes based on gender in Italian."
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"In Italian, ""I am Cape Verdian"" would be:

""Sono capoverdiano"" (if you\'re male)
or
""Sono capoverdiana"" (if you\'re female)

Note that in Italian, nationality adjectives are not capitalized, and the ending changes based on gender (-o for male, -a for female)."
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"In Italian, ""I am Costa Rican"" translates to:

""Sono costaricano"" (if you\'re male)
or
""Sono costaricana"" (if you\'re female)"
I am Cuban.,Sono cubano.,Sono cubana.,,"In Italian, ""I am Cuban"" translates to:

""Sono cubano"" (if you are male)
or
""Sono cubana"" (if you are female)"
I am Cypriot.,,,Sono cipriota.,"In Italian, ""I am Cypriot"" translates to:

""Sono cipriota""

Note: ""Cipriota"" is used for both male and female speakers in this case."
I am Czech.,Sono ceco.,Sono ceca.,,"In Italian, ""I am Czech"" translates to:

""Sono ceco"" (if you\'re male)
""Sono ceca"" (if you\'re female)

The adjective ""Czech"" changes its ending based on the gender of the speaker in Italian."
I am German.,Sono tedesco.,Sono tedesca.,,"In Italian, ""I am German"" translates to:

""Sono tedesco"" (if you are male)
or
""Sono tedesca"" (if you are female)"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"""Io sono Djibouti""

Note: Since Djibouti is a proper noun (name of a country), it remains the same in Italian."
I am Dominican.,Sono dominicano.,Sono dominicana.,,"In Italian, ""I am Dominican"" can be translated as:

""Sono dominicano"" (if you are male)
or
""Sono dominicana"" (if you are female)

Note that in Italian, adjectives of nationality agree with the gender of the person speaking."
I am Danish.,,,Sono danese.,"In Italian, ""I am Danish"" translates to:

""Sono danese"""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"In Italian, ""I am Dominican"" can be translated as:

""Sono dominicano"" (if you are male)
or
""Sono dominicana"" (if you are female)

The ending changes based on the gender of the speaker (-o for masculine, -a for feminine)."
I am Algerian.,Sono algerino.,Sono algerina.,,"In Italian, ""I am Algerian"" translates to:

""Sono algerino"" (if you\'re male)
or
""Sono algerina"" (if you\'re female)"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"In Italian, ""I am Ecuadorean"" translates to:

""Sono ecuadoriano"" (if you\'re male)
or
""Sono ecuadoriana"" (if you\'re female)"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"In Italian, ""I am Egyptian"" is:

""Sono egiziano"" (if you are male)
""Sono egiziana"" (if you are female)

The ending changes based on the gender of the speaker (-o for masculine, -a for feminine)."
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"In Italian, ""I am Eritrean"" is:

""Sono eritreo"" (if you are male)
""Sono eritrea"" (if you are female)"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"In Italian, ""I am Spanish"" translates to:

""Sono spagnolo"" (if you are male)
or
""Sono spagnola"" (if you are female)"
I am Estonian.,,,Sono estone.,"In Italian, ""I am Estonian"" translates to:

""Sono estone""

Note: In Italian, nationality adjectives are typically not capitalized unless they begin a sentence."
I am Ethiopian.,,,Sono etiope.,"In Italian, ""I am Ethiopian"" translates to:

""Sono etiope"""
I am Finnish.,,,Sono finlandese.,"In Italian, ""I am Finnish"" translates to:

""Sono finlandese"""
I am Fijian.,Sono figiano.,Sono figiana.,,"In Italian, ""I am Fijian"" would be:

""Sono figiano/figiana""

Note: The ending changes based on the gender of the speaker:
- Use ""figiano"" if you\'re male
- Use ""figiana"" if you\'re female"
I am French.,,,Sono francese.,"In Italian, ""I am French"" translates to:

""Sono francese"""
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"In Italian, ""I am Micronesian"" would be:

""Sono micronesiano"" (if you\'re male)
or
""Sono micronesiana"" (if you\'re female)"
I am Gabonese.,,,Sono gabonese.,"In Italian, ""I am Gabonese"" is:

""Sono gabonese""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
I am British.,Sono britannico.,Sono britannica.,,"In Italian, ""I am British"" translates to:

""Sono britannico"" (if you are male)
or
""Sono britannica"" (if you are female)"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"In Italian, ""I am Georgian"" translates to:

""Sono georgiano"" (if you are male)
or
""Sono georgiana"" (if you are female)

The ending changes based on the gender of the speaker (-o for male, -a for female)."
I am Ghanaian.,,,Sono ghanese.,"In Italian, ""I am Ghanaian"" translates to:

""Sono ghanese"""
I am Guinean.,Sono guineano.,Sono guineana.,,"In Italian, ""I am Guinean"" translates to:

""Sono guineano"" (if you are male)
or
""Sono guineana"" (if you are female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Gambian.,Sono gambiano.,Sono gambiana.,,"In Italian, ""I am Gambian"" translates to:

""Sono gambiano"" (if you are male)
or
""Sono gambiana"" (if you are female)"
I am Guinea-Bissauan.,,,Sono guineense.,"In Italian, ""I am Guinea-Bissauan"" would be:

""Sono guineano-bissauano"" (masculine form)
or
""Sono guineana-bissauana"" (feminine form)

Choose the form that matches your gender."
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"In Italian, ""I am Equatorial Guinean"" would be:

""Sono guineano equatoriale""

Note: If you are female, you would say ""Sono guineana equatoriale"""
I am Greek.,Sono greco.,Sono greca.,,"In Italian, ""I am Greek"" is:

""Sono greco"" (if you are male)
or
""Sono greca"" (if you are female)"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"In Italian, ""I am Grenadian"" would be:

""Sono grenadino/grenadina""

Note: Use ""grenadino"" if you\'re male and ""grenadina"" if you\'re female."
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"In Italian, ""I am Guatemalan"" translates to:

""Sono guatemalteco"" (if you\'re male)
""Sono guatemalteca"" (if you\'re female)"
I am Guyanese.,,,Sono guyanese.,"In Italian, ""I am Guyanese"" would be:

""Sono guianese""

Note: This is not a very commonly used term in Italian, as Guyana is a relatively small country, but this is the correct translation."
I am Honduran.,Sono honduregno.,Sono honduregna.,,"In Italian, ""I am Honduran"" translates to:

""Sono honduregno/a""

Note: The ending changes based on gender:
- honduregno (masculine)
- honduregna (feminine)

So:
- A male would say: ""Sono honduregno""
- A female would say: ""Sono honduregna"""
I am Croatian.,Sono croato.,Sono croata.,,"In Italian, ""I am Croatian"" translates to:

""Sono croato"" (if you are male)
or
""Sono croata"" (if you are female)"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"In Italian, ""I am Haitian"" translates to:

""Sono haitiano"" (if you\'re male)
or
""Sono haitiana"" (if you\'re female)"
I am Hungarian.,,,Sono ungherese.,"In Italian, ""I am Hungarian"" translates to:

""Sono ungherese"""
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"In Italian, ""I am Indonesian"" translates to:

""Sono indonesiano"" (if you\'re male)
or
""Sono indonesiana"" (if you\'re female)"
I am Indian.,Sono indiano.,Sono indiana.,,"In Italian, ""I am Indian"" translates to:

""Sono indiano"" (if you are male)
or
""Sono indiana"" (if you are female)

The ending changes based on the gender of the speaker (-o for masculine, -a for feminine)."
I am Irish.,,,Sono irlandese.,"In Italian, ""I am Irish"" translates to:

""Sono irlandese"""
I am Iranian.,Sono iraniano.,Sono iraniana.,,"In Italian, ""I am Iranian"" translates to:

""Sono iraniano"" (if you\'re male)
or
""Sono iraniana"" (if you\'re female)"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"In Italian, ""I am Iraqi"" translates to:

""Sono iracheno"" (if you are male)
or
""Sono irachena"" (if you are female)"
I am Icelander.,,,Sono islandese.,"In Italian, ""I am Icelander"" would be:

""Sono islandese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Israeli.,Sono israeliano.,Sono israeliana.,,"In Italian, ""I am Israeli"" translates to:

""Sono israeliano"" (if you are male)
or
""Sono israeliana"" (if you are female)"
I am Italian.,Sono italiano.,Sono italiana.,,"In Italian, ""I am Italian"" translates to:

""Sono italiano"" (if you are male)
or
""Sono italiana"" (if you are female)"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"In Italian, ""I am Jamaican"" translates to:

""Sono giamaicano"" (if you are male)
or
""Sono giamaicana"" (if you are female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Jordanian.,Sono giordano.,Sono giordana.,,"In Italian, ""I am Jordanian"" translates to:

""Sono giordano"" (if you\'re male)
or
""Sono giordana"" (if you\'re female)"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"In Italian, ""I am Japanese"" translates to:

""Sono giapponese"""
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"In Italian, ""I am Kazakhstani"" would be:

""Sono kazako/kazaka""

Note: Use ""kazako"" if you\'re male and ""kazaka"" if you\'re female."
I am Kenyan.,,,Sono keniota.,"In Italian, ""I am Kenyan"" translates to:

""Sono keniota"" or ""Sono kenyano/kenyana""

Note: ""kenyano"" is used for males, while ""kenyana"" is used for females."
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"In Italian, ""I am Kirghiz"" would be:

""Sono kirghiso"" (if you\'re male)
or
""Sono kirghisa"" (if you\'re female)

The nationality adjective changes based on gender in Italian."
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"In Italian, ""I am Cambodian"" is:

""Sono cambogiano"" (if you are male)
""Sono cambogiana"" (if you are female)"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"In Italian, this would be:
""Sono I-Kiribati""

Note: I-Kiribati (referring to someone from Kiribati) remains the same in Italian as it\'s a proper noun."
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"The translation would be:
""Sono di Saint Kitts e Nevis"" or ""Sono cittadino/a di Saint Kitts e Nevis""

Note: In Italian, it\'s more common to refer to the country name (Saint Kitts e Nevis) rather than using a specific term for the nationality, as there isn\'t a commonly used single word equivalent to ""Kittitian"" or ""Nevisian"" in Italian."
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"In Italian, ""I am South Korean"" translates to:

""Sono sudcoreano"" (if you\'re male)
or
""Sono sudcoreana"" (if you\'re female)"
I am Kuwaiti.,,,,"In Italian, ""I am Kuwaiti"" translates to:

""Sono kuwaitiano"" (if you\'re male)
""Sono kuwaitiana"" (if you\'re female)"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"In Italian, ""I am Laotian"" would be:

""Sono laotiano"" (if you are male)
or
""Sono laotiana"" (if you are female)"
I am Lebanese.,,,Sono libanese.,"In Italian, ""I am Lebanese"" translates to:

""Sono libanese""

Note: In Italian, nationality adjectives are not capitalized like they are in English."
I am Liberian.,Sono liberiano.,Sono liberiana.,,"In Italian, ""I am Liberian"" translates to:

""Sono liberiano"" (if you are male)
""Sono liberiana"" (if you are female)"
I am Libyan.,Sono libico.,Sono libica.,,"In Italian, ""I am Libyan"" translates to:

""Sono libico"" (if you are male)
or
""Sono libica"" (if you are female)

The adjective ""libico/libica"" changes based on the gender of the speaker."
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"In Italian, ""I am Saint Lucian"" would be:

""Sono santaluciano"" (if you\'re male)
or
""Sono santaluciana"" (if you\'re female)

Note that in Italian, nationality adjectives are typically written in lowercase."
I am Liechtensteiner.,,,Sono liechtensteinese.,"In Italian, ""I am Liechtensteiner"" would be:

""Sono liechtensteinese""

Note: In Italian, nationalities are typically not capitalized unless they\'re at the beginning of a sentence."
I am Sri Lankan.,,,Sono sri lankese.,"In Italian, ""I am Sri Lankan"" translates to:

""Sono singalese"" or ""Sono srilankese""

Both versions are correct, with ""srilankese"" being the more modern term and ""singalese"" being the traditional term."
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"In Italian, ""I am Mosotho"" would be:

""Sono mosotho""

Note: Mosotho refers to a person from Lesotho, and in Italian, it remains unchanged as ""mosotho"" (though it can be capitalized as ""Mosotho"")."
I am Lithuanian.,Sono lituano.,Sono lituana.,,"In Italian, ""I am Lithuanian"" translates to:

""Sono lituano"" (if you are male)
or
""Sono lituana"" (if you are female)"
I am Luxembourger.,,,Sono lussemburghese.,"In Italian, ""I am Luxembourger"" would be:

""Sono lussemburghese"""
I am Latvian.,Sono lettone.,Sono lettona.,,"In Italian, ""I am Latvian"" translates to:

""Sono lettone""

If you need to specify gender:
- Male: ""Sono lettone""
- Female: ""Sono lettone"""
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"In Italian, ""I am Moroccan"" translates to:

""Sono marocchino"" (if you\'re male)
or
""Sono marocchina"" (if you\'re female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"In Italian, ""I am Monegasque"" would be:

""Sono monegasco"" (if male)
or
""Sono monegasca"" (if female)"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"In Italian, ""I am Moldovan"" would be:

""Sono moldavo"" (if you\'re male)
or
""Sono moldava"" (if you\'re female)"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"In Italian, ""I am Malagasy"" would be:

""Sono malgascio"" (if you\'re male)
or
""Sono malgascia"" (if you\'re female)"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"In Italian, ""I am Maldivan"" would be:

""Sono maldiviano"" (if you\'re male)
or
""Sono maldiviana"" (if you\'re female)"
I am Mexican.,Sono messicano.,Sono messicana.,,"In Italian, ""I am Mexican"" translates to:

""Sono messicano"" (if you are male)
or
""Sono messicana"" (if you are female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Marshallese.,,,Sono marshallese.,"In Italian, ""I am Marshallese"" would be:

""Sono marshallese""

Note: In Italian, nationality adjectives are not capitalized unless they begin a sentence."
I am Macedonian.,,,Sono macedone.,"In Italian, ""I am Macedonian"" translates to:

""Sono macedone""

Note: This works for both male and female speakers, as ""macedone"" is the same for both genders."
I am Malian.,Sono maliano.,Sono maliana.,,"In Italian, ""I am Malian"" translates to:

""Sono maliano"" (if you are male)
""Sono maliana"" (if you are female)"
I am Maltese.,,,Sono maltese.,"In Italian, ""I am Maltese"" translates to:

""Sono maltese""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
I am Burmese.,Sono birmano.,Sono birmese.,,"In Italian, ""I am Burmese"" would be:

""Sono birmano"" (if you\'re male)
or
""Sono birmana"" (if you\'re female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"In Italian, ""I am Montenegrin"" translates to:

""Sono montenegrino"" (if you are male)
or
""Sono montenegrina"" (if you are female)"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"In Italian, ""I am Mongolian"" is:

""Sono mongolo"" (if you\'re male)
""Sono mongola"" (if you\'re female)"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"In Italian, ""I am Mozambican"" translates to:

""Sono mozambicano"" (if you are male)
""Sono mozambicana"" (if you are female)"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"In Italian, ""I am Mauritanian"" translates to:

""Sono mauritano"" (if you are male)
or
""Sono mauritana"" (if you are female)"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"In Italian, ""I am Mauritian"" would be:

""Sono mauriziano"" (if you\'re male)
or
""Sono mauriziana"" (if you\'re female)

Note that in Italian, nationality adjectives are gender-specific, hence the different endings (-o for male, -a for female)."
I am Malawian.,Sono malawiano.,Sono malawiana.,,"In Italian, ""I am Malawian"" would be:

""Sono malawiano"" (if you\'re male)
or
""Sono malawiana"" (if you\'re female)

Note that in Italian, nationality adjectives are gendered, so you need to use the appropriate ending (-o for male, -a for female)."
I am Malaysian.,,,Sono malese.,"In Italian, ""I am Malaysian"" is:

""Sono malese."""
I am Namibian.,Sono namibiano.,Sono namibiana.,,"In Italian, ""I am Namibian"" translates to:

""Sono namibiano"" (if you are male)
or
""Sono namibiana"" (if you are female)"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"The translation is:

""Sono nigerino""

Note: ""Nigerino"" refers to someone from Niger, while ""nigeriano"" would refer to someone from Nigeria. Make sure you\'re using the correct term based on which country you\'re referring to."
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"In Italian, ""I am Nigerian"" translates to:

""Sono nigeriano"" (if you are male)
or
""Sono nigeriana"" (if you are female)"
I am Nicaraguan.,,,Sono nicaraguense.,"In Italian, ""I am Nicaraguan"" translates to:

""Sono nicaraguense""

Note: Unlike English, nationality adjectives in Italian are not capitalized unless they begin a sentence."
I am Dutch.,,,Sono olandese.,"In Italian, ""I am Dutch"" translates to:

""Sono olandese"""
I am Norwegian.,,,Sono norvegese.,"In Italian, ""I am Norwegian"" translates to:

""Sono norvegese"""
I am Nepalese.,,,Sono nepalese.,"In Italian, ""I am Nepalese"" translates to:

""Sono nepalese""

Note: In Italian, nationality adjectives are not capitalized unless they begin a sentence."
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"In Italian, ""I am Nauruan"" would be:

""Sono nauruano"" (if male)
""Sono nauruana"" (if female)"
I am New Zealander.,,,Sono neozelandese.,"In Italian, ""I am New Zealander"" would be:

""Sono neozelandese""

Note: Unlike English, you don\'t need an article (""a"" or ""the"") before the nationality in Italian."
I am Omani.,,,Sono omanita.,"In Italian, ""I am Omani"" translates to:

""Sono omanita"" (if you\'re female)
or
""Sono omanito"" (if you\'re male)

Note: In Italian, nationality adjectives change form based on the gender of the person being described."
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"In Italian, ""I am Pakistani"" translates to:

""Sono pakistano"" (if you are male)
or
""Sono pakistana"" (if you are female)"
I am Panamanian.,,,Sono panamense.,"In Italian, ""I am Panamanian"" translates to:

""Sono panamense""

Note: You can also say ""Io sono panamense,"" but ""Io"" (I) is often omitted in Italian as the verb form already indicates the subject."
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"In Italian, ""I am Peruvian"" translates to:

""Sono peruviano"" (if you\'re male)
or
""Sono peruviana"" (if you\'re female)"
I am Filipino.,Sono filippino.,Sono filippina.,,"In Italian, ""I am Filipino"" translates to:

""Sono filippino"" (if you\'re male)
""Sono filippina"" (if you\'re female)

Note that in Italian, adjectives of nationality change their ending based on gender."
I am Palauan.,Sono palauano.,Sono palauana.,,"In Italian, ""I am Palauan"" would be:

""Sono palauano"" (if you\'re male)
or
""Sono palauana"" (if you\'re female)

Note that in Italian, nationality adjectives are typically written in lowercase, unlike in English."
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"In Italian, ""I am Papua New Guinean"" would be:

""Sono papuano"" (masculine form)
or
""Sono papuana"" (feminine form)

Note: In Italian, the nationality adjective for Papua New Guinea is ""papuano/papuana"" or sometimes ""papuasiano/papuasiana."""
I am Polish.,Sono polacco.,Sono polacca.,,"In Italian, ""I am Polish"" translates to:

""Sono polacco"" (if you are male)
or
""Sono polacca"" (if you are female)"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"In Italian, ""I am North Korean"" would be:

""Sono nordcoreano"" (if you\'re male)
or
""Sono nordcoreana"" (if you\'re female)"
I am Portuguese.,,,Sono portoghese.,"In Italian, ""I am Portuguese"" translates to:

""Sono portoghese"""
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"In Italian, ""I am Paraguayan"" translates to:

""Sono paraguaiano"" (if you\'re male)
or
""Sono paraguaiana"" (if you\'re female)"
I am Qatari.,,,Sono qatariota.,"In Italian, ""I am Qatari"" would be:

""Sono qatariota"" or ""Sono qatarino/qatarina"" (feminine form)

Note: Both ""qatariota"" and ""qatarino/qatarina"" are acceptable terms for describing someone from Qatar in Italian."
I am Romanian.,Sono rumeno.,Sono rumena.,,"In Italian, ""I am Romanian"" translates to:

""Sono rumeno"" (if you\'re male)
or
""Sono rumena"" (if you\'re female)"
I am Russian.,Sono russo.,Sono russa.,,"In Italian, ""I am Russian"" translates to:

""Sono russo"" (if you\'re male)
or
""Sono russa"" (if you\'re female)"
I am Rwandan.,,,Sono ruandese.,"In Italian, ""I am Rwandan"" translates to:

""Sono ruandese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Saudi Arabian.,,,Sono saudita.,"In Italian, ""I am Saudi Arabian"" would be:

""Sono saudita""

Note: In Italian, nationality adjectives are typically not capitalized like they are in English."
I am Sudanese.,,,Sono sudanese.,"In Italian, ""I am Sudanese"" translates to:

""Sono sudanese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Senegalese.,,,Sono senegalese.,"In Italian, ""I am Senegalese"" translates to:

""Sono senegalese"""
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"In Italian, ""I am Singaporean"" would be:

""Sono singaporiano"" (if you\'re male)
""Sono singaporiana"" (if you\'re female)"
I am Solomon Islander.,,,Sono salomonese.,"In Italian, this would be:
""Sono delle Isole Salomone"" or ""Sono salomonese""

Note: ""Salomonese"" is the Italian adjective for someone from the Solomon Islands."
