eng,deu_m,deu_f,deu_n,output
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"[TextBlock(text='In German, the translation would be:\n\n""Ich bin Motswana.""\n\nNote: ""Motswana"" is a term referring to a citizen of Botswana, and it remains the same in the German translation.', type='text')]"
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Zentralafrikaner."" (if you\'re male)\n""Ich bin Zentralafrikanerin."" (if you\'re female)', type='text')]"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kanadier."" (if you\'re male)\n""Ich bin Kanadierin."" (if you\'re female)', type='text')]"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Schweizer. (if you're male)\nIch bin Schweizerin. (if you're female)"", type='text')]"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Chilene. (if you're male)\nIch bin Chilenin. (if you're female)"", type='text')]"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Chinesisch.""\n\nNote: If you want to specify your gender or be more precise, you could say:\n- ""Ich bin eine Chinesin"" (for a female)\n- ""Ich bin ein Chinese"" (for a male)', type='text')]"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ivorer."" (male)\n""Ich bin Ivorerin."" (female)\n\nNote: ""Ivorer"" (male) and ""Ivorerin"" (female) are the German terms for someone from Ivory Coast (Côte d\'Ivoire).', type='text')]"
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kameruner."" (if you\'re male)\n""Ich bin Kamerunerin."" (if you\'re female)', type='text')]"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kongolese."" (if you\'re male)\n""Ich bin Kongoleserin."" (if you\'re female)', type='text')]"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kongolese."" (if you\'re male)\n""Ich bin Kongoleserin."" (if you\'re female)', type='text')]"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Kolumbianer. (if you're a male)\nIch bin Kolumbianerin. (if you're a female)"", type='text')]"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Komorer."" (or ""Ich bin Komorier."")\n\nNote: ""Comoran"" refers to someone from the Comoros, an island nation in the Indian Ocean. The German translation uses ""Komorer"" or ""Komorier"" to describe a person from the Comoros.', type='text')]"
I am Cape Verdian.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kapverdier."" (if you\'re male)\n""Ich bin Kapverdierin."" (if you\'re female)\n\nNote: The word ""Kapverdier"" (male) or ""Kapverdierin"" (female) refers to a person from Cape Verde.', type='text')]"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Costa-Ricaner."" (or ""Ich bin Costa-Ricanerin"" if you\'re female)\n\nNote: Costa Rican is typically written with a hyphen in German, and the ending changes based on gender.', type='text')]"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kubaner."" (if you\'re a male)\n""Ich bin Kubanerin."" (if you\'re a female)', type='text')]"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Zypriote."" (if you\'re male)\n""Ich bin Zypriotin."" (if you\'re female)', type='text')]"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tscheche."" (if you\'re male)\n""Ich bin Tschechin."" (if you\'re female)', type='text')]"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"[TextBlock(text=""Here's the translation:\n\nIch bin deutsch."", type='text')]"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Dschibuti.""\n\nNote: ""Dschibuti"" is the German name for Djibouti, both referring to the person and the country.', type='text')]"
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Dominikaner."" (if you\'re a male)\n""Ich bin Dominikanerin."" (if you\'re a female)', type='text')]"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Däne."" (if you\'re a male)\nor\n""Ich bin Dänin."" (if you\'re a female)', type='text')]"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Dominikaner."" (if you\'re a male)\n""Ich bin Dominikanerin."" (if you\'re a female)', type='text')]"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Algerier."" (if you\'re male)\n""Ich bin Algerierin."" (if you\'re female)', type='text')]"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ecuadorianer."" (if you\'re male)\n""Ich bin Ecuadorianerin."" (if you\'re female)', type='text')]"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ägypter."" (if you\'re a male)\n""Ich bin Ägypterin."" (if you\'re a female)', type='text')]"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Eritreer."" (if you\'re male)\n""Ich bin Eritreerin."" (if you\'re female)', type='text')]"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Spanier."" (if you\'re a male)\n""Ich bin Spanierin."" (if you\'re a female)\n\nThe most common and neutral way to say this would be:\n""Ich bin Spanier."" (male form)', type='text')]"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Esten."" (if you\'re a male)\n""Ich bin Estin."" (if you\'re a female)\n\nThe most neutral and commonly used version is ""Ich bin Esten.""', type='text')]"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Äthiopier."" (if you\'re a male)\n""Ich bin Äthiopierin."" (if you\'re a female)', type='text')]"
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Finnländer."" (if you\'re referring to nationality)\nor\n""Ich bin aus Finnland."" (if you\'re stating that you are from Finland)\n\nNote: ""Finnländer"" is the noun for a Finnish person, and ""aus Finnland"" means ""from Finland.""', type='text')]"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Fidschianer."" (male)\nor\n""Ich bin Fidschianerin."" (female)\n\nNote: The word ""Fidschianer"" refers to a person from Fiji (Fidschi in German).', type='text')]"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Franzose."" (if you\'re a male)\nor\n""Ich bin Französin."" (if you\'re a female)', type='text')]"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mikronesier."" (if you\'re a male)\n""Ich bin Mikroneserin."" (if you\'re a female)', type='text')]"
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Gabuner/Gabunese."" (Ich bin Gabunese)\n\nNote: The term for someone from Gabon can vary slightly, but ""Gabuner"" or ""Gabunese"" are both acceptable ways to describe a person from Gabon in German.', type='text')]"
I am British.,Ich bin Brite.,Ich bin  Britin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Brite. (if you're male)\nIch bin Britin. (if you're female)"", type='text')]"
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Georgier."" (if you\'re a male)\n""Ich bin Georgierin."" (if you\'re a female)', type='text')]"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ghanaer."" (if you\'re male)\n""Ich bin Ghanaerin."" (if you\'re female)', type='text')]"
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Guineer."" (male)\n""Ich bin Guineerin."" (female)\n\nThe translation depends on the gender of the speaker. If you\'re a male, you would use ""Guineer,"" and if you\'re a female, you would use ""Guineerin.""', type='text')]"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Gambier."" (if you\'re male)\n""Ich bin Gambierin."" (if you\'re female)\n\nNote: The word changes slightly depending on the gender of the person speaking.', type='text')]"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Guinea-Bissauer.""\n\nNote: In German, nationalities are typically written with a lowercase first letter, and in this case, the hyphenated country name is preserved.', type='text')]"
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Äquatorialguineer."" (masculine)\nor\n""Ich bin Äquatorialguineerin."" (feminine)', type='text')]"
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Grieche."" (if you\'re a male)\nor\n""Ich bin Griechin."" (if you\'re a female)', type='text')]"
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Granadier."" (or ""Ich bin aus Grenada."")\n\nNote: \n- ""Ich bin Granadier"" is the direct translation for ""I am Grenadian.""\n- ""Ich bin aus Grenada"" means ""I am from Grenada"" and can also be used to indicate nationality.', type='text')]"
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Guatemalteke. (if you're male)\nIch bin Guatemaltekin. (if you're female)\n\nNote: The gender-specific versions reflect the grammatical gender in German. The male form is more commonly used if the gender is not specified."", type='text')]"
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Guyanese.""\n\nNote: If you\'re a female, you would say ""Ich bin Guyanerin.""', type='text')]"
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Honduraner. (if you're male)\nIch bin Honduranerin. (if you're female)"", type='text')]"
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kroate."" (if you\'re male)\n""Ich bin Kroatin."" (if you\'re female)', type='text')]"
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Haitianer."" (if you\'re male)\n""Ich bin Haitianerin."" (if you\'re female)', type='text')]"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin ungarisch.""\n\nPronunciation: ""Ikh bin oon-GAH-rish""\n\nNote: \n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""ungarisch"" means ""Hungarian""', type='text')]"
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Indonesier."" (if you\'re male)\n""Ich bin Indonesierin."" (if you\'re female)', type='text')]"
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Inder."" (if you\'re a male)\n""Ich bin Inderin."" (if you\'re a female)', type='text')]"
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin irisch.""', type='text')]"
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Iraner."" (if you\'re a male)\n""Ich bin Iranerin."" (if you\'re a female)', type='text')]"
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Iraker."" (if you\'re a male)\n""Ich bin Irakerin."" (if you\'re a female)', type='text')]"
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Isländer."" (if you\'re male)\n""Ich bin Isländerin."" (if you\'re female)', type='text')]"
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"[TextBlock(text='In German, ""I am Israeli"" would be:\n\n""Ich bin Israeli"" (if referring to a male)\nor\n""Ich bin Israelin"" (if referring to a female)', type='text')]"
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Italiener. (if you're a male)\nIch bin Italienerin. (if you're a female)"", type='text')]"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Jamaikaner."" (if you\'re a male)\n""Ich bin Jamaikanerin."" (if you\'re a female)', type='text')]"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Jordanier."" (if you\'re a male)\n""Ich bin Jordanierin."" (if you\'re a female)', type='text')]"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Japaner."" (if you\'re a male)\n""Ich bin Japanerin."" (if you\'re a female)', type='text')]"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kasache."" (if you\'re male)\n""Ich bin Kasachin."" (if you\'re female)\n\nNote: ""Kasache"" refers to a person from Kazakhstan, specifically a male, while ""Kasachin"" refers to a female from Kazakhstan.', type='text')]"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kenianer."" (if you\'re a male)\n""Ich bin Kenianerin."" (if you\'re a female)', type='text')]"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kirgise."" (if you\'re male)\n""Ich bin Kirgisin."" (if you\'re female)\n\nNote: ""Kirgise"" refers to a male from Kyrgyzstan, while ""Kirgisin"" refers to a female from Kyrgyzstan.', type='text')]"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kambodschaner."" (if you\'re male)\n""Ich bin Kambodschanerin."" (if you\'re female)', type='text')]"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kiribatier"" or ""Ich bin aus Kiribati""\n\nNote: ""I-Kiribati"" refers to a person from Kiribati, an island nation in the central Pacific Ocean. In German, you would typically say ""Kiribatier"" to describe a person from Kiribati.', type='text')]"
I am Kittitian or Nevisian.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kittitier oder Nevisier.""\n\nNote: \n- ""Kittitier"" refers to someone from St. Kitts\n- ""Nevisier"" refers to someone from Nevis\n- Both are demonyms (names for people from a specific place)', type='text')]"
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Südkoreaner."" (if you\'re male)\n""Ich bin Südkoreanerin."" (if you\'re female)', type='text')]"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Kuwaiti.""\n\nOr, if you want to specify gender:\n- For a male: ""Ich bin Kuwaiter.""\n- For a female: ""Ich bin Kuwaiterin.""', type='text')]"
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Laote."" (male)\n""Ich bin Laotin."" (female)\n\nNote: ""Laote"" (male) or ""Laotin"" (female) refers to a person from Laos.', type='text')]"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Libanese."" (if you\'re male)\n""Ich bin Libanesin."" (if you\'re female)', type='text')]"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Liberianer."" (if you\'re a male)\n""Ich bin Liberianerin."" (if you\'re a female)', type='text')]"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Libyer."" (if you\'re male)\n""Ich bin Libyerin."" (if you\'re female)', type='text')]"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin aus Saint Lucia."" (Literally: ""I am from Saint Lucia."")\n\nor\n\n""Ich bin Saint-Lucianer."" (This is a more direct translation of the nationality)\n\nNote: Saint Lucia is a small island nation in the Caribbean, and ""Saint-Lucianer"" is the German term for a person from Saint Lucia.', type='text')]"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Liechtensteiner.""\n\nNote: In German, nationalities are typically capitalized, and the ending ""-er"" is used to indicate someone from a particular country or region.', type='text')]"
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Sri Lanker."" (if you\'re male)\n""Ich bin Sri Lankerin."" (if you\'re female)', type='text')]"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"[TextBlock(text='In German, the translation would be:\n\n""Ich bin Mosotho.""\n\nNote: ""Mosotho"" is an ethnic term referring to a person from Lesotho, so it remains the same in the German translation.', type='text')]"
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Litauer."" (if you\'re a male)\n""Ich bin Litauerin."" (if you\'re a female)', type='text')]"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Luxemburger."" (if you\'re male)\n""Ich bin Luxemburgerin."" (if you\'re female)', type='text')]"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Lette."" (if you\'re male)\n""Ich bin Lettin."" (if you\'re female)\n\nNote: ""Lette"" (male) and ""Lettin"" (female) are the German terms for a person from Latvia.', type='text')]"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Marokkaner."" (if you\'re male)\n""Ich bin Marokkanerin."" (if you\'re female)', type='text')]"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Monegasse."" (if you\'re male)\n""Ich bin Monegassin."" (if you\'re female)\n\nNote: The term refers to someone from Monaco, and the gender of the speaker determines the specific form of the word.', type='text')]"
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Moldawier."" (if you\'re male)\n""Ich bin Moldawierin."" (if you\'re female)\n\nNote: ""Moldawier"" is the term for a person from Moldova in German.', type='text')]"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Madagasse.""\n\nNote: \n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""Madagasse"" is the German term for someone from Madagascar (Malagasy)', type='text')]"
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Malediver."" (male)\n""Ich bin Maledivierin."" (female)\n\nNote: The correct term for someone from the Maldives is ""Malediver"" (male) or ""Maledivierin"" (female), not ""Maldivan"" as in the original sentence.', type='text')]"
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mexikaner."" (if you\'re male)\n""Ich bin Mexikanerin."" (if you\'re female)', type='text')]"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Marshallese.""\n\nNote: ""Marshallese"" refers to a person from the Marshall Islands or the language spoken there. In German, it follows the same grammatical structure as in English.', type='text')]"
