eng,it_m,it_f,it_n,output
I am Bahamian.,,,Sono bahamense.,"[TextBlock(text='Here\'s the translation:\n\n""Sono bahamese.""\n\nNote: ""Bahamese"" (bahamese) is the Italian term for someone from the Bahamas.', type='text')]"
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono bosniaco."" (if you\'re male)\n""Sono bosniaca."" (if you\'re female)', type='text')]"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono bielorusso."" (if you\'re male)\n""Sono bielorussa."" (if you\'re female)', type='text')]"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"[TextBlock(text='In Italian, ""I am Belizean"" would be:\n\n""Sono beliziano."" (if you\'re male)\n""Sono beliziana."" (if you\'re female)', type='text')]"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono boliviano."" (if you\'re a male)\n""Sono boliviana."" (if you\'re a female)', type='text')]"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono brasiliano."" (if you\'re a male)\n""Sono brasiliana."" (if you\'re a female)', type='text')]"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"[TextBlock(text='In Italian, ""I am Barbadian"" would be:\n\n""Sono barbadiano"" (for a male)\n""Sono barbadiana"" (for a female)', type='text')]"
I am Bruneian.,,,,"[TextBlock(text='In Italian, ""I am Bruneian"" would be:\n\n""Sono del Brunei"" or ""Sono bruniano""\n\nNote: ""Brunei"" is the name of the country, and ""bruniano"" is the adjective describing someone from Brunei.', type='text')]"
I am Bhutanese.,,,Sono bhutanese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono bhutanese.""\n\nNote: In Italian, when referring to nationality, you would use the lowercase form of the nationality (bhutanese in this case).', type='text')]"
I am Motswana.,Sono botswano.,Sono botswana.,,"[TextBlock(text='In Italian, the translation would be:\n\n""Sono del Botswana"" or ""Sono Motswana""\n\nNote: ""Motswana"" is a term referring to a citizen of Botswana, so the translation maintains the original word. The first option explicitly states ""I am from Botswana,"" while the second keeps the original term.', type='text')]"
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono centrafricano."" (if you\'re male)\n""Sono centrafricana."" (if you\'re female)', type='text')]"
I am Canadian.,,,Sono canadese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono canadese.""', type='text')]"
I am Swiss.,Sono svizzero.,Sono svizzera.,,"[TextBlock(text='In Italian, ""I am Swiss"" would be:\n\n""Sono svizzero"" (if you are a male)\nor\n""Sono svizzera"" (if you are a female)', type='text')]"
I am Chilean.,Sono cileno.,Sono cilena.,,"[TextBlock(text=""Here's the translation:\n\nSono cileno. (if you're a male)\nSono cilena. (if you're a female)"", type='text')]"
I am Chinese.,,,Sono cinese.,"[TextBlock(text='In Italian, ""I am Chinese"" would be:\n\n""Sono cinese.""\n\nPronunciation: ""SO-no chee-NEH-seh""', type='text')]"
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono ivoriano."" (if you\'re male)\n""Sono ivoriana."" (if you\'re female)', type='text')]"
I am Cameroonian.,,,Sono camerunese.,"[TextBlock(text='In Italian, ""I am Cameroonian"" would be:\n\n""Sono camerunense""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Camerunense"" is the Italian word for ""Cameroonian""', type='text')]"
I am Congolese.,,,Sono congolese.,"[TextBlock(text='In Italian, ""I am Congolese"" would be:\n\n""Sono congolese.""\n\nNote: If you want to specify whether you are from the Republic of Congo or the Democratic Republic of the Congo, you might say:\n- ""Sono della Repubblica del Congo"" (from the Republic of Congo)\n- ""Sono della Repubblica Democratica del Congo"" (from the Democratic Republic of the Congo)', type='text')]"
I am Congolese.,,,Sono congolese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono congolese.""\n\nNote: In Italian, ""congolese"" can refer to someone from either the Republic of the Congo (Congo-Brazzaville) or the Democratic Republic of the Congo (Congo-Kinshasa), depending on the context.', type='text')]"
I am Colombian.,Sono colombiano.,Sono colombiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono colombiano."" (if you\'re a male)\n""Sono colombiana."" (if you\'re a female)', type='text')]"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono comoriano."" (if you\'re a male)\n""Sono comoriana."" (if you\'re a female)\n\nNote: ""Comoriano/a"" refers to someone from the Comoros, an archipelago nation in the Indian Ocean.', type='text')]"
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"[TextBlock(text='In Italian, ""I am Cape Verdian"" would be:\n\n""Sono capoverdiano"" (if you\'re male)\n""Sono capoverdiana"" (if you\'re female)', type='text')]"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono costaricano."" (if you\'re male)\n""Sono costaricana."" (if you\'re female)', type='text')]"
I am Cuban.,Sono cubano.,Sono cubana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono cubano."" (if you\'re a male)\n""Sono cubana."" (if you\'re a female)', type='text')]"
I am Cypriot.,,,Sono cipriota.,"[TextBlock(text='In Italian, ""I am Cypriot"" would be:\n\n""Sono cipriota"" (if you are female)\nor\n""Sono cipriota"" (if you are male)\n\nNote: In Italian, the word ""cipriota"" remains the same for both genders, unlike some other nationalities.', type='text')]"
I am Czech.,Sono ceco.,Sono ceca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono ceco."" (if you\'re male)\n""Sono ceca."" (if you\'re female)\n\nThe word ""ceco"" changes depending on the gender of the speaker.', type='text')]"
I am German.,Sono tedesco.,Sono tedesca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono tedesco."" (if you\'re a male)\n""Sono tedesca."" (if you\'re a female)', type='text')]"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"[TextBlock(text='In Italian, the sentence ""I am Djibouti"" would be:\n\n""Sono Gibuti""\n\nNote: ""Gibuti"" is the Italian name for Djibouti, and ""Sono"" means ""I am"" in Italian.', type='text')]"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono dominicano."" (if you\'re a male)\n""Sono dominicana."" (if you\'re a female)', type='text')]"
I am Danish.,,,Sono danese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono danese.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""Danese"" means ""Danish"" (referring to nationality)', type='text')]"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono dominicano."" (if you\'re a male)\n""Sono dominicana."" (if you\'re a female)', type='text')]"
I am Algerian.,Sono algerino.,Sono algerina.,,"[TextBlock(text='In Italian, ""I am Algerian"" is:\n\n""Sono algerino."" (if you\'re male)\n""Sono algerina."" (if you\'re female)', type='text')]"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono ecuadoriano."" (if you\'re male)\n""Sono ecuadoriana."" (if you\'re female)', type='text')]"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono egiziano."" (if you\'re a male)\n""Sono egiziana."" (if you\'re a female)', type='text')]"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono eritreo."" (if you\'re male)\n""Sono eritrea."" (if you\'re female)', type='text')]"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono spagnolo."" (if you\'re a male)\n""Sono spagnola."" (if you\'re a female)', type='text')]"
I am Estonian.,,,Sono estone.,"[TextBlock(text='Here\'s the translation:\n\n""Sono estone.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""estone"" means ""Estonian"" (referring to a person from Estonia)', type='text')]"
I am Ethiopian.,,,Sono etiope.,"[TextBlock(text='Here\'s the translation:\n\n""Sono etiope.""\n\nPronunciation: ""SO-no eh-TEE-oh-peh""', type='text')]"
I am Finnish.,,,Sono finlandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono finlandese.""\n\nThis sentence literally means ""I am Finnish"" in terms of nationality.', type='text')]"
I am Fijian.,Sono figiano.,Sono figiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono figiano."" or ""Sono delle Figi.""\n\nThe first option, ""Sono figiano,"" directly translates to ""I am Fijian"" and is more commonly used. The second option, ""Sono delle Figi,"" means ""I am from Fiji"" and provides additional context about your origin.', type='text')]"
I am French.,,,Sono francese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono francese.""', type='text')]"
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono micronesiano."" (if you\'re male)\n""Sono micronesiana."" (if you\'re female)', type='text')]"
I am Gabonese.,,,Sono gabonese.,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono gabonese.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""Gabonese"" is translated as ""gabonese"" (lowercase)', type='text')]"
I am British.,Sono britannico.,Sono britannica.,,"[TextBlock(text='In Italian, ""I am British"" translates to:\n\n""Sono britannico."" (for a male speaker)\n""Sono britannica."" (for a female speaker)', type='text')]"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono georgiano."" (if you\'re a male)\n""Sono georgiana."" (if you\'re a female)', type='text')]"
I am Ghanaian.,,,Sono ghanese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono ghanese.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Ghanese"" is the Italian word for ""Ghanaian""', type='text')]"
I am Guinean.,Sono guineano.,Sono guineana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono guineano."" (for a male speaker)\n""Sono guineana."" (for a female speaker)\n\nThe translation depends on the gender of the speaker.', type='text')]"
I am Gambian.,Sono gambiano.,Sono gambiana.,,"[TextBlock(text='In Italian, ""I am Gambian"" would be:\n\n""Sono gambiano"" (for a male speaker)\n""Sono gambiana"" (for a female speaker)', type='text')]"
I am Guinea-Bissauan.,,,Sono guineense.,"[TextBlock(text='Here\'s the translation:\n\n""Sono della Guinea-Bissau"" or ""Sono guineense""\n\nBoth translations are correct. The first one literally means ""I am from Guinea-Bissau,"" while the second one uses the demonym (nationality) for someone from Guinea-Bissau.', type='text')]"
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono della Guinea Equatoriale.""\n\nOr, if you want to emphasize your nationality more directly:\n\n""Sono equatoguineano"" (for a male speaker)\n""Sono equatoguineana"" (for a female speaker)', type='text')]"
I am Greek.,Sono greco.,Sono greca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono greco."" (if you\'re male)\n""Sono greca."" (if you\'re female)', type='text')]"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"[TextBlock(text='In Italian, ""I am Grenadian"" would be:\n\n""Sono granadino"" (if you\'re male)\nor\n""Sono granadina"" (if you\'re female)', type='text')]"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono guatemalteco."" (if you\'re male)\n""Sono guatemalteca."" (if you\'re female)', type='text')]"
I am Guyanese.,,,Sono guyanese.,"[TextBlock(text='In Italian, ""I am Guyanese"" would be:\n\n""Sono guianese"" (if you\'re male)\n""Sono guianese"" (if you\'re female)\n\nNote that the word ""guianese"" remains the same for both genders in Italian.', type='text')]"
I am Honduran.,Sono honduregno.,Sono honduregna.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono honduregno."" (for a male)\n""Sono honduregna."" (for a female)\n\nThe word ""honduregno"" (masculine) or ""honduregna"" (feminine) is the adjective describing someone from Honduras.', type='text')]"
I am Croatian.,Sono croato.,Sono croata.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono croato."" (if you\'re a male)\n""Sono croata."" (if you\'re a female)', type='text')]"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono haitiano."" (if you\'re male)\n""Sono haitiana."" (if you\'re female)\n\nNote: The word changes slightly depending on the gender of the speaker.', type='text')]"
I am Hungarian.,,,Sono ungherese.,"[TextBlock(text='In Italian, ""I am Hungarian"" would be:\n\n""Sono ungherese.""\n\nPronunciation: soh-noh oon-geh-reh-seh', type='text')]"
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono indonesiano."" (if you\'re male)\n""Sono indonesiana."" (if you\'re female)', type='text')]"
I am Indian.,Sono indiano.,Sono indiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono indiano."" (if you\'re a male)\n""Sono indiana."" (if you\'re a female)', type='text')]"
I am Irish.,,,Sono irlandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono irlandese.""\n\nPronunciation: ""SO-no ee-rlan-DEH-seh""', type='text')]"
I am Iranian.,Sono iraniano.,Sono iraniana.,,"[TextBlock(text='In Italian, ""I am Iranian"" would be:\n\n""Sono iraniano."" (if you\'re a male)\n""Sono iraniana."" (if you\'re a female)', type='text')]"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono iracheno."" (for a male)\n""Sono irachena."" (for a female)', type='text')]"
I am Icelander.,,,Sono islandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono islandese.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Islandese"" means ""Icelander"" or ""Icelandic""', type='text')]"
I am Israeli.,Sono israeliano.,Sono israeliana.,,"[TextBlock(text='In Italian, ""I am Israeli"" would be:\n\n""Sono israeliano"" (for a male)\n""Sono israeliana"" (for a female)', type='text')]"
I am Italian.,Sono italiano.,Sono italiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono italiano."" (if you\'re a male)\n""Sono italiana."" (if you\'re a female)', type='text')]"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono giamaicano."" (if you\'re male)\n""Sono giamaicana."" (if you\'re female)', type='text')]"
I am Jordanian.,Sono giordano.,Sono giordana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono giordano."" (if you\'re male)\n""Sono giordana."" (if you\'re female)', type='text')]"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono giapponese.""\n\nPronunciation: ""SO-no jah-po-NEH-seh""', type='text')]"
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"[TextBlock(text='In Italian, ""I am Kazakhstani"" would be:\n\n""Sono kazako"" (if you\'re male)\n""Sono kazaka"" (if you\'re female)\n\nNote: The word ""kazako/kazaka"" refers to someone from Kazakhstan.', type='text')]"
I am Kenyan.,,,Sono keniota.,"[TextBlock(text='Here\'s the translation:\n\n""Sono keniota.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Keniota"" is the Italian word for ""Kenyan""', type='text')]"
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono kirghiso."" (if you\'re male)\n""Sono kirghisa."" (if you\'re female)\n\nNote: ""Kirghiz"" refers to someone from Kyrgyzstan, and the translation uses the appropriate gender-specific adjective in Italian.', type='text')]"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono cambogiano."" (if you\'re male)\n""Sono cambogiana."" (if you\'re female)', type='text')]"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono di Kiribati."" (literally: ""I am from Kiribati"")\n\nor\n\n""Sono kiribatiano/a."" (depending on the gender of the speaker)\n\nNote: ""I-Kiribati"" refers to the people from Kiribati, an island nation in the central Pacific Ocean. In Italian, it\'s more natural to say you are ""from"" a place or specify your nationality.', type='text')]"
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono di San Cristoforo e Nevis"" or ""Sono di Saint Kitts e Nevis""\n\nNote: Both versions are acceptable. The first uses the local name (San Cristoforo), while the second uses the English name (Saint Kitts).', type='text')]"
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono sudcoreano."" (if you\'re male)\n""Sono sudcoreana."" (if you\'re female)', type='text')]"
I am Kuwaiti.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Sono kuwaitiano."" (for a male)\n""Sono kuwaitiana."" (for a female)\n\nNote: ""Kuwaitiano/a"" is the Italian term for someone from Kuwait.', type='text')]"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"[TextBlock(text='In Italian, ""I am Laotian"" would be:\n\n""Sono laotiano."" (if you\'re male)\n""Sono laotiana."" (if you\'re female)', type='text')]"
I am Lebanese.,,,Sono libanese.,"[TextBlock(text='In Italian, ""I am Lebanese"" would be:\n\n""Sono libanese.""\n\nPronunciation: ""soh-noh lee-bah-neh-seh""', type='text')]"
I am Liberian.,Sono liberiano.,Sono liberiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono liberiano."" (for a male speaker)\n""Sono liberiana."" (for a female speaker)', type='text')]"
I am Libyan.,Sono libico.,Sono libica.,,"[TextBlock(text='In Italian, ""I am Libyan"" would be:\n\n""Sono libico."" (if you\'re male)\n""Sono libica."" (if you\'re female)', type='text')]"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono di Santa Lucia.""\n\nNote: This literally means ""I am from Saint Lucia"" and is the most natural way to express this in Italian.', type='text')]"
I am Liechtensteiner.,,,Sono liechtensteinese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono del Liechtenstein"" or ""Sono liechtensteinese""\n\nBoth translations are correct. The first one literally means ""I am from Liechtenstein,"" while the second one uses the specific adjective for someone from Liechtenstein.', type='text')]"
I am Sri Lankan.,,,Sono sri lankese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono dello Sri Lanka."" (literally: ""I am from Sri Lanka"")\n\nor\n\n""Sono singalese."" (referring to the ethnicity)\n\nBoth are correct ways to express this in Italian.', type='text')]"
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"[TextBlock(text='In Italian, the translation would be:\n\n""Sono Mosotho.""\n\nNote: ""Mosotho"" is an ethnic term referring to a person from Lesotho, so it remains the same in the translation.', type='text')]"
I am Lithuanian.,Sono lituano.,Sono lituana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono lituano."" (if you\'re a male)\n""Sono lituana."" (if you\'re a female)', type='text')]"
I am Luxembourger.,,,Sono lussemburghese.,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono lussemburghese.""\n\nPronunciation: soh-noh loo-sem-boor-geh-seh', type='text')]"
I am Latvian.,Sono lettone.,Sono lettona.,,"[TextBlock(text='In Italian, ""I am Latvian"" would be:\n\n""Sono lettone."" (if you\'re male)\n""Sono lettone."" (if you\'re female)\n\nNote: The word ""lettone"" is the Italian word for ""Latvian"" when referring to a person\'s nationality.', type='text')]"
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono marocchino."" (if you\'re male)\n""Sono marocchina."" (if you\'re female)', type='text')]"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"[TextBlock(text='In Italian, ""I am Monegasque"" would be:\n\n""Sono monegasco."" (if you\'re male)\n""Sono monegasca."" (if you\'re female)', type='text')]"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono moldavo."" (if you\'re male)\n""Sono moldava."" (if you\'re female)', type='text')]"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"[TextBlock(text='In Italian, ""I am Malagasy"" would be translated as:\n\n""Sono Malgascio."" (if you are male)\n""Sono Malgascia."" (if you are female)', type='text')]"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono maldiviano."" (if you\'re male)\n""Sono maldiviana."" (if you\'re female)\n\nNote: ""Maldiviano/a"" refers to someone from the Maldives.', type='text')]"
I am Mexican.,Sono messicano.,Sono messicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono messicano."" (if you\'re a male)\n""Sono messicana."" (if you\'re a female)', type='text')]"
I am Marshallese.,,,Sono marshallese.,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono marshallese.""\n\nNote: Since ""Marshallese"" refers to a specific nationality or ethnic group from the Marshall Islands, it remains the same in Italian, just with Italian pronunciation.', type='text')]"
I am Macedonian.,,,Sono macedone.,"[TextBlock(text='Here\'s the translation:\n\n""Sono macedone.""\n\nNote:\n- ""Sono"" means ""I am""\n- ""Macedone"" is the Italian word for ""Macedonian"" (referring to nationality)', type='text')]"
I am Malian.,Sono maliano.,Sono maliana.,,"[TextBlock(text='In Italian, ""I am Malian"" would be:\n\n""Sono maliano."" (if you\'re male)\n""Sono maliana."" (if you\'re female)', type='text')]"
I am Maltese.,,,Sono maltese.,"[TextBlock(text='In Italian, ""I am Maltese"" would be:\n\n""Sono maltese.""', type='text')]"
I am Burmese.,Sono birmano.,Sono birmese.,,"[TextBlock(text='In Italian, ""I am Burmese"" would be:\n\n""Sono birmano."" (if you are male)\n""Sono birmana."" (if you are female)', type='text')]"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"[TextBlock(text='In Italian, ""I am Montenegrin"" would be:\n\n""Sono montenegrino."" (if you\'re male)\n""Sono montenegrina."" (if you\'re female)', type='text')]"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono mongolo."" (if you\'re male)\n""Sono mongola."" (if you\'re female)', type='text')]"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono mozambicano."" (if you\'re a male)\n""Sono mozambicana."" (if you\'re a female)', type='text')]"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono mauritano."" (if you\'re male)\n""Sono mauritana."" (if you\'re female)', type='text')]"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"[TextBlock(text='In Italian, ""I am Mauritian"" would be:\n\n""Sono mauriziano"" (if you are male)\n""Sono mauriziana"" (if you are female)\n\nThe word changes slightly depending on the gender of the speaker.', type='text')]"
I am Malawian.,Sono malawiano.,Sono malawiana.,,"[TextBlock(text='In Italian, ""I am Malawian"" would be:\n\n""Sono malawiano"" (for a male speaker)\nor\n""Sono malawiana"" (for a female speaker)', type='text')]"
I am Malaysian.,,,Sono malese.,"[TextBlock(text='In Italian, ""I am Malaysian"" would be:\n\n""Sono malese.""', type='text')]"
I am Namibian.,Sono namibiano.,Sono namibiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono namibiano."" (if you\'re male)\n""Sono namibiana."" (if you\'re female)', type='text')]"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"[TextBlock(text='In Italian, the translation would be:\n\n""Sono nigerino.""\n\nNote: ""Nigerien"" refers to someone from Niger (a country in West Africa), which is different from ""Nigerian"" (someone from Nigeria). The Italian translation reflects this distinction.', type='text')]"
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono nigeriano."" (if you\'re a male)\n""Sono nigeriana."" (if you\'re a female)', type='text')]"
