eng,spa_m,spa_f,spa_n,output
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"[TextBlock(text='In Spanish, ""I am Azerbaijani"" is translated as:\n\nSoy azerbaiyano. (masculine)\nSoy azerbaiyana. (feminine)\n\nThe word ""azerbaiyano"" or ""azerbaiyana"" is the Spanish demonym for a person from Azerbaijan, with the ending changing depending on the gender of the speaker.', type='text')]"
I am Burundian.,Soy burundés.,Soy burundésa.,,"[TextBlock(text='In Spanish, ""I am Burundian"" is:\n\nSoy burundés. (masculine)\nSoy burundesa. (feminine)\n\nThe adjective ""Burundian"" in Spanish changes depending on the gender of the person. If you are a man, you would say ""burundés,"" and if you are a woman, you would say ""burundesa.""', type='text')]"
I am Belgian.,,,Soy belga.,"[TextBlock(text='In Spanish, ""I am Belgian"" is:\n\nSoy belga.\n\nHere\'s the breakdown:\n- ""Soy"" is the first-person singular present tense conjugation of the verb ""ser,"" which means ""to be.""\n- ""Belga"" is the Spanish word for ""Belgian,"" used for both masculine and feminine singular forms.', type='text')]"
I am Beninese.,Soy beninés.,Soy beninésa.,,"[TextBlock(text='In Spanish, ""I am Beninese"" is:\n\nSoy beninés. (masculine)\nSoy beninesa. (feminine)\n\nIn Spanish, adjectives of nationality usually have both a masculine and a feminine form, depending on the gender of the person being referred to.', type='text')]"
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"[TextBlock(text='In Spanish, ""I am Burkinabe"" is translated as:\n\nSoy burkinés.\n\nNote: In Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Bangladeshi.,,,Soy bangladesí.,"[TextBlock(text='Sure! The Spanish translation of ""I am Bangladeshi"" is:\n\nSoy bangladesí.\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"[TextBlock(text='In Spanish, ""I am Bulgarian"" is:\n\nSoy búlgaro. (masculine)\nSoy búlgara. (feminine)\n\nThe adjective ""búlgaro/a"" (Bulgarian) changes depending on the gender of the speaker. If you are a man, you would say ""Soy búlgaro,"" and if you are a woman, you would say ""Soy búlgara.""', type='text')]"
I am Bahraini.,,,Soy bareiní.,"[TextBlock(text='In Spanish, ""I am Bahraini"" is translated as:\n\nSoy bareiní. (masculine)\nSoy bareiní. (feminine)\n\nIn Spanish, the word ""bareiní"" is used as both the masculine and feminine form of the adjective for someone from Bahrain.', type='text')]"
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"[TextBlock(text='In Spanish, ""I am Bahamian"" can be translated as:\n\nSoy bahameño. (masculine)\nSoy bahameña. (feminine)\n\nThe adjective ""bahameño/a"" is used to describe someone from the Bahamas. The ending changes depending on the gender of the person speaking.', type='text')]"
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"[TextBlock(text='In Spanish, ""I am Bosnian"" is translated as:\n\nSoy bosnio. (masculine)\nSoy bosnia. (feminine)\n\nThe adjective ""bosnio/bosnia"" changes depending on the gender of the speaker.', type='text')]"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"[TextBlock(text='In Spanish, ""I am Belarusian"" is translated as:\n\nSoy bielorruso. (masculine)\nSoy bielorrusa. (feminine)\n\nThe adjective ""bielorruso/a"" agrees with the gender of the speaker. If you are a man, you would say ""Soy bielorruso,"" and if you are a woman, you would say ""Soy bielorrusa.""', type='text')]"
I am Belizean.,Soy beliceño.,Soy beliceña.,,"[TextBlock(text='In Spanish, ""I am Belizean"" can be translated as:\n\nSoy beliceño. (masculine)\nSoy beliceña. (feminine)\n\nThe adjective ""beliceño/a"" agrees with the gender of the speaker. If you are a man, you would say ""Soy beliceño,"" and if you are a woman, you would say ""Soy beliceña.""', type='text')]"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"[TextBlock(text='In Spanish, ""I am Bolivian"" is translated as:\n\nSoy boliviano. (masculine)\nSoy boliviana. (feminine)\n\nThe ending of the adjective ""boliviano/a"" changes depending on the gender of the speaker. If the speaker is male, use ""boliviano,"" and if the speaker is female, use ""boliviana.""', type='text')]"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"[TextBlock(text='In Spanish, ""I am Brazilian"" is:\n\nSoy brasileño. (masculine)\nSoy brasileña. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy brasileño,"" and if you are a woman, you would say ""Soy brasileña.""', type='text')]"
I am Barbadian.,,,Soy barbadense.,"[TextBlock(text='In Spanish, ""I am Barbadian"" can be translated as:\n\nSoy barbadense.\n\nor\n\nSoy de Barbados.\n\nBoth translations convey the same meaning, with the latter being more literal, as it translates to ""I am from Barbados.""', type='text')]"
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"[TextBlock(text='Sure! The Spanish translation of ""I am Bruneian"" is:\n\nSoy bruneano. (masculine)\nSoy bruneana. (feminine)\n\nIn Spanish, adjectives typically change their endings to match the gender of the person they are describing. So, if you are a man, you would say ""Soy bruneano,"" and if you are a woman, you would say ""Soy bruneana.""', type='text')]"
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"[TextBlock(text='In Spanish, ""I am Bhutanese"" is translated as:\n\nSoy butanés. (masculine)\nSoy butanesa. (feminine)\n\nIn Spanish, adjectives of nationality typically have different endings depending on the gender of the person they are referring to. If you are a man, you would say ""Soy butanés,"" and if you are a woman, you would say ""Soy butanesa.""', type='text')]"
I am Motswana.,Soy botsuano.,Soy botsuana.,,"[TextBlock(text='In Spanish, ""I am Motswana"" can be translated as:\n\nSoy motswana.\n\nNote that ""motswana"" is not a Spanish word, but rather a term used to refer to a person from Botswana or a member of the Tswana people. The word is borrowed directly from the Tswana language and remains unchanged in the Spanish translation.', type='text')]"
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"[TextBlock(text='In Spanish, ""I am Central African"" can be translated as:\n\nSoy centroafricano. (masculine)\nSoy centroafricana. (feminine)\n\nThe adjective ""centroafricano/a"" agrees with the gender of the speaker.', type='text')]"
I am Canadian.,,,Soy canadiense.,"[TextBlock(text='In Spanish, ""I am Canadian"" is:\n\nSoy canadiense.', type='text')]"
I am Swiss.,Soy suizo.,Soy suiza.,,"[TextBlock(text='In Spanish, ""I am Swiss"" is translated as:\n\nSoy suizo. (masculine)\nSoy suiza. (feminine)\n\nThe adjective ""suizo/suiza"" (Swiss) changes depending on the gender of the speaker. If the speaker is male, use ""suizo,"" and if the speaker is female, use ""suiza.""', type='text')]"
I am Chilean.,Soy chileno.,Soy chilena.,,"[TextBlock(text='In Spanish, ""I am Chilean"" is translated as:\n\nSoy chileno. (masculine)\nSoy chilena. (feminine)\n\nThe ending of the adjective ""chileno/chilena"" changes depending on the gender of the speaker. If the speaker is male, they would say ""Soy chileno,"" and if the speaker is female, they would say ""Soy chilena.""', type='text')]"
I am Chinese.,Soy chino.,Soy china.,,"[TextBlock(text='In Spanish, ""I am Chinese"" is:\n\nSoy chino. (masculine)\nSoy china. (feminine)\n\nThe word ""chino"" is used when the speaker is male, and ""china"" is used when the speaker is female.', type='text')]"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"[TextBlock(text='In Spanish, ""I am Ivorian"" is translated as:\n\nSoy marfileño. (masculine)\nSoy marfileña. (feminine)\n\nIn Spanish, adjectives of nationality usually have both a masculine and a feminine form, depending on the gender of the person being referred to. ""Marfileño"" is the masculine form, and ""marfileña"" is the feminine form, both referring to someone from Côte d\'Iv', type='text')]"
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,"[TextBlock(text='In Spanish, ""I am Cameroonian"" is translated as:\n\nSoy camerunés. (masculine)\nSoy camerunesa. (feminine)\n\nThe adjective ""camerunés"" or ""camerunesa"" changes depending on the gender of the speaker.', type='text')]"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"[TextBlock(text='In Spanish, ""I am Congolese"" can be translated as:\n\nSoy congoleño. (masculine)\nSoy congoleña. (feminine)\n\nThe adjective ""congoleño/a"" agrees with the gender of the speaker. Use ""congoleño"" if you identify as male and ""congoleña"" if you identify as female.', type='text')]"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"[TextBlock(text='In Spanish, ""I am Congolese"" is:\n\nSoy congoleño. (masculine)\nSoy congoleña. (feminine)\n\nThe adjective ""congoleño/a"" agrees with the gender of the speaker.', type='text')]"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"[TextBlock(text='In Spanish, ""I am Colombian"" is translated as:\n\nSoy colombiano. (masculine)\nSoy colombiana. (feminine)\n\nThe ending of the adjective ""colombiano/a"" changes depending on the gender of the speaker. If the speaker is male, they would say ""colombiano,"" and if the speaker is female, they would say ""colombiana.""', type='text')]"
I am Comoran.,,,Soy comorense.,"[TextBlock(text='The Spanish translation of ""I am Comoran"" is:\n\nSoy comorense.\n\nNote:\n- ""Comorense"" is the Spanish adjective used to describe someone or something from the Comoros, an archipelago nation located in the Indian Ocean off the coast of East Africa.', type='text')]"
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"[TextBlock(text='In Spanish, ""I am Cape Verdian"" can be translated as:\n\nSoy caboverdiano. (masculine)\nSoy caboverdiana. (feminine)\n\nThe adjective ""caboverdiano/a"" is used to describe someone or something from Cape Verde (Cabo Verde in Spanish).', type='text')]"
I am Costa Rican.,,,Soy costarricense.,"[TextBlock(text='In Spanish, ""I am Costa Rican"" is translated as:\n\nSoy costarricense.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""costarricense"" means ""Costa Rican""\n\nIn Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Cuban.,Soy cubano.,Soy cubana.,,"[TextBlock(text='In Spanish, ""I am Cuban"" is translated as:\n\nSoy cubano. (masculine)\nSoy cubana. (feminine)\n\nThe adjective ""cubano/cubana"" changes depending on the gender of the speaker. If the speaker is male, they would say ""Soy cubano,"" and if the speaker is female, they would say ""Soy cubana.""', type='text')]"
I am Cypriot.,,,Soy chipriota.,"[TextBlock(text='In Spanish, ""I am Cypriot"" can be translated as:\n\nSoy chipriota.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""chipriota"" means ""Cypriot"" (a person from Cyprus)\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Czech.,Soy checo.,Soy checa.,,"[TextBlock(text='In Spanish, ""I am Czech"" is translated as:\n\nSoy checo. (masculine)\nSoy checa. (feminine)\n\nIn Spanish, adjectives of nationality change their ending to match the gender of the person they are referring to. If you are a man, you would say ""Soy checo,"" and if you are a woman, you would say ""Soy checa.""', type='text')]"
I am German.,Soy alemán.,,,"[TextBlock(text='In Spanish, ""I am German"" is:\n\nSoy alemán. (if you are a man)\nSoy alemana. (if you are a woman)\n\nIn Spanish, adjectives of nationality change their ending to match the gender of the person they are describing.', type='text')]"
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"[TextBlock(text='The sentence ""I am Djibouti"" translated to Spanish is:\n\nYo soy Djibouti.\n\nHowever, it\'s important to note that ""Djibouti"" is the name of a country in East Africa, and it remains the same in both English and Spanish. If you meant to say that you are from Djibouti or that you are a Djiboutian (a person from Djibouti), you woul', type='text')]"
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"[TextBlock(text='In Spanish, ""I am Dominican"" can be translated as:\n\nSoy dominicano. (masculine)\nSoy dominicana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy dominicano,"" and if you are a woman, you would say ""Soy dominicana.""', type='text')]"
I am Danish.,Soy danés.,Soy danésa.,,"[TextBlock(text='In Spanish, ""I am Danish"" is:\n\nSoy danés. (masculine)\nSoy danesa. (feminine)\n\nThe word ""danés"" is used if you are a male, and ""danesa"" if you are a female.', type='text')]"
I am Dominican.,Soy dominicano.,Soy dominicana.,,"[TextBlock(text='In Spanish, ""I am Dominican"" can be translated as:\n\nSoy dominicano. (masculine)\nSoy dominicana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy dominicano,"" and if you are a woman, you would say ""Soy dominicana.""', type='text')]"
I am Algerian.,Soy argelino.,Soy argelina.,,"[TextBlock(text='In Spanish, ""I am Algerian"" is translated as:\n\nSoy argelino. (masculine)\nSoy argelina. (feminine)\n\nThe adjective changes depending on the gender of the speaker. Use ""argelino"" if you identify as male and ""argelina"" if you identify as female.', type='text')]"
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"[TextBlock(text='In Spanish, ""I am Ecuadorean"" is translated as:\n\nSoy ecuatoriano. (masculine)\nSoy ecuatoriana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""ecuatoriano,"" and if you are a woman, you would say ""ecuatoriana.""', type='text')]"
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"[TextBlock(text='In Spanish, ""I am Egyptian"" is:\n\nSoy egipcio. (masculine)\nSoy egipcia. (feminine)\n\nThe adjective ""egipcio/egipcia"" (Egyptian) changes depending on the gender of the speaker. If the speaker is male, use ""egipcio,"" and if the speaker is female, use ""egipcia.""', type='text')]"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"[TextBlock(text='In Spanish, ""I am Eritrean"" is:\n\nSoy eritreo. (masculine)\nSoy eritrea. (feminine)\n\nThe adjective ""eritreo/eritrea"" agrees with the gender of the speaker.', type='text')]"
I am Spanish.,Soy español.,,,"[TextBlock(text='Sure, here\'s the translation of ""I am Spanish"" in Spanish:\n\nSoy español. (if you are a male)\nSoy española. (if you are a female)\n\nIn Spanish, adjectives typically agree with the gender of the person or object they describe. In this case, ""español"" is used for a male speaker, while ""española"" is used for a female speaker.', type='text')]"
I am Estonian.,Soy estonio.,Soy estona.,,"[TextBlock(text='In Spanish, ""I am Estonian"" is:\n\nSoy estonio. (masculine)\nSoy estonia. (feminine)\n\nIn Spanish, adjectives of nationality typically match the gender of the person they are describing. So, a man would say ""Soy estonio,"" while a woman would say ""Soy estonia.""', type='text')]"
I am Ethiopian.,,,Soy etíope.,"[TextBlock(text='In Spanish, ""I am Ethiopian"" is:\n\nSoy etíope.', type='text')]"
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"[TextBlock(text='In Spanish, ""I am Finnish"" is:\n\nSoy finlandés. (masculine)\nSoy finlandesa. (feminine)\n\nThe word ""finlandés"" is used when the speaker is male, and ""finlandesa"" is used when the speaker is female.', type='text')]"
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"[TextBlock(text='In Spanish, ""I am Fijian"" is translated as:\n\nSoy fiyiano. (masculine)\nSoy fiyiana. (feminine)\n\nIn Spanish, adjectives of nationality typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Soy fiyiano,"" and if you are a woman, you would say ""Soy fiyiana.""', type='text')]"
I am French.,Soy francés.,Soy francésa.,,"[TextBlock(text='In Spanish, ""I am French"" is:\n\nSoy francés. (masculine)\nSoy francesa. (feminine)\n\nThe adjective ""francés/francesa"" (French) agrees in gender with the subject. If the speaker is male, you use ""francés,"" and if the speaker is female, you use ""francesa.""', type='text')]"
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"[TextBlock(text='The Spanish translation of ""I am Micronesian"" is:\n\nSoy micronesio. (masculine)\nSoy micronesia. (feminine)\n\nIn Spanish, adjectives typically change their endings to match the gender of the person they are describing.', type='text')]"
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"[TextBlock(text='In Spanish, ""I am Gabonese"" is translated as:\n\nSoy gabonés. (masculine)\nSoy gabonesa. (feminine)\n\nThe adjective ""gabonés"" (masculine) or ""gabonesa"" (feminine) is used to describe someone from Gabon or of Gabonese nationality.', type='text')]"
I am British.,Soy británico.,Soy británia.,,"[TextBlock(text='In Spanish, ""I am British"" is:\n\nSoy británico. (masculine)\nSoy británica. (feminine)\n\nThe adjective ""británico/británica"" changes depending on the gender of the speaker.', type='text')]"
I am Georgian.,Soy georgiano.,Soy georgiana.,,"[TextBlock(text='In Spanish, ""I am Georgian"" is translated as:\n\nSoy georgiano. (masculine)\nSoy georgiana. (feminine)\n\nThe adjective ""georgiano/georgiana"" agrees with the gender of the speaker. If you are a man, you would say ""Soy georgiano,"" and if you are a woman, you would say ""Soy georgiana.""', type='text')]"
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"[TextBlock(text='In Spanish, ""I am Ghanaian"" is translated as:\n\nSoy ghanés. (masculine)\nSoy ghanesa. (feminine)\n\nIn Spanish, adjectives of nationality usually agree with the gender of the person they refer to. If you are a man, you would say ""Soy ghanés,"" and if you are a woman, you would say ""Soy ghanesa.""', type='text')]"
I am Guinean.,Soy guineano.,Soy guineana.,,"[TextBlock(text='In Spanish, ""I am Guinean"" can be translated as:\n\nSoy guineano. (masculine)\nSoy guineana. (feminine)\n\nThe adjective ""guineano/a"" changes depending on the gender of the speaker. Use ""guineano"" if you identify as male and ""guineana"" if you identify as female.', type='text')]"
I am Gambian.,Soy gambiano.,Soy gambiana.,,"[TextBlock(text='In Spanish, ""I am Gambian"" is translated as:\n\nSoy gambiano. (masculine)\nSoy gambiana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy gambiano,"" and if you are a woman, you would say ""Soy gambiana.""', type='text')]"
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"[TextBlock(text='In Spanish, ""I am Guinea-Bissauan"" can be translated as:\n\nSoy de Guinea-Bisáu.\n\nor\n\nSoy guineano/guineana de Guinea-Bisáu.\n\nNote: ""Guineano"" is the masculine form, and ""guineana"" is the feminine form of the adjective.', type='text')]"
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"[TextBlock(text='In Spanish, ""I am Equatorial Guinean"" can be translated as:\n\nSoy ecuatoguineano. (masculine)\nSoy ecuatoguineana. (feminine)\n\nIn Spanish, adjectives of nationality usually have different forms depending on the gender of the person being referred to. In this case, ""ecuatoguineano"" is used for a male, and ""ecuatoguineana"" is used for a', type='text')]"
I am Greek.,Soy griego.,Soy griega.,,"[TextBlock(text='In Spanish, ""I am Greek"" is translated as:\n\nSoy griego. (masculine)\nSoy griega. (feminine)\n\nThe adjective ""griego/griega"" changes depending on the gender of the speaker. If the speaker is male, they would say ""Soy griego,"" and if the speaker is female, they would say ""Soy griega.""', type='text')]"
I am Grenadian.,Soy granadino.,Soy granadina.,,"[TextBlock(text='In Spanish, ""I am Grenadian"" can be translated as:\n\nSoy granadino. (masculine)\nSoy granadina. (feminine)\n\nNote that in Spanish, adjectives of nationality usually match the gender of the person they refer to. ""Granadino"" is the masculine form, and ""granadina"" is the feminine form.', type='text')]"
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"[TextBlock(text='In Spanish, ""I am Guatemalan"" is translated as:\n\nSoy guatemalteco. (masculine)\nSoy guatemalteca. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If the speaker is male, they would say ""guatemalteco,"" and if the speaker is female, they would say ""guatemalteca.""', type='text')]"
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"[TextBlock(text='In Spanish, ""I am Guyanese"" can be translated as:\n\nSoy guyanés. (masculine)\nSoy guyanesa. (feminine)\n\nThe adjective ""guyanés"" (masculine) or ""guyanesa"" (feminine) is used to describe someone from Guyana or of Guyanese nationality. The ending of the adjective changes depending on the gender of the person being referred to.', type='text')]"
I am Honduran.,Soy hondureño.,Soy hondureña.,,"[TextBlock(text='In Spanish, ""I am Honduran"" is translated as:\n\nSoy hondureño. (masculine)\nSoy hondureña. (feminine)\n\nThe ending of the adjective ""hondureño/a"" changes depending on the gender of the speaker. If the speaker is male, they would say ""hondureño,"" and if the speaker is female, they would say ""hondureña.""', type='text')]"
I am Croatian.,,,Soy croata.,"[TextBlock(text='In Spanish, ""I am Croatian"" is:\n\nSoy croata.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""croata"" means ""Croatian""', type='text')]"
I am Haitian.,Soy haitiano.,Soy haitiana.,,"[TextBlock(text='In Spanish, ""I am Haitian"" is translated as:\n\nSoy haitiano. (masculine)\nSoy haitiana. (feminine)\n\nThe adjective ""haitiano/haitiana"" changes depending on the gender of the speaker.', type='text')]"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"[TextBlock(text='In Spanish, ""I am Hungarian"" is:\n\nSoy húngaro. (masculine)\nSoy húngara. (feminine)\n\nThe adjective ""húngaro/a"" changes depending on the gender of the speaker. If you are a man, you would say ""Soy húngaro,"" and if you are a woman, you would say ""Soy húngara.""', type='text')]"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"[TextBlock(text='In Spanish, ""I am Indonesian"" is:\n\nSoy indonesio. (masculine)\nSoy indonesia. (feminine)\n\nThe adjective ""indonesio/indonesia"" changes depending on the gender of the speaker. If you are a man, you would say ""Soy indonesio,"" and if you are a woman, you would say ""Soy indonesia.""', type='text')]"
I am Indian.,Soy indio.,Soy india.,,"[TextBlock(text='In Spanish, ""I am Indian"" can be translated as:\n\nSoy indio. (masculine)\nSoy india. (feminine)\n\nIn Spanish, adjectives typically change their endings to match the gender of the person they are describing. So, if you are a man, you would say ""Soy indio,"" and if you are a woman, you would say ""Soy india.""', type='text')]"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"[TextBlock(text='In Spanish, ""I am Irish"" is translated as:\n\nSoy irlandés. (masculine)\nSoy irlandesa. (feminine)\n\nThe adjective ""irlandés"" changes depending on the gender of the speaker. If the speaker is male, you use ""irlandés,"" and if the speaker is female, you use ""irlandesa.""', type='text')]"
I am Iranian.,,,Soy iraní.,"[TextBlock(text='In Spanish, ""I am Iranian"" is:\n\nSoy iraní.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""Iraní"" means ""Iranian""\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Iraqi.,,,Soy iraquí.,"[TextBlock(text='In Spanish, ""I am Iraqi"" is translated as:\n\nSoy iraquí.', type='text')]"
I am Icelander.,Soy islandés.,Soy islandésa.,,"[TextBlock(text='The Spanish translation of ""I am Icelander"" is:\n\nSoy islandés. (masculine)\nSoy islandesa. (feminine)\n\nIn Spanish, the adjective of nationality changes depending on the gender of the person. If you are a man, you would say ""islandés,"" and if you are a woman, you would say ""islandesa.""', type='text')]"
I am Israeli.,,,Soy israelí.,"[TextBlock(text='In Spanish, ""I am Israeli"" can be translated as:\n\nSoy israelí.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""israelí"" means ""Israeli""\n\nNote that ""israelí"" is both the masculine and feminine form of the adjective, so it can be used regardless of the speaker\'s gender.', type='text')]"
I am Italian.,Soy italiano.,Soy italiana.,,"[TextBlock(text='In Spanish, ""I am Italian"" is:\n\nSoy italiano. (masculine)\nSoy italiana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If the speaker is male, they would say ""Soy italiano,"" and if the speaker is female, they would say ""Soy italiana.""', type='text')]"
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"[TextBlock(text='In Spanish, ""I am Jamaican"" is translated as:\n\nSoy jamaicano. (masculine)\nSoy jamaicana. (feminine)\n\nThe ending of the adjective ""jamaicano/a"" changes depending on the gender of the speaker. If the speaker is male, use ""jamaicano,"" and if the speaker is female, use ""jamaicana.""', type='text')]"
I am Jordanian.,Soy jordano.,Soy jordana.,,"[TextBlock(text='In Spanish, ""I am Jordanian"" is translated as:\n\nSoy jordano. (masculine)\nSoy jordana. (feminine)\n\nThe word ""jordano"" is used if you identify as male, and ""jordana"" if you identify as female.', type='text')]"
I am Japanese.,Soy japonés.,Soy japonésa.,,"[TextBlock(text='In Spanish, ""I am Japanese"" is:\n\nSoy japonés. (if you are a male)\nSoy japonesa. (if you are a female)\n\nIn Spanish, adjectives of nationality change their ending to match the gender of the person they are describing.', type='text')]"
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,"[TextBlock(text='In Spanish, ""I am Kazakhstani"" is translated as:\n\nSoy kazajo/a.\n\nNote: In Spanish, the adjective ""kazajo"" is used for a male Kazakhstani person, while ""kazaja"" is used for a female Kazakhstani person. If you want to be gender-neutral, you can say ""Soy de Kazajistán,"" which means ""I am from Kazakhstan.""', type='text')]"
I am Kenyan.,,,Soy keniata.,"[TextBlock(text='In Spanish, ""I am Kenyan"" is translated as:\n\nSoy keniano. (masculine)\nSoy keniana. (feminine)\n\nThe adjective ""keniano/keniana"" agrees with the gender of the speaker. If you are a man, you would say ""Soy keniano,"" and if you are a woman, you would say ""Soy keniana.""', type='text')]"
