eng,fra_m,fra_f,fra_n,output
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"The translation would be:
""Je suis Motswana""

Note: ""Motswana"" is kept the same as it is the singular demonym for a person from Botswana. (The plural form is ""Batswana"")."
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"The translation is:

""Je suis Centrafricain(e)""

Note: Use ""Centrafricain"" if you\'re male and ""Centrafricaine"" if you\'re female."
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"Je suis Canadien(ne).

Note: Use ""Canadien"" if you\'re male and ""Canadienne"" if you\'re female."
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"In French, ""I am Swiss"" translates to:

""Je suis Suisse""

Note: In French, nationalities are capitalized when used as nouns but not when used as adjectives. In this case, ""Suisse"" is being used as a noun, so it\'s capitalized."
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"In French, ""I am Chilean"" is:

""Je suis Chilien"" (if you are male)
or
""Je suis Chilienne"" (if you are female)

Note that in French, nationality adjectives change form based on gender."
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"In French, ""I am Chinese"" is:

""Je suis chinois(e)""

Note: Use ""chinois"" if you\'re male and ""chinoise"" if you\'re female."
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"The translation is:

""Je suis Ivoirien"" (if you are male)
""Je suis Ivoirienne"" (if you are female)

Note that the nationality adjective changes depending on the gender of the speaker in French."
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"In French, ""I am Cameroonian"" is:

""Je suis Camerounais"" (if you are male)
or
""Je suis Camerounaise"" (if you are female)"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"In French, ""I am Congolese"" can be translated as:

""Je suis Congolais(e)""

Note: Use ""Congolais"" if you are male and ""Congolaise"" if you are female."
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"In French, ""I am Congolese"" can be translated as:

""Je suis Congolais(e)""

Note: Use ""Congolais"" if you\'re male and ""Congolaise"" if you\'re female."
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"In French, ""I am Colombian"" is:

""Je suis Colombien"" (if you\'re male)
or
""Je suis Colombienne"" (if you\'re female)"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"The translation is:

""Je suis Comorien."" (if you\'re male)
""Je suis Comorienne."" (if you\'re female)

Note that the adjective for nationality changes depending on the gender of the speaker in French."
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"In French, ""I am Cape Verdian"" would be:

""Je suis Cap-Verdien"" (if you\'re male)
or
""Je suis Cap-Verdienne"" (if you\'re female)"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"In French, ""I am Costa Rican"" is:

""Je suis Costaricien(ne)""

Note: 
- Use ""Costaricien"" if you are male
- Use ""Costaricienne"" if you are female"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"In French, ""I am Cuban"" translates to:

""Je suis Cubain"" (if you are male)
or
""Je suis Cubaine"" (if you are female)"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"In French, ""I am Cypriot"" translates to:

""Je suis Chypriote"""
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"In French, ""I am Czech"" translates to:

""Je suis tchèque""

Note: In French, nationality adjectives are not capitalized as they are in English."
I am German.,Je suis Allemand.,Je suis Allemande.,,"In French, ""I am German"" translates to:

""Je suis allemand(e)""

Note: If you are male, use ""allemand""
If you are female, use ""allemande"""
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"""Je suis Djiboutien"" (if you\'re male)
or
""Je suis Djiboutienne"" (if you\'re female)

Note: This translation assumes you\'re saying you are from Djibouti (your nationality). If you literally mean ""I am Djibouti"" (as in, you are the country itself), it would be ""Je suis Djibouti."""
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"In French, ""I am Dominican"" can be translated as:

""Je suis Dominicain(e)""

Note: 
- Use ""Dominicain"" if you are a male
- Use ""Dominicaine"" if you are a female"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"In French, ""I am Danish"" translates to:

""Je suis danois"" (if you are male)
or
""Je suis danoise"" (if you are female)"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"In French, ""I am Dominican"" can be translated as:

Je suis Dominicain(e)

Note: 
- Use ""Dominicain"" if you are male
- Use ""Dominicaine"" if you are female"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"In French, ""I am Algerian"" is:

""Je suis Algérien"" (if you are male)
or
""Je suis Algérienne"" (if you are female)"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"In French, ""I am Ecuadorean"" translates to:

""Je suis Équatorien"" (if you are male)
or
""Je suis Équatorienne"" (if you are female)"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"In French, ""I am Egyptian"" is:

""Je suis égyptien"" (if you\'re male)
or
""Je suis égyptienne"" (if you\'re female)"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"In French, ""I am Eritrean"" is:

""Je suis Érythréen(ne)""

Note: Use ""Érythréen"" if you\'re male and ""Érythréenne"" if you\'re female."
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"In French, ""I am Spanish"" translates to:

""Je suis espagnol(e)""

Note: If you are male, use ""espagnol""
If you are female, use ""espagnole"""
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"In French, ""I am Estonian"" translates to:

""Je suis Estonien"" (if you are male)
or
""Je suis Estonienne"" (if you are female)"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"In French, ""I am Ethiopian"" translates to:

""Je suis éthiopien"" (if you are male)
or
""Je suis éthiopienne"" (if you are female)"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"In French, ""I am Finnish"" translates to:

""Je suis finlandais(e)""

Note: 
- Use ""finlandais"" if you are male
- Use ""finlandaise"" if you are female"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"In French, ""I am Fijian"" would be:

""Je suis Fidjien"" (if you are male)
or
""Je suis Fidjienne"" (if you are female)

Note that in French, nationality adjectives are gendered, so you use ""Fidjien"" for a male and ""Fidjienne"" for a female."
I am French.,Je suis Français.,Je suis Française.,,"Je suis français(e).

Note: Use ""français"" if you\'re male and ""française"" if you\'re female."
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"In French, ""I am Micronesian"" would be:

""Je suis Micronésien"" (if you are male)
or
""Je suis Micronésienne"" (if you are female)"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"In French, ""I am Gabonese"" is:

""Je suis Gabonais(e)""

Note: Use ""Gabonais"" if you\'re male and ""Gabonaise"" if you\'re female."
I am British.,Je suis Britannique.,Je suis Britannique.,,Je suis britannique.
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"In French, ""I am Georgian"" would be:

""Je suis Géorgien"" (if you are male)
or
""Je suis Géorgienne"" (if you are female)

Note that in French, nationalities are written with a capital letter when used as nouns, but with a lowercase letter when used as adjectives."
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,"In French, ""I am Ghanaian"" is:

""Je suis Ghanéen"" (if you are male)
or
""Je suis Ghanéenne"" (if you are female)"
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"In French, ""I am Guinean"" translates to:

""Je suis Guinéen(ne)""

Note: Use ""Guinéen"" if you are male and ""Guinéenne"" if you are female."
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,"In French, ""I am Gambian"" translates to:

""Je suis Gambien"" (if you are male)
or
""Je suis Gambienne"" (if you are female)"
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,"In French, ""I am Guinea-Bissauan"" would be:

""Je suis Bissau-Guinéen(ne)""

Note: Use ""Bissau-Guinéen"" if you\'re male and ""Bissau-Guinéenne"" if you\'re female."
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"In French, ""I am Equatorial Guinean"" would be:

""Je suis Équato-guinéen(ne)""

Note: Use ""Équato-guinéen"" if you\'re male and ""Équato-guinéenne"" if you\'re female."
I am Greek.,Je suis Grec.,Je suis Grecque.,,"In French, ""I am Greek"" translates to:

""Je suis grec"" (if you are male)
or
""Je suis grecque"" (if you are female)

Note that the word ""Greek"" (grec/grecque) is written with a lowercase letter in French, unlike in English."
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"In French, ""I am Grenadian"" would be:

""Je suis Grenadin(e)""

Note: Use ""Grenadin"" if you\'re male and ""Grenadine"" if you\'re female."
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,"In French, ""I am Guatemalan"" is:

""Je suis Guatémaltèque"""
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,"In French, ""I am Guyanese"" would be:

""Je suis Guyanais(e)""

Note: 
- Use ""Guyanais"" if you are male
- Use ""Guyanaise"" if you are female"
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"In French, ""I am Honduran"" is:

""Je suis Hondurien"" (if you\'re male)
or
""Je suis Hondurienne"" (if you\'re female)"
I am Croatian.,Je suis Croate.,Je suis Croate.,,"In French, ""I am Croatian"" is:

""Je suis Croate"""
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,"In French, ""I am Haitian"" is:

""Je suis Haïtien"" (if you are male)
or
""Je suis Haïtienne"" (if you are female)"
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,"In French, ""I am Hungarian"" is:

""Je suis hongrois(e)""

Note: Use ""hongrois"" if you\'re male and ""hongroise"" if you\'re female."
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"In French, ""I am Indonesian"" translates to:

""Je suis Indonésien"" (if you are male)
or
""Je suis Indonésienne"" (if you are female)"
I am Indian.,Je suis Indien.,Je suis Indienne.,,"In French, ""I am Indian"" translates to:

""Je suis Indien(ne)""

Note: 
- Use ""Indien"" if you are a male
- Use ""Indienne"" if you are a female"
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"In French, ""I am Irish"" translates to:

""Je suis Irlandais"" (if you are male)
or
""Je suis Irlandaise"" (if you are female)"
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"In French, ""I am Iranian"" translates to:

""Je suis Iranien"" (if you are male)
or
""Je suis Iranienne"" (if you are female)"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"In French, ""I am Iraqi"" translates to:

""Je suis Irakien"" (if you are male)
or
""Je suis Irakienne"" (if you are female)"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"The translation would be:

""Je suis Islandais"" (if you\'re male)
or
""Je suis Islandaise"" (if you\'re female)

Note that in French, nationality adjectives change form based on gender."
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"In French, ""I am Israeli"" translates to:

""Je suis Israélien"" (if you are male)
or
""Je suis Israélienne"" (if you are female)"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"In French, ""I am Italian"" is:

Je suis italien(ne)

Note: Use ""italien"" if you\'re male and ""italienne"" if you\'re female."
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"In French, ""I am Jamaican"" translates to:

""Je suis Jamaïcain(e)""

Note: Use ""Jamaïcain"" if you\'re male and ""Jamaïcaine"" if you\'re female."
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"In French, ""I am Jordanian"" is:

""Je suis Jordanien"" (if you are male)
or
""Je suis Jordanienne"" (if you are female)"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"In French, ""I am Japanese"" translates to:

""Je suis japonais(e)""

Note: 
- Use ""japonais"" if you are male
- Use ""japonaise"" if you are female"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"In French, ""I am Kazakhstani"" would be:

""Je suis kazakhstanais(e)""

Note: The ending changes based on the gender of the speaker:
- Use ""kazakhstanais"" if you\'re male
- Use ""kazakhstanaise"" if you\'re female"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"In French, ""I am Kenyan"" is:

""Je suis Kényan"" (if you are male)
or
""Je suis Kényane"" (if you are female)

Note that in French, nationality adjectives change form based on gender, and they are not capitalized as they are in English."
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"The translation would be:

""Je suis kirghize.""

Note that ""kirghize"" is spelled with a lowercase \'k\' in French, and it remains the same for both masculine and feminine forms."
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"In French, ""I am Cambodian"" is:

""Je suis Cambodgien"" (if you\'re male)
or
""Je suis Cambodgienne"" (if you\'re female)"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"The translation would be:
""Je suis I-Kiribati.""

Note: I-Kiribati stays the same as it is the demonym (nationality) for people from Kiribati, and it\'s not translated into French."
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"The translation would be:
""Je suis Kittitien(ne) ou Névicien(ne)""

Note: 
- Use ""Kittitien"" if you\'re male, ""Kittitienne"" if you\'re female
- Use ""Névicien"" if you\'re male, ""Névicienne"" if you\'re female"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"In French, ""I am South Korean"" translates to:

""Je suis sud-coréen(ne)""

Note: 
- If you are male, use ""sud-coréen""
- If you are female, use ""sud-coréenne"""
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"In French, ""I am Kuwaiti"" translates to:

""Je suis Koweïtien"" (if you\'re male)
or
""Je suis Koweïtienne"" (if you\'re female)"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"In French, ""I am Laotian"" would be:

""Je suis laotien"" (if you are male)
or
""Je suis laotienne"" (if you are female)

Note that in French, nationality adjectives are gendered, so you need to use the appropriate form depending on whether you are male or female."
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"In French, ""I am Lebanese"" translates to:

""Je suis Libanais"" (if you\'re male)
or
""Je suis Libanaise"" (if you\'re female)"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"In French, ""I am Liberian"" translates to:

""Je suis Libérien"" (if you are male)
or
""Je suis Libérienne"" (if you are female)"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"In French, ""I am Libyan"" is:

""Je suis Libyen"" (if you are male)
or
""Je suis Libyenne"" (if you are female)"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"In French, ""I am Saint Lucian"" would be:

""Je suis Saint-Lucien(ne)""

Note: Use ""Saint-Lucien"" if you\'re male and ""Saint-Lucienne"" if you\'re female."
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"In French, ""I am Liechtensteiner"" would be:

""Je suis Liechtensteinois"" (if you are male)
or
""Je suis Liechtensteinoise"" (if you are female)"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"In French, ""I am Sri Lankan"" translates to:

""Je suis Sri Lankais"" (if you are male)
or
""Je suis Sri Lankaise"" (if you are female)"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"In French, this would be:
""Je suis Mosotho.""

Note: ""Mosotho"" is kept the same as it is the proper term for a person from Lesotho. The plural form is ""Basotho,"" but in this singular case, ""Mosotho"" remains unchanged."
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"In French, ""I am Lithuanian"" translates to:

""Je suis Lituanien(ne)""

Note: 
- Use ""Lituanien"" if you are male
- Use ""Lituanienne"" if you are female"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"In French, ""I am Luxembourger"" can be translated as:

""Je suis Luxembourgeois"" (if you are male)
or
""Je suis Luxembourgeoise"" (if you are female)"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"In French, ""I am Latvian"" is:

Je suis letton(ne)

Note: Use ""letton"" if you\'re male and ""lettonne"" if you\'re female."
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"In French, ""I am Moroccan"" is:

""Je suis Marocain"" (if you\'re male)
or
""Je suis Marocaine"" (if you\'re female)"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"In French, this would be:

""Je suis Monégasque.""

Note: ""Monégasque"" is the term for someone from Monaco, and it\'s the same spelling in both French and English, though the pronunciation differs."
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"In French, ""I am Moldovan"" would be:

""Je suis moldave""

Note: ""Moldave"" is used for both masculine and feminine forms in this context."
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"In French, ""I am Malagasy"" translates to:

""Je suis Malgache"""
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"In French, ""I am Maldivan"" would be:

""Je suis Maldivien"" (if you are male)
or
""Je suis Maldivienne"" (if you are female)"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"In French, ""I am Mexican"" translates to:

""Je suis mexicain(e)""

Note: If you are female, use ""mexicaine""
If you are male, use ""mexicain"""
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"In French, ""I am Marshallese"" would be:

""Je suis Marshallais(e)""

Note: Use ""Marshallais"" if you\'re male and ""Marshallaise"" if you\'re female."
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"In French, ""I am Macedonian"" can be translated as:

""Je suis macédonien"" (if you are male)
or
""Je suis macédonienne"" (if you are female)

Note that in French, nationality adjectives are written in lowercase letters, and there are different forms for male and female."
I am Malian.,Je suis Malien.,Je suis Malienne.,,"In French, ""I am Malian"" is:

""Je suis Malien"" (if you are male)
or
""Je suis Malienne"" (if you are female)"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"In French, ""I am Maltese"" translates to:

""Je suis maltais"" (if you are male)
""Je suis maltaise"" (if you are female)"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"In French, ""I am Burmese"" is:

""Je suis birman(e)""

Note: The ending changes depending on the gender of the speaker:
- Use ""birman"" if you\'re male
- Use ""birmane"" if you\'re female"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"In French, ""I am Montenegrin"" is:

""Je suis Monténégrin(e)""

Note: If you are female, use ""Monténégrine""
If you are male, use ""Monténégrin"""
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"In French, ""I am Mongolian"" translates to:

""Je suis Mongol"" (if you are male)
or
""Je suis Mongole"" (if you are female)"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"In French, ""I am Mozambican"" is:

""Je suis mozambicain(e)""

Note: 
- Use ""mozambicain"" if you are male
- Use ""mozambicaine"" if you are female"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"In French, ""I am Mauritanian"" is:

""Je suis Mauritanien"" (if you are male)
or
""Je suis Mauritanienne"" (if you are female)"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"In French, ""I am Mauritian"" translates to:

""Je suis Mauricien"" (if you are male)
or
""Je suis Mauricienne"" (if you are female)

Note that in French, nationality adjectives change form based on gender."
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"In French, ""I am Malawian"" would be:

""Je suis Malawien(ne)""

Note: 
- Use ""Malawien"" if you are male
- Use ""Malawienne"" if you are female"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"In French, ""I am Malaysian"" is:

""Je suis Malaisien"" (if you\'re male)
or
""Je suis Malaisienne"" (if you\'re female)"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"In French, ""I am Namibian"" translates to:

""Je suis Namibien"" (if you are male)
or
""Je suis Namibienne"" (if you are female)"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"Je suis Nigérien(ne)

Note: 
- Use ""Nigérien"" if you\'re male
- Use ""Nigérienne"" if you\'re female

Also note that ""Nigérien(ne)"" refers to someone from Niger, while ""Nigérian(e)"" refers to someone from Nigeria."
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"In French, ""I am Nigerian"" translates to:

""Je suis Nigérian(e)""

Note: 
- Use ""Nigérian"" if you\'re male
- Use ""Nigériane"" if you\'re female"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"Je suis nicaraguayen(ne)

Note: Use ""nicaraguayen"" if you\'re male and ""nicaraguayenne"" if you\'re female."
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"In French, ""I am Dutch"" translates to:

""Je suis néerlandais"" (if you are male)
or
""Je suis néerlandaise"" (if you are female)"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"In French, ""I am Norwegian"" is:

""Je suis norvégien"" (if you are male)
or
""Je suis norvégienne"" (if you are female)"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"In French, ""I am Nepalese"" is:

""Je suis népalais(e)""

Note: 
- Use ""népalais"" if you are male
- Use ""népalaise"" if you are female"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"In French, ""I am Nauruan"" would be:

""Je suis Nauruan(e)""

Note: If you are female, use ""Nauruane."" If you are male, use ""Nauruan."""
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"In French, this would be:

""Je suis Néo-Zélandais"" (if you\'re male)
or
""Je suis Néo-Zélandaise"" (if you\'re female)

Note that in French, nationalities are written with a capital letter when they\'re used as nouns (like in this case) but with a lowercase letter when they\'re used as adjectives."
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"In French, ""I am Omani"" translates to:

""Je suis omanais"" (if you are male)
or
""Je suis omanaise"" (if you are female)"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"In French, ""I am Pakistani"" translates to:

""Je suis pakistanais(e)""

Note: 
- Use ""pakistanais"" if you are male
- Use ""pakistanaise"" if you are female"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"Je suis Panaméen(ne)

Note: Use ""Panaméen"" if you\'re male and ""Panaméenne"" if you\'re female."
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"In French, ""I am Peruvian"" is:

""Je suis Péruvien"" (if you are male)
or
""Je suis Péruvienne"" (if you are female)"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"In French, ""I am Filipino"" translates to:

""Je suis philippin"" (if you\'re male)
""Je suis philippine"" (if you\'re female)

Note that in French, nationality adjectives are gendered, so the ending changes depending on whether the speaker is male or female."
