eng,it_m,it_f,it_n,extracted
I am Ghanaian.,,,Sono ghanese.,['Sono ghanese.']
I am Guinean.,Sono guineano.,Sono guineana.,,"['Sono guineano.', 'Sono guineana.']"
I am Gambian.,Sono gambiano.,Sono gambiana.,,"['Sono gambiano.', 'Sono gambiana.']"
I am Guinea-Bissauan.,,,Sono guineense.,"['Sono della Guinea-Bissau.', 'Sono guineense.']"
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"['Sono della Guinea Equatoriale.', 'Sono equatoguineano.', 'Sono equatoguineana.']"
I am Greek.,Sono greco.,Sono greca.,,"['Sono greco.', 'Sono greca.']"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"['Sono granadino.', 'Sono granadina.']"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"['Sono guatemalteco.', 'Sono guatemalteca.']"
I am Guyanese.,,,Sono guyanese.,['Sono guianese.']
I am Honduran.,Sono honduregno.,Sono honduregna.,,"['Sono honduregno.', 'Sono honduregna.']"
I am Croatian.,Sono croato.,Sono croata.,,"['Sono croato.', 'Sono croata.']"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"['Sono haitiano.', 'Sono haitiana.']"
I am Hungarian.,,,Sono ungherese.,['Sono ungherese.']
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"['Sono indonesiano.', 'Sono indonesiana.']"
I am Indian.,Sono indiano.,Sono indiana.,,"['Sono indiano.', 'Sono indiana.']"
I am Irish.,,,Sono irlandese.,['Sono irlandese.']
I am Iranian.,Sono iraniano.,Sono iraniana.,,"['Sono iraniano.', 'Sono iraniana.']"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"['Sono iracheno.', 'Sono irachena.']"
I am Icelander.,,,Sono islandese.,['Sono islandese.']
I am Israeli.,Sono israeliano.,Sono israeliana.,,"['Sono israeliano.', 'Sono israeliana.']"
I am Italian.,Sono italiano.,Sono italiana.,,"['Sono italiano.', 'Sono italiana.']"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"['Sono giamaicano.', 'Sono giamaicana.']"
I am Jordanian.,Sono giordano.,Sono giordana.,,"['Sono giordano.', 'Sono giordana.']"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,['Sono giapponese.']
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"['Sono kazako.', 'Sono kazaka.']"
I am Kenyan.,,,Sono keniota.,['Sono keniota.']
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"['Sono kirghiso.', 'Sono kirghisa.']"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"['Sono cambogiano.', 'Sono cambogiana.']"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"['Sono di Kiribati.', 'Sono kiribatiano.', 'Sono kiribatiana.']"
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"['Sono di San Cristoforo e Nevis.', 'Sono di Saint Kitts e Nevis.']"
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"['Sono sudcoreano.', 'Sono sudcoreana.']"
I am Kuwaiti.,,,,"['Sono kuwaitiano.', 'Sono kuwaitiana.']"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"['Sono laotiano.', 'Sono laotiana.']"
I am Lebanese.,,,Sono libanese.,['Sono libanese.']
I am Liberian.,Sono liberiano.,Sono liberiana.,,"['Sono liberiano.', 'Sono liberiana.']"
I am Libyan.,Sono libico.,Sono libica.,,"['Sono libico.', 'Sono libica.']"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,['Sono di Santa Lucia.']
I am Liechtensteiner.,,,Sono liechtensteinese.,"['Sono del Liechtenstein.', 'Sono liechtensteinese.']"
I am Sri Lankan.,,,Sono sri lankese.,"['Sono dello Sri Lanka.', 'Sono singalese.']"
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,['Sono Mosotho.']
I am Lithuanian.,Sono lituano.,Sono lituana.,,"['Sono lituano.', 'Sono lituana.']"
I am Luxembourger.,,,Sono lussemburghese.,['Sono lussemburghese.']
I am Latvian.,Sono lettone.,Sono lettona.,,['Sono lettone.']
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"['Sono marocchino.', 'Sono marocchina.']"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"['Sono monegasco.', 'Sono monegasca.']"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"['Sono moldavo.', 'Sono moldava.']"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"['Sono Malgascio.', 'Sono Malgascia.']"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"['Sono maldiviano.', 'Sono maldiviana.']"
I am Mexican.,Sono messicano.,Sono messicana.,,"['Sono messicano.', 'Sono messicana.']"
I am Marshallese.,,,Sono marshallese.,['Sono marshallese.']
I am Macedonian.,,,Sono macedone.,['Sono macedone.']
I am Malian.,Sono maliano.,Sono maliana.,,"['Sono maliano.', 'Sono maliana.']"
I am Maltese.,,,Sono maltese.,['Sono maltese.']
I am Burmese.,Sono birmano.,Sono birmese.,,"['Sono birmano.', 'Sono birmana.']"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"['Sono montenegrino.', 'Sono montenegrina.']"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"['Sono mongolo.', 'Sono mongola.']"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"['Sono mozambicano.', 'Sono mozambicana.']"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"['Sono mauritano.', 'Sono mauritana.']"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"['Sono mauriziano.', 'Sono mauriziana.']"
I am Malawian.,Sono malawiano.,Sono malawiana.,,"['Sono malawiano.', 'Sono malawiana.']"
I am Malaysian.,,,Sono malese.,['Sono malese.']
I am Namibian.,Sono namibiano.,Sono namibiana.,,"['Sono namibiano.', 'Sono namibiana.']"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,['Sono nigerino.']
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"['Sono nigeriano.', 'Sono nigeriana.']"
I am Nicaraguan.,,,Sono nicaraguense.,['Sono nicaraguense.']
I am Dutch.,,,Sono olandese.,['Sono olandese.']
I am Norwegian.,,,Sono norvegese.,['Sono norvegese.']
I am Nepalese.,,,Sono nepalese.,['Sono nepalese.']
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"['Sono nauruano.', 'Sono narurana.']"
I am New Zealander.,,,Sono neozelandese.,['Sono neozelandese.']
I am Omani.,,,Sono omanita.,['Sono Omanita.']
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"['Sono pakistano.', 'Sono pakistana.']"
I am Panamanian.,,,Sono panamense.,['Sono panamense.']
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"['Sono peruviano.', 'Sono peruviana.']"
I am Filipino.,Sono filippino.,Sono filippina.,,"['Sono filippino.', 'Sono filippina.']"
I am Palauan.,Sono palauano.,Sono palauana.,,"['Sono palauano.', 'Sono paluana.']"
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"['Sono papuano-neoguineano.', 'Sono papuana-neoguineana.']"
I am Polish.,Sono polacco.,Sono polacca.,,"['Sono polacco.', 'Sono polacca.']"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"['Sono nord-coreano.', 'Sono nord-coreana.']"
I am Portuguese.,,,Sono portoghese.,['Sono portoghese.']
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"['Sono paraguaiano.', 'Sono paraguaiana.']"
I am Qatari.,,,Sono qatariota.,"['Sono del Qatar.', 'Sono qatarino.', 'Sono qatarina.']"
I am Romanian.,Sono rumeno.,Sono rumena.,,"['Sono rumeno.', 'Sono rumena.']"
I am Russian.,Sono russo.,Sono russa.,,"['Sono russo.', 'Sono russa.']"
I am Rwandan.,,,Sono ruandese.,['Sono ruandese.']
I am Saudi Arabian.,,,Sono saudita.,['Sono saudita.']
I am Sudanese.,,,Sono sudanese.,['Sono sudanese.']
I am Senegalese.,,,Sono senegalese.,['Sono senegalese.']
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"['Sono singaporiano.', 'Sono singaporiana.']"
I am Solomon Islander.,,,Sono salomonese.,"['Sono originario delle Isole Salomone.', 'Sono delle Isole Salomone.']"
I am Sierra Leonean.,,,Sono sierra leonese.,"['Sono della Sierra Leone.', 'Sono sierra-leonese.']"
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"['Sono salvadoregno.', 'Sono salvadoregna.']"
I am Sammarinese.,,,Sono sammarinese.,['Sono sammarinese.']
I am Somali.,Sono somalo.,Sono somala.,,"['Sono somalo.', 'Sono somala.']"
I am Serbian.,Sono serbo.,Sono serba.,,"['Sono serbo.', 'Sono serba.']"
I am South Sudanese.,,,Sono sudsudanese.,"['Sono del Sud Sudan.', 'Sono sud-sudanese.']"
I am Sao Tomean.,,,Sono saotomense.,"['Sono di São Tomé.', 'Sono di São Tomé e Príncipe.']"
I am Surinamer.,,,Sono surinamese.,['Sono surinamese.']
I am Slovak.,Sono slovacco.,Sono slovacca.,,"['Sono slovacco.', 'Sono slovacca.']"
I am Slovene.,Sono sloveno.,Sono slovena.,,"['Sono sloveno.', 'Sono slovena.']"
I am Swedish.,,,Sono svedese.,['Sono svedese.']
I am Swazi.,,,Sono swazilandese.,['Sono Swazi.']
I am Seychellois.,,,Sono seicellese.,['Sono seychellese.']
I am Syrian.,Sono siriano.,Sono siriana.,,"['Sono siriano.', 'Sono siriana.']"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"['Sono ciadiano.', 'Sono ciadiana.']"
I am Togolese.,,,Sono togolese.,['Sono togolese.']
I am Thai.,,,Sono thailandese.,['Sono tailandese.']
I am Tadzhik.,Sono tagiko.,Sono tagika.,,['Sono Tagico.']
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,['Sono turkmeno.']
I am East Timorese.,,,Sono timorese.,"['Sono di Timor Est.', ""Sono timorese dell\\'Est.""]"
I am Tongan.,Sono tongano.,Sono tongana.,,"['Sono tongano.', 'Sono tongana.']"
I am Trinidadian.,,,Sono trinitense.,"['Sono di Trinidad.', 'Sono trinidadiano.', 'Sono trinidadiana.']"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"['Sono tunisino.', 'Sono tunisina.']"
I am Turkish.,Sono turco.,Sono turca.,,"['Sono turco.', 'Sono turca.']"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"['Sono di Tuvalu.', 'Sono tuvaluano.', 'Sono tuvaluana.']"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"['Sono tanzaniano.', 'Sono tanzaniana.']"
I am Ugandan.,,,Sono ugandese.,['Sono ugandese.']
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"['Sono ucraino.', 'Sono ucraina.']"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"['Sono uruguaiano.', 'Sono uruguaiana.']"
I am American.,,,Sono statunitense.,"['Sono americano.', 'Sono americana.']"
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"['Sono uzbeko.', 'Sono uzbeka.']"
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"['Sono di Saint Vincent.', 'Sono di San Vincenzo.']"
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"['Sono venezuelano.', 'Sono venezuelana.']"
I am Vietnamese.,,,Sono vietnamita.,['Sono vietnamita.']
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"['Sono di Vanuatu.', 'Sono ni-vanuatuo.', 'Sono ni-vanuatua.']"
I am Samoan.,Sono samoano.,Sono samoana.,,"['Sono samoano.', 'Sono samoana.']"
I am Yemeni.,,,Sono yemenita.,['Sono yemenita.']
I am South African.,Sono sudafricano.,Sono sudafricana.,,"['Sono sudafricano.', 'Sono sudafricana.']"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"['Sono zambiano.', 'Sono zambiana.']"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,['Sono zimbabwese.']
