eng,fra_m,fra_f,fra_n,extracted
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,['Je suis Luxembourgeois.']
I am Latvian.,Je suis Letton.,Je suis Lettone.,,['Je suis Letton.']
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,['Je suis Marocain.']
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,['Je suis Monégasque.']
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,['Je suis moldave.']
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,['Je suis Malgache.']
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,['Je suis Maldivien.']
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,['Je suis Mexicain.']
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,['Je suis Marshallais.']
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,['Je suis Macédonien.']
I am Malian.,Je suis Malien.,Je suis Malienne.,,['Je suis Malien.']
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,['Je suis Maltais.']
I am Burmese.,Je suis Birman.,Je suis Birmane.,,['Je suis birman.']
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,['Je suis Monténégrin.']
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,['Je suis Mongol.']
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,['Je suis Mozambicain.']
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,['Je suis Mauritanien.']
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,['Je suis Mauricien.']
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,['Je suis Malawien.']
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,['Je suis Malaisien.']
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,['Je suis namibien.']
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,['Je suis Nigérien.']
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,['Je suis Nigérian.']
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,['Je suis nicaraguayen.']
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,['Je suis néerlandais.']
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,['Je suis Norvégien.']
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,['Je suis Népalais.']
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,['Je suis Nauruan.']
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,['Je suis Néo-Zélandais.']
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,['Je suis Omanais.']
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,['Je suis Pakistanais.']
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,['Je suis Panaméen.']
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,['Je suis Péruvien.']
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,['Je suis Philippin.']
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,['Je suis Palauan.']
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"['Je suis Papouasien.', 'Je suis Papouasienne.']"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,['Je suis Polonais.']
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,['Je suis nord-coréen.']
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,['Je suis Portugais.']
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,['Je suis paraguayen.']
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,['Je suis Qatari.']
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,['Je suis Roumain.']
I am Russian.,Je suis Russe.,Je suis Russe.,,['Je suis russe.']
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,['Je suis Rwandais.']
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,['Je suis Saoudien.']
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,['Je suis soudanais.']
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,['Je suis sénégalais.']
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,['Je suis Singapourien.']
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,['Je suis Salomonien.']
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,['Je suis Sierra-Léonais.']
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,['Je suis Salvadorien.']
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,['Je suis Saint-Marinais.']
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,['Je suis Somali.']
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,['Je suis serbe.']
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,['Je suis sud-soudanais.']
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,['Je suis Santoméen.']
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,['Je suis Surinamien.']
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,['Je suis slovaque.']
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,['Je suis slovène.']
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,['Je suis suédois.']
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,['Je suis Swazi.']
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,['Je suis Seychellois.']
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,['Je suis syrien.']
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,['Je suis Tchadien.']
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,['Je suis Togolais.']
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,['Je suis Thaïlandais.']
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,['Je suis Tadjik.']
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,['Je suis Turkmène.']
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,['Je suis Timorais.']
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,['Je suis tongien.']
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,['Je suis Trinidadien.']
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,['Je suis Tunisien.']
I am Turkish.,Je suis Turc.,Je suis Turque.,,['Je suis turc.']
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,['Je suis Tuvaluan.']
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,['Je suis Tanzanien.']
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,['Je suis ougandais.']
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,['Je suis ukrainien.']
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,['Je suis uruguayen.']
I am American.,Je suis Américain.,Je suis Américaine.,,['Je suis Américain.']
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,['Je suis Ouzbek.']
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,['Je suis Saint-Vincentais.']
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,['Je suis vénézuélien.']
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,['Je suis vietnamien.']
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,['Je suis Ni-Vanuatu.']
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,['Je suis samoan.']
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,['Je suis yéménite.']
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,['Je suis Sud-Africain.']
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,['Je suis Zambien.']
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,['Je suis zimbabwéen.']
