eng,it_m,it_f,it_n,extracted
I am British.,Sono britannico.,Sono britannica.,,['Sono britannico.']
I am Georgian.,Sono georgiano.,Sono georgiana.,,['Sono georgiano.']
I am Ghanaian.,,,Sono ghanese.,['Sono ghanese.']
I am Guinean.,Sono guineano.,Sono guineana.,,['Sono guineano.']
I am Gambian.,Sono gambiano.,Sono gambiana.,,['Sono gambiano.']
I am Guinea-Bissauan.,,,Sono guineense.,['Sono della Guinea-Bissau.']
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,['Sono della Guinea Equatoriale.']
I am Greek.,Sono greco.,Sono greca.,,['Sono greco.']
I am Grenadian.,Sono grenadino.,Sono grenadina.,,['Sono Grenadino.']
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,['Sono guatemalteco.']
I am Guyanese.,,,Sono guyanese.,['Sono guyanese.']
I am Honduran.,Sono honduregno.,Sono honduregna.,,['Sono honduregno.']
I am Croatian.,Sono croato.,Sono croata.,,['Sono croato.']
I am Haitian.,Sono haitiano.,Sono haitiana.,,['Sono haitiano.']
I am Hungarian.,,,Sono ungherese.,['Sono ungherese.']
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,['Sono indonesiano.']
I am Indian.,Sono indiano.,Sono indiana.,,['Sono indiano.']
I am Irish.,,,Sono irlandese.,['Sono irlandese.']
I am Iranian.,Sono iraniano.,Sono iraniana.,,['Sono iraniano.']
I am Iraqi.,Sono iracheno.,Sono irachena.,,['Sono iracheno.']
I am Icelander.,,,Sono islandese.,['Sono islandese.']
I am Israeli.,Sono israeliano.,Sono israeliana.,,['Sono israeliano.']
I am Italian.,Sono italiano.,Sono italiana.,,['Sono italiano.']
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,['Sono giamaicano.']
I am Jordanian.,Sono giordano.,Sono giordana.,,['Sono giordano.']
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,['Sono giapponese.']
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,['Sono kazako.']
I am Kenyan.,,,Sono keniota.,['Sono Keniano.']
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,['Sono kirghiso.']
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,['Sono cambogiano.']
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,['Sono I-Kiribati.']
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,['Sono Kittitiano o Nevisiano.']
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,['Sono sudcoreano.']
I am Kuwaiti.,,,,['Sono kuwaitiano.']
I am Laotian.,Sono laotiano.,Sono laotiana.,,['Sono laotiano.']
I am Lebanese.,,,Sono libanese.,['Sono libanese.']
I am Liberian.,Sono liberiano.,Sono liberiana.,,['Sono liberiano.']
I am Libyan.,Sono libico.,Sono libica.,,['Sono libico.']
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,['Sono di Santa Lucia.']
I am Liechtensteiner.,,,Sono liechtensteinese.,['Sono del Liechtenstein.']
I am Sri Lankan.,,,Sono sri lankese.,['Sono dello Sri Lanka.']
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,['Sono Mosotho.']
I am Lithuanian.,Sono lituano.,Sono lituana.,,['Sono lituano.']
I am Luxembourger.,,,Sono lussemburghese.,['Sono lussemburghese.']
I am Latvian.,Sono lettone.,Sono lettona.,,['Sono lettone.']
I am Moroccan.,Sono marocchino.,Sono marocchina.,,['Sono marocchino.']
I am Monegasque.,Sono monegasco.,Sono monegasca.,,['Sono monegasco.']
I am Moldovan.,Sono moldavo.,Sono moldava.,,['Sono moldavo.']
I am Malagasy.,Sono malgascio.,Sono malgascia.,,['Sono malgascio.']
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,['Sono delle Maldive.']
I am Mexican.,Sono messicano.,Sono messicana.,,['Sono messicano.']
I am Marshallese.,,,Sono marshallese.,['Sono marshalliano.']
I am Macedonian.,,,Sono macedone.,['Sono macedone.']
I am Malian.,Sono maliano.,Sono maliana.,,['Sono maliano.']
I am Maltese.,,,Sono maltese.,['Sono Maltese.']
I am Burmese.,Sono birmano.,Sono birmese.,,['Sono birmano.']
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,['Sono montenegrino.']
I am Mongolian.,Sono mongolo.,Sono mongola.,,['Sono mongolo.']
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,['Sono mozambicano.']
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,['Sono mauritano.']
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,['Sono mauriziano.']
I am Malawian.,Sono malawiano.,Sono malawiana.,,['Sono malawiano.']
I am Malaysian.,,,Sono malese.,['Sono malese.']
I am Namibian.,Sono namibiano.,Sono namibiana.,,['Sono namibiano.']
I am Nigerien.,Sono nigerino.,Sono nigerina.,,['Sono nigerino.']
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,['Sono nigeriano.']
I am Nicaraguan.,,,Sono nicaraguense.,['Sono nicaraguense.']
I am Dutch.,,,Sono olandese.,['Sono olandese.']
I am Norwegian.,,,Sono norvegese.,['Sono norvegese.']
I am Nepalese.,,,Sono nepalese.,['Sono nepalese.']
I am Nauruan.,Sono nauruano.,Sono nauruana.,,['Sono Nauruano.']
I am New Zealander.,,,Sono neozelandese.,['Sono neozelandese.']
I am Omani.,,,Sono omanita.,['Sono omanita.']
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,['Sono pakistano.']
I am Panamanian.,,,Sono panamense.,['Sono panamense.']
I am Peruvian.,Sono peruviano.,Sono peruviana.,,['Sono peruviano.']
I am Filipino.,Sono filippino.,Sono filippina.,,['Sono filippino.']
I am Palauan.,Sono palauano.,Sono palauana.,,['Sono Palauano.']
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,['Sono della Papua Nuova Guinea.']
I am Polish.,Sono polacco.,Sono polacca.,,['Sono polacco.']
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,['Sono nordcoreano.']
I am Portuguese.,,,Sono portoghese.,['Sono portoghese.']
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,['Sono paraguaiano.']
I am Qatari.,,,Sono qatariota.,['Sono qatariota.']
I am Romanian.,Sono rumeno.,Sono rumena.,,['Sono rumeno.']
I am Russian.,Sono russo.,Sono russa.,,['Sono russo.']
I am Rwandan.,,,Sono ruandese.,['Sono ruandese.']
I am Saudi Arabian.,,,Sono saudita.,['Sono saudita.']
I am Sudanese.,,,Sono sudanese.,['Sono sudanese.']
I am Senegalese.,,,Sono senegalese.,['Sono senegalese.']
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,['Sono singaporiano.']
I am Solomon Islander.,,,Sono salomonese.,['Sono delle Isole Salomone.']
I am Sierra Leonean.,,,Sono sierra leonese.,['Sono della Sierra Leone.']
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,['Sono salvadoregno.']
I am Sammarinese.,,,Sono sammarinese.,['Sono Sammarinese.']
I am Somali.,Sono somalo.,Sono somala.,,['Sono somalo.']
I am Serbian.,Sono serbo.,Sono serba.,,['Sono serbo.']
I am South Sudanese.,,,Sono sudsudanese.,['Sono sudanese del sud.']
I am Sao Tomean.,,,Sono saotomense.,['Sono di Sao Tome.']
I am Surinamer.,,,Sono surinamese.,['Sono Surinamese.']
I am Slovak.,Sono slovacco.,Sono slovacca.,,['Sono slovacco.']
I am Slovene.,Sono sloveno.,Sono slovena.,,['Sono sloveno.']
I am Swedish.,,,Sono svedese.,['Sono svedese.']
I am Swazi.,,,Sono swazilandese.,['Sono Swazi.']
I am Seychellois.,,,Sono seicellese.,['Sono Seychellese.']
I am Syrian.,Sono siriano.,Sono siriana.,,['Sono siriano.']
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,['Sono ciadiano.']
I am Togolese.,,,Sono togolese.,['Sono Togolese.']
I am Thai.,,,Sono thailandese.,['Sono thailandese.']
I am Tadzhik.,Sono tagiko.,Sono tagika.,,['Sono tagiko.']
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,['Sono turkmeno.']
I am East Timorese.,,,Sono timorese.,['Sono di Timor Est.']
I am Tongan.,Sono tongano.,Sono tongana.,,['Sono tongano.']
I am Trinidadian.,,,Sono trinitense.,['Sono trinidadiano.']
I am Tunisian.,Sono tunisino.,Sono tunisina.,,['Sono tunisino.']
I am Turkish.,Sono turco.,Sono turca.,,['Sono turco.']
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,['Sono Tuvaluano.']
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,['Sono tanzaniano.']
I am Ugandan.,,,Sono ugandese.,['Sono ugandese.']
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,['Sono ucraino.']
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,['Sono uruguaiano.']
I am American.,,,Sono statunitense.,['Sono americano.']
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,['Sono uzbeko.']
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,['Sono di Saint Vincent.']
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,['Sono venezuelano.']
I am Vietnamese.,,,Sono vietnamita.,['Sono vietnamita.']
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,['Sono Ni-Vanuatu.']
I am Samoan.,Sono samoano.,Sono samoana.,,['Sono samoano.']
I am Yemeni.,,,Sono yemenita.,['Sono yemenita.']
I am South African.,Sono sudafricano.,Sono sudafricana.,,['Sono sudafricano.']
I am Zambian.,Sono zambiano.,Sono zambiana.,,['Sono zambiano.']
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,['Sono zimbabwano.']
